SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.327646,0.408672,0.3440863176470588,0.009584519769137247,0.3382745,0.342657,0.3463015,255,12.262107,13.586635,12.823778596078432,0.21923124105489214,12.7593895,12.811016,12.8699605,255,0.280962,0.404609,0.2947631568627451,0.017604784071685975,0.2847875,0.288325,0.294775,255,0.282852,0.382475,0.2956214901960784,0.020031734501831454,0.285131,0.287552,0.292422,255,3.842371,4.2673,3.960059933333333,0.05843375710162099,3.9265175,3.955294,3.99393,255,3.842371,4.2673,3.960059933333333,0.05843375710162099,3.9265175,3.955294,3.99393,255,0.02262,0.047392,0.024723149019607846,0.0025396563549666654,0.0236325,0.024129,0.024818,255,0.054914,0.101731,0.05754496470588236,0.0042108248061126854,0.0562335,0.056713,0.0573825,255,40.431725,54.715286,47.8725215490196,1.881665886322944,48.15388,48.419244,48.5364615,255,27.177426,41.32568,34.52577008627451,1.9382779703613084,35.00311,35.11624,35.201468,255,0.020707,0.033621,0.022454603921568627,0.0013960484751908368,0.0218265,0.022201,0.022627,255,21.78356,28.15014,22.040509164705885,0.8419586098822316,21.8699645,21.908349,21.9495535,255,4.915468,13.14611,12.053524949019607,1.7743480289584659,12.7119575,12.78046,12.841897,255,0.385339,0.566899,0.40645637647058824,0.022525803330356007,0.3952265,0.399433,0.4052515,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.459938,39.38662,13.596049717948718,1.1779562470408207,13.384861,13.45334,13.5472985,1755,12.106634,38.941275,13.242155775498574,1.1737687008305036,13.035029,13.102499,13.1906545,1755,0.008205,2.208931,0.25413508366571697,0.22780381569415106,0.05444425,0.2493455,0.3928745,10530,0.023047,3.39208,0.18958360997151,0.1360026187727413,0.0554675,0.1628735,0.3203345,10530,0.099484,21.10691,1.9075083033238367,1.961373590342267,0.1839585,1.3256465,2.7212985,10530,0.099484,21.10691,1.9075083033238367,1.961373590342267,0.1839585,1.3256465,2.7212985,10530,0.095275,0.285806,0.12595607464387465,0.014565803070240857,0.118611,0.122031,0.126212,1755,0.137897,0.397154,0.16031427008547008,0.01586714170947239,0.1517645,0.153935,0.16046,1755,24.315978,68.877693,29.635735480341882,3.2499208453693265,27.706934,29.456496,31.2420105,1755,10.386498,45.474334,15.390840221652422,2.753942171933528,13.518468,15.205824,17.0536055,1755,0.076435,0.354424,0.09265191396011396,0.01356944285360565,0.086005,0.089167,0.0917205,1755,9.573602,44.286713,14.509148258689459,2.6520534674619802,12.732802,14.346758,16.1550015,1755,0.127554,1.10458,0.2949737823361823,0.11445034873047841,0.2308575,0.269217,0.325924,1755,0.41863,1.060096,0.49171786951566954,0.042259753751843494,0.4699595,0.48794,0.5092065,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.033932,1.846668,0.096583892,0.12642019966661316,0.0433815,0.0822415,0.11339475,1000,0.359167,0.651925,0.39855529700000003,0.03754146789339478,0.372233,0.3806335,0.4249605,1000,0.001343,0.013356,0.00195074425,0.0007718834535355305,0.001557,0.001679,0.002261,4000,0.010557,0.038308,0.01273485325,0.0024052231164102917,0.01119375,0.011599,0.013691,4000,0.024202,0.063678,0.027458436000000003,0.0038612646529218894,0.02517775,0.02591,0.02796925,4000,0.024202,0.063678,0.027458436000000003,0.0038612646529218894,0.02517775,0.02591,0.02796925,4000,0.020238,0.04914,0.022934180000000002,0.0033741145581618888,0.020791,0.021015,0.02473875,1000,0.027256,0.065779,0.029725083,0.0036445056712963147,0.02787375,0.0281675,0.03094525,1000,0.658578,2.89484,0.77994863,0.17471152993288994,0.68300575,0.730747,0.85542675,1000,0.092342,0.224353,0.107131557,0.01702260928267905,0.09530975,0.0990365,0.11851925,1000,0.02571,0.075223,0.029828126,0.005060775891315876,0.02677875,0.0275255,0.0319755,1000,0.041711,0.146966,0.048922725,0.009487079335779532,0.04283525,0.0443815,0.05429325,1000,0.006335,0.02439,0.007683992000000001,0.0019239337883451186,0.006573,0.006728,0.00822375,1000,0.017012,0.094438,0.020086942,0.004559802379778755,0.01774275,0.0183655,0.021649,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.030576,1.744096,0.09622644500000001,0.1207500741472028,0.04379875,0.0823695,0.11331525,1000,0.363974,0.671541,0.400616021,0.038786327391963256,0.37274925,0.382675,0.42862825,1000,0.00135,0.019157,0.00197711275,0.0008353160976764649,0.001559,0.0017005,0.002273,4000,0.010735,0.035711,0.01280677625,0.002211889344923461,0.011282,0.011664,0.013776,4000,0.0243,0.065157,0.02750122075,0.003652616491984812,0.02517,0.0259845,0.028253,4000,0.0243,0.065157,0.02750122075,0.003652616491984812,0.02517,0.0259845,0.028253,4000,0.020261,0.041241,0.023001129000000002,0.0030079000522555597,0.0208875,0.0211655,0.024766,1000,0.027213,0.166866,0.029692134,0.005148344538979884,0.02784,0.0282195,0.0309875,1000,0.660649,2.797588,0.7834980629999999,0.17111141727995544,0.68674375,0.73264,0.8592245,1000,0.092737,0.660792,0.108139096,0.024010205258156038,0.095644,0.0997735,0.118399,1000,0.025984,0.194592,0.030261621,0.006795973947224858,0.02712425,0.027794,0.03287825,1000,0.042019,0.595225,0.049848237999999996,0.0194316937656334,0.04304275,0.0454,0.0549595,1000,0.006213,0.028079,0.007623388,0.001673662190962083,0.006481,0.007019,0.00816825,1000,0.017016,0.038331,0.019808357,0.002760066724112118,0.0176155,0.0185795,0.02146625,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.039038,1.621603,0.095771598,0.11758466757508139,0.04429675,0.0816895,0.114189,1000,0.36114,0.660861,0.40203062,0.03678950729886988,0.3754295,0.3860085,0.4269895,1000,0.001303,0.014994,0.0020270435,0.0009022797673713792,0.00156175,0.001689,0.002317,4000,0.010618,0.04504,0.012952460499999999,0.0023526430196567755,0.011407,0.0119575,0.01392925,4000,0.024314,0.098747,0.02769810325,0.0038120645996086474,0.025314,0.0261625,0.0285045,4000,0.024314,0.098747,0.02769810325,0.0038120645996086474,0.025314,0.0261625,0.0285045,4000,0.0204,0.046464,0.022918222000000002,0.003063418329695767,0.020834,0.0210765,0.02489925,1000,0.027406,0.068176,0.029702814999999997,0.0031979385833338014,0.027971,0.0284005,0.03094,1000,0.667586,2.706504,0.796546184,0.16719454279656423,0.703396,0.746531,0.873919,1000,0.100946,0.269604,0.120960295,0.01885165653500973,0.106952,0.113358,0.13258725,1000,0.025856,0.06037,0.029578167000000002,0.004277853554425514,0.026854,0.0274385,0.03163975,1000,0.047746,0.167356,0.056991631,0.010719128784506649,0.0493005,0.0512225,0.063961,1000,0.008221,0.040402,0.013608261,0.004142583340728223,0.01013525,0.0131705,0.015907,1000,0.017214,0.044784,0.02017128,0.003443844960447552,0.017843,0.0185885,0.02173425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037964,1.479403,0.08205851700000001,0.0969011698516778,0.07445625,0.075573,0.0784895,1000,0.111817,0.280894,0.143164148,0.01559994256335888,0.142131,0.142791,0.1441955,1000,0.002155,0.018763,0.003096299,0.0011076526655946803,0.002954,0.003008,0.00306325,1000,0.014656,0.062548,0.019343224,0.0031413824204996115,0.019025,0.019209,0.019356,1000,0.030684,0.094564,0.03933195,0.004628387675800289,0.03920675,0.0394075,0.03963625,1000,0.030684,0.094564,0.03933195,0.004628387675800289,0.03920675,0.0394075,0.03963625,1000,0.006366,0.024938,0.009847767,0.0015926776888972231,0.00976475,0.0099345,0.01009325,1000,0.011081,0.038944,0.013273646,0.0018595785588901587,0.01300175,0.0131185,0.01322425,1000,0.216032,1.894772,0.336745152,0.11260113056534067,0.331907,0.334667,0.3389865,1000,0.013196,0.115346,0.041621834,0.011060497736921427,0.04291675,0.0435295,0.0443035,1000,0.002247,0.013617,0.003336485,0.0007675409811697353,0.00317575,0.003248,0.00332225,1000,0.007361,0.041184,0.017670823,0.00405129209754999,0.0178615,0.018082,0.01829925,1000,0.001891,0.084287,0.018470187000000002,0.007300543171985972,0.01984675,0.020155,0.0203185,1000,0.001017,0.013768,0.001606861,0.0008768633403666731,0.00142,0.001458,0.001512,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.038222,1.413425,0.096916431,0.09426264030030794,0.075635,0.10402,0.105792,1000,0.111855,0.26602,0.142777899,0.013975354696922687,0.141272,0.1430955,0.1453115,1000,0.00214,0.014481,0.003068727,0.001052138193618595,0.002896,0.002972,0.003046,1000,0.014651,0.038141,0.018993087999999998,0.002287665242175087,0.018577,0.0188555,0.01937825,1000,0.030488,0.072487,0.03903328,0.0036434780553202184,0.03900775,0.0392675,0.039537,1000,0.030488,0.072487,0.03903328,0.0036434780553202184,0.03900775,0.0392675,0.039537,1000,0.006422,0.034467,0.009878495000000001,0.0019932440698456873,0.0096775,0.0098435,0.01005125,1000,0.011028,0.0235,0.013049401,0.001311219259391426,0.012879,0.012988,0.01308725,1000,0.215425,1.819556,0.34017174,0.11012928565950293,0.31895225,0.3508355,0.35753075,1000,0.013305,0.066593,0.031014492999999997,0.007178688715911214,0.02841675,0.0333265,0.03401975,1000,0.002273,0.020867,0.0034030880000000003,0.0010969582700613549,0.00318,0.0032605,0.00334125,1000,0.007344,0.047031,0.016523458999999997,0.0038986271381499155,0.01618275,0.01695,0.0172845,1000,0.001889,0.020517,0.008978233,0.0033626170779187748,0.00699275,0.011133,0.011387,1000,0.001035,0.011883,0.001585044,0.0007026600643725243,0.001392,0.0014595,0.001536,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006537,0.144641,0.007735492,0.008958969422536054,0.00680475,0.006912,0.00705325,1000,1.190048,1.453681,1.216604695,0.025917325694329946,1.20370425,1.2088485,1.219329,1000,0.066227,0.111963,0.067256636,0.0027914372232783597,0.06658275,0.066704,0.066915,1000,0.077988,0.141273,0.080404491,0.004686098600533177,0.07888225,0.0795475,0.08017625,1000,0.023417,0.049383,0.024252508000000002,0.0019273074855704786,0.0237655,0.023918,0.0241,1000,0.988315,1.14491,1.011944062,0.02084198524119418,1.0017385,1.0060265,1.01449875,1000,0.002796,0.01626,0.003262224,0.0005122189549635975,0.00305975,0.0032135,0.00338425,1000,0.011549,0.022603,0.012080993,0.000835819995543897,0.011866,0.011944,0.012048,1000,1.226443,1.653421,1.255291325,0.033651321934619075,1.24079075,1.2466335,1.2573315,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000276,0.003051,0.00034346800000000004,0.00010047866925870384,0.000309,0.000333,0.00036,1000,2.575271,5.050788,2.6415918659999997,0.18834796078196875,2.5928935,2.6104985,2.6390565,1000,0.051759,0.111992,0.053521913,0.0036526634224126097,0.05227975,0.0526295,0.05343525,1000,0.0905,0.146975,0.09316728,0.004934657185418254,0.09101475,0.0917165,0.093491,1000,0.699514,2.066024,0.725525926,0.09463811254991576,0.70518725,0.711818,0.72921025,1000,1.699435,2.735321,1.739337044,0.10460462561751302,1.7098275,1.715754,1.7326215,1000,0.001247,0.004253,0.00146264,0.00019557233546695706,0.001388,0.001438,0.00149725,1000,0.012858,0.033907,0.013706913000000001,0.0011142970597784953,0.013239,0.0135255,0.0139125,1000,2.600439,5.112547,2.668076832,0.19084259296876518,2.61870175,2.637356,2.6656305,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000276,0.009222,0.00035643700000000003,0.00028562593725185394,0.000314,0.000332,0.000373,1000,2.674309,5.160927,2.728438916,0.17901531574190221,2.69010025,2.6961295,2.72305625,1000,0.050539,0.120564,0.05242942,0.0033811703493908736,0.05133625,0.0520325,0.052263,1000,0.087724,0.136636,0.091480951,0.004237023762571907,0.08889025,0.091514,0.091793,1000,0.699021,1.983036,0.715793406,0.08537843159472516,0.70401775,0.7060695,0.70782625,1000,1.802297,2.783892,1.839154791,0.10250323784883732,1.81170175,1.8164545,1.831601,1000,0.001208,0.003094,0.001379022,0.0001192354373330345,0.001324,0.00136,0.00140325,1000,0.012922,0.036729,0.013617093,0.0013443477453215,0.01327,0.013405,0.0135905,1000,2.699238,5.2233,2.7561428709999998,0.18112852789009345,2.717297,2.723277,2.7502665,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
