SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.342466,0.510683,0.3583342274509804,0.014948293234701378,0.349684,0.354487,0.3625705,255,11.783941,13.145541,12.2304928,0.21402240622355592,12.0951815,12.281433,12.3540985,255,0.284314,0.341955,0.2950145294117647,0.010220295239112477,0.287398,0.292591,0.299913,255,0.137407,0.211961,0.1494704980392157,0.01746861744686448,0.138687,0.140465,0.150971,255,3.558321,3.868821,3.6386981058823533,0.04759601307871058,3.6036565,3.636441,3.662229,255,3.558321,3.868821,3.6386981058823533,0.04759601307871058,3.6036565,3.636441,3.662229,255,0.025009,0.038361,0.02731618431372549,0.00236838635091594,0.026113,0.026545,0.027518,255,0.051173,0.070646,0.0534972862745098,0.0024458263610966213,0.052194,0.052654,0.053548,255,40.053455,49.609932,47.27720048627451,1.7746210383090186,47.5556245,47.887969,48.1255055,255,27.230171,36.211966,34.50424069411765,1.8066540420852069,35.057345,35.172271,35.353335,255,0.020242,0.039801,0.022031862745098038,0.0015868340761033147,0.021418,0.021827,0.022261,255,21.810168,22.63517,21.95190325490196,0.10994917467802186,21.8831805,21.91984,21.989414,255,4.934645,13.482321,12.114648015686276,1.7940391846163817,12.729517,12.817267,12.913694,255,0.394681,0.479427,0.4137329411764706,0.013530212545917979,0.4050425,0.410909,0.418279,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.686666,12.902121,9.060865163532764,0.27785965587993566,8.8426695,9.018634,9.1981525,1755,8.410102,12.586918,8.767634655840457,0.27571652598583996,8.550395,8.725717,8.903068,1755,0.004715,0.574159,0.17714734662867995,0.17267264301437965,0.0282925,0.1188,0.2854515,10530,0.006099,0.306572,0.08139889715099714,0.07822909281035546,0.0149975,0.066607,0.1310015,10530,0.037471,5.165589,1.1606376288698956,1.192927493269452,0.09150975,0.893259,1.713562,10530,0.037471,5.165589,1.1606376288698956,1.192927493269452,0.09150975,0.893259,1.713562,10530,0.093968,0.214145,0.1120573584045584,0.01336839288394332,0.101654,0.111734,0.117995,1755,0.129341,0.214529,0.14270038746438746,0.01171662375745688,0.13492,0.140793,0.1441195,1755,23.824694,44.2848,30.509539629629632,3.5530147732094775,28.094993,29.966423,32.2856285,1755,14.483439,30.837466,20.851241313960113,3.5314454733698475,18.4419075,20.393704,22.674598,1755,0.072682,0.152238,0.08510659544159545,0.010120804152502537,0.079656,0.08239,0.086393,1755,13.639542,29.635934,19.992420613675215,3.441651477284341,17.6514005,19.558053,21.7879085,1755,0.105465,0.759335,0.26885090655270655,0.1059226643918486,0.208723,0.244656,0.294187,1755,0.434394,0.623161,0.5027059760683761,0.028123341632986913,0.481353,0.500663,0.520833,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.046739,1.714868,0.106110641,0.1171880893146062,0.05419975,0.09243,0.123352,1000,0.193805,0.31887,0.215693837,0.02138094279157098,0.200106,0.205181,0.2299775,1000,0.00195,0.021923,0.00262987875,0.0009074242965936263,0.002107,0.002227,0.003047,4000,0.004128,0.026668,0.00518659775,0.0013693708566144297,0.004391,0.004576,0.00576325,4000,0.014904,0.048825,0.017845696499999997,0.002691004335074128,0.015839,0.0169,0.0191365,4000,0.014904,0.048825,0.017845696499999997,0.002691004335074128,0.015839,0.0169,0.0191365,4000,0.020178,0.055597,0.022790306,0.0034420903050855593,0.02073675,0.021003,0.024697,1000,0.025437,0.057519,0.027993977,0.0027361356622928987,0.02620175,0.0266145,0.02957575,1000,0.501465,2.424421,0.6053254229999999,0.15048461987813264,0.51922225,0.56487,0.66952175,1000,0.091442,0.21623,0.105652285,0.01632780102891308,0.09391675,0.097959,0.1160305,1000,0.025568,0.062029,0.029415695,0.0045714987148609155,0.02656575,0.027174,0.03173325,1000,0.041473,0.100614,0.048286021,0.008441514434422238,0.04242475,0.0450195,0.05268775,1000,0.006281,0.089806,0.00771048,0.0032525809271407836,0.00646975,0.006609,0.008141,1000,0.016624,0.090237,0.019646413,0.0044613861436139995,0.01723675,0.0179405,0.021194,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.047865,1.624091,0.106223148,0.11601405953093831,0.053121,0.091249,0.124495,1000,0.192831,0.321891,0.216072334,0.02086148705266343,0.2001815,0.205364,0.232827,1000,0.001933,0.032108,0.0026355632500000004,0.0009742264652017196,0.002099,0.002236,0.003045,4000,0.004111,0.030934,0.00523921475,0.0012763274292408031,0.004457,0.0046745,0.005839,4000,0.014978,0.048163,0.017844482749999998,0.0027790600011878904,0.01575,0.016811,0.019109,4000,0.014978,0.048163,0.017844482749999998,0.0027790600011878904,0.01575,0.016811,0.019109,4000,0.020106,0.052295,0.022716696,0.0029967389371755426,0.02067125,0.020932,0.02470025,1000,0.025635,0.054333,0.028070837,0.0028712082927629962,0.02622,0.026601,0.0296235,1000,0.501246,2.343185,0.606085774,0.14917064355599907,0.51954575,0.5648445,0.67129325,1000,0.090528,0.191362,0.105748231,0.015679605587821364,0.094134,0.0979465,0.1168965,1000,0.025431,0.061825,0.029295171999999998,0.004444378166674839,0.02630975,0.027202,0.03177475,1000,0.041304,0.105043,0.048790989,0.00869638329542109,0.04258975,0.0454875,0.0543915,1000,0.006044,0.018867,0.007567192,0.0016335745600173871,0.006344,0.006901,0.0081985,1000,0.016622,0.050572,0.019562243,0.0032462601402153523,0.01728275,0.0179795,0.021284,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.031675,1.614659,0.07791266499999999,0.11215114935410503,0.0527145,0.065754,0.07794275,1000,0.19561,0.314935,0.206428111,0.01294287147563009,0.20026875,0.202951,0.20688775,1000,0.001931,0.032591,0.00247170775,0.0008588270785437179,0.002092,0.002177,0.00294925,4000,0.00416,0.021116,0.004946679250000001,0.0010182539054034792,0.004392,0.00453,0.0056945,4000,0.015013,0.044413,0.01711857075,0.002231104151422438,0.015608,0.016376,0.01880575,4000,0.015013,0.044413,0.01711857075,0.002231104151422438,0.015608,0.016376,0.01880575,4000,0.020256,0.045864,0.021272812000000002,0.0019352922354662616,0.020645,0.0208225,0.02104625,1000,0.025607,0.056099,0.026823516,0.002415045109670625,0.0260565,0.026243,0.0264855,1000,0.517279,2.337147,0.5793393490000001,0.1348801558863097,0.53672275,0.563509,0.5828855,1000,0.102418,0.240618,0.126361421,0.016545146737691963,0.115662,0.125087,0.13107625,1000,0.025438,0.053385,0.027263842,0.0030583742457449517,0.0262005,0.02655,0.0269805,1000,0.046595,0.160317,0.05006595,0.007460837788847845,0.0478225,0.048201,0.04898425,1000,0.009455,0.080453,0.029675702,0.010297371344823687,0.021061,0.0311455,0.035948,1000,0.016941,0.058506,0.018812395,0.0029783626899649077,0.01753075,0.017752,0.01834925,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.035373,1.498785,0.08009305100000001,0.09663447279249988,0.0719605,0.0751085,0.07579175,1000,0.059771,0.134019,0.07839892600000001,0.008325305804745192,0.07715225,0.0779645,0.081196,1000,0.002846,0.014316,0.004146593,0.0008291335473559128,0.004104,0.004167,0.004226,1000,0.005801,0.029798,0.007661407,0.0013452575022466888,0.007595,0.0076875,0.00777725,1000,0.018713,0.060889,0.025298609,0.0037095855531472785,0.025026,0.025249,0.02565275,1000,0.018713,0.060889,0.025298609,0.0037095855531472785,0.025026,0.025249,0.02565275,1000,0.006223,0.030552,0.009517847,0.001454754685021155,0.0095155,0.009664,0.00991225,1000,0.009797,0.02233,0.011979929,0.0009862507693071778,0.01196175,0.012061,0.01216725,1000,0.164168,1.76072,0.266610765,0.10629249483124278,0.261967,0.264832,0.26784525,1000,0.012909,0.104868,0.038982396,0.009949497964077585,0.03988425,0.040587,0.0415095,1000,0.002043,0.013633,0.0029800100000000004,0.0007366176524493558,0.00289375,0.002972,0.003037,1000,0.007299,0.043559,0.016904605,0.003820403865951216,0.017321,0.0174885,0.01764925,1000,0.00192,0.056693,0.016480494,0.006103878394427923,0.0177675,0.0181295,0.018289,1000,0.001037,0.010673,0.001374529,0.0003959588781161498,0.00131,0.001348,0.001385,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040297,1.491224,0.095368397,0.09627727610525441,0.07497275,0.0999845,0.10468325,1000,0.059612,0.133485,0.077855117,0.007938592017184849,0.07672275,0.077462,0.0808285,1000,0.002952,0.018273,0.004120337999999999,0.0006953322081969165,0.004057,0.004166,0.00426125,1000,0.005855,0.02225,0.007698918,0.00122599930476163,0.007602,0.007693,0.0077845,1000,0.018715,0.055857,0.025021621,0.002727199840011545,0.02493975,0.0251975,0.025568,1000,0.018715,0.055857,0.025021621,0.002727199840011545,0.02493975,0.0251975,0.025568,1000,0.006302,0.024407,0.009494631,0.001396426959364148,0.009495,0.009625,0.00986825,1000,0.009773,0.027452,0.011948306,0.0012666055196326913,0.011878,0.011971,0.012055,1000,0.164454,1.757901,0.271311587,0.1064692661744244,0.24998875,0.280935,0.28577775,1000,0.013003,0.080344,0.029190954,0.006785774168500157,0.02686475,0.031051,0.0316135,1000,0.00204,0.013609,0.00297481,0.0006626616496372791,0.00290375,0.0029815,0.00306,1000,0.007289,0.051594,0.015710096,0.0036962426620534535,0.01561675,0.0162915,0.0166235,1000,0.001932,0.038391,0.00792805,0.0030734366600761436,0.00638275,0.0090155,0.009971,1000,0.001043,0.008005,0.0013723820000000001,0.0003821573917589453,0.00127,0.0013425,0.001401,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008906,0.126079,0.010462883,0.008145914622024405,0.00928475,0.0094015,0.009665,1000,1.129204,1.316526,1.1725631650000001,0.037277277339255545,1.13787,1.169799,1.202563,1000,0.067514,0.115926,0.069516964,0.0037361029959978357,0.067906,0.068412,0.069914,1000,0.037793,0.072235,0.039788788,0.003053373369415539,0.038339,0.0387225,0.040501,1000,0.015371,0.038244,0.01628936,0.0017448834775995788,0.015729,0.015951,0.0161935,1000,0.999732,1.160982,1.038596161,0.03456856096043165,1.0067305,1.0318595,1.067896,1000,0.002781,0.023013,0.003192694,0.0009539514496891339,0.002976,0.003035,0.00310625,1000,0.011047,0.029237,0.011638417,0.001146606324381215,0.011348,0.0114525,0.01156025,1000,1.16785,1.502207,1.213599701,0.04065738805218061,1.17771525,1.211247,1.2425195,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00029,0.001175,0.000339729,4.9439109609700696e-05,0.00032,0.000333,0.000349,1000,2.566927,4.94408,2.615162216,0.18005737216799914,2.57592325,2.5877725,2.60807375,1000,0.051265,0.086422,0.052893089,0.0029167524319144746,0.05205925,0.0522655,0.052773,1000,0.043228,0.076097,0.04551631,0.0025371606397506644,0.044857,0.045177,0.0458345,1000,0.690793,2.093901,0.7116402789999999,0.0955030024022028,0.69753325,0.699788,0.71101875,1000,1.76673,2.708462,1.79757703,0.1004713024275146,1.77185575,1.7751345,1.79101375,1000,0.001257,0.003594,0.001421639,0.00013458306237784903,0.001357,0.001399,0.00145425,1000,0.011737,0.031705,0.012296495999999999,0.0009248715597227542,0.01203175,0.012152,0.012339,1000,2.590934,4.998726,2.6405552990000003,0.18222003138934423,2.6011155,2.6130135,2.6331955,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000291,0.000853,0.00036322199999999996,4.941128126248094e-05,0.000337,0.000354,0.000377,1000,2.618318,4.880981,2.680471689,0.1739355800431708,2.6301945,2.6475555,2.67780975,1000,0.052026,0.08181,0.053450718,0.002876702550921106,0.052413,0.052705,0.05313175,1000,0.044606,0.093073,0.046009595,0.002977149594658454,0.045074,0.045421,0.0457205,1000,0.690245,1.911845,0.720674539,0.08591471039349712,0.69875475,0.7038205,0.73408725,1000,1.813997,2.814311,1.8527359909999999,0.10190297790895474,1.8230575,1.826373,1.84745825,1000,0.001197,0.003694,0.0013755129999999999,0.0001483579449540873,0.001305,0.00135,0.00141525,1000,0.011721,0.022894,0.012349332000000001,0.0006089402070614157,0.01209575,0.012291,0.01245225,1000,2.641585,4.935285,2.705807803,0.1759485157372184,2.65505425,2.672706,2.70291825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
