SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.332077,0.414367,0.3494765137254902,0.01359245352561082,0.339779,0.347188,0.3542075,255,11.926714,13.241407,12.33896423529412,0.2191149875934505,12.105512,12.385521,12.4569485,255,0.283837,0.372246,0.29405812941176473,0.012318776305845018,0.2869295,0.291753,0.2964835,255,0.136557,0.218259,0.14217087843137255,0.009711210130208502,0.1382525,0.139144,0.140422,255,3.923808,4.361281,4.00826191372549,0.06570320036142634,3.946515,4.003116,4.0542045,255,3.923808,4.361281,4.00826191372549,0.06570320036142634,3.946515,4.003116,4.0542045,255,0.022441,0.039401,0.024623019607843136,0.002019595448619877,0.023798,0.024205,0.0246685,255,0.05483,0.085005,0.05694685490196078,0.002718585925412055,0.0559565,0.056368,0.056848,255,40.119012,49.322201,47.286433517647055,1.7876257508872306,47.6285605,47.964975,48.105312,255,27.159887,35.926907,34.415386125490194,1.807581472621912,35.0357275,35.117953,35.188625,255,0.020187,0.029889,0.02193575294117647,0.0012916118056943411,0.0211115,0.021728,0.0224575,255,21.741255,22.369396,21.90689882352941,0.08408643853011413,21.8599285,21.893921,21.930812,255,4.88792,13.320698,12.082267623529411,1.7943602938902807,12.7376275,12.803058,12.8487115,255,0.388049,0.448847,0.40190333725490196,0.00865735164118914,0.3970255,0.399933,0.4049065,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,12.423845,35.464471,13.472029703703704,0.6715268937277756,13.2106945,13.408859,13.516394,1755,12.091451,34.905081,13.129998433048433,0.6581070295366712,12.8701025,13.073487,13.1760005,1755,0.00742,0.931333,0.24971640702754036,0.22371419774613654,0.0482605,0.272103,0.40493975,10530,0.008961,0.436313,0.10217304909781576,0.08308313795564795,0.02238375,0.112832,0.1628725,10530,0.099051,10.323695,1.9174093,1.9545904882659648,0.171123,1.1673395,2.76699075,10530,0.099051,10.323695,1.9174093,1.9545904882659648,0.171123,1.1673395,2.76699075,10530,0.09248,0.256447,0.1125270131054131,0.015628272519525553,0.0998575,0.112877,0.1186505,1755,0.137544,0.288394,0.15330780626780627,0.015615425629370449,0.142843,0.149488,0.15392,1755,24.056024,60.506553,29.196820703133902,2.555692664942854,27.405271,29.074838,30.929133,1755,10.322377,29.307532,15.112698358404558,2.408292826450903,13.4086635,14.917884,16.8320645,1755,0.074681,0.226436,0.08673839829059829,0.011914026504128641,0.080845,0.083626,0.086568,1755,9.488191,28.382361,14.269192038176639,2.3237939852713763,12.645265,14.073489,15.986614,1755,0.104585,0.825213,0.26957623304843303,0.10535220132317391,0.208425,0.245322,0.299573,1755,0.402037,1.192107,0.4850608769230769,0.03405731980668005,0.4639435,0.482161,0.506756,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037795,1.670033,0.09585824000000001,0.11884063399843675,0.04388475,0.082103,0.112802,1000,0.283303,0.449643,0.31044499400000003,0.026324156172724017,0.29108225,0.297358,0.3300105,1000,0.001216,0.015201,0.0018950385,0.0008516357366960067,0.00146375,0.0016095,0.002245,4000,0.002915,0.021933,0.00389450675,0.0010875277550271704,0.00324,0.003473,0.004485,4000,0.023449,0.064053,0.02605250375,0.0035998526385792426,0.024039,0.024504,0.02630525,4000,0.023449,0.064053,0.02605250375,0.0035998526385792426,0.024039,0.024504,0.02630525,4000,0.020207,0.047284,0.0227751,0.0029571954639489085,0.02076575,0.021031,0.0247335,1000,0.027345,0.059518,0.029513313,0.002557713040008789,0.02796225,0.028348,0.0308755,1000,0.585657,2.493826,0.6937077709999999,0.1546931521901036,0.6031365,0.651995,0.76162125,1000,0.091914,0.194535,0.105975135,0.015432606207662236,0.09490625,0.0986545,0.1158335,1000,0.025813,0.086516,0.029800704,0.005330927417099581,0.026758,0.027438,0.03209825,1000,0.041569,0.111577,0.048446489,0.008155967380015628,0.04288275,0.0443335,0.05286225,1000,0.006223,0.027407,0.007643383,0.001897572785510743,0.006466,0.006695,0.0082065,1000,0.016762,0.055183,0.019487025,0.0032145607389463026,0.0175,0.0179625,0.021161,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.02632,1.623294,0.096343636,0.11784392760392665,0.0438605,0.083303,0.114353,1000,0.283531,0.472656,0.31212873700000004,0.026910695023908818,0.291841,0.299109,0.3323255,1000,0.001221,0.017673,0.0019245055,0.0009010052865936748,0.00147275,0.00164,0.002277,4000,0.002949,0.015064,0.00389344425,0.0009611945080949733,0.00326775,0.003494,0.004474,4000,0.023325,0.06237,0.026062937999999997,0.00361303183422953,0.024046,0.02457,0.02637225,4000,0.023325,0.06237,0.026062937999999997,0.00361303183422953,0.024046,0.02457,0.02637225,4000,0.020176,0.050791,0.022763235,0.0031179192234204846,0.020609,0.02088,0.0245645,1000,0.02727,0.057472,0.029514237000000002,0.0026524851725939955,0.0278655,0.028202,0.030985,1000,0.585688,2.471859,0.6974843930000001,0.15570374360505448,0.6050775,0.6537555,0.76507525,1000,0.091904,0.202989,0.106490633,0.015434144963045765,0.09508975,0.0988535,0.11715275,1000,0.025876,0.06408,0.030006857,0.004703612735605579,0.027012,0.0276245,0.03262275,1000,0.041713,0.110402,0.048800811,0.008516235227216248,0.0429145,0.044306,0.0541865,1000,0.006044,0.019091,0.007517291000000001,0.0016351677272741778,0.006344,0.0068465,0.00808875,1000,0.016868,0.045385,0.019561532,0.0028858097648625423,0.0174995,0.0179685,0.0211855,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.033847,1.702082,0.067252054,0.11709587498726454,0.042757,0.0546,0.06754425,1000,0.285779,0.423604,0.299076455,0.017456459110540574,0.29086375,0.2940975,0.298759,1000,0.001223,0.017601,0.0017924875,0.000916205942102402,0.001415,0.001525,0.00220925,4000,0.00298,0.022979,0.00372812025,0.0010940315714319845,0.00319475,0.003334,0.004399,4000,0.02348,0.138497,0.0251766915,0.0033009294767273887,0.023956,0.024184,0.02566825,4000,0.02348,0.138497,0.0251766915,0.0033009294767273887,0.023956,0.024184,0.02566825,4000,0.020397,0.050983,0.021251657,0.0019680295666861815,0.020681,0.0208045,0.0209735,1000,0.027337,0.070965,0.02865294,0.003024531367732859,0.02782775,0.028007,0.02822925,1000,0.60253,2.537451,0.666285972,0.14144880301061305,0.6214545,0.6510535,0.66771125,1000,0.104103,0.218541,0.127226728,0.015881524389617513,0.11619425,0.125974,0.13207125,1000,0.0263,0.063393,0.028128802,0.0031838097997204545,0.02705375,0.027398,0.027815,1000,0.047014,0.115496,0.050433324999999994,0.006912773169240764,0.048098,0.048591,0.04948475,1000,0.009224,0.073896,0.029100585999999998,0.010018918539173978,0.02070075,0.030473,0.03523875,1000,0.017247,0.047698,0.018956168000000002,0.002768965364495555,0.0178445,0.0180335,0.018378,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.037275,1.430113,0.081114284,0.09678873696243455,0.07392225,0.074636,0.0776775,1000,0.087801,0.177779,0.11265067200000001,0.010801763325606428,0.11164725,0.1125935,0.11393125,1000,0.002159,0.015606,0.003102854,0.0010109999617626106,0.00297575,0.003028,0.003087,1000,0.004489,0.023227,0.005973483,0.0012907732658027126,0.005788,0.005884,0.006009,1000,0.029281,0.0833,0.037565161,0.004096872587850273,0.03731125,0.037592,0.037871,1000,0.029281,0.0833,0.037565161,0.004096872587850273,0.03731125,0.037592,0.037871,1000,0.006302,0.025304,0.009693241,0.0015036701968580081,0.00972,0.009835,0.009961,1000,0.010783,0.07793,0.013085298,0.0023524603153286133,0.012918,0.0130195,0.013117,1000,0.191672,1.734517,0.30426881699999997,0.10768956182995411,0.299899,0.302305,0.306338,1000,0.012963,0.085922,0.039538321,0.010197457516947986,0.04066375,0.0411345,0.0418415,1000,0.002165,0.020648,0.003209274,0.000903908090971643,0.003022,0.003111,0.003262,1000,0.007257,0.05046,0.017445585,0.004290875902747014,0.017514,0.017677,0.01787625,1000,0.001893,0.056416,0.01682302,0.006150423349949172,0.01810475,0.0183465,0.018511,1000,0.001039,0.011498,0.001534605,0.0006656788166788844,0.001393,0.001439,0.001483,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036589,1.494832,0.096100646,0.09660329932516117,0.07481075,0.102995,0.10472075,1000,0.088152,0.178614,0.111750376,0.009739253993228846,0.111413,0.1120675,0.113108,1000,0.002098,0.015714,0.003024013,0.0009957843997728626,0.002888,0.002946,0.003004,1000,0.004436,0.016803,0.005872243,0.0010093319493362926,0.00574775,0.005849,0.005921,1000,0.029286,0.079007,0.037482105,0.003741718038812519,0.037225,0.0377065,0.037974,1000,0.029286,0.079007,0.037482105,0.003741718038812519,0.037225,0.0377065,0.037974,1000,0.006311,0.020592,0.009554835999999999,0.0015307795017911626,0.00950775,0.00964,0.00978825,1000,0.010702,0.027919,0.012939939000000001,0.0013038841533199947,0.01278875,0.0128945,0.013011,1000,0.191611,1.79849,0.30776623599999997,0.10794698709447294,0.28684725,0.318072,0.323544,1000,0.012652,0.065589,0.029460632,0.006710877064480917,0.0273555,0.0313765,0.0320805,1000,0.002025,0.011093,0.003117305,0.0006640022273870774,0.002962,0.003058,0.003181,1000,0.007125,0.041128,0.016208437,0.003852275922105139,0.01579575,0.0165095,0.01689675,1000,0.001862,0.019411,0.008114238000000001,0.0028368840077373624,0.00655775,0.0098275,0.010132,1000,0.00103,0.024822,0.0014946579999999998,0.0010028127437542865,0.001303,0.001373,0.001433,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.006439,0.165188,0.008146785,0.009433800224658936,0.006749,0.006877,0.00713775,1000,1.141293,1.307068,1.1552073219999999,0.018099269343824796,1.146145,1.1490915,1.1531715,1000,0.066242,0.106985,0.067449096,0.0033133679362219947,0.06665175,0.06679,0.06693025,1000,0.03684,0.099272,0.037760156,0.0029161739872072103,0.037199,0.0373055,0.037435,1000,0.022569,0.050738,0.023602626,0.0020146707239953633,0.022985,0.0231285,0.02337075,1000,0.991667,1.156935,1.002601278,0.015674901896430355,0.995523,0.997362,1.00048925,1000,0.002766,0.008346,0.00311379,0.0006625418536968062,0.00290775,0.002975,0.00304625,1000,0.011446,0.027919,0.011977869,0.001128218991082405,0.01169,0.011763,0.01184725,1000,1.177316,1.468412,1.1942934909999998,0.024892815372832357,1.18374575,1.187005,1.191954,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000287,0.002917,0.00035830599999999997,0.00010208001941614234,0.000321,0.00034,0.000376,1000,2.589686,5.033698,2.6513819360000004,0.18428519588491613,2.603399,2.618499,2.646279,1000,0.051845,0.102537,0.054318188999999996,0.003599588662511176,0.052447,0.0528545,0.0561785,1000,0.044126,0.076375,0.045899683,0.0027798344210601825,0.044647,0.044967,0.0467965,1000,0.700139,1.995402,0.722979875,0.09085995292850077,0.708155,0.7122415,0.7161575,1000,1.764285,2.846807,1.803774749,0.10753375314762337,1.77020475,1.7765565,1.80208,1000,0.00118,0.011479,0.001414492,0.0003743187704831271,0.00132175,0.00137,0.00143725,1000,0.012712,0.034851,0.013559532999999999,0.0012160206909880276,0.01315475,0.0133685,0.013607,1000,2.614592,5.093407,2.678113443,0.18655000398838578,2.629616,2.6445775,2.67279575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000291,0.000871,0.00035733300000000004,6.361022017726396e-05,0.000319,0.000334,0.000372,1000,2.63229,4.89743,2.692482599,0.174190495143932,2.64357,2.656936,2.68894325,1000,0.051737,0.085285,0.052972101,0.002564410718820018,0.052018,0.0522525,0.05312775,1000,0.044189,0.075355,0.045229551,0.002483493174824324,0.04450675,0.0446585,0.0450795,1000,0.700049,1.945445,0.725304052,0.08424401828971179,0.70577025,0.707608,0.7410745,1000,1.806479,2.829808,1.844769807,0.10305903270174697,1.813918,1.819834,1.8382275,1000,0.001167,0.011377,0.0013870619999999999,0.00043972986043251596,0.001305,0.001347,0.001401,1000,0.012749,0.024401,0.013724133,0.000940426516699205,0.0131765,0.0136685,0.01396325,1000,2.657625,4.954937,2.719336193,0.17653052486389925,2.669895,2.6834125,2.7156935,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
