SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.335901,0.459952,0.36241782352941176,0.01852539646095394,0.3499065,0.357262,0.368579,255,11.525022,14.610921,12.082304749019608,0.3661397234058141,11.8768805,12.069224,12.2194215,255,0.283018,0.476,0.2999520784313725,0.020916343907869745,0.287841,0.296141,0.302993,255,0.137673,0.211931,0.15009914901960783,0.016712018373113504,0.138823,0.139661,0.169234,255,3.563343,4.368776,3.659168525490196,0.09312967442639859,3.6041125,3.645053,3.6808925,255,3.563343,4.368776,3.659168525490196,0.09312967442639859,3.6041125,3.645053,3.6808925,255,0.025251,0.069586,0.02883693725490196,0.005294023950476605,0.0264645,0.026961,0.0291395,255,0.051306,0.096842,0.05434769019607843,0.004384613077268605,0.0525385,0.053157,0.0546825,255,39.836376,60.93735,48.284369082352946,3.4463372019956235,47.4502965,47.811989,48.2594325,255,27.21968,45.642877,35.65037568627451,3.3252854937336327,35.1555675,35.272799,35.526743,255,0.020976,0.034011,0.022654576470588234,0.0019837488794454982,0.021819,0.02222,0.022652,255,21.816135,30.736419,22.997952831372547,2.3402781022004753,21.904711,21.965544,22.0856755,255,4.866801,15.70982,12.206475815686275,1.8339895686727918,12.790765,12.887821,12.974516,255,0.395782,0.634397,0.42129847450980396,0.029490215433995527,0.405479,0.411349,0.4262785,255,0.0,25.6,5.12,10.24,0.0,0.0,0.0,5
SofaScene,8.647438,31.567069,9.2415702017094,1.1444778907552362,8.8230955,8.978292,9.187507,1755,8.362866,31.137131,8.946906757264957,1.1362782523155162,8.5299185,8.684591,8.8872435,1755,0.004854,1.00714,0.17445242630579297,0.16999356154686557,0.02903475,0.118193,0.28051225,10530,0.006099,0.512518,0.08063618110161444,0.07848589270060563,0.0149,0.064957,0.125351,10530,0.036618,16.594761,1.1905125674264008,1.2621396578568937,0.09049925,0.920596,1.71208375,10530,0.036618,16.594761,1.1905125674264008,1.2621396578568937,0.09049925,0.920596,1.71208375,10530,0.094095,0.272853,0.11163808376068377,0.015851315872556438,0.1014575,0.104606,0.1182115,1755,0.128075,0.318459,0.14215404102564103,0.014290649829198357,0.1334285,0.13675,0.1427605,1755,23.854455,61.601861,30.989542947008548,4.274676307085214,28.057831,30.171724,33.0338435,1755,14.466806,36.733627,21.160359504273504,3.8243965963630075,18.4493505,20.571834,23.207511,1755,0.073423,0.193758,0.08608401652421653,0.012239969310859447,0.0801,0.082407,0.08654,1755,13.662402,35.560201,20.290919475783475,3.724389988685186,17.646862,19.704027,22.3096705,1755,0.107161,1.300533,0.274218588034188,0.11565387111512544,0.2077645,0.245381,0.3047875,1755,0.43573,1.473272,0.5070047772079772,0.050169511582870266,0.479331,0.499834,0.5245635,1755,0.0,2.4,0.72,0.96,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.034304,1.724045,0.104594451,0.11877677231208802,0.05183125,0.089983,0.121673,1000,0.191779,0.345739,0.21363665299999998,0.02217193641702481,0.1970465,0.202374,0.23015975,1000,0.002024,0.022747,0.0027000394999999997,0.000959258509182874,0.002178,0.0022775,0.003066,4000,0.004085,0.032777,0.00518681525,0.0015334378225469194,0.00433175,0.0045005,0.00579325,4000,0.014411,0.051548,0.017096504250000002,0.0028858777010611417,0.01516575,0.0159105,0.01823525,4000,0.014411,0.051548,0.017096504250000002,0.0028858777010611417,0.01516575,0.0159105,0.01823525,4000,0.020233,0.058616,0.022858109,0.0034245550384128737,0.02070575,0.0209925,0.0247845,1000,0.025259,0.060319,0.02775382,0.003251942205759506,0.02583775,0.026241,0.029198,1000,0.497653,2.462873,0.6020002950000001,0.15231728851258472,0.52349725,0.5609445,0.665681,1000,0.090329,0.232584,0.105583619,0.01666422269167809,0.09355675,0.097375,0.1168425,1000,0.025101,0.071278,0.029233015,0.004818158957607667,0.0262355,0.0270125,0.031821,1000,0.041356,0.1826,0.048707239,0.009890497363018657,0.04242675,0.0447935,0.05420975,1000,0.00612,0.030725,0.007595325,0.0022022220826644614,0.00639,0.006589,0.00807775,1000,0.016463,0.045309,0.019475202,0.0035404492253379373,0.01711325,0.017752,0.02098475,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.036269,1.735475,0.106991117,0.12056933316175929,0.05211525,0.092658,0.12442675,1000,0.18983,0.354524,0.215819068,0.02406778224991609,0.19671125,0.206408,0.232246,1000,0.002003,0.023221,0.002729756,0.0010792267106423932,0.002177,0.002296,0.00307825,4000,0.004046,0.031328,0.00519599875,0.0016955348555097408,0.004299,0.004475,0.005765,4000,0.014338,0.050404,0.017268977749999997,0.0032849849160620104,0.0152145,0.015996,0.018303,4000,0.014338,0.050404,0.017268977749999997,0.0032849849160620104,0.0152145,0.015996,0.018303,4000,0.020158,0.081479,0.023319641,0.004876015237888311,0.0206595,0.0210205,0.02496475,1000,0.025153,0.065292,0.028375442,0.004866030689857598,0.02584425,0.0263785,0.02933675,1000,0.493804,2.48845,0.611509093,0.15696047345859515,0.52663025,0.5713155,0.670666,1000,0.089853,0.229723,0.107310635,0.017307835697330128,0.0941015,0.0985905,0.118732,1000,0.025268,0.094278,0.029998658,0.005856410827036983,0.026338,0.027431,0.0327295,1000,0.041226,0.144339,0.049290364999999996,0.009607449807507454,0.0424705,0.0455225,0.05498175,1000,0.006059,0.033827,0.0076760249999999995,0.002197782224965658,0.00636525,0.006911,0.00818075,1000,0.016187,0.056997,0.019770416000000002,0.004084671433413464,0.017144,0.0180885,0.021176,1000,0.0,11.9,2.38,4.76,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.033566,1.79005,0.07723874800000001,0.11710506826032123,0.05127725,0.0648025,0.0772705,1000,0.191585,0.306447,0.204875644,0.01516291352732924,0.19667625,0.2002815,0.2050925,1000,0.001935,0.019982,0.00251544475,0.0010160051832778401,0.002135,0.002199,0.002941,4000,0.004054,0.033411,0.00494056575,0.0016060553976052435,0.00430975,0.004413,0.00565625,4000,0.014319,0.055429,0.016557576249999997,0.002730735628028817,0.015019,0.0156625,0.01776,4000,0.014319,0.055429,0.016557576249999997,0.002730735628028817,0.015019,0.0156625,0.01776,4000,0.020296,0.04844,0.021498397000000002,0.0024002024350856326,0.02072475,0.020918,0.021144,1000,0.025179,0.059425,0.026472552,0.002940806372629113,0.025688,0.025879,0.02610175,1000,0.509847,2.51798,0.575297131,0.13967412803795065,0.52951375,0.558096,0.58207,1000,0.101802,0.222513,0.12516317600000001,0.016829995498900883,0.113811,0.12313,0.129732,1000,0.025369,0.057915,0.027432468,0.0037864024282920593,0.02616975,0.0265035,0.02690225,1000,0.046463,0.114699,0.049979878,0.007229700556946739,0.0473565,0.0477665,0.04880825,1000,0.009262,0.072895,0.028618835,0.010137627245848754,0.020268,0.029723,0.034324,1000,0.016688,0.046458,0.018593625,0.0031782522181814017,0.01721675,0.017456,0.01795225,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040008,1.555899,0.07999176200000001,0.1004442596566342,0.07080525,0.0736785,0.074597,1000,0.059026,0.167236,0.078123227,0.009442846106522703,0.07639475,0.0770665,0.08051025,1000,0.002922,0.022778,0.004125712,0.001037812508623788,0.00404575,0.004111,0.00418425,1000,0.005941,0.024633,0.007716506000000001,0.0016989218734138423,0.0075555,0.007644,0.00773125,1000,0.018135,0.062537,0.024484929,0.0037463069684636092,0.0241325,0.02438,0.024768,1000,0.018135,0.062537,0.024484929,0.0037463069684636092,0.0241325,0.02438,0.024768,1000,0.006216,0.033536,0.009453373,0.00195491188391472,0.009302,0.009444,0.009693,1000,0.009722,0.041078,0.012067808999999999,0.002338844784187057,0.01179175,0.0118965,0.01199,1000,0.162725,1.844494,0.266385482,0.11129271288086957,0.25865275,0.2612255,0.2665295,1000,0.012655,0.091551,0.038925336000000005,0.010355905042588215,0.039477,0.03994,0.04205975,1000,0.001919,0.020191,0.003079328,0.0013059630310295921,0.00293175,0.003001,0.00309025,1000,0.007279,0.049331,0.017090136,0.004603395383573304,0.01724875,0.0173855,0.017523,1000,0.001874,0.055296,0.01613158,0.006056558453247191,0.01738675,0.0176135,0.01776425,1000,0.000937,0.016757,0.00133983,0.0007820191807749986,0.00123875,0.001283,0.001316,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039854,1.496064,0.095116293,0.09843550176753887,0.0736575,0.0984015,0.103061,1000,0.059375,0.152092,0.078485534,0.010020822083184793,0.075732,0.076578,0.0801995,1000,0.002897,0.02088,0.004139183,0.0012443869307859996,0.00403475,0.004092,0.00415,1000,0.005868,0.031769,0.007819663,0.002124000771523165,0.007514,0.007611,0.007749,1000,0.018072,0.056219,0.02458016,0.004217842994043283,0.02395375,0.024255,0.0246795,1000,0.018072,0.056219,0.02458016,0.004217842994043283,0.02395375,0.024255,0.0246795,1000,0.006213,0.035576,0.009365262000000001,0.0019231418370354277,0.0092095,0.009377,0.00964475,1000,0.009576,0.034807,0.011936924000000002,0.002214413979865554,0.01167075,0.011772,0.011863,1000,0.161913,1.776452,0.27202485499999995,0.10866600629024688,0.247102,0.2776145,0.28286475,1000,0.012651,0.07264,0.029176726,0.007235590627234518,0.02666475,0.030271,0.0312195,1000,0.001984,0.018822,0.002986656,0.0008724893590548827,0.002913,0.002986,0.00306325,1000,0.007209,0.058218,0.015911364,0.004238137274971636,0.01556875,0.016124,0.0165975,1000,0.00189,0.030919,0.007739076,0.003040354277419656,0.00623975,0.009239,0.009529,1000,0.000919,0.011246,0.0013067909999999999,0.0006282393073654339,0.00118675,0.001251,0.001309,1000,0.0,7.3,2.66,3.2836564984784875,0.0,0.0,6.0,5
FixedProjectiveConstraint,0.008657,0.133003,0.010605673000000001,0.008663085601566627,0.00899525,0.00922,0.00972125,1000,1.119767,1.977246,1.2250207320000002,0.1032752114133986,1.14199075,1.171378,1.31442475,1000,0.06695,0.126892,0.07159789,0.007137886248456192,0.06739,0.069886,0.0729765,1000,0.037648,0.093032,0.040083286999999995,0.005472125439592097,0.03805575,0.0384355,0.0403605,1000,0.014511,0.050794,0.015964594999999998,0.003197912663437668,0.0149235,0.015136,0.01541125,1000,0.992102,1.766447,1.08879294,0.09918877255816003,1.00626725,1.033769,1.179533,1000,0.002713,0.020651,0.003262918,0.00120523665944743,0.00297775,0.0030245,0.003096,1000,0.011003,0.087798,0.012107801999999999,0.0034681450227457325,0.011319,0.011421,0.01163525,1000,1.157163,2.044284,1.267266666,0.10705810430887727,1.18112125,1.212868,1.35547225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.7,1.1800000000000002,1.8203296404772407,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000285,0.003166,0.000346973,0.00011045010760972575,0.000317,0.000327,0.000341,1000,2.461173,5.00319,2.5763690290000003,0.20092680364958818,2.502562,2.5410685,2.592268,1000,0.050481,0.110893,0.055614059,0.008433988631573974,0.05214675,0.052508,0.053912,1000,0.042595,0.08916,0.046034533,0.005533254667635586,0.04362575,0.044579,0.04504125,1000,0.688003,2.114262,0.723823549,0.0990805786864893,0.6950815,0.7155185,0.73156175,1000,1.668647,2.853611,1.742306104,0.11891991369160669,1.6844025,1.7198655,1.75543425,1000,0.001148,0.01517,0.00150252,0.0009589365221952911,0.00125175,0.001303,0.001382,1000,0.011699,0.041864,0.013097778000000001,0.0026961231720223763,0.01207775,0.012227,0.01256825,1000,2.484586,5.06212,2.6036430210000003,0.2042701081718286,2.526819,2.566825,2.61870225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.8,0.96,1.9200000000000002,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000284,0.003247,0.000332652,0.0001021233905430093,0.000313,0.000323,0.00033425,1000,2.610297,5.06443,2.6872211490000004,0.18018030975215024,2.63631425,2.664031,2.69076075,1000,0.051775,0.100611,0.053994127999999995,0.005360378858030092,0.052205,0.052425,0.0528425,1000,0.044016,0.08329,0.045665065000000005,0.004126579999803106,0.0443365,0.0445045,0.0447955,1000,0.689493,1.968855,0.7131020459999999,0.08650871977879386,0.6943535,0.697688,0.71741775,1000,1.812616,2.911123,1.866838714,0.10801622776180532,1.82445025,1.8500165,1.8699575,1000,0.001139,0.012073,0.00130841,0.00037124377422389186,0.001231,0.001269,0.001322,1000,0.011577,0.036907,0.01245894,0.001874000144183559,0.012006,0.0121415,0.01230925,1000,2.636032,5.124263,2.712533177,0.18248358628604291,2.66111275,2.6891645,2.716586,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,10.6,2.12,4.24,0.0,0.0,0.0,5
