SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.338324,0.624986,0.36148707058823526,0.02570232759679669,0.348046,0.353887,0.3662005,255,11.804646,16.958595,12.365859964705882,0.46082918580918414,12.2087405,12.321308,12.4892505,255,0.28582,0.68735,0.29981794901960784,0.030836837713964785,0.2887215,0.29209,0.2998335,255,0.138884,0.349883,0.14767163137254902,0.018241246920243426,0.1402035,0.14096,0.145912,255,3.568437,4.419351,3.703519564705882,0.10693167491020009,3.638929,3.692212,3.7467165,255,3.568437,4.419351,3.703519564705882,0.10693167491020009,3.638929,3.692212,3.7467165,255,0.022674,0.050406,0.02488190588235294,0.0030913553457172812,0.0237255,0.024127,0.024579,255,0.047083,0.090399,0.050483705882352944,0.005262299881506809,0.048628,0.049056,0.049665,255,39.937153,62.345333,48.30291190196078,3.0747765506058995,47.742569,48.039796,48.3526665,255,27.150594,44.930594,35.40451026666666,2.8713745582960675,35.0811675,35.224857,35.3789635,255,0.020567,0.04196,0.022147545098039217,0.0020036594709224287,0.0213875,0.021807,0.022124,255,21.778949,29.847463,22.786088854901962,2.1727153175371074,21.872766,21.901703,21.962333,255,4.823821,14.830705,12.174557529411764,1.8268239513736675,12.739092,12.84684,12.986581,255,0.395866,0.704395,0.41893599607843135,0.03076356757320836,0.4053865,0.411612,0.4220485,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,8.961088,13.844446,9.34651479031339,0.3701059212000849,9.118752,9.259547,9.5056925,1755,8.679173,13.450827,9.0362755994302,0.36232478153743986,8.813382,8.95332,9.1834095,1755,0.004974,0.703551,0.1751611393162393,0.1706403702162707,0.0297275,0.11879,0.2796135,10530,0.005965,0.330184,0.07870371861348528,0.07636449653412056,0.0140485,0.06606,0.110409,10530,0.035794,5.542188,1.1631449995251661,1.1996639938607707,0.086303,0.9637635,1.73509475,10530,0.035794,5.542188,1.1631449995251661,1.1996639938607707,0.086303,0.9637635,1.73509475,10530,0.098444,0.259197,0.11239994928774928,0.012727060220114899,0.1044015,0.107111,0.118829,1755,0.118547,0.212438,0.12964363646723648,0.010521951016154867,0.1234845,0.125945,0.1319995,1755,24.066651,72.732324,30.952779804558403,4.119805644388266,28.3705085,30.297672,32.6065105,1755,14.398391,61.961492,21.107158375498575,4.064296685216765,18.5927375,20.392049,22.7634385,1755,0.072951,0.347025,0.08324557948717949,0.011990398602225989,0.07883,0.080791,0.0836175,1755,13.599239,60.281892,20.270303813675213,3.970983980447602,17.8262905,19.581499,21.9145695,1755,0.100676,0.730719,0.2551630849002849,0.10407292560813354,0.1968775,0.228733,0.2796565,1755,0.438491,1.221377,0.49621971168091167,0.03764836525882859,0.4740305,0.489237,0.5107985,1755,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
BilateralLagrangianConstraint_NNCG,0.033829,1.749506,0.10818794400000001,0.12199025764263663,0.05401675,0.09315,0.1250895,1000,0.124523,0.268895,0.14240171100000001,0.018950320294957523,0.1290765,0.133397,0.15414175,1000,0.001827,0.026828,0.0025578742499999998,0.0013258198691515138,0.001978,0.002083,0.00293625,4000,0.003976,0.084601,0.005193466000000001,0.00209020628727023,0.004328,0.004602,0.00572525,4000,0.000357,0.018667,0.000762759,0.0008247566428462398,0.000463,0.000521,0.000968,4000,0.000357,0.018667,0.000762759,0.0008247566428462398,0.000463,0.000521,0.000968,4000,0.019936,0.05212,0.022766862000000002,0.0039039014384274614,0.0204685,0.020806,0.0243695,1000,0.025296,0.065408,0.027978015,0.004209147111087352,0.025945,0.0263285,0.029124,1000,0.421093,2.404132,0.523287665,0.1541300388876963,0.45026525,0.482567,0.5776545,1000,0.086921,0.225669,0.10290427199999999,0.017694336062707074,0.08997025,0.0940835,0.1137765,1000,0.024706,0.06778,0.02930116,0.005582034129634107,0.02588275,0.026691,0.03193725,1000,0.039458,0.144823,0.047020785,0.010293492931593968,0.0404085,0.042982,0.052327,1000,0.005309,0.026801,0.006675872,0.0019795803049171812,0.00563775,0.005848,0.00711125,1000,0.016013,0.061679,0.019375772,0.0047046015444473085,0.01676025,0.017375,0.02067325,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.035524,1.823377,0.108426862,0.12432159283792561,0.05293275,0.095208,0.12519175,1000,0.124513,0.249811,0.143167403,0.017962345197122538,0.12912125,0.1356465,0.15432675,1000,0.001814,0.021284,0.002522705,0.0010665379892319826,0.001985,0.002106,0.002973,4000,0.004053,0.026422,0.0052580525,0.0017545954315008772,0.004302,0.004535,0.0058,4000,0.000341,0.018222,0.000739864,0.0008265433675881744,0.00044975,0.000508,0.000883,4000,0.000341,0.018222,0.000739864,0.0008265433675881744,0.00044975,0.000508,0.000883,4000,0.019886,0.06214,0.022789578,0.0040456047599729756,0.0204205,0.0206775,0.02442325,1000,0.025368,0.076171,0.027973928,0.0039532878960197165,0.026018,0.0264045,0.0292345,1000,0.418942,2.427755,0.524704112,0.15268417038430496,0.45012125,0.4847985,0.5775915,1000,0.087517,0.201076,0.102814014,0.01684226895105894,0.09014675,0.0940625,0.11403225,1000,0.024989,0.070867,0.029300223,0.005312236548881365,0.02592875,0.026866,0.03195675,1000,0.039544,0.098361,0.047189949,0.009580247058943678,0.040578,0.043206,0.05254025,1000,0.00539,0.027676,0.006692781,0.0018630327820623556,0.005628,0.006014,0.007086,1000,0.016202,0.055065,0.019086686000000002,0.0036644332944404923,0.01673775,0.017273,0.0206485,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037465,1.700348,0.079536708,0.11478246895868173,0.05274,0.0671865,0.07936275,1000,0.125287,0.28248,0.136495799,0.015010853352244802,0.12866575,0.131687,0.13531475,1000,0.001805,0.023195,0.00243608575,0.001291810416391251,0.001977,0.002054,0.0029,4000,0.004009,0.083955,0.00490125475,0.0018508227178345412,0.004233,0.004386,0.00562725,4000,0.000359,0.012186,0.0007339275000000001,0.000701064007237392,0.000446,0.00051,0.000953,4000,0.000359,0.012186,0.0007339275000000001,0.000701064007237392,0.000446,0.00051,0.000953,4000,0.020045,0.061826,0.021374559,0.003546684454320542,0.02040075,0.020548,0.020776,1000,0.025467,0.063048,0.027112482,0.004225874178164324,0.0259385,0.026116,0.02633475,1000,0.435257,2.360262,0.5003392289999999,0.13815152338144,0.45874625,0.4830155,0.50455,1000,0.099437,0.30599,0.12278638,0.017846618129875473,0.11047025,0.120675,0.126811,1000,0.025213,0.066334,0.027560946,0.004280669553596026,0.02611725,0.0264675,0.02689575,1000,0.044517,0.206646,0.048485276,0.009310353720768293,0.04544275,0.0459085,0.0468975,1000,0.008802,0.078061,0.027568596,0.009764725609497893,0.01933675,0.0288255,0.0330645,1000,0.016742,0.053002,0.018643653,0.003875949461305062,0.017159,0.017392,0.01788225,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039974,1.559721,0.08395871099999999,0.10094058568519147,0.07492075,0.0753555,0.07765225,1000,0.039612,0.126996,0.053162377000000004,0.00971011193987335,0.05072875,0.0511565,0.0519035,1000,0.002757,0.021895,0.004169582000000001,0.0015196038468219275,0.00399575,0.004067,0.00414,1000,0.005637,0.028437,0.007628811,0.0021343290157047013,0.007259,0.007363,0.0075005,1000,0.000696,0.02168,0.001051365,0.0010008676384892258,0.000937,0.000971,0.00100425,1000,0.000696,0.02168,0.001051365,0.0010008676384892258,0.000937,0.000971,0.00100425,1000,0.006017,0.039816,0.009480486000000002,0.002433642278520818,0.009187,0.009303,0.00944175,1000,0.009931,0.057026,0.012747834999999999,0.002974701043428566,0.01233,0.012468,0.01259425,1000,0.139837,1.813235,0.242560686,0.11087200048055146,0.2310465,0.23363,0.24874675,1000,0.011978,0.129802,0.038530555,0.011101899216304162,0.03866725,0.0390835,0.0403635,1000,0.001943,0.044043,0.0030776469999999998,0.0017297815077029237,0.00288975,0.0029625,0.00304225,1000,0.006813,0.04648,0.016934045,0.0047489740436198425,0.01671,0.016867,0.017052,1000,0.001619,0.102027,0.016331201,0.006840201167699601,0.01721225,0.017438,0.01758075,1000,0.000937,0.013999,0.001397599,0.0008076140626555483,0.00126,0.001299,0.001338,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040001,1.678694,0.098769777,0.10274213304191847,0.07594075,0.1037285,0.10523,1000,0.039961,0.10398,0.053058113,0.008015771602049986,0.0508185,0.0515205,0.0527115,1000,0.002749,0.025447,0.004174836,0.0013249251371696442,0.004039,0.0041135,0.004185,1000,0.005634,0.035682,0.007631639,0.001951652563003723,0.007358,0.007503,0.00762125,1000,0.00071,0.009818,0.001012373,0.00044362232796715725,0.000932,0.000964,0.000999,1000,0.00071,0.009818,0.001012373,0.00044362232796715725,0.000932,0.000964,0.000999,1000,0.006191,0.039682,0.00952424,0.0023754317002178784,0.00922475,0.009367,0.009498,1000,0.009855,0.039591,0.012694564,0.0024475755894157796,0.0122825,0.012432,0.012584,1000,0.1402,1.912807,0.247681951,0.11214493359126217,0.221767,0.2525285,0.25743975,1000,0.012002,0.067708,0.028531562000000003,0.007160213452834769,0.025914,0.029677,0.03063625,1000,0.002012,0.017962,0.0032194389999999997,0.001197813225122765,0.00296075,0.003047,0.003228,1000,0.006839,0.043039,0.01574083,0.004334224311581023,0.0151305,0.015815,0.016195,1000,0.001546,0.032588,0.00741569,0.0029844463285339886,0.005846,0.0088605,0.009193,1000,0.00099,0.014699,0.00138876,0.000773705163741331,0.001228,0.00129,0.001344,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008543,0.167198,0.01035228,0.00942295297163262,0.008856,0.009021,0.009292,1000,1.113138,1.350611,1.1485497990000002,0.02710724878117658,1.12616275,1.147614,1.15854925,1000,0.067218,0.116554,0.069273993,0.005952247420340573,0.0675605,0.067686,0.067916,1000,0.037791,0.077705,0.039576275,0.00503836845331651,0.03823675,0.0384205,0.03862725,1000,0.00069,0.021569,0.000872223,0.0007666603937018007,0.000769,0.000806,0.00085825,1000,0.999222,1.167139,1.030601378,0.02400927831412506,1.0100995,1.030943,1.04070825,1000,0.002736,0.02388,0.003186437,0.0013579151350622029,0.002898,0.002957,0.003029,1000,0.00801,0.029567,0.008710089,0.0018624183995759385,0.008367,0.0084525,0.008539,1000,1.145825,1.536331,1.184872169,0.03357838654257287,1.160852,1.183004,1.19536575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000271,0.002586,0.000341146,8.88921182332832e-05,0.000311,0.00033,0.000358,1000,2.509878,5.197759,2.606816896,0.2046940338661027,2.55195125,2.5838055,2.61644875,1000,0.05251,0.102045,0.057029443,0.006007635774807841,0.0531035,0.0566945,0.05728375,1000,0.044049,0.090821,0.047213915999999995,0.005637511296746464,0.04454575,0.046888,0.0474,1000,0.689559,2.183278,0.718398258,0.10260372277515782,0.696802,0.702074,0.72534425,1000,1.705872,2.877663,1.7766163689999999,0.11768229508601895,1.7387605,1.7639255,1.78433025,1000,0.001168,0.011658,0.00138898,0.0005277157242303853,0.001298,0.001339,0.001396,1000,0.005871,0.057295,0.006662984,0.0019429473883108624,0.00626,0.0064775,0.00673,1000,2.526499,5.281459,2.625177425,0.2075974288168049,2.57008275,2.600746,2.634346,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000278,0.009019,0.000344756,0.00027878031218864794,0.000311,0.000328,0.000347,1000,2.603511,5.097037,2.689192149,0.19811162432248844,2.617392,2.6495775,2.715455,1000,0.052119,0.09585,0.055275152,0.004467087251542777,0.052705,0.05323,0.05705925,1000,0.044028,0.08772,0.046435638,0.0038578330872338167,0.044535,0.044834,0.047323,1000,0.689623,2.036373,0.720642342,0.09368036768157474,0.6960375,0.7015855,0.7321755,1000,1.805765,2.943584,1.8593543600000002,0.11821549277649018,1.8141365,1.8345775,1.863462,1000,0.001168,0.011606,0.001350679,0.0003564117141158522,0.001279,0.001316,0.00136125,1000,0.006005,0.018821,0.0065980150000000005,0.0008341057563492774,0.006332,0.006474,0.00665325,1000,2.619851,5.147762,2.7072969920000003,0.20045861090975844,2.635087,2.667417,2.73437425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
