SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.338054,0.614382,0.3616942901960784,0.030830161084372157,0.3472155,0.35245,0.3655,255,11.527686,17.480639,12.19040737254902,0.5340930526605133,11.9589125,12.185382,12.3094785,255,0.282769,0.444727,0.2988746392156863,0.019148788142355513,0.2866585,0.292358,0.304928,255,0.136928,0.218281,0.14863603921568627,0.015833447580633164,0.138691,0.139858,0.153705,255,3.586527,5.377801,3.766657031372549,0.13000592294540003,3.725036,3.756595,3.796368,255,3.586527,5.377801,3.766657031372549,0.13000592294540003,3.725036,3.756595,3.796368,255,0.025169,0.060287,0.027738027450980394,0.0038603549084059987,0.026201,0.02663,0.027757,255,0.050605,0.084342,0.05369514901960785,0.0044854002791353716,0.0520115,0.052567,0.0534865,255,39.873415,73.469867,47.83560654117647,3.445890186904469,47.439645,47.85343,48.0414415,255,27.237227,55.134839,35.09872148627451,3.135057259191492,35.087007,35.212544,35.30248,255,0.02004,0.047845,0.022491866666666666,0.002794350207161128,0.0214465,0.021965,0.0224435,255,21.73184,31.468286,22.40960891764706,1.9516083127935229,21.853859,21.8862,21.9207855,255,4.909963,23.79448,12.243524486274511,1.9588378363505792,12.746753,12.891582,12.969279,255,0.394224,0.674334,0.42116620784313724,0.029984679218481438,0.4078355,0.412371,0.42302,255,0.0,6.0,1.2,2.4000000000000004,0.0,0.0,0.0,5
SofaScene,8.64866,18.525228,9.263332269515669,1.0115045783816565,8.8250845,8.981896,9.2329935,1755,8.397137,18.090633,8.964262378917379,1.0026633763221549,8.5328215,8.68292,8.930888,1755,0.005043,0.746369,0.17669240094966762,0.1727159749821715,0.02875525,0.1209905,0.28437625,10530,0.006079,0.370181,0.08293795052231719,0.07982923828179728,0.01478625,0.062331,0.13833275,10530,0.037338,7.399804,1.1979504770180436,1.2588078501232614,0.092378,0.901699,1.726606,10530,0.037338,7.399804,1.1979504770180436,1.2588078501232614,0.092378,0.901699,1.726606,10530,0.094525,0.235661,0.11324027407407407,0.01659372459492717,0.101167,0.110634,0.1183745,1755,0.127895,0.234276,0.14285756182336182,0.015032957271435662,0.1330675,0.139064,0.143318,1755,23.734494,55.086683,31.172184008547006,4.387036443386449,28.15789,30.398352,33.3251645,1755,14.436325,41.588447,21.31058870997151,3.9649647664636456,18.5679025,20.768198,23.1273145,1755,0.073844,0.181502,0.0871626398860399,0.012664582593023077,0.080794,0.083137,0.088546,1755,13.624588,40.412755,20.434416211396012,3.8684142856940493,17.7425165,19.901426,22.2486985,1755,0.106943,0.71559,0.2752558484330484,0.10940907761381244,0.20996,0.251424,0.3050745,1755,0.438036,0.995173,0.5115959293447293,0.04792284140026914,0.481849,0.502681,0.529986,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035214,1.623881,0.10476871,0.1183031311975296,0.05171025,0.0896705,0.121553,1000,0.191155,0.338959,0.21460758300000002,0.02188239411940821,0.19760875,0.203046,0.2302395,1000,0.001966,0.022541,0.00266978775,0.0010840495141827876,0.002136,0.00227,0.003001,4000,0.004083,0.035046,0.005195702,0.00152030923801574,0.00437375,0.004569,0.005794,4000,0.014416,0.093176,0.017196536749999998,0.003408815565654651,0.01518275,0.016017,0.01817,4000,0.014416,0.093176,0.017196536749999998,0.003408815565654651,0.01518275,0.016017,0.01817,4000,0.020114,0.059716,0.022841024,0.0037233523361916744,0.02062475,0.020891,0.0246775,1000,0.025015,0.066258,0.027503236,0.003193461371036763,0.025669,0.0261315,0.02903225,1000,0.495139,2.386516,0.6023642610000001,0.15257957998211583,0.5235125,0.5618325,0.66646725,1000,0.089824,0.211111,0.105344875,0.017095114901379722,0.09267675,0.0968155,0.11671425,1000,0.025308,0.074253,0.029417899,0.005789040317427319,0.02619575,0.026885,0.03146625,1000,0.040857,0.124122,0.048365855000000006,0.009214702283306554,0.0419815,0.044658,0.0544305,1000,0.006106,0.028352,0.007673628,0.002336140931454265,0.006395,0.0065655,0.0080815,1000,0.016336,0.065613,0.019337837,0.004014978870234687,0.01690375,0.0175275,0.02083125,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034298,1.700401,0.105700718,0.11921077465875506,0.0514965,0.092168,0.12253675,1000,0.192413,0.451876,0.216868968,0.024386224547579643,0.19839775,0.205149,0.233087,1000,0.001986,0.031237,0.00272651275,0.0012027722653675705,0.002163,0.002284,0.003062,4000,0.004103,0.033578,0.0052382240000000005,0.0015935624756576066,0.004371,0.004552,0.005805,4000,0.014431,0.056549,0.0173280415,0.0032662208570116242,0.015282,0.01607,0.018269,4000,0.014431,0.056549,0.0173280415,0.0032662208570116242,0.015282,0.01607,0.018269,4000,0.020203,0.050189,0.023114042,0.004199102371726129,0.02062675,0.0208925,0.02472325,1000,0.02506,0.071519,0.027923238,0.00428469907874007,0.02565025,0.0260555,0.02912925,1000,0.496371,2.471009,0.607495029,0.15264680032136985,0.52746675,0.5644795,0.669149,1000,0.090337,0.220073,0.10578613499999999,0.016725141953800423,0.093021,0.0968255,0.1171385,1000,0.02563,0.09123,0.029719239,0.005543354525364493,0.026439,0.027029,0.03228275,1000,0.040982,0.136388,0.048640885,0.009357062536168869,0.0420115,0.0451005,0.05444625,1000,0.006061,0.021486,0.007604954,0.0019117465506400162,0.006337,0.006856,0.0081325,1000,0.016257,0.053372,0.019269019000000002,0.003462590602228193,0.016901,0.01758,0.02085725,1000,0.0,9.5,2.1399999999999997,3.709231726382163,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.035128,1.791635,0.077035872,0.118586507783616,0.051013,0.064389,0.076017,1000,0.190119,0.318867,0.20342802,0.015512779298616995,0.195419,0.1980745,0.20344575,1000,0.001944,0.018489,0.0024889535,0.0009941570325344734,0.002092,0.002163,0.002905,4000,0.004055,0.025216,0.00487300275,0.0013295731129736481,0.004283,0.004383,0.0056735,4000,0.014201,0.054297,0.0164060285,0.0028174503138809295,0.01487775,0.015471,0.017679,4000,0.014201,0.054297,0.0164060285,0.0028174503138809295,0.01487775,0.015471,0.017679,4000,0.020146,0.055471,0.021405915,0.00301960467408815,0.02063575,0.02077,0.02093,1000,0.025071,0.064009,0.026525735,0.0035302394092717,0.02556275,0.0257275,0.02594425,1000,0.508857,2.531177,0.573132949,0.14100905203546474,0.528397,0.5548495,0.57883475,1000,0.10135,0.228162,0.12481067900000001,0.01690969494680371,0.11339975,0.122768,0.12940825,1000,0.025242,0.078617,0.027473662,0.0045725255531003876,0.02610875,0.02642,0.0268225,1000,0.046147,0.115988,0.049896896999999996,0.007242593127767914,0.04718175,0.0475925,0.04870475,1000,0.009159,0.076077,0.028474144,0.009985382244824884,0.02020475,0.029672,0.03422175,1000,0.01655,0.058787,0.018416434000000002,0.003206204988712356,0.017127,0.017328,0.0177835,1000,0.0,4.8,0.96,1.9200000000000002,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.024276,1.493836,0.080724432,0.09637305628461398,0.07102875,0.0737815,0.07469,1000,0.058723,0.183103,0.07949282099999999,0.013272071381926747,0.07575725,0.076948,0.08053875,1000,0.002855,0.019749,0.004271616,0.0014067208168446219,0.00404175,0.0041565,0.004246,1000,0.005727,0.026318,0.007940053,0.0021637763119581005,0.00754,0.007654,0.007761,1000,0.018,0.061563,0.024793022,0.00472754925193974,0.02396775,0.0242295,0.02465025,1000,0.018,0.061563,0.024793022,0.00472754925193974,0.02396775,0.0242295,0.02465025,1000,0.006205,0.037288,0.009869901,0.0027365664861645515,0.00944,0.0096115,0.009852,1000,0.00968,0.042044,0.012179587,0.0025279715837862975,0.01173175,0.011859,0.01196025,1000,0.160943,1.770475,0.270525428,0.10969939162451549,0.25845225,0.2610285,0.27416425,1000,0.012522,0.119348,0.039518909,0.011194948931938859,0.0394115,0.039865,0.0424275,1000,0.001871,0.018622,0.002961034,0.0008786799615582456,0.00284375,0.002916,0.003005,1000,0.007104,0.050135,0.017314920999999997,0.0046605928256777595,0.01720575,0.0173685,0.017605,1000,0.001883,0.063811,0.016564986,0.006705630958068301,0.017439,0.01764,0.017768,1000,0.00097,0.020854,0.0014425039999999998,0.0011764957356420805,0.00127875,0.00132,0.00136325,1000,0.0,8.3,2.8600000000000003,3.239506135200241,0.0,1.2,4.8,5
FrictionContact_LCP_without_friction,0.036411,1.479379,0.095769272,0.09699413388308603,0.0737,0.098355,0.1024255,1000,0.05895,0.178758,0.079888686,0.012770665885434636,0.0759295,0.0768875,0.080533,1000,0.002864,0.01986,0.004233647,0.0013380076383903792,0.00402575,0.004101,0.00419625,1000,0.005775,0.024665,0.007820582999999999,0.0017042277855706378,0.007545,0.0076555,0.007772,1000,0.018121,0.055765,0.024770475,0.004273915468440503,0.024035,0.024289,0.0247675,1000,0.018121,0.055765,0.024770475,0.004273915468440503,0.024035,0.024289,0.0247675,1000,0.006183,0.142032,0.009883340000000001,0.004960217247097149,0.0093325,0.009551,0.00984725,1000,0.009577,0.039586,0.012178955,0.0025150959486618,0.01168775,0.011799,0.0119205,1000,0.162066,1.748849,0.276184841,0.10882115202763533,0.24775975,0.2792595,0.286607,1000,0.012694,0.088712,0.0297623,0.0076364276212113735,0.0268755,0.0306815,0.031543,1000,0.001941,0.02254,0.003066995,0.0013232955539013197,0.002887,0.002957,0.00304025,1000,0.007154,0.06753,0.01614108,0.004358497475690447,0.01562,0.016309,0.01663525,1000,0.001875,0.037325,0.007921705,0.0032330328331111944,0.00635375,0.0094015,0.009626,1000,0.001026,0.010264,0.001386947,0.0004994871191442278,0.001282,0.00135,0.001403,1000,0.0,7.2,1.6800000000000002,2.7988569095257443,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008741,0.130328,0.010344612,0.008386732570283613,0.009058,0.009208,0.00953125,1000,1.122786,1.259331,1.147434161,0.024008873326649027,1.12927575,1.138996,1.157834,1000,0.066835,0.1251,0.06891868300000001,0.005448097763486903,0.067339,0.067585,0.0677765,1000,0.037617,0.071093,0.038876372000000006,0.0033804008806080973,0.03800975,0.0381625,0.038343,1000,0.014319,0.039232,0.015290441,0.0021417350500281306,0.014683,0.0148125,0.01501325,1000,0.992833,1.130502,1.015899816,0.02160847873243612,0.99981725,1.007441,1.025733,1000,0.002712,0.017348,0.003094472,0.0009883136340332456,0.002861,0.002912,0.00298,1000,0.01095,0.049831,0.01174681,0.0023016654674170183,0.01121175,0.011363,0.011501,1000,1.159995,1.437182,1.188268448,0.02908699397337745,1.16896475,1.1796625,1.1975505,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000287,0.009024,0.00038540300000000004,0.000305322843218453,0.000325,0.000348,0.00038225,1000,2.463262,4.927833,2.563651091,0.24337217412658071,2.48229875,2.513981,2.550109,1000,0.051778,0.149761,0.055501697,0.00928874713194363,0.05238975,0.0527445,0.05337575,1000,0.043833,0.099146,0.046388579,0.00633047412930177,0.044355,0.044642,0.0449855,1000,0.688821,2.144922,0.723729716,0.10387668014393482,0.69624525,0.7055605,0.72620275,1000,1.665491,3.413586,1.7298592830000001,0.1571510164766455,1.67295975,1.6958885,1.7238275,1000,0.001125,0.017534,0.001463509,0.0008634500911569817,0.001257,0.001312,0.001373,1000,0.012048,0.043076,0.013330166999999999,0.0029185717813874305,0.012381,0.012556,0.01278725,1000,2.488836,4.986867,2.590880452,0.24811808146865416,2.5085305,2.5400635,2.57537475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,10.8,2.16,4.319999999999999,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000298,0.01515,0.000372755,0.0004706348297512627,0.000331,0.000345,0.000372,1000,2.611085,4.938629,2.686068575,0.17613652026667376,2.6377355,2.658586,2.6927285,1000,0.052096,0.11954,0.054806689,0.005972468937405953,0.05254,0.052783,0.055522,1000,0.043963,0.078115,0.046113793,0.0043131558119491814,0.04446875,0.0447195,0.04698975,1000,0.688682,1.943246,0.712501182,0.08687253585529131,0.69504025,0.697831,0.71763825,1000,1.811716,2.875521,1.865124645,0.1039396911766096,1.826433,1.8470475,1.8682335,1000,0.001148,0.003713,0.001317971,0.00017371447884099935,0.001249,0.0012915,0.00133925,1000,0.011804,0.040938,0.012629215000000001,0.0017492559328968987,0.012205,0.012352,0.01265425,1000,2.634954,4.994264,2.711574224,0.1781814889678606,2.662632,2.684068,2.71828225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
