SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.331874,0.420578,0.34530009019607844,0.011025053547675837,0.3376925,0.34319,0.3501495,255,12.159535,13.277557,12.6164094,0.2218149866334837,12.533382,12.648766,12.716748,255,0.286962,0.345572,0.2999149843137255,0.010538249558843246,0.2920085,0.297274,0.3056695,255,0.137135,0.233401,0.1474276588235294,0.01611376583890462,0.1385895,0.139124,0.144864,255,3.885311,4.142959,4.0018682627450985,0.05443552733349851,3.9669935,4.000525,4.039911,255,3.885311,4.142959,4.0018682627450985,0.05443552733349851,3.9669935,4.000525,4.039911,255,0.022707,0.038565,0.025227243137254905,0.001809230204545883,0.024236,0.024761,0.025665,255,0.054577,0.096307,0.05715263529411765,0.004439141883637878,0.0555685,0.056089,0.057143,255,40.270177,53.030996,47.65866627843137,1.8195051142078353,47.9163405,48.288029,48.4466615,255,27.14082,39.637998,34.50746195686275,1.8379810680350313,35.0762025,35.166703,35.3084585,255,0.020646,0.036852,0.022682172549019608,0.0020373329936683353,0.0217665,0.022292,0.022767,255,21.795241,26.371618,21.976097929411765,0.29817033826368,21.891933,21.930743,21.999294,255,4.862065,13.157161,12.103663180392157,1.7962850716830805,12.7558635,12.814857,12.899174,255,0.382106,0.472262,0.40261006666666665,0.013729299190070028,0.3956365,0.39936,0.4051795,255,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
SofaScene,12.753554,40.270643,13.680827628490029,1.5787168382336516,13.2473015,13.417859,13.626062,1755,12.447135,39.800182,13.337824478062679,1.554573448136481,12.9143535,13.087362,13.2789955,1755,0.007862,3.585976,0.26173466628679964,0.23821661080375858,0.052,0.298573,0.4202125,10530,0.008233,3.188814,0.10399912089268755,0.08858193613024938,0.02648175,0.1073565,0.175996,10530,0.05895,23.051665,1.9108970567901236,1.9793544896507396,0.169237,1.6261825,2.7336175,10530,0.05895,23.051665,1.9108970567901236,1.9793544896507396,0.169237,1.6261825,2.7336175,10530,0.093039,0.336177,0.1136430809116809,0.01785888158649692,0.0996705,0.113201,0.1207745,1755,0.134359,0.527629,0.15016053105413105,0.02014221396612132,0.139314,0.145542,0.149866,1755,24.080068,65.570043,29.614496007977205,3.6099202239779618,27.5305705,29.291821,31.141356,1755,10.289932,44.399518,15.318360105982904,2.9043104010187943,13.358689,15.188244,16.9872445,1755,0.075914,0.287759,0.08890371680911681,0.015304677441401043,0.081696,0.084425,0.0900125,1755,9.503414,42.94428,14.467326836467237,2.807423741862758,12.5890145,14.359658,16.1000985,1755,0.10421,0.999354,0.273850260968661,0.1092053471969637,0.208768,0.249176,0.3047625,1755,0.4072,0.970506,0.48620469686609685,0.04269248953141713,0.4613235,0.481211,0.5035475,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.020075,1.611598,0.09447127599999999,0.1171330342251827,0.04392525,0.080742,0.1101435,1000,0.194375,0.308487,0.215383814,0.020619609786933505,0.20008025,0.2048285,0.2300605,1000,0.002064,0.039219,0.0027263095,0.0010581151464796967,0.002224,0.002315,0.003128,4000,0.00413,0.019312,0.0052166295,0.0012146171906118198,0.004426,0.004612,0.005888,4000,0.015011,0.05826,0.017496386750000002,0.00273965640038572,0.01566,0.016376,0.01864675,4000,0.015011,0.05826,0.017496386750000002,0.00273965640038572,0.01566,0.016376,0.01864675,4000,0.020546,0.056773,0.023328183000000002,0.003672242151807394,0.02111,0.021415,0.02521775,1000,0.025754,0.082824,0.028010663,0.003406729486682352,0.02632325,0.026686,0.02913925,1000,0.490394,2.343404,0.5950302900000001,0.15029202620408008,0.509896,0.5558175,0.65269575,1000,0.091159,0.205512,0.105321041,0.01573315879082516,0.09427925,0.097709,0.11544625,1000,0.025291,0.059267,0.029239651000000002,0.004557317232670883,0.026373,0.027028,0.03153125,1000,0.041439,0.121164,0.04833362,0.00881106754313006,0.04255375,0.0437465,0.052904,1000,0.00625,0.038451,0.007716094,0.0019807417396430055,0.00652375,0.0067765,0.00837675,1000,0.016608,0.054902,0.01947654,0.0031914163849927194,0.01737275,0.017934,0.02105575,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034087,1.709368,0.094390445,0.12139397828024656,0.04338125,0.078634,0.11008425,1000,0.194726,0.342701,0.217576294,0.020469492799274826,0.201971,0.208925,0.232878,1000,0.002063,0.018709,0.0027619435,0.0009205666889518379,0.00225275,0.002369,0.00311425,4000,0.004124,0.034308,0.005251468,0.001387997849233204,0.004421,0.0046015,0.005913,4000,0.014777,0.044253,0.01752862975,0.0024252631895662247,0.01576875,0.016529,0.018664,4000,0.014777,0.044253,0.01752862975,0.0024252631895662247,0.01576875,0.016529,0.018664,4000,0.020646,0.07727,0.023245413,0.003583725134330338,0.021086,0.021377,0.02507675,1000,0.025675,0.064022,0.027908158,0.0028952733751816946,0.026248,0.0266385,0.02907375,1000,0.491339,2.451212,0.5968662889999999,0.1543733450125036,0.5137465,0.5539725,0.65511625,1000,0.090868,0.214152,0.105990475,0.015675161424794803,0.09462225,0.0982465,0.11716275,1000,0.025779,0.060916,0.029731736,0.004424690299253045,0.02679075,0.027573,0.032395,1000,0.041313,0.126033,0.048498278,0.008772540432093546,0.0425875,0.0444525,0.0537905,1000,0.006076,0.018831,0.007646054,0.0017649076284848451,0.00643175,0.006971,0.0082425,1000,0.016653,0.042589,0.019548696,0.0031091135208583167,0.01740225,0.0179455,0.02123075,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.026578,1.700763,0.066545113,0.11736197092316672,0.04214575,0.053316,0.0663505,1000,0.196221,0.314548,0.207238911,0.014017858269545994,0.20025475,0.2034615,0.20746525,1000,0.002037,0.016441,0.002560264,0.0008094550712077848,0.002197,0.002277,0.003006,4000,0.004109,0.028242,0.005035289,0.0014009293342203237,0.004394,0.004541,0.0058125,4000,0.014849,0.058879,0.01681880975,0.0022755934498620216,0.015466,0.0160535,0.018251,4000,0.014849,0.058879,0.01681880975,0.0022755934498620216,0.015466,0.0160535,0.018251,4000,0.020775,0.048044,0.021830774,0.002393894154494722,0.021165,0.021299,0.021471,1000,0.025893,0.064363,0.027151667,0.003144663420162959,0.02633,0.026505,0.026709,1000,0.510507,2.428573,0.570958241,0.14008285121197,0.5273775,0.555137,0.5720245,1000,0.10421,0.220278,0.126894114,0.01637176244596177,0.1157065,0.125442,0.1317025,1000,0.025961,0.061924,0.027846634,0.0031626874572179904,0.02679675,0.027116,0.02750325,1000,0.047216,0.115055,0.050312773,0.006576065383150551,0.04803475,0.048504,0.04928675,1000,0.009514,0.124036,0.029420344,0.010637656842447211,0.02077325,0.0306345,0.03555475,1000,0.017152,0.043416,0.018782319,0.0027716011086083435,0.01764875,0.0178305,0.0182435,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037017,1.47626,0.07830057000000001,0.09690693725020463,0.07064575,0.071492,0.07453325,1000,0.06083,0.156922,0.078687598,0.008868358373588427,0.0776855,0.0782915,0.07914675,1000,0.003023,0.021511,0.004368047,0.0011452290551636384,0.004221,0.004295,0.004369,1000,0.00603,0.022992,0.008018385,0.0015000798234677377,0.007775,0.0079265,0.00807025,1000,0.018727,0.054592,0.024998687000000002,0.0031711219319084842,0.02477125,0.024962,0.025204,1000,0.018727,0.054592,0.024998687000000002,0.0031711219319084842,0.02477125,0.024962,0.025204,1000,0.006562,0.038345,0.009859629,0.001834354876069241,0.00960475,0.0097865,0.0101865,1000,0.010263,0.040846,0.012426387,0.0018461410106573658,0.01216175,0.012314,0.012449,1000,0.162926,1.754039,0.266124389,0.10739696505231272,0.26077075,0.2629425,0.26722125,1000,0.012905,0.094598,0.039280524,0.01041114140223943,0.04008675,0.040669,0.041615,1000,0.002122,0.015539,0.0032634160000000003,0.000861096916115718,0.003095,0.0031735,0.003254,1000,0.007165,0.045385,0.017354829000000002,0.0043704729851309,0.017327,0.017513,0.01780825,1000,0.001854,0.05646,0.016609744,0.006281572410508694,0.0177175,0.017947,0.0182355,1000,0.001011,0.007423,0.0015397829999999999,0.0007328299542943096,0.00135175,0.001409,0.00149025,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036714,1.497993,0.093370486,0.09900044333299625,0.072418,0.0990225,0.10112175,1000,0.060606,0.148753,0.07837436,0.008747688112547223,0.07736875,0.0780415,0.078868,1000,0.002958,0.01915,0.004333861,0.0011245804442897803,0.00417075,0.00425,0.00432225,1000,0.005942,0.021721,0.00782829,0.001219478407311913,0.00771,0.007811,0.007905,1000,0.018633,0.05672,0.024845513,0.002958303975562856,0.0246125,0.024864,0.025176,1000,0.018633,0.05672,0.024845513,0.002958303975562856,0.0246125,0.024864,0.025176,1000,0.006482,0.028005,0.009741507,0.0015872930220822493,0.00958875,0.009746,0.010059,1000,0.010206,0.040739,0.012464295,0.0015923947255548796,0.012259,0.0123685,0.01245625,1000,0.163371,1.789395,0.271102481,0.10971788994318857,0.2493965,0.2797845,0.28431225,1000,0.012713,0.076637,0.029517665000000002,0.006992043460446668,0.027324,0.031267,0.03187825,1000,0.002148,0.013509,0.0032561060000000004,0.0007515397679191702,0.003128,0.0032085,0.00329,1000,0.007173,0.050918,0.016328494,0.004225422505024083,0.01579875,0.016554,0.0168575,1000,0.001854,0.025704,0.007957669,0.002849742788294937,0.006403,0.0096095,0.00985525,1000,0.000993,0.010195,0.001462362,0.0006803023349629192,0.001297,0.001353,0.001406,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006273,0.137444,0.008023969,0.008972066357425083,0.006639,0.0068225,0.007122,1000,1.124024,1.681023,1.1939460309999999,0.09950789074161927,1.12953475,1.1356455,1.2124135,1000,0.067275,0.123344,0.069534254,0.004872501268494858,0.06767575,0.068146,0.070187,1000,0.037632,0.084819,0.040830496,0.004523606533285582,0.03805475,0.038361,0.04149125,1000,0.015344,0.045676,0.016313546,0.0021431006163696556,0.01572075,0.0158925,0.01610825,1000,0.993658,1.479832,1.0589045449999999,0.09617794188752415,0.9985625,1.0012555,1.070979,1000,0.00284,0.007314,0.00320776,0.0006071730036818172,0.003024,0.00307,0.00312625,1000,0.01106,0.03053,0.011704026,0.001321388411226616,0.011373,0.011472,0.01158925,1000,1.160618,1.732493,1.232930431,0.10120211807475789,1.16711725,1.1743375,1.251474,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000275,0.0028,0.000345267,9.509382583007165e-05,0.000319,0.000336,0.000351,1000,2.493796,4.986384,2.5539727259999996,0.18540616721164083,2.50430175,2.5203865,2.5540455,1000,0.051257,0.094618,0.054671398999999996,0.0042561669031887135,0.05247,0.052764,0.05571375,1000,0.043069,0.080169,0.045778559,0.0029634009952281175,0.04476875,0.044957,0.046908,1000,0.691373,2.039414,0.710720613,0.09360274828643245,0.6969715,0.698939,0.70411225,1000,1.69428,2.793336,1.7343451429999999,0.10670544054748357,1.70065575,1.704579,1.73476325,1000,0.001285,0.010126,0.001513848,0.0003330964558442494,0.001409,0.001464,0.00154225,1000,0.012596,0.034993,0.013231879,0.0014658874030289639,0.01287875,0.012983,0.01314125,1000,2.518816,5.049319,2.58070906,0.18787649465518136,2.53032825,2.5469685,2.580275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000293,0.010613,0.000381128,0.00032856230096588987,0.000345,0.000364,0.00037925,1000,2.608764,4.900508,2.668192145,0.17461095967525053,2.6205945,2.6412695,2.6636485,1000,0.052178,0.1112,0.054585903,0.005001963598987001,0.0526995,0.053066,0.0539625,1000,0.044621,0.075163,0.046241643,0.0030052437444491914,0.044943,0.0452185,0.0465,1000,0.691183,1.908858,0.716350361,0.08461874238020016,0.69747475,0.7011045,0.72644225,1000,1.802011,2.85259,1.8423626299999998,0.1052934705019409,1.8124645,1.816519,1.838026,1000,0.001264,0.003851,0.001519447,0.00017199224747354165,0.001422,0.0015,0.001582,1000,0.012684,0.024187,0.013458731,0.0011284744164751807,0.01304175,0.0132765,0.01352125,1000,2.635138,4.961655,2.6954743139999997,0.17680142148470243,2.64776275,2.6676195,2.6927315,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
