SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.343326,0.45311,0.35856371764705885,0.01618219348006194,0.34882,0.353096,0.360678,255,11.735395,13.473865,12.221532113725491,0.276606125025528,12.0435635,12.245576,12.3502345,255,0.283245,0.365916,0.2957174156862745,0.01368551710872071,0.287899,0.289635,0.29806,255,0.136677,0.210773,0.1426472862745098,0.010363071264814092,0.1385955,0.139333,0.1403525,255,3.531261,4.143667,3.6727782392156865,0.08141057747849473,3.6159795,3.6672,3.7080095,255,3.531261,4.143667,3.6727782392156865,0.08141057747849473,3.6159795,3.6672,3.7080095,255,0.024842,0.049135,0.027040098039215685,0.0028089629951345693,0.02586,0.0263,0.0266715,255,0.050727,0.103974,0.05357650980392157,0.0054576523997567445,0.051754,0.052216,0.052903,255,40.090208,56.48711,47.88950655294117,2.454455869906216,47.6235,47.875839,48.1784175,255,27.240624,42.783689,35.130202513725486,2.4259570488420508,35.0894095,35.198661,35.364271,255,0.021224,0.049299,0.0233584431372549,0.0033139913870487495,0.022216,0.022547,0.023012,255,21.776698,28.911268,22.551022149019605,1.7821042030998364,21.8900855,21.924502,21.962974,255,4.938989,14.519338,12.130687439215686,1.8179444010381904,12.728965,12.827786,12.917219,255,0.403347,0.589583,0.42322708235294115,0.021326219379915346,0.4123905,0.417058,0.4255425,255,0.0,2.4,0.72,0.96,0.0,0.0,1.2,5
SofaScene,8.665304,15.480295,9.165378445584047,0.7226200554523224,8.8252345,8.986418,9.271933,1755,8.398799,15.116598,8.868397405128205,0.7154258027277787,8.53405,8.693068,8.963285,1755,0.004981,0.625371,0.17501956923076925,0.17117212496460843,0.028696,0.112515,0.28122475,10530,0.006057,0.339867,0.08207123190883191,0.07929995132967282,0.014979,0.077736,0.134457,10530,0.03611,5.904111,1.1827523645773979,1.2299794015750107,0.09029525,0.9004205,1.73648,10530,0.03611,5.904111,1.1827523645773979,1.2299794015750107,0.09029525,0.9004205,1.73648,10530,0.094171,0.242287,0.11217840854700854,0.016074951359571092,0.100805,0.109057,0.1178415,1755,0.128558,0.269624,0.14375197094017092,0.01525568693584873,0.133749,0.139583,0.144584,1755,23.634124,48.398129,30.78439853789174,3.857865375095658,28.065578,30.188946,32.776253,1755,14.281854,37.967817,21.020787624501427,3.6697904063937408,18.4363955,20.541203,22.8962105,1755,0.074806,0.186325,0.08698561424501425,0.011486988082864255,0.080918,0.083732,0.0884535,1755,13.503903,36.706033,20.147796843874644,3.576548402033764,17.643442,19.707729,22.0033075,1755,0.104758,0.902653,0.2734800883190883,0.10981822969890953,0.2084335,0.247864,0.304109,1755,0.435747,0.978308,0.510287101994302,0.04400617873360884,0.4823555,0.503628,0.527264,1755,0.0,4.8,1.2,1.85903200617956,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.027772,1.616457,0.104752306,0.11525077610786993,0.05176925,0.090608,0.12196775,1000,0.190571,0.346643,0.211891892,0.021797262027427575,0.19532275,0.200301,0.22775425,1000,0.001921,0.020269,0.002618337,0.0010294903746179466,0.002075,0.00219,0.003034,4000,0.004222,0.022152,0.005253428,0.0013173361100402585,0.004489,0.004642,0.005836,4000,0.014144,0.051653,0.017114729250000002,0.0031158178938192837,0.015071,0.015894,0.018334,4000,0.014144,0.051653,0.017114729250000002,0.0031158178938192837,0.015071,0.015894,0.018334,4000,0.020016,0.054102,0.022827675,0.003825506216616959,0.02059275,0.020822,0.024618,1000,0.02557,0.06392,0.028344005000000002,0.004035605139130314,0.0260885,0.0265815,0.0295475,1000,0.491847,2.338967,0.599641955,0.14918374634005196,0.522329,0.5576585,0.66434525,1000,0.089674,0.204415,0.10477725900000001,0.016751460502353786,0.0926435,0.096295,0.116108,1000,0.025385,0.080759,0.029347497,0.005487274849685498,0.0262235,0.026894,0.03163325,1000,0.040682,0.121324,0.048108634,0.009295483773642123,0.04180675,0.044369,0.05384125,1000,0.006077,0.041728,0.00751614,0.002129395588518019,0.00635575,0.006554,0.00800525,1000,0.015978,0.098503,0.019246588,0.0041781251027531476,0.01690125,0.0176265,0.0207405,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.02574,1.691288,0.105867159,0.11886229873222931,0.05230175,0.091397,0.1237775,1000,0.189862,0.409439,0.214737091,0.022895834371359326,0.19747425,0.2045335,0.23143175,1000,0.001912,0.023435,0.002669263,0.0010333320552131343,0.002112,0.002226,0.00306925,4000,0.0042,0.034682,0.0053320467500000005,0.0014644743529896444,0.004521,0.00473,0.00587,4000,0.014282,0.050458,0.01725848325,0.003032414026764722,0.01512675,0.0161185,0.018489,4000,0.014282,0.050458,0.01725848325,0.003032414026764722,0.01512675,0.0161185,0.018489,4000,0.020285,0.056349,0.023045763,0.003398784748528656,0.020868,0.0211535,0.0248735,1000,0.025365,0.067138,0.028390809,0.004065903374223126,0.02619575,0.0266465,0.02966625,1000,0.494802,2.439215,0.605787341,0.1545548967067324,0.5207805,0.5649355,0.66886325,1000,0.090411,0.215412,0.106242862,0.017084740415673746,0.09359675,0.097796,0.1171835,1000,0.025418,0.079379,0.029688812999999998,0.005604502208049435,0.0262835,0.0271915,0.03224525,1000,0.040857,0.112134,0.048541404,0.00925480929489009,0.04211725,0.0449145,0.05416775,1000,0.005938,0.039927,0.007749709,0.00243277384446623,0.00641175,0.006977,0.00825475,1000,0.016492,0.060382,0.019717922,0.004099576656670296,0.017247,0.0180615,0.02111275,1000,0.0,8.4,1.6800000000000002,3.3600000000000003,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037651,1.625294,0.077504159,0.1149338926076713,0.0514565,0.065376,0.07784525,1000,0.192516,0.410433,0.20568186900000002,0.01657173560131343,0.19691675,0.200107,0.20551875,1000,0.00191,0.023609,0.00250311825,0.0011523568979560704,0.002069,0.002155,0.002972,4000,0.004103,0.025524,0.00508227425,0.0013620584967382779,0.004477,0.004608,0.005817,4000,0.014339,0.068619,0.016704076,0.003134062577984683,0.014939,0.015724,0.0183035,4000,0.014339,0.068619,0.016704076,0.003134062577984683,0.014939,0.015724,0.0183035,4000,0.020359,0.057328,0.021409292,0.0023505645191604506,0.020751,0.020898,0.02107825,1000,0.025585,0.064793,0.02695873,0.003175387448343903,0.02612475,0.0262775,0.02647025,1000,0.512194,2.439656,0.577245817,0.13840909897273918,0.53232075,0.560278,0.5828245,1000,0.101905,0.242786,0.125645392,0.016925861924059763,0.11382825,0.123583,0.1305485,1000,0.02549,0.06649,0.027328636,0.004021014883024434,0.02605075,0.026366,0.0267525,1000,0.046306,0.105659,0.050064114,0.007263512772825831,0.047391,0.0478455,0.0488045,1000,0.009139,0.098623,0.029020787,0.010519087882113686,0.02056325,0.0300125,0.034856,1000,0.016827,0.095136,0.018692184,0.004047182971666095,0.017284,0.017503,0.01803225,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,-0.069011,1.584248,0.080901242,0.09687295793475822,0.07204225,0.0742215,0.077615,1000,0.059428,0.14321,0.079907395,0.00973701230691299,0.076842,0.0777935,0.083794,1000,0.002867,0.013483,0.004215773,0.000858668084576922,0.00409,0.004173,0.004273,1000,0.005895,0.02295,0.007927308,0.0013637839239175682,0.00766175,0.007857,0.00796225,1000,0.018415,0.063147,0.025284329,0.003923799530908658,0.02466,0.0249135,0.0254085,1000,0.018415,0.063147,0.025284329,0.003923799530908658,0.02466,0.0249135,0.0254085,1000,0.006208,0.033293,0.009582163000000001,0.0020417880870528655,0.00926375,0.009442,0.00976925,1000,0.009842,0.042227,0.012616325000000001,0.002853088072137802,0.01209375,0.012261,0.01240725,1000,0.161659,1.863403,0.271335931,0.10726434959998704,0.25995525,0.26364,0.28009125,1000,0.012646,0.229059,0.039526161,0.011910172115510296,0.0396235,0.040234,0.042949,1000,0.002063,0.018574,0.003112986,0.0009554978282570819,0.002943,0.0030215,0.00314,1000,0.007148,0.055863,0.017118649,0.004256150449619821,0.01723475,0.0174115,0.0176305,1000,0.001886,0.076867,0.016491556,0.006306934081062208,0.017558,0.0178075,0.0180255,1000,0.000966,0.016428,0.001362528,0.0006032437626830468,0.00126175,0.001299,0.001351,1000,0.0,7.1,2.4,3.020595967685847,0.0,0.0,4.9,5
FrictionContact_LCP_without_friction,0.03696,1.504244,0.096034085,0.09807998767846465,0.073881,0.098537,0.103242,1000,0.058484,0.143081,0.078953681,0.01062513950126016,0.076163,0.0771675,0.08074725,1000,0.002883,0.020512,0.004250284,0.0013461230602526653,0.004117,0.004182,0.004251,1000,0.005809,0.038448,0.007898572,0.0019013775723974446,0.00761475,0.0077685,0.00789925,1000,0.018113,0.059018,0.025084469,0.00438410926677689,0.024463,0.024737,0.0251435,1000,0.018113,0.059018,0.025084469,0.00438410926677689,0.024463,0.024737,0.0251435,1000,0.006234,0.02525,0.009433537,0.0019265307774938348,0.00918775,0.0093645,0.0096135,1000,0.009809,0.037288,0.012285923,0.001908879197610734,0.012021,0.012139,0.01226825,1000,0.160546,1.764813,0.27396137800000003,0.10867902037980981,0.24843125,0.278464,0.285972,1000,0.012682,0.067583,0.029248692,0.007058626259346503,0.026677,0.030603,0.031252,1000,0.00202,0.012528,0.0030226759999999997,0.0006245165930733947,0.002945,0.003015,0.003084,1000,0.007133,0.042191,0.015842906,0.004003374424552867,0.01552975,0.0162175,0.016564,1000,0.001891,0.027951,0.007772785,0.0029988715622338677,0.0062775,0.009226,0.009576,1000,0.000963,0.019356,0.0013183989999999998,0.0007218253485428452,0.0012,0.001254,0.001316,1000,0.0,4.9,1.48,1.9650954175306603,0.0,0.0,2.5,5
FixedProjectiveConstraint,0.008575,0.14837,0.010275903,0.008612640186934029,0.008978,0.0090835,0.00932925,1000,1.123781,1.304318,1.159965126,0.027427216987039062,1.14216675,1.1505335,1.1690105,1000,0.066776,0.117209,0.06998523699999999,0.006199300976628816,0.067221,0.0678965,0.07040875,1000,0.037638,0.083385,0.040781233,0.005012457677298732,0.03828375,0.038498,0.04177575,1000,0.014431,0.037111,0.015475309999999999,0.0022114636184888954,0.01485875,0.015016,0.015215,1000,0.99583,1.130107,1.025511866,0.02363696806999671,1.0105265,1.0189275,1.03310475,1000,0.002723,0.013837,0.0030574540000000002,0.0007291545226383774,0.002868,0.002917,0.002972,1000,0.010904,0.032642,0.011557299,0.0018807223499493486,0.01116475,0.011246,0.011341,1000,1.160756,1.512011,1.200340634,0.03232348623632735,1.18121975,1.1900045,1.21028575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000288,0.0066,0.00038016199999999997,0.0002656420556990176,0.000326,0.000342,0.00037,1000,2.568687,5.182298,2.662007075,0.19316621424152663,2.60103375,2.633752,2.669304,1000,0.051426,0.115596,0.05492146,0.00692201254653587,0.052627,0.052903,0.05345225,1000,0.043329,0.092376,0.046343914,0.005732528772941658,0.04461975,0.0448315,0.04518525,1000,0.689027,2.147002,0.720152444,0.09837096257236107,0.6961505,0.708381,0.72484075,1000,1.769736,2.859502,1.832381617,0.1086806460030226,1.7868505,1.81653,1.8404185,1000,0.001159,0.013058,0.001433008,0.00086000701621324,0.001264,0.001316,0.00138,1000,0.011795,0.038727,0.012812124,0.00235736706658594,0.01211875,0.012278,0.012458,1000,2.592327,5.257568,2.688481806,0.19656478564232804,2.62728025,2.6595655,2.6959355,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000292,0.014115,0.000370697,0.0005989272369754109,0.000323,0.000333,0.000345,1000,2.605685,4.936189,2.67708082,0.17913241722668627,2.62326125,2.6525335,2.6809585,1000,0.051678,0.121162,0.054149709000000004,0.005617718632355931,0.0522215,0.052619,0.054239,1000,0.043929,0.08987,0.046082086,0.005182041452999387,0.04448525,0.0448355,0.04537875,1000,0.687757,1.930666,0.7118159620000001,0.08510106646416692,0.6938255,0.6975635,0.71715425,1000,1.806325,2.886632,1.857342407,0.10851207969717173,1.81881525,1.8387325,1.8603135,1000,0.00112,0.014254,0.00136103,0.0006492345116365887,0.001262,0.0012975,0.00134625,1000,0.011782,0.028425,0.012440096999999999,0.001594447871079829,0.012051,0.0121675,0.012308,1000,2.62918,4.991283,2.7025262170000004,0.1811427810797491,2.6488245,2.677281,2.70674875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
