SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340728,0.439069,0.3554631529411765,0.015113586027930889,0.3463005,0.349565,0.3572275,255,11.806787,13.326264,12.325364278431373,0.2321879381438896,12.177901,12.395762,12.475681,255,0.280308,0.369703,0.2915206078431372,0.014262730603560541,0.2833855,0.285521,0.293204,255,0.135837,0.205103,0.1456363254901961,0.012878528869216104,0.13733,0.138312,0.1553465,255,3.576699,3.936402,3.7048151098039215,0.05564777825859137,3.677493,3.710172,3.73874,255,3.576699,3.936402,3.7048151098039215,0.05564777825859137,3.677493,3.710172,3.73874,255,0.022427,0.057701,0.02415573725490196,0.0032350425638294996,0.023285,0.023586,0.0239155,255,0.047884,0.082001,0.05069705098039216,0.004620908484795168,0.0490905,0.049586,0.050209,255,39.91707,52.558466,47.37155209411765,1.7660500734768732,47.578632,47.974987,48.218171,255,27.122735,38.963798,34.52312240784313,1.7717871855067246,35.038906,35.165182,35.2781285,255,0.020781,0.043844,0.022244223529411765,0.002371638677518409,0.021493,0.021819,0.022252,255,21.758659,27.863167,21.94487005882353,0.5220834791730643,21.8462105,21.873089,21.901934,255,4.915365,13.197782,12.13812308627451,1.801882180711537,12.7410225,12.840802,12.952141,255,0.396325,0.549134,0.4153166745098039,0.018789686241417625,0.403408,0.408707,0.4219815,255,0.0,1.2,0.7,0.5727128425310541,0.0,1.1,1.2,5
SofaScene,8.988157,13.695343,9.386486185185184,0.35204828245038977,9.1331685,9.318795,9.562383,1755,8.697642,13.373043,9.076366466096866,0.34479758645279934,8.833678,9.016515,9.2371685,1755,0.004871,0.579182,0.17524126020892686,0.17050705214494466,0.0295955,0.1223605,0.28261825,10530,0.006224,0.326147,0.08160533048433048,0.07961055207957791,0.01426325,0.0591515,0.124025,10530,0.035728,5.61633,1.1838512168091169,1.2137738816236285,0.085338,0.898156,1.771041,10530,0.035728,5.61633,1.1838512168091169,1.2137738816236285,0.085338,0.898156,1.771041,10530,0.097521,0.188274,0.11066658233618235,0.01144064022222982,0.1027595,0.105854,0.118262,1755,0.119779,0.20726,0.13060470997150997,0.010214375364412364,0.124729,0.127376,0.1328605,1755,24.009493,41.368626,30.778732772079774,3.6596406598971303,28.3588085,30.266531,32.600355,1755,14.406505,31.55337,20.893839402849004,3.6447056458826834,18.4871915,20.364937,22.712368,1755,0.072794,0.148958,0.08291202051282051,0.008422646093789744,0.078442,0.080982,0.085266,1755,13.536478,30.745588,20.060781495726495,3.5574555740218017,17.7189005,19.548308,21.884064,1755,0.100412,0.659796,0.2556102376068376,0.10274939806633265,0.1983305,0.231239,0.281156,1755,0.43754,0.621257,0.4923368962962963,0.028367011795997474,0.4718205,0.486583,0.508552,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.03395,1.873991,0.10899851099999999,0.12432131473798803,0.05579875,0.09421,0.12515175,1000,0.12258,0.330932,0.140918649,0.018963514420481217,0.12699225,0.13197,0.15297475,1000,0.00185,0.023294,0.00259553925,0.0012925706620759412,0.00199975,0.002157,0.00296925,4000,0.003894,0.026189,0.00508765325,0.0017867205099047915,0.004188,0.004376,0.00565925,4000,0.000337,0.013673,0.00072732475,0.000681305417773437,0.000445,0.000517,0.000899,4000,0.000337,0.013673,0.00072732475,0.000681305417773437,0.000445,0.000517,0.000899,4000,0.019889,0.089534,0.023187082999999997,0.005257272508070226,0.020435,0.0207355,0.024568,1000,0.025714,0.064969,0.028490591,0.004425566283733529,0.026245,0.02665,0.029762,1000,0.417879,2.475095,0.5249001139999999,0.15404112133547004,0.4507865,0.4870655,0.5783615,1000,0.086966,0.181141,0.102890283,0.017206703656508733,0.08990625,0.0940725,0.11352125,1000,0.025009,0.080016,0.029484675,0.005891588971353569,0.026003,0.0268,0.03183025,1000,0.039532,0.100358,0.047088405,0.00951847004686021,0.0405465,0.0430125,0.05255475,1000,0.005254,0.027241,0.006581432,0.002336237464680335,0.00549175,0.005624,0.0069705,1000,0.01592,0.053709,0.01919272,0.004159146587173864,0.01656675,0.0174035,0.020538,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.050823,1.901711,0.108910243,0.12731342661018888,0.0537395,0.095353,0.1256705,1000,0.123467,0.234262,0.14130199799999998,0.017089907119466622,0.12826275,0.1335135,0.1525975,1000,0.001834,0.021405,0.0025522260000000003,0.0011580724435129263,0.002013,0.002149,0.002956,4000,0.003935,0.029504,0.00521453925,0.001829947043758217,0.004275,0.004481,0.0057,4000,0.000348,0.013693,0.0007407832499999999,0.0006974087637601333,0.000483,0.00055,0.00084625,4000,0.000348,0.013693,0.0007407832499999999,0.0006974087637601333,0.000483,0.00055,0.00084625,4000,0.019821,0.05974,0.022762399000000003,0.003987106605020613,0.02041175,0.0206685,0.02451325,1000,0.025459,0.062704,0.028355913,0.004465854808144909,0.02609525,0.026497,0.02956975,1000,0.418579,2.528314,0.523753072,0.15617598458631474,0.450352,0.482577,0.5760985,1000,0.086543,0.202063,0.102648141,0.016913661919381002,0.08943875,0.094173,0.1140195,1000,0.024594,0.067622,0.029210631,0.0057967198963585435,0.0256645,0.0264625,0.0317045,1000,0.039345,0.109607,0.047161618,0.01001366988291885,0.040327,0.0432905,0.05240575,1000,0.005286,0.023785,0.006568205,0.0016748186519665346,0.00551975,0.0059095,0.0069565,1000,0.015979,0.066108,0.019172569,0.004343505872821976,0.01662375,0.017314,0.02052675,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.041914,1.815063,0.080004136,0.12171602083086476,0.05314625,0.0675705,0.0790385,1000,0.124455,0.250827,0.134645899,0.014958760189226879,0.1269545,0.129416,0.13319225,1000,0.001846,0.053614,0.0024246755,0.0013827929117187976,0.001985,0.00206,0.002854,4000,0.00397,0.026258,0.00485825,0.0015826042581770087,0.00418,0.004307,0.005593,4000,0.000365,0.023379,0.0007561832500000001,0.0008281739416749585,0.000474,0.000531,0.00094425,4000,0.000365,0.023379,0.0007561832500000001,0.0008281739416749585,0.000474,0.000531,0.00094425,4000,0.01995,0.056685,0.021388326000000003,0.0033181163381840605,0.020468,0.0206625,0.02086925,1000,0.025616,0.05867,0.027124853,0.0035871369755545992,0.02613075,0.026329,0.02656025,1000,0.434061,2.433153,0.498330211,0.14399186504603126,0.45485625,0.4803035,0.50454475,1000,0.098227,0.258715,0.122216533,0.017542590922862877,0.10975375,0.1200875,0.12711575,1000,0.025019,0.069189,0.027202684,0.003938342579073588,0.02589475,0.0262545,0.02666075,1000,0.044669,0.139924,0.048214304,0.00810916215792877,0.045396,0.045821,0.04675175,1000,0.008807,0.066917,0.027965809,0.01028352242631478,0.01937125,0.029041,0.03344525,1000,0.016161,0.059466,0.018312620999999998,0.003701944122668385,0.01687975,0.0171005,0.01758475,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.027597,1.546416,0.08450793300000001,0.1022516870883924,0.0754915,0.076271,0.0786245,1000,0.040087,0.141609,0.053140586000000004,0.009290170323551878,0.0510115,0.051462,0.05216475,1000,0.002787,0.023921,0.00417746,0.0015921775681123009,0.00400075,0.004069,0.004129,1000,0.005598,0.025136,0.007709079,0.0021005474226398696,0.007391,0.007496,0.007638,1000,0.000747,0.010109,0.001044897,0.0005534876442984071,0.000955,0.000982,0.001011,1000,0.000747,0.010109,0.001044897,0.0005534876442984071,0.000955,0.000982,0.001011,1000,0.006112,0.036456,0.00969441,0.002936615322424781,0.009239,0.009367,0.009583,1000,0.009791,0.034999,0.01291659,0.0028707476228153526,0.012402,0.0125245,0.01264,1000,0.140697,1.805295,0.243746004,0.11350558746511989,0.2320905,0.234939,0.2501545,1000,0.011861,0.111005,0.038626385,0.011312223343391652,0.0386125,0.0390335,0.04170875,1000,0.002008,0.013488,0.003009332,0.0007199345593705027,0.002907,0.002971,0.00304725,1000,0.006697,0.054336,0.016995503000000002,0.005037120199478169,0.016681,0.01687,0.01707625,1000,0.001556,0.056427,0.016378458000000002,0.006957358966463927,0.01703725,0.017324,0.01753875,1000,0.000943,0.019817,0.001468966,0.0010951959024959872,0.001277,0.0013325,0.001383,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.036634,1.647408,0.100633504,0.1080784213592796,0.07644325,0.103591,0.10778125,1000,0.040634,0.137231,0.05318759,0.008606234680154846,0.05104,0.051532,0.052273,1000,0.002833,0.023402,0.004210350000000001,0.0016838987741250955,0.004001,0.004069,0.00413025,1000,0.00575,0.028461,0.007636086,0.0019103559926369744,0.00737075,0.007485,0.007591,1000,0.000709,0.015031,0.001004859,0.0005669677901953514,0.000923,0.000949,0.00097725,1000,0.000709,0.015031,0.001004859,0.0005669677901953514,0.000923,0.000949,0.00097725,1000,0.006147,0.039886,0.009637656000000001,0.0026460321180333396,0.009257,0.0093945,0.009564,1000,0.009999,0.03508,0.012802307,0.0024335556054364154,0.012337,0.012484,0.012663,1000,0.141911,1.914464,0.24970820600000002,0.11815867039160335,0.2217445,0.252446,0.25975825,1000,0.011985,0.06791,0.028601829000000002,0.007526127801184285,0.025689,0.029584,0.0302645,1000,0.00199,0.018334,0.0030797150000000002,0.0011367088060602857,0.002914,0.00298,0.003059,1000,0.006748,0.043178,0.015834437,0.00446448631513537,0.01507175,0.0158145,0.016134,1000,0.001556,0.028644,0.007497426000000001,0.0031396534780965876,0.0058275,0.0088905,0.0091535,1000,0.000956,0.01189,0.0014190709999999998,0.0009484831247623756,0.00121975,0.0012835,0.001337,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008374,0.163171,0.010283608,0.010032119533295844,0.00872075,0.0089095,0.0093975,1000,1.094323,1.25545,1.125286593,0.02353247286940646,1.10802675,1.121392,1.13330875,1000,0.066767,0.10732,0.068782773,0.005720537327338316,0.067107,0.0672465,0.0674175,1000,0.037077,0.07417,0.038763211000000006,0.004638090671653476,0.037534,0.0377565,0.038033,1000,0.000691,0.004463,0.000841043,0.00020780281795731257,0.000784,0.000819,0.000857,1000,0.981464,1.129677,1.008797557,0.020791556010812444,0.99348675,1.006315,1.01698225,1000,0.002685,0.020056,0.003067934,0.0010291832847671009,0.002832,0.002881,0.002966,1000,0.008062,0.022117,0.008569725,0.0008680366071629698,0.00832875,0.008448,0.00861725,1000,1.128828,1.438812,1.160827933,0.02968578910823344,1.14248525,1.1555405,1.16835875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00028,0.053779,0.00040343299999999997,0.0016897801695815347,0.000315,0.000338,0.000365,1000,2.508501,5.241389,2.583833916,0.2026954590327641,2.52656575,2.562435,2.57974475,1000,0.051787,0.127769,0.053544589999999996,0.005248911181368951,0.052101,0.052392,0.0527335,1000,0.043239,0.090789,0.045393049,0.0038269675353468837,0.044522,0.044661,0.0449815,1000,0.687354,2.19846,0.713651556,0.10199493697697384,0.69313725,0.696183,0.71913425,1000,1.710524,2.975273,1.763898718,0.11696778653479972,1.721287,1.7442685,1.76900275,1000,0.00117,0.018449,0.001349356,0.0007262006659760098,0.001255,0.001288,0.001337,1000,0.006074,0.02758,0.0067264049999999995,0.001451974258372028,0.00636375,0.00651,0.00668,1000,2.524754,5.295483,2.6020696749999996,0.20536131858261764,2.5467915,2.580133,2.59798275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.00028,0.00272,0.0003407,0.00011567049753502403,0.000316,0.00033,0.000348,1000,2.611606,5.129058,2.692097439,0.19500929660213198,2.63743025,2.6678615,2.690758,1000,0.051827,0.09465,0.054318395,0.004862628875307574,0.052296,0.052857,0.055247,1000,0.044182,0.086963,0.045648815,0.004374612103578442,0.044492,0.04463,0.04486675,1000,0.690639,2.100818,0.717012872,0.0948809478803812,0.69794075,0.7032285,0.72011125,1000,1.81272,2.938377,1.8675905149999998,0.11638360862224446,1.82553625,1.8465735,1.875273,1000,0.001122,0.011552,0.0013075229999999999,0.00035083125498022553,0.001236,0.001274,0.00132725,1000,0.00608,0.025585,0.006675899999999999,0.0011777967481700737,0.0063665,0.006511,0.006674,1000,2.627581,5.17894,2.710146356,0.19753534878842638,2.65500375,2.6855855,2.7080915,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
