SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.326977,0.4392,0.3417860745098039,0.015620276240381311,0.3336845,0.338173,0.343575,255,12.068026,15.923505,12.573549749019607,0.5509099830138009,12.368366,12.535045,12.612043,255,0.283027,0.45662,0.29535163137254905,0.01882111657242315,0.2866845,0.289475,0.295632,255,0.135335,0.226654,0.14129618823529413,0.0110830965243694,0.13685,0.13772,0.1399885,255,3.871602,5.123339,3.9687249725490195,0.14614384520280693,3.9025395,3.942486,3.9868175,255,3.871602,5.123339,3.9687249725490195,0.14614384520280693,3.9025395,3.942486,3.9868175,255,0.022683,0.043929,0.02452441960784314,0.0021196516251885712,0.023749,0.024136,0.024517,255,0.053667,0.08392,0.05640190196078432,0.003749976756293465,0.0549945,0.055436,0.056032,255,40.272216,62.283665,47.79497002745098,2.8912060396974244,47.8107795,48.093079,48.264838,255,27.140301,45.729629,34.699581411764704,2.528595596679827,35.021951,35.114356,35.2036,255,0.019125,0.039748,0.02091163137254902,0.001605833201785584,0.020312,0.02065,0.021116,255,21.78464,30.336079,22.171796698039216,1.3542823480154043,21.890073,21.920291,21.964926,255,4.8561,15.015928,12.094197764705882,1.8324341479042912,12.6899495,12.767377,12.813642,255,0.390922,0.956034,0.4102508156862745,0.04441950421536217,0.398276,0.401557,0.407322,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,11.961877,22.944141,13.248234098575498,0.5838512937729227,12.975709,13.125532,13.3200025,1755,11.684065,22.568154,12.921171607407407,0.5780776885517477,12.650155,12.808782,12.9852205,1755,0.007933,2.066084,0.2465358544159544,0.21977189150013773,0.05089625,0.2532575,0.39530425,10530,0.008235,0.845459,0.09884301652421652,0.0821614557222899,0.02160525,0.111594,0.1652355,10530,0.06783,10.813304,1.860126319088319,1.9015888065586843,0.16932425,1.209462,2.6865065,10530,0.06783,10.813304,1.860126319088319,1.9015888065586843,0.16932425,1.209462,2.6865065,10530,0.091858,0.453302,0.11043948717948718,0.016392675143432133,0.0994475,0.105649,0.1182145,1755,0.136452,0.588496,0.15085962108262108,0.016118267040509816,0.1424405,0.147109,0.152892,1755,23.949803,57.290967,29.151195967521367,2.602204697667468,27.324964,29.094172,30.8673925,1755,10.291318,43.367569,15.29604418917379,2.516362801259424,13.5531585,15.195063,17.013063,1755,0.074114,0.180629,0.08540866381766382,0.010364817605498108,0.0803645,0.082418,0.0856655,1755,9.414753,42.062164,14.443990393162395,2.4299864359680527,12.7838865,14.356608,16.154625,1755,0.103771,0.684699,0.2769051259259259,0.10863271395543676,0.2139095,0.254483,0.3090305,1755,0.40714,0.736669,0.48746386438746436,0.029040373745639923,0.4679055,0.487177,0.505917,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.034114,1.834254,0.09541966099999999,0.12420075358427611,0.04327675,0.0821465,0.1110195,1000,0.275057,0.426117,0.303676735,0.025034223399074615,0.285623,0.291221,0.3202345,1000,0.001285,0.018702,0.001988362,0.00084455637494249,0.001563,0.001748,0.00234,4000,0.002985,0.0269,0.0039148557500000005,0.0009712300947468305,0.003364,0.003577,0.004397,4000,0.021029,0.065522,0.024401856500000003,0.003294804455261002,0.02208825,0.023597,0.025668,4000,0.021029,0.065522,0.024401856500000003,0.003294804455261002,0.02208825,0.023597,0.025668,4000,0.020501,0.062208,0.023097765,0.0032232092730344083,0.021136,0.021388,0.02483425,1000,0.026185,0.061967,0.028394176,0.003112356813256475,0.026769,0.027042,0.029631,1000,0.574306,2.668565,0.684624919,0.15885493981705587,0.59828025,0.6424405,0.75177475,1000,0.091628,0.207633,0.105544816,0.01565413185916562,0.09452975,0.09796,0.115528,1000,0.025773,0.071987,0.029515605,0.00474333292263731,0.026649,0.0272735,0.0317255,1000,0.041605,0.121854,0.048347613,0.00874205464986527,0.04262475,0.0447115,0.05269625,1000,0.006177,0.020083,0.007488857,0.0017048412373446976,0.006412,0.006558,0.008051,1000,0.016993,0.049269,0.019607134,0.0032162429000378687,0.0175605,0.018023,0.02118725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.028867,1.701919,0.095440973,0.11924505664296643,0.04284875,0.0820365,0.1117155,1000,0.272362,0.473741,0.30352094,0.02682693809990995,0.2843265,0.2909745,0.32158275,1000,0.00127,0.013223,0.001994841,0.0007087025400116751,0.001598,0.001786,0.002336,4000,0.002912,0.02512,0.0039436915,0.0009685996421782067,0.003376,0.0036175,0.004418,4000,0.020978,0.162635,0.024360734749999998,0.003996440215353214,0.022056,0.023531,0.025495,4000,0.020978,0.162635,0.024360734749999998,0.003996440215353214,0.022056,0.023531,0.025495,4000,0.020601,0.058939,0.023213832,0.0033045790403281325,0.02118875,0.0214695,0.024936,1000,0.026216,0.062896,0.028329694,0.0029108870201991696,0.0267385,0.027059,0.02952175,1000,0.575091,2.564208,0.685316046,0.1563598181750602,0.59396025,0.641447,0.75236275,1000,0.091632,0.230851,0.10604464699999999,0.01629860368787434,0.09465125,0.098124,0.11674825,1000,0.025554,0.080437,0.029490081999999997,0.005152302132957267,0.02648975,0.027171,0.0318855,1000,0.041676,0.118041,0.048727992,0.008972604844410346,0.04282275,0.0441145,0.05394275,1000,0.005981,0.03476,0.007479426,0.0017840237006620737,0.006301,0.0068305,0.008083,1000,0.01707,0.059613,0.019736245,0.0035090502095260763,0.01754275,0.0180195,0.0211595,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.034709,1.763737,0.06698314100000001,0.11720648255904242,0.042093,0.05431,0.06802,1000,0.272255,0.415654,0.29281961900000003,0.01652946653016482,0.28428675,0.2890795,0.2937165,1000,0.001307,0.013407,0.00186816775,0.0007062169993068259,0.001531,0.001648,0.002295,4000,0.002941,0.019749,0.0037263195000000002,0.0009543650386093102,0.00326,0.003419,0.004278,4000,0.02107,0.056366,0.02360798375,0.0025928062530752153,0.021933,0.023316,0.02417425,4000,0.02107,0.056366,0.02360798375,0.0025928062530752153,0.021933,0.023316,0.02417425,4000,0.020682,0.059549,0.021807028,0.002550853204952413,0.021099,0.021244,0.02141025,1000,0.026388,0.063359,0.027612922999999998,0.002469302498899436,0.0268185,0.027033,0.02742825,1000,0.591615,2.594327,0.6573651119999999,0.14088536992193137,0.61407325,0.640585,0.65989475,1000,0.10314,0.245576,0.12700340300000001,0.01582742733411185,0.11621075,0.1258975,0.13257775,1000,0.025562,0.05456,0.027445189999999998,0.0029970288887329736,0.02647675,0.0267575,0.02712975,1000,0.047388,0.112697,0.050572046,0.006465082588171941,0.0483985,0.0488985,0.049579,1000,0.009256,0.07337,0.029284133,0.010021559637267596,0.02098425,0.0307845,0.035487,1000,0.017357,0.062157,0.019115643,0.0029984715098781574,0.017912,0.0181475,0.0185205,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.0319,1.612588,0.079615538,0.09993856240931505,0.0717605,0.072734,0.07532025,1000,0.080534,0.199215,0.10707571,0.010274740631563407,0.1050165,0.1079505,0.1096035,1000,0.002127,0.024922,0.0030985369999999997,0.0010891782520005622,0.00293475,0.003005,0.00308025,1000,0.004294,0.014865,0.005658534,0.0007920077138791011,0.00558175,0.00565,0.005732,1000,0.024913,0.072662,0.033773897,0.0040689731007209915,0.0326925,0.033196,0.0355755,1000,0.024913,0.072662,0.033773897,0.0040689731007209915,0.0326925,0.033196,0.0355755,1000,0.006502,0.023846,0.009690292999999999,0.0015219046051415312,0.00960475,0.009749,0.009913,1000,0.010345,0.023118,0.012642763999999999,0.0012788553164076067,0.012496,0.012596,0.01268625,1000,0.184458,1.944702,0.29599286599999997,0.11047248824600651,0.29073375,0.29412,0.29856125,1000,0.013144,0.092211,0.039441423999999996,0.010134116246729361,0.04060075,0.0410925,0.0420345,1000,0.002215,0.013468,0.0032497809999999998,0.0007642934089987954,0.003128,0.003187,0.003254,1000,0.007284,0.055762,0.017402588,0.004250406505765772,0.01749275,0.017709,0.0180145,1000,0.001917,0.058822,0.01679552,0.006139288985183871,0.018033,0.018316,0.01853325,1000,0.001028,0.010299,0.001472442,0.0006311124120440035,0.001307,0.001362,0.00142825,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037134,1.722625,0.09489979600000001,0.10410281392599521,0.073348,0.1004615,0.10279275,1000,0.080393,0.167079,0.10675075199999999,0.010524282030452053,0.10449025,0.10715,0.1090815,1000,0.002112,0.018541,0.003131701,0.0010397028871745042,0.00295475,0.0030265,0.0031175,1000,0.004324,0.02216,0.005655734999999999,0.0010848635890170707,0.005545,0.0056185,0.0056985,1000,0.024549,0.0658,0.033410548000000005,0.0038939936614863662,0.03234475,0.032863,0.0351905,1000,0.024549,0.0658,0.033410548000000005,0.0038939936614863662,0.03234475,0.032863,0.0351905,1000,0.006348,0.039036,0.009492200000000001,0.0018067292459026615,0.009357,0.009531,0.00969225,1000,0.010212,0.025381,0.012506887000000001,0.0013349725735875625,0.0123385,0.012463,0.0125805,1000,0.181693,2.015861,0.30033450300000003,0.11470848534565345,0.27792075,0.3083425,0.3150305,1000,0.012892,0.072599,0.029432107,0.006915566712826288,0.02721075,0.0312145,0.0321295,1000,0.002164,0.017982,0.0032260369999999997,0.0008644816167108471,0.003058,0.0031555,0.00325225,1000,0.007171,0.04801,0.015976905,0.0038241871470908696,0.01563575,0.0163125,0.0166385,1000,0.001916,0.037822,0.008254768000000001,0.0031826801567509107,0.00652875,0.009767,0.01015875,1000,0.001008,0.016501,0.00146667,0.0008471208633365135,0.001264,0.001332,0.00139125,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.006456,0.141608,0.008108452,0.009234914673547125,0.00675375,0.0069195,0.007139,1000,1.137303,1.314749,1.172447129,0.03097039241776505,1.1503595,1.161505,1.1868335,1000,0.066491,0.111572,0.06822533900000001,0.003544327411805941,0.066921,0.067303,0.06783425,1000,0.036761,0.064667,0.038393434000000004,0.0023792470005537464,0.0372155,0.037736,0.03807925,1000,0.021194,0.051611,0.0230328,0.0022957829984560823,0.02181775,0.0221405,0.0241465,1000,0.98821,1.145738,1.019357454,0.028087857351458547,1.0000815,1.008896,1.0318725,1000,0.002753,0.020545,0.003151426,0.0008750023637248073,0.00291475,0.00299,0.00309625,1000,0.011221,0.022287,0.011737069,0.0008095134972556046,0.01152,0.011608,0.01170125,1000,1.173145,1.512848,1.2112005479999999,0.035543134913337285,1.18819225,1.199486,1.225029,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00031,0.000942,0.000374775,6.320959084664288e-05,0.000344,0.0003595,0.000382,1000,2.523199,5.139247,2.6032405099999996,0.1916315571360414,2.54669025,2.5769635,2.60374775,1000,0.05133,0.102253,0.055613368,0.004218677720160193,0.052426,0.055604,0.05694725,1000,0.04383,0.080045,0.046567749000000005,0.003387271588461575,0.0449595,0.0463565,0.04692475,1000,0.697576,2.205483,0.727766088,0.09916352686073775,0.70474825,0.7158495,0.730551,1000,1.696838,2.750015,1.749139879,0.10600032163229675,1.7134635,1.7334875,1.74650175,1000,0.001139,0.011283,0.001376682,0.00044318169961766237,0.001299,0.0013415,0.00138825,1000,0.012654,0.027639,0.013450992,0.0011428032210035112,0.01311975,0.0132775,0.01344725,1000,2.548169,5.201558,2.6300725529999998,0.19414378232193066,2.5743575,2.6036455,2.6304075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00031,0.00092,0.00036616899999999996,5.1194125043797756e-05,0.000341,0.000356,0.000376,1000,2.619453,4.981039,2.690008154,0.18072158295817983,2.635942,2.6582075,2.69407825,1000,0.051509,0.091811,0.053214474000000005,0.0031768323376161985,0.05212675,0.0524765,0.05294375,1000,0.044037,0.085144,0.045345655,0.003617778810261208,0.04438,0.0445005,0.04473225,1000,0.696602,2.026069,0.7168111269999999,0.08739765401823364,0.70296775,0.7050525,0.707827,1000,1.796142,2.925948,1.85059768,0.10777788912055941,1.809963,1.8221015,1.8649495,1000,0.001171,0.012188,0.001377858,0.000369690167350986,0.001291,0.001342,0.00141025,1000,0.012691,0.04253,0.013578283,0.001621016475829595,0.013019,0.013201,0.0137055,1000,2.644082,5.039312,2.716927283,0.18293101442439688,2.66256875,2.6849915,2.72041675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
