SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.342817,0.483723,0.3663347098039216,0.022065384354234576,0.349922,0.361316,0.372572,255,11.816532,13.771361,12.427343282352942,0.3012528574357798,12.2797765,12.397212,12.5637495,255,0.283652,0.384962,0.299298231372549,0.01665273907863138,0.2875555,0.292266,0.3054575,255,0.1393,0.212965,0.15242930980392155,0.016726969393066116,0.1411615,0.142013,0.1684015,255,3.569119,4.008332,3.700190262745098,0.08080777556775956,3.633892,3.693639,3.745156,255,3.569119,4.008332,3.700190262745098,0.08080777556775956,3.633892,3.693639,3.745156,255,0.025457,0.059567,0.02842169019607843,0.004084736577066082,0.0268855,0.027308,0.0285645,255,0.058432,0.090539,0.061693882352941175,0.004351451031584385,0.0598435,0.06048,0.062369,255,40.045074,60.158679,48.403004898039214,3.1952358163263055,47.789304,48.167051,48.732938,255,27.146815,46.052485,35.42134889019608,3.1209027263699984,35.115473,35.259438,35.553427,255,0.020256,0.04923,0.022194772549019606,0.0027088112687011848,0.0212665,0.02163,0.022064,255,21.786219,31.949024,22.70599383137255,2.126834929008967,21.8797045,21.92888,22.0988805,255,4.867244,19.562678,12.266968047058825,1.9222878432278894,12.7692655,12.900144,12.9814095,255,0.395862,0.511365,0.42360320784313726,0.02123599168060588,0.410317,0.415744,0.4350415,255,0.0,3.7,0.74,1.4799999999999998,0.0,0.0,0.0,5
SofaScene,8.902814,18.708165,9.46344706894587,0.927601528206105,9.1040775,9.18781,9.4701955,1755,8.56759,18.369274,9.142551426210826,0.9200995446338339,8.788856,8.867478,9.146901,1755,0.004887,0.685432,0.1750735376068376,0.17118086723079745,0.028238,0.1272705,0.28079825,10530,0.006242,0.712056,0.08090913057929724,0.07813228156305786,0.01407825,0.0610445,0.13479075,10530,0.034183,7.308982,1.1803487805318138,1.2338088064534305,0.0904645,0.887471,1.72548375,10530,0.034183,7.308982,1.1803487805318138,1.2338088064534305,0.0904645,0.887471,1.72548375,10530,0.096518,0.27744,0.11497767863247864,0.019116859444042462,0.102679,0.106657,0.1206395,1755,0.146029,0.279118,0.16330230883190883,0.016785962098826962,0.1525525,0.158172,0.164175,1755,24.124445,54.723344,31.194290533903132,4.198738888080999,28.3945965,30.531058,32.961934,1755,14.446448,38.632141,21.175212395441594,3.8866459686547903,18.558419,20.646787,22.8478735,1755,0.074035,0.195802,0.08782658005698006,0.014056119634858684,0.0800645,0.083129,0.088587,1755,13.626904,37.267911,20.305539407407405,3.7647256037661605,17.780396,19.779635,21.990272,1755,0.101678,1.351159,0.26854499886039884,0.12534388677055558,0.199024,0.238231,0.2916735,1755,0.434332,1.05515,0.5110918427350427,0.06081190818577099,0.4793955,0.499506,0.525387,1755,0.0,11.0,2.2,4.4,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.042369,1.81158,0.107158328,0.12068635948095549,0.053229,0.091489,0.12458075,1000,0.126485,0.25509,0.143064218,0.017506580130296035,0.12993125,0.134555,0.1545495,1000,0.001902,0.036291,0.00264132175,0.0010867092473274248,0.002094,0.002213,0.00309825,4000,0.003977,0.034736,0.00512941125,0.0016377479473726833,0.004273,0.004467,0.005721,4000,0.000387,0.015715,0.00077186075,0.0007468002513118467,0.000495,0.000543,0.00095525,4000,0.000387,0.015715,0.00077186075,0.0007468002513118467,0.000495,0.000543,0.00095525,4000,0.020175,0.073911,0.02305682,0.003952207019071749,0.020726,0.0210225,0.024836,1000,0.025788,0.05963,0.028205216,0.003786192052622793,0.026299,0.026604,0.029359,1000,0.421319,2.481596,0.522781795,0.15103163231272107,0.44765,0.485106,0.57940725,1000,0.087842,0.224191,0.10311639,0.01704243130242572,0.09070725,0.0945835,0.11412025,1000,0.025044,0.067229,0.029170263999999998,0.005495434999552264,0.02585575,0.02672,0.03142425,1000,0.039503,0.102892,0.046838068,0.009296838922417448,0.0407015,0.041586,0.05223,1000,0.005509,0.027315,0.006806238,0.0019744108192967335,0.005746,0.0059865,0.0072185,1000,0.01643,0.054052,0.019732464,0.004407886045113235,0.0170585,0.0178235,0.021009,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.04259,1.792029,0.10835629799999999,0.1218543566773761,0.0538595,0.094302,0.1259515,1000,0.123738,0.297163,0.142246771,0.018027503430607328,0.12875125,0.1340135,0.15328975,1000,0.001883,0.033237,0.0026073595000000002,0.0011266516665588127,0.002064,0.0021785,0.003079,4000,0.003934,0.03037,0.005182808,0.0017145100229033364,0.004245,0.004477,0.005733,4000,0.000385,0.015487,0.0007860147500000001,0.0009503034862781665,0.000482,0.000533,0.00091825,4000,0.000385,0.015487,0.0007860147500000001,0.0009503034862781665,0.000482,0.000533,0.00091825,4000,0.019966,0.055169,0.023249426,0.0043530449125323755,0.02075375,0.0211185,0.02496575,1000,0.025767,0.061282,0.028319511,0.003744302219890777,0.02636875,0.026714,0.02960425,1000,0.420159,2.403587,0.52507691,0.15179163759594894,0.44849,0.485057,0.57879275,1000,0.087678,0.206745,0.103234318,0.017448675355363683,0.09028275,0.094432,0.114073,1000,0.025236,0.065204,0.029197364,0.005256107161531623,0.02600325,0.0266065,0.03166675,1000,0.039381,0.125653,0.047082197,0.00962521623623028,0.04056775,0.0432465,0.0524795,1000,0.005405,0.02757,0.006782161,0.002064107226158321,0.005649,0.0060645,0.0071475,1000,0.016343,0.059113,0.019598154,0.004444834795837074,0.016953,0.017646,0.0208475,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.05025,1.648733,0.07892399700000001,0.11426141965806741,0.05252525,0.066913,0.07862725,1000,0.125975,0.259841,0.135738663,0.012442497395275235,0.12900075,0.1323765,0.13593875,1000,0.001898,0.019412,0.0024514905,0.0009609498703937422,0.002043,0.002132,0.002951,4000,0.004023,0.049519,0.004879971249999999,0.0014961855942440556,0.00423775,0.004379,0.005651,4000,0.000396,0.015541,0.00076494275,0.0006877184903522934,0.000498,0.000543,0.00096625,4000,0.000396,0.015541,0.00076494275,0.0006877184903522934,0.000498,0.000543,0.00096625,4000,0.020077,0.054901,0.021589202000000002,0.003229331164683486,0.020669,0.020847,0.0211,1000,0.025711,0.066823,0.027126442,0.0033905568399063895,0.02618875,0.0263805,0.02658125,1000,0.436877,2.356409,0.498440938,0.136899870566309,0.45444575,0.4817435,0.5035245,1000,0.099225,0.237281,0.122672319,0.017084594820575612,0.110233,0.1206245,0.1283405,1000,0.024969,0.060263,0.027159845000000002,0.0041172541350972015,0.025748,0.026102,0.02653925,1000,0.04472,0.147785,0.048584364,0.008223630840298217,0.04563075,0.046105,0.04710575,1000,0.008907,0.070484,0.027738522,0.010043790503266982,0.01934775,0.02898,0.03344675,1000,0.016355,0.058511,0.018665296999999997,0.003664646041405773,0.0171595,0.0174515,0.0180855,1000,0.0,14.3,2.8600000000000003,5.720000000000001,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040023,1.529473,0.08147928,0.09628882786639165,0.073943,0.07462,0.0758555,1000,0.040245,0.110218,0.051869063,0.006859134367617462,0.050768,0.0511565,0.05169575,1000,0.002862,0.013622,0.004074861,0.0008456774927116128,0.00402075,0.0040915,0.004145,1000,0.00567,0.024283,0.007478951,0.0012391618774796938,0.007399,0.007477,0.007551,1000,0.000761,0.01799,0.001036453,0.0007122884821411898,0.000944,0.000969,0.00099125,1000,0.000761,0.01799,0.001036453,0.0007122884821411898,0.000944,0.000969,0.00099125,1000,0.006102,0.024747,0.00916182,0.001525431898709346,0.009096,0.0092315,0.009396,1000,0.00978,0.031375,0.012327099,0.0018105902797703845,0.01215,0.012268,0.01239425,1000,0.139618,1.769546,0.236088957,0.10540030259193355,0.22885875,0.23162,0.2351325,1000,0.011773,0.084226,0.037822760999999996,0.010302303211121239,0.03831525,0.0388355,0.03979875,1000,0.001909,0.017665,0.00299573,0.0008286255976615736,0.00289775,0.002959,0.00303025,1000,0.006812,0.044916,0.016798901999999998,0.004512834789840639,0.016688,0.016909,0.017119,1000,0.001604,0.056227,0.015939577,0.006263505635191126,0.0168995,0.017177,0.017402,1000,0.000916,0.011775,0.001344916,0.0006387849097654076,0.00122775,0.001271,0.00131,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.032014,1.448839,0.09613280499999999,0.09477849449446313,0.0747185,0.101932,0.103768,1000,0.040309,0.129554,0.052586438,0.007748980893650209,0.05086325,0.0515215,0.052368,1000,0.002838,0.019175,0.004123931,0.0009883035627978884,0.00403875,0.0041,0.004167,1000,0.00572,0.02711,0.0077112430000000004,0.0018113873252153996,0.007419,0.0075425,0.00768925,1000,0.000743,0.011217,0.0010366379999999999,0.0006510322226710441,0.00093075,0.000961,0.00099,1000,0.000743,0.011217,0.0010366379999999999,0.0006510322226710441,0.00093075,0.000961,0.00099,1000,0.006062,0.030211,0.009262609,0.0018944316071368213,0.009122,0.0092685,0.009406,1000,0.009952,0.035723,0.012316087,0.0018847992098446455,0.012116,0.012234,0.01234625,1000,0.139835,1.68342,0.241709987,0.10453680650062365,0.21818925,0.248244,0.25322575,1000,0.011786,0.093283,0.027848135,0.007156670489604436,0.02539475,0.029273,0.0297695,1000,0.001909,0.01786,0.00297081,0.0008178106027070082,0.002867,0.002936,0.003007,1000,0.006754,0.071937,0.015474505999999999,0.004487087414343964,0.01495175,0.0156795,0.015961,1000,0.001625,0.029249,0.0073556,0.0029508057167492406,0.00581975,0.008868,0.00906425,1000,0.000904,0.010576,0.001288843,0.0005972785299598504,0.001148,0.0012105,0.001271,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008443,0.133571,0.010522209000000001,0.00853023352595455,0.008917,0.0091695,0.00972825,1000,1.117366,1.357077,1.1542199850000001,0.03319615879770994,1.13094225,1.147757,1.1692985,1000,0.066934,0.135022,0.069598332,0.007094303640934464,0.06741625,0.0675375,0.06770175,1000,0.03811,0.077358,0.039713468999999994,0.004191522086908168,0.03841175,0.0387245,0.0394415,1000,0.000673,0.014898,0.000889975,0.0005656790948718187,0.000801,0.000845,0.00089225,1000,1.003209,1.226748,1.035482015,0.029300457208254874,1.015402,1.0312175,1.0461715,1000,0.002653,0.02374,0.0030544609999999996,0.0010353870940276394,0.002792,0.002853,0.00297425,1000,0.011311,0.035638,0.012066534,0.0017317349822776,0.011564,0.011676,0.0119315,1000,1.153543,1.479776,1.194008706,0.037865566525400934,1.1685025,1.1861845,1.2078585,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000287,0.000905,0.00035569,5.3887752782984e-05,0.00032,0.000349,0.00037825,1000,2.509959,5.07814,2.588011462,0.19423498277774412,2.5343555,2.5628705,2.594571,1000,0.052322,0.101234,0.054203615,0.004985493500424506,0.0527165,0.052894,0.05323625,1000,0.044285,0.08715,0.045907533,0.004309797800235064,0.04467275,0.044838,0.04508825,1000,0.688747,2.177372,0.7171009660000001,0.1034311110938331,0.69534775,0.700836,0.72112475,1000,1.710393,2.717864,1.7631042609999998,0.10561776227532411,1.721567,1.7460085,1.77062625,1000,0.001199,0.01112,0.0014055250000000001,0.0004345074307477376,0.001324,0.001366,0.001413,1000,0.011736,0.03188,0.012478326999999999,0.001657451794795553,0.012044,0.012194,0.012369,1000,2.533552,5.139587,2.6122165219999998,0.19684902252188988,2.5583185,2.586297,2.618586,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000289,0.009304,0.000354596,0.00028928372713306913,0.000323,0.000338,0.00035325,1000,2.614724,4.98266,2.6875419559999996,0.17897752055613594,2.6365425,2.6612135,2.694016,1000,0.051784,0.089369,0.054232338000000005,0.004810930829242508,0.0523915,0.052841,0.053421,1000,0.044011,0.083463,0.045758690000000005,0.003981448931218382,0.044511,0.0446985,0.04501825,1000,0.688525,1.987169,0.715533242,0.08850636973992004,0.69571,0.7046655,0.71758725,1000,1.814273,2.898876,1.864115522,0.1040788828263232,1.82605825,1.846572,1.8693955,1000,0.001184,0.013051,0.001457281,0.0007542138861350937,0.001304,0.001351,0.001449,1000,0.011686,0.033335,0.012411003,0.00150588354097885,0.01201475,0.012187,0.012408,1000,2.636625,5.038849,2.711685931,0.1814131750347814,2.65954075,2.685111,2.71950125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
