SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.320766,0.415027,0.3406648666666666,0.011276059866965884,0.334619,0.338218,0.343066,255,12.027123,13.667172,12.535940929411765,0.2508484663232455,12.3782655,12.588496,12.667656,255,0.28801,0.402279,0.29907397647058825,0.015779960137858002,0.2906505,0.292849,0.300519,255,0.136772,0.184052,0.14222166666666666,0.007061094415164641,0.1386135,0.139604,0.143453,255,3.879094,4.539133,4.020839945098039,0.08446765753526628,3.975888,4.020126,4.0679195,255,3.879094,4.539133,4.020839945098039,0.08446765753526628,3.975888,4.020126,4.0679195,255,0.022876,0.058643,0.025425015686274508,0.0033302310406438267,0.023959,0.024536,0.0251745,255,0.054182,0.098309,0.05635361176470589,0.0029758562851161866,0.055327,0.055798,0.056567,255,40.208988,51.012222,47.518423180392155,1.7263390738555204,47.8695975,48.154757,48.343651,255,27.248858,37.630467,34.4566956745098,1.7904718235580734,35.035555,35.156449,35.2251485,255,0.020681,0.030497,0.02251743137254902,0.0015045847952423908,0.0219055,0.022205,0.022632,255,21.783054,25.696626,21.936957678431373,0.2434845504559495,21.885161,21.916561,21.9542765,255,4.894103,14.023685,12.090969027450981,1.7914754478273027,12.744939,12.810036,12.861731,255,0.385137,0.504643,0.4038044823529412,0.014985335476911117,0.3951585,0.40056,0.4075845,255,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
SofaScene,13.118846,29.108028,13.609456799430198,0.6070471750908264,13.3179165,13.528152,13.6354445,1755,12.779741,28.751536,13.265915692307692,0.5868549205389226,12.982366,13.188193,13.292008,1755,0.008271,3.306258,0.2676527026590693,0.23849957044181305,0.05633325,0.3233585,0.4267615,10530,0.01004,1.065708,0.1091608376068376,0.08542174277724071,0.0275805,0.1145535,0.1853185,10530,0.054468,9.122453,1.9080187968660969,1.945005719043541,0.173877,1.188741,2.7465465,10530,0.054468,9.122453,1.9080187968660969,1.945005719043541,0.173877,1.188741,2.7465465,10530,0.093186,0.224635,0.11721838689458688,0.015669365988775635,0.1103195,0.116498,0.1195975,1755,0.133913,0.22787,0.15045555555555556,0.014554554976687563,0.1433265,0.145987,0.1487085,1755,24.257172,43.270355,29.303704237606837,2.459607380552988,27.559544,29.197713,31.0074835,1755,10.285894,22.195344,15.06505201025641,2.346474230448718,13.3692645,15.034862,16.768169,1755,0.073737,0.146355,0.0887498472934473,0.011579537536368534,0.082282,0.085466,0.089569,1755,9.441067,21.367322,14.205171681481481,2.2573619850905082,12.576389,14.201931,15.9072955,1755,0.104995,0.813204,0.2793012507122507,0.10967992765947064,0.215067,0.253079,0.3101375,1755,0.40959,0.803983,0.48970828034188035,0.03150554132731426,0.4684235,0.487546,0.5103025,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.024335,1.893807,0.097894543,0.12440493867514323,0.04485925,0.0826185,0.11230575,1000,0.194644,0.4807,0.221583092,0.032975463150280944,0.201012,0.2077485,0.23537025,1000,0.002117,0.020829,0.002838355,0.0010796280799307695,0.00229,0.002399,0.003182,4000,0.00415,0.024116,0.005405318500000001,0.0017780816816326942,0.004434,0.0046285,0.00595525,4000,0.014794,0.058421,0.017831742999999997,0.003658706261911579,0.01567,0.016486,0.01864625,4000,0.014794,0.058421,0.017831742999999997,0.003658706261911579,0.01567,0.016486,0.01864625,4000,0.020523,0.08042,0.023739567,0.0051701485322484695,0.02097875,0.0213065,0.025154,1000,0.025612,0.070561,0.028793331999999998,0.005088411117999017,0.02635375,0.026787,0.0295825,1000,0.489769,2.782359,0.6115117120000001,0.17161555761756872,0.523031,0.5645395,0.66350375,1000,0.090978,0.247416,0.10851364,0.02168296235532405,0.09437875,0.098274,0.11853925,1000,0.025547,0.073581,0.030229468000000002,0.006121298181184772,0.026643,0.027388,0.03249625,1000,0.041303,0.139428,0.049872104,0.011645982231189605,0.04258625,0.0450075,0.05514725,1000,0.006228,0.031167,0.007805365,0.0023000108003605113,0.00645075,0.006643,0.008374,1000,0.016509,0.056683,0.020050928,0.0045560060817360646,0.017323,0.017939,0.02128625,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.032467,1.774267,0.095086125,0.12133098089420268,0.0433055,0.081523,0.11168575,1000,0.193933,0.315739,0.215245158,0.020689614965509532,0.19976625,0.2046615,0.2296975,1000,0.002096,0.023331,0.002776336,0.001052808785157115,0.002256,0.0023595,0.003137,4000,0.004087,0.022837,0.0052078625,0.0012186617709987254,0.00439875,0.004606,0.005912,4000,0.014962,0.051755,0.01747627875,0.002683548800291964,0.01568,0.016349,0.0186,4000,0.014962,0.051755,0.01747627875,0.002683548800291964,0.01568,0.016349,0.0186,4000,0.020493,0.05434,0.02316932,0.003469971175903339,0.02096775,0.0212575,0.02496775,1000,0.025684,0.068092,0.027933395,0.002995296851227771,0.0263135,0.0266465,0.02908225,1000,0.489468,2.504693,0.5947031500000001,0.15464294371192466,0.5072935,0.555027,0.652421,1000,0.090876,0.205761,0.10545763899999999,0.01576672416764748,0.093836,0.097713,0.11609325,1000,0.025565,0.052178,0.029460363,0.004247647886917064,0.0266795,0.027242,0.032009,1000,0.041386,0.118518,0.048540085,0.009137058178526334,0.04231225,0.0446545,0.053729,1000,0.006086,0.020157,0.007607663,0.0017261943840225526,0.006397,0.006949,0.0081755,1000,0.016575,0.047887,0.019305296,0.0029657615093570825,0.0171845,0.017695,0.02109625,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.018956,1.690021,0.066612106,0.11666556261625263,0.04209325,0.0536885,0.0666475,1000,0.196863,0.320379,0.20741623499999998,0.012613945479895456,0.20106975,0.204324,0.20853675,1000,0.002064,0.033446,0.0026206595,0.0009422755595152353,0.002252,0.002337,0.003048,4000,0.00417,0.037803,0.005025413249999999,0.0012443982487429165,0.00444,0.004572,0.005786,4000,0.014838,0.054533,0.016922162,0.002163251569225364,0.015596,0.0162675,0.0182275,4000,0.014838,0.054533,0.016922162,0.002163251569225364,0.015596,0.0162675,0.0182275,4000,0.020642,0.048465,0.021595112,0.0017667666612928826,0.021055,0.0212055,0.021415,1000,0.025832,0.057354,0.026988756000000003,0.002394526230899131,0.02632675,0.02647,0.02663625,1000,0.511156,2.43256,0.570412106,0.13917074080298905,0.5281595,0.556125,0.572256,1000,0.103122,0.219201,0.126362903,0.015842637097452903,0.115206,0.125458,0.13149125,1000,0.025968,0.052645,0.027765737000000002,0.0028661774484199337,0.02679625,0.0270935,0.0274675,1000,0.046424,0.113424,0.049798345,0.006200797619014428,0.0476905,0.048148,0.04899425,1000,0.009549,0.076321,0.029597202,0.01043078886888216,0.020943,0.0308315,0.035721,1000,0.017061,0.041686,0.018650909,0.002562245398614075,0.0175665,0.0177705,0.018149,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036478,1.447495,0.078125978,0.09567072895176201,0.07049775,0.0713475,0.07432875,1000,0.060662,0.166078,0.07845448399999999,0.008359226217763461,0.0775835,0.0782775,0.07908575,1000,0.003047,0.01691,0.004350794,0.0010417736815470048,0.00421775,0.004286,0.0043555,1000,0.00596,0.031243,0.007991347,0.0015775692747359781,0.007812,0.0079575,0.008069,1000,0.018392,0.051566,0.024672487,0.002845051392124754,0.02444875,0.0247385,0.024967,1000,0.018392,0.051566,0.024672487,0.002845051392124754,0.02444875,0.0247385,0.024967,1000,0.00653,0.03258,0.00977682,0.001771119462825701,0.009694,0.009831,0.00997025,1000,0.01009,0.038812,0.012312303,0.0017853543847625884,0.012134,0.012231,0.01232,1000,0.162155,1.723623,0.265151294,0.1059938078086242,0.26024475,0.262021,0.26631025,1000,0.012964,0.094727,0.039327533000000005,0.01028075247765994,0.04030875,0.040712,0.0415065,1000,0.002121,0.01637,0.00321772,0.0007711246861565254,0.003096,0.0031675,0.003238,1000,0.007258,0.045351,0.017517455,0.004436019769339966,0.01750275,0.017647,0.017835,1000,0.00186,0.065347,0.016577061,0.006206119923372332,0.01781175,0.018004,0.018143,1000,0.00101,0.007365,0.0014973710000000002,0.0006925586497611592,0.001333,0.001379,0.00143,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036721,1.470303,0.09253402000000001,0.09748530203284801,0.0717055,0.098751,0.100343,1000,0.060647,0.136494,0.078400704,0.007777929495462401,0.077394,0.077937,0.078885,1000,0.003036,0.021767,0.004362774999999999,0.0011907448611583424,0.00418775,0.004261,0.004344,1000,0.00597,0.017044,0.007951485,0.0011888760136258953,0.00783275,0.0079325,0.00801525,1000,0.018527,0.053934,0.024719580999999997,0.0027544988566777437,0.0244955,0.0247135,0.024949,1000,0.018527,0.053934,0.024719580999999997,0.0027544988566777437,0.0244955,0.0247135,0.024949,1000,0.006488,0.019609,0.009788447,0.0013273616293953206,0.00967975,0.0098785,0.01021425,1000,0.010085,0.039565,0.012283783999999999,0.0015875705809015232,0.012137,0.0122325,0.012322,1000,0.162292,1.726727,0.269458002,0.10739456493606181,0.24838775,0.2784835,0.28319225,1000,0.0128,0.074373,0.029465447,0.0068592049783623614,0.0273095,0.031181,0.03200725,1000,0.002122,0.013485,0.003277093,0.0009068696876348883,0.003106,0.0031805,0.00326825,1000,0.007167,0.051571,0.016181405,0.003927661136729466,0.015777,0.01655,0.0168235,1000,0.001876,0.037019,0.008003436,0.0029611528866142663,0.0064075,0.009608,0.00988625,1000,0.001031,0.00769,0.00148748,0.0006518919569990108,0.00128275,0.0013625,0.00146325,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006277,0.157283,0.007973537999999999,0.009387871719008309,0.006512,0.006668,0.00716325,1000,1.13162,1.366901,1.169776066,0.0497667155730579,1.13688125,1.1425435,1.19534275,1000,0.068027,0.141068,0.069365085,0.0045087936168974295,0.06836375,0.0684995,0.068806,1000,0.037915,0.082087,0.039931245000000004,0.003768699817307688,0.03830625,0.0385665,0.03945225,1000,0.015092,0.092298,0.016179655,0.0030695129164046535,0.01554125,0.0156855,0.01587625,1000,1.001511,1.227459,1.036012513,0.0491055664894911,1.00561275,1.0079285,1.051261,1000,0.002764,0.008524,0.0031299920000000003,0.000649998299948546,0.00293975,0.002991,0.00305,1000,0.011043,0.027439,0.011512909,0.0009851674155791999,0.011271,0.011342,0.01143225,1000,1.166819,1.540781,1.208048153,0.05241391833623576,1.1742485,1.1798055,1.234497,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000289,0.010563,0.000387264,0.00037151976300595367,0.00033,0.000354,0.00038225,1000,2.501065,4.89473,2.5740954449999998,0.18895670384490987,2.52514325,2.5382035,2.563146,1000,0.051004,0.110868,0.054617864,0.005302523034132336,0.052876,0.053423,0.05476325,1000,0.042964,0.101023,0.045673199,0.0040119080569473425,0.044526,0.044894,0.045617,1000,0.691129,2.093446,0.715989371,0.09664975998923826,0.6989665,0.701959,0.71493575,1000,1.701543,2.706608,1.7487184599999999,0.10781736060324607,1.7087855,1.72283,1.7439125,1000,0.001269,0.013453,0.00151199,0.0004812367690648752,0.001383,0.0014355,0.001523,1000,0.012655,0.036879,0.013702868,0.002027095967283246,0.01300175,0.013178,0.013734,1000,2.526359,4.985616,2.601746551,0.1922360072070459,2.552282,2.565777,2.59093025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00029,0.000861,0.000334294,4.618813228525267e-05,0.000313,0.0003255,0.000345,1000,2.597762,4.913599,2.650848292,0.17442028310511004,2.6072955,2.6169225,2.648095,1000,0.051195,0.101537,0.053493106,0.0038134067599410373,0.05244875,0.052691,0.05306825,1000,0.042843,0.085869,0.045534834999999996,0.002928708798391366,0.044828,0.0450475,0.04532125,1000,0.690292,1.905257,0.708245173,0.08427281181511075,0.69586925,0.697526,0.70004,1000,1.797647,2.868619,1.8351487020000001,0.10454348228042337,1.8040675,1.808824,1.8322165,1000,0.001236,0.017149,0.001431581,0.0005980960854570108,0.00134375,0.001388,0.00143225,1000,0.012579,0.032659,0.013225667,0.0010293588033873319,0.012936,0.0130565,0.01326,1000,2.62226,4.972805,2.677368668,0.17696581153176388,2.633396,2.6430095,2.67491575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
