SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.332128,0.455061,0.35159947843137257,0.014204518980699916,0.342629,0.350111,0.3559055,255,11.963012,13.012947,12.515989525490196,0.24998959843680388,12.3823025,12.482404,12.741818,255,0.281889,0.367938,0.2993286549019608,0.01180271590374168,0.290139,0.300241,0.3059715,255,0.137503,0.234803,0.1634526588235294,0.018906880240294896,0.139115,0.172108,0.1765215,255,3.963706,4.269685,4.065196992156863,0.07042833690580508,4.0069025,4.05081,4.1252185,255,3.963706,4.269685,4.065196992156863,0.07042833690580508,4.0069025,4.05081,4.1252185,255,0.022872,0.04622,0.026282501960784313,0.0021696739338914316,0.024715,0.026446,0.027366,255,0.054933,0.084116,0.058713117647058825,0.002832807324047786,0.056654,0.05874,0.0596665,255,40.241657,55.5647,47.71032152156862,1.8903133868329767,47.727508,48.220377,48.6094805,255,27.323509,41.979617,34.63897825490196,1.9131569537090407,35.0679695,35.247893,35.3741775,255,0.020781,0.049175,0.02258830196078431,0.0020995569707739697,0.0218835,0.02233,0.0227205,255,21.796483,28.764961,22.11337845882353,0.798838250755878,21.928335,22.007219,22.0685115,255,4.944919,13.290638,12.097257247058824,1.7841319003827607,12.7360605,12.810752,12.891288,255,0.38934,0.465854,0.40328342352941177,0.0109505339718062,0.3966275,0.400665,0.406397,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.45136,34.682055,13.460723301424501,0.6523922747002279,13.234091,13.317143,13.5045415,1755,12.126482,34.158226,13.13565269116809,0.6467631831538642,12.9123965,12.988694,13.176177,1755,0.007712,1.023784,0.2421202017094017,0.21666430445154802,0.047087,0.2594035,0.3915375,10530,0.008657,0.505155,0.09607320189933524,0.07959018681992913,0.0215645,0.115268,0.15170175,10530,0.101785,9.616069,1.9026586452041785,1.9435242014481657,0.17151175,1.1443465,2.75474575,10530,0.101785,9.616069,1.9026586452041785,1.9435242014481657,0.17151175,1.1443465,2.75474575,10530,0.09224,0.255027,0.10922821481481482,0.014236285059053486,0.0991325,0.103335,0.1169025,1755,0.137256,0.311615,0.15196545811965811,0.014420537091634591,0.1428695,0.145729,0.1537835,1755,24.078957,61.524863,29.248208797150994,2.624685301993712,27.501559,29.093767,30.973369,1755,10.274092,43.038995,15.188373382336183,2.483144738735544,13.4900965,15.08136,16.9062995,1755,0.073913,0.239017,0.0863072621082621,0.011747524842227986,0.0807605,0.082837,0.087398,1755,9.487934,41.769783,14.34651966039886,2.3962457514661684,12.725435,14.257504,16.0494865,1755,0.103676,0.747111,0.26625872934472933,0.1062056711819434,0.2036645,0.241912,0.2921785,1755,0.41335,1.237743,0.48715028319088316,0.0374037700319042,0.465138,0.486876,0.5046985,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.030153,1.779091,0.09593742100000001,0.12374079177855521,0.0436165,0.082231,0.11241475,1000,0.2829,0.430682,0.31167078600000003,0.026401850737556336,0.2923325,0.2998645,0.33092925,1000,0.001207,0.016886,0.0018726882499999998,0.0008370566408923218,0.001441,0.001605,0.002246,4000,0.0029,0.017995,0.003911746,0.0010405834668511702,0.00326175,0.003497,0.004506,4000,0.02307,0.059839,0.02612416675,0.0034697490759339413,0.024128,0.0246605,0.0264705,4000,0.02307,0.059839,0.02612416675,0.0034697490759339413,0.024128,0.0246605,0.0264705,4000,0.020069,0.06351,0.022730395,0.003486117245442987,0.020622,0.0208815,0.02450325,1000,0.026923,0.046618,0.029276879000000002,0.0022144425647008777,0.027767,0.028222,0.03075,1000,0.582606,2.665695,0.695913297,0.1608352894511425,0.60955625,0.650898,0.76485125,1000,0.092062,0.221154,0.106961488,0.01586932468083806,0.09557025,0.099413,0.11758925,1000,0.026327,0.068641,0.030624619,0.004693521280002787,0.0276245,0.02844,0.03309375,1000,0.041409,0.118376,0.048398125,0.008550333686434408,0.042632,0.044449,0.053108,1000,0.006209,0.021593,0.007551405,0.001742680813854046,0.0064275,0.006582,0.00818125,1000,0.016852,0.090739,0.019763696,0.004105545561260282,0.01753375,0.0180645,0.021283,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.038474,1.696558,0.09588000199999999,0.12146090534216347,0.04337925,0.0823305,0.11257725,1000,0.28516,0.504082,0.313165226,0.02826012185665384,0.292613,0.298868,0.33365275,1000,0.00123,0.014706,0.00187299675,0.0007409112526068405,0.00145,0.0016165,0.002244,4000,0.002964,0.020136,0.003952865,0.0010832729352637776,0.003317,0.0035355,0.00450225,4000,0.023313,0.100224,0.02614795475,0.004059864409706615,0.023994,0.024557,0.026492,4000,0.023313,0.100224,0.02614795475,0.004059864409706615,0.023994,0.024557,0.026492,4000,0.020275,0.075355,0.022717094,0.0033417783892957355,0.02063425,0.0208985,0.02453425,1000,0.027188,0.060656,0.029592303,0.002835660530668472,0.02789875,0.028305,0.03095025,1000,0.585768,2.537657,0.69800587,0.15855301909457004,0.605044,0.652455,0.76603425,1000,0.09165,0.202738,0.106578116,0.01562813541099974,0.09512,0.098883,0.1173395,1000,0.025825,0.077135,0.030041511,0.004723645318806122,0.02708,0.0279165,0.032381,1000,0.041501,0.118151,0.048580144,0.008696090457628878,0.04268,0.0439415,0.05318025,1000,0.006031,0.028415,0.007651257,0.0018325633481413404,0.006444,0.0069565,0.008266,1000,0.016823,0.048482,0.019693687999999997,0.0029963813840457624,0.017586,0.0181325,0.0214105,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.035686,1.705463,0.067244209,0.11863890547026011,0.0424895,0.0543485,0.067155,1000,0.287963,0.480961,0.302099817,0.01961124130832903,0.29270925,0.296186,0.3009835,1000,0.00119,0.03303,0.001800205,0.001026509283676967,0.001424,0.001521,0.00220425,4000,0.003007,0.023167,0.00377550625,0.0010572265267959073,0.003273,0.003404,0.004383,4000,0.02354,0.075863,0.025497191,0.003409527817091246,0.024187,0.024418,0.02588225,4000,0.02354,0.075863,0.025497191,0.003409527817091246,0.024187,0.024418,0.02588225,4000,0.020183,0.04816,0.0213228,0.0020935018141859823,0.020672,0.0208595,0.0210795,1000,0.027079,0.058079,0.028490814,0.002503194484135022,0.02773325,0.0279865,0.02820525,1000,0.607828,2.56392,0.670211587,0.1426375689018024,0.625116,0.652766,0.67135425,1000,0.103809,0.229817,0.127816821,0.01580470326709613,0.11697725,0.126553,0.1331775,1000,0.025976,0.063341,0.028168436,0.0034482714498577397,0.0268705,0.027369,0.02815975,1000,0.04747,0.111268,0.050625752999999996,0.006425184141640689,0.0484305,0.048897,0.049752,1000,0.009369,0.066417,0.029652643,0.010267370559473882,0.02106075,0.030962,0.03582175,1000,0.017003,0.042087,0.018796481,0.002368070946073829,0.017762,0.017992,0.01840025,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036852,1.487554,0.080878919,0.09782858355315403,0.07348625,0.074314,0.0772875,1000,0.086956,0.178231,0.11174207700000001,0.010628616274523744,0.1106205,0.111888,0.11331625,1000,0.002141,0.014464,0.00309734,0.0010015769777705556,0.00293625,0.003032,0.003104,1000,0.004414,0.019223,0.005875455,0.0010312742263699794,0.00572675,0.0058325,0.005932,1000,0.028662,0.075166,0.037228008,0.004194055934287953,0.0369725,0.0372965,0.03756325,1000,0.028662,0.075166,0.037228008,0.004194055934287953,0.0369725,0.0372965,0.03756325,1000,0.006291,0.030996,0.009657335999999999,0.0016719345558675433,0.00959025,0.0097355,0.009899,1000,0.010671,0.033304,0.013030389,0.0017214911407494957,0.01281775,0.0129335,0.013048,1000,0.190353,1.79436,0.302621153,0.10850484109071627,0.29780775,0.300858,0.30455125,1000,0.012701,0.088285,0.03954904,0.010282354885258532,0.040756,0.041148,0.041867,1000,0.002114,0.016622,0.003220253,0.0010159992760779902,0.0030335,0.003119,0.00321425,1000,0.007064,0.041079,0.017342351,0.004065057161442997,0.01748675,0.017656,0.0179145,1000,0.001863,0.059078,0.016922359,0.006369746951498074,0.018154,0.018429,0.018592,1000,0.00099,0.012971,0.001530688,0.0008163876889419635,0.001361,0.00141,0.00146325,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037239,1.482708,0.096466129,0.09903849051945593,0.075528,0.1031305,0.1055765,1000,0.087279,0.212452,0.11194868499999999,0.011233424687590823,0.110954,0.1118575,0.1133585,1000,0.002146,0.01648,0.00312635,0.0011121042152154625,0.00294,0.003029,0.00309725,1000,0.004468,0.015327,0.005850956,0.0008865124850017624,0.005762,0.005851,0.00593,1000,0.028989,0.10113,0.037204470999999996,0.0047381379556909265,0.0369405,0.0371635,0.03742425,1000,0.028989,0.10113,0.037204470999999996,0.0047381379556909265,0.0369405,0.0371635,0.03742425,1000,0.006319,0.031919,0.009544575999999999,0.0015872282930391582,0.009587,0.009693,0.00980525,1000,0.01084,0.023799,0.012996256,0.0013159160544897993,0.012849,0.012957,0.013055,1000,0.189799,1.784322,0.307709268,0.11049926752757314,0.286848,0.318712,0.32398,1000,0.012885,0.070198,0.02935375,0.006616823919336225,0.0273065,0.031328,0.0320185,1000,0.002144,0.011853,0.003147669,0.0006695388035349407,0.003012,0.003101,0.003184,1000,0.007221,0.040857,0.016086612,0.0036833029749745,0.0157655,0.016494,0.016822,1000,0.001907,0.021884,0.008082258,0.0028583703362993398,0.00652375,0.0097595,0.0100775,1000,0.001006,0.011648,0.001506655,0.0007790855947679946,0.001313,0.0013885,0.001452,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00627,0.154058,0.007983512,0.009367463144088478,0.00663075,0.006757,0.00700875,1000,1.134664,1.300946,1.157681349,0.023457652142301007,1.1418295,1.14817,1.166758,1000,0.066626,0.106689,0.067856246,0.003583458310554763,0.06699575,0.0671115,0.06724125,1000,0.03683,0.083232,0.03777124900000001,0.003103434161215443,0.0371415,0.037284,0.037468,1000,0.022323,0.048633,0.023386271,0.002091055297106942,0.022764,0.0229815,0.02320225,1000,0.984865,1.117717,1.005217877,0.020904061341611848,0.9910775,0.9972035,1.01571125,1000,0.002675,0.013037,0.003058984,0.0007530423518926409,0.002826,0.0028855,0.003008,1000,0.011294,0.022457,0.011792997,0.0008776536919485954,0.011574,0.011639,0.01172825,1000,1.170586,1.496219,1.196157338,0.029863477228677777,1.179014,1.1856355,1.20481575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000278,0.009073,0.000338189,0.00028133367960306494,0.000308,0.00032,0.000335,1000,2.578211,4.932917,2.627272831,0.1816059863456941,2.588592,2.5936885,2.62181,1000,0.050841,0.092075,0.052842281000000005,0.003653328783731215,0.052001,0.052167,0.0524485,1000,0.042872,0.074816,0.04464643,0.0020885764393720426,0.044237,0.044403,0.04456925,1000,0.698186,2.034151,0.716445102,0.09185432530218485,0.7039095,0.7060555,0.70827275,1000,1.755622,2.771324,1.789540394,0.10429026102704302,1.7633215,1.7665505,1.782518,1000,0.001176,0.020307,0.001374555,0.0006293918548686501,0.001278,0.001323,0.001382,1000,0.012679,0.034466,0.013541701,0.0017311340489976504,0.013079,0.0132375,0.013429,1000,2.60247,4.992398,2.653976647,0.1840479811583338,2.61478675,2.6202275,2.6488105,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000299,0.00082,0.000345782,4.136032490201208e-05,0.00033,0.00034,0.000352,1000,2.615301,4.871299,2.685053829,0.17507255350313983,2.64140675,2.6535635,2.68598925,1000,0.051733,0.095635,0.05492478,0.0040051193302572145,0.0524295,0.053545,0.05643125,1000,0.043978,0.082716,0.046157804,0.002749226855605772,0.044709,0.0452875,0.046838,1000,0.701012,1.879306,0.723442904,0.08229790070241635,0.708621,0.7125995,0.71791125,1000,1.788928,2.806894,1.836478562,0.10598947620823568,1.80039625,1.812893,1.8353805,1000,0.001176,0.003598,0.001379025,0.00016165175648597205,0.001306,0.001352,0.00141425,1000,0.012804,0.032967,0.013492741,0.0013271381457553694,0.01311775,0.0132985,0.013482,1000,2.640591,4.929204,2.711815107,0.17728468154388172,2.66800025,2.6804835,2.712182,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
