SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.32169,0.42285,0.33485880392156864,0.013440516187303264,0.3276445,0.33143,0.336385,255,11.571103,13.442029,12.029457599999999,0.2399681516280548,11.956383,12.07123,12.1387745,255,0.285776,0.380718,0.2964043803921569,0.012700621449686743,0.289663,0.291267,0.2981995,255,0.136234,0.215671,0.14231480784313724,0.010600614465280166,0.138024,0.139267,0.1408735,255,3.601694,3.958921,3.714536968627451,0.06462379194722506,3.6696805,3.714106,3.755331,255,3.601694,3.958921,3.714536968627451,0.06462379194722506,3.6696805,3.714106,3.755331,255,0.02507,0.04902,0.026730917647058823,0.0018676071334685726,0.0260955,0.026376,0.02675,255,0.051705,0.090956,0.05435785490196078,0.004239569813374462,0.05303,0.05336,0.053858,255,39.73322,56.461394,47.186523968627455,2.201001968746712,47.299119,47.627664,47.795665,255,27.160601,42.419832,34.64159681568628,2.1752346241132274,35.0234625,35.118531,35.1915065,255,0.020325,0.040198,0.02215841960784314,0.001693011029349155,0.0214245,0.021901,0.022405,255,21.775529,28.405244,22.116168874509803,1.0031974278584352,21.8699275,21.905958,21.954607,255,4.838811,14.090884,12.088310345098039,1.8094654642567352,12.716774,12.776758,12.8273365,255,0.396819,0.491433,0.4130528196078431,0.015803278504196026,0.403973,0.409009,0.414413,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.921251,13.786145,9.375272047293446,0.33467341793682603,9.1172645,9.332627,9.530549,1755,8.608123,13.461608,9.080890629629629,0.3281134664840793,8.827928,9.041768,9.222735,1755,0.004767,0.61773,0.17237326182336182,0.166750603707554,0.0309485,0.1237905,0.2663675,10530,0.006101,0.324408,0.08290542279202279,0.08033718668039466,0.01573075,0.0630455,0.13772175,10530,0.037935,5.51482,1.1664316827160495,1.2017785294809569,0.0987365,0.890185,1.72453125,10530,0.037935,5.51482,1.1664316827160495,1.2017785294809569,0.0987365,0.890185,1.72453125,10530,0.093599,0.181933,0.10945184444444445,0.01260015404659898,0.10017,0.10375,0.116155,1755,0.12917,0.232039,0.14251325014245014,0.013263734928076332,0.134193,0.137516,0.143739,1755,24.02907,41.387206,30.852933231908832,3.612960517774743,28.4765755,30.294486,32.5028725,1755,14.391273,31.12959,20.889599329914528,3.5852555138872666,18.5373535,20.328978,22.586458,1755,0.07401,0.16356,0.08585689116809117,0.010565629185828412,0.0801635,0.082625,0.087005,1755,13.564012,30.300272,20.04114471908832,3.494892562598562,17.751262,19.50308,21.7469195,1755,0.104349,0.682915,0.26631349287749284,0.10578381727512598,0.2061645,0.240505,0.2925605,1755,0.431548,0.689989,0.49398940512820516,0.03000491242626224,0.471853,0.49064,0.5118505,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.030672,1.665919,0.090080113,0.11897849048007893,0.03753775,0.0760275,0.106237,1000,0.197489,0.342806,0.218699056,0.020504007967684368,0.20320625,0.2077475,0.2355815,1000,0.001988,0.021544,0.0026930875,0.0008565750386532111,0.002172,0.0023045,0.00311525,4000,0.004209,0.032519,0.0052474645,0.001274568131266332,0.00449,0.004641,0.005859,4000,0.015094,0.056092,0.018102780500000002,0.0029175881253733797,0.0160885,0.017059,0.01945225,4000,0.015094,0.056092,0.018102780500000002,0.0029175881253733797,0.0160885,0.017059,0.01945225,4000,0.020136,0.057678,0.022808205,0.0034132860341575533,0.0206945,0.020939,0.0245755,1000,0.02557,0.063221,0.027837195,0.002611778718608259,0.02625375,0.0266545,0.029238,1000,0.487852,2.41838,0.5908308320000001,0.15103393918918287,0.5066085,0.550509,0.65356125,1000,0.090265,0.223057,0.104437974,0.015745851668592714,0.093219,0.0968885,0.11524475,1000,0.025336,0.055361,0.029156309000000002,0.004352313000637592,0.02626175,0.027011,0.0316825,1000,0.040986,0.142887,0.047810851,0.008780959344786822,0.0420225,0.043365,0.05253075,1000,0.006269,0.025496,0.00759076,0.0018850430012071343,0.006478,0.006632,0.008097,1000,0.016454,0.043409,0.019326256,0.0030419501847439912,0.01705775,0.017674,0.02093525,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.023968,1.70639,0.091810086,0.12154346705797314,0.037558,0.0774255,0.10845075,1000,0.195326,0.482561,0.219053653,0.025298268420083442,0.20143625,0.206854,0.2359205,1000,0.001975,0.019521,0.0027292565,0.0010745757063640282,0.002161,0.002321,0.00312,4000,0.004133,0.026229,0.00523808825,0.0014602358314539255,0.00441,0.0045605,0.00582125,4000,0.015108,0.055418,0.01824936525,0.0030571480913332344,0.01597975,0.017235,0.019481,4000,0.015108,0.055418,0.01824936525,0.0030571480913332344,0.01597975,0.017235,0.019481,4000,0.020195,0.076588,0.023154499,0.004287513410357919,0.02072575,0.021045,0.0249615,1000,0.025913,0.069266,0.028466527,0.004141953985412079,0.026453,0.0268,0.0298775,1000,0.4868,2.446147,0.5971588889999999,0.15775309270817697,0.50212075,0.553077,0.661417,1000,0.090075,0.206627,0.106053923,0.01761810879615264,0.09336975,0.097276,0.11720875,1000,0.025459,0.064638,0.029582673,0.005175487427486516,0.0262405,0.026966,0.032273,1000,0.040927,0.113322,0.048572199,0.009249332407984858,0.04216375,0.044525,0.05367425,1000,0.006043,0.032935,0.007619175000000001,0.0019553475784051797,0.006416,0.006852,0.008099,1000,0.016321,0.132111,0.019713789000000002,0.005220422848053498,0.017062,0.017751,0.021192,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.016204,1.688968,0.062221842,0.11397280578674474,0.03719275,0.0501895,0.06204075,1000,0.197145,0.336959,0.20785732399999998,0.01450826010095711,0.20126975,0.204157,0.20758175,1000,0.001992,0.014318,0.0025258895,0.0007611410196473121,0.002134,0.002241,0.003025,4000,0.004169,0.030787,0.0049899722499999995,0.0012309225753393011,0.004414,0.004531,0.005738,4000,0.014861,0.056385,0.01750277075,0.002656647512410037,0.015858,0.0167285,0.01923475,4000,0.014861,0.056385,0.01750277075,0.002656647512410037,0.015858,0.0167285,0.01923475,4000,0.020333,0.06045,0.021304198,0.0021489222160878695,0.020765,0.02092,0.021067,1000,0.026069,0.053606,0.027264044,0.0020496251228124614,0.02647775,0.026639,0.02688425,1000,0.505526,2.417016,0.5654503959999999,0.13650566294790548,0.52215575,0.5502375,0.5684175,1000,0.102241,0.221535,0.12606952700000001,0.01640979815035124,0.114739,0.1246025,0.13125775,1000,0.02545,0.064656,0.027200146,0.0032107610067839054,0.02623325,0.0265065,0.026819,1000,0.04647,0.109821,0.049985741,0.0067430112255519046,0.0475095,0.0479735,0.049246,1000,0.00934,0.076749,0.029615244,0.010296133851522329,0.0210725,0.030891,0.03572825,1000,0.017035,0.043125,0.018712885999999998,0.0027097825335262605,0.017555,0.0177485,0.01819025,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031614,1.461051,0.075783275,0.09773788214029079,0.06859075,0.0693135,0.07242075,1000,0.060922,0.17056,0.078914453,0.008272629003877244,0.07830275,0.0787635,0.07958725,1000,0.002891,0.023368,0.00415599,0.001045260854476049,0.004072,0.004159,0.004229,1000,0.005899,0.034398,0.0077868289999999995,0.0014566725458245585,0.007683,0.0077795,0.00787725,1000,0.019196,0.058466,0.026016454,0.003311728957792893,0.02587775,0.026075,0.02628725,1000,0.019196,0.058466,0.026016454,0.003311728957792893,0.02587775,0.026075,0.02628725,1000,0.006195,0.034337,0.009417618,0.0016636935775785158,0.009375,0.0094945,0.009673,1000,0.010115,0.036416,0.012314208,0.0013675633947777337,0.012245,0.012345,0.012444,1000,0.1595,1.748056,0.262740756,0.10797829052168062,0.2577965,0.260981,0.2645865,1000,0.012893,0.105048,0.039374178999999995,0.010076763327922265,0.0404615,0.040941,0.04179725,1000,0.002074,0.013363,0.0030981909999999997,0.0007263841824537481,0.00301075,0.003071,0.003136,1000,0.007242,0.04483,0.017212087,0.003962181595463666,0.01732075,0.0175295,0.0177185,1000,0.001927,0.066163,0.016844130000000002,0.006243093199616676,0.01812375,0.018377,0.01862725,1000,0.000942,0.009854,0.001448887,0.0006526369988217032,0.001325,0.001362,0.00139925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031451,1.440571,0.09037888499999999,0.09681890253086829,0.06917025,0.095384,0.09851525,1000,0.060755,0.132214,0.078379424,0.0072575667013279315,0.0780125,0.078499,0.079297,1000,0.002871,0.02332,0.00417475,0.0009027787932267793,0.00413875,0.004206,0.004262,1000,0.005844,0.028175,0.0076477129999999996,0.001116375064497143,0.00758275,0.007672,0.007762,1000,0.019214,0.037522,0.025626433,0.002348296711983177,0.0256885,0.0259305,0.02620125,1000,0.019214,0.037522,0.025626433,0.002348296711983177,0.0256885,0.0259305,0.02620125,1000,0.006184,0.027805,0.009403049,0.0015861191073179215,0.00935275,0.0094815,0.00964125,1000,0.010146,0.037772,0.012493768,0.0017844218027630128,0.0122575,0.012371,0.012495,1000,0.159348,1.710766,0.266994585,0.10676329770616293,0.2458495,0.2759345,0.28193625,1000,0.012653,0.065516,0.029154501,0.0065120766752241955,0.02686425,0.0309815,0.0316555,1000,0.002001,0.011997,0.003014746,0.0007036311842748301,0.002948,0.0029985,0.00305425,1000,0.007306,0.044261,0.0160574,0.0035857460752261863,0.01576,0.016452,0.01679,1000,0.001875,0.021137,0.007917936,0.0028316918419743348,0.006313,0.00961,0.009858,1000,0.000911,0.011392,0.001420886,0.0007578082613722286,0.001241,0.00131,0.00137025,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.005253,0.128141,0.006243772,0.008371017972386393,0.005512,0.0055915,0.00569725,1000,1.115681,1.311703,1.1362807830000001,0.018988676137264307,1.1254595,1.132654,1.13622475,1000,0.067083,0.12563,0.068231865,0.003689149827639832,0.06746375,0.067584,0.06770625,1000,0.037575,0.070647,0.038530494,0.0025169547838536947,0.037945,0.038097,0.0382455,1000,0.015312,0.040778,0.016139415,0.0015102668223777546,0.015741,0.0158965,0.01607225,1000,0.98718,1.135001,1.005487799,0.016677286196998566,0.996339,1.002801,1.00549325,1000,0.002784,0.007792,0.002981864,0.0002577681972315437,0.002906,0.002949,0.003004,1000,0.011087,0.022233,0.011586357,0.0008691188086510382,0.01136675,0.01146,0.011575,1000,1.152035,1.41594,1.17396017,0.02487154756948389,1.16242775,1.168973,1.1738735,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000308,0.002741,0.00037164,8.930304810027483e-05,0.000343,0.000363,0.000385,1000,2.566114,5.063905,2.620288827,0.18599459495168422,2.576528,2.591075,2.613941,1000,0.050906,0.099398,0.053326024,0.0036104647794188496,0.052371,0.052636,0.0534205,1000,0.043081,0.086334,0.045403238,0.003405855717636318,0.0447655,0.0450445,0.04533325,1000,0.689035,2.14498,0.710157381,0.0979051455980626,0.69490475,0.6980305,0.70691625,1000,1.770137,2.762708,1.803816287,0.10409287088378642,1.77533225,1.779568,1.7971875,1000,0.001238,0.003646,0.001463743,0.00015402449464614387,0.001386,0.001438,0.001503,1000,0.011861,0.022469,0.012409664,0.0008102623730027207,0.012129,0.012241,0.01241975,1000,2.590955,5.126155,2.645921698,0.18847743844728151,2.6014015,2.616365,2.63924,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000303,0.000887,0.000377943,5.635313434938646e-05,0.000345,0.000366,0.000398,1000,2.590802,4.887834,2.6464662540000004,0.1760522010112384,2.60264875,2.614773,2.6386475,1000,0.0523,0.105098,0.054103779000000005,0.004586510790367661,0.052834,0.053088,0.0537685,1000,0.044299,0.085176,0.045859154,0.002864071427929827,0.0449545,0.04515,0.046059,1000,0.691747,1.910221,0.711129667,0.08434798224699931,0.69729275,0.699308,0.70848625,1000,1.789552,2.840688,1.827475655,0.10683165010029554,1.79778225,1.8008155,1.820661,1000,0.001242,0.010845,0.001458413,0.0003540140059814018,0.001377,0.001419,0.001472,1000,0.011858,0.035507,0.012459659,0.0012602527582667692,0.012129,0.012266,0.01245025,1000,2.615667,4.944793,2.672350745,0.1784059065800849,2.62793825,2.639631,2.6643205,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.000336,0.003837,0.00042404300000000003,0.0001241315961026845,0.00038,0.0004,0.000447,1000,3.339102,5.8872,3.409564847,0.19109136163506082,3.35667925,3.3838485,3.406449,1000,0.052836,0.098921,0.055693410000000006,0.0035883499341480066,0.054314,0.0549105,0.05574925,1000,0.045131,0.07599,0.047058383999999995,0.0025286891490541104,0.0458,0.046167,0.048136,1000,0.695091,1.982814,0.722916297,0.08699689654329511,0.7013165,0.7072895,0.73650175,1000,2.53256,3.75623,2.574424335,0.11714406485553921,2.5414785,2.5496215,2.57127775,1000,0.001392,0.012611,0.00171508,0.000522075478834239,0.001587,0.001655,0.00174025,1000,0.012603,0.024269,0.013489201999999999,0.0010285440696421325,0.01298175,0.013209,0.013696,1000,3.364912,5.949131,3.438056719,0.19338645146213326,3.385665,3.412773,3.43415825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
