SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.342295,0.508397,0.3578877843137255,0.020417000258160223,0.3477985,0.351006,0.3581085,255,11.708645,13.310139,12.26609474117647,0.2751598299092545,12.1069285,12.263609,12.440626,255,0.284358,0.367647,0.2950544196078432,0.013816491520841962,0.2871575,0.288789,0.2966685,255,0.136487,0.193445,0.14155407450980392,0.008488114731345678,0.137734,0.138291,0.139314,255,3.537615,4.283557,3.697136254901961,0.10210181223266239,3.6293615,3.700682,3.7459215,255,3.537615,4.283557,3.697136254901961,0.10210181223266239,3.6293615,3.700682,3.7459215,255,0.022322,0.047806,0.024605184313725492,0.0031313888419923098,0.023502,0.023892,0.0244275,255,0.047405,0.089201,0.05005062745098039,0.005272325610168495,0.048446,0.048914,0.0493305,255,39.772624,54.395883,47.291630874509806,1.7383734722982205,47.4334755,47.782317,48.1166905,255,27.082904,41.566534,34.50047471764706,1.8001766867494213,34.9498395,35.101148,35.272172,255,0.019915,0.030885,0.021932980392156864,0.0013352325271563437,0.0213925,0.021762,0.0221445,255,21.7706,28.21926,21.96571009411765,0.6055667834171579,21.8517395,21.885168,21.924736,255,4.846065,13.537047,12.092649803921569,1.780756924297484,12.6555445,12.776542,12.9253415,255,0.39602,0.511244,0.4172769294117647,0.016830100877999653,0.4064235,0.410582,0.423787,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.959465,13.695443,9.253709217663816,0.26320196027008913,9.092851,9.168207,9.3637335,1755,8.656565,13.400486,8.951461026210826,0.2617358947138546,8.7917905,8.863384,9.05634,1755,0.004959,0.549576,0.1722150494776828,0.16802094458374353,0.02974375,0.1162835,0.2775255,10530,0.006199,0.28483,0.07315157407407408,0.07030300054172965,0.013784,0.0550885,0.103571,10530,0.035619,5.533186,1.1472764620132954,1.1839384105384467,0.08292925,0.873283,1.71963875,10530,0.035619,5.533186,1.1472764620132954,1.1839384105384467,0.08292925,0.873283,1.71963875,10530,0.096605,0.193848,0.10787814074074074,0.010406798428953826,0.102618,0.105561,0.10812,1755,0.117167,0.208256,0.12774065128205128,0.01012250971556183,0.1229675,0.125041,0.1270465,1755,24.020163,41.844451,30.67935639145299,3.6424898174581006,28.2321045,30.149618,32.4242525,1755,14.392783,31.69037,20.943432992022792,3.617092887632616,18.5592255,20.406976,22.7227285,1755,0.073274,0.153517,0.08102002279202279,0.008163389330987534,0.076727,0.079554,0.0811,1755,13.591151,30.913174,20.11661198233618,3.5277808647961355,17.795619,19.603801,21.896492,1755,0.100463,0.674669,0.25223064615384616,0.10422995278736606,0.1941595,0.224156,0.278614,1755,0.435585,0.679125,0.4913549259259259,0.027415493433576545,0.4730145,0.485829,0.506512,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.034746,1.734275,0.108280054,0.12062478101053319,0.05443225,0.0937425,0.1244625,1000,0.124436,0.257444,0.142826826,0.018333269942804094,0.128616,0.133244,0.154915,1000,0.001829,0.02088,0.002610958,0.001304653539157427,0.002015,0.002133,0.003013,4000,0.00403,0.027111,0.005150930000000001,0.001773598972597808,0.004238,0.004399,0.00567925,4000,0.00033,0.018602,0.00073530825,0.0008100740350313282,0.000434,0.000492,0.000935,4000,0.00033,0.018602,0.00073530825,0.0008100740350313282,0.000434,0.000492,0.000935,4000,0.019962,0.061265,0.022864233,0.003846406805670846,0.02061275,0.02086,0.024613,1000,0.025254,0.065729,0.028001574,0.0041391332156049294,0.0259575,0.026331,0.02909675,1000,0.417998,2.35911,0.525422939,0.15052140078975906,0.45223175,0.48395,0.57976825,1000,0.087022,0.195292,0.10310222999999999,0.016659451397963262,0.09024425,0.0944665,0.1139345,1000,0.02496,0.068691,0.029445913,0.005833283111887421,0.02598675,0.02667,0.03183125,1000,0.039546,0.109677,0.046985546,0.009218638475929295,0.0406385,0.043365,0.05261375,1000,0.005341,0.024791,0.006649999,0.002062015850811773,0.005555,0.0057765,0.007076,1000,0.016099,0.052083,0.019448485,0.004338549464253577,0.0167585,0.017558,0.02084275,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034014,1.6777,0.10890044,0.12173092996000813,0.05352375,0.094867,0.12635525,1000,0.124373,0.256763,0.145976721,0.01829940196168058,0.1313245,0.1402615,0.15691475,1000,0.001857,0.02168,0.00262334325,0.0011495712359090398,0.002083,0.002221,0.00305525,4000,0.004029,0.026374,0.0053390667499999996,0.0016473012023593128,0.0043895,0.0047465,0.005848,4000,0.000344,0.01818,0.00073637325,0.000757672437425592,0.00045675,0.00052,0.00088525,4000,0.000344,0.01818,0.00073637325,0.000757672437425592,0.00045675,0.00052,0.00088525,4000,0.020023,0.058643,0.022980186000000003,0.004286528234761088,0.02054575,0.020854,0.0245325,1000,0.025072,0.06732,0.028091269,0.004654196959373228,0.025947,0.026333,0.02903,1000,0.420626,2.348584,0.52984365,0.15210811323960172,0.4546495,0.4912625,0.58176075,1000,0.087501,0.20605,0.10355727,0.016838585696699708,0.0907525,0.0949525,0.114558,1000,0.025492,0.068536,0.029663561,0.00528811415896811,0.0264315,0.0270925,0.03217525,1000,0.039567,0.122587,0.04709422,0.009662122559748453,0.04057225,0.0430705,0.052519,1000,0.005279,0.03534,0.006787868000000001,0.002520186553129748,0.00556075,0.005981,0.007098,1000,0.01608,0.075362,0.019452734,0.004037691667183615,0.01694225,0.0176755,0.02093425,1000,0.0,1.2,0.96,0.48000000000000004,1.2,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.048244,1.723239,0.07920288,0.11640144556472486,0.05266475,0.066946,0.07825675,1000,0.125929,0.259761,0.135819188,0.012657876675361314,0.12890875,0.1325135,0.136276,1000,0.001843,0.023463,0.00243915625,0.0010204724831351102,0.002036,0.002114,0.002923,4000,0.004043,0.044475,0.004925528,0.0016501882661429878,0.004261,0.00439,0.00564125,4000,0.000356,0.015352,0.00072755,0.000709216414784655,0.000456,0.000505,0.00092325,4000,0.000356,0.015352,0.00072755,0.000709216414784655,0.000456,0.000505,0.00092325,4000,0.020054,0.060988,0.021645306,0.004004643607658989,0.020538,0.0207095,0.02097725,1000,0.025282,0.063566,0.026833568999999998,0.004011441887057446,0.025699,0.025899,0.026167,1000,0.437221,2.339714,0.49917799300000004,0.13941628879507212,0.45831325,0.4827965,0.50193675,1000,0.099413,0.240529,0.12322865300000001,0.01685431405992516,0.11090275,0.1212375,0.12829125,1000,0.025315,0.064862,0.027641913,0.004484372652381936,0.02614975,0.026529,0.02693425,1000,0.044542,0.154192,0.048629554,0.008357101686774188,0.0455615,0.046028,0.04691025,1000,0.008887,0.068128,0.028108659,0.010133443665443598,0.01942675,0.0291585,0.03385625,1000,0.016374,0.043655,0.018295913,0.0030854442528477155,0.016967,0.0171725,0.01779825,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039808,1.466161,0.083556403,0.09697841906731929,0.07446825,0.0755155,0.0772175,1000,0.040213,0.113188,0.053583178999999995,0.008565370616088891,0.0513245,0.051868,0.05273925,1000,0.002809,0.019539,0.004285392,0.0017015317176990855,0.00406275,0.004129,0.00419425,1000,0.005659,0.023529,0.007801563,0.002070926250263635,0.00743975,0.0075505,0.007674,1000,0.00075,0.012803,0.001057066,0.0005939949458067805,0.000963,0.001,0.001038,1000,0.00075,0.012803,0.001057066,0.0005939949458067805,0.000963,0.001,0.001038,1000,0.006042,0.034641,0.009438424,0.0024255987121170725,0.0091825,0.00931,0.009449,1000,0.009947,0.043271,0.012915266,0.0031840083453477316,0.01231775,0.012428,0.01255925,1000,0.141254,1.701018,0.243518169,0.10641437381645602,0.23189675,0.2349015,0.2533845,1000,0.011806,0.119154,0.038715405,0.011557434724235954,0.0383595,0.0389,0.04144925,1000,0.001999,0.021206,0.003054887,0.0011417510316312396,0.00289,0.002968,0.00303925,1000,0.006712,0.061563,0.017064269,0.0053667854097810734,0.01662,0.0168075,0.01705925,1000,0.001547,0.074084,0.016361955,0.0070334496020782716,0.0170545,0.017267,0.017499,1000,0.000957,0.022253,0.0014404469999999999,0.0010878739978467176,0.001255,0.0013095,0.001384,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.027627,1.58011,0.098424665,0.10002992155646616,0.07529075,0.103291,0.10491475,1000,0.0403,0.114779,0.053111143,0.00810509217372332,0.0509325,0.051585,0.0531525,1000,0.002836,0.024387,0.004262457999999999,0.0017877869347984396,0.004019,0.004101,0.00419925,1000,0.00573,0.022878,0.007687632,0.0017809962045372246,0.00739675,0.0075385,0.00767725,1000,0.000772,0.016321,0.001049601,0.0007168336611787982,0.000942,0.000976,0.001009,1000,0.000772,0.016321,0.001049601,0.0007168336611787982,0.000942,0.000976,0.001009,1000,0.005983,0.037348,0.009525433000000002,0.002566364106963585,0.009144,0.0092915,0.009463,1000,0.009874,0.045216,0.012614486000000001,0.0026402196093893403,0.01214475,0.012288,0.01244925,1000,0.140405,1.812544,0.24674191099999998,0.10952678421324658,0.22020575,0.25047,0.25677575,1000,0.011918,0.080673,0.028436187999999998,0.007398884545974211,0.02559125,0.029479,0.0302025,1000,0.00198,0.018168,0.003064366,0.0009097244352242057,0.002934,0.003006,0.003079,1000,0.006693,0.051565,0.015830265,0.004684023364670057,0.0150325,0.015732,0.01607425,1000,0.001609,0.025761,0.007391787,0.003006468540602246,0.005819,0.0088405,0.009146,1000,0.000959,0.018943,0.00138177,0.001059998259951402,0.00117675,0.001253,0.001317,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008353,0.161912,0.010234804,0.010020075611270806,0.00878675,0.0089495,0.00924825,1000,1.09858,1.291122,1.124616315,0.02688434403744631,1.104135,1.114617,1.13431825,1000,0.066964,0.121664,0.069135166,0.005836604344346462,0.067424,0.0675665,0.06772125,1000,0.037525,0.080192,0.038782711000000004,0.0037133670485799,0.037883,0.0381065,0.038293,1000,0.000681,0.004135,0.000963787,0.0005111469256789088,0.000811,0.000871,0.00092,1000,0.983999,1.13467,1.007886587,0.023898910257508208,0.989466,0.9990925,1.0184955,1000,0.00278,0.015998,0.003017361,0.0005785413629802108,0.002922,0.002961,0.00301,1000,0.007979,0.025104,0.008593063,0.0014251225459696439,0.008247,0.008348,0.00852325,1000,1.130778,1.508487,1.160357845,0.03348612052700305,1.138332,1.149951,1.1699555,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000282,0.009262,0.00035572800000000003,0.00030967505875675557,0.00031975,0.000335,0.000354,1000,2.497343,5.119434,2.5794557659999997,0.20044340640891942,2.52862,2.5581575,2.58017225,1000,0.052102,0.104477,0.054228132,0.005462970640464399,0.05261,0.0528705,0.05323425,1000,0.043944,0.098478,0.045942552000000005,0.004893865839323346,0.0444565,0.0448905,0.04531725,1000,0.68895,2.188016,0.715359175,0.10074378440520475,0.694697,0.699119,0.721947,1000,1.700314,2.840396,1.7563293430000002,0.1155081005581745,1.71251275,1.7379625,1.7605695,1000,0.00117,0.01854,0.001487332,0.0006387828455555143,0.00130375,0.001454,0.001575,1000,0.005931,0.027401,0.006718877999999999,0.0012563321332816413,0.006381,0.0065455,0.0067265,1000,2.51379,5.17035,2.5980827179999997,0.20282563693130234,2.5468975,2.5768035,2.59904925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000282,0.010611,0.000367989,0.00034306218514869866,0.000324,0.000343,0.000374,1000,2.611742,5.144606,2.711761617,0.19463270826049847,2.6524185,2.684904,2.72584925,1000,0.051895,0.099522,0.05471856,0.005812340367734843,0.05216875,0.0524375,0.056526,1000,0.043628,0.092733,0.046362887000000005,0.005552329514738026,0.04423375,0.044642,0.04692675,1000,0.688879,2.106702,0.72491837,0.09606493761862908,0.695514,0.7129485,0.7373065,1000,1.815444,2.90825,1.878435355,0.11355303517910463,1.8371305,1.860989,1.8850715,1000,0.001126,0.003496,0.0013000499999999999,0.00013052955029417668,0.001249,0.00128,0.001316,1000,0.005908,0.023384,0.006512999,0.0010995697226638247,0.006233,0.006356,0.006512,1000,2.627617,5.196998,2.729722467,0.19692424257105803,2.66987075,2.7019705,2.7433935,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
