SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339167,0.518544,0.3651082862745098,0.019605070112751193,0.350083,0.362206,0.373993,255,11.824,13.757424,12.382317333333335,0.2850460383592458,12.2578155,12.411287,12.492551,255,0.285176,0.394358,0.3024561647058824,0.017233693169347798,0.28891,0.29952,0.3058785,255,0.136507,0.215424,0.15621806274509806,0.020141105184252474,0.138771,0.143556,0.172166,255,3.549801,4.220747,3.6501329607843136,0.0922614363892216,3.600414,3.636774,3.671871,255,3.549801,4.220747,3.6501329607843136,0.0922614363892216,3.600414,3.636774,3.671871,255,0.022532,0.045621,0.025317035294117645,0.002417607247398943,0.02372,0.024428,0.0265805,255,0.046191,0.088468,0.05120796862745098,0.004874074699818205,0.048933,0.050085,0.0523965,255,39.992643,54.685438,48.46473398039216,2.8871002045576084,47.7464695,48.121484,48.757813,255,27.12236,41.660265,35.539106133333334,2.860156507196332,35.07358,35.217212,35.6344125,255,0.020307,0.052911,0.022150682352941178,0.0028339727711690875,0.0213195,0.02179,0.0222055,255,21.794534,28.233462,22.93233650980392,2.18119467168334,21.873366,21.94087,22.166086,255,4.824189,14.938552,12.16292717254902,1.842246823495729,12.7166205,12.844167,12.9203435,255,0.393893,0.517141,0.41883852156862744,0.020558399304404482,0.4071425,0.411749,0.4209015,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.972856,13.197214,9.337358786324787,0.2776696390767969,9.1231585,9.267857,9.4904705,1755,8.683459,12.866795,9.026809502564102,0.2755190735864952,8.814026,8.956355,9.1777875,1755,0.004775,0.582355,0.1759555197530864,0.17144252476992922,0.02971475,0.121085,0.28153975,10530,0.005922,0.3083,0.07877032193732193,0.0759544822580059,0.01437725,0.060359,0.1096135,10530,0.035457,5.100861,1.1614935116809117,1.1952009293186745,0.088412,0.885741,1.7454245,10530,0.035457,5.100861,1.1614935116809117,1.1952009293186745,0.088412,0.885741,1.7454245,10530,0.098175,0.184236,0.11096354301994303,0.011238012992122418,0.1034255,0.106618,0.118179,1755,0.118853,0.260822,0.1300587566951567,0.010757048831011626,0.123897,0.126532,0.1329135,1755,23.990356,41.664634,30.861929123646725,3.6917204325073083,28.402326,30.236477,32.713793,1755,14.388887,31.410616,21.02680336980057,3.6634547614869915,18.5702215,20.446296,22.888773,1755,0.073213,0.144105,0.08266696581196581,0.008748883374708128,0.078157,0.080618,0.0841185,1755,13.72677,30.582614,20.193731193732194,3.573655629413494,17.820536,19.637352,22.044476,1755,0.099756,0.626254,0.2537555133903134,0.10300831111518394,0.1965045,0.22571,0.281026,1755,0.434593,0.651016,0.49447777264957266,0.030617604730194172,0.474159,0.488373,0.509874,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037015,1.841899,0.10805192699999999,0.12519288141454238,0.05419525,0.094529,0.1244005,1000,0.125915,0.263337,0.144054519,0.01715293918340641,0.1312235,0.136242,0.1574505,1000,0.001831,0.023754,0.00261029675,0.0013146474507218417,0.002007,0.002117,0.00304,4000,0.0041,0.023889,0.005206303,0.0015171105215807449,0.00435775,0.0045845,0.005779,4000,0.000336,0.017592,0.0007572060000000001,0.0008373642642625729,0.00046,0.000514,0.000943,4000,0.000336,0.017592,0.0007572060000000001,0.0008373642642625729,0.00046,0.000514,0.000943,4000,0.020114,0.061023,0.022965413,0.004269400687734872,0.020524,0.0208115,0.02465575,1000,0.025338,0.063457,0.027924447,0.003938800463998018,0.025921,0.0263165,0.0291495,1000,0.421235,2.447633,0.525676985,0.15180119921479795,0.455892,0.487432,0.57775025,1000,0.086524,0.203298,0.102650349,0.01612213477630053,0.09029425,0.094493,0.11345875,1000,0.025081,0.067203,0.029357132,0.00561358698485879,0.02590625,0.0266005,0.03175325,1000,0.039337,0.103254,0.046752102,0.009028385765550562,0.04056375,0.0430875,0.052036,1000,0.005314,0.023387,0.006642451,0.0018805256195008353,0.00556375,0.005929,0.007038,1000,0.016039,0.058153,0.019355721000000003,0.0038461156395978267,0.016872,0.017751,0.020779,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.036027,1.829906,0.108516054,0.12258098560295999,0.05399225,0.0946045,0.124875,1000,0.125409,0.265335,0.149249788,0.01897027520778378,0.133195,0.1449245,0.160768,1000,0.001835,0.023304,0.002640689,0.0010631763963609238,0.002101,0.002252,0.003108,4000,0.004061,0.026586,0.0055153962499999995,0.001763145677967631,0.00451175,0.004936,0.006036,4000,0.000335,0.020024,0.0007360159999999999,0.000816982432028988,0.000451,0.000502,0.00087425,4000,0.000335,0.020024,0.0007360159999999999,0.000816982432028988,0.000451,0.000502,0.00087425,4000,0.020163,0.054995,0.023455405999999998,0.004181545302775518,0.0207555,0.0217095,0.025419,1000,0.025043,0.068938,0.027787414,0.004152134193472557,0.0258065,0.0261455,0.02898,1000,0.417494,2.44139,0.5353346040000001,0.1532024137605057,0.459124,0.4977405,0.5861025,1000,0.086516,0.218222,0.10426342200000001,0.017283385457424597,0.09151375,0.0966555,0.11486275,1000,0.024913,0.07845,0.029668857,0.005548540111286121,0.02627075,0.0274555,0.03224325,1000,0.03947,0.12216,0.047926898,0.009876892641190143,0.04097975,0.0435715,0.05300825,1000,0.005338,0.027505,0.006705979999999999,0.00192317585820954,0.0056,0.005977,0.007078,1000,0.015942,0.059603,0.019420585,0.003969907865023444,0.01692675,0.017627,0.02086925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.034705,1.737291,0.08012733699999999,0.121652409797305,0.052996,0.067458,0.0793815,1000,0.126326,0.236486,0.13605674299999998,0.012961134822111487,0.1289755,0.131756,0.13518175,1000,0.001809,0.019852,0.0023789695,0.0009752603814211619,0.001964,0.002041,0.002924,4000,0.003987,0.036922,0.0049170085,0.001656544677009271,0.00426,0.004387,0.005634,4000,0.000333,0.022598,0.0007450662499999999,0.0007886905133580202,0.000459,0.00052,0.00092825,4000,0.000333,0.022598,0.0007450662499999999,0.0007886905133580202,0.000459,0.00052,0.00092825,4000,0.020162,0.059102,0.021650331999999998,0.003464353881429552,0.02057475,0.020803,0.0210845,1000,0.025422,0.065093,0.026968908,0.003971831588768084,0.025865,0.026033,0.026255,1000,0.436697,2.415612,0.501443566,0.14254018644812994,0.46333575,0.4838855,0.503767,1000,0.099227,0.211892,0.122887867,0.016471273219132485,0.111152,0.121216,0.12753225,1000,0.025307,0.066959,0.027349358,0.0045146022883346,0.025889,0.026168,0.026493,1000,0.044696,0.115606,0.04836568,0.007556334684064755,0.0455935,0.045972,0.046874,1000,0.008899,0.082795,0.028139768,0.010066158803246449,0.019634,0.0293745,0.03388625,1000,0.016431,0.049196,0.018511904,0.0037682881509757183,0.01698375,0.017214,0.01775,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.010607,1.566,0.08373198,0.09812320980648566,0.07487225,0.0756395,0.077996,1000,0.039954,0.122708,0.053727822999999994,0.008601077399586111,0.05142475,0.0519405,0.0530685,1000,0.00283,0.019537,0.004217916,0.0013582299447972715,0.00407975,0.004156,0.004228,1000,0.005684,0.025127,0.007765549,0.001878172013847241,0.007504,0.0076125,0.00770225,1000,0.000712,0.015648,0.0010321949999999999,0.0006840696229003303,0.000934,0.0009685,0.001004,1000,0.000712,0.015648,0.0010321949999999999,0.0006840696229003303,0.000934,0.0009685,0.001004,1000,0.006047,0.030787,0.009606327999999999,0.0023941601434356893,0.009256,0.0094415,0.00972025,1000,0.009933,0.038284,0.012705802,0.0026392412395982298,0.01226875,0.012405,0.01254925,1000,0.139921,1.81215,0.24356925299999999,0.10830415743950456,0.232206,0.235108,0.25164275,1000,0.011848,0.092488,0.038631609,0.011188139200515831,0.03850075,0.038957,0.04096725,1000,0.002025,0.019701,0.003139964,0.0014430406975217294,0.002911,0.0029935,0.00307,1000,0.0068,0.04975,0.0170335,0.005031707608754705,0.01663975,0.0168235,0.017048,1000,0.001546,0.056068,0.016275636,0.006623123474275864,0.01708775,0.0172895,0.01743025,1000,0.000944,0.012602,0.0013771489999999998,0.0005663165711852337,0.001257,0.001317,0.001361,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.026329,1.588882,0.09881705499999999,0.10268939777995571,0.07525875,0.1031155,0.1049805,1000,0.040025,0.135703,0.053066129999999996,0.00907255553783497,0.05061275,0.0513685,0.05226075,1000,0.002807,0.021528,0.004197277,0.00149058179522997,0.004007,0.004088,0.00418225,1000,0.005673,0.024032,0.007719087,0.0020000809777184023,0.007313,0.007536,0.0076815,1000,0.000724,0.015419,0.001055735,0.0008547028517414692,0.000925,0.00096,0.000991,1000,0.000724,0.015419,0.001055735,0.0008547028517414692,0.000925,0.00096,0.000991,1000,0.005961,0.040502,0.009548273999999999,0.002653811556031061,0.00919275,0.00937,0.009548,1000,0.009896,0.035242,0.01256337,0.002316649491204917,0.01219,0.0123285,0.01245225,1000,0.140057,1.868391,0.247185562,0.1135822727876413,0.21986575,0.2508035,0.2552825,1000,0.011948,0.085434,0.028610192,0.008066139435636851,0.025589,0.029418,0.02997675,1000,0.00202,0.02005,0.003121796,0.0014935932546660754,0.002875,0.00295,0.003046,1000,0.006791,0.048922,0.015817915999999998,0.004894188962325015,0.015058,0.0157265,0.01601425,1000,0.0016,0.038967,0.0075223370000000005,0.0034985413333889596,0.00579425,0.0088805,0.009104,1000,0.000966,0.013595,0.001373981,0.0008088390140435857,0.001204,0.001271,0.001326,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.00846,0.14854,0.010301126,0.009598869822959577,0.00881675,0.008971,0.0093635,1000,1.112368,1.320076,1.142384397,0.03184419008267271,1.1210625,1.135168,1.15011825,1000,0.067359,0.115248,0.069718777,0.005594835230395173,0.06780825,0.0681175,0.06863775,1000,0.037496,0.087147,0.038884294,0.003731798813382629,0.03788775,0.0381105,0.03828425,1000,0.000718,0.01055,0.000949134,0.0005749425241221943,0.000808,0.000839,0.00088,1000,0.997627,1.181914,1.0248325010000001,0.02884741937359387,1.00475275,1.0191765,1.032697,1000,0.002758,0.013154,0.003068211,0.0006195738329521349,0.002927,0.003025,0.003101,1000,0.007981,0.022329,0.008569254,0.0008617762943386178,0.008325,0.008462,0.00860325,1000,1.146065,1.522662,1.1784839329999999,0.03738201179118789,1.15529275,1.1700825,1.1850215,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000294,0.00106,0.00035800400000000004,5.142246575184819e-05,0.000338,0.000351,0.000364,1000,2.505274,5.167774,2.5707227919999998,0.20397475935398168,2.51982,2.5400275,2.5669695,1000,0.051939,0.110497,0.053904832,0.004206864214563622,0.05239175,0.052782,0.05427575,1000,0.044093,0.08875,0.045739023999999996,0.00380333017097175,0.044648,0.044965,0.045444,1000,0.689475,2.229104,0.713664294,0.10389138868013827,0.69491375,0.698629,0.71588875,1000,1.708881,2.803353,1.749817215,0.1158103176087553,1.7175785,1.7234915,1.74612075,1000,0.001151,0.003238,0.001356836,0.00015775274040091984,0.00126175,0.0013305,0.00140625,1000,0.006052,0.024105,0.006627486,0.0010838629746439353,0.00632275,0.006464,0.006633,1000,2.521633,5.220392,2.588944727,0.20646206918024063,2.53750225,2.558568,2.58432925,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000282,0.000871,0.000353331,5.286276041789721e-05,0.000326,0.000345,0.00036625,1000,2.620988,5.140243,2.741776951,0.19227165346397423,2.681038,2.7086065,2.75849775,1000,0.052308,0.093693,0.055436927000000004,0.006352876955653321,0.05279275,0.053078,0.0564985,1000,0.044291,0.083891,0.046398184,0.004592921152180168,0.044714,0.044949,0.04724825,1000,0.688832,2.03425,0.728132228,0.09311737560419117,0.698116,0.7220885,0.73226625,1000,1.814274,2.979454,1.904244126,0.1158349163498991,1.85907675,1.8818965,1.91895725,1000,0.001136,0.003607,0.0013216489999999998,0.0001763325602349152,0.001248,0.001298,0.001351,1000,0.005994,0.024543,0.006666406,0.0013969923110611596,0.00631175,0.0064325,0.006619,1000,2.639541,5.188664,2.760040625,0.19447093957350123,2.698771,2.726912,2.77659725,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
