SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340635,0.510932,0.35761349803921566,0.01678972746532236,0.34786,0.352559,0.359705,255,11.526786,14.27372,12.091336862745099,0.3253829947554365,11.8940195,12.098675,12.2055945,255,0.28214,0.490647,0.2946830431372549,0.021396253508456548,0.2850775,0.287197,0.294338,255,0.136635,0.221318,0.14341588235294117,0.012568120341542428,0.138467,0.139209,0.1410585,255,3.558716,4.079449,3.6739422941176474,0.06478125299743295,3.623474,3.676768,3.7081585,255,3.558716,4.079449,3.6739422941176474,0.06478125299743295,3.623474,3.676768,3.7081585,255,0.022565,0.05121,0.024346913725490194,0.0032138880320808916,0.0233145,0.023701,0.024084,255,0.053008,0.084427,0.05566890980392157,0.0033116276946455045,0.0544725,0.055068,0.05563,255,39.638234,53.932876,47.18188757254902,2.001459863775248,47.28914,47.681831,47.9586965,255,27.148542,41.536812,34.56052780784314,1.9666805243334973,34.9939515,35.130375,35.339196,255,0.019905,0.050297,0.022223384313725492,0.0030210803354891826,0.021213,0.02162,0.02201,255,21.746997,28.112038,21.977876435294117,0.5657620236625605,21.841559,21.875543,21.9113325,255,4.857184,14.045392,12.136171572549019,1.8179411430163783,12.71083,12.805846,13.009671,255,0.396707,0.519688,0.42138225098039217,0.020354476423775397,0.409067,0.413498,0.425424,255,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
SofaScene,9.143018,13.84203,9.442932742450143,0.2843732637498248,9.26762,9.3607,9.5613075,1755,8.828682,13.465416,9.13603649173789,0.2809909742147072,8.9642355,9.052885,9.254868,1755,0.005052,0.599462,0.17311147188983855,0.16848924299087745,0.029662,0.117173,0.2758375,10530,0.006081,0.309222,0.07590192117758784,0.07332568299110433,0.01368375,0.0612765,0.1045605,10530,0.034763,5.480916,1.153877110731244,1.190202940150446,0.084077,0.8737615,1.73310525,10530,0.034763,5.480916,1.153877110731244,1.190202940150446,0.084077,0.8737615,1.73310525,10530,0.097132,0.169884,0.10783891794871794,0.010177470216012719,0.102386,0.104299,0.108107,1755,0.121841,0.259682,0.13240743133903135,0.011413438673141877,0.126446,0.12878,0.1331235,1755,24.092949,41.077105,30.759847823931622,3.637700480303903,28.3637935,30.14215,32.447,1755,14.409769,30.855566,20.842260043304844,3.6252855329982605,18.5017025,20.318048,22.6141085,1755,0.070403,0.138628,0.08030806153846154,0.008463194468025676,0.0761515,0.078478,0.0804675,1755,13.634823,29.75154,20.018326907122507,3.536428503503942,17.729646,19.515108,21.787029,1755,0.099191,0.811301,0.25259279886039887,0.10545956532417311,0.1936625,0.223249,0.2799735,1755,0.433989,0.64437,0.48880827692307693,0.029226631712143528,0.46982,0.482227,0.5051905,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.033858,1.975421,0.109251914,0.1264518895630611,0.05430125,0.093091,0.12534825,1000,0.126673,0.27597,0.145965783,0.019284930046435507,0.1314455,0.1364165,0.1585825,1000,0.001894,0.024475,0.00266825425,0.0013708954366059207,0.00208,0.002181,0.003015,4000,0.003986,0.027307,0.0052798735,0.0018517661585626165,0.00432975,0.00453,0.00583625,4000,0.000376,0.020811,0.0007678590000000001,0.0008132560556915638,0.00047,0.000527,0.000979,4000,0.000376,0.020811,0.0007678590000000001,0.0008132560556915638,0.00047,0.000527,0.000979,4000,0.020336,0.077247,0.023612722000000003,0.005412093510899087,0.02093125,0.021229,0.024956,1000,0.027262,0.076761,0.030972183,0.00565320986038118,0.02837875,0.0294275,0.03178,1000,0.424861,2.647432,0.531061842,0.15589618278752382,0.457634,0.491225,0.58528625,1000,0.085905,0.187276,0.100651772,0.016218332174919095,0.088193,0.0920985,0.11126725,1000,0.025248,0.087903,0.02945814,0.005904895618247624,0.02610075,0.0266365,0.0319015,1000,0.037847,0.093421,0.044833663999999995,0.00870007675409269,0.0388785,0.0408245,0.05002025,1000,0.005206,0.032621,0.006558774000000001,0.002277726896474641,0.005453,0.005605,0.00698,1000,0.016091,0.056318,0.019254486,0.004043421423968073,0.016748,0.017366,0.0206685,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.046384,1.701442,0.10818326700000001,0.11969120036838846,0.05414975,0.0942705,0.12491675,1000,0.124449,0.257887,0.143245466,0.017703765611836484,0.1296375,0.1357935,0.1546885,1000,0.001861,0.023322,0.002570835,0.00109976408141701,0.002045,0.002163,0.003,4000,0.003923,0.028996,0.0051735555,0.00162684623456544,0.00422475,0.004478,0.005785,4000,0.00036,0.018126,0.0007516547500000001,0.0008644854244303009,0.000453,0.000506,0.00091875,4000,0.00036,0.018126,0.0007516547500000001,0.0008644854244303009,0.000453,0.000506,0.00091875,4000,0.020198,0.068012,0.023121782,0.0040015124666150925,0.0207325,0.02101,0.02484875,1000,0.027263,0.068496,0.030086619,0.0038681811156975315,0.02800275,0.028449,0.03147225,1000,0.41915,2.335081,0.524330651,0.14890246876323845,0.4504785,0.484098,0.5773895,1000,0.086021,0.193202,0.100812546,0.015875718880097492,0.0883105,0.0931025,0.11198475,1000,0.024922,0.082957,0.029245837,0.005413911594257058,0.0260535,0.0266955,0.03161225,1000,0.03788,0.105875,0.045153971,0.009099966332254147,0.03885775,0.041629,0.0502665,1000,0.005189,0.022162,0.006629329,0.0019063187500412938,0.005485,0.005931,0.0070085,1000,0.016087,0.057623,0.019253696,0.0040509264448498694,0.016745,0.017323,0.02068925,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036621,1.709362,0.07920640799999999,0.11665013576522548,0.0527015,0.067191,0.07936375,1000,0.12497,0.278807,0.136191487,0.01484224777605572,0.128757,0.1310395,0.13474175,1000,0.001884,0.022768,0.00244459275,0.0011587360121690523,0.00201,0.002084,0.002909,4000,0.003949,0.027463,0.00484979525,0.0016892397444789884,0.00416,0.004271,0.005657,4000,0.000379,0.016873,0.0007741455,0.0008591744487179248,0.000472,0.000518,0.000997,4000,0.000379,0.016873,0.0007741455,0.0008591744487179248,0.000472,0.000518,0.000997,4000,0.020459,0.05854,0.021875904999999998,0.0033759299820901208,0.02085175,0.0210475,0.02129125,1000,0.027383,0.073993,0.029402771,0.0049007416033248485,0.02788875,0.028079,0.028403,1000,0.435691,2.451631,0.499869739,0.13843715291101907,0.45747475,0.4832795,0.5037045,1000,0.096773,0.235345,0.120512679,0.017127386011004685,0.108048,0.1181075,0.125381,1000,0.024919,0.066878,0.027336549999999998,0.005149499731964262,0.02565575,0.02595,0.026349,1000,0.04286,0.114122,0.046517562,0.0074891102916271705,0.04375875,0.044139,0.04517875,1000,0.008878,0.069743,0.027869744,0.010159122690590168,0.01931375,0.028936,0.033408,1000,0.016274,0.046965,0.018251082,0.0036555181508612427,0.01676475,0.0169545,0.01757025,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040564,1.53601,0.084410181,0.09848090980850166,0.075228,0.0759625,0.07829575,1000,0.040147,0.1201,0.053862656,0.009503859822601763,0.05125025,0.0519805,0.05286625,1000,0.002914,0.022304,0.004280456,0.0014414643013491522,0.00411275,0.004194,0.004264,1000,0.005709,0.042169,0.007826115,0.0024741509638207203,0.007436,0.007538,0.007635,1000,0.000773,0.014373,0.0010853640000000001,0.0008058661846137979,0.000963,0.000993,0.001024,1000,0.000773,0.014373,0.0010853640000000001,0.0008058661846137979,0.000963,0.000993,0.001024,1000,0.006173,0.037544,0.009540062,0.0025642084065371916,0.009169,0.009357,0.009549,1000,0.011135,0.043767,0.014218175,0.002657443360896898,0.0137675,0.013974,0.014153,1000,0.141187,1.808427,0.24356066,0.10868938694879277,0.2318485,0.2350915,0.25218,1000,0.011788,0.098648,0.03732843,0.010652906323867681,0.037556,0.037972,0.03916075,1000,0.001934,0.013392,0.0029654679999999998,0.0007234333631897273,0.0028605,0.002947,0.00301825,1000,0.006727,0.064247,0.016002558,0.004511027267777928,0.01580475,0.015988,0.0162205,1000,0.001546,0.077496,0.016236404,0.006994666868463715,0.01703325,0.0172635,0.017408,1000,0.000885,0.019205,0.001389743,0.0009377638982979671,0.001244,0.00128,0.00132,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040273,1.465538,0.09932277099999999,0.09776996173854502,0.07558725,0.1038235,0.10556325,1000,0.040682,0.130603,0.054091515,0.009585481281697596,0.05136375,0.052004,0.053158,1000,0.002912,0.025141,0.004216234,0.0013572138288582237,0.00408675,0.004159,0.004231,1000,0.005743,0.026202,0.00770534,0.0019455127068204927,0.007362,0.007495,0.007626,1000,0.000739,0.012839,0.001064184,0.000596662269750652,0.000968,0.000999,0.001032,1000,0.000739,0.012839,0.001064184,0.000596662269750652,0.000968,0.000999,0.001032,1000,0.006161,0.040215,0.009520485,0.002366774627583919,0.00923975,0.009383,0.009553,1000,0.011201,0.042389,0.014371553,0.0032920086848595947,0.013658,0.013847,0.01402375,1000,0.143162,1.702931,0.249875424,0.10884128437100613,0.22116625,0.2538285,0.258253,1000,0.011965,0.101075,0.027793386,0.007695334041547774,0.02472825,0.028703,0.029334,1000,0.001994,0.016874,0.0030567420000000003,0.00121064165525394,0.002881,0.0029505,0.00302325,1000,0.006795,0.080747,0.015026235,0.004720079561593745,0.0142535,0.014991,0.015256,1000,0.001564,0.052479,0.0074863230000000005,0.0034689813257887396,0.005743,0.008918,0.00911025,1000,0.000969,0.019708,0.001462126,0.0013556226429666922,0.001219,0.001283,0.00134,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008734,0.150889,0.010409947,0.008897053191714153,0.00904775,0.0091615,0.009471,1000,1.104212,1.30145,1.132416115,0.026390629776679733,1.1128025,1.1223045,1.147245,1000,0.067072,0.115236,0.06883234299999999,0.005218527475768524,0.067365,0.067496,0.06767625,1000,0.037266,0.082466,0.0387695,0.004389630188523858,0.0377045,0.0378645,0.03805,1000,0.00065,0.009657,0.0009544719999999999,0.0007305841082421655,0.000784,0.000826,0.000867,1000,0.988985,1.143872,1.0158104129999999,0.02318757186396262,0.99862375,1.0073215,1.0306765,1000,0.002711,0.020123,0.003092064,0.0008749817666123106,0.002915,0.0029875,0.0031155,1000,0.008549,0.021558,0.009090174999999999,0.0010475631906357726,0.00881875,0.00893,0.009112,1000,1.138164,1.510085,1.168958875,0.03271548107571361,1.14771975,1.15723,1.1830675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000279,0.011102,0.00035261200000000003,0.00047601616722124055,0.000311,0.000323,0.000337,1000,2.570483,5.224703,2.662246019,0.19657216577830303,2.61845875,2.6415595,2.658907,1000,0.050874,0.104514,0.055146811999999996,0.006380159023618141,0.05187175,0.0527325,0.05810725,1000,0.042363,0.091643,0.046274718,0.005495991141775612,0.04425775,0.044724,0.04736925,1000,0.688274,2.174167,0.724704851,0.10131090207896087,0.699355,0.7147925,0.73266325,1000,1.766544,2.922792,1.8284776059999999,0.11169185640480137,1.79775825,1.810045,1.83061075,1000,0.00116,0.012003,0.001382858,0.0003747857785935854,0.001305,0.001342,0.001394,1000,0.005897,0.023029,0.006574202,0.0014015186617366178,0.00619425,0.006349,0.00652625,1000,2.586334,5.276957,2.6804898500000003,0.19905418518869553,2.6370755,2.659142,2.6771885,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
FEMBAR_EigenSimplicialLLT,0.00029,0.00994,0.000371295,0.0003077047253049585,0.000327,0.000359,0.00038,1000,2.616447,5.087144,2.710942807,0.18960578230654715,2.66055275,2.6872845,2.7145105,1000,0.051191,0.095174,0.054976589,0.005751172529848066,0.0524765,0.052874,0.05635325,1000,0.042743,0.081466,0.0461635,0.005040423401461429,0.044272,0.0446535,0.04691425,1000,0.689558,1.988661,0.7218798129999999,0.09014202049235434,0.7004745,0.713823,0.72830075,1000,1.811543,2.988634,1.8801188149999999,0.1142722753766318,1.8425355,1.862638,1.883237,1000,0.001183,0.012078,0.001446148,0.0005532217024810217,0.00133,0.00139,0.001463,1000,0.005942,0.025261,0.006782633,0.0014269945614160554,0.00632675,0.00658,0.00684125,1000,2.633648,5.136608,2.729724328,0.19181398453357468,2.67891175,2.705974,2.733024,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.72,0.9599999999999999,0.0,0.0,1.2,5
