SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.330603,0.504101,0.35026435294117647,0.016919892193398185,0.339113,0.346869,0.357074,255,11.965219,14.51712,12.485952152941177,0.36678087471515186,12.3446465,12.457144,12.566417,255,0.279361,0.425461,0.29753779999999996,0.02026194019442247,0.2840355,0.292436,0.303157,255,0.136843,0.248283,0.1554926431372549,0.022545090191160272,0.1382485,0.140971,0.172532,255,3.936918,4.901535,4.0581958470588235,0.11882959023178967,3.996878,4.030592,4.082614,255,3.936918,4.901535,4.0581958470588235,0.11882959023178967,3.996878,4.030592,4.082614,255,0.02255,0.037084,0.025525188235294118,0.002419235360454488,0.0235815,0.024179,0.0276955,255,0.055106,0.077944,0.058252,0.0032465736617511808,0.056456,0.057238,0.0592055,255,40.119227,52.35633,47.53464479607843,1.9185418117789594,47.681559,48.0401,48.233709,255,27.191809,37.998804,34.504877015686276,1.8539722124242972,35.0179705,35.100143,35.274675,255,0.020212,0.033583,0.02207885882352941,0.001306162469126823,0.021425,0.021896,0.0223315,255,21.7869,22.992723,21.946005239215687,0.13143819681186492,21.8715385,21.913578,21.976299,255,4.858062,14.811512,12.132016407843137,1.826439491339717,12.7177875,12.791498,12.8792595,255,0.385562,0.551434,0.4023788705882353,0.023468035445714068,0.3901915,0.394888,0.4036035,255,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
SofaScene,12.198224,38.147599,13.505136935612535,0.8142516519908567,13.22429,13.440464,13.5570125,1755,11.836241,37.510527,13.162803888319088,0.8005009694074917,12.8913215,13.105117,13.198614,1755,0.008046,2.211569,0.2548853946818614,0.22905392643080166,0.050823,0.2610495,0.40557875,10530,0.009268,1.065579,0.1070759371320038,0.0883130296417773,0.0235155,0.1144395,0.18519625,10530,0.103368,20.098353,1.9195939081671416,1.9660081586614118,0.17593025,1.248449,2.764564,10530,0.103368,20.098353,1.9195939081671416,1.9660081586614118,0.17593025,1.248449,2.764564,10530,0.093349,0.46131,0.11655189173789174,0.017927037122219658,0.1040215,0.115672,0.120064,1755,0.13828,0.606581,0.15615862735042735,0.019332993905394804,0.147933,0.151954,0.155053,1755,24.027632,63.364539,29.33018547521368,2.8327155260681764,27.458442,29.095625,31.0247195,1755,10.289755,49.060018,15.192996417663819,2.5953212653690176,13.4099665,14.960848,16.863093,1755,0.074731,0.40406,0.08909819886039885,0.01423769918805603,0.081967,0.085849,0.091033,1755,9.452215,47.431471,14.336785787464388,2.50443703659968,12.6327965,14.124894,15.9834905,1755,0.104141,1.250267,0.27780664957264956,0.11137292738266477,0.2108245,0.251598,0.3084055,1755,0.411547,2.096199,0.48721930085470083,0.049814453254486184,0.4638405,0.48403,0.5069405,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.034172,1.676791,0.095644778,0.12090463631247858,0.0439895,0.081356,0.112666,1000,0.283384,0.454316,0.311683685,0.025812257746345532,0.29243525,0.2990255,0.332659,1000,0.001197,0.014601,0.0018521977500000001,0.0007543307693876325,0.001433,0.001607,0.002215,4000,0.002935,0.026396,0.003934294,0.0010440726306459717,0.00331275,0.0035385,0.004501,4000,0.023363,0.082269,0.02613469825,0.0036763179987858692,0.02412275,0.0245505,0.0263505,4000,0.023363,0.082269,0.02613469825,0.0036763179987858692,0.02412275,0.0245505,0.0263505,4000,0.02028,0.069879,0.022870485,0.003468003409423786,0.020806,0.021101,0.02474125,1000,0.027249,0.066015,0.029692025,0.003118886239729657,0.02800675,0.02839,0.0309485,1000,0.583736,2.518477,0.696453399,0.15735953432880323,0.60744475,0.652664,0.7621945,1000,0.091855,0.192798,0.106441102,0.01583565367459127,0.095054,0.0988225,0.11627725,1000,0.02577,0.059345,0.029759573,0.004511883270949172,0.02702775,0.0275995,0.03194475,1000,0.041807,0.109235,0.048753622,0.008779094445506097,0.0428175,0.044877,0.05316125,1000,0.0062,0.019436,0.007647071,0.0019452429894383375,0.006459,0.006611,0.0081965,1000,0.01686,0.047668,0.019670858,0.0031794996445723973,0.01754275,0.01803,0.021313,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034674,1.658644,0.09543475900000001,0.1177211280724107,0.04354725,0.0829235,0.112894,1000,0.282916,0.456915,0.31328149800000005,0.028031819074080727,0.2923835,0.299243,0.33305175,1000,0.00124,0.015896,0.0018784580000000002,0.0007666695916338405,0.001445,0.001615,0.002253,4000,0.002941,0.021055,0.00391892525,0.000993279213344585,0.003288,0.003505,0.004492,4000,0.023401,0.077423,0.02617823375,0.0036090617969371124,0.024082,0.024623,0.026442,4000,0.023401,0.077423,0.02617823375,0.0036090617969371124,0.024082,0.024623,0.026442,4000,0.020241,0.052155,0.022785227999999998,0.0032137410194376273,0.02065475,0.020916,0.02461925,1000,0.027068,0.060191,0.029530380000000002,0.0026393465023751617,0.0278855,0.028199,0.0309695,1000,0.584472,2.509344,0.6976804,0.15650585602124925,0.6051025,0.652358,0.7641395,1000,0.091697,0.223135,0.10635417600000001,0.016288541364622676,0.094694,0.098518,0.1169035,1000,0.025842,0.067819,0.029778148,0.004764224150698202,0.02678175,0.027531,0.032022,1000,0.041822,0.15171,0.048861949,0.009144564764842501,0.042721,0.0446835,0.054286,1000,0.005965,0.025969,0.007589426000000001,0.0017309447774334107,0.006384,0.0069125,0.008154,1000,0.016835,0.040071,0.019525826,0.002927797309877171,0.017435,0.01792,0.02116825,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.030529,1.709476,0.066543304,0.11662758266620973,0.04222575,0.0541595,0.066896,1000,0.284498,0.433351,0.299211921,0.01708744124539303,0.2913225,0.294709,0.29925825,1000,0.001198,0.018944,0.00176275775,0.0007811419954559718,0.00142,0.001522,0.00217,4000,0.002898,0.021035,0.00375238875,0.0009839547678239268,0.00323875,0.003409,0.004372,4000,0.02334,0.068438,0.0250957035,0.0027898491301659575,0.023899,0.0242075,0.02561325,4000,0.02334,0.068438,0.0250957035,0.0027898491301659575,0.023899,0.0242075,0.02561325,4000,0.020099,0.055623,0.021260156,0.002159858323053621,0.02066175,0.020823,0.02101825,1000,0.027346,0.047691,0.028324528999999998,0.0016833176091157012,0.027748,0.027914,0.02808425,1000,0.601225,2.534995,0.663897811,0.14016479932870193,0.62030675,0.647505,0.666017,1000,0.103435,0.218852,0.126623921,0.015554458026198117,0.11566225,0.125407,0.131735,1000,0.02567,0.067183,0.027960168,0.0033226933385095895,0.02683275,0.027253,0.027723,1000,0.046965,0.108185,0.050201158,0.0063055976829350605,0.0480555,0.048504,0.049263,1000,0.009263,0.068824,0.029148831,0.009999167454365337,0.0208165,0.0305965,0.0353805,1000,0.017129,0.037534,0.018722498,0.0021530856713089705,0.017759,0.0179865,0.01833925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037181,1.421837,0.081093722,0.09528827141998493,0.07371075,0.0751565,0.07736425,1000,0.088023,0.178291,0.112238933,0.009627996832389954,0.11181175,0.112614,0.113886,1000,0.002089,0.014084,0.003048022,0.0009176149048026629,0.002924,0.002988,0.003046,1000,0.004458,0.031924,0.005913011,0.0012670718309863098,0.00575,0.00586,0.005968,1000,0.029304,0.074317,0.037402563,0.0037410726082276187,0.037276,0.037556,0.037869,1000,0.029304,0.074317,0.037402563,0.0037410726082276187,0.037276,0.037556,0.037869,1000,0.006293,0.020338,0.009694613999999999,0.001473925889250881,0.009659,0.009787,0.00993525,1000,0.010652,0.023564,0.012946073,0.0012138853371183788,0.012811,0.012929,0.013031,1000,0.190005,1.725714,0.303330021,0.10579711085314458,0.299833,0.3025865,0.30629725,1000,0.012861,0.090723,0.039424720999999996,0.0103318087826459,0.04029825,0.04089,0.04199325,1000,0.002128,0.018013,0.003184575,0.0009534611415128568,0.003025,0.003109,0.00319025,1000,0.007111,0.045355,0.017305850999999997,0.00408383380572704,0.017428,0.01759,0.0178875,1000,0.001864,0.05667,0.016886517,0.00648239277379202,0.0179365,0.018225,0.018507,1000,0.001032,0.010325,0.001526838,0.0006956179941289616,0.001351,0.001418,0.001501,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.030337,1.493313,0.097296436,0.0989070878236535,0.07526025,0.103518,0.1074055,1000,0.087568,0.172692,0.11258705100000001,0.010364436983473778,0.1115135,0.1129715,0.11436675,1000,0.002008,0.017877,0.003070584,0.001098554142927876,0.00290375,0.002975,0.003046,1000,0.00446,0.036789,0.005956182,0.0015334356944052138,0.005724,0.005868,0.00600425,1000,0.029118,0.073084,0.037517939,0.0037827043705897768,0.03727175,0.037595,0.0379675,1000,0.029118,0.073084,0.037517939,0.0037827043705897768,0.03727175,0.037595,0.0379675,1000,0.006316,0.039687,0.009562165000000001,0.0016504512818544508,0.009533,0.0097075,0.0098515,1000,0.010724,0.041112,0.013045391,0.001856622802326579,0.01279375,0.01291,0.013022,1000,0.191583,1.796341,0.310222314,0.11000810664723487,0.288294,0.319554,0.32640875,1000,0.012878,0.069077,0.029545228,0.006896994361605351,0.0273945,0.0311995,0.03211925,1000,0.002061,0.021658,0.003153237,0.0009736156473840179,0.002983,0.003091,0.00318125,1000,0.007053,0.047978,0.016238079,0.003964361791859946,0.01579575,0.016494,0.0168425,1000,0.001899,0.041716,0.008098337,0.003015892425374453,0.00652175,0.0097405,0.010069,1000,0.001056,0.011515,0.0015254860000000002,0.0007484008924393397,0.00133775,0.001414,0.00148025,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.006247,0.136765,0.008033217,0.008897232636832139,0.006707,0.006839,0.00709225,1000,1.127659,1.351849,1.1511620319999998,0.028495009391382487,1.1332835,1.1387105,1.15562325,1000,0.066212,0.11389,0.067511994,0.003710901884712664,0.066416,0.066531,0.066845,1000,0.036814,0.07401,0.038064929,0.0033788709010494906,0.03712,0.0372555,0.0374515,1000,0.022371,0.054301,0.023274925,0.0019774207669019258,0.022723,0.022863,0.02306225,1000,0.977262,1.133069,0.998840339,0.025499166540537736,0.9832325,0.9877915,1.0001395,1000,0.002708,0.013273,0.00307537,0.0008072400071230365,0.00286,0.00291,0.002976,1000,0.011317,0.027942,0.011878722,0.0012489369186296,0.01155275,0.0116355,0.01173125,1000,1.163129,1.548548,1.189822753,0.03346836311718861,1.17111975,1.1763525,1.194939,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000286,0.00104,0.000346279,5.888939767903896e-05,0.000319,0.000333,0.000361,1000,2.584248,4.952933,2.634054088,0.18113094005016994,2.592816,2.6040225,2.62834425,1000,0.051621,0.107201,0.053386468,0.004253263990745931,0.05214,0.052524,0.0529555,1000,0.044101,0.078039,0.045451137,0.003181147803267085,0.04441675,0.044763,0.04505875,1000,0.698439,2.046067,0.716483043,0.09158196091771102,0.703966,0.706081,0.7093855,1000,1.761494,2.771824,1.79424126,0.1023650115943353,1.766176,1.772086,1.78599725,1000,0.00118,0.003602,0.001419664,0.00019046140581230626,0.001317,0.001383,0.001483,1000,0.012798,0.027244,0.013521432,0.0011182579449196862,0.0131445,0.013333,0.01356825,1000,2.609048,5.011396,2.660706221,0.18364181522719755,2.618909,2.6301555,2.65460175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.00029,0.002685,0.000378164,9.92944565622875e-05,0.000329,0.000353,0.000407,1000,2.617829,4.773698,2.677890145,0.17136673553676038,2.62679725,2.6343245,2.6829945,1000,0.051629,0.091071,0.05330678,0.0032071301198423495,0.0520135,0.052387,0.053816,1000,0.043934,0.089574,0.045210404,0.0032676225581887517,0.044389,0.044645,0.044833,1000,0.698528,1.876848,0.718201456,0.0825878721787047,0.7040605,0.7060305,0.70887575,1000,1.794194,2.770323,1.836784935,0.1022704712050002,1.79957825,1.8033005,1.84088275,1000,0.001183,0.004346,0.001386378,0.0001723306389357389,0.001307,0.0013615,0.001424,1000,0.012775,0.036798,0.013594662,0.0013068888383317074,0.0130725,0.013381,0.01377125,1000,2.642019,4.841328,2.7047223569999996,0.1738744451674758,2.653486,2.661521,2.7082355,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
