SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.327707,0.434951,0.36055306666666664,0.018807591010209686,0.3482055,0.354115,0.366215,255,11.792774,18.790503,12.39917311764706,0.5522664336816187,12.2326745,12.333361,12.43292,255,0.283893,0.484085,0.30144191372549023,0.024723314158835545,0.28835,0.290337,0.304978,255,0.136956,0.267023,0.14543754901960784,0.016760390655180556,0.138589,0.139548,0.1427305,255,3.551729,6.473771,3.6894600862745097,0.22184611724712228,3.619179,3.649755,3.7031635,255,3.551729,6.473771,3.6894600862745097,0.22184611724712228,3.619179,3.649755,3.7031635,255,0.025334,0.055693,0.027677470588235293,0.0038257814116751713,0.026113,0.026481,0.027156,255,0.049593,0.102443,0.05397373333333333,0.00644237174139921,0.051928,0.052486,0.0533005,255,40.061794,58.044687,49.34546458039216,3.8528579290552454,47.783492,48.118747,53.6785965,255,27.264735,45.15067,36.403549129411765,3.6973736032305387,35.1262375,35.295312,40.3045895,255,0.020055,0.042443,0.02228364705882353,0.0027959217163683213,0.021208,0.021754,0.0222425,255,21.792652,31.35351,23.738017949019607,2.7814134507521833,21.8861495,21.932998,27.417472,255,4.893701,15.183886,12.220076282352942,1.8479141720337828,12.7502525,12.871371,12.999979,255,0.391566,0.538487,0.4212394862745098,0.024175874479120785,0.407021,0.411137,0.4279925,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.656791,18.150165,9.259319874643875,0.8810709412354402,8.8632385,9.090193,9.265836,1755,8.369745,17.864245,8.959325883760684,0.8733302410115406,8.568802,8.798326,8.9549725,1755,0.00491,0.74641,0.17613684767331433,0.17214328908554336,0.02885475,0.145682,0.28255575,10530,0.006344,0.394083,0.08485788224121557,0.08196332316964451,0.015565,0.0620385,0.141692,10530,0.037439,7.272158,1.1985625703703704,1.2521137383826217,0.0952045,0.9090095,1.7443015,10530,0.037439,7.272158,1.1985625703703704,1.2521137383826217,0.0952045,0.9090095,1.7443015,10530,0.094002,0.25633,0.11384434643874643,0.01771253783289367,0.101637,0.111049,0.118498,1755,0.127334,0.279303,0.14324039943019945,0.015675686759711795,0.1331065,0.139094,0.1442265,1755,23.794932,45.497416,30.97125194131054,3.7693162768584294,28.2963665,30.484783,33.064929,1755,14.405213,31.104061,21.107658576638176,3.6175035313208985,18.591866,20.651165,23.1342455,1755,0.074066,0.172113,0.08787264045584046,0.01236861079703399,0.0810515,0.084169,0.089438,1755,13.581108,30.140697,20.233020475783476,3.523259353672139,17.7751655,19.80154,22.2073225,1755,0.105203,0.75587,0.2765575088319088,0.10997158631515494,0.209378,0.247403,0.308759,1755,0.432156,0.953956,0.5080168028490029,0.05050004134797205,0.479756,0.499697,0.5230785,1755,0.0,3.6,0.72,1.44,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.033701,2.196939,0.106790759,0.12575280829429977,0.05283075,0.090926,0.1232975,1000,0.192045,0.336868,0.217803071,0.023733489144244235,0.1996075,0.206824,0.233171,1000,0.001938,0.025509,0.00266687375,0.0010595071959693984,0.002124,0.0022425,0.003046,4000,0.004251,0.024737,0.0053966105,0.0015825651308207667,0.004522,0.004751,0.005936,4000,0.014254,0.058217,0.017514546500000002,0.0032570283920067005,0.01544375,0.016294,0.018623,4000,0.014254,0.058217,0.017514546500000002,0.0032570283920067005,0.01544375,0.016294,0.018623,4000,0.020406,0.051507,0.023194326,0.003778864282522462,0.020924,0.021187,0.02498125,1000,0.025488,0.07107,0.028599693,0.004528592420692217,0.02622175,0.026703,0.0297175,1000,0.498016,3.047252,0.611081005,0.16109018308221945,0.5277045,0.5684305,0.67472425,1000,0.090524,0.244997,0.105848404,0.016761098527029304,0.09360775,0.0977505,0.116894,1000,0.024964,0.074974,0.029237312,0.005235486998613977,0.0260545,0.026818,0.03177175,1000,0.041203,0.129391,0.048625629999999996,0.008918800280592675,0.042399,0.045131,0.0543175,1000,0.006093,0.026801,0.007669675,0.00222660298512667,0.006388,0.006629,0.0080965,1000,0.016691,0.051945,0.019753754000000002,0.0039341672765000725,0.01730325,0.0180315,0.02124625,1000,0.0,10.7,2.38,4.185881030320857,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.036263,1.6888,0.105944967,0.11741276670331005,0.05243725,0.093,0.12348125,1000,0.192094,0.363419,0.21535188,0.022350098554315148,0.19803075,0.2046705,0.231837,1000,0.001949,0.018565,0.00265867675,0.0009879314689083638,0.002127,0.0022445,0.003028,4000,0.004151,0.027184,0.0052863645,0.0014215285646583926,0.004459,0.0046475,0.005882,4000,0.014556,0.080747,0.01750316125,0.0031909026141122574,0.0153155,0.016332,0.01869125,4000,0.014556,0.080747,0.01750316125,0.0031909026141122574,0.0153155,0.016332,0.01869125,4000,0.020324,0.050343,0.023165869999999998,0.003877888655840959,0.0208215,0.02108,0.02489825,1000,0.025398,0.066598,0.028388566,0.004004157486119146,0.02620375,0.026763,0.029642,1000,0.4961,2.392609,0.605957026,0.15246726654486634,0.52008375,0.5633085,0.669273,1000,0.089318,0.215886,0.1055292,0.016556177782809656,0.0932435,0.09746,0.1162035,1000,0.025095,0.080076,0.029388179,0.005564671650956506,0.025976,0.02682,0.0319065,1000,0.040922,0.131558,0.048449867,0.009244311352681226,0.042096,0.0443145,0.05407375,1000,0.006051,0.024159,0.007573225,0.001898533411972252,0.00630775,0.00688,0.008124,1000,0.016441,0.051446,0.019561706999999998,0.003492880265218234,0.01725275,0.01795,0.02112425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.041888,1.744073,0.076788614,0.1135490339740634,0.051517,0.0652185,0.07687,1000,0.190778,0.316601,0.204027197,0.015015939666174441,0.19639075,0.199407,0.20406775,1000,0.001921,0.022189,0.002476211,0.0011051305642226172,0.002057,0.002131,0.002933,4000,0.004122,0.024075,0.00501718825,0.0014224440819631322,0.004377,0.0045405,0.00573825,4000,0.014335,0.050328,0.016783919,0.002692376891138943,0.01518075,0.015905,0.0184205,4000,0.014335,0.050328,0.016783919,0.002692376891138943,0.01518075,0.015905,0.0184205,4000,0.020354,0.055998,0.021563789,0.002327078775735579,0.02083775,0.0209945,0.021175,1000,0.025548,0.064784,0.026790719,0.0026623811511575497,0.026017,0.0262015,0.0264475,1000,0.511731,2.462224,0.573973686,0.1361606795400618,0.53091625,0.5581225,0.57736425,1000,0.101862,0.272761,0.124850537,0.016310708260484304,0.11373875,0.123112,0.130009,1000,0.025142,0.081864,0.027107055,0.0037771921878526384,0.025889,0.0261955,0.02658425,1000,0.046381,0.140194,0.049868352,0.007119982037203184,0.0472845,0.0478295,0.048821,1000,0.009366,0.063826,0.028530369,0.009677305998408802,0.02037,0.029832,0.0344085,1000,0.016822,0.061513,0.018827238,0.003480479233863636,0.01743225,0.0176735,0.01828725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.04046,1.441354,0.082075959,0.09479437445453881,0.0718985,0.075023,0.0761565,1000,0.059196,0.206537,0.080695618,0.01347706387163302,0.076943,0.077752,0.08171625,1000,0.002904,0.016697,0.004295041,0.0012580884664120404,0.00412275,0.0041885,0.00425425,1000,0.005887,0.025395,0.007937728,0.0016959059455099507,0.007616,0.007746,0.007909,1000,0.018318,0.059516,0.025429663,0.004416258935278931,0.02471,0.0249655,0.02551025,1000,0.018318,0.059516,0.025429663,0.004416258935278931,0.02471,0.0249655,0.02551025,1000,0.006145,0.027935,0.009639906,0.0019216483531499721,0.009365,0.009617,0.00985525,1000,0.009809,0.036772,0.012394503000000001,0.002082658746408302,0.01203875,0.01216,0.012305,1000,0.163924,1.712647,0.27392360600000004,0.1078997692578569,0.261718,0.2649695,0.27683425,1000,0.012768,0.118524,0.039883914,0.011499769223275919,0.039698,0.040318,0.04274775,1000,0.002051,0.020744,0.003147651,0.0014150813980824566,0.00292775,0.0030275,0.00310525,1000,0.007276,0.068343,0.017473081999999997,0.005226406922281884,0.01732575,0.017568,0.01786,1000,0.001941,0.056006,0.016613304,0.0064198582642908866,0.017536,0.017742,0.01793,1000,0.00103,0.006464,0.001366787,0.00037051698696685957,0.00128275,0.0013205,0.001362,1000,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.04046,1.498663,0.094521344,0.09702685177795714,0.07393275,0.0987525,0.10338075,1000,0.059842,0.144561,0.078464699,0.00983798285088966,0.07640575,0.0770265,0.0806145,1000,0.002865,0.021411,0.00417834,0.0012908301152359284,0.004039,0.00411,0.004175,1000,0.005806,0.021297,0.007686495,0.0013115122767153194,0.00754475,0.007661,0.00778,1000,0.018348,0.062109,0.024941831999999997,0.0038938589309033787,0.0245345,0.024775,0.02517225,1000,0.018348,0.062109,0.024941831999999997,0.0038938589309033787,0.0245345,0.024775,0.02517225,1000,0.00621,0.039494,0.009519370000000001,0.002300565668504162,0.00923575,0.009387,0.00966725,1000,0.009726,0.034126,0.011968537,0.0014289692630112798,0.01185875,0.011979,0.012091,1000,0.163343,1.759513,0.271304832,0.10727438121501227,0.24842675,0.2787465,0.28363225,1000,0.012677,0.094169,0.028955983,0.007002164834300246,0.026579,0.030435,0.03111675,1000,0.002025,0.01825,0.002953275,0.0007748416337387919,0.00288,0.0029435,0.00302,1000,0.00722,0.064422,0.015773777,0.004083657382453993,0.015521,0.01624,0.0165385,1000,0.001906,0.028321,0.007650961,0.0028320851631755354,0.00621275,0.0089565,0.0095085,1000,0.000984,0.016445,0.0013125370000000001,0.0005532510647355322,0.00121075,0.001274,0.001332,1000,0.0,8.4,3.12,3.444648022657758,0.0,1.2,6.0,5
FixedProjectiveConstraint,0.008715,0.126669,0.010545497,0.008319848076256622,0.00905675,0.0092095,0.00970925,1000,1.120794,1.639784,1.165291243,0.04198334815388061,1.13989175,1.155357,1.1762895,1000,0.067182,0.129405,0.06997538099999999,0.007462223024932919,0.06748675,0.0676505,0.068053,1000,0.037663,0.082133,0.039589816,0.00469360437192399,0.0382975,0.038514,0.03875925,1000,0.014833,0.063046,0.016165013000000002,0.0030907841333278198,0.01520175,0.015414,0.01573075,1000,0.991684,1.503547,1.031084072,0.036171192189763605,1.00822275,1.0236905,1.04043425,1000,0.002847,0.018759,0.0032622,0.0011797986751984424,0.002977,0.003036,0.003135,1000,0.010897,0.037993,0.01177074,0.0021195150960538122,0.01114275,0.01125,0.011471,1000,1.159294,1.685768,1.207367378,0.046989157124288965,1.1799155,1.196284,1.219322,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.72,0.96,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000287,0.010538,0.00039246100000000004,0.00045937633426091945,0.000333,0.000352,0.00038,1000,2.567892,5.078288,2.672618087,0.2151170405499607,2.5972765,2.6296805,2.67151275,1000,0.051885,0.122217,0.055380993999999996,0.007476180673309333,0.05235375,0.052781,0.0540915,1000,0.042613,0.088879,0.046071329,0.005496391304552379,0.04430875,0.0446705,0.04512575,1000,0.689162,2.118764,0.725986645,0.10002169951029115,0.69994025,0.7092195,0.7287385,1000,1.767908,3.304604,1.8368131650000001,0.1315639685232996,1.7797075,1.812878,1.83752525,1000,0.001276,0.006077,0.0014995850000000001,0.00033728872316607323,0.001373,0.0014265,0.001504,1000,0.011729,0.03818,0.012910475000000001,0.0025498758948966516,0.012109,0.0122775,0.012491,1000,2.591862,5.147055,2.699488537,0.2185873643168164,2.62294175,2.655346,2.6979795,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,9.8,3.4,3.8905012530521055,0.0,1.2,6.0,5
FEMBAR_EigenSimplicialLLT,0.000299,0.000965,0.000380734,6.71366907435867e-05,0.000347,0.000368,0.000392,1000,2.611826,5.428847,2.686479999,0.18699456899867709,2.6285265,2.655201,2.68601075,1000,0.051856,0.099077,0.054435080000000004,0.005923126863709741,0.052348,0.052694,0.053365,1000,0.044017,0.083606,0.045651905,0.003527951190985357,0.044605,0.044763,0.0449795,1000,0.688502,2.305178,0.7130144429999999,0.09230272277414546,0.6942855,0.697352,0.71671425,1000,1.811544,2.95334,1.8653032379999999,0.10935451366962112,1.8244335,1.8408745,1.86878475,1000,0.001227,0.013178,0.001492836,0.0006678582747140294,0.001356,0.001397,0.001472,1000,0.01179,0.031515,0.012631568999999999,0.0017704195014851707,0.012111,0.012238,0.012443,1000,2.635997,5.501859,2.712764936,0.1901756440853347,2.65326725,2.6803195,2.7128855,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
