SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341422,0.473508,0.3603271843137255,0.01709264842594872,0.3504785,0.355461,0.3625765,255,11.870371,13.696883,12.366147666666667,0.2734137468090574,12.1797455,12.397775,12.486194,255,0.288149,0.372126,0.2998255764705882,0.013883962851004529,0.2913,0.29379,0.301341,255,0.136862,0.220716,0.14207020392156863,0.009724011783531484,0.13814,0.138617,0.1420265,255,3.598719,3.98454,3.7343126705882352,0.07186916115286845,3.68532,3.721444,3.7754565,255,3.598719,3.98454,3.7343126705882352,0.07186916115286845,3.68532,3.721444,3.7754565,255,0.025789,0.054417,0.028178760784313726,0.0033299052935998777,0.026949,0.027315,0.027728,255,0.051594,0.08193,0.05411376862745099,0.003733499872694242,0.0528665,0.053203,0.053677,255,40.2141,55.394196,47.83697879607843,2.277371681686495,47.891028,48.224724,48.3887895,255,27.260072,42.355612,34.92894000784314,2.2168704982552545,35.239363,35.353683,35.445169,255,0.020651,0.053902,0.02206732549019608,0.0026879851583859597,0.021341,0.02168,0.0219855,255,21.750925,28.6696,22.173509756862746,1.1053540336684555,21.868905,21.902736,21.9397895,255,4.929542,15.75829,12.308695494117648,1.8285148259456692,12.9158225,12.996074,13.065188,255,0.396522,0.624122,0.4223773254901961,0.02479736269341879,0.4094205,0.414575,0.426474,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.620331,18.093731,9.143026919088319,0.9210122550593253,8.797365,8.886472,9.1173545,1755,8.375109,17.842003,8.84947727920228,0.9101676444708067,8.5108075,8.587933,8.820217,1755,0.004898,0.766192,0.17179242041785375,0.16767452653590093,0.02844825,0.1658425,0.2767255,10530,0.006133,0.38808,0.076219328679962,0.07347558620959116,0.014012,0.0614445,0.107634,10530,0.036798,7.33531,1.1772092901234568,1.2348443056058829,0.086988,0.887758,1.69563675,10530,0.036798,7.33531,1.1772092901234568,1.2348443056058829,0.086988,0.887758,1.69563675,10530,0.095975,0.25658,0.11004005242165242,0.017079289953534662,0.1006915,0.103663,0.1144805,1755,0.129095,0.403896,0.14286427635327636,0.016676741053645718,0.1340525,0.135989,0.143107,1755,23.729594,62.856351,30.92138064729345,4.1173422678805585,28.1515255,30.315996,33.14141,1755,14.475293,50.706023,21.192663326495726,3.875953492620205,18.4845605,20.653692,23.1878395,1755,0.074676,0.353505,0.08673306495726496,0.015276604166228207,0.0801545,0.082861,0.0859145,1755,13.632833,49.375521,20.32729588660969,3.7776067698376394,17.696399,19.783194,22.2277835,1755,0.105373,0.776606,0.2667239641025641,0.10996677772641565,0.202326,0.240075,0.293266,1755,0.435325,1.097607,0.5094893777777778,0.05146880274328406,0.4806065,0.500807,0.525081,1755,0.0,3.7,0.74,1.4799999999999998,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.019231,1.72792,0.109076298,0.11891921937224108,0.053803,0.095343,0.12458075,1000,0.193013,1.177221,0.227952467,0.08166320219155573,0.198697,0.20739,0.23413075,1000,0.002008,0.023239,0.0028572627499999998,0.0013544632153412058,0.002195,0.002342,0.003149,4000,0.004149,0.051023,0.00562519175,0.0027055276781030977,0.004432,0.004733,0.005949,4000,0.014418,0.125155,0.018388166249999997,0.007181586150329949,0.015289,0.0164975,0.01884575,4000,0.014418,0.125155,0.018388166249999997,0.007181586150329949,0.015289,0.0164975,0.01884575,4000,0.02054,0.116165,0.024428797,0.008748679489373867,0.02100175,0.0213315,0.026598,1000,0.025215,0.179253,0.029733653999999998,0.011321698177759553,0.0260335,0.02696,0.02982875,1000,0.49903,2.998074,0.6392988390000001,0.24281128054743478,0.53079075,0.5741125,0.68582825,1000,0.090214,0.585641,0.11165591400000001,0.0388228503618501,0.094039,0.09893,0.119136,1000,0.025111,0.179288,0.031005132,0.011387688214320586,0.026181,0.0272215,0.0326315,1000,0.041003,0.290823,0.051157529,0.018458822592927183,0.04234275,0.045556,0.0555125,1000,0.006191,0.049883,0.008064028,0.003390707362957765,0.00646075,0.0069955,0.00842225,1000,0.016578,0.101056,0.020817017,0.007855073071379476,0.01730875,0.0185935,0.02148425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.035333,1.717858,0.107810422,0.12105429169385082,0.0531795,0.0931085,0.12540425,1000,0.191917,0.367371,0.216995422,0.02474655747848407,0.19790425,0.2053735,0.233284,1000,0.002025,0.019089,0.0027502867500000003,0.0011022771049171063,0.002185,0.002319,0.003099,4000,0.004144,0.030739,0.0053381635,0.0017977485134934058,0.004431,0.0046705,0.00584325,4000,0.01427,0.092363,0.01753490725,0.0036829343887242196,0.01510375,0.0162245,0.0187075,4000,0.01427,0.092363,0.01753490725,0.0036829343887242196,0.01510375,0.0162245,0.0187075,4000,0.020425,0.048902,0.023439311,0.00389618894488948,0.020941,0.021229,0.02542675,1000,0.025379,0.070769,0.028729722000000003,0.004793137948433781,0.02617525,0.02686,0.02970825,1000,0.496364,2.528672,0.614544509,0.15658594117406555,0.53144525,0.572936,0.675993,1000,0.089908,0.214758,0.107070386,0.017518146816344587,0.0935955,0.0979935,0.11869075,1000,0.024909,0.073809,0.029647085,0.005848327609990312,0.026192,0.02698,0.03214125,1000,0.040893,0.155992,0.049227281000000005,0.010204161640136784,0.04221625,0.045096,0.05475475,1000,0.006042,0.034401,0.007706058,0.00220502031025476,0.006362,0.0069305,0.0083025,1000,0.0167,0.058096,0.01990362,0.00397820583776154,0.01735075,0.018115,0.021273,1000,0.0,3.6,0.72,1.44,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.035831,1.742465,0.07860811599999999,0.11711259701539602,0.05199925,0.0659315,0.07831475,1000,0.192876,0.400584,0.209541885,0.02196976927270232,0.1980585,0.201649,0.20937225,1000,0.001991,0.020092,0.0026262487500000003,0.0013339700382217876,0.002149,0.002237,0.00296525,4000,0.004119,0.023394,0.0050849037500000005,0.0015765080021953384,0.004418,0.004544,0.00573,4000,0.01435,0.055488,0.01702963,0.0034794561904987393,0.01505775,0.0158075,0.018454,4000,0.01435,0.055488,0.01702963,0.0034794561904987393,0.01505775,0.0158075,0.018454,4000,0.02041,0.057148,0.022131595,0.003836094882165325,0.02093075,0.0211115,0.021394,1000,0.025523,0.070918,0.027316659,0.004146008899015895,0.026014,0.0262535,0.02665525,1000,0.515026,2.464271,0.5894351219999999,0.14387447795010455,0.54033475,0.5663125,0.5954915,1000,0.101833,0.22762,0.128227808,0.019360184309121026,0.114779,0.1252985,0.133545,1000,0.025242,0.069959,0.027701138,0.004915119215538521,0.0260025,0.026356,0.0268195,1000,0.046432,0.107647,0.051022321,0.008991345106376407,0.04741,0.047977,0.04942325,1000,0.00917,0.081279,0.029661308,0.01054094689926555,0.0207955,0.0307525,0.03568125,1000,0.016857,0.057235,0.019306329,0.004182495460937047,0.01757,0.017899,0.01879675,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.039656,1.446566,0.08071418799999999,0.09629148411861069,0.07155775,0.074712,0.0752855,1000,0.05925,0.243669,0.078737428,0.011098625483582009,0.0766645,0.077291,0.0807665,1000,0.002868,0.020784,0.00418633,0.001303878355177353,0.004085,0.0041475,0.004209,1000,0.005788,0.042144,0.007727159,0.0020061841913740124,0.00754775,0.0076335,0.00772625,1000,0.018463,0.062515,0.025135136,0.003920862392064277,0.02486275,0.025052,0.025469,1000,0.018463,0.062515,0.025135136,0.003920862392064277,0.02486275,0.025052,0.025469,1000,0.006168,0.029498,0.009531263000000002,0.0018624503692262514,0.00939475,0.00957,0.0097935,1000,0.009887,0.048799,0.012259809,0.002202572177368769,0.01203875,0.0121505,0.01225925,1000,0.163272,1.709403,0.268934181,0.10694998217553026,0.26092725,0.263859,0.26882525,1000,0.012732,0.084354,0.039428754999999996,0.010849373813680447,0.0399305,0.040418,0.04135775,1000,0.001964,0.020431,0.003039485,0.0013222443926048618,0.00289,0.002958,0.00303225,1000,0.007179,0.046265,0.017043879,0.004361059224816719,0.017298,0.017456,0.01761825,1000,0.001921,0.056668,0.016714628000000002,0.00664323702298932,0.01777025,0.018045,0.018198,1000,0.001004,0.016965,0.001414648,0.0008198212244727506,0.00132,0.00136,0.00139625,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040408,1.573908,0.098209574,0.09892790544059105,0.07519425,0.1003735,0.10456025,1000,0.059906,0.187861,0.080824565,0.011948982094294687,0.077225,0.0780045,0.08172025,1000,0.002908,0.025274,0.004361037,0.001790345945238238,0.004119,0.004179,0.004239,1000,0.005739,0.025605,0.007954059,0.002155060574443094,0.00760275,0.007719,0.0078465,1000,0.018706,0.088396,0.025945803,0.005236533645856865,0.024986,0.025236,0.025662,1000,0.018706,0.088396,0.025945803,0.005236533645856865,0.024986,0.025236,0.025662,1000,0.006231,0.035963,0.009915904,0.002687809852795395,0.009551,0.00972,0.00995925,1000,0.009976,0.041208,0.012542348,0.0026307639857835975,0.012045,0.012163,0.012318,1000,0.164168,1.880863,0.28148691600000003,0.11161768899689217,0.25271475,0.283948,0.295686,1000,0.012924,0.074787,0.030482956999999998,0.008225377385454785,0.02727025,0.031469,0.03242375,1000,0.002052,0.018294,0.0031132979999999996,0.0011566889258551758,0.00295475,0.0030485,0.003136,1000,0.007259,0.050503,0.016486888999999998,0.004790717769674916,0.01586875,0.016634,0.01694325,1000,0.001933,0.027049,0.008172604,0.003465139137637045,0.006409,0.0092135,0.01007125,1000,0.00105,0.015711,0.001431941,0.0009137852578800995,0.00127275,0.0013425,0.00140025,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008774,0.134639,0.010352087999999999,0.00839148568837819,0.009077,0.0092165,0.00949725,1000,1.115266,1.299645,1.1448939169999999,0.030685341704503,1.1222465,1.1379645,1.15308975,1000,0.067256,0.126841,0.071133226,0.0070662652135993305,0.067591,0.067707,0.07454925,1000,0.03726,0.06894,0.038648987,0.003586831586070219,0.037642,0.0377675,0.0379515,1000,0.014802,0.06115,0.015757708000000002,0.002688041512837181,0.015143,0.015273,0.015461,1000,0.985902,1.157348,1.011072904,0.026244515762550925,0.99138025,1.008118,1.01903425,1000,0.00282,0.017038,0.00323446,0.0009467089058417059,0.00298475,0.00306,0.003179,1000,0.010909,0.036598,0.011549565000000001,0.001477317795795813,0.011233,0.0113415,0.011456,1000,1.152985,1.488328,1.1860319590000001,0.03544175733370623,1.16260225,1.1774315,1.1940805,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000286,0.001286,0.000390721,0.00010871939642492502,0.000341,0.000357,0.000377,1000,2.569391,5.117649,2.673620365,0.1948765304644707,2.60345125,2.6348195,2.68732175,1000,0.051916,0.126526,0.056452836000000006,0.009393059054488267,0.052431,0.052838,0.05414725,1000,0.044036,0.118691,0.046776699,0.006038921717359731,0.0446325,0.044976,0.0455355,1000,0.69041,2.128456,0.7228817120000001,0.09922902547092284,0.69669175,0.7050195,0.729736,1000,1.771152,2.849791,1.838698942,0.10894867121460745,1.787467,1.816084,1.8523665,1000,0.001256,0.015135,0.0016604690000000001,0.0010663147035650405,0.00137875,0.001421,0.0015,1000,0.011648,0.035269,0.013333952,0.0028404729771106785,0.012178,0.012373,0.01267925,1000,2.592814,5.176216,2.7018555099999997,0.19858697350286073,2.62947725,2.660899,2.71409775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000292,0.000829,0.00037732,5.44448124250603e-05,0.000347,0.000368,0.000392,1000,2.611266,4.888929,2.68023068,0.17865132960971097,2.626818,2.6543335,2.683227,1000,0.051762,0.098546,0.053881108999999996,0.004046319434142465,0.052202,0.052465,0.0533735,1000,0.043855,0.087192,0.046075160000000004,0.004265655653519164,0.04458775,0.044809,0.04540125,1000,0.689293,1.920699,0.712047697,0.0866582819808539,0.69527475,0.6991395,0.71482625,1000,1.812365,2.838921,1.860533046,0.10671605131972361,1.82151525,1.840439,1.86309275,1000,0.001224,0.012635,0.001411894,0.0004127070035315611,0.001323,0.0013735,0.001438,1000,0.011722,0.04061,0.012475832000000001,0.0020094841879885494,0.0120195,0.012164,0.01239375,1000,2.634857,4.943834,2.706085356,0.18089733834581775,2.652376,2.6794045,2.7090755,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
