SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.334236,0.414951,0.3534855411764706,0.01351961422690688,0.3450875,0.349401,0.354637,255,11.515796,13.13682,12.045673619607843,0.2637067497079173,11.847788,12.076775,12.219906,255,0.282093,0.396772,0.2958834784313725,0.01660021385258321,0.2858105,0.289233,0.297909,255,0.136705,0.189418,0.14158752156862744,0.007788375399985765,0.138306,0.13917,0.140209,255,3.557709,3.825598,3.653695290196078,0.05502632791090936,3.6150035,3.648888,3.69217,255,3.557709,3.825598,3.653695290196078,0.05502632791090936,3.6150035,3.648888,3.69217,255,0.021963,0.049933,0.023826176470588233,0.002108425435228136,0.023212,0.0236,0.023936,255,0.053167,0.090194,0.05584041176470588,0.004045295539151284,0.0545685,0.055028,0.055652,255,39.940001,49.509562,47.029145772549015,1.7310060056278105,47.3072315,47.635169,47.910119,255,27.209591,36.756093,34.45841404313725,1.7850622135964376,34.9772945,35.146989,35.260342,255,0.020552,0.052212,0.022330741176470586,0.0034994749224719957,0.02127,0.021608,0.0222715,255,21.732743,27.731323,21.900855090196078,0.3729771126707266,21.841334,21.868809,21.8977455,255,4.904454,13.219122,12.11110411372549,1.7921271094322608,12.702162,12.839303,12.921017,255,0.400223,0.528985,0.42144430588235293,0.019663428113158143,0.4090725,0.414791,0.42781,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,9.133111,26.742359,9.445407753846153,0.5160637130867607,9.257209,9.351851,9.5586835,1755,8.823171,26.246923,9.137234579487181,0.5088205732849699,8.952821,9.038511,9.2474495,1755,0.004724,0.573713,0.17407283627730294,0.16923686437261815,0.0300525,0.120313,0.27752775,10530,0.00606,0.329249,0.07655213048433049,0.07388264161924805,0.0135665,0.0595495,0.10587825,10530,0.03492,5.521604,1.156304996391263,1.191692834590805,0.08535525,0.88855,1.73453325,10530,0.03492,5.521604,1.156304996391263,1.191692834590805,0.08535525,0.88855,1.73453325,10530,0.09665,0.187578,0.10929220683760683,0.011684276693370741,0.102159,0.104288,0.116003,1755,0.12274,0.20189,0.13436883931623933,0.011608704717816833,0.1273425,0.129783,0.137719,1755,24.085707,60.202536,30.832145483760684,3.8172119983849906,28.3376695,30.285877,32.528756,1755,14.374649,49.895734,20.90446794131054,3.739172948998651,18.496033,20.352872,22.6038585,1755,0.070579,0.350496,0.08111260056980057,0.011058881788291576,0.076578,0.078846,0.081488,1755,13.577682,48.60346,20.076057143019945,3.649584855510031,17.7362995,19.53527,21.7831585,1755,0.099738,0.637421,0.2538615584045584,0.1037855426412975,0.19642,0.227314,0.2830085,1755,0.432123,0.838177,0.49122434017094013,0.030136768581662546,0.471853,0.48554,0.5073465,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.039056,1.72948,0.10752847900000001,0.12170251674080353,0.0544805,0.092035,0.12376525,1000,0.126676,0.263146,0.14729918900000002,0.01863916751867634,0.1318305,0.145422,0.158919,1000,0.001908,0.022078,0.0027056685000000002,0.0012873072059954261,0.00207,0.002309,0.00305625,4000,0.004001,0.03004,0.00527372225,0.001552747081177401,0.00432575,0.004878,0.005829,4000,0.0004,0.013589,0.0007784900000000001,0.0007420340261066202,0.000495,0.00054,0.001,4000,0.0004,0.013589,0.0007784900000000001,0.0007420340261066202,0.000495,0.00054,0.001,4000,0.020425,0.04645,0.023557474999999998,0.00374374347189748,0.02094,0.022139,0.025517,1000,0.027401,0.064291,0.030355919999999998,0.004347472796418628,0.028138,0.028751,0.0316265,1000,0.421715,2.351909,0.529153859,0.14952196826266403,0.45624075,0.4914075,0.58035825,1000,0.085669,0.173881,0.100499071,0.015356878827872511,0.088435,0.09324,0.11049,1000,0.02522,0.061406,0.029294793000000003,0.005041230343691012,0.025953,0.0273615,0.03169725,1000,0.038057,0.100628,0.044890554,0.00821574365733766,0.03902625,0.0412125,0.04984475,1000,0.005222,0.026718,0.006465839,0.0018897829618977414,0.005469,0.005611,0.00697325,1000,0.016048,0.053729,0.019313656,0.0035974139853044438,0.016742,0.0177585,0.020776,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.04016,1.717019,0.108901272,0.12081369854432907,0.05379925,0.095165,0.12638125,1000,0.124816,0.283156,0.145067645,0.017960142857421126,0.13191625,0.1388475,0.1556425,1000,0.001892,0.022187,0.00261505825,0.0010664784436907,0.00207675,0.002215,0.00306,4000,0.003932,0.026762,0.0052346170000000004,0.0017269338214914317,0.004254,0.004564,0.00585225,4000,0.000357,0.01854,0.0007606877500000001,0.0008587239566647349,0.00046075,0.000524,0.0008915,4000,0.000357,0.01854,0.0007606877500000001,0.0008587239566647349,0.00046075,0.000524,0.0008915,4000,0.020159,0.060377,0.023093851999999998,0.0036488465067875905,0.02089275,0.0212165,0.02484425,1000,0.027262,0.067296,0.030282903,0.004089158333397106,0.02812775,0.028596,0.03166025,1000,0.420779,2.333397,0.527843125,0.15007282353428075,0.45464375,0.48647,0.58163475,1000,0.086492,0.204519,0.101182914,0.01601446307949798,0.0890665,0.093168,0.11188625,1000,0.025303,0.059267,0.029455093,0.004805276773959123,0.026336,0.027135,0.03219375,1000,0.037785,0.155015,0.045189877,0.00942437011326863,0.03908,0.041542,0.05022575,1000,0.00522,0.037343,0.006656807,0.002135423331274387,0.005565,0.005967,0.007041,1000,0.01627,0.055983,0.019348164,0.0038594502407861145,0.016895,0.0174935,0.0208985,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.039529,1.730612,0.079615643,0.11753916814453619,0.052508,0.066815,0.080152,1000,0.127629,0.273365,0.13773216500000002,0.013758832816259342,0.13116575,0.1335255,0.13736125,1000,0.001903,0.029079,0.002477501,0.0010539599010394086,0.00206,0.0021585,0.00294825,4000,0.004045,0.032815,0.0049142642500000005,0.0015432700806799623,0.004287,0.004405,0.005688,4000,0.000401,0.018597,0.0007815220000000001,0.0007917453564852781,0.000495,0.000542,0.001004,4000,0.000401,0.018597,0.0007815220000000001,0.0007917453564852781,0.000495,0.000542,0.001004,4000,0.020365,0.05631,0.021834741999999997,0.0036125184142694693,0.02082375,0.020999,0.02121225,1000,0.02745,0.074678,0.029101657,0.003962110093794846,0.0280145,0.028294,0.0285895,1000,0.436609,2.390779,0.501122294,0.13997565603058826,0.4592385,0.483583,0.505136,1000,0.096318,0.225921,0.120404804,0.016973682376184136,0.10823225,0.1184625,0.12494375,1000,0.02455,0.063903,0.027171426,0.004195529392642125,0.02573,0.0261045,0.026508,1000,0.042819,0.114937,0.046519691,0.0074703566214417766,0.04374075,0.044247,0.0451835,1000,0.008864,0.084788,0.027746332,0.010032486669603703,0.0193125,0.0287165,0.03333375,1000,0.01621,0.047748,0.018434749,0.0034791105075865298,0.016828,0.0173475,0.01809525,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040263,1.526,0.084058578,0.10054465457034459,0.0751925,0.075692,0.07693525,1000,0.040497,0.131941,0.053811741,0.00950858341857077,0.0514545,0.051835,0.052706,1000,0.00289,0.024426,0.004230078000000001,0.0016275141246440842,0.00403275,0.004113,0.004176,1000,0.005761,0.028858,0.007802327,0.0021583469304240683,0.00750375,0.0076015,0.00769325,1000,0.000789,0.011235,0.001082483,0.0006232277430530511,0.000974,0.001011,0.001043,1000,0.000789,0.011235,0.001082483,0.0006232277430530511,0.000974,0.001011,0.001043,1000,0.006206,0.036869,0.009419407,0.002090465548950999,0.009233,0.009364,0.00953725,1000,0.011087,0.044403,0.014207983,0.003025385365323069,0.01379475,0.0139385,0.0140585,1000,0.142422,1.791893,0.243041066,0.11124871475930695,0.232417,0.234989,0.24345875,1000,0.011909,0.100174,0.037343737,0.010660825173307692,0.03772725,0.03811,0.0388865,1000,0.001991,0.023051,0.003063623,0.0012410925529028848,0.002905,0.002977,0.003055,1000,0.006801,0.055561,0.016130209,0.0047470978647294595,0.015882,0.0160595,0.01628525,1000,0.001571,0.056154,0.016022997,0.006408753075520307,0.0170995,0.017308,0.01742325,1000,0.000935,0.014141,0.00137088,0.0007375621991398421,0.001234,0.001281,0.00132825,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,0.028369,1.576612,0.098953484,0.09934364948771385,0.07523975,0.103579,0.10511,1000,0.040295,0.131381,0.053310639,0.008728296161948161,0.05112925,0.051692,0.052423,1000,0.00287,0.025215,0.004231881999999999,0.0014730755411980745,0.004057,0.004134,0.00420325,1000,0.005699,0.025236,0.007712493999999999,0.0019124899895068732,0.00739675,0.007509,0.00760725,1000,0.000803,0.0113,0.001092864,0.000711159403723244,0.000976,0.001008,0.001038,1000,0.000803,0.0113,0.001092864,0.000711159403723244,0.000976,0.001008,0.001038,1000,0.006111,0.031558,0.009400014,0.002012521039841323,0.009183,0.00932,0.00947825,1000,0.011139,0.037436,0.014027806,0.002545917357724716,0.01366275,0.01379,0.01392625,1000,0.141592,1.832199,0.24789257,0.10937660308896549,0.2198855,0.25146,0.255866,1000,0.011862,0.074516,0.027448932000000002,0.0070936077424238785,0.0245575,0.028468,0.02924425,1000,0.001982,0.020656,0.003021685,0.0012431985496190862,0.00285375,0.002916,0.00298025,1000,0.006659,0.046,0.014856634,0.004075680307880391,0.01409725,0.014844,0.01515625,1000,0.001577,0.042254,0.007385629,0.0031984645118179754,0.005723,0.008854,0.009066,1000,0.000958,0.022532,0.00143745,0.0011341882231358249,0.001249,0.001314,0.00137525,1000,0.0,1.1,0.22000000000000003,0.44000000000000006,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.0085,0.162289,0.010439986,0.010071507262163095,0.00894,0.009104,0.0093665,1000,1.102935,1.34933,1.1454203470000002,0.037984986338191445,1.11697925,1.137826,1.16199175,1000,0.067077,0.119246,0.06954629300000001,0.006565631856047901,0.067363,0.067476,0.067659,1000,0.037391,0.076246,0.039066167,0.004572800884918455,0.037747,0.037889,0.0382995,1000,0.000666,0.007792,0.000932029,0.0007046161821580597,0.000767,0.000799,0.000841,1000,0.987837,1.181725,1.027817972,0.0344830046733636,1.00235725,1.0224195,1.03948125,1000,0.002729,0.020465,0.00306721,0.0008198832050359369,0.002882,0.002949,0.003134,1000,0.008439,0.028892,0.009045441999999999,0.0012490806029380169,0.00878775,0.008895,0.009026,1000,1.135967,1.551843,1.181985925,0.042862272219766594,1.152326,1.173115,1.1967375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000275,0.000829,0.00033930500000000003,4.835799804582485e-05,0.000315,0.000332,0.00035325,1000,2.563279,5.211488,2.646129769,0.20266347650827377,2.59668975,2.6231155,2.64291125,1000,0.052026,0.100537,0.05401718,0.005334675994059995,0.05242875,0.052738,0.053061,1000,0.043708,0.085656,0.045531401,0.004630478398416193,0.04423875,0.04453,0.044768,1000,0.689304,2.195583,0.7158910030000001,0.10322604460048343,0.69466125,0.6986465,0.72276625,1000,1.765454,2.893951,1.822999433,0.11590085243378287,1.7860405,1.8033095,1.8266715,1000,0.001187,0.011722,0.00143217,0.00039716909887351507,0.001308,0.0013655,0.001485,1000,0.006025,0.027149,0.006821272,0.0013353391329606122,0.006414,0.0066295,0.00688425,1000,2.57944,5.263783,2.664692225,0.2051737692219948,2.614907,2.6413035,2.66103325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLLT,0.000293,0.011776,0.000370739,0.0003728814434629324,0.000325,0.000343,0.000382,1000,2.615675,5.110629,2.706336434,0.20601044741151273,2.65354175,2.6797855,2.7046435,1000,0.051858,0.103022,0.054894183,0.006315070184844425,0.052413,0.052716,0.056074,1000,0.04381,0.079672,0.046317547,0.005250920976342246,0.044344,0.0446425,0.0469435,1000,0.688178,1.999006,0.716769798,0.09200888373179623,0.6945035,0.6991595,0.7244195,1000,1.817149,3.090266,1.880866629,0.13077450697062237,1.84292725,1.8612405,1.8816445,1000,0.001172,0.018219,0.0013638119999999998,0.0006443340396533463,0.001276,0.001308,0.001357,1000,0.005789,0.026328,0.006502168,0.0011984575819677559,0.00615275,0.006354,0.00655575,1000,2.632604,5.163287,2.72459737,0.20830162428493232,2.67291675,2.697679,2.72249375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
