SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.33965,0.502286,0.37393627450980393,0.033781108600018046,0.349686,0.357945,0.392571,255,11.55688,14.612517,12.153360639215686,0.3694683423305567,12.008749,12.120557,12.2586025,255,0.281068,0.479385,0.3004898705882353,0.020576645493367553,0.287209,0.294463,0.3057835,255,0.136794,0.255306,0.14885761960784313,0.017058184021696062,0.138817,0.139602,0.149024,255,3.593494,4.626986,3.7346483098039216,0.12415219396140172,3.673595,3.712756,3.7580495,255,3.593494,4.626986,3.7346483098039216,0.12415219396140172,3.673595,3.712756,3.7580495,255,0.025207,0.058511,0.027960513725490195,0.003957595202527225,0.0262975,0.026789,0.027878,255,0.059833,0.104355,0.06309961568627451,0.004901391558441919,0.0612485,0.06187,0.063062,255,39.872266,64.219447,48.440494337254904,3.3806739954975304,47.457122,47.845546,48.46723,255,27.150023,50.65128,35.72526479215686,3.2560679913342914,35.1142945,35.204216,35.554172,255,0.020641,0.05421,0.02242,0.0032176073816960788,0.0215,0.021831,0.0222735,255,21.745263,30.586523,23.02821817254902,2.3659862035054204,21.8436415,21.884923,22.087526,255,4.884916,19.489982,12.252286839215687,1.8998126414750343,12.8071635,12.871071,12.99779,255,0.402237,0.547606,0.41991020784313726,0.019345208130989725,0.408799,0.413349,0.421887,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.634353,30.22132,9.26529676980057,1.3200399312147864,8.8272815,8.938455,9.1774945,1755,8.343083,29.774686,8.950571864387463,1.3085574427770592,8.5182825,8.620568,8.8600145,1755,0.004799,0.825281,0.17448133152896486,0.17050558432423293,0.02860675,0.166266,0.28054,10530,0.006114,0.366556,0.07875198537511871,0.07590829405429182,0.01481375,0.060188,0.1146995,10530,0.0371,13.625778,1.1877369056980058,1.2601100933444165,0.0879825,0.9051375,1.708037,10530,0.0371,13.625778,1.1877369056980058,1.2601100933444165,0.0879825,0.9051375,1.708037,10530,0.094198,0.300854,0.10947171851851853,0.016715250588298102,0.100031,0.102833,0.1142295,1755,0.147209,0.312436,0.16348730427350427,0.01647760885599368,0.153545,0.156326,0.1656995,1755,23.629962,63.199967,31.067360613105414,4.823750965816404,28.000427,30.128042,32.8775795,1755,14.298076,51.916177,21.258179585754988,4.280209063737794,18.4816825,20.587506,22.935436,1755,0.073738,0.236933,0.08551222621082621,0.012689015487308216,0.079349,0.081614,0.0853485,1755,13.487312,50.773852,20.39827172022792,4.173148449096829,17.6994715,19.747939,22.047605,1755,0.101469,1.475175,0.2636787760683761,0.11520896005507839,0.198688,0.236719,0.293827,1755,0.433115,1.215594,0.5084691025641026,0.052887663298136545,0.478952,0.498744,0.521721,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.035861,1.742734,0.106893196,0.11997266863530037,0.0542205,0.0914,0.12271675,1000,0.188714,0.384248,0.214014003,0.024852130067078575,0.195352,0.2011115,0.2294575,1000,0.001913,0.040413,0.0026758085,0.001309355758122196,0.002113,0.002243,0.00303,4000,0.004038,0.026025,0.0052364232499999995,0.0017315701630628306,0.004331,0.004517,0.005821,4000,0.014098,0.161673,0.0170480225,0.004229429412402311,0.01485675,0.015686,0.018006,4000,0.014098,0.161673,0.0170480225,0.004229429412402311,0.01485675,0.015686,0.018006,4000,0.020036,0.061459,0.022923904999999998,0.00443120450441807,0.02052725,0.0207645,0.0246195,1000,0.026353,0.074389,0.029073619999999998,0.004170252977889951,0.02689075,0.027354,0.030349,1000,0.487222,2.437878,0.5965564059999999,0.15395191528472504,0.5184025,0.5523605,0.659089,1000,0.088031,0.207697,0.103093629,0.01708998513853535,0.09053875,0.094478,0.11421825,1000,0.025291,0.070443,0.029602336,0.00594951446767751,0.0261955,0.026888,0.031942,1000,0.039683,0.118651,0.046818637999999996,0.009446235292377382,0.04048875,0.0431105,0.0524965,1000,0.005636,0.02613,0.007016426,0.0021745210614119146,0.005809,0.0059525,0.007379,1000,0.016227,0.059738,0.019101027,0.003603128598075706,0.016809,0.017388,0.02063175,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.037504,1.982948,0.111684212,0.12733452952279306,0.05508125,0.0951355,0.12871825,1000,0.191353,0.468351,0.225223854,0.03577038915813866,0.19965975,0.2191335,0.23863825,1000,0.001947,0.025619,0.0028054259999999998,0.0013045683907039907,0.002167,0.002326,0.003084,4000,0.004038,0.031356,0.005478784249999999,0.0019736474391851087,0.004431,0.004686,0.00590425,4000,0.014268,0.071862,0.01796854425,0.00453524655283943,0.015346,0.0163605,0.01852725,4000,0.014268,0.071862,0.01796854425,0.00453524655283943,0.015346,0.0163605,0.01852725,4000,0.020044,0.069772,0.023828370999999997,0.005282227466075178,0.0206075,0.0210925,0.02614625,1000,0.026412,0.091487,0.030051632,0.005765463250995188,0.027076,0.0280495,0.0307645,1000,0.487551,2.791477,0.623259703,0.17048237387465248,0.52897575,0.5831005,0.67430675,1000,0.087649,0.242894,0.107094755,0.02062325206893847,0.091628,0.09844,0.11695125,1000,0.025289,0.08136,0.030567834999999998,0.0072481061000633125,0.02616825,0.0274445,0.03241025,1000,0.039779,0.111689,0.048388241,0.010752860307793412,0.0407725,0.0442115,0.05302525,1000,0.005558,0.02843,0.007293712999999999,0.002346006135676333,0.005868,0.006432,0.00790725,1000,0.015935,0.056062,0.020252286,0.00518575020649896,0.01702225,0.0186985,0.021237,1000,0.0,6.1,2.18,2.36,0.0,1.2,3.6,5
BilateralLagrangianConstraint_UGS,0.036067,1.852498,0.079332149,0.1232242146103062,0.05256075,0.0666965,0.079022,1000,0.190158,0.318256,0.20218930400000001,0.015589133932633462,0.19414975,0.197325,0.20117725,1000,0.001931,0.017095,0.0024882075,0.0008753563168468883,0.002104,0.00218,0.00296425,4000,0.004012,0.038229,0.0048726025,0.001445240000482186,0.004242,0.00435,0.00569125,4000,0.01422,0.058333,0.01628854025,0.00278045535567107,0.014739,0.015401,0.017729,4000,0.01422,0.058333,0.01628854025,0.00278045535567107,0.014739,0.015401,0.017729,4000,0.020179,0.052027,0.021433271,0.0031905363789743882,0.02063875,0.0207705,0.020937,1000,0.02646,0.068313,0.028017535,0.003959987123814293,0.027037,0.027217,0.0274225,1000,0.50755,2.571689,0.56796751,0.14628752963879013,0.52194375,0.550752,0.5723245,1000,0.100128,0.226642,0.12310057099999999,0.017085360231524502,0.11149975,0.1208745,0.1272845,1000,0.02515,0.082201,0.027302622,0.00457067543139042,0.0259095,0.026246,0.026667,1000,0.045407,0.129605,0.048844192,0.007820252954549233,0.04610975,0.0464915,0.04743875,1000,0.00867,0.081255,0.027828395,0.010100412671419668,0.01956175,0.0289795,0.033611,1000,0.016678,0.048092,0.018573575000000002,0.0030243950182433183,0.0172665,0.0174845,0.0179785,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_with_friction,0.039149,1.483149,0.081338617,0.09896424077920424,0.07155675,0.0747525,0.07533625,1000,0.059216,0.151887,0.078626232,0.010013763837447736,0.07626675,0.0769275,0.08068625,1000,0.00291,0.021574,0.004226221,0.0013404147485606833,0.00409775,0.004167,0.004254,1000,0.005831,0.026203,0.007791953999999999,0.001757684191737526,0.007572,0.0076635,0.007772,1000,0.018147,0.059602,0.024511953000000003,0.003815364676776127,0.02416075,0.0243575,0.02482775,1000,0.018147,0.059602,0.024511953000000003,0.003815364676776127,0.02416075,0.0243575,0.02482775,1000,0.00629,0.028773,0.009642562,0.002204006786322583,0.00942,0.009594,0.0098405,1000,0.010421,0.032844,0.012835083,0.0021863276104259854,0.012565,0.012658,0.012759,1000,0.161884,1.762303,0.266112634,0.1091488544887304,0.2575495,0.260391,0.266478,1000,0.012274,0.111801,0.038147023,0.01030596006078381,0.03877675,0.039272,0.0404325,1000,0.001986,0.015684,0.0029730430000000003,0.0008745609019107818,0.00287975,0.002947,0.00302525,1000,0.00696,0.064948,0.016516355,0.004106532387912581,0.01684575,0.0170035,0.01717125,1000,0.001649,0.084497,0.016008842,0.006574608664478517,0.017096,0.017343,0.01750025,1000,0.000983,0.017639,0.001384349,0.000710639156815187,0.00130375,0.001335,0.001368,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040277,1.494041,0.095960162,0.09887744554087022,0.07430475,0.099365,0.1036145,1000,0.058667,0.137591,0.078354434,0.010419495611383691,0.07566525,0.0763335,0.0800065,1000,0.002927,0.020473,0.00424425,0.0013983322450333469,0.00409,0.004159,0.004226,1000,0.005801,0.028739,0.007783495,0.0020357691195160123,0.00749975,0.0075925,0.007686,1000,0.017889,0.058597,0.024513276999999997,0.0038670297389949045,0.024026,0.0243085,0.024723,1000,0.017889,0.058597,0.024513276999999997,0.0038670297389949045,0.024026,0.0243085,0.024723,1000,0.006299,0.037758,0.009571188,0.00226967933256132,0.00937475,0.009507,0.009739,1000,0.010298,0.042338,0.012771393,0.0024394553942531927,0.012404,0.012535,0.0126665,1000,0.161635,1.78639,0.270777489,0.1096872084812075,0.2456695,0.2757285,0.28100225,1000,0.012171,0.07163,0.028578144,0.007077433296560554,0.02611375,0.029943,0.03059075,1000,0.0019,0.018849,0.0030274160000000002,0.0011609360933936027,0.002885,0.0029525,0.00303125,1000,0.006976,0.04613,0.015483936,0.003902255037270629,0.0152635,0.0159165,0.01620525,1000,0.001637,0.027023,0.007452115,0.0028981642789488314,0.005973,0.0089155,0.009267,1000,0.001031,0.028785,0.001378961,0.0011130949813376214,0.00122975,0.0013065,0.001359,1000,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008712,0.128498,0.010359829,0.008366285413357532,0.00901775,0.0091565,0.009536,1000,1.117732,1.338872,1.169435833,0.04146099654228189,1.136698,1.152522,1.20530625,1000,0.067108,0.123937,0.071613291,0.0072384818625398925,0.06756775,0.0699745,0.074572,1000,0.037649,0.082195,0.039836398,0.004449950808671484,0.03800375,0.0382115,0.040825,1000,0.014441,0.042961,0.015372635,0.001957457418636482,0.01484275,0.014976,0.015145,1000,0.986402,1.144029,1.034309105,0.03836467718477474,0.9997075,1.0186015,1.0711245,1000,0.002741,0.016621,0.0030875340000000003,0.0008535175832072823,0.002888,0.002938,0.00300125,1000,0.011583,0.033221,0.012167924,0.001479785060819307,0.01184575,0.0119245,0.01202725,1000,1.154633,1.525235,1.2093283570000002,0.04459632748325305,1.17602475,1.19232,1.2429835,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000281,0.001218,0.00036081599999999997,7.461975706205428e-05,0.000325,0.000347,0.000372,1000,2.465602,4.940681,2.558975089,0.2176908400820188,2.4977305,2.5196805,2.5506975,1000,0.051046,0.156989,0.054656658999999996,0.007297321108236845,0.0525305,0.0529055,0.0535135,1000,0.04262,0.111119,0.045811887,0.0056926019311235,0.04430825,0.0446785,0.045059,1000,0.689258,2.117568,0.725019386,0.10164389419621331,0.696986,0.7101695,0.7276665,1000,1.667342,3.087024,1.725501481,0.1334606628388217,1.676477,1.699502,1.72260325,1000,0.0011,0.012301,0.001366582,0.0007058876874375979,0.001211,0.001262,0.001344,1000,0.012169,0.040045,0.013282075,0.002345150712294415,0.01256775,0.0128105,0.01313025,1000,2.488176,4.996818,2.5845142979999998,0.22076795556091738,2.5218855,2.543805,2.5756195,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,19.0,3.8,7.6000000000000005,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000282,0.00459,0.000363332,0.0001741901770364793,0.00033,0.000342,0.000358,1000,2.612348,4.918176,2.6984883330000002,0.18881018717351591,2.64222125,2.6623895,2.6907015,1000,0.050972,0.151312,0.055509135,0.0077348890530359255,0.0524335,0.0530155,0.0567725,1000,0.042739,0.094375,0.046103291,0.00442722880686316,0.0444145,0.044674,0.0475115,1000,0.689246,1.970003,0.716294348,0.08805341539343546,0.69650775,0.702721,0.71806,1000,1.81142,3.078252,1.8725338980000001,0.11745995720661401,1.8326235,1.8460925,1.8682755,1000,0.001152,0.015967,0.0013935730000000002,0.0005776838414487634,0.001258,0.001309,0.00136525,1000,0.012271,0.04078,0.01328404,0.0024880974459212807,0.012573,0.0127015,0.012923,1000,2.63598,4.972377,2.7240364049999997,0.19195705471199795,2.66676625,2.686706,2.71485325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,9.5,2.38,3.6002222153639347,0.0,1.2,1.2,5
