SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340878,0.497016,0.35880603921568627,0.01759680912335962,0.3471735,0.352742,0.362856,255,11.558941,13.463275,12.07514925490196,0.30307555639740047,11.959062,12.066698,12.166575,255,0.284089,0.376407,0.29634718823529416,0.014209860164200635,0.2868785,0.289461,0.300197,255,0.13621,0.222854,0.14439486666666668,0.013830189602072744,0.1375005,0.138062,0.142602,255,3.610146,4.51726,3.762879219607843,0.13463391478407327,3.6795055,3.746241,3.80077,255,3.610146,4.51726,3.762879219607843,0.13463391478407327,3.6795055,3.746241,3.80077,255,0.022837,0.058549,0.025081780392156864,0.0033829369162346754,0.023812,0.024187,0.024757,255,0.052411,0.080271,0.05549725882352941,0.00351979509370046,0.054014,0.05447,0.055203,255,39.905364,53.81789,47.33614281568628,2.195908993470036,47.3643085,47.679605,47.9287275,255,27.134709,41.243684,34.726027905882354,2.1756663232537123,35.0260585,35.182954,35.2962175,255,0.020701,0.055934,0.022526599999999997,0.003747802853960819,0.0215155,0.021884,0.022251,255,21.734316,27.946147,22.104567705882353,0.9977877589009558,21.8769235,21.910701,21.9490675,255,4.853589,14.979013,12.174675215686275,1.841627327878673,12.705744,12.834733,12.912511,255,0.402259,0.529874,0.4213619450980392,0.015821986120738096,0.411178,0.415456,0.424923,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,9.005821,10.229351,9.32301347008547,0.205502307662397,9.15419,9.282799,9.451469,1755,8.68823,9.881284,9.015735398860398,0.20114904535973055,8.8481505,8.974563,9.1389975,1755,0.004667,0.576274,0.17532778081671416,0.17071885410807774,0.03011925,0.117587,0.28020925,10530,0.006168,0.319941,0.07694112336182336,0.07384079563738263,0.0140225,0.079836,0.10596075,10530,0.034692,3.636846,1.158597245014245,1.1937129667120217,0.08631225,0.96715,1.73114325,10530,0.034692,3.636846,1.158597245014245,1.1937129667120217,0.08631225,0.96715,1.73114325,10530,0.09717,0.178337,0.11060825925925925,0.011400704081647154,0.103518,0.106173,0.1162825,1755,0.132189,0.219874,0.14356349857549858,0.01039702886369217,0.1375355,0.139938,0.1465325,1755,23.857045,40.820264,30.75870636296296,3.6241119808238453,28.3755835,30.233733,32.561827,1755,14.206026,30.80923,20.925392823931624,3.614262032952904,18.6037215,20.34394,22.8483175,1755,0.072819,0.153813,0.08212090256410257,0.008545856211434735,0.0781665,0.080373,0.0825645,1755,13.392352,29.897801,20.09952518860399,3.528154549401652,17.8231185,19.548064,22.0253285,1755,0.100304,0.615357,0.25241148945868946,0.10304784951450946,0.195149,0.224595,0.279442,1755,0.431167,0.624877,0.48909915897435896,0.02750293214493737,0.4710355,0.482884,0.503508,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.036721,1.784638,0.108571745,0.12185960810085503,0.0531795,0.093412,0.12541375,1000,0.125278,0.26447,0.14885672,0.01862072110836742,0.13476225,0.1447325,0.1601665,1000,0.001906,0.082851,0.0027222245,0.0017082153433041602,0.00215,0.0023065,0.003067,4000,0.003996,0.026397,0.00529541125,0.0014660350241803355,0.004448,0.0048515,0.00585625,4000,0.000315,0.01954,0.00073951625,0.0008284115047703873,0.000436,0.0005095,0.000924,4000,0.000315,0.01954,0.00073951625,0.0008284115047703873,0.000436,0.0005095,0.000924,4000,0.019972,0.06598,0.023690733,0.004716135912345085,0.02065975,0.0223685,0.025714,1000,0.027606,0.077891,0.030681419,0.005034965170429584,0.028256,0.0287625,0.03174975,1000,0.420903,2.385625,0.5352376729999999,0.15011534825466072,0.459877,0.4986615,0.5855505,1000,0.086377,0.184407,0.102858641,0.016475985610764503,0.089972,0.096097,0.11272625,1000,0.025497,0.077014,0.030260391,0.006131383864195668,0.02664375,0.027927,0.032381,1000,0.038172,0.097075,0.045746366999999996,0.009232839817537777,0.03896825,0.042178,0.05034725,1000,0.005287,0.030829,0.006576932,0.0020192844161672717,0.00550575,0.00586,0.00704925,1000,0.016313,0.059156,0.019729482,0.004158392701955408,0.01693975,0.018105,0.02109025,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.036648,1.640354,0.10849371799999999,0.11868268590208295,0.05286875,0.0949915,0.12666575,1000,0.125501,0.242032,0.144287934,0.01739741707902768,0.131364,0.136521,0.15537775,1000,0.001894,0.021642,0.0025886095,0.001154518748660995,0.00206475,0.002201,0.002988,4000,0.003973,0.025392,0.005248209,0.0016932076044652647,0.00430075,0.004546,0.005756,4000,0.00033,0.022979,0.00072359575,0.0009012580020903768,0.000435,0.000485,0.00088125,4000,0.00033,0.022979,0.00072359575,0.0009012580020903768,0.000435,0.000485,0.00088125,4000,0.0201,0.062253,0.023271432,0.004298088089299241,0.0207275,0.021079,0.02500725,1000,0.027669,0.07807,0.030530355999999998,0.004586373444810616,0.02834075,0.028781,0.031815,1000,0.422372,2.263378,0.527481652,0.14687483414073663,0.453887,0.4912885,0.58112975,1000,0.085294,0.19372,0.10051004200000001,0.015461791094056213,0.088327,0.0927335,0.111467,1000,0.024994,0.077843,0.029321754000000002,0.005575345081650462,0.02595125,0.0267085,0.03161675,1000,0.037896,0.113363,0.044642553999999994,0.008218011934834603,0.03881275,0.041527,0.04974925,1000,0.00521,0.03355,0.00661616,0.002042026653694804,0.00552,0.005918,0.00698975,1000,0.015952,0.05407,0.019319549,0.003923608417974327,0.016791,0.017365,0.0207845,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.045524,1.659193,0.07994736,0.11532393291718072,0.05262375,0.067528,0.080063,1000,0.126783,0.268956,0.13781668,0.014969246945574784,0.1299505,0.1322955,0.136233,1000,0.001892,0.033122,0.00245979075,0.0012578539465949287,0.002032,0.002104,0.002894,4000,0.00393,0.028118,0.004944701750000001,0.0018523993857418918,0.004237,0.0043715,0.00559225,4000,0.000339,0.015488,0.0007126782500000001,0.0007646418041978464,0.000426,0.00048,0.00092,4000,0.000339,0.015488,0.0007126782500000001,0.0007646418041978464,0.000426,0.00048,0.00092,4000,0.02013,0.059118,0.021601275000000003,0.003340251256922898,0.02063275,0.0209495,0.02119575,1000,0.027807,0.081049,0.029784483,0.005317892447550157,0.02831675,0.028509,0.028741,1000,0.439261,2.290359,0.5037743410000001,0.13707962043904529,0.46576025,0.486971,0.50911675,1000,0.097771,0.22472,0.121561197,0.017101337261518208,0.10925675,0.119004,0.1265085,1000,0.02517,0.078294,0.027586885,0.005019907813274563,0.02600075,0.026275,0.0266535,1000,0.043037,0.123337,0.047048354,0.008406184308274712,0.0438275,0.044258,0.04511975,1000,0.008801,0.082261,0.027941627,0.009988586113353131,0.01956325,0.0290615,0.0336225,1000,0.016409,0.048101,0.018425584999999998,0.0034045858668529713,0.01700775,0.017217,0.01782325,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.04044,1.433908,0.083575234,0.0962508835677743,0.07533025,0.0759415,0.07897675,1000,0.040773,0.126984,0.054090614999999995,0.009112334556894574,0.051266,0.0518925,0.053964,1000,0.002859,0.021535,0.004187834,0.0014051475973875483,0.004002,0.004093,0.00416225,1000,0.005795,0.030349,0.007930310999999999,0.0024384742324410564,0.007486,0.007609,0.00775925,1000,0.000758,0.015163,0.001056474,0.0006879884935985485,0.000952,0.000988,0.001022,1000,0.000758,0.015163,0.001056474,0.0006879884935985485,0.000952,0.000988,0.001022,1000,0.006018,0.029032,0.009558251,0.0025609815868137356,0.00916675,0.0093545,0.00955525,1000,0.011116,0.042445,0.014317654,0.0026474111955425432,0.013853,0.014044,0.01421,1000,0.14241,1.667375,0.244620388,0.10631352932728486,0.2335435,0.2366315,0.2508265,1000,0.01206,0.144989,0.038178867,0.011628871800536414,0.03829725,0.0386465,0.0412,1000,0.00202,0.018584,0.00316139,0.0013619502861338224,0.002959,0.0030285,0.00310625,1000,0.006784,0.094022,0.016347669,0.005182833750897186,0.01602675,0.0162,0.016375,1000,0.001544,0.095933,0.016386282999999998,0.006888110914242816,0.017326,0.0175885,0.01773125,1000,0.000957,0.08298,0.0015027349999999998,0.002710475830324816,0.001287,0.001324,0.00136525,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040422,1.44767,0.09896957,0.09623851045645448,0.0757785,0.10331,0.105936,1000,0.040277,0.144603,0.053291172,0.008657356489391898,0.051081,0.051555,0.05233025,1000,0.002847,0.020035,0.004164804,0.0012518627734636092,0.004021,0.004099,0.00417325,1000,0.005734,0.028778,0.007664715,0.001992651182162849,0.007344,0.0074535,0.00756625,1000,0.000769,0.010336,0.001039785,0.0006043577225244996,0.00094075,0.000976,0.001008,1000,0.000769,0.010336,0.001039785,0.0006043577225244996,0.00094075,0.000976,0.001008,1000,0.006101,0.038219,0.009483046,0.0027107521915298713,0.009169,0.009293,0.009431,1000,0.01129,0.036392,0.014162825,0.0024072574865134392,0.01376975,0.013902,0.014038,1000,0.143315,1.720922,0.24886294399999997,0.10749858760198137,0.2216185,0.2528095,0.25730525,1000,0.012166,0.075134,0.028060692999999998,0.0076382339143777865,0.025073,0.0290975,0.0297155,1000,0.002075,0.016931,0.0030804870000000002,0.0010613572818947443,0.002941,0.0030065,0.00306625,1000,0.006875,0.045561,0.015103436999999999,0.004499786086474667,0.014296,0.015024,0.015274,1000,0.001569,0.02716,0.007693145,0.0032741562445880615,0.005923,0.009069,0.0095,1000,0.001026,0.014611,0.001395634,0.0007345943057525016,0.001229,0.001297,0.001367,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008519,0.154448,0.010221204,0.009061106664882829,0.008825,0.00899,0.009279,1000,1.096232,1.303207,1.155067529,0.041785233824272884,1.1216155,1.144396,1.18978925,1000,0.06686,0.133956,0.06994299300000001,0.006273309576049232,0.0673995,0.067691,0.0697035,1000,0.036954,0.094558,0.039929753,0.005740003225608066,0.037401,0.037947,0.0402075,1000,0.000613,0.012182,0.000867712,0.0006364768048059568,0.000706,0.000748,0.000794,1000,0.982677,1.165055,1.0364980110000002,0.03806766257981805,1.0078165,1.024534,1.0699485,1000,0.002718,0.023879,0.003034022,0.0009337246615121613,0.002895,0.002951,0.00301125,1000,0.008352,0.026625,0.008981924,0.001558426790139338,0.008628,0.008727,0.008856,1000,1.129343,1.484717,1.191433648,0.045493074962790724,1.156446,1.181382,1.225715,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.002745,0.000348413,9.23145299018524e-05,0.000316,0.000334,0.00036225,1000,2.511,5.238535,2.6103434240000003,0.2022316773906161,2.5587095,2.588621,2.6154465,1000,0.051765,0.107805,0.055084419999999995,0.006309344318675279,0.0522695,0.052539,0.05660325,1000,0.043799,0.08656,0.046431867,0.005257484480177855,0.04420775,0.0445885,0.04726825,1000,0.688981,2.194711,0.719423579,0.10258749868947854,0.695705,0.7054565,0.725996,1000,1.711912,2.946479,1.7819475230000001,0.11671691182959508,1.7411745,1.7651395,1.79407025,1000,0.001185,0.012103,0.001359834,0.0005566968101615097,0.001277,0.001312,0.00135125,1000,0.005912,0.023922,0.006441339,0.0008488178462302734,0.006218,0.006347,0.006479,1000,2.528556,5.29361,2.628449968,0.20487249428528703,2.57612275,2.606311,2.63365025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000281,0.009225,0.000352495,0.0002933868674208169,0.000311,0.000329,0.000358,1000,2.611364,5.183322,2.6971489610000003,0.19508244385415485,2.64719,2.675908,2.69907525,1000,0.051619,0.138182,0.054597899,0.0060628033379616555,0.0522515,0.052806,0.054108,1000,0.043583,0.103001,0.045789782,0.005099832788285906,0.04417975,0.044417,0.044865,1000,0.689535,2.08754,0.716145304,0.09342977605825449,0.69495775,0.7012545,0.7238,1000,1.814878,3.009034,1.873095912,0.11583392364915496,1.83652225,1.85553,1.879156,1000,0.001222,0.018547,0.001427382,0.000696927376471896,0.001323,0.001368,0.001427,1000,0.005944,0.027054,0.006639116,0.0014080631145456512,0.006287,0.0064375,0.00661525,1000,2.629777,5.253378,2.715559088,0.19802747897337442,2.66414975,2.6937075,2.7174955,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
