SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.342269,0.445847,0.3586865294117647,0.015070453495073535,0.348629,0.353088,0.362503,255,11.810372,13.393982,12.377534423529413,0.2905349044416499,12.259901,12.388862,12.5059875,255,0.28514,0.436942,0.3019599568627451,0.020784311809775715,0.2893035,0.292439,0.302072,255,0.138179,0.210162,0.14604356078431371,0.011930064023102512,0.140211,0.14123,0.145721,255,3.58169,3.935911,3.7005135254901957,0.06544543283855506,3.6506135,3.690527,3.736289,255,3.58169,3.935911,3.7005135254901957,0.06544543283855506,3.6506135,3.690527,3.736289,255,0.022248,0.039143,0.024397760784313726,0.001610174664021953,0.023671,0.02408,0.02454,255,0.047122,0.083158,0.04987529019607843,0.004239296393953392,0.048628,0.049,0.049545,255,40.076991,54.678779,47.47770955294117,1.8704686042836214,47.714408,48.040182,48.287949,255,27.242679,41.57473,34.57284409411765,1.8669822282169273,35.097043,35.236347,35.354869,255,0.020411,0.051347,0.022026192156862745,0.002265867628122565,0.021305,0.021677,0.0222135,255,21.808777,28.132013,21.94954845098039,0.41875602303341886,21.8653695,21.906002,21.9400525,255,4.930426,13.252424,12.177039815686275,1.7988618363214943,12.7733475,12.865871,13.0007785,255,0.400745,0.544785,0.42135750980392156,0.023881570234422788,0.406219,0.411173,0.4283715,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.973988,17.970892,9.28407703133903,0.3172903968970471,9.1100245,9.19702,9.417746,1755,8.674118,17.541624,8.978865607977207,0.3084820741720879,8.8079,8.889739,9.1092115,1755,0.005061,0.554423,0.17360684881291547,0.16905990240244195,0.02904975,0.1195695,0.279756,10530,0.006003,0.363731,0.0752464166191833,0.07223157964302337,0.01410825,0.060487,0.1044065,10530,0.036062,4.166703,1.152590837132004,1.1868694467341543,0.084218,0.883631,1.72964,10530,0.036062,4.166703,1.152590837132004,1.1868694467341543,0.084218,0.883631,1.72964,10530,0.098954,0.211202,0.11179133618233618,0.010990855580570802,0.105712,0.108198,0.114869,1755,0.119178,0.208642,0.128512150997151,0.009061658323889136,0.123601,0.12578,0.130391,1755,23.980134,62.032435,30.87837158176638,3.901326991963479,28.3526505,30.337955,32.740753,1755,14.43337,47.776542,21.099228875213676,3.8217199136679554,18.589651,20.567222,22.941005,1755,0.073192,0.362855,0.08322502165242165,0.010682408410997973,0.0792085,0.081248,0.084415,1755,13.615715,46.410414,20.26500808205128,3.7306088091100205,17.806434,19.743863,22.098097,1755,0.100432,0.636904,0.25507538803418806,0.10405286295421164,0.195156,0.229648,0.283739,1755,0.436802,0.641034,0.49363412706552706,0.028414501817517417,0.47427,0.489383,0.5077705,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.031823,1.805928,0.108954397,0.12497544873911592,0.05474175,0.093756,0.12597225,1000,0.125658,0.262884,0.14356512899999999,0.01805255813169865,0.129984,0.1345815,0.155789,1000,0.001833,0.020423,0.00252702125,0.0010258406327487899,0.001992,0.002094,0.00294225,4000,0.003969,0.026126,0.0052019875000000005,0.0017516109222209565,0.004298,0.004519,0.00575125,4000,0.000368,0.009978,0.0007490589999999999,0.0006788791081768535,0.000467,0.000527,0.000926,4000,0.000368,0.009978,0.0007490589999999999,0.0006788791081768535,0.000467,0.000527,0.000926,4000,0.019941,0.0594,0.022803181000000002,0.003818141863294108,0.020548,0.020882,0.02445375,1000,0.025246,0.069908,0.028169307,0.004191800318329941,0.0261155,0.0265045,0.029381,1000,0.421521,2.477486,0.525016992,0.15533645151793551,0.45253425,0.484834,0.5791345,1000,0.086516,0.223238,0.102226844,0.016351900497179647,0.09012625,0.0939475,0.11343,1000,0.024881,0.071941,0.029341917000000002,0.005474530525452479,0.02599275,0.0267675,0.0317095,1000,0.03923,0.126427,0.046510415,0.008994723821039476,0.04039775,0.0428475,0.0520315,1000,0.005357,0.023802,0.006585913,0.0019147500958169449,0.005574,0.005713,0.00703925,1000,0.016186,0.056422,0.019243072,0.003932138417555516,0.01682575,0.017472,0.02072725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.044909,1.750056,0.10824840200000001,0.12312001558935248,0.05286225,0.093255,0.12475725,1000,0.124282,0.26859,0.141051309,0.01734585945704389,0.12743175,0.1327395,0.15269675,1000,0.001786,0.020835,0.00247327375,0.0009740446998525979,0.001971,0.002096,0.002921,4000,0.003956,0.037493,0.0051359247500000005,0.0016722072309039444,0.004216,0.0044195,0.00568325,4000,0.00036,0.019757,0.000752303,0.0009445001284759045,0.000457,0.000515,0.00088125,4000,0.00036,0.019757,0.000752303,0.0009445001284759045,0.000457,0.000515,0.00088125,4000,0.019827,0.057545,0.022899422,0.004551572544727372,0.0203975,0.0207085,0.024468,1000,0.025506,0.079326,0.028214351,0.004722138711410222,0.026067,0.0264125,0.02936125,1000,0.418383,2.393513,0.523341609,0.153904786700733,0.44959,0.4828015,0.57727925,1000,0.087186,0.202282,0.10301502400000001,0.016679783457749803,0.09036975,0.094324,0.11439225,1000,0.024801,0.069552,0.029548664000000002,0.006040909451655768,0.02597,0.026759,0.03218425,1000,0.039456,0.118307,0.046869917000000004,0.009266758868024515,0.04052975,0.043025,0.0524635,1000,0.005428,0.037587,0.00675012,0.0019418900441580105,0.005679,0.006078,0.007163,1000,0.016209,0.054741,0.019319578,0.0039868844876564955,0.01683575,0.0173785,0.02078025,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.039864,1.814211,0.079913496,0.12000275662878743,0.05273575,0.067279,0.079226,1000,0.126683,0.232425,0.1363192,0.012749497465233678,0.1294985,0.132135,0.135589,1000,0.001848,0.019991,0.00237420325,0.0009091357887793427,0.001986,0.002066,0.002851,4000,0.003939,0.03115,0.0048798675,0.0015794610268834587,0.004208,0.004329,0.00563425,4000,0.000373,0.078683,0.0007888312499999999,0.001409678719344744,0.000495,0.000556,0.00098,4000,0.000373,0.078683,0.0007888312499999999,0.001409678719344744,0.000495,0.000556,0.00098,4000,0.020036,0.072049,0.021610935,0.003835252872598494,0.020536,0.0207045,0.020917,1000,0.025558,0.068621,0.027049412000000002,0.0036533246765454615,0.02609175,0.026251,0.02643225,1000,0.440157,2.437213,0.5007213269999999,0.14021247563052322,0.46228825,0.484772,0.50373725,1000,0.099536,0.212291,0.12257768799999999,0.01639039090213092,0.1105795,0.120523,0.12793625,1000,0.024957,0.065215,0.027374011,0.004200775931524912,0.02596975,0.026262,0.02661625,1000,0.044512,0.114225,0.048628245,0.00788981960015405,0.04556875,0.045986,0.04707875,1000,0.00876,0.073402,0.027551014,0.009888462553997158,0.0192595,0.0287375,0.0330355,1000,0.016533,0.045854,0.018505228,0.0034844005197474065,0.01705475,0.017267,0.0177615,1000,0.0,4.8,1.44,1.763632614803888,0.0,1.2,1.2,5
FrictionContact_LCP_with_friction,0.040597,1.545124,0.084041243,0.09935958667956481,0.07548575,0.0759595,0.0780735,1000,0.040264,0.221179,0.055369967,0.010671316711348746,0.05156975,0.0529185,0.05543325,1000,0.002768,0.019757,0.004249236,0.0013974531184637285,0.004071,0.004152,0.004287,1000,0.005768,0.025311,0.007909837999999999,0.0020045152021763266,0.0074585,0.007635,0.00806525,1000,0.000735,0.018123,0.001066029,0.0007595704155369666,0.00096675,0.0009955,0.001026,1000,0.000735,0.018123,0.001066029,0.0007595704155369666,0.00096675,0.0009955,0.001026,1000,0.006166,0.032365,0.009658331000000001,0.0023526739139623663,0.00930775,0.009525,0.009734,1000,0.009988,0.036864,0.012855123,0.0024785304597424256,0.012462,0.01258,0.012703,1000,0.142252,1.783356,0.247069858,0.1094295886177584,0.23471875,0.238216,0.25623325,1000,0.012047,0.117963,0.039425401,0.01176548988832165,0.03876075,0.0394395,0.04208275,1000,0.001985,0.021141,0.003209443,0.0015136320189369015,0.002962,0.00305,0.003135,1000,0.006854,0.085262,0.017440214,0.005849898739141045,0.01679675,0.0170965,0.01756275,1000,0.001645,0.056121,0.016587075,0.006795395837725349,0.0171105,0.0173245,0.0175155,1000,0.00096,0.011596,0.0014179449999999999,0.0006264804434098482,0.001288,0.001336,0.00139225,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040179,1.633598,0.099469824,0.10150672924469108,0.076062,0.1039945,0.105724,1000,0.039927,0.147557,0.053153678,0.009561191527226929,0.050439,0.0510385,0.05225125,1000,0.002829,0.031104,0.004159071,0.001770030612153078,0.003989,0.004048,0.00411025,1000,0.005677,0.036081,0.007703005,0.002304020395520621,0.007331,0.007453,0.007559,1000,0.000697,0.01109,0.00103306,0.0006096966691724665,0.000929,0.000968,0.001005,1000,0.000697,0.01109,0.00103306,0.0006096966691724665,0.000929,0.000968,0.001005,1000,0.006112,0.042218,0.009486483,0.002651291977076648,0.00916175,0.0092815,0.009428,1000,0.00988,0.044662,0.012668552,0.002552724408019009,0.0122505,0.012435,0.01257825,1000,0.139938,1.878693,0.247966949,0.11275390112399837,0.22023125,0.251542,0.2555405,1000,0.01187,0.063889,0.028427186,0.007474074189851476,0.0256635,0.029566,0.03011975,1000,0.001983,0.017575,0.0030584009999999997,0.0010650922730913973,0.002906,0.0029905,0.003072,1000,0.006699,0.041539,0.015797964,0.004498674581996791,0.01511975,0.0158225,0.01609725,1000,0.001587,0.030814,0.007424722,0.0030938095427346527,0.00580175,0.008918,0.00913325,1000,0.000956,0.013124,0.0013694900000000001,0.0008239649154545356,0.001193,0.0012545,0.001312,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008634,0.174495,0.01045952,0.009647486723473632,0.008946,0.009105,0.009485,1000,1.117748,1.348348,1.168778988,0.03475151523191264,1.14344075,1.159464,1.1890035,1000,0.067219,0.131531,0.070376465,0.007830782566434533,0.067534,0.0677095,0.069954,1000,0.038055,0.08816,0.04059513,0.006367230755132094,0.0384255,0.0386985,0.04048425,1000,0.000712,0.003868,0.000877754,0.0002035717845969819,0.00082,0.000854,0.000891,1000,1.00373,1.181676,1.048526693,0.03009590670115707,1.02696075,1.0416785,1.0649,1000,0.002806,0.02041,0.0031933670000000003,0.0010358325677014603,0.002956,0.0030115,0.003077,1000,0.008106,0.030034,0.00876242,0.001760099890233506,0.00838275,0.008496,0.0086355,1000,1.150673,1.533499,1.2051261089999998,0.03979795019815869,1.1789425,1.1950865,1.22600525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000266,0.017928,0.00035368,0.0006628555299610919,0.0003,0.000311,0.000332,1000,2.515858,5.161722,2.6079168029999997,0.2004526329706053,2.56284275,2.578643,2.60723725,1000,0.052461,0.093296,0.055417541,0.006490661783232815,0.05294275,0.0532095,0.054057,1000,0.043992,0.089361,0.046237124000000004,0.00559720785915835,0.04432675,0.0446785,0.04511575,1000,0.689727,2.203626,0.7212167820000001,0.10360304772043377,0.6964065,0.716447,0.7262355,1000,1.711147,2.821485,1.777331817,0.11396623265652643,1.7428865,1.759101,1.77915675,1000,0.001168,0.003848,0.0013400039999999999,0.000178370496394443,0.001251,0.001299,0.00138625,1000,0.006005,0.025422,0.006701549,0.0017114538432569546,0.0063105,0.006431,0.00658025,1000,2.532596,5.216378,2.6263386009999996,0.202826620682971,2.5810485,2.596783,2.62454825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000277,0.021662,0.00037872899999999996,0.0007613146166723716,0.000318,0.0003345,0.000361,1000,2.611427,5.112534,2.717294201,0.1913473888157468,2.67226325,2.693443,2.714209,1000,0.052204,0.118098,0.055885413999999994,0.006511942569357012,0.05269175,0.053248,0.057005,1000,0.044183,0.099914,0.047200112,0.006027392160582883,0.0447925,0.045149,0.047569,1000,0.689875,2.104145,0.727163964,0.09467659884027681,0.69981425,0.721386,0.7328115,1000,1.808254,2.932401,1.879466946,0.11319760309750859,1.8423075,1.8619625,1.8814165,1000,0.00119,0.053459,0.001434287,0.0016777274452756028,0.00129,0.0013345,0.001432,1000,0.005899,0.026596,0.006692696,0.0011918561597709682,0.00637,0.006554,0.00677,1000,2.627752,5.163867,2.735817549,0.19384344115393637,2.6907295,2.7116195,2.732173,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
