SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.338278,0.462195,0.3575208078431372,0.01835582128763156,0.346309,0.349824,0.360179,255,11.596355,13.054446,12.091432098039215,0.2576020143740549,11.904676,12.118309,12.24406,255,0.286703,0.361784,0.3004216039215686,0.015765290643141652,0.2900625,0.291458,0.305209,255,0.139894,0.213069,0.144987031372549,0.009290078064162403,0.141216,0.141681,0.14266,255,3.572727,4.019438,3.6726929294117645,0.052209418730262455,3.641262,3.66634,3.7034755,255,3.572727,4.019438,3.6726929294117645,0.052209418730262455,3.641262,3.66634,3.7034755,255,0.022648,0.034908,0.023876741176470588,0.001368963304507762,0.023325,0.023635,0.02401,255,0.047359,0.105554,0.05000518431372549,0.004560676486773519,0.048839,0.049296,0.050002,255,39.776828,54.266915,47.22967283529412,1.9637589600366654,47.3922595,47.725504,48.0283835,255,27.184996,41.633358,34.61436793333333,2.0148329792267656,35.0332675,35.220542,35.32047,255,0.020622,0.043786,0.02228109411764706,0.002037395825068024,0.021556,0.0219,0.0222435,255,21.762757,28.252951,22.012740741176472,0.7736238901611824,21.8607235,21.8881,21.9211015,255,4.930184,13.636948,12.1611534,1.8058387728406131,12.717964,12.898203,12.983749,255,0.390754,0.523293,0.41537467843137255,0.018478562197444606,0.404103,0.410123,0.420465,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.978379,14.201652,9.427044846723646,0.3210627394069445,9.1676765,9.397344,9.588987,1755,8.684436,13.832012,9.111512197150997,0.3151258136259636,8.8615945,9.090887,9.272899,1755,0.005063,0.616881,0.17861950541310542,0.1736788726755737,0.029456,0.130112,0.28616925,10530,0.006021,0.334746,0.08522904805318138,0.0823349571739804,0.01509725,0.0641665,0.1475145,10530,0.035179,5.619509,1.178896264197531,1.2121837250637324,0.08998625,0.8830625,1.7678525,10530,0.035179,5.619509,1.178896264197531,1.2121837250637324,0.08998625,0.8830625,1.7678525,10530,0.099579,0.207057,0.11574205071225072,0.012731068089654188,0.1063485,0.114168,0.122196,1755,0.120236,0.206827,0.13255384444444443,0.010638442551397842,0.125752,0.131069,0.134918,1755,23.817136,41.128079,30.82708741880342,3.713005391738076,28.3297545,30.316297,32.553481,1755,14.234115,30.932815,20.886351134472932,3.6604439236080877,18.49527,20.367584,22.657719,1755,0.074047,0.161643,0.08447938632478631,0.008349821980396613,0.0800735,0.082424,0.0867875,1755,13.426662,29.733222,20.04762377037037,3.5665796831616317,17.689296,19.548587,21.816604,1755,0.100714,0.653147,0.2576226700854701,0.10561203958437457,0.199058,0.232385,0.2834825,1755,0.429699,0.647088,0.49433592193732195,0.030020384063458496,0.4734285,0.489131,0.510498,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035274,1.778745,0.108163179,0.1195826343548885,0.054507,0.0930425,0.12497225,1000,0.124365,0.335949,0.14372928299999999,0.018766108124619523,0.13094125,0.136181,0.15547,1000,0.001854,0.157894,0.00261781,0.0026925728290800232,0.002032,0.002165,0.002972,4000,0.003975,0.028095,0.005173575,0.0016945637641809174,0.004323,0.004499,0.005704,4000,0.000343,0.022034,0.00074330325,0.0007790512263577008,0.000456,0.000512,0.00091925,4000,0.000343,0.022034,0.00074330325,0.0007790512263577008,0.000456,0.000512,0.00091925,4000,0.020133,0.072242,0.022910548,0.004174280071065667,0.020574,0.020952,0.0244085,1000,0.025217,0.074877,0.027922281,0.00428994086090228,0.025886,0.0262575,0.0290395,1000,0.419794,2.38162,0.524977779,0.14726913845104192,0.45465275,0.4865435,0.5782475,1000,0.087533,0.182494,0.102693465,0.016277407133839683,0.09042275,0.094245,0.11391075,1000,0.02522,0.067096,0.029342503,0.005451415366855749,0.026019,0.026745,0.031716,1000,0.039763,0.104243,0.046816027,0.008969971454150285,0.040595,0.042965,0.05251075,1000,0.005276,0.039537,0.006650369,0.0023900205979947124,0.00554075,0.0057325,0.00707275,1000,0.016221,0.058065,0.019353113,0.003684087303557151,0.016937,0.0176025,0.02085925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.048197,1.78542,0.109058775,0.12437687159983714,0.054406,0.094145,0.12559,1000,0.124546,0.258122,0.142304403,0.01714851959291504,0.128889,0.134245,0.15265525,1000,0.001831,0.022081,0.0025190545000000003,0.0010845862344828789,0.00199,0.002115,0.002971,4000,0.003957,0.025807,0.0052166045,0.0017449560351423612,0.00426875,0.0044935,0.00573425,4000,0.000346,0.021531,0.00072423275,0.0008000821352070282,0.000441,0.000494,0.000884,4000,0.000346,0.021531,0.00072423275,0.0008000821352070282,0.000441,0.000494,0.000884,4000,0.019911,0.06162,0.022970402999999997,0.004334756043953455,0.02048275,0.0207725,0.02456975,1000,0.025364,0.06254,0.027902569,0.0036346744461146717,0.02598675,0.0263575,0.02923575,1000,0.419754,2.448947,0.526343448,0.15455990203805545,0.45375075,0.485829,0.576129,1000,0.087077,0.239929,0.103265826,0.017168745060886774,0.0905325,0.0949735,0.11401075,1000,0.024663,0.087279,0.029790469,0.006251439730577189,0.02613575,0.0272255,0.0321435,1000,0.03958,0.136243,0.046991501,0.009419526049860419,0.04058,0.043292,0.05248425,1000,0.005309,0.026965,0.006639605,0.0017273366889448626,0.00561175,0.0059935,0.00703825,1000,0.016137,0.053563,0.019293286,0.0038108337374128513,0.01691675,0.017438,0.02075525,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037141,1.729411,0.07984733100000001,0.1167925431589339,0.052536,0.067375,0.0793175,1000,0.124576,0.279267,0.13785070600000002,0.014940642276674857,0.12944675,0.132591,0.13991125,1000,0.001803,0.019532,0.00238367775,0.0008971423256122395,0.001992,0.002075,0.002857,4000,0.003964,0.02516,0.00489118375,0.0014827042181385797,0.004209,0.0043485,0.005593,4000,0.00034,0.022415,0.0007398545,0.0008156340247499181,0.00045,0.000503,0.00095225,4000,0.00034,0.022415,0.0007398545,0.0008156340247499181,0.00045,0.000503,0.00095225,4000,0.019854,0.055458,0.021476781,0.0034949692437901366,0.020406,0.0206345,0.02092725,1000,0.025404,0.070673,0.027052246,0.004336041988436459,0.025846,0.026066,0.026309,1000,0.438105,2.364202,0.503458481,0.13996785002345946,0.46693925,0.485857,0.507237,1000,0.099348,0.235459,0.123079038,0.017292911360165933,0.11029,0.120728,0.12818775,1000,0.024998,0.080697,0.02786233,0.005470764820123417,0.025994,0.0263985,0.02684325,1000,0.044759,0.143377,0.048892150999999995,0.008845031240883153,0.04558525,0.0460885,0.047259,1000,0.008835,0.078354,0.027375837,0.009869958723035827,0.019131,0.0286065,0.03290175,1000,0.016509,0.050152,0.018414864000000003,0.003812475720775675,0.01694975,0.0171355,0.01764025,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039822,1.443456,0.084042448,0.09673686964536993,0.074735,0.0756895,0.0780965,1000,0.039699,0.105522,0.05299214,0.008921871918291588,0.0505555,0.051131,0.0520635,1000,0.002827,0.022516,0.00423101,0.00178227116228143,0.00399775,0.0040615,0.00414025,1000,0.005564,0.025016,0.0076485270000000005,0.002123647470572976,0.007275,0.0073925,0.00751625,1000,0.000747,0.01023,0.00102152,0.0005865159994407655,0.000916,0.00096,0.000996,1000,0.000747,0.01023,0.00102152,0.0005865159994407655,0.000916,0.00096,0.000996,1000,0.00603,0.037087,0.009284877,0.0023402184760981186,0.0090175,0.0092385,0.00937,1000,0.009902,0.04246,0.012591973,0.0025901151986487013,0.01219675,0.012313,0.01243525,1000,0.139694,1.718649,0.241963862,0.10719215882186046,0.23045025,0.233282,0.250735,1000,0.011828,0.115186,0.038152394,0.010741211008483353,0.03836575,0.0388135,0.040918,1000,0.0019,0.01323,0.00297064,0.0009210621099578465,0.00284,0.002912,0.002994,1000,0.006744,0.04673,0.016710822,0.004757632893185013,0.016516,0.016671,0.016858,1000,0.001571,0.086883,0.016282466,0.006767841719547229,0.0170755,0.017381,0.0176085,1000,0.000962,0.018653,0.0013964090000000001,0.0008646966079030265,0.001256,0.00129,0.001329,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040222,1.468219,0.100042359,0.09811651433082057,0.07648575,0.103918,0.106312,1000,0.040088,0.128194,0.053075495,0.008202403987732804,0.0508495,0.0516425,0.052511,1000,0.002761,0.025426,0.004183703,0.001564011007886773,0.004029,0.0041125,0.00418825,1000,0.005691,0.023938,0.007671479,0.0018292795312797332,0.007412,0.007517,0.007609,1000,0.000701,0.013355,0.001056164,0.0007923531176842808,0.00093175,0.000967,0.00100625,1000,0.000701,0.013355,0.001056164,0.0007923531176842808,0.00093175,0.000967,0.00100625,1000,0.006079,0.087019,0.00939099,0.003342034785261817,0.00904975,0.009195,0.00937125,1000,0.009859,0.030661,0.012767689,0.0024154208362682887,0.012204,0.0124095,0.01270725,1000,0.140756,1.703684,0.248796582,0.10854197206558058,0.2219555,0.2516115,0.25794225,1000,0.011868,0.077716,0.028464338999999998,0.007361355210155192,0.025738,0.0293975,0.0304235,1000,0.001937,0.018742,0.0030864079999999997,0.001326747488234291,0.00287975,0.0029805,0.00307325,1000,0.006813,0.044389,0.01576651,0.004263520769493213,0.0150485,0.0157435,0.016179,1000,0.001619,0.029211,0.0074809080000000005,0.0031481295639690563,0.0058515,0.0088545,0.00917425,1000,0.000986,0.015616,0.0013609949999999998,0.0006795107997486132,0.001206,0.001279,0.001349,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008511,0.149519,0.010343982,0.009064966742447323,0.0088925,0.009108,0.00942025,1000,1.108234,1.309083,1.1394037620000002,0.024381954659324502,1.1193195,1.1357435,1.15048525,1000,0.066855,0.107613,0.069032496,0.0058169263087978,0.0673645,0.067685,0.067838,1000,0.037616,0.076301,0.039048021,0.004220405343632173,0.03803,0.0382255,0.03847025,1000,0.000662,0.013212,0.0008753099999999999,0.0005513218278827713,0.00079775,0.000831,0.000863,1000,0.994438,1.156267,1.022196709,0.021518116260265886,1.00311,1.019073,1.03233075,1000,0.002693,0.019816,0.0030712649999999997,0.0008067414088634599,0.00286475,0.0029255,0.003021,1000,0.008024,0.025551,0.008678268,0.0016386327386501223,0.008294,0.008408,0.008531,1000,1.140716,1.522526,1.17551192,0.03135699557042415,1.15474975,1.170137,1.18617775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000265,0.000832,0.000340418,5.7583810884657503e-05,0.000307,0.000328,0.00036025,1000,2.500864,5.153224,2.585252608,0.20043792153435522,2.54043475,2.554848,2.581787,1000,0.051191,0.110973,0.054658749000000006,0.005751390217851594,0.0526135,0.052935,0.053849,1000,0.042744,0.090443,0.04585115,0.004734064055914326,0.04433175,0.0446745,0.04521625,1000,0.689342,2.172142,0.72506989,0.10258539171320592,0.698036,0.7150875,0.73337725,1000,1.696389,2.849011,1.752106464,0.11407914501748646,1.72121675,1.733103,1.75127875,1000,0.001139,0.012138,0.001339738,0.0005040283775304721,0.001253,0.0012985,0.00135325,1000,0.005947,0.022151,0.006584602,0.0011341217789972997,0.00626175,0.0063895,0.006595,1000,2.51696,5.213688,2.603261367,0.20300319170422493,2.55792725,2.573478,2.5995795,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000265,0.000827,0.000325048,4.5842444262931706e-05,0.000305,0.000319,0.000334,1000,2.620298,5.21121,2.699389216,0.1942793917478623,2.64892225,2.6695035,2.695379,1000,0.05231,0.098711,0.054444231,0.004629079996245367,0.05267775,0.0530985,0.05416825,1000,0.043863,0.09484,0.045901040000000004,0.005421279235973739,0.044321,0.044565,0.044871,1000,0.689065,2.087401,0.7155631090000001,0.09170220077686858,0.695665,0.702503,0.71813525,1000,1.821552,2.99996,1.8759806669999999,0.1172504506661962,1.83525275,1.8530155,1.87746675,1000,0.001146,0.010368,0.001313019,0.00030692776452937587,0.001248,0.001286,0.001332,1000,0.005981,0.025271,0.006589267,0.0010265510536310407,0.006302,0.006449,0.00661925,1000,2.637206,5.264469,2.717461859,0.19717491333153697,2.66657225,2.687161,2.713314,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.96,0.8979977728257458,0.0,1.2,1.2,5
