SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.342088,0.555169,0.35935157647058824,0.019460035298948176,0.34751,0.354267,0.364403,255,11.868186,13.577113,12.339222639215686,0.23779213100314095,12.1998935,12.336127,12.526673,255,0.284698,0.481105,0.29936117647058824,0.01857359483942336,0.2873255,0.295468,0.303935,255,0.135613,0.216057,0.147323,0.016251092606887917,0.137372,0.139349,0.147762,255,3.560936,4.243653,3.676182988235294,0.06686021852477192,3.631321,3.671135,3.706748,255,3.560936,4.243653,3.676182988235294,0.06686021852477192,3.631321,3.671135,3.706748,255,0.022625,0.044949,0.024657870588235296,0.0027596709513496684,0.0233595,0.023732,0.0249305,255,0.04652,0.078357,0.05013054901960785,0.004135473381698198,0.0483255,0.048884,0.050824,255,40.010491,54.463629,47.46596448627451,1.9356204713044196,47.5937045,47.952001,48.274292,255,27.168416,41.458238,34.596104764705885,1.9889322401821337,35.002105,35.153206,35.31929,255,0.020625,0.045134,0.022403854901960785,0.002994151504170581,0.021477,0.021819,0.022206,255,21.729233,28.092985,22.018560439215687,0.7897576570076612,21.841421,21.873764,21.9155145,255,4.906669,15.078906,12.140237384313725,1.8126694080524255,12.705755,12.818983,12.974911,255,0.396158,0.495831,0.4122706509803922,0.015616589375572509,0.403011,0.406896,0.4150665,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.999321,14.178233,9.348255853561254,0.2830172017027366,9.139595,9.287384,9.5007905,1755,8.694959,13.82939,9.039636956125356,0.2788891360905211,8.8356485,8.980715,9.1879725,1755,0.005013,0.655533,0.17575396324786324,0.17122702513952776,0.02958325,0.1727865,0.28321675,10530,0.006092,0.298875,0.07798877065527066,0.07460416505710599,0.014404,0.061862,0.1089875,10530,0.035302,5.615705,1.1600290106362772,1.1918075325538122,0.08649275,0.884475,1.74200925,10530,0.035302,5.615705,1.1600290106362772,1.1918075325538122,0.08649275,0.884475,1.74200925,10530,0.09823,0.226321,0.11126434586894586,0.01272382614853537,0.1031315,0.105961,0.1179395,1755,0.119027,0.214684,0.13048633447293448,0.011546375085505985,0.123827,0.126603,0.132477,1755,24.119955,41.721966,30.874205343589743,3.644024270406532,28.488921,30.338657,32.578069,1755,14.491009,31.304238,21.02591066837607,3.6314257982322493,18.66171,20.450874,22.8389885,1755,0.071892,0.150199,0.08300220911680911,0.009061317902934239,0.0784525,0.080698,0.0839995,1755,13.691111,30.495923,20.190027802279204,3.5428052209945577,17.883906,19.635827,22.0004135,1755,0.100706,0.654105,0.25425717606837606,0.10281298062426711,0.19761,0.228111,0.280573,1755,0.43888,0.626863,0.4963787606837607,0.0284468809246966,0.4769615,0.492003,0.5124705,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.043072,1.83457,0.110515577,0.12545672732955404,0.0573025,0.0966755,0.12632375,1000,0.125442,0.236577,0.14601650700000002,0.018179862714771833,0.13205425,0.1379465,0.15822375,1000,0.001826,0.032238,0.0026232984999999998,0.0013020472014860867,0.00204,0.00217,0.00301825,4000,0.004023,0.032969,0.00531493775,0.0019625121513954856,0.00439,0.0046465,0.00581625,4000,0.00032,0.014995,0.0007751745,0.0008118691612875502,0.000481,0.000564,0.00091225,4000,0.00032,0.014995,0.0007751745,0.0008118691612875502,0.000481,0.000564,0.00091225,4000,0.020049,0.058511,0.022993701000000002,0.004126999540537774,0.02056575,0.02084,0.024639,1000,0.025277,0.073868,0.028265321,0.005081422360319893,0.025912,0.0263315,0.02916975,1000,0.420633,2.476171,0.531244579,0.15416570035064142,0.45653675,0.493291,0.58371625,1000,0.08752,0.200947,0.103306371,0.01720951017679931,0.09016625,0.0944565,0.11340725,1000,0.025177,0.078308,0.029608898,0.006430197091815771,0.026009,0.0267445,0.0315265,1000,0.039833,0.122933,0.047280349,0.009939951086760889,0.04063575,0.043194,0.052454,1000,0.005354,0.025124,0.006636283999999999,0.002048504169716039,0.0056,0.0057305,0.007074,1000,0.016085,0.054777,0.019202791,0.004109114961073613,0.01667975,0.017397,0.02058125,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.036192,1.783665,0.10850510000000001,0.12432739162516841,0.05314525,0.0948635,0.12536325,1000,0.12419,0.268249,0.143525116,0.017593395758310672,0.1300685,0.135777,0.15456325,1000,0.001841,0.023975,0.0025697725,0.0011475719795480152,0.00204,0.0021685,0.003038,4000,0.004006,0.02457,0.005263538999999999,0.001665754343677062,0.004305,0.0045875,0.005797,4000,0.000323,0.015551,0.0007384625,0.000815530927735883,0.000451,0.000512,0.00088325,4000,0.000323,0.015551,0.0007384625,0.000815530927735883,0.000451,0.000512,0.00088325,4000,0.020054,0.059278,0.022968379,0.00415866650975514,0.02048275,0.0207865,0.02466425,1000,0.025039,0.070403,0.028337122,0.005398328062198147,0.02589975,0.0263545,0.02933375,1000,0.41868,2.395067,0.5271944270000001,0.15341315541172687,0.45326275,0.487683,0.5820055,1000,0.087393,0.212919,0.10367519,0.01698449391356422,0.09045775,0.0956275,0.11530175,1000,0.024862,0.07199,0.029591101999999998,0.005760928850419523,0.026084,0.0269975,0.0321605,1000,0.039518,0.123258,0.047457462,0.009999853281551485,0.04058525,0.0436115,0.052813,1000,0.005412,0.027763,0.006781121,0.002146487571908815,0.00562975,0.0060285,0.0071215,1000,0.016217,0.054264,0.019298549999999998,0.004013911311862782,0.016829,0.0174535,0.02077375,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.036859,1.887036,0.07927572599999999,0.12029302226999256,0.0529475,0.067087,0.07783925,1000,0.125493,0.263321,0.13666621599999998,0.013511400117358081,0.12882375,0.132663,0.1383005,1000,0.001835,0.029168,0.002450296,0.0012882495254740054,0.001982,0.00207,0.002935,4000,0.004052,0.023338,0.0049951275,0.0014965040760865807,0.00429,0.0044455,0.00568025,4000,0.00036,0.021787,0.0007490772500000001,0.0008045488936555922,0.000462,0.000523,0.000926,4000,0.00036,0.021787,0.0007490772500000001,0.0008045488936555922,0.000462,0.000523,0.000926,4000,0.020043,0.057597,0.021658592,0.003490914397623637,0.020586,0.0207985,0.021069,1000,0.025413,0.057777,0.026999794,0.0038156843584819748,0.025902,0.0260865,0.02632925,1000,0.436532,2.552252,0.500833559,0.14242752512483858,0.4638675,0.483908,0.50353325,1000,0.098731,0.239983,0.122939399,0.016644488826569562,0.1112765,0.121257,0.12799575,1000,0.024931,0.057611,0.027278880000000002,0.0038881607278506377,0.02587975,0.0262855,0.0268105,1000,0.044773,0.1363,0.048432005,0.007895601719373577,0.045579,0.0460495,0.0471215,1000,0.008844,0.074269,0.028293072,0.010287212785337728,0.0196245,0.029377,0.03373425,1000,0.016359,0.047588,0.018388368999999998,0.0034463515535764775,0.01689575,0.0171775,0.0178675,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040033,1.433019,0.083671829,0.09687154470163961,0.074645,0.075482,0.07813475,1000,0.039911,0.113343,0.053462575,0.008970926779233848,0.0510365,0.0515215,0.052514,1000,0.002851,0.020993,0.004207018,0.001501475035315606,0.004012,0.004089,0.004161,1000,0.005712,0.024339,0.007691705,0.001933355574635716,0.007373,0.007489,0.007594,1000,0.000717,0.011206,0.001033031,0.0006232012853316335,0.000934,0.000968,0.001,1000,0.000717,0.011206,0.001033031,0.0006232012853316335,0.000934,0.000968,0.001,1000,0.006029,0.038721,0.009422404,0.0023334829201826185,0.00915175,0.009289,0.00943925,1000,0.00972,0.038743,0.012706186,0.002620930677718127,0.012275,0.0123975,0.012528,1000,0.140303,1.69037,0.242890012,0.10724336735524417,0.230831,0.2335265,0.251646,1000,0.012011,0.124306,0.038712875,0.011879962053111743,0.03832675,0.0387155,0.041565,1000,0.001953,0.020536,0.003083172,0.0012200096689846355,0.002888,0.002972,0.003046,1000,0.006779,0.062716,0.01705715,0.005393388841674592,0.01660775,0.016774,0.01701125,1000,0.001566,0.095284,0.01634211,0.0072225930005711935,0.01690875,0.017157,0.017345,1000,0.000922,0.011518,0.00142904,0.0009199517609092337,0.00123,0.001287,0.00134625,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039527,1.509541,0.099337568,0.09827774094704952,0.07552025,0.1031685,0.10483075,1000,0.03992,0.145176,0.053447127999999997,0.009826539976493048,0.050624,0.051398,0.05267475,1000,0.002833,0.02771,0.00421875,0.0016901867800630794,0.004024,0.004092,0.00416825,1000,0.005746,0.033847,0.007838289,0.0025219295147721715,0.007363,0.007475,0.0076445,1000,0.000719,0.015399,0.001029077,0.0008049541931507657,0.00089975,0.000939,0.000978,1000,0.000719,0.015399,0.001029077,0.0008049541931507657,0.00089975,0.000939,0.000978,1000,0.006026,0.036672,0.009478049,0.0023975657723197086,0.00913175,0.0092955,0.009592,1000,0.009866,0.042562,0.012625942999999999,0.002785196936977886,0.01206175,0.012241,0.01240625,1000,0.138621,1.744844,0.247874463,0.10867428752720963,0.220376,0.2488815,0.25971375,1000,0.012001,0.073562,0.028390806,0.0075701167139195415,0.0255185,0.0293565,0.03005725,1000,0.001973,0.017939,0.0030353719999999997,0.0012063440079910872,0.002851,0.0029085,0.00298,1000,0.006858,0.045442,0.015752725,0.004545711704384145,0.0150115,0.0156945,0.0160815,1000,0.001603,0.026517,0.007456545,0.0031157654882829357,0.0058385,0.0089095,0.00913425,1000,0.000962,0.014112,0.001379362,0.0009330050037143424,0.001179,0.00125,0.001313,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008432,0.145469,0.010014556,0.008776062529452715,0.008705,0.0088355,0.0091585,1000,1.097928,1.274405,1.1313213899999999,0.027178284431470284,1.1088395,1.1298345,1.141544,1000,0.066951,0.137691,0.069266269,0.006331904976437897,0.06736875,0.0675925,0.06781325,1000,0.037207,0.073592,0.038953717,0.004923754983639113,0.03755775,0.0377745,0.038035,1000,0.000676,0.011661,0.000961998,0.0007372940376783199,0.00079,0.000829,0.00087,1000,0.98249,1.146011,1.014416354,0.023612048402217967,0.994672,1.0147255,1.025026,1000,0.002635,0.020206,0.002992344,0.0009140694085593281,0.002842,0.0029025,0.00297,1000,0.007978,0.028448,0.0086199,0.0017457918472716042,0.008227,0.0083155,0.008441,1000,1.130058,1.467519,1.166855833,0.0331852610447637,1.14289175,1.164527,1.1766085,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000277,0.017454,0.00038651299999999995,0.0007030163595756503,0.000326,0.0003405,0.000358,1000,2.503152,5.156637,2.5962827859999997,0.2025229415366126,2.5404525,2.5726555,2.60496125,1000,0.051944,0.095359,0.053783117,0.005147190276579155,0.052286,0.052478,0.05288025,1000,0.044022,0.081011,0.045588584,0.004391174228944235,0.04445575,0.044669,0.04485925,1000,0.688318,2.17048,0.7159214939999999,0.10289849368969385,0.69404175,0.69784,0.723189,1000,1.70461,2.899016,1.773440337,0.11705396713868108,1.7318115,1.755133,1.785309,1000,0.00111,0.011376,0.001311701,0.0005336706171403855,0.001225,0.001258,0.00131,1000,0.005957,0.0278,0.006664192,0.001819443264610359,0.00625375,0.0063685,0.006514,1000,2.521392,5.207745,2.6144087689999997,0.2050393317055136,2.55745825,2.590428,2.62303425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000276,0.000851,0.000345233,5.180182150272324e-05,0.000318,0.000338,0.000359,1000,2.61275,5.079443,2.6861636609999997,0.1934301857585834,2.62462425,2.653339,2.69270775,1000,0.051852,0.09804,0.053657947,0.004108965180698298,0.05247875,0.052786,0.0531815,1000,0.043758,0.078524,0.045300127,0.003966348430845556,0.04420075,0.044427,0.04466075,1000,0.688105,2.000057,0.710779751,0.09104343298386214,0.69327025,0.695525,0.7155445,1000,1.816149,2.947404,1.8689046950000001,0.11716987971958483,1.82367625,1.8432175,1.87787175,1000,0.001095,0.010381,0.00137529,0.0004396489007151046,0.00124675,0.0013105,0.001423,1000,0.005937,0.026572,0.006611805,0.0012045058733667511,0.006265,0.006444,0.00665925,1000,2.628394,5.127984,2.704397122,0.19618047652179643,2.64274375,2.6711995,2.71109175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
