SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.328752,0.394662,0.34315146274509806,0.012006743525365493,0.3358135,0.340401,0.3463675,255,11.819385,13.898772,12.337931949019607,0.2749827599698509,12.2006055,12.366719,12.4654855,255,0.283396,0.409813,0.2965492745098039,0.017356141902178778,0.2870005,0.289915,0.297726,255,0.136214,0.217709,0.1452508392156863,0.014072811170648764,0.1378395,0.139044,0.144676,255,3.841885,4.394651,3.9894823254901963,0.0886355515935346,3.9275065,3.992763,4.0525585,255,3.841885,4.394651,3.9894823254901963,0.0886355515935346,3.9275065,3.992763,4.0525585,255,0.025394,0.036574,0.027397678431372547,0.001682651877166181,0.026444,0.026931,0.0274455,255,0.052292,0.077901,0.05466181960784314,0.0022132223546196352,0.0537005,0.05405,0.0546965,255,39.966424,56.666178,47.49698709411765,2.241429174075816,47.5693865,47.890584,48.097637,255,27.126299,42.755473,34.629324082352944,2.2127355207467283,34.990765,35.11176,35.211979,255,0.020546,0.03149,0.022151549019607843,0.0015194740100458845,0.0214115,0.021795,0.02243,255,21.761147,28.611732,22.115351776470586,1.1067672504634714,21.86912,21.896504,21.932628,255,4.845551,14.214532,12.070971768627452,1.7883866418539074,12.686823,12.775829,12.84285,255,0.399197,0.569229,0.41887846274509805,0.022139523288117174,0.4074605,0.412092,0.419898,255,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
SofaScene,12.250064,39.833524,13.26740954188034,1.0070053361825355,12.9791595,13.131975,13.3054495,1755,11.937325,39.324142,12.937744704273506,0.9927565281343212,12.660021,12.800055,12.9789935,1755,0.00901,2.177851,0.2644071212725546,0.23464864859875792,0.05452775,0.2919925,0.4287385,10530,0.00961,1.691711,0.10263637511870846,0.08252656239672956,0.0273105,0.1077105,0.166992,10530,0.072455,19.772417,1.8476605721747388,1.8958341147193465,0.16932225,1.217345,2.6465705,10530,0.072455,19.772417,1.8476605721747388,1.8958341147193465,0.16932225,1.217345,2.6465705,10530,0.093415,0.497421,0.11548984615384615,0.019080931773291763,0.1056715,0.11365,0.117056,1755,0.130738,0.549169,0.1485662712250712,0.01871026959276988,0.139358,0.143842,0.1468915,1755,23.980892,66.444755,29.15110469230769,2.9130856710112267,27.346441,28.942757,30.712071,1755,10.430942,52.28507,15.26710652934473,2.626737674770351,13.55099,15.056147,16.865047,1755,0.074411,0.203806,0.08623636467236467,0.0114131066698729,0.080572,0.083298,0.085808,1755,9.541958,51.026931,14.382347065527064,2.537906010941266,12.749436,14.132014,15.9748385,1755,0.104503,1.174468,0.2753054495726496,0.11266007887999585,0.2104715,0.247843,0.305891,1755,0.444878,1.531996,0.52100869002849,0.04541170461767984,0.4970605,0.518045,0.5383845,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.025605,1.723293,0.094169147,0.12110074495531971,0.04377475,0.080181,0.109858,1000,0.194403,0.408927,0.216577107,0.022199993355349255,0.2006895,0.205985,0.23185475,1000,0.0021,0.022255,0.0027769335000000003,0.0009312513702420791,0.002293,0.002398,0.00309125,4000,0.004232,0.021568,0.00532499875,0.0011955821723112292,0.004538,0.004725,0.005993,4000,0.014933,0.059483,0.01765343575,0.0027827380900602083,0.01566,0.0165375,0.0188985,4000,0.014933,0.059483,0.01765343575,0.0027827380900602083,0.01566,0.0165375,0.0188985,4000,0.02069,0.048742,0.023089442999999998,0.003044936751847401,0.02112575,0.021354,0.02488925,1000,0.025711,0.059502,0.028129727,0.003010983744637457,0.026323,0.0267225,0.02965025,1000,0.49157,2.450023,0.597056323,0.15354479266864335,0.515764,0.558809,0.654878,1000,0.091692,0.205922,0.106357832,0.01574929751956499,0.09502575,0.0988625,0.11725475,1000,0.026004,0.058696,0.029762432000000002,0.004315246578977382,0.026844,0.0276335,0.032338,1000,0.041439,0.117557,0.048657145,0.009030414845951155,0.0426195,0.0451795,0.0535845,1000,0.006343,0.022282,0.007745216,0.0018718240161254476,0.006595,0.006796,0.008301,1000,0.016779,0.044924,0.019657744999999997,0.003094405841833776,0.01754925,0.0181915,0.02123125,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034906,1.680729,0.094253035,0.11715939281395145,0.0428055,0.0813005,0.1106365,1000,0.193718,0.389075,0.216541723,0.022019637475087343,0.20019425,0.2061125,0.233355,1000,0.002091,0.021164,0.00275908225,0.0008733564747483913,0.002273,0.002382,0.003086,4000,0.004274,0.040338,0.00539042775,0.0014618416072816978,0.004563,0.0047445,0.006006,4000,0.01494,0.071737,0.017660272499999997,0.0029397829953491036,0.015757,0.016437,0.018834,4000,0.01494,0.071737,0.017660272499999997,0.0029397829953491036,0.015757,0.016437,0.018834,4000,0.020549,0.053431,0.023510348,0.003889935756654087,0.0211065,0.021419,0.0253065,1000,0.025415,0.058521,0.028104888999999997,0.003246727341289841,0.02619675,0.026612,0.02946275,1000,0.489541,2.395235,0.596875638,0.151229364540505,0.5085975,0.557363,0.65535475,1000,0.090556,0.205942,0.105768079,0.016366361120321127,0.093968,0.097675,0.1166385,1000,0.025231,0.075189,0.029598595000000002,0.005345691010428399,0.02637675,0.0271755,0.03187125,1000,0.041232,0.114901,0.048328209999999996,0.008858903822702897,0.0421255,0.0443495,0.0538845,1000,0.006088,0.020554,0.00760155,0.0017983393966379095,0.006404,0.006937,0.008178,1000,0.016743,0.051048,0.019689355999999998,0.003294201820360131,0.0174935,0.0181855,0.0212115,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.01252,1.80388,0.066612466,0.11958061719192138,0.042066,0.0536485,0.06635225,1000,0.194581,0.345095,0.206010239,0.014334284622885057,0.198709,0.2018735,0.20636875,1000,0.002044,0.013511,0.00258769875,0.0007661752234302787,0.002249,0.002333,0.002979,4000,0.004265,0.01917,0.0050757675,0.0011274319903851185,0.004485,0.00461,0.005903,4000,0.01493,0.04579,0.01689935875,0.0024397195374772974,0.01543775,0.015996,0.01838025,4000,0.01493,0.04579,0.01689935875,0.0024397195374772974,0.01543775,0.015996,0.01838025,4000,0.020724,0.05628,0.021770723000000002,0.002474855899698203,0.02106,0.0211865,0.02134675,1000,0.025486,0.065594,0.026887575,0.002615212659111109,0.026189,0.0263485,0.02649825,1000,0.504667,2.542123,0.5692531239999999,0.14312014643700804,0.5255625,0.55331,0.57486225,1000,0.103231,0.238556,0.127022643,0.01682611682116676,0.11548025,0.125676,0.13208375,1000,0.025791,0.062719,0.027816019,0.003333631962985566,0.026747,0.0270785,0.027433,1000,0.046566,0.116802,0.050067940000000005,0.007227424855534646,0.04764525,0.048064,0.0489595,1000,0.009313,0.068669,0.029756190999999998,0.010389670814925707,0.02109825,0.031148,0.03602275,1000,0.017139,0.065502,0.018842409,0.003663392290994646,0.0176,0.017801,0.018165,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036787,1.552603,0.080037271,0.10040488522649461,0.07125875,0.072466,0.077371,1000,0.060635,0.149123,0.078649735,0.008013467605273949,0.07778475,0.0785555,0.07945825,1000,0.003048,0.017661,0.004271941,0.0008868868854138052,0.004213,0.0042845,0.004345,1000,0.006144,0.030958,0.008053022,0.001392228317308623,0.00789675,0.008021,0.008226,1000,0.018651,0.058373,0.024949339,0.0030396169900299944,0.024732,0.024983,0.02523225,1000,0.018651,0.058373,0.024949339,0.0030396169900299944,0.024732,0.024983,0.02523225,1000,0.006621,0.040146,0.009700963,0.0016880959604332329,0.00971,0.0098035,0.009923,1000,0.01007,0.025305,0.012233029000000001,0.001212745131575056,0.012159,0.0122475,0.012341,1000,0.163186,1.817182,0.267406173,0.1105425304057089,0.2615065,0.2644215,0.27042075,1000,0.01291,0.084151,0.039288663999999994,0.009920361550624252,0.0402705,0.0407765,0.04157075,1000,0.002164,0.0124,0.003196868,0.0006374545007888798,0.003101,0.00318,0.00326225,1000,0.007236,0.051719,0.017276679,0.004344409203097586,0.01737175,0.017562,0.01779225,1000,0.001963,0.055896,0.016607667,0.006006642899333287,0.0178805,0.018102,0.01825,1000,0.000995,0.011781,0.001456463,0.0006618237035880477,0.00132575,0.001369,0.001415,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036553,1.52409,0.093100693,0.09883947872904203,0.0718465,0.0988125,0.10044975,1000,0.060787,0.144194,0.07848,0.00842571134611197,0.07770175,0.0783125,0.07924,1000,0.002999,0.019261,0.00425242,0.000721742370655901,0.00422,0.004294,0.00436325,1000,0.006122,0.030824,0.007982046,0.0013200310942867975,0.00786075,0.008011,0.00811625,1000,0.018599,0.053501,0.024800615,0.002907988666204702,0.0247,0.024877,0.0250925,1000,0.018599,0.053501,0.024800615,0.002907988666204702,0.0247,0.024877,0.0250925,1000,0.006591,0.02428,0.009754713,0.0016424485345456032,0.009669,0.009798,0.009942,1000,0.009855,0.040356,0.012305164,0.001903655205415098,0.01205775,0.012194,0.012339,1000,0.163089,1.7873,0.270775853,0.10916372521447493,0.24890375,0.279297,0.28353825,1000,0.013048,0.064733,0.029432819,0.006865931015400534,0.02701875,0.0310495,0.0317165,1000,0.002098,0.013125,0.003205386,0.0006491714018685666,0.00311375,0.0031865,0.00326825,1000,0.007225,0.047224,0.016057895,0.004035282331135579,0.01562075,0.016363,0.01666925,1000,0.001966,0.033704,0.008002299,0.0029689320311517744,0.00640775,0.0096105,0.00991225,1000,0.001016,0.007997,0.001416259,0.0005380478137851692,0.001281,0.0013425,0.001398,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006031,0.13615,0.007771442,0.009296045523696407,0.006379,0.006503,0.00689725,1000,1.120798,1.304286,1.153232221,0.031738433605743036,1.1300515,1.139502,1.166949,1000,0.067216,0.125763,0.069342874,0.004582843550692518,0.067622,0.0679045,0.0698885,1000,0.03763,0.07875,0.039300309,0.002957388227730509,0.038179,0.0384075,0.03925325,1000,0.015123,0.034748,0.016019121,0.001587103595345622,0.01551,0.015681,0.01591725,1000,0.991887,1.160192,1.020410863,0.028819840653553776,1.0006805,1.0053845,1.03185175,1000,0.002863,0.015,0.003221708,0.0007280876655568339,0.00300375,0.0030615,0.003131,1000,0.010906,0.031604,0.011460539,0.0012975325832051386,0.011131,0.011219,0.01134625,1000,1.156482,1.475149,1.191729447,0.036506027119356486,1.1673055,1.178425,1.204532,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000296,0.000898,0.000381074,5.846491703577454e-05,0.000345,0.000367,0.0004,1000,2.508956,4.994886,2.567390595,0.18627040487117907,2.517896,2.5333795,2.56865525,1000,0.051787,0.105101,0.054241581,0.004261516585845819,0.05222775,0.0524805,0.05618125,1000,0.044574,0.084442,0.045705618,0.0027302408344459287,0.0448625,0.0450125,0.045322,1000,0.690023,2.055483,0.7076952519999999,0.09395454493104895,0.694863,0.696596,0.69952925,1000,1.709684,2.786752,1.7525235,0.10803867784577892,1.71680325,1.7246585,1.7552695,1000,0.001255,0.011104,0.001434855,0.0004347740562349598,0.00135275,0.00139,0.001447,1000,0.011904,0.043208,0.012556889,0.0014394607075842673,0.012248,0.0123535,0.012486,1000,2.532707,5.056951,2.593332765,0.18848720526228238,2.5432545,2.5592755,2.59466125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000303,0.000903,0.000356724,5.237447683748259e-05,0.000333,0.000346,0.00036125,1000,2.604603,5.495481,2.68377014,0.1938661921455941,2.61873575,2.650499,2.690672,1000,0.050937,0.115447,0.054136050000000005,0.005877289657954591,0.05225225,0.0525345,0.05327925,1000,0.043244,0.091607,0.046011058,0.0036368929484707135,0.04496275,0.0451385,0.045558,1000,0.689047,2.036345,0.710804448,0.08907930533473697,0.69476225,0.6979015,0.70300025,1000,1.80624,3.24976,1.865369475,0.11968313400619728,1.8178045,1.835902,1.88014375,1000,0.00123,0.004387,0.0014262819999999999,0.00023221791161751496,0.001336,0.001388,0.001449,1000,0.011972,0.045187,0.012795514,0.0017486982014641634,0.01229475,0.0124965,0.012793,1000,2.628956,5.599559,2.710137417,0.1971327176191388,2.64396925,2.6757255,2.717154,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
