SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.323395,0.390802,0.34241469019607845,0.010490962487205028,0.3351315,0.34025,0.346003,255,11.858258,13.32908,12.294053266666667,0.23246671017397996,12.154284,12.335375,12.388504,255,0.281954,0.422072,0.2940958980392157,0.016564168423147247,0.285621,0.28804,0.2950435,255,0.136874,0.180084,0.14514954901960783,0.011710252974132767,0.137758,0.138368,0.1457905,255,3.893665,4.317999,3.95388731372549,0.043861047363052436,3.923264,3.946526,3.978321,255,3.893665,4.317999,3.95388731372549,0.043861047363052436,3.923264,3.946526,3.978321,255,0.022128,0.043204,0.023725854901960785,0.001770512064659098,0.0231175,0.023419,0.023824,255,0.052395,0.085226,0.05450493333333333,0.003790393099726929,0.05332,0.053671,0.054134,255,39.991134,53.638378,47.29265556078431,1.8954416779298187,47.6621855,47.883776,48.081181,255,27.139644,40.77796,34.477342125490196,1.9039033595022414,35.036599,35.148327,35.2262655,255,0.020052,0.042177,0.021518423529411763,0.0016811452915233328,0.020872,0.021281,0.0217565,255,21.772638,27.515429,21.971711698039215,0.49614250541112725,21.877989,21.917261,21.9512815,255,4.822911,13.397542,12.067406690196078,1.7987963491756418,12.7039365,12.796818,12.854465,255,0.395714,0.501085,0.4143329019607843,0.017324501403746875,0.4049125,0.409342,0.4155395,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,13.147618,19.284783,13.631297954415954,0.4718866137114587,13.344657,13.554634,13.6897015,1755,12.805364,18.866185,13.286880765811967,0.4644889124537269,13.0107675,13.21432,13.333264,1755,0.00824,0.856598,0.25569307103513766,0.22722495048977356,0.05186975,0.3151915,0.4092545,10530,0.00976,0.686231,0.10511232763532763,0.08427184419301446,0.0269675,0.113989,0.1809575,10530,0.07014,9.572127,1.909477586039886,1.9536870255083691,0.16686975,1.1870115,2.747303,10530,0.07014,9.572127,1.909477586039886,1.9536870255083691,0.16686975,1.1870115,2.747303,10530,0.092911,0.181664,0.10856156467236468,0.014044491922146227,0.0988805,0.101584,0.1155385,1755,0.13064,0.200891,0.1442329185185185,0.013439102143928969,0.135847,0.138051,0.145639,1755,24.161721,38.253094,29.351388294017095,2.403234604265371,27.6278245,29.309406,31.0354105,1755,10.295424,21.674837,15.132124305982906,2.342898241001005,13.5087775,15.057749,16.85645,1755,0.072591,0.158811,0.08656813048433049,0.012583788357497065,0.079775,0.082145,0.0875705,1755,9.4606,20.501163,14.26075387977208,2.258905355342789,12.678764,14.210106,15.9553915,1755,0.103581,0.672969,0.2707207658119658,0.10788524852542113,0.205291,0.245056,0.3017175,1755,0.432163,0.728247,0.5119656381766382,0.030025770965478357,0.4899835,0.510598,0.5312755,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.020666,1.725,0.09438291,0.11962540045270445,0.0431825,0.080402,0.11052175,1000,0.196941,0.358731,0.218873122,0.02146342835138683,0.20322125,0.2086275,0.23486175,1000,0.002079,0.020029,0.00276637825,0.0009451668668425368,0.00225875,0.002381,0.00314,4000,0.004299,0.030494,0.0053925002500000005,0.001389597211784745,0.00458975,0.004783,0.006009,4000,0.015019,0.060976,0.01776194875,0.0028091117851775566,0.015826,0.0166085,0.01892925,4000,0.015019,0.060976,0.01776194875,0.0028091117851775566,0.015826,0.0166085,0.01892925,4000,0.02059,0.047984,0.023426232,0.003340882736370135,0.02120575,0.0216215,0.025194,1000,0.025903,0.064101,0.028006035,0.0027670024148480606,0.02640475,0.026744,0.0290785,1000,0.495449,2.448441,0.600222121,0.15320744155255764,0.518844,0.559772,0.657,1000,0.092375,0.211412,0.10668611,0.016164109897792083,0.0948905,0.098741,0.11770375,1000,0.02578,0.070486,0.029836638,0.005082114534812846,0.0268245,0.02737,0.0321875,1000,0.041526,0.120346,0.04866081,0.009009046269383902,0.0425795,0.0445995,0.053379,1000,0.006299,0.026448,0.00769327,0.0018698860406719977,0.006531,0.0067265,0.008262,1000,0.016987,0.050592,0.019939085999999998,0.003289118451288126,0.017721,0.0183635,0.02158225,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.031553,1.683711,0.094683223,0.12144513283501841,0.043415,0.0796735,0.11017075,1000,0.194607,0.315686,0.21669734899999998,0.01964673791063542,0.201738,0.207595,0.231117,1000,0.002055,0.018564,0.002745377,0.0008366050973254944,0.00224375,0.002352,0.003132,4000,0.00422,0.028665,0.005337611,0.001224744670402366,0.004551,0.0047895,0.005971,4000,0.015017,0.050515,0.0176153675,0.0024566913376416967,0.01581875,0.0165435,0.018875,4000,0.015017,0.050515,0.0176153675,0.0024566913376416967,0.01581875,0.0165435,0.018875,4000,0.020618,0.050974,0.023287829000000003,0.0032516007617416683,0.021115,0.0214165,0.0251245,1000,0.025641,0.039929,0.027827534,0.002269239845596758,0.02627325,0.0266175,0.02909025,1000,0.491091,2.423736,0.595726567,0.15441125409486028,0.51204775,0.5558115,0.6538345,1000,0.091197,0.208389,0.105694177,0.015786899479938138,0.09428575,0.0980675,0.11725725,1000,0.025432,0.057532,0.029238944,0.004384705218696463,0.0262745,0.0270695,0.0319275,1000,0.041345,0.119911,0.048258010999999996,0.008768890840287556,0.042291,0.044366,0.05316875,1000,0.006132,0.029911,0.00768428,0.0017869532740393634,0.006474,0.0070355,0.008313,1000,0.017071,0.068054,0.019951829,0.003806017751634772,0.01762475,0.0180995,0.02138775,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.034636,1.764374,0.065980454,0.11563878407154707,0.04173275,0.0535665,0.06628525,1000,0.196288,0.31549,0.20624182000000002,0.012745793044514729,0.1998975,0.202711,0.20680625,1000,0.00201,0.033779,0.0025754924999999997,0.0009779856649991092,0.002197,0.002277,0.003016,4000,0.004248,0.025004,0.0050304605,0.0011580245057595932,0.004445,0.004589,0.00584325,4000,0.014908,0.059611,0.01695992875,0.00218111151759222,0.015637,0.0162665,0.018315,4000,0.014908,0.059611,0.01695992875,0.00218111151759222,0.015637,0.0162665,0.018315,4000,0.020579,0.04338,0.021639197,0.0018313862673371229,0.021016,0.021157,0.02140325,1000,0.025725,0.052906,0.026738831999999997,0.0018229067265705067,0.0261465,0.0262965,0.026505,1000,0.506736,2.482277,0.5668531019999999,0.13809534750436595,0.52502,0.551874,0.56883525,1000,0.102605,0.239138,0.126029842,0.016500683536418606,0.11479025,0.124735,0.13109425,1000,0.025484,0.06119,0.027534780999999998,0.0032425748184180736,0.026287,0.0267025,0.02747325,1000,0.046417,0.117337,0.049651432999999995,0.007023366287722078,0.04737275,0.0477755,0.0486205,1000,0.009382,0.082012,0.029391688,0.010352694911406208,0.0207535,0.030631,0.0355555,1000,0.01721,0.043109,0.018931278,0.002738772841021321,0.0177425,0.01799,0.0184185,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036338,1.470755,0.078205985,0.09669141343661687,0.071055,0.071752,0.07472775,1000,0.060875,0.146511,0.078477084,0.008297105028197726,0.07777675,0.078196,0.079003,1000,0.003073,0.012795,0.004294246,0.0007370055437267755,0.004226,0.004282,0.00434125,1000,0.006135,0.026034,0.007930443,0.0012934125524174413,0.00777775,0.007868,0.007979,1000,0.018655,0.060727,0.025105172999999998,0.0032334436730939043,0.0249075,0.025087,0.02529625,1000,0.018655,0.060727,0.025105172999999998,0.0032334436730939043,0.0249075,0.025087,0.02529625,1000,0.006504,0.021197,0.009503068,0.0013541662975336522,0.009518,0.009625,0.009736,1000,0.010094,0.042819,0.012295763999999999,0.001741969514171818,0.012111,0.0122075,0.012303,1000,0.162299,1.739185,0.264258285,0.10686023628216333,0.2598515,0.261875,0.26565225,1000,0.01297,0.086915,0.038939438,0.010045666531104643,0.04005175,0.040437,0.04118625,1000,0.002158,0.020103,0.003140192,0.0009669460725066314,0.00298575,0.003043,0.003109,1000,0.007226,0.053269,0.017170139,0.004206918688503381,0.0172645,0.0174,0.0175745,1000,0.00195,0.057163,0.016663423,0.00610183086541007,0.0178525,0.01814,0.01832925,1000,0.001019,0.011603,0.00146971,0.0007051274848564619,0.001315,0.001356,0.0014,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031881,1.51028,0.093471564,0.09792128303020699,0.07210775,0.099057,0.101225,1000,0.060576,0.162084,0.07789599700000001,0.008309659637734328,0.07713975,0.077624,0.07835925,1000,0.003043,0.019512,0.004308332000000001,0.0010388921222995195,0.004191,0.004253,0.00431825,1000,0.006035,0.018499,0.007868818,0.0012270330952651605,0.007772,0.00784,0.00791,1000,0.018464,0.056468,0.024743243999999998,0.002876889115774885,0.024564,0.0247835,0.0250855,1000,0.018464,0.056468,0.024743243999999998,0.002876889115774885,0.024564,0.0247835,0.0250855,1000,0.006566,0.039286,0.009535821,0.0016909711585237047,0.009501,0.0096145,0.00974325,1000,0.010169,0.037547,0.012234917,0.001607824594945294,0.01205075,0.0121645,0.01226725,1000,0.161881,1.805577,0.269010548,0.10834574094747654,0.24746675,0.2774435,0.282343,1000,0.012954,0.065527,0.028870490000000002,0.006418939724588476,0.02686675,0.030849,0.03136975,1000,0.002197,0.011896,0.003135172,0.0006646139995636566,0.003005,0.003087,0.00316125,1000,0.007289,0.046805,0.015977778,0.003820983510919146,0.01562075,0.0163605,0.0166455,1000,0.001904,0.016613,0.007850481,0.0026771182012826776,0.0063665,0.00954,0.00982725,1000,0.00102,0.011478,0.00141971,0.0007198831071083694,0.001241,0.001295,0.001351,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006117,0.145227,0.007765126,0.009136120107251436,0.006426,0.006574,0.00681,1000,1.116207,1.319652,1.152976483,0.04065643448623736,1.12394575,1.1315825,1.17594975,1000,0.066946,0.122673,0.069053426,0.004205618232855189,0.06759475,0.0680155,0.0703145,1000,0.037703,0.078166,0.039473836000000005,0.0034631945834884877,0.038054,0.0383435,0.039858,1000,0.015331,0.045505,0.016217696,0.0019866149142659735,0.0156865,0.015819,0.015975,1000,0.987299,1.190029,1.020164512,0.03796490431598447,0.99378075,1.000779,1.03708625,1000,0.002726,0.011846,0.0030697759999999998,0.0006342484779831955,0.002883,0.002935,0.003001,1000,0.010941,0.022112,0.011516423000000001,0.0009215333027465692,0.01123675,0.01134,0.01151225,1000,1.151378,1.497303,1.191117556,0.04386818327344847,1.16085175,1.169048,1.21521175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000303,0.00291,0.00036119600000000004,9.649430855755173e-05,0.000333,0.000347,0.000368,1000,2.510336,4.912504,2.566666975,0.18106638771316,2.52389425,2.5302635,2.564525,1000,0.052199,0.099335,0.054131478999999996,0.003701581877462526,0.05278425,0.053031,0.05366275,1000,0.044509,0.083848,0.046175968,0.0035562727638605,0.045126,0.0453225,0.04566225,1000,0.691661,2.108916,0.711202531,0.09378812365725757,0.697003,0.6991445,0.704191,1000,1.70987,2.74025,1.747561524,0.1018626055464979,1.71916475,1.722213,1.74750025,1000,0.00122,0.0032,0.0014458140000000001,0.0001484522057902812,0.00136,0.0014165,0.001495,1000,0.011899,0.034173,0.012496192,0.0011674014687056036,0.0122,0.01233,0.01250025,1000,2.534288,4.972373,2.592389721,0.18334157313452168,2.54912375,2.5565735,2.58973775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000319,0.009388,0.000423197,0.0003101522500176325,0.00037,0.000405,0.00042525,1000,2.60567,6.092419,2.683367113,0.20230468239042376,2.62701575,2.6463725,2.67605825,1000,0.05191,0.128622,0.05467267,0.005311057305009992,0.052491,0.053007,0.05614125,1000,0.044588,0.09805,0.046722766000000006,0.00407696825340154,0.045226,0.0454275,0.04724875,1000,0.690553,2.78529,0.7134644960000001,0.10250389940265679,0.69701125,0.7000235,0.7039595,1000,1.80479,3.156132,1.860663639,0.11326248412587761,1.82147475,1.83427,1.8592075,1000,0.001265,0.010182,0.001522367,0.00041459209870787453,0.001395,0.0014545,0.00153825,1000,0.01175,0.036141,0.012518969,0.0014026311404068427,0.01212575,0.0122815,0.01243525,1000,2.630832,6.164566,2.709591571,0.20525855083028566,2.6528325,2.6724605,2.70212,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
