SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.343531,0.740909,0.3604488,0.028739208155669535,0.348713,0.353692,0.362915,255,11.738511,20.458263,12.35214140392157,0.5805536267929743,12.217844,12.336993,12.461653,255,0.285037,0.434438,0.3007289960784314,0.01807961009394296,0.2886905,0.294704,0.3060555,255,0.136913,0.204415,0.1444558,0.012064881102231402,0.138487,0.139782,0.141425,255,3.547473,5.075291,3.6696311098039214,0.12469486846518076,3.604222,3.639683,3.730173,255,3.547473,5.075291,3.6696311098039214,0.12469486846518076,3.604222,3.639683,3.730173,255,0.025083,0.05102,0.027476847058823528,0.002993725066970746,0.0261875,0.026593,0.0271455,255,0.050782,0.135388,0.05341743137254902,0.005869710128978385,0.0519395,0.052442,0.0529825,255,40.055996,65.933742,47.90699330588235,2.975098550530915,47.631005,48.031026,48.2300685,255,27.191675,44.441725,35.01180537254902,2.7578434404177803,35.121316,35.223267,35.3156635,255,0.020576,0.046227,0.022055964705882353,0.0018215154999069825,0.021443,0.021807,0.0222075,255,21.802146,30.188103,22.379399447058823,1.6884094110529357,21.874246,21.912346,21.954406,255,4.881522,15.196599,12.188295823529412,1.8423576190742261,12.761983,12.870003,12.9599345,255,0.398029,0.544671,0.4200232431372549,0.019051349610463293,0.4103125,0.413817,0.42282,255,0.0,3.6,0.96,1.3994284547628721,0.0,0.0,1.2,5
SofaScene,8.636898,18.245563,9.27085258974359,0.9622470769818097,8.862524,9.063441,9.2567095,1755,8.359611,17.919245,8.968602401139602,0.9539491161553727,8.567854,8.770809,8.9500805,1755,0.004802,3.299335,0.17742124311490975,0.17618001847568698,0.028786,0.162073,0.28209275,10530,0.006303,0.379059,0.08476274843304843,0.08172565453100651,0.01534125,0.0785855,0.144393,10530,0.03708,7.288002,1.1980309208926876,1.2515702978054724,0.094806,0.9558065,1.74743825,10530,0.03708,7.288002,1.1980309208926876,1.2515702978054724,0.094806,0.9558065,1.74743825,10530,0.094452,0.268856,0.11488452706552707,0.016941202370025128,0.1018885,0.113908,0.1196385,1755,0.127771,0.235231,0.1436347943019943,0.014923252412143566,0.133826,0.139892,0.1438085,1755,23.985228,63.861696,31.071879705413107,4.266660285004935,28.1618195,30.26203,32.999753,1755,14.446799,49.107421,21.19411224045584,3.938055223694344,18.510445,20.585106,23.114174,1755,0.074341,0.391198,0.08823297834757834,0.014700971634326196,0.0809645,0.084198,0.0894405,1755,13.689991,47.7513,20.315795373219373,3.838615248707557,17.71095,19.729088,22.2076985,1755,0.106595,0.67257,0.27773592535612535,0.11142098654180134,0.210014,0.255147,0.314688,1755,0.426622,1.013169,0.5100375982905984,0.04592870352337169,0.481576,0.502665,0.5297285,1755,0.0,8.4,2.1599999999999997,3.1658174299855006,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.036273,1.679542,0.109612713,0.1201802150141388,0.05267325,0.090787,0.125185,1000,0.191514,0.512888,0.221171824,0.04296864125127794,0.19796275,0.2051495,0.232865,1000,0.001883,0.020621,0.002730161,0.001217507084200745,0.00211575,0.002252,0.003043,4000,0.004142,0.176227,0.00546999425,0.0032840376459043427,0.00442475,0.0046355,0.00589625,4000,0.014321,0.156383,0.01781977625,0.004646946366398685,0.015377,0.0163135,0.018636,4000,0.014321,0.156383,0.01781977625,0.004646946366398685,0.015377,0.0163135,0.018636,4000,0.020329,0.067966,0.023859593000000002,0.005811738344019886,0.020929,0.0211775,0.02526525,1000,0.025478,0.079867,0.029301815999999998,0.006926490233454748,0.02615075,0.0266455,0.029684,1000,0.498803,2.389603,0.623330653,0.185537189972713,0.5286465,0.567049,0.67131725,1000,0.089536,0.296227,0.10826549099999999,0.026095643080099002,0.093044,0.097191,0.11673575,1000,0.025039,0.100772,0.030263352,0.008493970658302041,0.02602575,0.0268235,0.031932,1000,0.040832,0.143846,0.049542476,0.012826911826134301,0.04196175,0.0446305,0.0542395,1000,0.006138,0.03006,0.007800486,0.002580148779780732,0.006421,0.0065795,0.0081155,1000,0.016569,0.055404,0.020069401999999997,0.004926333551272793,0.017197,0.0179485,0.02118425,1000,0.0,7.1,1.6599999999999997,2.7594202289611487,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.036655,1.857076,0.106788823,0.11905290600889872,0.05395875,0.091677,0.12378425,1000,0.191955,0.337968,0.215458283,0.02185949014430371,0.19779275,0.2064975,0.2314555,1000,0.001877,0.020243,0.002675448,0.0012294565670636763,0.00210175,0.002218,0.003044,4000,0.004202,0.022617,0.005337886,0.001501053178939374,0.004487,0.004676,0.005916,4000,0.014317,0.052076,0.01737693525,0.003096127991307439,0.0152045,0.016198,0.01859425,4000,0.014317,0.052076,0.01737693525,0.003096127991307439,0.0152045,0.016198,0.01859425,4000,0.02033,0.055753,0.023230501,0.0041201171145974725,0.0208195,0.021143,0.0248985,1000,0.025497,0.067752,0.028671606999999998,0.004606380350617066,0.02623075,0.026814,0.029663,1000,0.498443,2.613975,0.6088655829999999,0.15259235280433653,0.53021125,0.568382,0.66880875,1000,0.090076,0.208287,0.10623149700000001,0.016649976992716566,0.09348575,0.097575,0.1171125,1000,0.025147,0.060899,0.029353815999999998,0.0051567405587390185,0.026005,0.0268725,0.031936,1000,0.041084,0.114618,0.048726356,0.009335743800751176,0.04220975,0.045054,0.05418675,1000,0.00603,0.035117,0.007799992,0.0026762909273724336,0.00638075,0.0069385,0.00821325,1000,0.016559,0.04663,0.019799871,0.003904018526385217,0.017247,0.0180215,0.02112725,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.039997,1.71703,0.07793194199999999,0.1167559218069158,0.05221525,0.0653555,0.0769745,1000,0.193938,0.316352,0.206087835,0.014510572507030002,0.19869575,0.2015015,0.2063255,1000,0.00191,0.021882,0.00249277,0.0010319528039595609,0.002088,0.002179,0.00293,4000,0.004146,0.023611,0.0049991307500000005,0.00117463260965054,0.004422,0.0045535,0.00575925,4000,0.014469,0.058076,0.016792921500000002,0.002951946793361586,0.01516175,0.015882,0.0183595,4000,0.014469,0.058076,0.016792921500000002,0.002951946793361586,0.01516175,0.015882,0.0183595,4000,0.020451,0.055674,0.021741007,0.002782501698642968,0.020942,0.021089,0.0212605,1000,0.025523,0.059837,0.026944486,0.0028894646856821075,0.026059,0.026251,0.026493,1000,0.515199,2.438363,0.5786434939999999,0.13886080479119356,0.53596275,0.561999,0.582745,1000,0.10267,0.213784,0.125657513,0.016137786903160884,0.1143105,0.124109,0.1306225,1000,0.025187,0.069911,0.027422136,0.004265189660672079,0.02603675,0.0263845,0.02683275,1000,0.046771,0.118223,0.050142124,0.007000949207973443,0.04763375,0.0480735,0.04898425,1000,0.009306,0.067812,0.02860114,0.009775215114175237,0.020449,0.029848,0.0345215,1000,0.017062,0.055068,0.018972316,0.003386333107676207,0.01756475,0.017777,0.01830525,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.039857,1.500729,0.081445019,0.09751755428261435,0.07141775,0.074392,0.07540425,1000,0.059106,0.158926,0.080343536,0.012095356993189744,0.0765975,0.0775215,0.08117925,1000,0.002805,0.019166,0.004211823999999999,0.0011623288377322486,0.004104,0.0041635,0.004219,1000,0.00581,0.041035,0.00788606,0.0022306491957275573,0.00755675,0.00769,0.007816,1000,0.018492,0.057942,0.025670272,0.004616809903170803,0.0248575,0.025157,0.02559,1000,0.018492,0.057942,0.025670272,0.004616809903170803,0.0248575,0.025157,0.02559,1000,0.006215,0.038806,0.009634958,0.0023942467162420835,0.00930575,0.009469,0.009702,1000,0.009688,0.039613,0.012365404,0.002449276616224472,0.011962,0.012077,0.01219725,1000,0.162321,1.778154,0.272546842,0.1090918462459456,0.260084,0.2629855,0.28374675,1000,0.012778,0.098527,0.039757784,0.011631354134637291,0.03958425,0.0400615,0.0425605,1000,0.002006,0.013468,0.002952535,0.0006932649398137771,0.00287,0.002944,0.003017,1000,0.007209,0.05552,0.017320837999999998,0.004835389060639898,0.01727175,0.0174115,0.017594,1000,0.001898,0.065602,0.016817253,0.00706747631541776,0.017565,0.017806,0.017965,1000,0.000976,0.011511,0.001357202,0.0005805262433309971,0.00125875,0.001306,0.001355,1000,0.0,4.9,1.4600000000000002,1.8017769007288333,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,-0.04229,1.424163,0.09465267299999999,0.09569707390922709,0.07388775,0.098905,0.103305,1000,0.059616,0.177611,0.078430183,0.009878811554610756,0.07641075,0.0769105,0.08051625,1000,0.002817,0.019477,0.0041233829999999996,0.0010009300646453777,0.00405375,0.004117,0.004174,1000,0.005842,0.025608,0.00776895,0.0017702091315717472,0.007571,0.0076705,0.00775825,1000,0.018225,0.055517,0.025104812999999997,0.004052628997827336,0.024659,0.024881,0.02525875,1000,0.018225,0.055517,0.025104812999999997,0.004052628997827336,0.024659,0.024881,0.02525875,1000,0.006218,0.03945,0.009589075,0.0024542100059642413,0.00936475,0.009488,0.00976425,1000,0.009854,0.033183,0.01208212,0.0018705593050208271,0.011889,0.011997,0.012078,1000,0.162965,1.697905,0.27206416499999997,0.10696755975220605,0.24853425,0.2785035,0.28364225,1000,0.012738,0.071829,0.029072212,0.007036362613954457,0.02675075,0.0305785,0.03128975,1000,0.002005,0.02046,0.002997317,0.0011888098260491456,0.0028755,0.0029415,0.003013,1000,0.007197,0.043574,0.015786983,0.0039168098468921105,0.01562075,0.016271,0.01660325,1000,0.001935,0.039419,0.007740348,0.0030254236382523357,0.006275,0.0087195,0.009592,1000,0.000991,0.014781,0.001331164,0.0006243139187171787,0.00122375,0.001282,0.001337,1000,0.0,2.4,0.72,0.96,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008708,0.156797,0.010362949,0.008677340830945793,0.009014,0.0091385,0.00937975,1000,1.126192,1.289228,1.148117696,0.02089808711690101,1.1313415,1.147741,1.15622825,1000,0.067049,0.106297,0.068944163,0.005176764125825224,0.067342,0.067564,0.06797525,1000,0.037643,0.073174,0.039021814,0.0037760696057413984,0.038038,0.038239,0.038451,1000,0.014771,0.058297,0.01583723,0.002614481303643229,0.01515675,0.015331,0.01553,1000,0.996811,1.104941,1.01591777,0.017312030022764515,1.00131225,1.018107,1.02402,1000,0.002857,0.015943,0.0032100830000000003,0.0010239838876227496,0.00296875,0.003022,0.003078,1000,0.010929,0.038706,0.011690652,0.0022140317741387544,0.01119675,0.0112995,0.011412,1000,1.163885,1.470861,1.1894365519999999,0.026714722930985,1.17125025,1.1874855,1.19815975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.010684,0.00038449700000000003,0.0003338598837701229,0.000332,0.0003575,0.000393,1000,2.571161,5.017204,2.6618001099999997,0.20189637567654328,2.59641225,2.6254825,2.66313975,1000,0.05168,0.113153,0.054276249000000006,0.006275429838265982,0.05231875,0.0525535,0.05287425,1000,0.044005,0.110918,0.045814023999999995,0.00492431069952171,0.0444865,0.044656,0.044895,1000,0.69011,2.092807,0.722792532,0.0991772928714581,0.69645925,0.7141875,0.72338425,1000,1.769532,3.14488,1.83091571,0.12063942753117614,1.77952775,1.8057635,1.835131,1000,0.001268,0.011004,0.001497656,0.0006242355434161051,0.001367,0.001405,0.00146525,1000,0.0116,0.038399,0.012619325,0.002211461553221082,0.012048,0.01216,0.012315,1000,2.595507,5.075678,2.688079393,0.20531468951031376,2.62092875,2.651189,2.6885235,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000298,0.009158,0.00042965699999999996,0.000315501384071449,0.000353,0.000376,0.000412,1000,2.612103,5.034972,2.7557782299999998,0.2683658819833682,2.64088275,2.6738765,2.72373025,1000,0.051955,0.14116,0.057615511,0.012256241065672583,0.05287225,0.0539585,0.05443925,1000,0.043796,0.097351,0.047720887000000003,0.007017239458663998,0.0446115,0.0449865,0.047991,1000,0.688639,1.94769,0.7265969290000001,0.09502278194172153,0.6968005,0.711511,0.7302365,1000,1.809082,3.593219,1.91491799,0.18596562538937644,1.821542,1.855564,1.88555575,1000,0.001285,0.014428,0.001648569,0.000810971516909811,0.001381,0.001417,0.001505,1000,0.011897,0.040937,0.013401673000000001,0.0034147162298016802,0.012179,0.012327,0.01258125,1000,2.636196,5.089474,2.7841056269999997,0.27440413103765743,2.6668075,2.7004815,2.74814325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
