SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.342692,0.510227,0.3641475725490196,0.0204166119215344,0.351275,0.357368,0.370578,255,11.793697,19.862064,12.40115271372549,0.6077857532557176,12.187954,12.342611,12.4765255,255,0.283467,0.596056,0.29985883921568623,0.029984374322035677,0.2871085,0.289744,0.2995805,255,0.137164,0.31747,0.14467705490196078,0.017714419551207467,0.1384115,0.138874,0.1431315,255,3.529697,7.618407,3.7038202666666664,0.2748201397658709,3.626049,3.670625,3.7206335,255,3.529697,7.618407,3.7038202666666664,0.2748201397658709,3.626049,3.670625,3.7206335,255,0.024862,0.052737,0.02759047843137255,0.004218828168138624,0.0259075,0.02632,0.0268805,255,0.050502,0.101119,0.05397729019607843,0.006559258115786551,0.0517175,0.052278,0.0528445,255,40.093405,66.050445,48.405668176470584,3.238342062959337,47.7168455,48.029194,48.2856435,255,27.229055,49.939533,35.458224031372545,3.0025350449852044,35.1061325,35.228593,35.3738185,255,0.020504,0.063572,0.022569635294117648,0.003991237663015809,0.0212845,0.021614,0.022051,255,21.778794,31.767777,22.760154701960783,2.2773552471209157,21.8701565,21.912715,21.9705615,255,4.861987,26.963111,12.247957870588236,2.016527704151335,12.76369,12.873444,12.9702075,255,0.396797,0.711922,0.4255316078431372,0.034471207157869055,0.409406,0.413895,0.428172,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.659016,18.145216,9.192057117948718,0.7531490761579535,8.8388785,9.039609,9.240027,1755,8.382383,17.642108,8.894119355555555,0.7448111615409948,8.5476955,8.744469,8.9353605,1755,0.004804,0.623016,0.1748718739791073,0.17114789930138133,0.028419,0.115168,0.27968675,10530,0.006225,0.338884,0.08158829762583096,0.07936718704384772,0.0149345,0.0608385,0.1304025,10530,0.036571,7.236155,1.1887135344729345,1.2381187499000823,0.091845,0.911308,1.733714,10530,0.036571,7.236155,1.1887135344729345,1.2381187499000823,0.091845,0.911308,1.733714,10530,0.094441,0.259008,0.1125282376068376,0.01578553907521406,0.101152,0.109268,0.11863,1755,0.127579,0.226808,0.1412150757834758,0.013473518775941674,0.132389,0.137948,0.1421635,1755,23.72171,53.306267,30.88822528888889,4.119524016737921,28.142419,30.160278,32.760364,1755,14.393569,43.74882,21.10179984045584,3.931714351379258,18.4380835,20.488274,22.843155,1755,0.073454,0.1615,0.08685857720797721,0.01193202254540679,0.0798745,0.083308,0.0890765,1755,13.503967,42.556959,20.23419636296296,3.8328723109376304,17.631263,19.637443,21.9320665,1755,0.105501,1.053946,0.27233121937321936,0.11174929981898991,0.2096055,0.245235,0.3009565,1755,0.434898,0.947259,0.5060957749287749,0.04317105867975141,0.4795805,0.498815,0.5234425,1755,0.0,11.1,2.2199999999999998,4.4399999999999995,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.035634,1.676561,0.105727166,0.1157553703068866,0.053221,0.0899025,0.12279175,1000,0.192038,0.353516,0.214959087,0.022160764540002473,0.198021,0.2032665,0.23141575,1000,0.001919,0.020895,0.0026399540000000003,0.0010285780767078404,0.00212,0.002231,0.003021,4000,0.004124,0.028156,0.00526662125,0.0015057110406045502,0.004456,0.0046555,0.00580725,4000,0.014399,0.057283,0.0173302585,0.003183408062309598,0.01529,0.01613,0.0184805,4000,0.014399,0.057283,0.0173302585,0.003183408062309598,0.01529,0.01613,0.0184805,4000,0.020307,0.060813,0.022927774,0.0036644926340387153,0.020836,0.0211145,0.02479025,1000,0.025654,0.057495,0.028197542000000003,0.003514096340204122,0.0261165,0.026568,0.02957225,1000,0.496174,2.39047,0.603692623,0.15016792011047123,0.52705825,0.5614175,0.6665075,1000,0.089729,0.217479,0.105083164,0.01647050895719692,0.092955,0.097083,0.11624025,1000,0.02518,0.078445,0.029191533,0.005169925869189132,0.02613975,0.026845,0.03165925,1000,0.040885,0.132558,0.048189803999999996,0.009175992613531464,0.041967,0.0446605,0.05405225,1000,0.006109,0.025688,0.007499138,0.001884688610608129,0.00636975,0.0065245,0.0080105,1000,0.016411,0.058993,0.019666826000000002,0.004138291634687434,0.01717225,0.0178555,0.021084,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.033789,1.659505,0.107067689,0.1200478820129713,0.052744,0.09305,0.12431425,1000,0.191443,0.345959,0.21672117800000001,0.022939049601635984,0.19884325,0.205631,0.2334245,1000,0.00193,0.022275,0.0026838925,0.0011271023298457643,0.00211575,0.002239,0.003077,4000,0.004205,0.083998,0.0053932915,0.0020501027773084327,0.004514,0.004729,0.00592925,4000,0.014292,0.066567,0.01747505375,0.003249012882378421,0.01536875,0.016309,0.0186755,4000,0.014292,0.066567,0.01747505375,0.003249012882378421,0.01536875,0.016309,0.0186755,4000,0.020354,0.054519,0.023228649,0.003996158482317613,0.0208635,0.0211435,0.02496,1000,0.025768,0.073364,0.028465031999999998,0.004160814488171276,0.026326,0.026713,0.0297505,1000,0.498795,2.411641,0.6104012219999999,0.15463746517789506,0.52988875,0.5680015,0.6706005,1000,0.089996,0.22695,0.106207149,0.016406241052136197,0.0937845,0.097741,0.1177035,1000,0.025185,0.08001,0.029524687,0.005564055348307653,0.02618925,0.0270145,0.0319985,1000,0.041219,0.108196,0.04867431,0.00898597143840887,0.042389,0.044636,0.05441675,1000,0.006046,0.027031,0.007660262,0.0019501666450219071,0.00639,0.0069475,0.0081565,1000,0.016382,0.048006,0.019771836,0.0038205157603527825,0.017247,0.0180395,0.02122175,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036325,3.124706,0.082609593,0.1415176331825591,0.05236775,0.067221,0.08134225,1000,0.192729,0.649594,0.214271302,0.03782083590058258,0.19825275,0.2019385,0.21461475,1000,0.001929,0.080545,0.0026364155,0.0018675836616761645,0.002081,0.00219,0.00298,4000,0.004204,0.031723,0.0052574155,0.0016814430727383398,0.00446575,0.0046265,0.00581525,4000,0.014473,0.086578,0.017413803749999998,0.004293868165155509,0.01517275,0.015919,0.018424,4000,0.014473,0.086578,0.017413803749999998,0.004293868165155509,0.01517275,0.015919,0.018424,4000,0.020444,0.057869,0.022627951,0.004921288739202263,0.02093275,0.0211395,0.02144425,1000,0.025396,0.079862,0.027998133,0.006023119568073591,0.02604325,0.026321,0.026709,1000,0.514262,4.677343,0.6024503,0.19506156130089292,0.54301075,0.5662385,0.597297,1000,0.101699,0.394892,0.130227494,0.024125036519018244,0.114969,0.124819,0.13487275,1000,0.025186,0.087436,0.028408916000000003,0.006740130690049266,0.025939,0.026326,0.02686175,1000,0.046194,0.201908,0.052031571000000006,0.01138472835982304,0.04738075,0.047991,0.0507365,1000,0.009406,0.083755,0.029444203000000002,0.010421962213412166,0.020851,0.030078,0.03472875,1000,0.016747,0.066577,0.019751786,0.0048243656953224434,0.0176675,0.01803,0.019925,1000,0.0,2.4,0.96,0.8979977728257459,0.0,1.2,1.2,5
FrictionContact_LCP_with_friction,-0.001835,1.416663,0.080549756,0.09422737383494494,0.0715395,0.0745375,0.0753085,1000,0.059337,0.134114,0.078860769,0.010222804727746638,0.07665625,0.077238,0.0808265,1000,0.002861,0.020366,0.004245491,0.0015290723069622968,0.00408075,0.004142,0.004205,1000,0.00579,0.028553,0.00785073,0.0019939856657207947,0.007577,0.007702,0.007812,1000,0.018376,0.058332,0.025156436,0.003950091474371701,0.02481775,0.0250065,0.02538925,1000,0.018376,0.058332,0.025156436,0.003950091474371701,0.02481775,0.0250065,0.02538925,1000,0.00626,0.038585,0.009567194,0.0021371761271275704,0.009426,0.009553,0.009796,1000,0.009852,0.040214,0.012190511000000001,0.0020295755176585576,0.011996,0.012104,0.012211,1000,0.162869,1.680522,0.268715378,0.10459339249923542,0.2608015,0.263492,0.26951625,1000,0.012967,0.093689,0.039187327,0.010649411057897568,0.0396645,0.0401725,0.04239575,1000,0.002023,0.020423,0.00297515,0.0010353712143477817,0.00288875,0.0029525,0.00301125,1000,0.00729,0.04963,0.017100545999999998,0.00433479301488364,0.0173625,0.017514,0.017679,1000,0.001881,0.065183,0.016449508,0.0065070745872424125,0.0174975,0.017777,0.01797825,1000,0.000952,0.022579,0.001395466,0.001158937534487515,0.001244,0.00129,0.001337,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.034653,1.487232,0.097062331,0.09908048604414209,0.07421275,0.0992015,0.1035185,1000,0.059603,0.182271,0.079860278,0.011770192890293515,0.07668675,0.07758,0.080882,1000,0.002868,0.020627,0.004218739,0.001297525072158145,0.004069,0.0041385,0.004219,1000,0.005843,0.026617,0.007927283,0.001956841184897487,0.0076505,0.007736,0.00783225,1000,0.018438,0.085216,0.025577192,0.0048972559117464965,0.024726,0.0249965,0.02549125,1000,0.018438,0.085216,0.025577192,0.0048972559117464965,0.024726,0.0249965,0.02549125,1000,0.006243,0.029583,0.009551078,0.002081169723957179,0.0093075,0.009467,0.009712,1000,0.00965,0.031015,0.01228726,0.002364149316011998,0.011908,0.0120325,0.012164,1000,0.162866,1.814119,0.277176883,0.11127443531896854,0.24932925,0.280524,0.2879185,1000,0.012733,0.075063,0.02963578,0.007595266651118972,0.02675525,0.030575,0.03147575,1000,0.00203,0.018569,0.003063496,0.0013384729836586169,0.00286275,0.002939,0.00302425,1000,0.007221,0.046291,0.016070653,0.004223543545482987,0.01562175,0.016318,0.0166215,1000,0.00193,0.042793,0.007813859999999999,0.003344243907133569,0.00628875,0.0089995,0.00956725,1000,0.000964,0.017565,0.001370993,0.0008396427615069399,0.001235,0.0012915,0.001343,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.00862,0.145789,0.010550477999999999,0.009483828479549594,0.00894575,0.009103,0.00952275,1000,1.123916,1.782834,1.1712391359999998,0.05322810443768878,1.13358925,1.162404,1.1857725,1000,0.066714,0.132337,0.070347195,0.008015660567849352,0.06718675,0.067471,0.06791825,1000,0.037601,0.083727,0.03961137,0.00483014938206884,0.037987,0.038227,0.038586,1000,0.014718,0.04822,0.016220371,0.003288466505737743,0.01512675,0.015306,0.01562875,1000,0.995965,1.617025,1.03649874,0.04766423745835446,1.00238225,1.0286835,1.048006,1000,0.002781,0.016226,0.003223277,0.0011363044584401663,0.002935,0.002984,0.0030665,1000,0.010885,0.03182,0.011814666,0.0021092548007398257,0.011162,0.0112865,0.01146525,1000,1.161871,1.839914,1.213270149,0.05726975649288898,1.1749245,1.201894,1.22696725,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000296,0.001135,0.000365772,6.213456377894674e-05,0.000333,0.000354,0.000382,1000,2.56866,5.039458,2.641295719,0.18441532623329343,2.592957,2.6168495,2.64622925,1000,0.051365,0.104766,0.053648158,0.004668261908787466,0.05221275,0.0526495,0.05310125,1000,0.043059,0.097895,0.045710141,0.004461061428754259,0.04459075,0.044785,0.04502925,1000,0.689989,2.082979,0.715203224,0.09633929523437372,0.695522,0.699371,0.719214,1000,1.768525,2.809504,1.81897803,0.10305411167567793,1.77777475,1.8016465,1.82137975,1000,0.001263,0.003996,0.00143395,0.00016831722876758636,0.001372,0.001413,0.00146,1000,0.011552,0.037012,0.012468683000000001,0.0019496586220441258,0.01206475,0.012182,0.012338,1000,2.592847,5.098094,2.667083732,0.18665558652598152,2.61858525,2.6420715,2.671935,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000295,0.002913,0.000402362,0.00013675218812143374,0.000351,0.000371,0.000394,1000,2.605459,5.335115,2.7006179300000004,0.19594877249747472,2.63357425,2.6639455,2.69822175,1000,0.050826,0.119972,0.054879516,0.0077590598941974925,0.05215875,0.052385,0.05295325,1000,0.043419,0.104138,0.04672272,0.006652557458271218,0.04451,0.044765,0.0454345,1000,0.687792,2.066004,0.7189079420000001,0.09055936286255903,0.6943765,0.7018225,0.72057825,1000,1.807919,3.066804,1.871857111,0.11582764587686603,1.82610475,1.8493965,1.87270825,1000,0.001259,0.012303,0.001544289,0.000650084424885722,0.001371,0.001421,0.001476,1000,0.011655,0.039032,0.012906982,0.0025954528151511443,0.01201,0.0121775,0.012411,1000,2.62958,5.420356,2.727825745,0.20016040287659786,2.65841375,2.689875,2.7241805,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
