SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.331322,0.426884,0.346393431372549,0.016377444406752557,0.3368135,0.341499,0.3499715,255,11.865514,15.430608,12.473800384313725,0.5350759618272733,12.2715805,12.404285,12.5550935,255,0.283054,0.544901,0.3010860156862745,0.026351804335584508,0.2865335,0.292388,0.3062335,255,0.135477,0.270892,0.15291642745098039,0.0218874634575485,0.137074,0.141474,0.1655795,255,3.886238,4.851713,4.031755905882353,0.16338651526458622,3.9375825,4.004025,4.0679995,255,3.886238,4.851713,4.031755905882353,0.16338651526458622,3.9375825,4.004025,4.0679995,255,0.022405,0.048646,0.02444545882352941,0.0027140498668368363,0.023288,0.02362,0.0250625,255,0.054425,0.089553,0.057274674509803926,0.003887240438587439,0.055503,0.056064,0.0580185,255,40.152279,61.733912,47.81505037254902,2.957319955761273,47.607649,48.011594,48.233191,255,27.161625,45.961135,34.80531516078431,2.630906796081388,35.048663,35.149152,35.2419085,255,0.020119,0.042498,0.022000576470588236,0.0019094908224484856,0.021075,0.021507,0.0223975,255,21.794611,30.349387,22.230261298039217,1.4063502301335244,21.892874,21.927762,21.9849505,255,4.873301,15.382801,12.142151419607842,1.8501519928933197,12.7191565,12.793695,12.852593,255,0.387182,0.590362,0.40857024313725493,0.03534807650339554,0.394401,0.39898,0.4050455,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,9.655819,29.156555,13.5442247002849,0.6851808108742654,13.28556,13.46123,13.5773085,1755,9.310571,28.396319,13.192863217663817,0.6601482737063025,12.9434265,13.106058,13.2264375,1755,0.008392,4.299904,0.2567553898385565,0.23324389377581725,0.052083,0.2928995,0.408923,10530,0.008538,0.865854,0.10818327587844254,0.08816947279089872,0.0224805,0.115873,0.18241475,10530,0.098491,11.051579,1.9127300939221272,1.9531489033082656,0.1719645,1.211303,2.77575375,10530,0.098491,11.051579,1.9127300939221272,1.9531489033082656,0.1719645,1.211303,2.77575375,10530,0.093089,0.25604,0.1167648603988604,0.016036816074160916,0.103003,0.117091,0.121848,1755,0.135234,0.552883,0.15350679715099716,0.01701488316437447,0.143204,0.150545,0.154965,1755,24.164528,60.46151,29.580464324216525,2.8724522800355925,27.646227,29.438263,31.275628,1755,10.363999,39.20258,15.40841461880342,2.6625020175979817,13.53828,15.270149,17.0666745,1755,0.074159,0.370325,0.08941420512820512,0.014158966674397441,0.0823675,0.086768,0.090561,1755,9.549561,37.584301,14.548320905413107,2.5705312024461535,12.767765,14.434537,16.1938765,1755,0.104391,0.664392,0.28107445470085474,0.10815473797365488,0.219882,0.258809,0.3167655,1755,0.408299,0.889719,0.48748766609686606,0.031273283245166046,0.46828,0.486993,0.506929,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.034566,1.866496,0.096543899,0.13058511620594745,0.04328425,0.0812745,0.11129,1000,0.274329,0.433463,0.301750481,0.02476637092461548,0.2835415,0.2892705,0.32000325,1000,0.001253,0.016858,0.00194078025,0.0007754953590834296,0.001519,0.001699,0.00231625,4000,0.00287,0.021093,0.00379562225,0.0008970044512458885,0.003239,0.0034265,0.00430025,4000,0.020943,0.06624,0.02416739125,0.0032156900682704854,0.02187,0.023475,0.02537,4000,0.020943,0.06624,0.02416739125,0.0032156900682704854,0.02187,0.023475,0.02537,4000,0.020961,0.062048,0.023454748,0.003171953449925771,0.02143675,0.021643,0.0254955,1000,0.026256,0.04815,0.028339767,0.0022900136581931125,0.02688175,0.027159,0.02960675,1000,0.575302,2.706036,0.685437155,0.16526906310979975,0.596418,0.6413105,0.7550335,1000,0.092674,0.200861,0.10656874300000001,0.015967837262163935,0.095303,0.0987855,0.1167255,1000,0.026066,0.073731,0.030110917,0.005248703244813046,0.02706775,0.027689,0.03232125,1000,0.041903,0.119011,0.048846896,0.008810201454971616,0.0430545,0.045012,0.0535365,1000,0.006221,0.024731,0.007554323,0.001700916707740564,0.0064725,0.0066365,0.0080995,1000,0.016958,0.043117,0.019485004,0.0028852743373870013,0.01750175,0.0179695,0.021117,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.031534,1.828816,0.09587490700000001,0.12260216867884657,0.04293675,0.0820035,0.11315475,1000,0.27244,0.54175,0.30500829100000004,0.02741880750186483,0.285726,0.29257,0.32131175,1000,0.001306,0.016875,0.00199013775,0.0007655505089639333,0.00158,0.00175,0.00234725,4000,0.002925,0.015572,0.00389871125,0.0008914189348299919,0.003344,0.003548,0.004376,4000,0.02076,0.089365,0.024273962,0.00354195191357195,0.021923,0.02349,0.0254195,4000,0.02076,0.089365,0.024273962,0.00354195191357195,0.021923,0.02349,0.0254195,4000,0.020861,0.065587,0.023570264,0.003369484006536312,0.02141175,0.021698,0.02548125,1000,0.02612,0.049125,0.028335706,0.002111906027635699,0.02681975,0.0273705,0.0297045,1000,0.572218,2.667368,0.68907487,0.1608940231210504,0.59977675,0.644409,0.757218,1000,0.091576,0.208216,0.107481406,0.016453143407968093,0.0957935,0.099702,0.117542,1000,0.025832,0.07525,0.030414255,0.005100323410919645,0.02748325,0.028366,0.03250025,1000,0.041713,0.121186,0.049163229,0.00941415216939683,0.04299375,0.0445795,0.05502,1000,0.006073,0.021033,0.007578384,0.0017563655765654256,0.00636775,0.0069105,0.00812175,1000,0.016623,0.053548,0.019744257,0.003329458369607735,0.01760825,0.018077,0.021348,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.03485,1.778555,0.067366256,0.12349129157471171,0.04215075,0.0543,0.0669645,1000,0.272717,0.441302,0.293624866,0.01683065636789142,0.285869,0.2891085,0.29398225,1000,0.001285,0.019841,0.00187669725,0.0009204189272241405,0.00151,0.001623,0.00226,4000,0.002931,0.032902,0.00374090125,0.0010561205620091096,0.003296,0.003427,0.004272,4000,0.021118,0.061008,0.02363515125,0.0027662281779299116,0.021867,0.023468,0.0241065,4000,0.021118,0.061008,0.02363515125,0.0027662281779299116,0.021867,0.023468,0.0241065,4000,0.020993,0.055912,0.022080225,0.002234137904959092,0.021495,0.021642,0.0217965,1000,0.026151,0.054265,0.027566848999999997,0.0024198196243106636,0.026861,0.027044,0.027252,1000,0.59816,2.609304,0.662722941,0.14697438960154766,0.61863075,0.645969,0.6650255,1000,0.104928,0.227861,0.129150444,0.01641298690399965,0.11774475,0.127742,0.1346,1000,0.025849,0.06776,0.028502377,0.0037577780787150005,0.0270585,0.0278575,0.02837975,1000,0.047706,0.115637,0.051373059,0.006465931475628163,0.04912425,0.049726,0.05064575,1000,0.009538,0.091377,0.029500944,0.010273716877492001,0.020959,0.030786,0.03561075,1000,0.017541,0.040727,0.019207882000000003,0.0023088892715061064,0.0181575,0.018409,0.018746,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.037364,1.495015,0.083069855,0.0993038151393388,0.072334,0.074196,0.0785645,1000,0.080955,0.17424,0.107668072,0.010494298035638972,0.10547525,0.1081835,0.110207,1000,0.002231,0.013025,0.003223577,0.000937306326699548,0.00306925,0.003157,0.00324,1000,0.004259,0.02218,0.005725839,0.0010802014456012358,0.005602,0.005702,0.005773,1000,0.024863,0.074826,0.033975059999999994,0.00421239802041545,0.03290575,0.03338,0.035683,1000,0.024863,0.074826,0.033975059999999994,0.00421239802041545,0.03290575,0.03338,0.035683,1000,0.006563,0.036919,0.009995718999999998,0.001989308882511462,0.00988575,0.0100155,0.01016125,1000,0.010393,0.054411,0.012815683999999999,0.0024857657500544977,0.012537,0.0126365,0.01272925,1000,0.183406,1.800266,0.30101865,0.11006301194207571,0.2930075,0.2969235,0.3081935,1000,0.012845,0.109599,0.039816225,0.010284904123149374,0.04095375,0.041419,0.04261175,1000,0.002115,0.010664,0.003231648,0.0006828102094257232,0.003111,0.003185,0.00326,1000,0.007176,0.068379,0.017343261999999998,0.004223573540185609,0.017505,0.0176765,0.01786825,1000,0.001887,0.061387,0.017111065999999998,0.00625811555675061,0.018278,0.018575,0.0187755,1000,0.001005,0.022466,0.001606988,0.0012376763203099587,0.001393,0.0014345,0.001472,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037332,1.512948,0.095705319,0.09972536329784534,0.07423675,0.1008765,0.1043765,1000,0.081743,0.198784,0.10871350199999999,0.01175471802350001,0.1067785,0.1087775,0.1110555,1000,0.002183,0.020294,0.003271163,0.0011190845948501837,0.00308,0.00317,0.00326575,1000,0.004219,0.01605,0.005696094,0.0008500463994182906,0.00557375,0.005685,0.00578525,1000,0.025012,0.105824,0.034378016000000004,0.005502550093524274,0.0329805,0.0335235,0.035718,1000,0.025012,0.105824,0.034378016000000004,0.005502550093524274,0.0329805,0.0335235,0.035718,1000,0.006457,0.025491,0.009953183999999999,0.001713040693662588,0.00989575,0.0100385,0.010166,1000,0.010339,0.035975,0.012775668,0.0017763476742394774,0.01249075,0.0126075,0.01277225,1000,0.185723,1.833376,0.304665374,0.11179580244270411,0.281969,0.313052,0.3196675,1000,0.01302,0.082844,0.029890187999999998,0.0073590500391460855,0.0275975,0.0317515,0.03237775,1000,0.002209,0.021235,0.003297404,0.0009672242246676827,0.003135,0.0032185,0.003305,1000,0.007339,0.057607,0.01640666,0.004132703183196199,0.01594925,0.0167385,0.017029,1000,0.001883,0.039585,0.008135659,0.0030817164727987225,0.00652675,0.0096655,0.010058,1000,0.001015,0.016553,0.001519433,0.0008470519768650563,0.00133675,0.0014005,0.001467,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006466,0.139263,0.008172993,0.009032888220771418,0.00678,0.006903,0.007235,1000,1.148047,1.594775,1.197378236,0.04250797953648589,1.156811,1.194307,1.227344,1000,0.06651,0.130662,0.06961985400000001,0.0048376678677523955,0.06707375,0.0694145,0.070542,1000,0.036695,0.087204,0.038778809000000004,0.003721456936002216,0.03725975,0.0374835,0.03997325,1000,0.02165,0.049667,0.023338065999999998,0.0022825676917988653,0.0221355,0.0223555,0.024421,1000,1.000248,1.281816,1.041731955,0.03751150795661213,1.004724,1.0382375,1.0701645,1000,0.002863,0.015542,0.003285448,0.0006979286104581184,0.00308175,0.003151,0.003225,1000,0.011339,0.037014,0.011946977000000001,0.0015411806806701802,0.011604,0.0116995,0.01184125,1000,1.184186,1.663767,1.2367651880000001,0.04628859412931717,1.19501975,1.232613,1.2660115,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000287,0.000887,0.000349092,4.8775972937502746e-05,0.000327,0.000341,0.00035625,1000,2.592183,5.275624,2.657522745,0.19420394538461358,2.61323175,2.6208855,2.65295825,1000,0.051443,0.091045,0.055486273999999995,0.0039699561164985185,0.0522345,0.0558825,0.056424,1000,0.044013,0.086237,0.046730533000000005,0.0037441389556092863,0.04476875,0.04646,0.0469155,1000,0.701066,2.21341,0.7237388,0.09984297784831941,0.708768,0.7122035,0.7146645,1000,1.766303,2.836871,1.807503446,0.1076888649240537,1.776131,1.780291,1.80557275,1000,0.001247,0.003113,0.001482519,0.0001515892068684311,0.001399,0.001462,0.001534,1000,0.012578,0.027658,0.013327034,0.0011703211571376466,0.01295075,0.0131215,0.013374,1000,2.616801,5.336015,2.6841605580000003,0.1966680606113068,2.63978825,2.6473265,2.68061575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000287,0.001014,0.00036799,5.829231424467552e-05,0.000336,0.000355,0.000388,1000,2.612357,4.97187,2.6792627230000003,0.18052248354033984,2.62761375,2.651958,2.67860325,1000,0.051343,0.100329,0.054132767,0.004421929218871668,0.05204525,0.05244,0.0560785,1000,0.043913,0.080851,0.046016636,0.0033894552520285616,0.04455025,0.044984,0.04682975,1000,0.700617,1.982051,0.721876296,0.08705845407905187,0.70724425,0.7099995,0.7141025,1000,1.786462,2.800873,1.833263111,0.1061250936154248,1.79788525,1.805636,1.836142,1000,0.001235,0.010268,0.001413461,0.000317465831986688,0.001338,0.001383,0.001437,1000,0.012688,0.023566,0.013309072,0.0008126944793807818,0.013051,0.013183,0.01334525,1000,2.638178,5.031605,2.705845687,0.1827378267580389,2.65367225,2.6777605,2.70510175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
