SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.342928,0.468565,0.36356559215686274,0.01924980735544902,0.3520245,0.358755,0.3655285,255,11.635685,14.04349,12.162731780392157,0.3078495899256438,11.975299,12.196955,12.2850565,255,0.286361,0.377158,0.30371016470588236,0.016093076679128914,0.2896505,0.301351,0.3116855,255,0.139474,0.226191,0.15682669411764708,0.017660935716127302,0.1411565,0.145846,0.173461,255,3.57426,4.293605,3.7497668666666666,0.08253841408671994,3.694384,3.750709,3.786064,255,3.57426,4.293605,3.7497668666666666,0.08253841408671994,3.694384,3.750709,3.786064,255,0.02259,0.056965,0.025424949019607845,0.003258191935954456,0.0237775,0.02439,0.026638,255,0.047702,0.219554,0.05219310588235294,0.011545721473587161,0.0491525,0.050066,0.0524695,255,39.95262,59.514978,48.711317035294115,3.4646939435566044,47.587534,47.970572,48.419776,255,27.255441,44.695297,36.00633721568628,3.446581134044078,35.162346,35.281752,35.5232515,255,0.020242,0.041406,0.022257341176470588,0.0019962382577332375,0.021384,0.021765,0.0224065,255,21.80668,29.666799,23.41762842352941,2.640155225612072,21.899882,21.979328,22.1513025,255,4.944413,14.564425,12.148456749019608,1.7828518660526993,12.7101315,12.853692,12.911595,255,0.390003,0.637046,0.41547510980392155,0.025603249689797956,0.4036225,0.40823,0.4168475,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.95656,30.742438,9.273507963532763,0.9380068961097561,9.085849,9.149596,9.321985,1755,8.655675,30.183032,8.966190652421654,0.9253026656392705,8.782764,8.839635,9.015654,1755,0.004705,1.533505,0.1736357331433998,0.17012035791588295,0.0291935,0.129626,0.28177225,10530,0.006144,0.767905,0.07421018670465337,0.07161075024755936,0.01394925,0.0810055,0.10393,10530,0.035132,15.084321,1.1525380859449195,1.2028691668590603,0.08402225,1.002275,1.72156475,10530,0.035132,15.084321,1.1525380859449195,1.2028691668590603,0.08402225,1.002275,1.72156475,10530,0.098478,0.492341,0.11019460683760685,0.013869910561824168,0.1042665,0.10673,0.110557,1755,0.119437,0.440228,0.12892095726495725,0.012075978995729342,0.124019,0.126017,0.128907,1755,24.028606,67.192364,30.67641764843305,4.062567809978702,28.17154,30.020104,32.343487,1755,14.379197,42.117594,20.912616385185185,3.768096390235465,18.495162,20.304929,22.677718,1755,0.073252,0.227821,0.08275706495726495,0.009537160155441366,0.07819,0.081055,0.082993,1755,13.57555,40.892963,20.083296394301996,3.6767915824627537,17.718042,19.495483,21.8317245,1755,0.100376,0.854913,0.2516774638176638,0.10409892105005707,0.1932255,0.227905,0.277834,1755,0.433449,2.074949,0.49259674814814813,0.048312587851520955,0.472001,0.485437,0.5077455,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037463,1.80475,0.10795184299999999,0.12249232816496855,0.0546705,0.0922145,0.1237355,1000,0.125164,0.257024,0.144397163,0.0172898613945986,0.1315915,0.1365325,0.156957,1000,0.001862,0.022236,0.0026120415,0.0011082783767076528,0.002065,0.002194,0.003021,4000,0.00405,0.027136,0.005256872750000001,0.0016945716206632983,0.00439275,0.004577,0.005808,4000,0.000351,0.020159,0.00077270275,0.0008608208480238135,0.000467,0.00053,0.00096925,4000,0.000351,0.020159,0.00077270275,0.0008608208480238135,0.000467,0.00053,0.00096925,4000,0.020001,0.054629,0.022834263,0.003689847096267134,0.02057475,0.020847,0.0244705,1000,0.025394,0.095367,0.028063275000000002,0.004455692776592099,0.02597725,0.0263625,0.02928525,1000,0.420106,2.457151,0.525367041,0.1519155548391978,0.454559,0.4860315,0.5788425,1000,0.087432,0.20801,0.10291099000000001,0.016454620595379887,0.090572,0.0947705,0.11390375,1000,0.025188,0.074813,0.029571067,0.005556438391137888,0.0262335,0.026942,0.03195825,1000,0.03965,0.108452,0.046801727,0.00891882365441043,0.04063775,0.0431345,0.0523345,1000,0.005294,0.024937,0.00667193,0.0022446493407879994,0.00554275,0.005708,0.0070855,1000,0.01611,0.064106,0.019319589,0.003986847318631477,0.01685,0.017482,0.020761,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.036018,1.656683,0.10885108,0.12008882296423595,0.0527915,0.094147,0.126745,1000,0.123929,0.286496,0.142191397,0.017982223440425577,0.12816725,0.1342545,0.15306025,1000,0.001815,0.0234,0.00254106175,0.001239151076921994,0.002003,0.002132,0.00294,4000,0.004,0.028521,0.00516902125,0.0018013240977954072,0.004228,0.0044005,0.00568,4000,0.000344,0.158116,0.0007656305,0.002619478936252351,0.000442,0.000499,0.00085575,4000,0.000344,0.158116,0.0007656305,0.002619478936252351,0.000442,0.000499,0.00085575,4000,0.019834,0.054124,0.022756512,0.004098145458113462,0.02034925,0.020631,0.0243855,1000,0.025173,0.066144,0.028004092,0.004697687835684273,0.0257105,0.026164,0.0290825,1000,0.41774,2.382606,0.525078755,0.1501725501989594,0.4518745,0.4866445,0.578295,1000,0.086624,0.199615,0.102903137,0.01744317969821532,0.089791,0.093906,0.1135015,1000,0.024677,0.072822,0.029337058,0.006037013764158236,0.0256725,0.0267895,0.031714,1000,0.039292,0.115557,0.046945335,0.009533640916920197,0.0403835,0.0430845,0.05214325,1000,0.005304,0.038559,0.006743121,0.0024486605506600953,0.00552275,0.0059245,0.00707375,1000,0.015948,0.055065,0.019331474999999997,0.0047635298730432036,0.01660525,0.0171935,0.02054175,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.042311,1.741025,0.079746451,0.11760744458064551,0.053129,0.067689,0.0792835,1000,0.125012,0.268904,0.13473485999999998,0.014585803262158721,0.12741625,0.129719,0.13356325,1000,0.00183,0.02693,0.002395532,0.0011699072993087956,0.001964,0.002049,0.002831,4000,0.003951,0.045717,0.004831363,0.0017494996222437431,0.004151,0.004262,0.005568,4000,0.000351,0.019749,0.00073553125,0.0008427165356888624,0.000431,0.000485,0.000977,4000,0.000351,0.019749,0.00073553125,0.0008427165356888624,0.000431,0.000485,0.000977,4000,0.020017,0.079706,0.02134725,0.0036551405999632903,0.02046275,0.020617,0.020809,1000,0.02533,0.061675,0.027080733,0.004085835904403284,0.02587525,0.026082,0.02629125,1000,0.436509,2.361382,0.497922766,0.1397576798744142,0.45537625,0.4806135,0.500916,1000,0.098961,0.241885,0.12224446000000001,0.016822640964022268,0.11051775,0.120317,0.12675475,1000,0.0248,0.071014,0.027577855,0.004403558062745966,0.02607875,0.026502,0.02689225,1000,0.044566,0.153074,0.048277341999999994,0.008317477303307536,0.04548875,0.045942,0.0468315,1000,0.008767,0.06873,0.027495829000000003,0.009804129578384764,0.01925025,0.0287105,0.03293575,1000,0.016298,0.052476,0.018355924,0.0032948209493421643,0.0169345,0.01722,0.01795075,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.027165,1.423188,0.083882152,0.09575775689353262,0.07535475,0.07594,0.07851825,1000,0.040214,0.125142,0.053752499,0.008890559410633225,0.051328,0.0518515,0.052719,1000,0.002784,0.021534,0.0042085410000000005,0.0015223696050299348,0.004027,0.004092,0.00416725,1000,0.005692,0.029171,0.007712121,0.0020473343875290627,0.00734475,0.00751,0.007619,1000,0.000751,0.011032,0.001034612,0.000475313165666595,0.000955,0.000985,0.001014,1000,0.000751,0.011032,0.001034612,0.000475313165666595,0.000955,0.000985,0.001014,1000,0.006033,0.037528,0.009404352999999999,0.0025030175901081878,0.009056,0.0091965,0.00933025,1000,0.009837,0.041169,0.012838131,0.0031014039904273994,0.012227,0.012333,0.01244925,1000,0.140892,1.660493,0.24314318799999998,0.10555728668681597,0.23225275,0.2347445,0.25090675,1000,0.011929,0.086202,0.038220678999999994,0.01079254418596278,0.03838775,0.0388935,0.03980375,1000,0.001946,0.021649,0.00315006,0.0014104365524191438,0.002868,0.002972,0.0031625,1000,0.006861,0.057952,0.016851557,0.0049529754500452555,0.01666775,0.0168685,0.01706225,1000,0.001549,0.055085,0.01601108,0.006521659063428569,0.01694125,0.0172015,0.01737025,1000,0.000968,0.022477,0.001452589,0.0012257692988809107,0.001248,0.001285,0.00132925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039855,1.511019,0.09896999199999999,0.098273474763366,0.0759595,0.103277,0.10621,1000,0.039729,0.11518,0.052133486,0.008235930548019696,0.050137,0.050617,0.05136625,1000,0.00273,0.025047,0.004147405,0.001684881771809227,0.003947,0.004019,0.004087,1000,0.005544,0.023866,0.007457457000000001,0.0017507954946683522,0.007205,0.007304,0.00742625,1000,0.00078,0.015388,0.001087235,0.0010044937032032603,0.00094175,0.00097,0.001002,1000,0.00078,0.015388,0.001087235,0.0010044937032032603,0.00094175,0.00097,0.001002,1000,0.006009,0.036037,0.009290507,0.0021855065600338516,0.009017,0.0091295,0.0092705,1000,0.009868,0.034788,0.012562582000000001,0.0020900093658345166,0.012236,0.012367,0.012488,1000,0.139907,1.742974,0.24599293900000002,0.1083438796583973,0.21946275,0.249789,0.25609025,1000,0.011878,0.181104,0.028553663,0.008887617420064334,0.02550025,0.029355,0.03012675,1000,0.001883,0.017806,0.003003186,0.0012830492622670417,0.002804,0.002875,0.00294625,1000,0.006776,0.047712,0.015769345,0.004676749785264869,0.01502,0.01568,0.01604725,1000,0.001542,0.031112,0.007498152,0.003071209489581588,0.00586375,0.008972,0.00918625,1000,0.00097,0.015206,0.001363947,0.0008472251343007949,0.001181,0.0012445,0.001309,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008483,0.135569,0.010282673,0.008715905081061348,0.008806,0.009025,0.00937825,1000,1.113106,1.291771,1.1547603899999999,0.02642761195840252,1.1408255,1.1494015,1.167641,1000,0.067355,0.118091,0.06975803,0.007046239436969197,0.0676455,0.067833,0.06815825,1000,0.037916,0.07531,0.039591381999999994,0.004867104435090334,0.038308,0.0385405,0.0387755,1000,0.000697,0.011565,0.000887408,0.0005051232656847237,0.000807,0.0008375,0.00087725,1000,0.996815,1.176132,1.036270236,0.02426556147098814,1.02283225,1.032768,1.05032425,1000,0.002728,0.01598,0.003122413,0.001065730914645437,0.002868,0.0029265,0.003031,1000,0.008099,0.026137,0.008548574,0.0013956222370412417,0.008281,0.008355,0.008438,1000,1.145697,1.485329,1.190660568,0.03223483991372341,1.174779,1.1844975,1.2024075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000264,0.009484,0.000328736,0.00029342405202028,0.000299,0.000311,0.000327,1000,2.492573,5.124548,2.5662636340000002,0.20428778051568344,2.506877,2.5348445,2.5685475,1000,0.052178,0.094381,0.054082847,0.005100458776579907,0.052508,0.0526795,0.05370425,1000,0.043673,0.116779,0.045658251,0.005251376720441888,0.044268,0.044434,0.0446795,1000,0.687977,2.150876,0.715018286,0.10305994359143715,0.69425125,0.6976315,0.718315,1000,1.695885,2.833041,1.744086061,0.11650424818376916,1.705263,1.7223115,1.745071,1000,0.001144,0.003392,0.001311366,0.00016094963822264405,0.001244,0.001284,0.00133225,1000,0.005964,0.021513,0.006561024,0.0012133100013698064,0.006229,0.0063525,0.006524,1000,2.508731,5.176176,2.584261992,0.20699101309185847,2.5244355,2.553347,2.586414,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000271,0.011612,0.00034988799999999997,0.0004847403629325702,0.000308,0.000321,0.000337,1000,2.625316,5.122424,2.720207058,0.19116532964764463,2.67794575,2.695706,2.711783,1000,0.052198,0.116298,0.054788378,0.006582628517326191,0.052748,0.0529755,0.05336225,1000,0.043838,0.093256,0.046071146,0.005444147931925068,0.04445275,0.0447345,0.045029,1000,0.689365,2.0176,0.721435542,0.09122801746804672,0.6992525,0.707526,0.72960025,1000,1.826305,2.959193,1.890364403,0.11597161841544935,1.85652025,1.868712,1.89073675,1000,0.001159,0.0225,0.001426362,0.0008480550954719863,0.001277,0.0013455,0.001438,1000,0.005938,0.025374,0.006739425,0.0016805861216774938,0.00630375,0.006474,0.0066755,1000,2.642699,5.170803,2.738744281,0.19358459364492836,2.697069,2.7134445,2.73089125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
