SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339662,0.594944,0.36085749019607843,0.02443265148322802,0.349321,0.354628,0.3632655,255,11.76864,19.190215,12.338176207843137,0.531648831204119,12.1893125,12.329905,12.4451865,255,0.281037,0.466088,0.2970028588235294,0.020066364003800248,0.285294,0.290985,0.3000555,255,0.13567,0.218474,0.14405129019607843,0.01267989755239827,0.137757,0.138412,0.1446905,255,3.57111,4.620536,3.6897239450980392,0.10005022832920671,3.6203415,3.671371,3.7307725,255,3.57111,4.620536,3.6897239450980392,0.10005022832920671,3.6203415,3.671371,3.7307725,255,0.025521,0.05638,0.027863741176470586,0.003797619701823373,0.0262125,0.026631,0.0273025,255,0.051725,0.082063,0.054262517647058826,0.0036309139267966997,0.052871,0.053281,0.053785,255,40.185992,72.312539,47.9513780627451,3.412889731187008,47.624436,47.9662,48.164055,255,27.207474,52.282547,35.066353,3.1444431344958863,35.049496,35.201364,35.2878335,255,0.020277,0.04862,0.022517976470588234,0.0034840701023196616,0.0213515,0.02177,0.0222615,255,21.781499,31.540017,22.301710701960783,1.5056217305579456,21.8737525,21.90835,21.9514015,255,4.921971,28.736118,12.318495035294118,2.36100150900199,12.729766,12.845782,12.9336545,255,0.39241,0.577958,0.42153628235294116,0.02442072298279946,0.40742,0.413481,0.4274895,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.64725,20.016907,9.210557964102565,0.9457439907803367,8.8434015,8.923032,9.144839,1755,8.326665,19.528001,8.914204138461537,0.9370964003115134,8.549385,8.62719,8.8464365,1755,0.004973,1.522707,0.17363257758784426,0.17035823936555944,0.02854325,0.1162,0.28075025,10530,0.006141,0.325533,0.07748640712250712,0.07472149915326932,0.014823,0.0609165,0.10853375,10530,0.037963,8.052489,1.1818784607787274,1.2413266799961442,0.08884225,0.900058,1.70085,10530,0.037963,8.052489,1.1818784607787274,1.2413266799961442,0.08884225,0.900058,1.70085,10530,0.094445,0.24287,0.11154658746438748,0.016427473412995,0.100917,0.104495,0.11743,1755,0.129201,0.231302,0.14402862108262107,0.01537150469945501,0.1344255,0.13754,0.144753,1755,23.738377,46.390121,30.925262205698004,3.9480851195229727,27.9947745,30.311583,33.6016285,1755,14.411787,33.451748,21.121040031908834,3.696969353548988,18.432173,20.629324,23.433282,1755,0.074877,0.160932,0.08703099373219374,0.012385926616105953,0.0803865,0.083125,0.0874375,1755,13.514743,32.195333,20.249509455840457,3.6034485713946913,17.625584,19.785227,22.490464,1755,0.105579,0.68436,0.2711284905982906,0.10873542333674624,0.2062505,0.244091,0.3020985,1755,0.435935,0.956466,0.511040366951567,0.047913864212705194,0.482459,0.503219,0.52815,1755,0.0,4.8,1.44,1.763632614803888,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.028137,1.770004,0.106819474,0.11871976526667043,0.05289875,0.092618,0.12377675,1000,0.192622,0.320214,0.215844583,0.021825412623433058,0.19936475,0.204668,0.232819,1000,0.001927,0.031374,0.00270326475,0.0012118531518535724,0.00214,0.002281,0.003086,4000,0.00408,0.021594,0.00524166575,0.0013412574286940362,0.004403,0.0046385,0.005906,4000,0.014602,0.084598,0.01747814125,0.0034076075249797238,0.01534575,0.016178,0.01871125,4000,0.014602,0.084598,0.01747814125,0.0034076075249797238,0.01534575,0.016178,0.01871125,4000,0.020183,0.057874,0.023014576000000002,0.0038856696537693473,0.02079975,0.021109,0.024984,1000,0.025568,0.067076,0.028222891,0.003962995437685867,0.02609775,0.026547,0.02957025,1000,0.501927,2.4946,0.609304115,0.1526521057514693,0.52771525,0.567461,0.67460625,1000,0.09162,0.211214,0.107067797,0.017124926806786386,0.0945485,0.098556,0.118344,1000,0.025942,0.088804,0.029660331999999998,0.005379697788145353,0.02664425,0.0272115,0.03172975,1000,0.041605,0.103606,0.049065196000000005,0.009181037342565599,0.0426155,0.045483,0.0548875,1000,0.006149,0.027129,0.007822111,0.0022501223039379436,0.00652975,0.006811,0.0083885,1000,0.016889,0.051828,0.019922316,0.0037637606813058664,0.01747675,0.0181035,0.0214,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.03467,1.724672,0.109423012,0.12052361218903064,0.054628,0.0945225,0.1254835,1000,0.192278,0.419264,0.223237568,0.03600214437193119,0.1990595,0.212304,0.2358,1000,0.001973,0.01936,0.0028249595,0.0013546467022289427,0.002168,0.0023275,0.003115,4000,0.004108,0.025777,0.00545033325,0.001828291942687064,0.00443,0.004667,0.00592175,4000,0.014584,0.052624,0.018040895,0.004012463580828491,0.015412,0.0164905,0.01887825,4000,0.014584,0.052624,0.018040895,0.004012463580828491,0.015412,0.0164905,0.01887825,4000,0.020094,0.062777,0.023694187000000002,0.004816448206513903,0.0207215,0.021188,0.0261815,1000,0.02566,0.069537,0.029271441999999998,0.005836789222221066,0.02618875,0.0271165,0.02982025,1000,0.49931,2.592032,0.628791358,0.1653929408686049,0.536407,0.5838825,0.68589475,1000,0.090535,0.225661,0.109764977,0.020769055572376686,0.09464725,0.0998375,0.119134,1000,0.025578,0.073733,0.030619144,0.007073447630629918,0.02652,0.0273885,0.03245275,1000,0.041255,0.131782,0.050323131,0.01138528299111792,0.04266525,0.0458425,0.055168,1000,0.00613,0.02773,0.007982191,0.00237457194679778,0.00650675,0.0070965,0.0086145,1000,0.016484,0.048781,0.020257012999999997,0.004534990325329371,0.017333,0.018517,0.0213285,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.031,1.683145,0.078045815,0.1154325394639171,0.05212875,0.065927,0.0781645,1000,0.19419,0.405176,0.207626754,0.018439078568070692,0.19890625,0.201617,0.2064865,1000,0.001959,0.020474,0.002546082,0.001066104408946891,0.002124,0.002206,0.002979,4000,0.004089,0.032748,0.0050373605,0.00159358800056343,0.004376,0.004518,0.005791,4000,0.014592,0.058169,0.01699152825,0.0033913497028029917,0.01520675,0.0159505,0.018524,4000,0.014592,0.058169,0.01699152825,0.0033913497028029917,0.01520675,0.0159505,0.018524,4000,0.020408,0.058994,0.021721637,0.0035442203787618793,0.020792,0.0209265,0.0211225,1000,0.025426,0.063155,0.027049663,0.0035366562891283346,0.02607975,0.026281,0.026509,1000,0.517221,2.484239,0.583226355,0.14020818391030881,0.53702475,0.5656965,0.589786,1000,0.10256,0.222225,0.126841502,0.016922739034033348,0.11496875,0.1250695,0.1318265,1000,0.025396,0.063009,0.027560022,0.0037683013068909445,0.026249,0.0265635,0.02692625,1000,0.046775,0.11454,0.050184069000000005,0.0071091053779107115,0.04758425,0.048003,0.04890375,1000,0.009364,0.100569,0.029502728,0.0104150644266858,0.0209355,0.0308545,0.0355645,1000,0.016987,0.075158,0.019044814,0.0037938952406997217,0.01762275,0.017945,0.0184565,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040327,1.454335,0.080300862,0.09587011580310602,0.071692,0.074886,0.07546725,1000,0.059726,0.16123,0.078771811,0.009244313259906276,0.07725675,0.0778845,0.0814115,1000,0.002967,0.016011,0.004171581,0.0007553761125684344,0.004152,0.004216,0.00426825,1000,0.005816,0.025999,0.007803414,0.0015080056089431498,0.00765375,0.0077715,0.0079225,1000,0.018307,0.064277,0.024943596000000002,0.0040348154793972925,0.02461875,0.0249135,0.0252265,1000,0.018307,0.064277,0.024943596000000002,0.0040348154793972925,0.02461875,0.0249135,0.0252265,1000,0.006255,0.027176,0.009450365,0.001653547897030806,0.00938,0.0095425,0.00975825,1000,0.00986,0.034522,0.012147515999999999,0.001875074547249789,0.011975,0.012089,0.01217725,1000,0.164359,1.785064,0.267932918,0.10739089010898119,0.261993,0.264724,0.2679025,1000,0.012894,0.086291,0.039277186,0.010537332061836336,0.03994425,0.040453,0.04256025,1000,0.00204,0.018876,0.0029845120000000004,0.000979505312826837,0.002872,0.002963,0.003034,1000,0.007293,0.053892,0.017052502,0.004467799459912676,0.017345,0.017467,0.01759325,1000,0.001901,0.056563,0.016626894,0.006345858786071748,0.01780525,0.018079,0.018249,1000,0.00101,0.016031,0.0013854400000000002,0.0006111304070327379,0.001307,0.001347,0.001382,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040228,1.547113,0.09711193300000001,0.10158281440586549,0.074586,0.099481,0.1041925,1000,0.059255,0.167119,0.080178755,0.011423127567394798,0.07679475,0.0783765,0.08208075,1000,0.00291,0.024005,0.004261557,0.0012217457087098772,0.004124,0.004207,0.00430225,1000,0.005841,0.03556,0.00790223,0.002071673863594364,0.00760575,0.0077405,0.007864,1000,0.0183,0.067635,0.02552204,0.004763486787050008,0.02476,0.025078,0.025476,1000,0.0183,0.067635,0.02552204,0.004763486787050008,0.02476,0.025078,0.025476,1000,0.006186,0.025839,0.009698200999999998,0.0021964529015207675,0.00931425,0.009596,0.009826,1000,0.009841,0.033787,0.012379283,0.002242887493146056,0.011966,0.012105,0.01226025,1000,0.162553,1.86034,0.278337729,0.1141459794720846,0.25232125,0.281814,0.29042925,1000,0.013002,0.076553,0.02981349,0.00753184609228707,0.02715075,0.030945,0.03202325,1000,0.002061,0.016908,0.003016975,0.000849368330216638,0.00289175,0.002969,0.003058,1000,0.007322,0.054517,0.01619884,0.004368688531172713,0.01574775,0.016333,0.0168015,1000,0.001915,0.027843,0.007950646,0.003098089792547014,0.00635375,0.009061,0.00995425,1000,0.000987,0.012864,0.00136907,0.0006345499784098964,0.001248,0.0013165,0.001377,1000,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.009052,0.130812,0.010607936,0.008383988941423049,0.00927475,0.009384,0.00962225,1000,1.12553,1.376027,1.17430975,0.040428308689178426,1.14150725,1.1633475,1.2050005,1000,0.067058,0.114046,0.070059812,0.006472354723796897,0.06740875,0.067728,0.070273,1000,0.037598,0.091647,0.039620186,0.004762001982927349,0.03800975,0.038193,0.040794,1000,0.014919,0.044133,0.015929585,0.0020041629326916013,0.015375,0.0155195,0.01569075,1000,0.995206,1.209487,1.040147581,0.03639400241335705,1.0083155,1.028608,1.068787,1000,0.002814,0.023715,0.0032201860000000003,0.001084559123056,0.00299875,0.003045,0.003102,1000,0.011146,0.031107,0.01184741,0.001973188749689193,0.011372,0.011452,0.01158,1000,1.165854,1.537365,1.216504699,0.04372875898477338,1.183349,1.2053455,1.24470325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000285,0.001356,0.00041728100000000003,0.00012922129870497357,0.000339,0.000368,0.00047525,1000,2.570796,5.163281,2.667886262,0.23090546105930315,2.588771,2.6234375,2.66135125,1000,0.051235,0.125317,0.055608991,0.008528152588979574,0.052678,0.0529455,0.053476,1000,0.043023,0.119997,0.046113137000000005,0.005876931810922346,0.04435225,0.0446045,0.0448995,1000,0.689851,2.131874,0.7228061459999999,0.10142316317722833,0.697626,0.707677,0.723517,1000,1.77079,3.458206,1.835066131,0.14374241140564548,1.77708675,1.805056,1.837757,1000,0.001261,0.016245,0.0015991400000000002,0.0008295701226538961,0.001387,0.001434,0.001508,1000,0.011769,0.040625,0.013080702999999999,0.002962457246069722,0.012101,0.012245,0.01244,1000,2.59441,5.239587,2.6953685789999997,0.23548632116590926,2.61407325,2.649444,2.6885225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.8,0.96,1.9200000000000002,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000296,0.012928,0.000401583,0.0005024441731287169,0.000353,0.00037,0.000389,1000,2.607565,4.988175,2.707338835,0.18836576498738236,2.63704375,2.6692095,2.7327165,1000,0.051768,0.100064,0.054144008,0.004614010623734627,0.05251975,0.0527755,0.0534075,1000,0.04407,0.08828,0.045918226,0.0039448416385102205,0.04461375,0.044871,0.04515525,1000,0.689839,1.981473,0.714720084,0.08782150229610597,0.69599375,0.700636,0.71972425,1000,1.808213,2.911676,1.8848600819999999,0.12044234801726209,1.82054575,1.854868,1.90250325,1000,0.001223,0.01257,0.001472578,0.000600602184408282,0.001356,0.0014265,0.00149225,1000,0.01175,0.028306,0.012412991,0.0015452834034309047,0.01204175,0.012151,0.01228325,1000,2.631382,5.044483,2.73314558,0.190428945947389,2.66237925,2.694638,2.75729275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSparseLU,0.00037,0.001875,0.000517077,0.00013251033571386046,0.000441,0.000477,0.000559,1000,3.340397,6.607087,3.502034036,0.31048790729493586,3.38366325,3.424479,3.49068925,1000,0.051953,0.154307,0.059006883,0.010938193365511098,0.05434325,0.055306,0.05858075,1000,0.043596,0.118035,0.04872417,0.00748847613677843,0.04561525,0.047078,0.0482505,1000,0.69335,2.006863,0.7358315679999999,0.09793303779360352,0.701978,0.708684,0.74294,1000,2.535825,5.119349,2.648225006,0.2273313902360516,2.5625135,2.591089,2.64298025,1000,0.001423,0.014159,0.00195121,0.000943420701437063,0.001623,0.001746,0.0019,1000,0.012727,0.045865,0.014440823,0.003259741124640268,0.01327175,0.01349,0.0138785,1000,3.366893,6.681401,3.5330675830000002,0.3159584805795615,3.41178525,3.4525555,3.52044125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
