SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.330117,0.428848,0.3464973333333333,0.01445679216319005,0.335595,0.343998,0.3514045,255,12.183464,13.962533,12.673660850980392,0.278495472370141,12.5114495,12.689446,12.7754085,255,0.28537,0.409048,0.3009360901960784,0.017866843326635268,0.2897405,0.294676,0.3060715,255,0.135908,0.23198,0.14858333333333335,0.01840113066247605,0.1375525,0.13828,0.1496835,255,3.882676,4.441085,3.9993676000000002,0.06771770539014643,3.9621385,3.994889,4.029607,255,3.882676,4.441085,3.9993676000000002,0.06771770539014643,3.9621385,3.994889,4.029607,255,0.022671,0.050278,0.02516810980392157,0.002824965035997749,0.0237855,0.024176,0.026072,255,0.054071,0.083775,0.0566793568627451,0.003191386632383307,0.0550455,0.05553,0.0575525,255,40.318063,54.093863,47.718185215686276,1.8279734902396552,47.9176925,48.296716,48.437213,255,27.142274,39.872155,34.510577847058826,1.8503983363068623,35.019887,35.146945,35.2385145,255,0.020764,0.036424,0.022499749019607843,0.0017814352353630926,0.0216825,0.022184,0.0227155,255,21.693023,25.334399,21.96941376470588,0.3109867874493043,21.8831795,21.916714,21.964911,255,4.838864,15.227904,12.106057388235293,1.7943389413088353,12.717378,12.802167,12.8667295,255,0.390388,0.53289,0.4102256549019608,0.020251763469825785,0.399474,0.403864,0.41062,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.338459,33.944258,13.403785261538461,1.2777269290751256,13.0546135,13.181261,13.3276085,1755,12.001619,33.358336,13.046968313960114,1.232961044888662,12.718788,12.829143,12.9659185,1755,0.007707,3.661595,0.25921768062678063,0.23451510268552103,0.05467025,0.2907085,0.4073085,10530,0.00913,0.693604,0.10987178376068375,0.08969138803901683,0.0232035,0.1128615,0.18776475,10530,0.082005,12.486659,1.883324606362773,1.930527367472346,0.17390425,1.2381575,2.71434275,10530,0.082005,12.486659,1.883324606362773,1.930527367472346,0.17390425,1.2381575,2.71434275,10530,0.09386,0.506389,0.11955232592592592,0.024579047860565077,0.1112175,0.117937,0.1220675,1755,0.133477,0.647726,0.15274764273504274,0.025223300856859844,0.1439165,0.147366,0.151852,1755,23.712453,76.898699,29.491589194871793,3.8341296958805446,27.3052175,29.141417,31.0278,1755,10.298284,52.966037,15.450530079202279,3.121649637852457,13.507422,15.201601,17.103854,1755,0.076317,0.406725,0.09151002735042735,0.020478367301743586,0.083476,0.087627,0.090944,1755,9.45373,52.001372,14.575671813675214,3.0048250845393967,12.7381875,14.358376,16.195342,1755,0.105071,3.044916,0.2862781378917379,0.14150182302899944,0.2194405,0.260666,0.313766,1755,0.412836,2.033648,0.4949156849002849,0.07942542814320538,0.468019,0.489496,0.508578,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037993,3.46225,0.097909421,0.15418804316957188,0.04372225,0.082467,0.1105485,1000,0.273048,0.96532,0.30956557900000004,0.04160277090684897,0.28587925,0.2922605,0.32743525,1000,0.001323,0.025639,0.002080045,0.0008314885919091133,0.00162775,0.001852,0.00243425,4000,0.003026,0.024893,0.00399987625,0.0011235848047370246,0.00335475,0.00361,0.004464,4000,0.021079,0.082779,0.0248740995,0.004286030574739259,0.022197,0.0237335,0.0259775,4000,0.021079,0.082779,0.0248740995,0.004286030574739259,0.022197,0.0237335,0.0259775,4000,0.020813,0.048501,0.023561488000000002,0.003518064797279322,0.02128025,0.021514,0.025389,1000,0.025956,0.061932,0.028188674,0.0032119087931826457,0.026402,0.026722,0.029473,1000,0.576978,5.27057,0.697812395,0.20975686182293296,0.60482675,0.64887,0.7593325,1000,0.092035,0.364237,0.107904223,0.018815835209930784,0.0954415,0.0994615,0.1181955,1000,0.025669,0.093289,0.029935918000000002,0.00551378799041784,0.02678525,0.027459,0.03228125,1000,0.042259,0.213356,0.049733955999999996,0.010570413500997205,0.0432325,0.0459495,0.05518475,1000,0.006215,0.022859,0.007647856,0.0018364038007105082,0.006455,0.0068815,0.00811825,1000,0.01696,0.064602,0.019988271000000002,0.0036104705847796355,0.0176365,0.01836,0.021494,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034162,1.742825,0.09591135,0.11959859605299511,0.043507,0.082778,0.111665,1000,0.277184,0.427958,0.30860107000000003,0.025138149853660672,0.28978975,0.2965715,0.32465275,1000,0.001369,0.019985,0.00210136625,0.0007779685601686855,0.00168175,0.0018685,0.00246525,4000,0.00308,0.02661,0.00404741575,0.0009545147360842249,0.003475,0.003729,0.004523,4000,0.021301,0.065537,0.02465069325,0.0031598064577841533,0.02232475,0.02382,0.026041,4000,0.021301,0.065537,0.02465069325,0.0031598064577841533,0.02232475,0.02382,0.026041,4000,0.0207,0.046592,0.023229843,0.0028632737812425485,0.021268,0.0215205,0.02499825,1000,0.02577,0.055778,0.02802913,0.0030593879788447884,0.026337,0.0266445,0.02928125,1000,0.580747,2.580889,0.691964201,0.15645004936388676,0.6026575,0.648142,0.75839025,1000,0.091551,0.228851,0.107042225,0.01647238698799828,0.095523,0.0992675,0.1173395,1000,0.025882,0.08625,0.029694865,0.004920331671622859,0.026757,0.02747,0.03200525,1000,0.041962,0.117578,0.04924839499999999,0.009342334960007321,0.04311025,0.045273,0.0541395,1000,0.006097,0.023663,0.007642143,0.0018464011504954712,0.0064285,0.0069485,0.00818875,1000,0.016986,0.057794,0.019878211,0.003512783190075784,0.01767975,0.018198,0.021387,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.034802,1.688543,0.067332735,0.11621660562202278,0.04236625,0.0543995,0.067519,1000,0.272774,0.431622,0.293893188,0.017076051151793146,0.2859615,0.2893215,0.294546,1000,0.001311,0.013613,0.001937311,0.0007265748418291126,0.001585,0.001702,0.002351,4000,0.003031,0.022948,0.00375787375,0.001009705636713462,0.003286,0.003439,0.004309,4000,0.02115,0.053514,0.0236669385,0.002623826093840396,0.021988,0.02341,0.024178,4000,0.02115,0.053514,0.0236669385,0.002623826093840396,0.021988,0.02341,0.024178,4000,0.020987,0.041595,0.022010655,0.0018165358983447037,0.02135175,0.021506,0.021796,1000,0.026007,0.053236,0.026944871999999998,0.0018252443413461113,0.02638975,0.0265425,0.02671775,1000,0.593335,2.509189,0.6596843170000001,0.14028922791673104,0.61686575,0.6417455,0.66207975,1000,0.10427,0.238545,0.127708774,0.016037985875755223,0.116756,0.1264715,0.13326175,1000,0.025958,0.064359,0.027892232,0.0032829673876199252,0.02677,0.027118,0.02747325,1000,0.047802,0.117137,0.050806113,0.0060729809089302275,0.04874375,0.049205,0.0498185,1000,0.009245,0.086918,0.029318562000000003,0.01011924855481651,0.02085325,0.03081,0.03549075,1000,0.017354,0.059096,0.019130051999999998,0.003187419693623041,0.01790575,0.0181635,0.01858475,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.030443,1.504856,0.07982402000000001,0.09743163709206368,0.072064,0.073231,0.07577475,1000,0.081068,0.196168,0.10844563,0.011105848085450296,0.106415,0.108933,0.110769,1000,0.002278,0.013667,0.003286658,0.0010153975256203848,0.003105,0.0031875,0.00327625,1000,0.00442,0.014882,0.005912445,0.0009454980777214728,0.005748,0.005882,0.00600425,1000,0.025049,0.070419,0.034333247000000004,0.0044508350434487014,0.033228,0.0336555,0.0361295,1000,0.025049,0.070419,0.034333247000000004,0.0044508350434487014,0.033228,0.0336555,0.0361295,1000,0.006456,0.027438,0.009958847,0.001765005557382469,0.009785,0.009931,0.0102005,1000,0.010301,0.0297,0.012538674000000001,0.0015236835556387684,0.012327,0.012436,0.012545,1000,0.183263,1.801073,0.29787464,0.10834783925442353,0.2921675,0.295279,0.2992105,1000,0.012999,0.181414,0.039913151,0.011278896537879892,0.04072975,0.0413375,0.04199325,1000,0.002182,0.141727,0.0034410129999999997,0.004459379861239789,0.00313975,0.003222,0.00335,1000,0.007366,0.081245,0.017533048,0.0046380400355857205,0.0175695,0.0177235,0.01796925,1000,0.001818,0.059164,0.016977966,0.006345471484834203,0.018155,0.018403,0.0185805,1000,0.000989,0.011752,0.0014665190000000001,0.0006607133778265731,0.00131075,0.001367,0.00142425,1000,0.0,7.2,1.44,2.88,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037069,1.56554,0.09463674000000001,0.1004308137446292,0.0735315,0.1006645,0.10254075,1000,0.080786,0.168014,0.108228788,0.01087233904341913,0.10600125,0.10876,0.1105975,1000,0.002234,0.013482,0.0032951950000000003,0.0009828954578056611,0.003132,0.0032095,0.00329725,1000,0.004387,0.021998,0.005958463,0.001352730002118309,0.00573175,0.005854,0.00596,1000,0.025093,0.070605,0.034330824,0.004319243704981694,0.03321725,0.033778,0.03607,1000,0.025093,0.070605,0.034330824,0.004319243704981694,0.03321725,0.033778,0.03607,1000,0.006563,0.020429,0.009768136,0.0013720487883103864,0.00973725,0.0098875,0.010123,1000,0.010201,0.026913,0.012373547,0.001200840842822645,0.012257,0.012363,0.012482,1000,0.183657,1.861849,0.301719621,0.11146132333283756,0.28052925,0.310238,0.31667125,1000,0.012916,0.08302,0.029794151999999997,0.007443066235154433,0.027472,0.0316275,0.0321115,1000,0.002144,0.01988,0.003278662,0.0010082139077378371,0.00313175,0.003202,0.00326525,1000,0.007308,0.076917,0.016507259,0.004676921801775074,0.01597325,0.016741,0.016999,1000,0.001867,0.02241,0.008069488,0.0029522897838552367,0.00645275,0.009746,0.01000825,1000,0.000972,0.006738,0.001433214,0.0005516368354307026,0.001278,0.00135,0.001412,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.006556,0.137693,0.008232806,0.008870161684905412,0.00691075,0.0070155,0.00725,1000,1.136568,1.315523,1.162495193,0.024348114294247738,1.15029675,1.1548025,1.16181975,1000,0.066542,0.126739,0.06822304700000001,0.004760437188409379,0.06716375,0.067359,0.06748825,1000,0.036998,0.068026,0.03887475,0.0032126017259380287,0.0374785,0.0377835,0.03867875,1000,0.021565,0.04611,0.023305293,0.0022225953246488668,0.0220585,0.022308,0.024508,1000,0.987574,1.134145,1.0084725890000001,0.021041954480752946,0.999123,1.001925,1.00445725,1000,0.002902,0.012567,0.003226316,0.000644844843465465,0.00304575,0.00309,0.00314425,1000,0.011244,0.023618,0.011723728,0.0008485104690078963,0.011499,0.011576,0.011678,1000,1.17252,1.443236,1.201678758,0.029266961857894236,1.18777925,1.1933755,1.20199275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000294,0.017344,0.000385646,0.0006095621860680008,0.000328,0.000343,0.00037525,1000,2.51875,5.08361,2.597422178,0.18966396320854503,2.53618925,2.5614755,2.6165765,1000,0.051812,0.110074,0.055291985,0.005099805956972775,0.05240675,0.053018,0.05836175,1000,0.043878,0.080559,0.046032838000000006,0.003311666057705094,0.0446115,0.044893,0.04696325,1000,0.698847,2.121885,0.722822998,0.09651483641691569,0.7046175,0.7077995,0.7258875,1000,1.694482,2.771043,1.7487765220000002,0.10584877554654809,1.70880125,1.7258765,1.761019,1000,0.001282,0.004185,0.001471866,0.00017932857007180983,0.00139575,0.001442,0.001503,1000,0.012735,0.034136,0.013529798,0.0011032755789901268,0.013115,0.013335,0.0136515,1000,2.544253,5.143515,2.6245809270000002,0.19208484073848636,2.5630995,2.5887505,2.643437,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000293,0.000844,0.000339802,4.4766357859446196e-05,0.000321,0.000333,0.00034625,1000,2.624431,5.075352,2.6963473330000003,0.18171008999976893,2.64470525,2.6688145,2.6947105,1000,0.051886,0.086601,0.054991739000000005,0.004010373293208377,0.05241675,0.05308,0.05692575,1000,0.044674,0.082966,0.047368663,0.004038543413339889,0.04581675,0.0462005,0.04756825,1000,0.69894,2.060138,0.719242832,0.08735347341364152,0.70449475,0.7074125,0.71268175,1000,1.796956,2.861741,1.8502765749999999,0.10703503241771069,1.81664425,1.826947,1.850162,1000,0.001276,0.003821,0.001477406,0.00021572404864548595,0.001376,0.00143,0.00152425,1000,0.012729,0.029203,0.013243617000000001,0.0008424211905638414,0.013025,0.013124,0.013253,1000,2.649516,5.136157,2.7229945989999997,0.18398717865187833,2.6709155,2.6957775,2.7210435,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
