SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.344654,0.646177,0.37243822352941175,0.03750571274782794,0.351825,0.361274,0.3802075,255,11.680783,21.40661,12.425603376470589,0.932893569038015,12.1284495,12.264747,12.484954,255,0.284935,0.46545,0.3028116235294117,0.02310598005965325,0.2889705,0.29582,0.309198,255,0.137121,0.260556,0.14782461960784313,0.0202637071700839,0.1385525,0.139221,0.145104,255,3.534067,5.561064,3.719327568627451,0.2337584455120583,3.609235,3.687945,3.759966,255,3.534067,5.561064,3.719327568627451,0.2337584455120583,3.609235,3.687945,3.759966,255,0.024798,0.057928,0.0278004431372549,0.004220391719076904,0.026039,0.026458,0.0273415,255,0.050803,0.099465,0.05401390980392157,0.006177094081354426,0.0516335,0.052074,0.053116,255,40.032507,63.354146,48.75960486666667,3.495443276353373,47.664603,48.028201,48.6814465,255,27.278415,45.291872,35.77724661176471,3.11605061964465,35.1199795,35.274987,35.7136925,255,0.021348,0.041824,0.023026141176470588,0.002343003645330068,0.0221205,0.022521,0.023014,255,21.795223,29.17772,23.038247749019607,2.2937918171897507,21.904725,21.952259,22.1536255,255,4.918547,20.280941,12.291546247058823,1.9315147616406279,12.752047,12.877216,12.997999,255,0.397066,0.589614,0.4224680588235294,0.030439944675564733,0.4041335,0.41066,0.4286515,255,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
SofaScene,8.643295,15.915775,9.284143194871794,0.977649736937369,8.8320345,9.056413,9.276928,1755,8.359759,15.621892,8.984670435897437,0.9690569347003782,8.5405915,8.762505,8.966436,1755,0.005139,0.656119,0.1763899992402659,0.1723173409410055,0.0289105,0.1243545,0.28220725,10530,0.006071,0.387522,0.08491148328584995,0.08193189417655362,0.0154485,0.0617705,0.144815,10530,0.037209,6.653437,1.195263625071225,1.2534570760099255,0.0931,1.009682,1.7366125,10530,0.037209,6.653437,1.195263625071225,1.2534570760099255,0.0931,1.009682,1.7366125,10530,0.093979,0.287027,0.11268075783475784,0.016960388303691964,0.100401,0.110852,0.1174285,1755,0.127631,0.322261,0.14384437720797721,0.01566344914147493,0.133552,0.140388,0.1446785,1755,23.67798,46.05272,30.95527005698006,3.8911026216774633,28.2624225,30.287389,32.8735215,1755,14.3822,31.933992,21.070326213675212,3.6396840824464416,18.5261555,20.528932,22.846377,1755,0.073925,0.187566,0.08655093105413106,0.011164613888181244,0.080451,0.083312,0.088251,1755,13.564313,30.616935,20.198751498575497,3.543214264404489,17.7141265,19.669726,21.958219,1755,0.106502,0.699302,0.275325743019943,0.1094149136135441,0.2116,0.246215,0.3050925,1755,0.430782,1.2012,0.5074660113960114,0.05049191445046231,0.4797475,0.499545,0.523845,1755,0.0,6.0,1.2,2.4000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.033546,1.878105,0.108831497,0.1263495350021993,0.054198,0.0933965,0.12444725,1000,0.19207,0.346107,0.21841245499999998,0.023712370230914815,0.1984925,0.213266,0.23191925,1000,0.001874,0.020666,0.0027018602500000002,0.001374026932858282,0.002093,0.00222,0.00305,4000,0.004277,0.025038,0.0054363237499999995,0.0018080470051787749,0.00452475,0.004709,0.005864,4000,0.014222,0.054122,0.0176155405,0.0037793136386597703,0.01527,0.016158,0.01858425,4000,0.014222,0.054122,0.0176155405,0.0037793136386597703,0.01527,0.016158,0.01858425,4000,0.020252,0.061647,0.023393403,0.004953706055125899,0.02072275,0.0210065,0.02493975,1000,0.025569,0.065118,0.028815876,0.0050585237649559385,0.02613325,0.0266855,0.029763,1000,0.496386,2.649336,0.615652971,0.16184000008507832,0.53354,0.5733935,0.67261475,1000,0.089807,0.22806,0.107135537,0.018009979180904984,0.093779,0.098386,0.11734875,1000,0.025656,0.075925,0.029835395,0.005708766447050973,0.02647075,0.0273295,0.0320265,1000,0.041001,0.115135,0.049242217,0.010182464801015076,0.042032,0.0452285,0.0545595,1000,0.006172,0.02448,0.007728942,0.0022529914288864925,0.006419,0.006633,0.00814875,1000,0.016284,0.063402,0.019727467000000002,0.0042053853841129704,0.01715225,0.017883,0.0211475,1000,0.0,1.2,0.96,0.48000000000000004,1.2,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.030724,1.668699,0.105402122,0.11751100143031339,0.05207375,0.089955,0.123148,1000,0.19065,0.335324,0.213624744,0.022051727266462918,0.1964655,0.202068,0.2308765,1000,0.001915,0.02549,0.002644462,0.001105386371390565,0.002088,0.002186,0.003055,4000,0.004177,0.02546,0.005309383,0.0014301209841516905,0.004491,0.004684,0.00588,4000,0.014239,0.053184,0.017272917750000002,0.0030689385990900725,0.01512975,0.0160855,0.0185245,4000,0.014239,0.053184,0.017272917750000002,0.0030689385990900725,0.01512975,0.0160855,0.0185245,4000,0.02028,0.052064,0.023002006000000002,0.003778736561069586,0.0207245,0.02094,0.0246845,1000,0.025522,0.058795,0.028233846,0.003554504999895766,0.02614,0.026526,0.02960475,1000,0.496111,2.367092,0.6026748860000001,0.15037048217413218,0.522949,0.5609785,0.666016,1000,0.090219,0.188206,0.10542367600000001,0.015701717559204277,0.0932475,0.0974715,0.11692,1000,0.025451,0.064299,0.029456298,0.005134466175874178,0.0263315,0.0270675,0.03196,1000,0.040795,0.101061,0.048413287,0.008768235948617658,0.04217075,0.0431855,0.05440275,1000,0.006041,0.032113,0.0076086750000000005,0.001999235251133543,0.00633875,0.0068655,0.00811575,1000,0.016303,0.042668,0.01940373,0.003344427565234445,0.017085,0.017803,0.0209515,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.04351,1.740164,0.079198524,0.11771756455231915,0.051841,0.066244,0.07838725,1000,0.192931,0.444666,0.212293777,0.030845224921781184,0.199323,0.2028845,0.20850225,1000,0.001921,0.02134,0.0025635470000000002,0.0011004351265708487,0.002099,0.002177,0.003006,4000,0.004323,0.03118,0.005328144250000001,0.001708641955308934,0.00458675,0.004762,0.00585225,4000,0.014335,0.059666,0.017032967,0.0038393629815258417,0.014955,0.0157325,0.018263,4000,0.014335,0.059666,0.017032967,0.0038393629815258417,0.014955,0.0157325,0.018263,4000,0.020365,0.069402,0.022202679,0.004595758114605141,0.020834,0.020999,0.02128075,1000,0.025678,0.070258,0.027638992999999997,0.004632566463306381,0.026157,0.0264005,0.02670575,1000,0.515641,2.517232,0.593341883,0.15222716317233043,0.536627,0.565579,0.59334975,1000,0.101283,0.241153,0.12852511,0.021096451115623686,0.1150535,0.124697,0.13239375,1000,0.025405,0.07613,0.028044697,0.005523813180149289,0.026213,0.026509,0.02696825,1000,0.046562,0.120661,0.051483516,0.009550156794720387,0.0476325,0.048185,0.049809,1000,0.009262,0.076835,0.02948564,0.010465526774434243,0.02072,0.0303355,0.0350255,1000,0.016696,0.060883,0.018975156,0.0039285041944312595,0.017268,0.017492,0.01829125,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.03988,1.428708,0.080165452,0.09475123700667816,0.07113925,0.074326,0.0749565,1000,0.059133,0.141369,0.078945361,0.010270258732703817,0.07676325,0.0773905,0.0809425,1000,0.002826,0.019542,0.00429821,0.001299396528354605,0.00415,0.004229,0.004291,1000,0.005885,0.033688,0.007843986,0.001745118738024436,0.007694,0.0077795,0.007863,1000,0.018167,0.061331,0.024876127,0.00410267684821398,0.024516,0.0247795,0.025109,1000,0.018167,0.061331,0.024876127,0.00410267684821398,0.024516,0.0247795,0.025109,1000,0.006178,0.031036,0.009403884,0.0018366091686975758,0.009276,0.009428,0.0096415,1000,0.009852,0.040296,0.012346922,0.001913619962248513,0.012172,0.0122875,0.012398,1000,0.162017,1.684882,0.268063524,0.10471571904758818,0.2598575,0.263169,0.268762,1000,0.012631,0.084484,0.039173629999999994,0.010685861482777136,0.03960175,0.04014,0.0420455,1000,0.002064,0.020545,0.003113421,0.0012996116619048168,0.002953,0.003022,0.003095,1000,0.007078,0.053055,0.016910747,0.004317559599008565,0.017191,0.0173615,0.01752425,1000,0.00186,0.057467,0.016520628,0.0065586352212648625,0.01750125,0.0178145,0.01795425,1000,0.000988,0.017699,0.001364435,0.0008177040367853152,0.00126,0.0013,0.00133825,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,0.039889,1.511975,0.094330884,0.09686582215719093,0.073448,0.098028,0.10261475,1000,0.05838,0.140554,0.078198927,0.00980423235596092,0.076256,0.076957,0.08032075,1000,0.00286,0.017631,0.004177286,0.0009840282181949865,0.004122,0.0041915,0.00425525,1000,0.005829,0.027286,0.007832257,0.0018726306872821987,0.007621,0.007719,0.00780025,1000,0.018018,0.067954,0.024668817,0.0036286203201094215,0.024348,0.0246025,0.024926,1000,0.018018,0.067954,0.024668817,0.0036286203201094215,0.024348,0.0246025,0.024926,1000,0.006183,0.029136,0.009332349,0.00208476971131082,0.0091415,0.009275,0.009493,1000,0.009775,0.032964,0.012302766,0.0021329310399644903,0.012032,0.012147,0.012248,1000,0.160989,1.77842,0.271179163,0.10775253510348809,0.247529,0.277204,0.28317575,1000,0.0125,0.067353,0.02905914,0.00731816253949036,0.02646575,0.0302315,0.0310145,1000,0.001969,0.019609,0.003001673,0.0008950695593477638,0.002906,0.002991,0.003057,1000,0.007149,0.048284,0.015796812,0.0041832540375473255,0.01543475,0.0161635,0.01644025,1000,0.001866,0.037107,0.0076890479999999995,0.003244209760125877,0.006178,0.0086765,0.00947125,1000,0.000945,0.010206,0.00127501,0.00038852858826603735,0.001188,0.001242,0.001296,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008622,0.126753,0.01100659,0.00884549783719944,0.009008,0.0092885,0.0100265,1000,1.122085,2.265028,1.181241608,0.12567504046879133,1.13686775,1.1545485,1.18057425,1000,0.066807,0.136679,0.070624565,0.009371459598150922,0.06725775,0.0675175,0.06879375,1000,0.037538,0.085052,0.040222337,0.006435547903436894,0.038093,0.038387,0.03900425,1000,0.014607,0.067116,0.016369476,0.0040862325515594435,0.015023,0.0152635,0.01559275,1000,0.994837,2.00288,1.045034384,0.11070048738846883,1.0060175,1.023026,1.04440025,1000,0.00276,0.017326,0.0033957559999999998,0.001491681950840728,0.002955,0.00302,0.00312725,1000,0.01095,0.046519,0.01244194,0.0038577250477969524,0.01125,0.011454,0.01168275,1000,1.159905,2.392361,1.224911108,0.13670922224288432,1.1771555,1.194958,1.22313175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.9,0.9800000000000001,1.9600000000000002,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000279,0.010739,0.00038001299999999995,0.00034731674136298117,0.000319,0.000335,0.000368,1000,2.569106,5.015351,2.68255998,0.21632751126962932,2.60527675,2.6335755,2.67607475,1000,0.050725,0.157639,0.055902499,0.010040672404973633,0.052077,0.052663,0.0535275,1000,0.042993,0.090646,0.046756970999999994,0.006693196674695806,0.04440275,0.0447865,0.04517425,1000,0.689446,2.109653,0.726386404,0.10000913522249245,0.69622425,0.715211,0.72670275,1000,1.772895,3.062216,1.8449744620000001,0.13144818634135869,1.79346925,1.817763,1.84438225,1000,0.001137,0.014408,0.00156821,0.0009197750789731151,0.00127675,0.001354,0.0015745,1000,0.01168,0.04461,0.013330144,0.003299210519997777,0.01214675,0.0123395,0.01262025,1000,2.595682,5.071283,2.710080188,0.22076731562052082,2.63051025,2.659556,2.702576,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000289,0.010477,0.000391377,0.00035340586988758405,0.000328,0.000349,0.000382,1000,2.613122,5.291218,2.761359919,0.2594860363377892,2.67755825,2.712531,2.7515945,1000,0.051908,0.130152,0.056255246,0.007831112323130348,0.05242675,0.0528915,0.0568345,1000,0.044258,0.12534,0.047768986,0.007293834425856129,0.04482875,0.045343,0.047841,1000,0.688985,2.011636,0.733460493,0.09618515139965185,0.711719,0.718711,0.73767375,1000,1.812347,3.431586,1.915479068,0.18327071111312732,1.85251925,1.885514,1.91405775,1000,0.001165,0.01266,0.001507329,0.0007796747980786605,0.001312,0.001365,0.001448,1000,0.011751,0.044352,0.013196893,0.0029285225082882668,0.01213475,0.0123235,0.012646,1000,2.637273,5.349328,2.788821681,0.2627821227564143,2.70247725,2.7381845,2.779383,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,3.5,0.9400000000000001,1.3617635624439361,0.0,0.0,1.2,5
