SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341447,0.448302,0.3566586509803922,0.014392147973050627,0.347526,0.352914,0.3600165,255,11.77211,13.592463,12.24392054117647,0.27505842740915487,12.019839,12.290326,12.3493255,255,0.282282,0.371126,0.2936802588235294,0.012524767486537781,0.286509,0.288451,0.296241,255,0.136857,0.217239,0.1434054156862745,0.013506205552966001,0.1380725,0.138589,0.1396975,255,3.571089,3.840738,3.653390094117647,0.05303873251183261,3.618318,3.644155,3.686651,255,3.571089,3.840738,3.653390094117647,0.05303873251183261,3.618318,3.644155,3.686651,255,0.02512,0.048449,0.027121898039215685,0.002701688736479405,0.0260305,0.02638,0.026954,255,0.051586,0.072294,0.0534367294117647,0.001837854431421524,0.0526985,0.053052,0.053455,255,40.130464,49.883695,47.22571319215687,1.6950885514666554,47.558691,47.87112,48.0284115,255,27.246195,36.801445,34.44405303529412,1.765984589148564,35.0483895,35.141073,35.2158185,255,0.020509,0.050998,0.022557011764705884,0.0031061166644533694,0.0216995,0.02206,0.0223735,255,21.78543,22.558319,21.925011643137253,0.0803105267031377,21.8828145,21.913087,21.943976,255,4.89682,14.378396,12.082955925490197,1.7778542171951763,12.739351,12.797928,12.8461955,255,0.390484,0.487619,0.41162426274509806,0.016737097260382815,0.402212,0.406355,0.412756,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,8.942501,14.976726,9.326065372079773,0.33968032997626807,9.085089,9.228135,9.489246,1755,8.649878,14.674364,9.03243207008547,0.33236266940256726,8.797805,8.933958,9.1836335,1755,0.005142,0.657443,0.176376530674264,0.1720273406992408,0.0286055,0.1165985,0.283558,10530,0.006054,0.334166,0.08215424102564102,0.07955530594216217,0.0149365,0.0614655,0.1388195,10530,0.037257,5.357849,1.1685957880341882,1.2001589374915007,0.08991125,0.8872725,1.7485365,10530,0.037257,5.357849,1.1685957880341882,1.2001589374915007,0.08991125,0.8872725,1.7485365,10530,0.094495,0.192929,0.11276626609686609,0.013706271104753429,0.101918,0.112643,0.1170545,1755,0.128843,0.230951,0.1425685396011396,0.012379130460190896,0.134504,0.140595,0.143828,1755,24.177064,49.660335,30.921961304843308,3.732429655731571,28.403135,30.335198,32.609128,1755,14.486695,35.555524,20.998368943589742,3.6626028872593666,18.573128,20.438128,22.7439845,1755,0.072214,0.154226,0.08484670769230769,0.010856093198814058,0.079004,0.081704,0.086552,1755,13.532099,34.093397,20.124271414245012,3.5653447676596577,17.7572225,19.605222,21.826614,1755,0.105703,1.020476,0.28713091566951565,0.12028967225032619,0.2126015,0.260423,0.323074,1755,0.435221,0.728448,0.49986974757834757,0.03004565474856866,0.4785525,0.495351,0.517319,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.029353,1.715928,0.10598130800000001,0.11855325464044054,0.053239,0.0914445,0.123788,1000,0.192385,0.404269,0.21553366699999998,0.021102062017161048,0.2003845,0.205762,0.23049725,1000,0.001928,0.018326,0.00262365825,0.0008471346932199964,0.002096,0.002233,0.003057,4000,0.004154,0.018796,0.005196243749999999,0.0011683581036377234,0.004409,0.004609,0.005879,4000,0.01474,0.055764,0.01776412325,0.0024616422869822977,0.015838,0.016906,0.019123,4000,0.01474,0.055764,0.01776412325,0.0024616422869822977,0.015838,0.016906,0.019123,4000,0.020234,0.048625,0.022803468,0.0032455485750449028,0.02075375,0.020959,0.02477525,1000,0.025471,0.06058,0.028071273,0.0029921416611636224,0.0262595,0.0266125,0.02958625,1000,0.4986,2.42417,0.604875162,0.15130999130513412,0.51907675,0.5643075,0.669261,1000,0.090011,0.197152,0.105236025,0.015846072299607085,0.0936235,0.0976835,0.1163775,1000,0.025256,0.060952,0.029041735,0.004467978049048026,0.0261875,0.0268245,0.03146975,1000,0.041117,0.11548,0.048438972999999996,0.008683803715784403,0.042437,0.045062,0.0534845,1000,0.00626,0.025659,0.0076595,0.0019232275133223317,0.00651075,0.0066825,0.0081295,1000,0.016626,0.052496,0.019544862,0.0033527896097065206,0.01729775,0.017898,0.02115525,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.046447,1.732089,0.10629723699999999,0.11978374829606406,0.05304525,0.091248,0.1241085,1000,0.19366,0.379912,0.216388035,0.021368964794761934,0.200293,0.205748,0.23355175,1000,0.001943,0.017809,0.0026364095000000003,0.0008093599466922923,0.002115,0.00225,0.003071,4000,0.004177,0.025266,0.0053412955,0.0013485744681624927,0.004541,0.0047565,0.005928,4000,0.01482,0.05466,0.0177389935,0.002938175838927573,0.01565875,0.016688,0.01895625,4000,0.01482,0.05466,0.0177389935,0.002938175838927573,0.01565875,0.016688,0.01895625,4000,0.020247,0.050602,0.023044256000000003,0.0035369861529929683,0.02077775,0.021151,0.0248695,1000,0.025616,0.065033,0.028147012,0.0031517103759476374,0.02627875,0.026672,0.02962925,1000,0.502273,2.449218,0.606366424,0.15350093540924828,0.51708125,0.563261,0.67174625,1000,0.090474,0.203511,0.105427813,0.015918513303133274,0.093868,0.097726,0.1166975,1000,0.025125,0.06237,0.029221739,0.0045949331330149955,0.02631525,0.0271295,0.03156675,1000,0.041309,0.100009,0.048535992,0.008424077562198486,0.042441,0.04495,0.05449025,1000,0.006035,0.026739,0.007661669,0.0018612652388735463,0.00641775,0.006953,0.008194,1000,0.016428,0.047821,0.019457580000000002,0.003258924447053045,0.01719275,0.0178885,0.02109325,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.038334,1.749217,0.07891792600000001,0.11797457056845143,0.05308275,0.066745,0.07875975,1000,0.196692,0.318644,0.20678438200000002,0.01296045009643091,0.200069,0.203593,0.2076585,1000,0.001936,0.023735,0.0024809845,0.0009594236187731413,0.002081,0.002157,0.002959,4000,0.00415,0.027991,0.0049698315,0.0012062808750899394,0.00437375,0.004517,0.00578925,4000,0.014916,0.060401,0.01710636225,0.002376107105966593,0.0156025,0.016376,0.01874725,4000,0.014916,0.060401,0.01710636225,0.002376107105966593,0.0156025,0.016376,0.01874725,4000,0.020483,0.053593,0.021526999,0.0020242501626525806,0.02088875,0.021055,0.021252,1000,0.025831,0.068104,0.027005712,0.003020921460921485,0.0262865,0.0264265,0.0266195,1000,0.520303,2.471868,0.581451564,0.1404573599208454,0.53895775,0.566914,0.5837835,1000,0.103469,0.252645,0.126526426,0.016302800945313785,0.115698,0.125375,0.13182325,1000,0.025895,0.075634,0.02756757,0.0034161923234940976,0.0265575,0.0268495,0.02715725,1000,0.046666,0.138046,0.049896511,0.006278322566568159,0.04779875,0.0482905,0.0491165,1000,0.00934,0.058455,0.029442089,0.009966264722907927,0.02100325,0.0309595,0.0357705,1000,0.017157,0.144415,0.019091464,0.005056250750378585,0.017693,0.0179015,0.018503,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037413,1.491702,0.07988244,0.0968206751497654,0.07173575,0.074842,0.07549125,1000,0.060003,0.136561,0.078660891,0.008542696562392873,0.077504,0.078199,0.08172725,1000,0.002863,0.021039,0.004123854999999999,0.0009931378685635746,0.0040635,0.0041265,0.004188,1000,0.005908,0.021759,0.00775305,0.001163311552207748,0.007685,0.007766,0.007848,1000,0.019003,0.047258,0.025276385999999998,0.0026537433687159728,0.02522425,0.0254345,0.02585175,1000,0.019003,0.047258,0.025276385999999998,0.0026537433687159728,0.02522425,0.0254345,0.02585175,1000,0.006161,0.039158,0.009495504,0.0018581464597775923,0.009406,0.009551,0.00979475,1000,0.009895,0.038584,0.012058790000000002,0.0015294730772066568,0.011985,0.0120815,0.012165,1000,0.163325,1.752892,0.266412838,0.10671674562116178,0.261898,0.26461,0.26774125,1000,0.012763,0.090097,0.038825291,0.00984062781708154,0.04001775,0.040442,0.04146475,1000,0.002051,0.020267,0.0029592390000000002,0.0007465094734020459,0.00290075,0.002965,0.00303225,1000,0.007173,0.039116,0.016773886,0.003644680479411604,0.017252,0.017412,0.01759825,1000,0.00196,0.057252,0.016474700000000002,0.0060533609215046805,0.017867,0.0180915,0.018232,1000,0.001053,0.003875,0.001364251,0.0002322031050589117,0.001316,0.0013505,0.001386,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.02627,1.502173,0.096277059,0.0975709384925938,0.07439575,0.0990005,0.1040155,1000,0.060144,0.155221,0.080260149,0.011889563451985904,0.07727575,0.078123,0.08176275,1000,0.002923,0.025658,0.004259841,0.001244639981568566,0.00414475,0.004211,0.0042765,1000,0.0059,0.022447,0.007908722,0.0015588237587091107,0.007692,0.007793,0.0078885,1000,0.018858,0.060904,0.025706852,0.004137922657336166,0.02503775,0.0253975,0.02583625,1000,0.018858,0.060904,0.025706852,0.004137922657336166,0.02503775,0.0253975,0.02583625,1000,0.006212,0.035155,0.009772236,0.0025123955457499124,0.009391,0.009601,0.0098815,1000,0.009933,0.027743,0.012297077,0.001825079136111911,0.011963,0.012089,0.012241,1000,0.164097,1.762894,0.277791083,0.11023062670053231,0.25088925,0.2821115,0.2887605,1000,0.012951,0.083778,0.03015,0.008009839188897614,0.02708325,0.0311145,0.032046,1000,0.002062,0.018568,0.00310066,0.0011109135467713047,0.002932,0.00301,0.00311325,1000,0.007212,0.051589,0.016334584,0.004635808873426944,0.01571375,0.016386,0.01674075,1000,0.001946,0.031845,0.008050996,0.0031866293154341,0.00638675,0.0095695,0.009986,1000,0.00103,0.01144,0.001398729,0.000647788213507316,0.00127,0.001341,0.001407,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008863,0.152162,0.010414536,0.008681807302785751,0.009171,0.009296,0.00954925,1000,1.134455,1.328023,1.1625462320000002,0.03282692546112377,1.13915625,1.1419555,1.19330325,1000,0.067276,0.11672,0.069098691,0.004099357938448288,0.06768775,0.0678585,0.070314,1000,0.037739,0.077906,0.040675006,0.003927323726147871,0.03835275,0.0386865,0.04162925,1000,0.015197,0.035478,0.016162199000000002,0.0016845837917417465,0.01563325,0.015793,0.01599925,1000,1.000885,1.153384,1.0283054329999999,0.030186370202353097,1.007471,1.009355,1.04998125,1000,0.002763,0.109009,0.003218915,0.0033909494395780956,0.00294275,0.002997,0.003057,1000,0.011059,0.029638,0.011625039,0.001253515546564541,0.011325,0.0114065,0.011548,1000,1.172732,1.517304,1.2035486389999999,0.037071952774229186,1.17864925,1.182453,1.235096,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000287,0.003455,0.000351113,0.0001110550414479235,0.000327,0.000339,0.000357,1000,2.564828,4.929635,2.6272558650000004,0.18186935260590437,2.582907,2.600481,2.6265825,1000,0.050839,0.088091,0.053878709999999996,0.002944683738179705,0.05223975,0.052603,0.055777,1000,0.043035,0.078172,0.04552022,0.0029636434167423045,0.04469175,0.04496,0.045267,1000,0.690857,2.072105,0.70978268,0.09556907107284028,0.69622925,0.6989065,0.70394325,1000,1.764086,2.738829,1.810485612,0.10204881508647445,1.77499325,1.785567,1.82373525,1000,0.00124,0.004264,0.0014163119999999999,0.00015314433275834925,0.001347,0.0013945,0.00145,1000,0.011632,0.027418,0.012286187,0.0008382647994703106,0.01202175,0.0121435,0.012312,1000,2.588538,4.986013,2.652683079,0.18411766871049817,2.607961,2.625485,2.65135675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000286,0.002923,0.000365065,9.234683955068521e-05,0.00034,0.000356,0.000377,1000,2.61199,4.863472,2.6724885290000002,0.17475139574087287,2.62311425,2.6426855,2.6694895,1000,0.051932,0.091339,0.053310216,0.00301227624220356,0.05225,0.0525245,0.053532,1000,0.044349,0.086263,0.04578129,0.003507171690393842,0.044729,0.0449245,0.045986,1000,0.690915,1.956452,0.715280505,0.08763335136727328,0.696695,0.699544,0.72580175,1000,1.81165,2.796982,1.850562131,0.10337080494274889,1.8199515,1.824998,1.84875275,1000,0.001207,0.009992,0.001399416,0.00030150723862620615,0.001319,0.001367,0.00143525,1000,0.011795,0.022614,0.012293894,0.0006628974194881136,0.012073,0.01219,0.01234325,1000,2.635726,4.917784,2.697899499,0.17681936198439352,2.64813175,2.6691015,2.693958,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
