SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340365,0.563074,0.3583676039215686,0.021133033699335255,0.3462035,0.351169,0.3643895,255,11.464161,13.39932,12.015878023529412,0.2963843592059358,11.8649035,12.0224,12.1684065,255,0.282257,0.379044,0.2962256039215686,0.014182237145491716,0.2873105,0.290605,0.2992825,255,0.137152,0.213969,0.14670764705882353,0.015670934232975903,0.138445,0.139159,0.144669,255,3.572815,4.103364,3.71164437254902,0.09415765195236539,3.6444675,3.697451,3.7653505,255,3.572815,4.103364,3.71164437254902,0.09415765195236539,3.6444675,3.697451,3.7653505,255,0.022862,0.058292,0.024835301960784314,0.0030743742470266153,0.0236495,0.023974,0.0245855,255,0.052071,0.084147,0.055486458823529414,0.003973458909706759,0.053879,0.054427,0.0552035,255,39.753475,55.602926,47.7473647254902,2.719843559754789,47.2808865,47.611734,48.073424,255,27.241828,42.370574,35.19602495294118,2.700003905671436,35.0561545,35.155426,35.348549,255,0.021075,0.052635,0.023258066666666667,0.003582385161120225,0.022185,0.022498,0.0228895,255,21.743874,28.790734,22.651497439215685,2.0099099983994275,21.862322,21.896126,21.978332,255,4.886838,14.83084,12.098219462745098,1.7990043620588732,12.703167,12.801935,12.8808785,255,0.399911,0.474244,0.4202273058823529,0.015365724337251295,0.410036,0.414819,0.424962,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,9.047929,13.425829,9.503185043304844,0.28583442483562116,9.3406495,9.460369,9.6481335,1755,8.725077,13.098436,9.185821083190882,0.28254773298582686,9.0275065,9.144252,9.3298665,1755,0.004679,0.603277,0.1796482455840456,0.17472380939817878,0.02977725,0.1222945,0.28349375,10530,0.006159,0.362007,0.08838455878442544,0.08477277093694106,0.01575825,0.061572,0.1521845,10530,0.034312,5.096868,1.1852382697056032,1.2199333104213903,0.09624075,0.9144485,1.7703445,10530,0.034312,5.096868,1.1852382697056032,1.2199333104213903,0.09624075,0.9144485,1.7703445,10530,0.09692,0.184174,0.11415020056980056,0.012481683183059842,0.104563,0.112907,0.120931,1755,0.131277,0.247481,0.14705193732193733,0.01224763110224113,0.1385665,0.145986,0.150435,1755,24.122353,43.119957,31.116642723646724,3.6622155533337972,28.6284925,30.578779,32.7868605,1755,14.48194,31.470969,21.084883890028493,3.645693541165406,18.6945845,20.516419,22.783602,1755,0.072756,0.160079,0.0837972415954416,0.00865207410752731,0.079378,0.082267,0.085134,1755,13.688707,30.271622,20.236512393732195,3.551454039385881,17.8951415,19.689107,21.9496395,1755,0.100356,0.809947,0.270247656980057,0.11391577595100413,0.2004565,0.244613,0.298959,1755,0.430352,0.644805,0.4921221789173789,0.028929613544588072,0.471693,0.48648,0.50733,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.037186,1.642397,0.108665017,0.11838738294083839,0.05496025,0.0942495,0.12554,1000,0.126927,0.288249,0.14513099,0.018266377191055155,0.131556,0.1368925,0.156926,1000,0.001868,0.021171,0.0025981505,0.0010736367073408723,0.00206375,0.002174,0.00298325,4000,0.003983,0.027104,0.005218212999999999,0.0017447993906552696,0.004343,0.004511,0.00574925,4000,0.000334,0.015896,0.0007433955,0.0007566982073982665,0.000469,0.000529,0.000901,4000,0.000334,0.015896,0.0007433955,0.0007566982073982665,0.000469,0.000529,0.000901,4000,0.020162,0.072691,0.02310195,0.004233943351711263,0.020706,0.0210345,0.02469125,1000,0.027683,0.063129,0.030379138,0.0038274954368302,0.02833975,0.028799,0.03164225,1000,0.422863,2.275114,0.526638804,0.14735076086927948,0.4534525,0.488902,0.580535,1000,0.085427,0.186298,0.100651403,0.016074058718711683,0.0883845,0.092569,0.1110795,1000,0.025234,0.075564,0.029300805,0.0055074117037838205,0.0261055,0.0267315,0.03132175,1000,0.037627,0.127829,0.044762886,0.008875046953509824,0.0387995,0.0410945,0.0500535,1000,0.005303,0.027481,0.006535869,0.0019465219941832152,0.005504,0.00565,0.00703225,1000,0.016164,0.054284,0.019503955000000003,0.004222408860706764,0.0167925,0.017578,0.02085725,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.035328,1.750038,0.108901861,0.12264730003482212,0.05328725,0.0938175,0.12608425,1000,0.125287,0.281756,0.145649319,0.017973314173998046,0.132937,0.138278,0.15753925,1000,0.001882,0.021926,0.0025781042499999998,0.0011142219412585345,0.002042,0.002195,0.00299,4000,0.004,0.027883,0.00525261725,0.0017167485926169964,0.004328,0.004599,0.00578725,4000,0.000368,0.015451,0.00074985125,0.000791168677415529,0.000471,0.000523,0.00089025,4000,0.000368,0.015451,0.00074985125,0.000791168677415529,0.000471,0.000523,0.00089025,4000,0.01974,0.055516,0.023200577,0.0041055632575897555,0.02071975,0.021138,0.024965,1000,0.027365,0.066882,0.030352999,0.004249806592893258,0.028235,0.028706,0.0316515,1000,0.417611,2.357697,0.528608538,0.15193955377600843,0.45386875,0.488316,0.5835605,1000,0.085256,0.198026,0.100609085,0.016593248079136737,0.088279,0.0926795,0.11107775,1000,0.02492,0.062961,0.029042853,0.005041166096985002,0.02591275,0.026617,0.0314945,1000,0.037882,0.108453,0.045140063,0.009857647268138123,0.0387765,0.0414165,0.04986875,1000,0.005147,0.027985,0.006586537999999999,0.0017670693264713753,0.00551275,0.00589,0.00701275,1000,0.016098,0.053906,0.019278705,0.0038982854856943194,0.0168005,0.0174605,0.02080825,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036582,1.766294,0.079549011,0.12142508716312654,0.05256,0.06699,0.07905425,1000,0.127255,0.259525,0.138517098,0.015075253591910021,0.12985875,0.13316,0.137535,1000,0.001877,0.023513,0.0025001975,0.0012879679266168665,0.00205,0.002133,0.002921,4000,0.004019,0.044517,0.004972481,0.0018357503741356013,0.004275,0.0044,0.005656,4000,0.000373,0.015022,0.0007501622499999999,0.000810719492133338,0.000466,0.000511,0.000933,4000,0.000373,0.015022,0.0007501622499999999,0.000810719492133338,0.000466,0.000511,0.000933,4000,0.020182,0.061467,0.021648446,0.003917702199897792,0.02051975,0.0206745,0.020861,1000,0.027766,0.06679,0.029688753000000002,0.004894882882765531,0.028241,0.0284295,0.02866725,1000,0.43933,2.402749,0.504028984,0.1430076267044375,0.46288975,0.486913,0.5094895,1000,0.097166,0.229897,0.121524431,0.0168956083546358,0.10933875,0.1193055,0.12658225,1000,0.025281,0.073879,0.027644867,0.005254892879527707,0.02595375,0.0262485,0.0266325,1000,0.043111,0.134575,0.046722185,0.007907253779459403,0.04381775,0.0441855,0.04510175,1000,0.008839,0.069708,0.027847977,0.009878724336596856,0.019439,0.0289935,0.03340475,1000,0.016567,0.100322,0.018764462,0.004564047927723372,0.017112,0.017352,0.01794025,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040347,1.467737,0.083249356,0.09416409116222205,0.0752355,0.076368,0.07865775,1000,0.04023,0.13301,0.053037956,0.007877264034426167,0.05103125,0.0516775,0.0533815,1000,0.002843,0.018914,0.004135185,0.0012469415538729149,0.00397975,0.0040475,0.004116,1000,0.005596,0.028227,0.007693817,0.0018017328046941367,0.007388,0.007517,0.0076845,1000,0.000682,0.011323,0.0010291010000000001,0.0005060952092235216,0.00094575,0.000979,0.001012,1000,0.000682,0.011323,0.0010291010000000001,0.0005060952092235216,0.00094575,0.000979,0.001012,1000,0.005942,0.042743,0.009324438,0.0023178843228591024,0.009082,0.0092235,0.0093835,1000,0.011084,0.039301,0.014228085,0.0026979023951535014,0.01376075,0.013902,0.01409625,1000,0.142178,1.723659,0.242097405,0.10401328607972624,0.23310375,0.235879,0.24576225,1000,0.012089,0.094707,0.037855805,0.010780271523898413,0.0379945,0.0384475,0.041055,1000,0.002092,0.017998,0.0030850770000000003,0.0008342927106663463,0.002971,0.003045,0.003119,1000,0.006849,0.053985,0.016297732,0.004859919696474007,0.01596175,0.016115,0.01634025,1000,0.001581,0.06683,0.016276782,0.006578073343500815,0.017194,0.0174335,0.017663,1000,0.000986,0.011602,0.001398825,0.0006828326781686711,0.001265,0.001308,0.00135025,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040261,1.595563,0.099023292,0.09954132113569088,0.0757125,0.103918,0.10500525,1000,0.040559,0.149309,0.053027398999999996,0.008536629351904593,0.050869,0.051376,0.05248675,1000,0.002905,0.025462,0.004214192,0.0016002058233664817,0.004024,0.004089,0.004155,1000,0.005766,0.030084,0.007622966,0.0016355312417817031,0.007428,0.007518,0.00760825,1000,0.000721,0.010598,0.0010426790000000001,0.0006120845219077183,0.00095,0.00098,0.001009,1000,0.000721,0.010598,0.0010426790000000001,0.0006120845219077183,0.00095,0.00098,0.001009,1000,0.006069,0.034813,0.009564986000000001,0.002699120739019283,0.009181,0.0093495,0.009514,1000,0.011139,0.044747,0.014088807,0.00256415020577013,0.0137145,0.0138525,0.01398125,1000,0.142722,1.847918,0.248324946,0.1102100014060207,0.2214385,0.2515125,0.2564625,1000,0.012087,0.081244,0.02783479,0.00743781615502158,0.024955,0.0288825,0.02943,1000,0.001991,0.017763,0.003050299,0.0009001941666101819,0.00293,0.003009,0.003089,1000,0.006902,0.059813,0.015065873,0.004613547451243024,0.01426975,0.0150225,0.0152865,1000,0.001602,0.027098,0.007556178,0.0031589318885211818,0.00586775,0.0089485,0.00920425,1000,0.000994,0.016872,0.001360611,0.0006758563987112943,0.001223,0.00128,0.00133425,1000,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
FixedProjectiveConstraint,0.008439,0.125233,0.010278824,0.008654252033828459,0.0088535,0.008991,0.00933375,1000,1.099688,1.306711,1.1347500759999998,0.027398783288208696,1.111035,1.1322205,1.14331,1000,0.067063,0.129503,0.069682243,0.007446503385613344,0.0673425,0.0674935,0.06803,1000,0.03694,0.073296,0.038598626,0.004512252475662682,0.03739475,0.0375965,0.03782025,1000,0.000621,0.005705,0.000878068,0.0005240132778623076,0.000736,0.000772,0.000819,1000,0.984377,1.141343,1.017835827,0.023518931696509322,0.996791,1.017677,1.026517,1000,0.002715,0.022675,0.0030786,0.0013351614598991388,0.002862,0.002911,0.002967,1000,0.008419,0.026334,0.009096521,0.0015575148678452478,0.00869175,0.008846,0.00902,1000,1.13309,1.453177,1.171271833,0.033038276033127256,1.147543,1.1672185,1.1810635,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000284,0.000841,0.000335673,4.258711155971957e-05,0.000318,0.00033,0.000343,1000,2.51201,5.215464,2.5991342850000003,0.20105694325109436,2.54847375,2.5748105,2.6022905,1000,0.052128,0.10006,0.05520546,0.005201196005381839,0.05291225,0.053677,0.05628875,1000,0.043209,0.081751,0.045945935,0.004474461976011753,0.044212,0.044517,0.0469365,1000,0.690258,2.140171,0.7234966239999999,0.1009131743887815,0.69930725,0.7111875,0.73026025,1000,1.712533,2.920966,1.766742311,0.11558412308404767,1.7291725,1.7456195,1.77152375,1000,0.001177,0.002974,0.0013467449999999999,0.0001289160966481688,0.00128775,0.001331,0.001378,1000,0.00583,0.025118,0.006608569999999999,0.0011053147059095886,0.00623,0.006436,0.00670625,1000,2.52785,5.26739,2.617363567,0.2033812886502382,2.566039,2.592625,2.61978825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000284,0.000943,0.000352343,5.6817702795871644e-05,0.000323,0.000341,0.000366,1000,2.615903,5.056019,2.7051976,0.19147998584894452,2.64901025,2.680853,2.7066955,1000,0.05145,0.107289,0.05362874,0.005297263435057766,0.05194575,0.052208,0.0526515,1000,0.043459,0.076904,0.045061075,0.003791823185932461,0.043997,0.0442715,0.04456025,1000,0.688808,2.01517,0.7249669080000001,0.09111488639587682,0.69617525,0.717952,0.7315185,1000,1.810703,2.924088,1.8738357700000001,0.11503808259198821,1.83323775,1.855758,1.878946,1000,0.001155,0.021505,0.0013734860000000002,0.0009441853291616004,0.00124375,0.001281,0.001374,1000,0.005936,0.024453,0.006844409,0.0016446726749475107,0.00635275,0.0065865,0.00680425,1000,2.633847,5.106172,2.7237038840000003,0.19374747008751506,2.66678375,2.699734,2.72482,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
