SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.323056,0.526661,0.3374203294117647,0.015921135768226822,0.329803,0.334371,0.338634,255,11.805975,13.607152,12.253090858823528,0.2419237063628063,12.046816,12.279767,12.4348805,255,0.282774,0.374097,0.29601419215686275,0.011570944340532591,0.28876,0.292145,0.2990115,255,0.136319,0.213792,0.14471554901960784,0.013160771606370502,0.138093,0.139006,0.143761,255,3.866932,4.150349,3.947733160784314,0.06118376586062576,3.8951305,3.930611,3.992005,255,3.866932,4.150349,3.947733160784314,0.06118376586062576,3.8951305,3.930611,3.992005,255,0.025546,0.059137,0.02751141176470588,0.0031625628089645753,0.026356,0.026633,0.027157,255,0.052279,0.090902,0.05497090980392157,0.0036370398699208783,0.0536065,0.054021,0.0546695,255,39.931625,50.56961,47.226905447058826,1.784908125220052,47.539539,47.838594,48.058407,255,27.119584,36.486142,34.44934228235294,1.8073284840475758,35.0433995,35.153714,35.2279975,255,0.020555,0.049154,0.02246712156862745,0.0025615403325766994,0.021602,0.022051,0.022403,255,21.775369,22.629258,21.90994962352941,0.0763468525467522,21.865199,21.903406,21.9459975,255,4.867767,13.612709,12.099606011764704,1.7902311803465802,12.74068,12.802795,12.877633,255,0.394016,0.522228,0.41535025490196076,0.015532671751344807,0.4068505,0.410789,0.4194145,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,12.112874,18.725223,13.368010398290599,0.5014846035837641,13.0850875,13.302508,13.416935,1755,11.810901,18.392916,13.023032274643874,0.49378274972459335,12.745621,12.954179,13.062321,1755,0.008833,1.223587,0.26591189240265906,0.23645289618360468,0.0556415,0.324659,0.42311375,10530,0.009977,0.750472,0.11158779240265906,0.08882449294283518,0.02756425,0.1072145,0.19446825,10530,0.073561,10.717962,1.8826115315289649,1.9193140057911489,0.17541175,1.168756,2.689749,10530,0.073561,10.717962,1.8826115315289649,1.9193140057911489,0.17541175,1.168756,2.689749,10530,0.094586,0.190432,0.11612452022792023,0.01479894473723146,0.1092975,0.114563,0.118165,1755,0.131138,0.212144,0.14755504672364672,0.01353427900005679,0.1416665,0.144317,0.146785,1755,23.876933,39.199292,29.137460537891737,2.4563185253106057,27.366712,29.003237,30.889094,1755,10.328018,22.072172,15.15161367920228,2.371605064652327,13.4823905,15.00918,16.853439,1755,0.073828,0.144871,0.08949701082621082,0.012445729410845069,0.0821785,0.086323,0.0902905,1755,9.458477,20.871035,14.257419476923076,2.282903384697485,12.6351955,14.118721,15.925908,1755,0.105362,0.679508,0.2836260666666667,0.10922890331610689,0.2194935,0.260205,0.314482,1755,0.443553,0.941135,0.5185702068376068,0.03096592873386733,0.4967005,0.516345,0.538768,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.035437,1.656849,0.09036272100000001,0.11864162346866787,0.038268,0.076265,0.105934,1000,0.194471,0.314595,0.21787737899999998,0.022021569573882762,0.2013155,0.206605,0.2345555,1000,0.002089,0.03785,0.0028069375,0.00121043395961686,0.002266,0.002395,0.003145,4000,0.004239,0.027115,0.0053388335,0.0014583295578427223,0.004522,0.004714,0.005938,4000,0.014955,0.09266,0.0177384115,0.0031087985185868435,0.01584575,0.0166565,0.01877225,4000,0.014955,0.09266,0.0177384115,0.0031087985185868435,0.01584575,0.0166565,0.01877225,4000,0.020707,0.057844,0.023237439,0.003781845154191139,0.0210855,0.0213315,0.024877,1000,0.025773,0.074584,0.028273958999999998,0.003906844048758409,0.026371,0.026732,0.02958025,1000,0.488791,2.385167,0.594761867,0.1529348969143384,0.508783,0.555419,0.66102675,1000,0.090912,0.224567,0.106139504,0.016368074755205145,0.09449625,0.098098,0.11738875,1000,0.025463,0.070603,0.029780169999999998,0.005101139996030298,0.02675475,0.02764,0.032057,1000,0.041504,0.139634,0.048455082000000003,0.009094052733147966,0.04248225,0.0445105,0.05418075,1000,0.006279,0.024543,0.007650533,0.0017756941980281965,0.00659375,0.0067545,0.008218,1000,0.01649,0.057595,0.019710721,0.003732066470624418,0.01736925,0.0179375,0.0212825,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.030492,1.669654,0.090267546,0.11987145668691059,0.0373205,0.0764065,0.10702925,1000,0.1939,0.391039,0.21623166200000002,0.02158150271579243,0.20010075,0.2058275,0.232369,1000,0.002059,0.02343,0.0027690475,0.0009134312728627972,0.00224675,0.002374,0.003162,4000,0.0042,0.024744,0.0053076220000000006,0.00125733863780447,0.004519,0.004708,0.005917,4000,0.015016,0.055229,0.017672990000000003,0.0027755801378991024,0.015771,0.016543,0.01882,4000,0.015016,0.055229,0.017672990000000003,0.0027755801378991024,0.015771,0.016543,0.01882,4000,0.020668,0.057083,0.023252304,0.0032094039411678923,0.0211775,0.021485,0.02494425,1000,0.025812,0.063937,0.028122229999999998,0.0028688344854836084,0.02642775,0.026778,0.0295065,1000,0.488079,2.438899,0.592425964,0.15357793849476137,0.50729825,0.5501945,0.6573975,1000,0.091316,0.213213,0.105942243,0.015930833647425705,0.0942805,0.09788,0.11662,1000,0.025641,0.060048,0.029375866,0.004490293169498402,0.02650475,0.027179,0.031699,1000,0.041478,0.117853,0.0484718,0.008883517299696107,0.042374,0.045212,0.05360325,1000,0.006126,0.025975,0.007680314999999999,0.0019098504328284452,0.00646975,0.006947,0.0081815,1000,0.01685,0.051091,0.019865532999999998,0.0034358011823897787,0.017526,0.0182815,0.02140425,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.026576,1.770354,0.06266572200000001,0.11829783628168655,0.03715875,0.050546,0.06197625,1000,0.196291,0.309433,0.20627773800000002,0.013136219791072162,0.19983475,0.2029605,0.2063545,1000,0.002036,0.013453,0.00253991525,0.0007204634425614096,0.002175,0.002249,0.003041,4000,0.004239,0.015577,0.00504883475,0.0010080669059851321,0.004491,0.004605,0.005859,4000,0.014948,0.046973,0.0169739785,0.002183199876909522,0.015619,0.01626,0.01833825,4000,0.014948,0.046973,0.0169739785,0.002183199876909522,0.015619,0.01626,0.01833825,4000,0.020653,0.046059,0.021672008000000003,0.0018011986675367047,0.02114075,0.021302,0.02145825,1000,0.025898,0.065273,0.027184791,0.002334607953237331,0.026364,0.026562,0.02680525,1000,0.506354,2.498912,0.564716424,0.1403970707053257,0.52180075,0.5493135,0.5681005,1000,0.102859,0.21603,0.125941912,0.01577057807787197,0.11509475,0.124672,0.1311665,1000,0.025325,0.078156,0.027349091,0.0036636700895030113,0.02625125,0.026601,0.02695375,1000,0.046721,0.125951,0.049843995,0.006565821325392201,0.04762775,0.048067,0.0489735,1000,0.009461,0.069948,0.029388818,0.010141252999845533,0.02090875,0.0307695,0.03540525,1000,0.017128,0.038769,0.018781746,0.002406218717299822,0.01767775,0.0178915,0.018367,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031664,1.620762,0.075536034,0.10166111815741967,0.0686695,0.0691865,0.071182,1000,0.059961,0.137687,0.078168364,0.008343058386197713,0.07720925,0.0781475,0.07913525,1000,0.003099,0.016031,0.004313053,0.0008992743475664143,0.00425675,0.0043155,0.004375,1000,0.005939,0.032945,0.007808298,0.001231805256197586,0.0077345,0.007861,0.007952,1000,0.018499,0.059604,0.024723273,0.003270514677917071,0.02450975,0.0248125,0.025041,1000,0.018499,0.059604,0.024723273,0.003270514677917071,0.02450975,0.0248125,0.025041,1000,0.006438,0.029639,0.009746299000000002,0.0017240792428421033,0.009667,0.009817,0.00994125,1000,0.010106,0.039272,0.012297102,0.0018900099845228333,0.012088,0.0121945,0.012294,1000,0.160317,1.883763,0.262115289,0.11162150568008605,0.25733225,0.2596225,0.262741,1000,0.012801,0.090757,0.038966220999999995,0.010001419642138758,0.03996525,0.040522,0.04123625,1000,0.002032,0.017904,0.00312676,0.0007782726696987374,0.00297,0.003086,0.00323025,1000,0.007242,0.043411,0.017078537,0.004016301040837327,0.01718575,0.017382,0.017578,1000,0.001944,0.062632,0.01651709,0.006192744934994498,0.0176855,0.018085,0.018251,1000,0.000947,0.0142,0.001503661,0.0007718166376018336,0.00136875,0.001408,0.00145025,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031897,1.420003,0.08979041,0.09676448026967281,0.068879,0.0967435,0.09819225,1000,0.060085,0.145383,0.07770576600000001,0.008650539105006346,0.076869,0.0773445,0.078262,1000,0.003025,0.014815,0.004251885,0.0007425755057736554,0.00422,0.0042865,0.004356,1000,0.005958,0.032949,0.007754649000000001,0.0013644386244162836,0.007682,0.0077645,0.007838,1000,0.018625,0.065074,0.024696219000000002,0.0032076515033648842,0.02455475,0.024764,0.02498625,1000,0.018625,0.065074,0.024696219000000002,0.0032076515033648842,0.02455475,0.024764,0.02498625,1000,0.006556,0.028265,0.009624569,0.0015869446497086784,0.00960775,0.009723,0.00983825,1000,0.010122,0.031511,0.012119009,0.0012000923884930694,0.012059,0.012177,0.0122885,1000,0.15937,1.686317,0.265563785,0.10737664684876677,0.24452575,0.2746755,0.279569,1000,0.012825,0.087467,0.029098815,0.006773956662156542,0.02681575,0.0308835,0.03148875,1000,0.002065,0.014019,0.00308341,0.0006462028705445373,0.00300275,0.0030695,0.00314125,1000,0.00727,0.065959,0.015870338,0.003838657006526631,0.01553275,0.016274,0.01655825,1000,0.001886,0.03393,0.007967116,0.0030520565018596884,0.006359,0.009545,0.009892,1000,0.000948,0.007024,0.001451796,0.0006063705339015081,0.001303,0.001365,0.00142425,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005036,0.129355,0.006199026,0.008453283363482146,0.005349,0.005535,0.005715,1000,1.119217,1.337574,1.15121404,0.03575036819945216,1.12733125,1.133061,1.16607725,1000,0.067308,0.116031,0.06882893300000001,0.0036271282040356667,0.067613,0.0677805,0.069704,1000,0.037479,0.072738,0.03909358,0.0029884427181393314,0.03794225,0.038159,0.03877025,1000,0.015149,0.035499,0.015872222,0.0015221269252976245,0.01551,0.01563,0.01577425,1000,0.990851,1.204039,1.0195205010000001,0.0330391437715931,0.99784675,1.003526,1.03306475,1000,0.002815,0.013402,0.003025365,0.0005005800912691195,0.00292575,0.002968,0.003015,1000,0.010963,0.027282,0.011470168,0.0009385022737191424,0.01121475,0.011319,0.01144325,1000,1.155983,1.484346,1.188825034,0.03919838223729194,1.16364975,1.169643,1.2032295,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.0003,0.00082,0.000353923,4.704679660720802e-05,0.000334,0.000346,0.000359,1000,2.506597,5.170349,2.590952278,0.20059296023644177,2.5171495,2.5384285,2.6049565,1000,0.05243,0.093487,0.054117645,0.003940273469820971,0.052997,0.0532425,0.053579,1000,0.044686,0.079625,0.046126930999999996,0.0031027441225855218,0.045109,0.045488,0.04587925,1000,0.688107,2.183342,0.711427347,0.09982823766756874,0.69382,0.696519,0.713133,1000,1.708246,2.837767,1.77163488,0.11934980492443882,1.715554,1.72064,1.78327925,1000,0.001268,0.003077,0.0014056679999999999,0.00013683764020180997,0.001354,0.001387,0.001422,1000,0.011818,0.030064,0.012576861,0.0013500453235647312,0.012176,0.012377,0.012583,1000,2.530634,5.229703,2.616930518,0.20281873416355717,2.542475,2.5638475,2.6310695,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000317,0.000888,0.00036866000000000004,4.41533962453626e-05,0.00035,0.00036,0.000374,1000,2.613941,4.913008,2.664255128,0.1763688191093755,2.623439,2.6302795,2.6582155,1000,0.052066,0.109109,0.053240966,0.003256168511739526,0.05243175,0.0525775,0.05281825,1000,0.04457,0.078121,0.045642949,0.002632521144150413,0.04490275,0.0450685,0.0453105,1000,0.687462,1.964996,0.706545135,0.08702476959021939,0.69265025,0.694753,0.7042165,1000,1.814142,2.844304,1.851308088,0.10405920283730918,1.82215575,1.8258135,1.84504375,1000,0.001266,0.003317,0.001443827,0.00013795563443005872,0.001376,0.001423,0.00148,1000,0.011756,0.028716,0.012275553,0.0009354194979745718,0.01201475,0.01215,0.012308,1000,2.637598,4.969438,2.689720963,0.1784764357065426,2.6484205,2.6556155,2.68245875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
