SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.332458,0.624285,0.35656296862745096,0.02281991053854618,0.345305,0.349773,0.3596855,255,11.861983,19.682421,12.368189709803922,0.5442332560093037,12.223452,12.354853,12.425394,255,0.288228,0.401967,0.30809140784313727,0.0191270659676727,0.292803,0.301078,0.317862,255,0.139446,0.23692,0.14680193333333333,0.012947027408677475,0.1415295,0.142386,0.146892,255,3.558428,5.381777,3.682782094117647,0.13200365499541294,3.634141,3.662009,3.70655,255,3.558428,5.381777,3.682782094117647,0.13200365499541294,3.634141,3.662009,3.70655,255,0.022275,0.044321,0.02411438039215686,0.0027936052931173327,0.023072,0.02332,0.0237795,255,0.04756,0.086905,0.05018198431372549,0.004076474920828791,0.0488695,0.049316,0.049859,255,40.007034,62.702166,47.7793265882353,2.883064511538922,47.6397805,47.942995,48.147087,255,27.128146,47.55902,34.88755236470588,2.700109186904618,35.0275875,35.152672,35.234066,255,0.019736,0.052429,0.021851850980392155,0.003557738633136887,0.020751,0.021077,0.021518,255,21.773621,33.162746,22.308911109803923,1.6735366763901416,21.848386,21.875516,21.907857,255,4.834294,13.953765,12.132220121568627,1.8252639744048857,12.7206785,12.839086,12.9025415,255,0.397414,0.599472,0.4220248980392157,0.025162020709507463,0.4080215,0.413724,0.4263895,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.708512,18.066127,9.254952662108263,0.8031553201357027,8.905277,9.094123,9.2876585,1755,8.359676,17.764592,8.938560258119658,0.7968011785252865,8.589741,8.781483,8.972013,1755,0.004677,0.717649,0.17697709762583097,0.17260657979540628,0.028915,0.132881,0.28148,10530,0.005993,0.350054,0.08671831642924976,0.08407321933191708,0.0150595,0.061628,0.14954375,10530,0.034174,7.230916,1.1949029813865146,1.2459752432516424,0.09727325,0.916182,1.74976775,10530,0.034174,7.230916,1.1949029813865146,1.2459752432516424,0.09727325,0.916182,1.74976775,10530,0.090977,0.26046,0.10949166495726496,0.01746401404084412,0.096821,0.107039,0.115206,1755,0.118987,0.268152,0.13526588034188033,0.01594507757777241,0.124707,0.130845,0.136755,1755,23.733665,53.225116,30.933274615954417,4.05112006992882,28.0963945,30.445396,33.073422,1755,14.43427,37.052636,21.163857727065526,3.814791839968927,18.4928735,20.726541,23.066484,1755,0.074639,0.175656,0.08734353618233619,0.012716299073726268,0.08027,0.083309,0.0889515,1755,13.63818,35.785901,20.294758258119657,3.715895908437729,17.703954,19.841063,22.1609155,1755,0.101564,0.978804,0.26666929686609686,0.1111448687378224,0.2035205,0.242416,0.29468,1755,0.436286,1.048681,0.5127804484330485,0.049089017017016276,0.483615,0.50607,0.529452,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036726,1.776304,0.107071917,0.12122448831892059,0.053029,0.0928895,0.12336625,1000,0.124171,0.249736,0.14188861600000002,0.01686731333581445,0.129909,0.1341155,0.15428325,1000,0.001813,0.020529,0.00257668075,0.0010449456465909783,0.00203775,0.002179,0.00300625,4000,0.003944,0.02345,0.0051461705,0.0015399903116350279,0.004299,0.004489,0.005743,4000,0.000352,0.018629,0.0007258622500000001,0.0007243378571322483,0.00044875,0.000501,0.000929,4000,0.000352,0.018629,0.0007258622500000001,0.0007243378571322483,0.00044875,0.000501,0.000929,4000,0.019994,0.056581,0.022997069,0.004029475813581589,0.0206475,0.020991,0.02467225,1000,0.025282,0.055913,0.027573495,0.0030603714454253755,0.0258595,0.026148,0.028813,1000,0.41867,2.388359,0.5187579920000001,0.14995348073612008,0.44535175,0.4819575,0.57296225,1000,0.086962,0.203309,0.10209760400000001,0.0163201849590372,0.09016075,0.0941825,0.11349925,1000,0.024915,0.082216,0.029268563999999997,0.005648094442898773,0.025823,0.0268155,0.03169525,1000,0.039594,0.102488,0.046331991,0.008690958302564741,0.04034375,0.0426645,0.05209175,1000,0.005366,0.02623,0.006637087000000001,0.0019088805047542917,0.005627,0.0058065,0.00711975,1000,0.01606,0.04699,0.019332644,0.003682918354140369,0.01690575,0.017615,0.02090325,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.038474,1.693364,0.109081928,0.11927208681565363,0.05413425,0.0949365,0.12734625,1000,0.123731,0.264675,0.144314588,0.018536885563013437,0.130317,0.1366425,0.1558275,1000,0.001823,0.019526,0.00255764725,0.0011733752785521934,0.002009,0.002135,0.00299,4000,0.003963,0.022761,0.00521955775,0.0016690747907643136,0.004282,0.0045,0.00576725,4000,0.000347,0.01307,0.000733804,0.0007222262042352105,0.000462,0.000516,0.000892,4000,0.000347,0.01307,0.000733804,0.0007222262042352105,0.000462,0.000516,0.000892,4000,0.020144,0.066241,0.023199495,0.004465847095454008,0.020717,0.021015,0.02483475,1000,0.025395,0.067083,0.028268753,0.004486362611959826,0.02602375,0.026405,0.02945175,1000,0.420435,2.307404,0.529348974,0.1496918044772035,0.45096,0.491496,0.58300525,1000,0.08768,0.193007,0.104072539,0.017026063100155565,0.09103175,0.0956805,0.11532525,1000,0.025113,0.082958,0.029706013,0.006027369935787168,0.0261405,0.0269785,0.0323485,1000,0.039535,0.106932,0.047515286999999996,0.009543335385735483,0.0407885,0.0437575,0.0528275,1000,0.005402,0.023793,0.006786438,0.0019125712316554384,0.00568575,0.0061405,0.00714625,1000,0.016111,0.053092,0.019530286,0.0038585257436233333,0.017037,0.017742,0.021052,1000,0.0,11.0,2.2,4.4,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.035515,1.675139,0.07897718399999999,0.11544376862891365,0.053093,0.067066,0.07779825,1000,0.126862,0.263009,0.137445487,0.013212214226534135,0.13097725,0.133226,0.13706975,1000,0.001824,0.021946,0.00245459975,0.0010456095980574862,0.002033,0.002122,0.002936,4000,0.004022,0.039403,0.004898635500000001,0.001554636809238656,0.00425775,0.004387,0.00565625,4000,0.000384,0.016017,0.00075369525,0.0008201840021467364,0.000475,0.00052,0.00093325,4000,0.000384,0.016017,0.00075369525,0.0008201840021467364,0.000475,0.00052,0.00093325,4000,0.020365,0.050018,0.021435970000000002,0.0025712664379834308,0.02071475,0.0208815,0.021077,1000,0.025664,0.06703,0.027003080999999998,0.0033376378626865733,0.02609775,0.02625,0.026459,1000,0.438827,2.302141,0.49923914399999997,0.13697457278564246,0.45517225,0.483059,0.504665,1000,0.099601,0.228119,0.121977987,0.01635781157645579,0.110417,0.1203145,0.126907,1000,0.025111,0.086192,0.027146744,0.0037074818837674714,0.025975,0.0263535,0.02679525,1000,0.044955,0.138055,0.048075586000000003,0.007006337213594846,0.04569625,0.046081,0.047064,1000,0.009048,0.079371,0.027751315,0.010077795817329056,0.01939125,0.029052,0.033274,1000,0.016681,0.044134,0.018491314999999998,0.002513476106863759,0.01731075,0.0175675,0.01810325,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040025,1.475263,0.081731384,0.0958398792900249,0.07463075,0.075436,0.07669175,1000,0.040191,0.10362,0.052855558,0.007582801701655926,0.0512865,0.0517525,0.05247625,1000,0.002825,0.0243,0.004173984,0.0014367711730627116,0.004011,0.004094,0.004182,1000,0.005782,0.025709,0.0077214219999999995,0.0016774750495658648,0.00750275,0.00761,0.0077485,1000,0.00075,0.010406,0.001058415,0.0006897299129188178,0.000945,0.000974,0.001006,1000,0.00075,0.010406,0.001058415,0.0006897299129188178,0.000945,0.000974,0.001006,1000,0.00597,0.043172,0.009328138000000001,0.001990118235421202,0.00922875,0.009351,0.009497,1000,0.00998,0.042322,0.012408706,0.002021460905277171,0.0121975,0.0123095,0.01243525,1000,0.14053,1.703014,0.238035956,0.10467303458474903,0.23086125,0.2339995,0.23851,1000,0.012021,0.084031,0.037903142,0.01011641983410317,0.038467,0.0390085,0.04013725,1000,0.001977,0.020144,0.003076117,0.0011708863639615077,0.002903,0.00299,0.00308075,1000,0.006845,0.050241,0.016645669000000002,0.0042968875977198884,0.01663675,0.016773,0.01697625,1000,0.001635,0.056373,0.01606138,0.006194528060764598,0.017067,0.017371,0.01765225,1000,0.000937,0.008905,0.001389026,0.0005377614130113838,0.001276,0.001319,0.001368,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040163,1.578973,0.098161418,0.09923790578895382,0.07487225,0.102647,0.10408375,1000,0.040173,0.106057,0.053719061,0.009151482765829753,0.050867,0.051701,0.05298025,1000,0.002861,0.01876,0.00424066,0.001439185762297557,0.003998,0.0041065,0.004188,1000,0.005669,0.0341,0.007834474000000001,0.002177381944750163,0.007397,0.0075735,0.00775025,1000,0.000726,0.015455,0.001049928,0.0008604176432500673,0.000905,0.000938,0.000977,1000,0.000726,0.015455,0.001049928,0.0008604176432500673,0.000905,0.000938,0.000977,1000,0.006032,0.060747,0.009600983,0.0031111812034516724,0.009217,0.009347,0.009475,1000,0.010017,0.033016,0.01264741,0.0023074393287581796,0.01224175,0.012352,0.012456,1000,0.140263,1.810365,0.24747022200000002,0.11070693933734559,0.21904375,0.2500735,0.2561895,1000,0.0119,0.073433,0.028598466,0.007737821789421361,0.02563825,0.0295805,0.0302285,1000,0.001919,0.017093,0.003055056,0.0009237406761986829,0.0028945,0.0029675,0.003063,1000,0.006746,0.045967,0.015827493,0.004678874984432796,0.01504475,0.0157585,0.0160785,1000,0.001645,0.025601,0.007563242,0.0031551308041721502,0.00587175,0.0089455,0.009216,1000,0.000918,0.012047,0.001383048,0.0006464890066319766,0.00122075,0.001297,0.001364,1000,0.0,4.9,1.4600000000000002,1.8017769007288336,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.008539,0.168263,0.010294977,0.009154937709152967,0.00888475,0.009052,0.00944675,1000,1.112854,1.389248,1.147496402,0.027892617595636233,1.12459675,1.143669,1.16347175,1000,0.067101,0.10944,0.069043091,0.004818628004600376,0.06765175,0.06779,0.067956,1000,0.037783,0.125388,0.039638942,0.0054287926450211745,0.03819775,0.038437,0.03897775,1000,0.00071,0.004521,0.000884769,0.00019717524093810558,0.000829,0.00087,0.000908,1000,0.998026,1.273449,1.029625764,0.025066332577030566,1.00880175,1.0277515,1.042959,1000,0.002697,0.0153,0.003081205,0.0008900860031339668,0.002858,0.002918,0.002983,1000,0.007994,0.027922,0.008653869,0.0017151697384920831,0.00828475,0.008367,0.00848425,1000,1.145556,1.509626,1.183548608,0.03389325824331936,1.158888,1.1783795,1.2001675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000295,0.001221,0.000388123,9.350946407182536e-05,0.000336,0.000358,0.000407,1000,2.464844,5.144133,2.547526204,0.19949140582980107,2.4883935,2.5164515,2.550215,1000,0.051025,0.125781,0.054270945,0.006570806817581459,0.05230275,0.0525635,0.05306125,1000,0.04332,0.083278,0.045857899,0.004286679542349649,0.0444625,0.044733,0.04508925,1000,0.69007,2.21904,0.718483048,0.09974604499027366,0.6967995,0.7029745,0.7206855,1000,1.666471,2.76865,1.720719237,0.11290277966317229,1.67854875,1.698855,1.72434025,1000,0.001184,0.004803,0.0013722909999999999,0.00027839930373296557,0.001275,0.0013215,0.00138325,1000,0.006016,0.022738,0.0067865569999999995,0.0015597711046018898,0.006331,0.006499,0.00669125,1000,2.481878,5.220417,2.566432985,0.2030857098040253,2.50738125,2.5342875,2.56868075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000298,0.0104,0.000369263,0.00032141144632853383,0.000332,0.000347,0.00037325,1000,2.618571,4.991627,2.6927871370000003,0.180976974075804,2.6425145,2.6632415,2.69702275,1000,0.051671,0.125966,0.054105544,0.005605743281855136,0.052331,0.0525725,0.05296825,1000,0.042826,0.11686,0.045329748,0.004493269896244383,0.04409475,0.0443955,0.044787,1000,0.690424,1.971978,0.715060446,0.08864615681286518,0.69639775,0.700923,0.719269,1000,1.819613,2.89228,1.870398848,0.1075304674572416,1.830863,1.8504825,1.872206,1000,0.001195,0.01247,0.001355069,0.00036879522805887826,0.001287,0.001324,0.001373,1000,0.006105,0.020939,0.006655747,0.000933797000954169,0.00641075,0.0065235,0.00665525,1000,2.635362,5.041922,2.71116753,0.18328145224749037,2.66132275,2.6820555,2.71493325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
