SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.34139,0.43224,0.35813617647058826,0.017146979055382348,0.3457535,0.35115,0.3651085,255,11.822509,13.572927,12.327031066666667,0.2626453096881044,12.213479,12.332024,12.4684375,255,0.283589,0.361852,0.29735091764705884,0.014086805544345332,0.2873645,0.290624,0.304037,255,0.136399,0.203575,0.1453163411764706,0.014139759211877446,0.137507,0.13822,0.1443745,255,3.562783,4.082138,3.676169933333333,0.06371852708044529,3.639384,3.664164,3.7031355,255,3.562783,4.082138,3.676169933333333,0.06371852708044529,3.639384,3.664164,3.7031355,255,0.022705,0.047237,0.02510337254901961,0.002743363338368665,0.023893,0.024412,0.0250185,255,0.047629,0.087099,0.050661333333333336,0.004597253816529469,0.0489605,0.049386,0.050036,255,39.990117,50.992708,47.49114075294118,1.7731590158910717,47.702303,48.013074,48.327804,255,27.190973,38.271247,34.633533619607846,1.8076452922487776,35.1050475,35.278801,35.393925,255,0.020261,0.055913,0.022622501960784313,0.003646427951689009,0.021575,0.022098,0.0226095,255,21.773276,27.477524,21.966487329411763,0.3925187333316609,21.859657,21.893485,21.9560135,255,4.898311,14.086755,12.223269301960785,1.7986851175890874,12.77025,12.949431,13.0282875,255,0.390334,0.492065,0.4181027411764706,0.01757634919540724,0.405666,0.412191,0.42767,255,0.0,2.3,0.7,0.9252026804976301,0.0,0.0,1.2,5
SofaScene,9.002092,14.331247,9.421536255270656,0.3696860679110133,9.1391305,9.352603,9.5839655,1755,8.681368,13.964246,9.101289255840456,0.3638489959501351,8.8236995,9.03422,9.258736,1755,0.004681,0.608987,0.1805728086419753,0.1755577870609218,0.02988575,0.120213,0.28917775,10530,0.006058,0.351693,0.08633737132003799,0.08294188361702425,0.01525125,0.06051,0.15423875,10530,0.036104,5.699154,1.1924180959164292,1.2169229562493964,0.093572,0.892072,1.82292875,10530,0.036104,5.699154,1.1924180959164292,1.2169229562493964,0.093572,0.892072,1.82292875,10530,0.096395,0.198405,0.11804771168091169,0.013670180879683117,0.106169,0.119428,0.1230305,1755,0.117481,0.230513,0.1335130005698006,0.012125632796152213,0.125827,0.132009,0.135169,1755,24.04288,47.392555,31.025458577207978,3.828327293418433,28.4862905,30.400053,32.935872,1755,14.403941,36.595086,21.079437186894587,3.7423065077496855,18.610358,20.435608,23.0509275,1755,0.07372,0.541176,0.0864111754985755,0.014793971288862768,0.0810015,0.083534,0.087828,1755,13.632034,34.875871,20.22916089287749,3.6462969114416297,17.81833,19.631029,22.1873835,1755,0.100397,0.908553,0.26198881082621084,0.10840413183353768,0.2011505,0.23625,0.287571,1755,0.435523,0.834933,0.49951621025641024,0.032897829568960694,0.477703,0.495546,0.516032,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036477,1.69643,0.10794996899999999,0.12068500309721186,0.05439375,0.0934375,0.12490675,1000,0.125006,0.258689,0.147030494,0.01913611835535002,0.13289175,0.139188,0.15903275,1000,0.001887,0.024354,0.0026664659999999997,0.0013312437195510066,0.002086,0.002225,0.003009,4000,0.003999,0.02648,0.00527629075,0.0017862085699084632,0.004362,0.004615,0.005831,4000,0.000399,0.01832,0.000794202,0.00092947343087148,0.0005,0.000558,0.00092,4000,0.000399,0.01832,0.000794202,0.00092947343087148,0.0005,0.000558,0.00092,4000,0.019912,0.061644,0.023357010999999997,0.004579765574227463,0.020537,0.0219745,0.02532875,1000,0.025594,0.074647,0.028209785,0.004383026052486455,0.026086,0.0264485,0.0293775,1000,0.420966,2.310863,0.532090635,0.14934184579613904,0.458765,0.4945975,0.5835735,1000,0.087311,0.197466,0.10425395900000001,0.01727616147323586,0.091083,0.0959135,0.1143325,1000,0.024935,0.086896,0.029937999,0.006138039041827529,0.02637725,0.0273385,0.03220975,1000,0.039813,0.09859,0.047531167,0.009389963452384199,0.0408625,0.043208,0.05273125,1000,0.005284,0.028531,0.006559466999999999,0.001956794096707929,0.00554175,0.005693,0.00700025,1000,0.01613,0.054266,0.019701308,0.004581116292470209,0.01681475,0.0180285,0.02091875,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.050548,1.793217,0.1083649,0.1225064551167815,0.05499175,0.0945075,0.125581,1000,0.124491,0.234193,0.142775653,0.01649277792255116,0.1304335,0.135751,0.15394975,1000,0.001842,0.023181,0.0025457289999999996,0.001032574582080636,0.00204375,0.002176,0.00295925,4000,0.00397,0.033661,0.0051742565,0.0015883283521387355,0.004277,0.004469,0.00572925,4000,0.000388,0.020517,0.000774282,0.0007765803763783888,0.000507,0.000568,0.00086925,4000,0.000388,0.020517,0.000774282,0.0007765803763783888,0.000507,0.000568,0.00086925,4000,0.020006,0.050693,0.022730796999999997,0.0034651478952262634,0.02047975,0.020785,0.02455825,1000,0.025506,0.069858,0.028091393,0.0035938052541214585,0.02612975,0.026566,0.02949475,1000,0.420778,2.43271,0.5254817979999999,0.15062800151423106,0.45366025,0.484955,0.57748625,1000,0.087133,0.211567,0.103280013,0.01637908764293149,0.09064,0.09513,0.11459475,1000,0.025154,0.067466,0.029620385,0.0054423875402965375,0.02632225,0.0270395,0.03214925,1000,0.039414,0.115539,0.047122639,0.009138131662581745,0.04058875,0.0435185,0.052744,1000,0.005379,0.028305,0.006722126,0.0018629982410415743,0.005612,0.006032,0.0071505,1000,0.016112,0.056635,0.019275437000000003,0.0037832650359221464,0.016839,0.0174335,0.0208015,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.037888,1.816711,0.080504625,0.12310441257472607,0.05290025,0.067409,0.07967725,1000,0.126279,0.288775,0.13735176500000001,0.01487117113188383,0.1289865,0.132605,0.13707825,1000,0.001841,0.042508,0.0024363185,0.0013368369313636384,0.002014,0.002098,0.00282625,4000,0.003967,0.036895,0.00487476875,0.0015110365969338525,0.004232,0.004391,0.00558,4000,0.000412,0.020351,0.0008111442500000001,0.0009069815838493842,0.000522,0.00058,0.000937,4000,0.000412,0.020351,0.0008111442500000001,0.0009069815838493842,0.000522,0.00058,0.000937,4000,0.020117,0.060125,0.021598067999999998,0.0038353619439859907,0.020509,0.020662,0.02088325,1000,0.025546,0.064356,0.027191283,0.004118355955828855,0.0260785,0.026275,0.026492,1000,0.438094,2.430009,0.504263544,0.14467337643572178,0.463253,0.4862135,0.50883475,1000,0.098735,0.260942,0.12387040399999999,0.018205858508589592,0.11052675,0.121009,0.128729,1000,0.025178,0.069458,0.027504038,0.00470361034595299,0.0258865,0.026278,0.0267185,1000,0.044598,0.130422,0.0489884,0.008688537741990882,0.04556075,0.0460555,0.04729175,1000,0.008809,0.078119,0.028001434000000002,0.010437773327374188,0.0194035,0.0290205,0.03351875,1000,0.016547,0.171657,0.018880268,0.006388259173998501,0.01711075,0.0173275,0.0178725,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040515,1.511137,0.084567511,0.10150508933249544,0.0752915,0.0761845,0.07846875,1000,0.040346,0.140642,0.053812338,0.009729102035530103,0.051097,0.051728,0.05259425,1000,0.002809,0.020007,0.0042237659999999995,0.0015716380471482612,0.004028,0.004091,0.00415725,1000,0.00565,0.028733,0.00764369,0.0019090135028071438,0.007371,0.007467,0.007569,1000,0.000711,0.018581,0.001077426,0.0008929503225398376,0.00095075,0.000986,0.001017,1000,0.000711,0.018581,0.001077426,0.0008929503225398376,0.00095075,0.000986,0.001017,1000,0.006183,0.031868,0.009435051,0.002049551411992146,0.00924575,0.009385,0.00952825,1000,0.010136,0.043457,0.012779683000000002,0.002373248010746243,0.012427,0.0125355,0.01265325,1000,0.141146,1.771715,0.244045802,0.11153809002800252,0.232589,0.2357485,0.24902975,1000,0.012028,0.084402,0.038436774,0.010924053342002867,0.038442,0.039009,0.0404215,1000,0.001932,0.020596,0.0030921819999999997,0.0012305252036736182,0.002898,0.002986,0.00309225,1000,0.006823,0.046253,0.01684108,0.004890617743762029,0.01660875,0.0167925,0.01706625,1000,0.001599,0.056536,0.016310032,0.006544115197868693,0.017099,0.017409,0.01763525,1000,0.000985,0.01568,0.001427387,0.00098871837508514,0.001257,0.001293,0.001331,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.03975,1.551804,0.100116258,0.10183873908675145,0.0763675,0.103173,0.10648375,1000,0.040122,0.155393,0.053676818,0.009584188879340597,0.05090275,0.0514625,0.05240375,1000,0.002791,0.030805,0.00421297,0.00176189490353426,0.00403,0.004088,0.004152,1000,0.005615,0.026386,0.007773769,0.0021089608307503015,0.0073975,0.0075075,0.007628,1000,0.000702,0.019966,0.001058442,0.0008909277819419484,0.00093275,0.000963,0.001,1000,0.000702,0.019966,0.001058442,0.0008909277819419484,0.00093275,0.000963,0.001,1000,0.00619,0.036062,0.009428406,0.0024618359939614174,0.0091575,0.0092915,0.00946225,1000,0.00997,0.040266,0.012654697,0.0022643498376335317,0.01230075,0.0124385,0.012583,1000,0.140548,1.798636,0.24971147500000002,0.11269564644114417,0.221992,0.251964,0.25930525,1000,0.012113,0.093057,0.028558762999999997,0.007769895217622371,0.025538,0.0293895,0.0307735,1000,0.002024,0.013386,0.003139379,0.001030340418191483,0.00288275,0.003013,0.0032295,1000,0.006836,0.059668,0.015830882,0.004927649306117066,0.01492475,0.0156925,0.0161255,1000,0.001585,0.027359,0.007459126,0.0030536886072623716,0.005834,0.0088685,0.00914175,1000,0.00094,0.010311,0.001374566,0.0006476163661026488,0.00122075,0.0012905,0.00135125,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008657,0.144673,0.010304929,0.00901286809067785,0.00892175,0.009037,0.009334,1000,1.102598,1.306781,1.132315096,0.025372917846491053,1.108651,1.1314345,1.14187375,1000,0.066875,0.115904,0.069590689,0.0072413788647107125,0.0673685,0.067545,0.06773425,1000,0.037185,0.079998,0.038730447999999994,0.004800191900673972,0.03767875,0.037835,0.037989,1000,0.000694,0.009577,0.000859091,0.0003345584832566647,0.000796,0.00083,0.00086625,1000,0.988389,1.146976,1.015019297,0.022063230676960956,0.99438825,1.0151925,1.02389,1000,0.002725,0.020423,0.0031106759999999997,0.0011803739860840718,0.002869,0.0029245,0.002997,1000,0.008099,0.02954,0.008624664,0.0014335424594702454,0.008332,0.008452,0.00856725,1000,1.135379,1.50829,1.168256608,0.031845693707695175,1.14357175,1.1655885,1.17748,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.7,0.5727128425310541,0.0,1.1,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000261,0.01094,0.00034380900000000004,0.00033890951966417235,0.00031,0.0003275,0.000346,1000,2.510439,5.265097,2.60496668,0.20119477697073454,2.5582295,2.580961,2.6088615,1000,0.052514,0.139416,0.055122941,0.006278604080806417,0.05296,0.0533005,0.05405425,1000,0.044099,0.086196,0.046432114999999996,0.005541404756356911,0.04454025,0.044878,0.045612,1000,0.689636,2.250776,0.7252273810000001,0.1037769180570219,0.695203,0.719781,0.7302,1000,1.71073,2.851365,1.770546768,0.11362239722936748,1.73771625,1.752682,1.7729485,1000,0.001126,0.018827,0.001460832,0.000666818906282658,0.00132275,0.001394,0.00151,1000,0.005992,0.023889,0.006723749,0.0013328806135580935,0.00635075,0.006529,0.00671025,1000,2.527198,5.318285,2.623595852,0.2038406592047379,2.5767775,2.598996,2.626621,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000275,0.000793,0.000329598,4.5335376870607345e-05,0.000305,0.000324,0.000344,1000,2.609066,5.105724,2.687406767,0.19117940901110325,2.64080925,2.6594575,2.6867365,1000,0.05236,0.099092,0.054123133000000004,0.004837509727670943,0.0526715,0.052919,0.053595,1000,0.044227,0.079554,0.045575905,0.003686211061506788,0.044579,0.044759,0.04505925,1000,0.69053,2.032242,0.723411093,0.091556500619663,0.7029175,0.717336,0.726933,1000,1.808045,2.973192,1.856920943,0.11654209036955597,1.81526725,1.836094,1.85917225,1000,0.001143,0.011607,0.0013375540000000001,0.0003465276079679655,0.001274,0.001309,0.00135,1000,0.006056,0.023753,0.006655408000000001,0.001233337172688799,0.006334,0.0064575,0.00661725,1000,2.626698,5.155033,2.705540705,0.19340093137597858,2.658379,2.6773225,2.70513675,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
