SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.317384,0.412258,0.3371660470588235,0.013534319047088173,0.3284295,0.33329,0.341753,255,11.466283,13.113507,11.932606270588236,0.2331528358102178,11.7168155,11.992922,12.058695,255,0.283358,0.361483,0.2922892117647059,0.010211799543850398,0.2866645,0.288658,0.2950415,255,0.136205,0.202496,0.1399603019607843,0.005595477116017767,0.1378265,0.138557,0.139935,255,3.57647,4.041338,3.6811943215686274,0.06047721521566359,3.6486725,3.676279,3.7106365,255,3.57647,4.041338,3.6811943215686274,0.06047721521566359,3.6486725,3.676279,3.7106365,255,0.025052,0.050309,0.02687349411764706,0.0027603256270977263,0.0261555,0.02645,0.026747,255,0.052065,0.080503,0.0539324274509804,0.0025533950935098487,0.0529195,0.053317,0.0538135,255,39.618536,49.473869,46.85810439215686,1.717150392907801,47.2021305,47.501965,47.6964005,255,27.191686,36.956154,34.4084193254902,1.7525192682448283,35.024515,35.103978,35.163475,255,0.020712,0.061384,0.02245189019607843,0.0031067136428276315,0.0216505,0.02206,0.022583,255,21.808094,24.699388,21.925230423529413,0.18261695826592625,21.8794065,21.906235,21.942087,255,4.860073,14.460984,12.040101678431373,1.7856211225892014,12.691213,12.752968,12.797527,255,0.397625,0.487638,0.4186509568627451,0.013170265007908208,0.4118065,0.415899,0.4218735,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,9.128215,14.003819,9.46419790940171,0.2919440911290445,9.273112,9.374615,9.586511,1755,8.849556,13.693009,9.170906954415955,0.28865823450343603,8.9850035,9.072969,9.2932715,1755,0.004869,0.566728,0.17147808651471985,0.16682061868097295,0.0303525,0.12029,0.2669415,10530,0.006093,0.292291,0.07653999905033237,0.07334714239750428,0.0150625,0.0652535,0.1040295,10530,0.03622,5.9082,1.151778814814815,1.1875397774893162,0.09264475,0.8983305,1.699202,10530,0.03622,5.9082,1.151778814814815,1.1875397774893162,0.09264475,0.8983305,1.699202,10530,0.093942,0.174896,0.10768908205128205,0.011833338736827577,0.099514,0.102274,0.1147315,1755,0.129837,0.238849,0.14212266438746438,0.012865055022339394,0.1345105,0.136986,0.1441565,1755,24.354964,41.49872,31.04349788148148,3.655459465979401,28.63793,30.440461,32.7445785,1755,14.412582,31.480967,21.002308514529915,3.601061650996717,18.667235,20.456641,22.828566,1755,0.07463,0.169218,0.08560888660968662,0.009880755542654385,0.08041,0.082911,0.0867375,1755,13.549853,30.627942,20.14931495954416,3.5100727724689316,17.870733,19.623059,21.9708865,1755,0.105339,0.755064,0.26443137834757835,0.10806954084176416,0.2038,0.24048,0.288354,1755,0.439075,0.610998,0.5006654301994302,0.028163025531873265,0.4806515,0.497375,0.517417,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.019248,1.710185,0.090079402,0.11837219301433254,0.03730775,0.076245,0.1064055,1000,0.194679,0.302997,0.216643529,0.019595903869512096,0.20158475,0.2068685,0.2325675,1000,0.001971,0.021419,0.0026921125,0.0008925835906758257,0.00218,0.00231,0.00309325,4000,0.004139,0.023263,0.005153476,0.0012177820414277756,0.004378,0.004548,0.005771,4000,0.014851,0.099532,0.018065242999999998,0.003058683686400246,0.01603,0.017059,0.019411,4000,0.014851,0.099532,0.018065242999999998,0.003058683686400246,0.01603,0.017059,0.019411,4000,0.020208,0.053992,0.023017757,0.003480987190719179,0.02087075,0.021223,0.02482175,1000,0.025663,0.053776,0.02772817,0.002536911436195596,0.02621675,0.02655,0.028971,1000,0.485215,2.407541,0.588307257,0.1501550115667837,0.50379575,0.5480025,0.6515535,1000,0.089371,0.226263,0.104528844,0.015599347915142607,0.09308675,0.0966505,0.11607125,1000,0.024752,0.06471,0.028947149000000002,0.004839082798506242,0.02596525,0.026673,0.031398,1000,0.040721,0.119222,0.047949188999999996,0.00837848411607249,0.04223775,0.0444065,0.053384,1000,0.006206,0.026928,0.0075486419999999995,0.0018885319689737848,0.006451,0.0066135,0.0080605,1000,0.016515,0.048207,0.019533709,0.0034238075121593796,0.01723225,0.017841,0.02111325,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.029451,1.706225,0.09052914699999999,0.12061608494454375,0.03731225,0.0765555,0.1071975,1000,0.197445,0.36452,0.219432139,0.020801476081126525,0.20372275,0.209044,0.23455625,1000,0.002017,0.061821,0.00277459375,0.001280831379304449,0.00225,0.002368,0.003157,4000,0.004164,0.022604,0.00521689925,0.0011525704740272663,0.00446175,0.00464,0.005779,4000,0.015123,0.060658,0.018100032,0.0027985149473383204,0.01607475,0.017147,0.019397,4000,0.015123,0.060658,0.018100032,0.0027985149473383204,0.01607475,0.017147,0.019397,4000,0.020373,0.046437,0.023149046,0.003097537759880257,0.020921,0.0212815,0.02514275,1000,0.025806,0.067046,0.028027955,0.003046979929532684,0.02632275,0.026614,0.02953875,1000,0.489576,2.404764,0.5935459989999999,0.1538607789328359,0.506631,0.5504945,0.65831575,1000,0.089808,0.23016,0.105256948,0.01610849842540564,0.09337925,0.097327,0.11669125,1000,0.025085,0.062447,0.029070592,0.004571849941931165,0.0259695,0.0268345,0.03216725,1000,0.041023,0.144352,0.048488031,0.009093226127400494,0.04225,0.044785,0.05386,1000,0.006095,0.024572,0.007568669,0.0017913809375559963,0.00639525,0.006858,0.0080975,1000,0.0166,0.039055,0.019597082,0.0030188109296999705,0.01723625,0.0181095,0.021198,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.031809,1.660297,0.062581679,0.11621335636031668,0.037098,0.050732,0.061646,1000,0.198008,0.316548,0.210292645,0.012994495115893307,0.203469,0.2074025,0.211168,1000,0.002007,0.017595,0.002564098,0.0008073032239474829,0.002195,0.002273,0.003001,4000,0.004146,0.024738,0.004947114,0.0011136904565470604,0.004387,0.004513,0.00569575,4000,0.015175,0.049995,0.017825313,0.0025182253020790257,0.0161205,0.017103,0.019206,4000,0.015175,0.049995,0.017825313,0.0025182253020790257,0.0161205,0.017103,0.019206,4000,0.020421,0.049094,0.021497501,0.0022457760569564813,0.0208985,0.0210855,0.02128525,1000,0.025987,0.055728,0.027523884,0.002610311252809519,0.026434,0.026658,0.027605,1000,0.506674,2.379649,0.568641843,0.13875617779618443,0.5251065,0.553823,0.57292775,1000,0.102199,0.232708,0.126270019,0.016761942859425307,0.1146325,0.1247435,0.1315535,1000,0.025071,0.056489,0.026957325,0.003261288199987085,0.02589575,0.0262015,0.02659675,1000,0.046229,0.14408,0.050256053,0.007324037347268991,0.04765725,0.0482515,0.04934925,1000,0.00947,0.091782,0.029858669999999997,0.010359254495044516,0.0212565,0.031171,0.03582,1000,0.017007,0.0479,0.018636945,0.0024103006094624378,0.017585,0.017805,0.018268,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.031824,1.433526,0.075238819,0.09619603127172265,0.069061,0.0695565,0.0703185,1000,0.060347,0.133175,0.078584993,0.008331936674084302,0.07778525,0.0783395,0.079845,1000,0.002999,0.020827,0.004311576,0.0008031702672684042,0.00428,0.004363,0.00442825,1000,0.005818,0.017305,0.007654853,0.0010622759770375118,0.007576,0.007679,0.00778025,1000,0.018992,0.058564,0.025685592,0.0030612513009447622,0.025495,0.0257995,0.02618075,1000,0.018992,0.058564,0.025685592,0.0030612513009447622,0.025495,0.0257995,0.02618075,1000,0.006375,0.020386,0.009557482,0.0013832789869277998,0.009602,0.0096955,0.009808,1000,0.010151,0.023727,0.012297749,0.0010720283214537758,0.012218,0.0123445,0.012465,1000,0.159028,1.730047,0.261557022,0.10640030689867168,0.25723725,0.259724,0.26249525,1000,0.012864,0.089262,0.038988625,0.010042516758879468,0.0400985,0.0403925,0.0413395,1000,0.002006,0.010132,0.003054503,0.0004896290228234026,0.00300175,0.003076,0.003148,1000,0.007249,0.040431,0.017152815999999998,0.003935452614140336,0.017347,0.017468,0.01762825,1000,0.001854,0.060977,0.016537718,0.006400666560638509,0.0177215,0.0179345,0.01806425,1000,0.001,0.02371,0.001506772,0.0010418921038264951,0.001343,0.001385,0.001426,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.032001,1.539733,0.090278012,0.0984199635197141,0.069301,0.0966725,0.09874375,1000,0.060253,0.133899,0.07814554300000001,0.007712825439885892,0.07756025,0.0781825,0.0791915,1000,0.003107,0.022135,0.004353242,0.000969884759874079,0.004281,0.0043725,0.004467,1000,0.005828,0.032008,0.007609432,0.0013098732310326828,0.00751975,0.00761,0.007695,1000,0.019028,0.06038,0.02559593,0.0027987105322094317,0.02557625,0.025803,0.026064,1000,0.019028,0.06038,0.02559593,0.0027987105322094317,0.02557625,0.025803,0.026064,1000,0.006365,0.031617,0.009528351000000001,0.0016721060234922303,0.00949475,0.0096385,0.009758,1000,0.010126,0.038643,0.012337846,0.001679423834022847,0.01219,0.012294,0.0124,1000,0.158099,1.809334,0.266140163,0.10853415403095208,0.24495175,0.2749995,0.28084775,1000,0.012731,0.064756,0.029284852,0.006581438820660419,0.026973,0.0311425,0.03184575,1000,0.001951,0.007697,0.0030904630000000003,0.000530944671911302,0.003018,0.003099,0.003179,1000,0.007239,0.048626,0.016144903,0.0038224652416458936,0.01572275,0.0165335,0.01684,1000,0.001911,0.023819,0.007878214,0.002842426735415356,0.00631475,0.0095145,0.00983725,1000,0.000993,0.007101,0.001430862,0.0006224012973604731,0.001271,0.001342,0.001406,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005352,0.127985,0.006423758,0.008462380148010134,0.005614,0.005725,0.005832,1000,1.116917,1.316938,1.1428200149999999,0.029627990643625753,1.125864,1.131044,1.1498545,1000,0.066966,0.120738,0.068537605,0.004689708978494828,0.06726,0.0673695,0.0675245,1000,0.037356,0.093824,0.038695036,0.004053117058598728,0.0377,0.037817,0.03796,1000,0.015475,0.04062,0.01627339,0.0016625621762508614,0.01586575,0.0160125,0.0161645,1000,0.985446,1.13658,1.011211688,0.026659422771557827,0.99627975,1.0017075,1.0123995,1000,0.00276,0.013557,0.003048697,0.000819517935856806,0.002905,0.002958,0.00301925,1000,0.010991,0.031018,0.01153241,0.0011521487464299044,0.01128,0.011381,0.011481,1000,1.152579,1.509,1.180312563,0.03466877048344852,1.16239975,1.1674775,1.187328,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.010608,0.00034704800000000003,0.00032792813495642603,0.000316,0.000328,0.000343,1000,2.469309,4.885911,2.525872201,0.1832125626600114,2.47914775,2.4971665,2.5208165,1000,0.052209,0.092618,0.054080249000000004,0.0033799641183005183,0.052536,0.0527405,0.0554195,1000,0.044326,0.087708,0.045756006,0.002796760035105622,0.044709,0.044867,0.04578725,1000,0.691564,2.086253,0.713529122,0.09567431996358854,0.698012,0.702351,0.71253625,1000,1.668417,2.650351,1.705130926,0.10310930346118395,1.67516425,1.6810535,1.701128,1000,0.001198,0.011802,0.001408547,0.0004858517014388237,0.001321,0.0013595,0.001414,1000,0.011926,0.032228,0.012360620999999999,0.001019239951806737,0.01215575,0.012237,0.012354,1000,2.492746,4.946241,2.550914422,0.18570677147367007,2.5037255,2.522344,2.54587225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00029,0.000826,0.000356291,5.439623441930517e-05,0.000325,0.000342,0.000374,1000,2.61155,4.92106,2.66624159,0.1749506668492404,2.622332,2.6416605,2.6607875,1000,0.051892,0.08912,0.053389747,0.003163186075303032,0.052446,0.052672,0.0529695,1000,0.04437,0.090062,0.045794656,0.0033088859544662457,0.0449,0.045181,0.04537825,1000,0.691686,1.941465,0.711880072,0.08543517149554283,0.697435,0.7001675,0.712424,1000,1.811986,2.84449,1.8474172009999998,0.10341307226322309,1.8183885,1.826315,1.839495,1000,0.001227,0.010242,0.001451884,0.0003315331183215336,0.00135575,0.001418,0.001486,1000,0.01185,0.024696,0.012451546,0.0007687039858645199,0.01216175,0.0123385,0.01255925,1000,2.634746,4.975993,2.691616497,0.17716042426960935,2.6471735,2.667184,2.6864985,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
