SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.322422,0.401701,0.3358753176470588,0.011655229179242636,0.3291705,0.333013,0.338717,255,11.733973,14.544563,12.196887388235293,0.3097632103764863,11.9993485,12.222962,12.2936975,255,0.283768,0.629114,0.295836968627451,0.02583482751133036,0.2867745,0.288466,0.2955955,255,0.137263,0.222185,0.14484476862745096,0.010518333016242849,0.138487,0.139905,0.149722,255,3.569734,4.218683,3.6589415803921566,0.07386234737226793,3.6077645,3.644538,3.694287,255,3.569734,4.218683,3.6589415803921566,0.07386234737226793,3.6077645,3.644538,3.694287,255,0.025533,0.057591,0.02697213725490196,0.002527858205408541,0.026236,0.026545,0.026869,255,0.051646,0.087899,0.05368697647058823,0.003543372667144947,0.0525625,0.052908,0.053352,255,39.855487,61.227836,47.320516917647055,2.3308084036922265,47.472916,47.791655,47.9754785,255,27.20253,46.068443,34.607176380392154,2.2493064441056787,35.050653,35.142671,35.2210385,255,0.020818,0.041712,0.022308294117647058,0.002029684448517462,0.021662,0.02193,0.0222065,255,21.825966,29.97226,22.08210014509804,0.9534581271860737,21.906696,21.933491,21.974898,255,4.883759,15.745628,12.085098164705881,1.8293973504082075,12.6989995,12.764606,12.8319805,255,0.38321,0.821336,0.41571158039215683,0.03787971259938708,0.406025,0.411528,0.4183255,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.908794,18.471376,9.24662772193732,0.4710458457764903,9.055799,9.130631,9.337918,1755,8.618218,18.132808,8.964166962962963,0.4593997700864461,8.7785435,8.845832,9.0579145,1755,0.004698,0.552693,0.168012607977208,0.1635511226624575,0.02929075,0.1185055,0.26417375,10530,0.006178,0.291604,0.07309563114909781,0.06980674194644476,0.014861,0.0577865,0.103393,10530,0.03695,5.563699,1.1408342503323836,1.1833660665072574,0.08834,0.879358,1.68620475,10530,0.03695,5.563699,1.1408342503323836,1.1833660665072574,0.08834,0.879358,1.68620475,10530,0.094993,0.174371,0.1063807737891738,0.010548849611283604,0.1003875,0.103071,0.1066295,1755,0.1281,0.226725,0.14019073048433048,0.01150552155461023,0.1340855,0.136078,0.14097,1755,23.870392,63.984011,30.746274918518516,3.8468161556458984,28.2796045,30.170631,32.4303385,1755,14.292037,45.565337,20.92929942792023,3.7401163446747585,18.5111155,20.393725,22.6440095,1755,0.074393,0.349406,0.08439040968660969,0.012239659180645828,0.079668,0.082252,0.084354,1755,13.471955,44.327458,20.087152393732193,3.645737497508592,17.723816,19.538738,21.80661,1755,0.105125,0.714943,0.2611537943019943,0.10477860739631155,0.2029375,0.235802,0.289546,1755,0.431236,0.670599,0.4943102849002849,0.030043841851719624,0.4742615,0.49014,0.511048,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.010965,1.562299,0.08937377099999999,0.11424709944545883,0.03790275,0.076172,0.1057785,1000,0.19367,0.313873,0.214187675,0.021047394987346417,0.199011,0.203119,0.22939875,1000,0.001936,0.017661,0.0026176,0.0009038004334475614,0.002097,0.0022135,0.003036,4000,0.004129,0.023861,0.0051585455,0.0011758625363662836,0.00439075,0.00456,0.00580525,4000,0.014758,0.048499,0.017665834249999998,0.0025664769370241647,0.0157595,0.0167585,0.01893475,4000,0.014758,0.048499,0.017665834249999998,0.0025664769370241647,0.0157595,0.0167585,0.01893475,4000,0.020164,0.051793,0.022874382000000002,0.003489676856684011,0.02062375,0.020903,0.0247965,1000,0.025546,0.057167,0.027872815,0.003141799098729103,0.0262235,0.026589,0.029067,1000,0.485127,2.267596,0.585838339,0.14723446642998397,0.50086625,0.545833,0.64995325,1000,0.090121,0.185374,0.10472846799999999,0.015641158995770614,0.09297375,0.096967,0.11601525,1000,0.02545,0.063247,0.029292512,0.0047691801811061835,0.0262315,0.0268785,0.031954,1000,0.041007,0.100955,0.047841762,0.00819147226714197,0.04205975,0.0448145,0.0526675,1000,0.006246,0.030852,0.007622404,0.0021444537567371323,0.00649975,0.0066455,0.0080745,1000,0.016447,0.072908,0.019439536,0.0037081968416878843,0.01707675,0.01768,0.02098775,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.032502,1.734833,0.09021274,0.12032099797714611,0.03760425,0.076352,0.1065085,1000,0.192432,0.312659,0.21591839799999998,0.020580240125265693,0.20004375,0.2069625,0.2318755,1000,0.001923,0.023397,0.0026367649999999997,0.0009294189360966346,0.002107,0.002239,0.003043,4000,0.004149,0.029315,0.0052514325,0.0012945377935555803,0.004449,0.004651,0.00588,4000,0.014654,0.05662,0.0177183085,0.0027914371348514637,0.01582975,0.0166805,0.0189405,4000,0.014654,0.05662,0.0177183085,0.0027914371348514637,0.01582975,0.0166805,0.0189405,4000,0.020053,0.052759,0.022708987,0.0033523019549006917,0.02056925,0.0208165,0.0245325,1000,0.025782,0.063677,0.027976561,0.0029671724598140567,0.02634475,0.026685,0.0293405,1000,0.483703,2.501461,0.588989629,0.15321811401090718,0.50525625,0.5472845,0.65344225,1000,0.090347,0.233495,0.104961947,0.016108608284895097,0.0935505,0.096995,0.1153165,1000,0.025123,0.057325,0.028984199000000002,0.004273196547480469,0.0262235,0.026781,0.031675,1000,0.041077,0.148979,0.048233906,0.009064326869501343,0.0422855,0.0432505,0.05337375,1000,0.006024,0.021888,0.007595725,0.001740086884432786,0.006433,0.0069065,0.008108,1000,0.016477,0.052782,0.01961359,0.003302980586061626,0.01741675,0.017936,0.02127925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.024824,1.949328,0.063203257,0.12210673569228256,0.03754675,0.050812,0.061856,1000,0.196087,0.32165,0.20625857,0.014051323950329379,0.199253,0.202655,0.205755,1000,0.001949,0.023663,0.0024679272500000003,0.0008515423154238652,0.002087,0.002159,0.00296,4000,0.004138,0.025738,0.00494383925,0.001190561609665555,0.004351,0.004469,0.005749,4000,0.014986,0.088954,0.017180182250000002,0.0028261229777797954,0.015568,0.0163875,0.018714,4000,0.014986,0.088954,0.017180182250000002,0.0028261229777797954,0.015568,0.0163875,0.018714,4000,0.020244,0.043711,0.021163302,0.0016191693842201932,0.020687,0.020831,0.02099125,1000,0.025619,0.049477,0.027016903,0.0022812925795677765,0.026132,0.026309,0.02654675,1000,0.5019,2.766165,0.563069679,0.14534051470987694,0.51935825,0.5474165,0.56444925,1000,0.100843,0.236392,0.125461837,0.01608956916074607,0.11432325,0.124045,0.13094525,1000,0.025082,0.060664,0.026921294000000002,0.0033690289208559783,0.025918,0.026226,0.02653725,1000,0.046397,0.127401,0.049816806,0.006510358552673116,0.0474775,0.0478905,0.049022,1000,0.009387,0.065708,0.02962052,0.010347231880150362,0.0209115,0.0307385,0.0356305,1000,0.016845,0.042705,0.018567619,0.002433971352304501,0.017501,0.0176935,0.01819425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.025354,1.469667,0.07519672,0.09701661270884282,0.06864975,0.069101,0.069946,1000,0.059868,0.133183,0.07793987399999999,0.007915721238404243,0.07731575,0.0778535,0.07876075,1000,0.002945,0.023752,0.004108421,0.0009603287060996353,0.004076,0.0041385,0.004198,1000,0.006028,0.022887,0.007801051000000001,0.0011308599322634966,0.00775175,0.007829,0.00790825,1000,0.0186,0.048196,0.025101919,0.002688651328908045,0.02502175,0.025249,0.02549025,1000,0.0186,0.048196,0.025101919,0.002688651328908045,0.02502175,0.025249,0.02549025,1000,0.006186,0.034105,0.00948675,0.0015801749724318507,0.009513,0.009617,0.00973825,1000,0.010179,0.035417,0.012245756,0.0016192648833541717,0.012117,0.0122165,0.01231,1000,0.158818,1.729919,0.260868645,0.10656917328452434,0.2562835,0.2588365,0.2620985,1000,0.012967,0.108579,0.039050832,0.010116515467777233,0.03992225,0.0405195,0.04137675,1000,0.002072,0.013255,0.003050248,0.0008125220787744786,0.002913,0.00299,0.00311325,1000,0.00727,0.056338,0.017222412,0.004267327192547578,0.017287,0.0174775,0.017692,1000,0.001942,0.05657,0.016602037,0.006092696651699557,0.01787975,0.0180895,0.01823925,1000,0.001014,0.011683,0.001457328,0.0005900999257888446,0.001314,0.001375,0.001429,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031904,1.560501,0.089490004,0.097785316838736,0.0686955,0.0961765,0.098241,1000,0.059594,0.140728,0.07750277400000001,0.00813831991659974,0.07650225,0.077281,0.07849675,1000,0.002935,0.013313,0.004093058,0.0006388397800982654,0.004069,0.0041335,0.004201,1000,0.005888,0.023553,0.007678599,0.0012208319844266042,0.007584,0.0076765,0.00776775,1000,0.01859,0.04952,0.024970592,0.002749638361591575,0.024849,0.025139,0.02536725,1000,0.01859,0.04952,0.024970592,0.002749638361591575,0.024849,0.025139,0.02536725,1000,0.006136,0.024,0.00926746,0.0013462645848420734,0.00930075,0.009418,0.00953825,1000,0.010128,0.023136,0.012165836,0.001167417742328769,0.012075,0.0121835,0.012289,1000,0.157536,1.827697,0.264211734,0.10784139200389267,0.243018,0.2730105,0.2789435,1000,0.012797,0.072592,0.029039369,0.0068186524892268115,0.02671,0.030832,0.0314575,1000,0.001997,0.01236,0.00299107,0.0007400222747323219,0.00290375,0.002959,0.003024,1000,0.007215,0.055783,0.016013303,0.003920266835202802,0.01556275,0.01634,0.0166475,1000,0.001929,0.031969,0.00789037,0.002980744584344657,0.0062995,0.009443,0.00984025,1000,0.001015,0.01048,0.001420117,0.000560593893394318,0.001275,0.001339,0.001401,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005262,0.167518,0.0063973599999999995,0.00906986383836053,0.005559,0.005666,0.005782,1000,1.118017,1.319401,1.169025637,0.04339549876269693,1.1273295,1.163577,1.204699,1000,0.067004,0.132021,0.06971967500000001,0.004581127631421656,0.0674505,0.069024,0.0711595,1000,0.037517,0.069489,0.039806265,0.0030664382610408126,0.037952,0.03859,0.04099725,1000,0.015163,0.039079,0.016147108,0.0020585891912511347,0.015661,0.015782,0.015926,1000,0.988218,1.171609,1.035312908,0.03934258989158614,0.99804225,1.0280215,1.0680455,1000,0.002732,0.011772,0.002990267,0.0004464695059138978,0.002883,0.002939,0.003006,1000,0.011149,0.03189,0.011625934999999999,0.0012065971675646351,0.011381,0.0114715,0.011589,1000,1.153979,1.545373,1.20675618,0.04701182583318372,1.1633105,1.200872,1.24061875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000286,0.00085,0.0003544,5.020989942232508e-05,0.000331,0.000346,0.000363,1000,2.570592,4.979121,2.63251963,0.18635018890233812,2.581345,2.596974,2.625858,1000,0.052038,0.089238,0.054344433,0.003561096590309086,0.052559,0.0530005,0.0558645,1000,0.044124,0.084859,0.045860942,0.002888883052433241,0.04464875,0.0449595,0.04711925,1000,0.689807,2.112649,0.7134611679999999,0.09761321239710213,0.696625,0.70032,0.70832175,1000,1.769471,2.765599,1.8112380730000002,0.10566280968080335,1.77590925,1.781231,1.80768475,1000,0.001179,0.010313,0.001370625,0.0003173402470141473,0.001303,0.00134,0.001383,1000,0.011715,0.032514,0.012365773,0.0011607944854585587,0.012028,0.012236,0.012402,1000,2.594011,5.037082,2.657747268,0.18861536011373564,2.60623325,2.62155,2.6507935,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000304,0.00285,0.000371767,0.00011370779529566122,0.000336,0.00035,0.00037,1000,2.616759,4.898528,2.6877542140000004,0.1903818112146909,2.62716425,2.6427885,2.682333,1000,0.052158,0.107566,0.054685229,0.005238138903137164,0.05261175,0.052964,0.0539225,1000,0.044562,0.103208,0.046609028,0.004652990765434206,0.04498875,0.0452895,0.04582925,1000,0.690714,2.011148,0.7134527610000001,0.08894935293341868,0.69713125,0.699315,0.70478425,1000,1.81527,2.972674,1.864973271,0.11728902768604385,1.822301,1.829811,1.86228575,1000,0.001219,0.016295,0.0014525789999999998,0.0006294227639345435,0.001312,0.001365,0.00144525,1000,0.011798,0.033008,0.012572137,0.001894139998582734,0.012029,0.012134,0.01228625,1000,2.640894,4.958801,2.713940369,0.1935243458485956,2.652513,2.667799,2.708206,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
