SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340037,0.427038,0.35440187058823525,0.012403291438040876,0.3474195,0.351501,0.356166,255,11.783539,13.531875,12.190131368627451,0.2327687988091537,11.954051,12.240383,12.282398,255,0.284182,0.381516,0.297144568627451,0.012648526700308915,0.289252,0.294684,0.299447,255,0.137635,0.218153,0.1442650980392157,0.01157863820238636,0.138812,0.139519,0.1441275,255,3.555446,4.121529,3.63142831372549,0.062137807807021654,3.586647,3.628023,3.6537755,255,3.555446,4.121529,3.63142831372549,0.062137807807021654,3.586647,3.628023,3.6537755,255,0.024757,0.053738,0.02724555294117647,0.0026972079543776404,0.0261435,0.026632,0.0271535,255,0.051386,0.097168,0.05454708235294118,0.00580262842649459,0.0524765,0.052974,0.053721,255,39.959099,56.668228,47.35527734509804,2.1399329839564687,47.5782465,47.83279,48.0051515,255,27.163325,42.581691,34.626979705882356,2.114751564001095,35.0360555,35.16837,35.273826,255,0.020587,0.039892,0.022154894117647057,0.001950879365463905,0.021337,0.021741,0.022105,255,21.777486,28.566491,22.067562176470588,1.0159105492113265,21.8552055,21.892705,21.928971,255,4.852253,14.280104,12.125402027450981,1.8125197796009502,12.727809,12.846018,12.9368885,255,0.390511,0.493391,0.4100203137254902,0.014111831943291204,0.402208,0.405871,0.4117795,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.649207,13.523608,9.103670107692308,0.3632358943780211,8.8438155,9.026046,9.2818865,1755,8.379086,13.211404,8.810401124786324,0.3595344216275522,8.550218,8.738094,8.9836695,1755,0.004473,0.604407,0.17518881244064577,0.17067231853576006,0.02814125,0.1176215,0.28145925,10530,0.006178,0.305219,0.08030252687559354,0.07742538606393863,0.014746,0.0601,0.122217,10530,0.037741,5.585161,1.1623056698005698,1.1987617726258044,0.08968425,0.887395,1.7113335,10530,0.037741,5.585161,1.1623056698005698,1.1987617726258044,0.08968425,0.887395,1.7113335,10530,0.094134,0.236805,0.1086320056980057,0.013507401674298826,0.0995355,0.102665,0.1167325,1755,0.129256,0.226474,0.1405661908831909,0.011221528618009988,0.133787,0.136084,0.142764,1755,23.45027,42.28131,30.41147847692308,3.6164088952252107,27.976938,29.88616,32.196296,1755,14.17632,30.542031,20.727456515099714,3.549715881839527,18.3588735,20.221035,22.4490995,1755,0.073082,0.149509,0.08359090313390313,0.009093897898029798,0.0784685,0.081051,0.0856075,1755,13.401261,29.624371,19.88155373219373,3.454194539153811,17.5843595,19.389328,21.616472,1755,0.105291,0.803221,0.26579802222222226,0.10910338041665261,0.204509,0.239856,0.294288,1755,0.433876,0.645615,0.4943961737891738,0.02930209597899764,0.474537,0.488678,0.5107725,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.042298,1.67685,0.10610079700000001,0.1196768943846714,0.0527545,0.0909345,0.123696,1000,0.194917,0.345837,0.216769449,0.021074368262830535,0.200999,0.2060445,0.23246925,1000,0.001964,0.01363,0.002639509,0.0008125687518105776,0.002131,0.0022485,0.003049,4000,0.004138,0.022242,0.00522438125,0.0012684226672913241,0.00444,0.004623,0.0057885,4000,0.015014,0.055087,0.01800239125,0.0028493062199724055,0.015902,0.0169745,0.01924425,4000,0.015014,0.055087,0.01800239125,0.0028493062199724055,0.015902,0.0169745,0.01924425,4000,0.020162,0.040094,0.022724624,0.0028566037115119766,0.020765,0.021073,0.0247775,1000,0.025636,0.067552,0.028255546,0.0036612164937195398,0.026284,0.026724,0.0295475,1000,0.501535,2.378527,0.6074550379999999,0.15328263532171071,0.51997675,0.5678375,0.67148925,1000,0.090944,0.21334,0.10543664900000001,0.015859910013231445,0.09394725,0.0980125,0.11528825,1000,0.025449,0.063335,0.029208551,0.00456767208645706,0.02635775,0.027032,0.0314845,1000,0.041085,0.131327,0.048424691,0.008580553361148628,0.042526,0.044073,0.05317525,1000,0.006209,0.033894,0.007638219,0.0020665546949062345,0.006454,0.0066955,0.00809975,1000,0.016687,0.053052,0.019626547999999997,0.0033767365010755573,0.017344,0.0180735,0.02123525,1000,0.0,2.4,0.96,0.8979977728257458,0.0,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.046535,1.79707,0.106460606,0.12230619629965099,0.05374525,0.0906415,0.12371575,1000,0.193606,0.365176,0.216777688,0.021646069219252165,0.20031875,0.2061325,0.2339095,1000,0.001958,0.018431,0.0026497089999999997,0.0008354439372686835,0.00212375,0.002243,0.00306,4000,0.004177,0.025063,0.00530600825,0.0013681637837561474,0.004486,0.004678,0.005902,4000,0.015073,0.053786,0.017936703000000002,0.0027643322121791002,0.0158185,0.0169065,0.01917125,4000,0.015073,0.053786,0.017936703000000002,0.0027643322121791002,0.0158185,0.0169065,0.01917125,4000,0.020126,0.045981,0.022872708,0.003475730885833367,0.020656,0.020927,0.024758,1000,0.025585,0.053333,0.028005227,0.0028835691355455655,0.026147,0.026509,0.029499,1000,0.500721,2.601611,0.6069296580000001,0.155812526729705,0.521163,0.5629525,0.67016075,1000,0.090367,0.208976,0.105335771,0.01619641945241475,0.0933315,0.097265,0.11629875,1000,0.025079,0.062378,0.029132512,0.004839416466667857,0.0259985,0.0268065,0.031841,1000,0.041181,0.108722,0.048367877000000004,0.00865900152441787,0.04224775,0.044212,0.0542575,1000,0.006035,0.027514,0.007598766,0.001944383912514193,0.00634125,0.0068525,0.00813975,1000,0.01655,0.052689,0.019705149,0.003646409574197473,0.017273,0.018078,0.02123375,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.041706,1.712148,0.07810552400000001,0.11404768531300152,0.0525205,0.065846,0.0783385,1000,0.194049,0.320197,0.207449201,0.013844707050443465,0.200332,0.2040025,0.20862025,1000,0.001934,0.014174,0.00250406125,0.0008037501757377335,0.002114,0.0022,0.002987,4000,0.004138,0.024907,0.0049651040000000006,0.0011701072654607353,0.004381,0.004509,0.005719,4000,0.014805,0.053843,0.017212398,0.002378264356751789,0.01569775,0.01648,0.0188295,4000,0.014805,0.053843,0.017212398,0.002378264356751789,0.01569775,0.01648,0.0188295,4000,0.020119,0.051466,0.021395285,0.0022692411048134574,0.02068,0.020858,0.0211485,1000,0.025472,0.057566,0.026926229,0.0029278613933311462,0.026025,0.0262265,0.02645225,1000,0.516234,2.448813,0.580775094,0.13734910902761316,0.536802,0.563914,0.58696275,1000,0.102431,0.223731,0.126601953,0.01634142538363135,0.11543775,0.1248655,0.1316015,1000,0.025373,0.064966,0.027448029999999998,0.003789921105128707,0.02615175,0.026453,0.02685075,1000,0.046389,0.134191,0.050014759,0.006595380289635995,0.04754675,0.0481385,0.04922725,1000,0.00934,0.071933,0.029719103,0.010263338484352496,0.02107525,0.030998,0.03604825,1000,0.017021,0.043865,0.018881798999999998,0.002732865307804064,0.01762,0.0178585,0.01853025,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.039942,1.489965,0.080032989,0.0947033060421487,0.07212175,0.074941,0.076045,1000,0.060433,0.140024,0.07880422100000001,0.007947562237325291,0.0777235,0.078301,0.0819885,1000,0.002874,0.02052,0.0041252929999999995,0.0009259573462913937,0.00406875,0.004131,0.004189,1000,0.005956,0.021721,0.007890638,0.0012309316467440424,0.007794,0.007885,0.007989,1000,0.018937,0.046041,0.025184777,0.002524542886795746,0.025175,0.0254065,0.0258035,1000,0.018937,0.046041,0.025184777,0.002524542886795746,0.025175,0.0254065,0.0258035,1000,0.006202,0.019793,0.009469734,0.0012491088428331616,0.00951375,0.009629,0.00988025,1000,0.009831,0.055798,0.012112613999999999,0.0018845663604670436,0.01199275,0.012087,0.012179,1000,0.164098,1.764098,0.267083337,0.10462094054785319,0.26290225,0.265564,0.26880675,1000,0.012969,0.092297,0.038904735999999995,0.009726379295621985,0.040144,0.040539,0.04128625,1000,0.002068,0.013216,0.002994994,0.0005511830838877405,0.002932,0.003016,0.003097,1000,0.007289,0.041782,0.016752028999999998,0.0036495452136066217,0.017249,0.017386,0.017516,1000,0.001918,0.063081,0.016494830999999998,0.006097679674469543,0.01793475,0.018143,0.01829025,1000,0.000991,0.011384,0.001411373,0.0004416567579818065,0.001341,0.001379,0.001418,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.039821,1.58733,0.094915635,0.09878688513232804,0.07457725,0.0992425,0.10404875,1000,0.060405,0.137453,0.07842164,0.0084777096213777,0.07720975,0.0778165,0.081003,1000,0.002884,0.014273,0.004156419,0.0008416763174991915,0.004097,0.004158,0.00421825,1000,0.005959,0.025363,0.007779089,0.0013648469940176445,0.007679,0.0077765,0.00788275,1000,0.018913,0.055521,0.025124729999999998,0.0029081985752523846,0.025033,0.025279,0.025572,1000,0.018913,0.055521,0.025124729999999998,0.0029081985752523846,0.025033,0.025279,0.025572,1000,0.006185,0.02998,0.0094025,0.0015502933799768353,0.009383,0.0095245,0.009738,1000,0.009816,0.027441,0.011993308999999999,0.0013527537312899936,0.01188375,0.012003,0.01212125,1000,0.163635,1.856987,0.271016597,0.10940728442469719,0.24961575,0.279789,0.28502825,1000,0.012807,0.067426,0.02901925,0.006397211122942559,0.0267885,0.0309155,0.031509,1000,0.002053,0.007715,0.002943767,0.0004252536921779751,0.002914,0.002968,0.00303725,1000,0.007251,0.042396,0.015721554,0.0034841592961694506,0.0155755,0.016291,0.01658125,1000,0.001934,0.024464,0.007827502,0.0028452069861428357,0.0063215,0.008908,0.00991225,1000,0.001031,0.006073,0.0013435150000000002,0.00031020298157013256,0.00125,0.001321,0.001377,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.008881,0.127131,0.010433975,0.008261578867769464,0.009211,0.009332,0.00957125,1000,1.118585,1.447378,1.191636051,0.07469884655048162,1.126579,1.151315,1.2230125,1000,0.067172,0.109839,0.069405115,0.003895612897321165,0.067573,0.067871,0.070253,1000,0.03747,0.080579,0.039648577,0.0033223570205610053,0.038032,0.0382845,0.04077,1000,0.015203,0.0379,0.01623544,0.0019367891259504735,0.01567375,0.015829,0.016018,1000,0.989331,1.263775,1.0580809450000002,0.07161024537332612,0.99676975,1.018382,1.08015325,1000,0.002717,0.020243,0.003075674,0.0009462531731645607,0.00286475,0.002912,0.00297,1000,0.011085,0.031625,0.011608383,0.001418630028693528,0.011281,0.011368,0.01148,1000,1.156613,1.633962,1.232438833,0.07671031682078436,1.16677925,1.1937485,1.26582425,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000278,0.001053,0.00035067899999999995,5.878031948705281e-05,0.00032,0.0003365,0.000367,1000,2.570531,5.121907,2.6211063070000002,0.19153868180157435,2.5771155,2.5833885,2.61492625,1000,0.052208,0.091917,0.054021976,0.003568371738962184,0.052517,0.0527085,0.05338625,1000,0.044414,0.091629,0.046565303,0.004043660792548134,0.04513,0.045521,0.04663775,1000,0.692378,2.178239,0.71259415,0.09978449817009405,0.6984095,0.701079,0.7062215,1000,1.76495,2.816637,1.800398493,0.10550782264014338,1.77168025,1.7754015,1.7944385,1000,0.001212,0.011308,0.00136597,0.00034599341482172754,0.0013,0.0013365,0.001378,1000,0.011638,0.0242,0.012224200000000001,0.0009378995180721654,0.011974,0.0120775,0.012216,1000,2.595329,5.183808,2.646346564,0.1939993204180002,2.601899,2.6097445,2.64000275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000301,0.001079,0.00037289100000000003,6.874836084591398e-05,0.000343,0.00036,0.000378,1000,2.61976,5.065807,2.6915712170000003,0.1885168967521689,2.630843,2.6478325,2.685798,1000,0.051882,0.163876,0.054225365,0.005584261266969428,0.052342,0.0526045,0.05339025,1000,0.044506,0.102977,0.046339912,0.004553538373205611,0.04492875,0.0451065,0.045459,1000,0.691694,2.000855,0.717448437,0.08981638858620421,0.6977485,0.7005375,0.7169405,1000,1.817255,2.896119,1.865576919,0.11098275732579561,1.8236415,1.8392025,1.865045,1000,0.001181,0.006339,0.001425538,0.00029477259464882416,0.00133,0.001365,0.00140725,1000,0.011769,0.034748,0.012617717,0.0019215725978768015,0.01209775,0.012215,0.01237275,1000,2.643479,5.123238,2.717579002,0.19135695995644894,2.6558045,2.672948,2.71103825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
