SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.326544,0.52232,0.34185057254901957,0.016154312178317608,0.333711,0.338556,0.344773,255,11.895038,13.772307,12.325804047058824,0.26000728792363054,12.13999,12.354579,12.4491935,255,0.284994,0.44476,0.3012546392156863,0.015142300760608893,0.2915465,0.295494,0.3118135,255,0.137304,0.220876,0.1485686588235294,0.015894291274507734,0.1386395,0.139446,0.1510305,255,3.871575,4.572541,3.9701637098039217,0.06777251420880336,3.932516,3.957146,3.996917,255,3.871575,4.572541,3.9701637098039217,0.06777251420880336,3.932516,3.957146,3.996917,255,0.022723,0.034803,0.025069141176470588,0.0015593798326328787,0.0240775,0.02453,0.026074,255,0.053192,0.092854,0.05582058431372549,0.003666514165422539,0.05427,0.054801,0.0565575,255,40.045815,58.34077,47.455165988235294,1.9938448403672906,47.550801,47.903655,48.078781,255,27.207274,45.422612,34.6005812,1.9685828063407234,34.98555,35.099899,35.1935635,255,0.02109,0.045038,0.022754996078431372,0.0020582833709863026,0.021937,0.022388,0.022855,255,21.77837,28.238301,22.052458596078434,0.8426689639387774,21.8567015,21.893887,21.9470165,255,4.88584,22.448103,12.119953721568628,1.9191909544602066,12.7032195,12.770949,12.8311715,255,0.387755,0.501385,0.4031078588235294,0.014036091691501095,0.3957495,0.39902,0.405291,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,12.108906,21.590241,13.2538734005698,0.5687266172081127,12.9711855,13.198401,13.2981825,1755,11.792699,21.281472,12.900191482051282,0.5457332798476684,12.6306265,12.8438,12.9382205,1755,0.00845,0.900798,0.264513685660019,0.23550409452782214,0.05388125,0.2782815,0.42393975,10530,0.009471,0.808108,0.11085322098765432,0.08766218838924958,0.02825275,0.1123585,0.194882,10530,0.070011,8.508745,1.8670449351377019,1.9036240625698413,0.1727065,1.175058,2.66984175,10530,0.070011,8.508745,1.8670449351377019,1.9036240625698413,0.1727065,1.175058,2.66984175,10530,0.093244,0.737336,0.1148429207977208,0.02177207279650711,0.1003115,0.114491,0.119658,1755,0.131645,0.225769,0.1487432700854701,0.014489064916082007,0.138375,0.14551,0.1485575,1755,23.222222,40.146426,29.058120654700854,2.5222424469999845,27.288512,28.894847,30.7428815,1755,10.306446,25.459355,15.18378010883191,2.3942528851941276,13.5435535,15.084011,16.8573035,1755,0.07537,0.147454,0.09047805413105413,0.01277105237645661,0.0832315,0.086933,0.091388,1755,9.477322,24.006341,14.325064527065527,2.308184751381016,12.773321,14.240851,15.975311,1755,0.104246,0.683507,0.2786498279202279,0.10819492437029056,0.215003,0.255349,0.311343,1755,0.412241,0.882028,0.48752281025641026,0.03211761622816911,0.4665485,0.484496,0.507599,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.034056,1.733972,0.093741989,0.12019753892735441,0.04309825,0.0808845,0.10849325,1000,0.193263,0.342215,0.217033232,0.021151071149995593,0.20154025,0.20713,0.23261,1000,0.002046,0.021727,0.0027661927500000003,0.000950853871053506,0.002249,0.002378,0.003151,4000,0.004126,0.019535,0.00535487775,0.001241724379967204,0.00454275,0.0047615,0.00601925,4000,0.014832,0.050433,0.01749997075,0.0027274504558093145,0.015684,0.0164375,0.0186865,4000,0.014832,0.050433,0.01749997075,0.0027274504558093145,0.015684,0.0164375,0.0186865,4000,0.020683,0.045954,0.02333136,0.00320236637166955,0.02126275,0.02151,0.02528925,1000,0.025609,0.066207,0.027913952000000002,0.002954166888260716,0.02633625,0.0267255,0.02911825,1000,0.491518,2.462572,0.596763266,0.15402513464696357,0.51196225,0.5577325,0.658056,1000,0.091119,0.202293,0.106717966,0.016508624085817814,0.09492275,0.098626,0.1184365,1000,0.025947,0.063344,0.030293223,0.0050241671738976805,0.02708975,0.028155,0.03281575,1000,0.04127,0.12038,0.048566817000000005,0.009246708748387775,0.04247875,0.0441875,0.0538555,1000,0.006109,0.023998,0.007481241,0.0018337328521131424,0.006361,0.0065415,0.0080375,1000,0.016778,0.051336,0.019819638,0.0034814373116510374,0.017587,0.0181695,0.0214175,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.028563,1.685755,0.094778257,0.12055915865934429,0.04312525,0.0806545,0.11177925,1000,0.194279,0.378652,0.216641029,0.022099014983889192,0.20113475,0.2067985,0.23112725,1000,0.002016,0.023243,0.0027592995,0.0009157811680744205,0.002254,0.002395,0.003146,4000,0.00414,0.024281,0.00535442275,0.0012818230461075495,0.004529,0.00478,0.00606,4000,0.014838,0.06622,0.017488207999999998,0.00287263607183994,0.015633,0.0163775,0.018659,4000,0.014838,0.06622,0.017488207999999998,0.00287263607183994,0.015633,0.0163775,0.018659,4000,0.020527,0.07014,0.0233597,0.0035089033047378208,0.021136,0.0214625,0.025303,1000,0.02568,0.059697,0.027804086999999998,0.0025348510306191564,0.026238,0.026556,0.02903925,1000,0.489929,2.481921,0.597524093,0.15586754317956752,0.509708,0.554469,0.6599285,1000,0.091772,0.224551,0.106877701,0.01695065215363701,0.09504,0.0986605,0.11765425,1000,0.025829,0.075317,0.029941764,0.005028632398406548,0.02685525,0.027515,0.03226525,1000,0.041719,0.13632,0.048917743,0.009732331650583584,0.04266975,0.043857,0.0531825,1000,0.006087,0.02821,0.007604914,0.00178935145698211,0.0063865,0.0069165,0.0081845,1000,0.017041,0.059957,0.019851994999999997,0.003283588676581615,0.01763075,0.018162,0.02157,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.026951,1.781211,0.066304785,0.12038456530104172,0.04162775,0.0531205,0.066131,1000,0.19347,0.318648,0.207526473,0.013937285723958989,0.2000855,0.2043795,0.2089665,1000,0.002019,0.019981,0.002611112,0.0009423217093731843,0.002233,0.002313,0.00303325,4000,0.004078,0.019633,0.0051142875,0.001263246389206694,0.004466,0.004639,0.005937,4000,0.014942,0.050315,0.01685627175,0.0024158768723595864,0.015483,0.016017,0.0182335,4000,0.014942,0.050315,0.01685627175,0.0024158768723595864,0.015483,0.016017,0.0182335,4000,0.020662,0.059046,0.021880485,0.002444369079696231,0.02112675,0.0213145,0.02161925,1000,0.025568,0.054807,0.026731652999999998,0.0023495438558560683,0.02603275,0.026196,0.02639625,1000,0.5077,2.515676,0.569540581,0.14228769735303695,0.52732375,0.552715,0.57272075,1000,0.10326,0.221683,0.126838859,0.01582642227804879,0.11576725,0.1254975,0.132326,1000,0.025788,0.063225,0.027963072,0.003554727950042872,0.0264885,0.026884,0.0283545,1000,0.047039,0.112783,0.050081293,0.006264781120131094,0.047899,0.048382,0.04912275,1000,0.009202,0.093837,0.02940518,0.010356882482465465,0.0206765,0.03063,0.0356045,1000,0.017221,0.043523,0.018827491000000002,0.002700463608330799,0.017709,0.017918,0.018311,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.03672,1.454905,0.079012818,0.09705757627535769,0.07091625,0.0721845,0.07479025,1000,0.06016,0.156181,0.079382068,0.009306872581881414,0.077997,0.078639,0.0799735,1000,0.003062,0.014829,0.004476409,0.0012074408795957673,0.004299,0.0043715,0.00444825,1000,0.006028,0.037832,0.008121979999999999,0.0016776415396621532,0.007887,0.0080145,0.00817875,1000,0.018427,0.059552,0.024949818,0.003362162554499113,0.02472275,0.024917,0.0251415,1000,0.018427,0.059552,0.024949818,0.003362162554499113,0.02472275,0.024917,0.0251415,1000,0.006424,0.032614,0.009806554,0.0016955318348777766,0.009698,0.009884,0.0100865,1000,0.010168,0.042047,0.012462798,0.0019509040609922363,0.01223,0.0123205,0.012406,1000,0.161143,1.727294,0.267863925,0.10683024762899024,0.26185275,0.264581,0.268956,1000,0.012885,0.088394,0.039634657,0.010498143392302803,0.04064375,0.041047,0.041679,1000,0.00217,0.021108,0.003297381,0.0012268455753838786,0.00309875,0.003174,0.00325725,1000,0.007302,0.046327,0.017615451,0.004508012173630302,0.017629,0.017776,0.01797375,1000,0.001896,0.058739,0.016702364,0.006204612960653066,0.0179,0.0181515,0.0184045,1000,0.000935,0.022208,0.001500632,0.000945784783434371,0.00132,0.001382,0.001455,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.027789,1.482381,0.094948611,0.09745903790174454,0.07352075,0.0996045,0.10504625,1000,0.060347,0.163737,0.079082967,0.008294303115024855,0.07808475,0.079182,0.0802815,1000,0.003101,0.020214,0.004454986,0.0011722595530871138,0.00431375,0.004384,0.00445425,1000,0.006197,0.031719,0.008139794,0.001493729221634229,0.00799,0.008118,0.00821225,1000,0.018407,0.061353,0.024804703,0.003142046038299089,0.024604,0.024831,0.025089,1000,0.018407,0.061353,0.024804703,0.003142046038299089,0.024604,0.024831,0.025089,1000,0.006455,0.024854,0.009653276,0.001468649212652225,0.00963875,0.009767,0.009905,1000,0.010068,0.037572,0.012336459999999999,0.0015448249740342753,0.012172,0.012271,0.012361,1000,0.162887,1.773916,0.27284725400000004,0.10799449134079703,0.25070875,0.2815985,0.287907,1000,0.013062,0.065902,0.029301728,0.006615725374440508,0.027206,0.031273,0.0319225,1000,0.0022,0.015437,0.003255408,0.0007794426839325648,0.003109,0.003201,0.003285,1000,0.007264,0.041933,0.016078335,0.003656161213181799,0.01575775,0.016543,0.016862,1000,0.001889,0.036712,0.008034021,0.0030136727361409037,0.00641575,0.009693,0.009954,1000,0.000986,0.011636,0.0014270609999999999,0.0007456444308643363,0.001229,0.001305,0.00136925,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006274,0.131431,0.007880858000000001,0.008762124538822533,0.00653975,0.0067165,0.00699,1000,1.127077,1.31448,1.163768916,0.03851800031150298,1.13560525,1.149123,1.17935225,1000,0.067532,0.139383,0.06965056,0.004443429863787658,0.067903,0.068201,0.07086,1000,0.037788,0.073694,0.039728722,0.0028988292996856503,0.03865975,0.0390125,0.03935625,1000,0.015348,0.038399,0.016195488,0.0017300331458836272,0.0156975,0.0158205,0.015963,1000,0.997818,1.152,1.030032662,0.035431961664093,1.00384475,1.0181675,1.042431,1000,0.002759,0.012027,0.003140727,0.000695493511451401,0.00294375,0.002995,0.003071,1000,0.011088,0.030365,0.011569138000000001,0.000942418669677124,0.01135075,0.011422,0.011526,1000,1.16317,1.506389,1.2020076450000001,0.04202315261625399,1.17319825,1.185869,1.2176365,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000272,0.002937,0.000342075,0.00010454261989734139,0.000302,0.000317,0.0003505,1000,2.556195,5.067025,2.6240726490000004,0.18770067565152182,2.5754235,2.5899235,2.62411725,1000,0.051857,0.091675,0.054867739,0.0037216725311180992,0.05243325,0.054244,0.05650975,1000,0.044518,0.096987,0.046868889000000004,0.0038036378537761716,0.0449665,0.0463085,0.047624,1000,0.691708,2.147722,0.716522882,0.09736363422295861,0.69848875,0.7032125,0.71466825,1000,1.754829,2.746294,1.797539205,0.10623013871475917,1.76162725,1.7701285,1.7988405,1000,0.001177,0.00484,0.0013912940000000002,0.00017522154423472018,0.001318,0.001367,0.00142925,1000,0.012598,0.023206,0.013416461999999999,0.0006833170878559968,0.01299,0.0133065,0.01371025,1000,2.580476,5.129801,2.650727977,0.1900669462192163,2.60253575,2.616493,2.65085625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000282,0.00084,0.00033036000000000003,4.5179181046141155e-05,0.00031275,0.000322,0.000336,1000,2.613066,4.868639,2.6626334799999998,0.17209777545129282,2.622508,2.628374,2.6609195,1000,0.051985,0.092473,0.053545072,0.0029026328260419025,0.0526815,0.0529735,0.053378,1000,0.044513,0.077178,0.045807531000000005,0.002500516593234086,0.0450755,0.045292,0.0456485,1000,0.692938,1.971885,0.7109298510000001,0.08485575494737406,0.698471,0.700608,0.70323025,1000,1.807294,2.807177,1.843712866,0.10179069611887936,1.81553375,1.8189375,1.83807275,1000,0.001225,0.003955,0.001459921,0.00018473038937597678,0.00138,0.001425,0.00149325,1000,0.012548,0.032543,0.013273248,0.0011193230420642648,0.012913,0.0130935,0.01330625,1000,2.637852,4.928004,2.689448744,0.17446818291610786,2.64892,2.6554145,2.68750375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
