SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339633,0.509784,0.35797891372549023,0.020279104612838286,0.3460965,0.350792,0.360661,255,11.822498,15.245041,12.381005011764705,0.3803214740454937,12.203247,12.371592,12.471406,255,0.284384,0.384993,0.29745036862745095,0.01620837718955898,0.2876225,0.289719,0.2998445,255,0.138758,0.209184,0.14469970588235295,0.010238655424312732,0.1401555,0.141074,0.142496,255,3.573901,4.976122,3.7112679607843138,0.116125096628164,3.6510765,3.693788,3.7381135,255,3.573901,4.976122,3.7112679607843138,0.116125096628164,3.6510765,3.693788,3.7381135,255,0.025427,0.042726,0.027411745098039217,0.0026905691215373165,0.0264415,0.026739,0.0271555,255,0.057236,0.105437,0.06103782352941176,0.006238697814435199,0.058888,0.05935,0.0600885,255,40.149518,63.444246,48.1407666745098,2.8398945670170304,47.6790295,48.026819,48.2254655,255,27.259348,47.504297,35.219577611764706,2.6866214810389053,35.072137,35.183637,35.2983285,255,0.020511,0.04812,0.02238745882352941,0.002573654203289249,0.0215235,0.021953,0.022394,255,21.749328,30.579086,22.584046184313724,1.9894313531055468,21.852342,21.885398,21.931662,255,4.937582,16.446724,12.19095968627451,1.8351050287838695,12.7595935,12.852304,12.944537,255,0.392943,0.52543,0.4194348745098039,0.022198811676903005,0.40609,0.410702,0.424861,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.689627,16.644078,9.186888392022793,0.7652473636005795,8.8501295,8.997722,9.243311,1755,8.3857,16.32518,8.869136241025641,0.7597331372990027,8.540049,8.685247,8.9194935,1755,0.004943,2.555681,0.17465870949667617,0.17229469175049844,0.02841,0.126111,0.2798955,10530,0.006046,0.376247,0.08001837540360873,0.07783923141917894,0.01386425,0.0619845,0.122929,10530,0.035631,7.188589,1.1745460135802468,1.2241959270776988,0.08821025,0.893327,1.70733925,10530,0.035631,7.188589,1.1745460135802468,1.2241959270776988,0.08821025,0.893327,1.70733925,10530,0.093502,0.340182,0.11187976353276353,0.01681085122502413,0.101012,0.105381,0.1169945,1755,0.147038,0.32666,0.16351567407407408,0.01626369129793458,0.153197,0.158453,0.1652265,1755,23.76364,47.834241,30.715937079772083,3.728015974625888,28.1538885,30.140732,32.4987415,1755,14.460889,36.833604,20.97926282849003,3.571895287279426,18.503137,20.55029,22.7253975,1755,0.07401,0.185746,0.08625148376068376,0.012196105725165836,0.080213,0.082492,0.0865985,1755,13.656994,34.587946,20.11570981766382,3.4758005907888347,17.6783,19.678732,21.850378,1755,0.102308,0.819777,0.26498325641025644,0.10900298829474013,0.2009365,0.237491,0.290826,1755,0.434716,1.240766,0.5100824621082621,0.050876897781678,0.4825555,0.501632,0.5241325,1755,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.04453,1.649015,0.105979962,0.11530537360659543,0.052597,0.091948,0.1237545,1000,0.124786,0.241373,0.141749855,0.016338165914079064,0.1295,0.134173,0.15327225,1000,0.001902,0.018191,0.0025818305,0.0008753425182577105,0.002104,0.002227,0.00301525,4000,0.003983,0.030007,0.00518737,0.0015004376683488056,0.004312,0.004507,0.005752,4000,0.000401,0.015273,0.000768824,0.000748708784524397,0.000505,0.000557,0.000861,4000,0.000401,0.015273,0.000768824,0.000748708784524397,0.000505,0.000557,0.000861,4000,0.02008,0.055691,0.023029005,0.0038962885225525845,0.020719,0.0210305,0.0247295,1000,0.025903,0.062367,0.028157205999999997,0.003597763129162897,0.026368,0.0266915,0.02920925,1000,0.422535,2.254091,0.520249493,0.14468134629379129,0.43645675,0.483347,0.5794745,1000,0.088305,0.217604,0.10279002899999999,0.01654066146416639,0.09069675,0.094528,0.114161,1000,0.025201,0.101761,0.029021583,0.00524135759198998,0.026019,0.0266975,0.03123875,1000,0.039775,0.10229,0.046809731,0.008884675903410265,0.04067975,0.043348,0.05206025,1000,0.005564,0.029782,0.006859666,0.0021227595441886487,0.00583775,0.0059705,0.00731925,1000,0.016331,0.066625,0.019560151,0.004393577909881536,0.01701425,0.0176995,0.02095025,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.047283,1.711224,0.106962046,0.11797369034110904,0.0530845,0.0924705,0.12445575,1000,0.124497,0.232346,0.14200309,0.016687107919405926,0.12971775,0.134145,0.15347375,1000,0.00192,0.024307,0.0026279145,0.001133864052340381,0.00211,0.0022325,0.003055,4000,0.003971,0.0254,0.00516710925,0.0013704285768745621,0.004311,0.004511,0.005741,4000,0.000381,0.014187,0.0007672335,0.0007332704957774791,0.000509,0.000556,0.00090325,4000,0.000381,0.014187,0.0007672335,0.0007332704957774791,0.000509,0.000556,0.00090325,4000,0.020132,0.056237,0.022964575,0.003471382985263222,0.02073575,0.0211155,0.0248925,1000,0.025723,0.07038,0.028245156,0.004325339473805958,0.02624675,0.026627,0.02942625,1000,0.418891,2.306411,0.521242659,0.14754360596843472,0.44041025,0.480903,0.57958875,1000,0.087246,0.211837,0.10253485300000001,0.016005858642553075,0.090616,0.094346,0.11388875,1000,0.024984,0.065332,0.029098291000000002,0.0050169610905725585,0.02595875,0.026732,0.03166975,1000,0.039407,0.111716,0.046751186,0.00880529676361927,0.04060975,0.0423825,0.05220575,1000,0.005316,0.025012,0.006753229,0.001935605609249725,0.00563175,0.00605,0.00715675,1000,0.016299,0.053467,0.019381426,0.00366933858025176,0.0170145,0.017821,0.02085025,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.036923,1.695462,0.07881574400000001,0.11460745387981736,0.05270775,0.066805,0.07807775,1000,0.126661,0.275229,0.136469514,0.01304138908658905,0.1299855,0.1324865,0.1361155,1000,0.001932,0.024171,0.002479131,0.0010280527750748012,0.002084,0.002151,0.002961,4000,0.004022,0.024864,0.00490102675,0.0015066513750813214,0.00426175,0.004378,0.0056285,4000,0.000402,0.016783,0.0007838745,0.0007174423940287819,0.000517,0.000572,0.000966,4000,0.000402,0.016783,0.0007838745,0.0007174423940287819,0.000517,0.000572,0.000966,4000,0.020236,0.052077,0.021864671,0.003580821048413199,0.0207825,0.0209395,0.02118925,1000,0.026128,0.065721,0.027597117999999997,0.003986086411516439,0.02649975,0.026632,0.02686675,1000,0.441168,2.303058,0.500739278,0.13719091062569239,0.45594175,0.4837985,0.50902775,1000,0.09995,0.240162,0.12293248,0.016682678243123913,0.111031,0.121009,0.128072,1000,0.025028,0.065722,0.027034131000000003,0.003809924743855054,0.0258,0.026117,0.02660225,1000,0.04487,0.133951,0.048759772,0.007388779112412009,0.046059,0.046761,0.04782575,1000,0.009269,0.078843,0.027772005000000002,0.010078591590047441,0.01942025,0.0287995,0.033388,1000,0.016829,0.050219,0.018828318,0.0034226420488967287,0.017331,0.0176035,0.01835575,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.034439,1.45555,0.081834038,0.09598287330720286,0.07370125,0.074571,0.07629025,1000,0.040277,0.107085,0.052275277,0.007289867069176981,0.0506645,0.051221,0.05193875,1000,0.002921,0.025505,0.004164332000000001,0.001481834085103997,0.003998,0.004074,0.00416,1000,0.005703,0.028712,0.007547369,0.0016138893390932971,0.00734375,0.007463,0.00756,1000,0.000797,0.012516,0.001071808,0.0007390507256853213,0.000958,0.000987,0.001016,1000,0.000797,0.012516,0.001071808,0.0007390507256853213,0.000958,0.000987,0.001016,1000,0.006047,0.029393,0.009439366,0.0021050828496864443,0.00924075,0.009369,0.0095285,1000,0.009898,0.036742,0.012600631999999999,0.0028570121698333734,0.01213775,0.012243,0.012355,1000,0.139352,1.680599,0.237989785,0.10548648159543846,0.229043,0.231922,0.23723325,1000,0.011855,0.113983,0.037868346,0.010830059274089131,0.03820475,0.0386235,0.04040825,1000,0.001879,0.019737,0.002969737,0.001055925260532676,0.00281,0.0028815,0.00297925,1000,0.006824,0.056887,0.016863297,0.004990757421553466,0.01662075,0.0167665,0.01696675,1000,0.001597,0.079603,0.015901108,0.006422165524208792,0.01690575,0.0171275,0.017303,1000,0.000919,0.013908,0.001377105,0.0006248762245237052,0.001264,0.001304,0.00134825,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,0.040078,1.539182,0.09773419,0.10027395833783516,0.07455,0.102363,0.10397625,1000,0.040787,0.151962,0.053231755,0.008670022412022648,0.0512835,0.0517675,0.052547,1000,0.002909,0.019989,0.004170219,0.0012379221449828743,0.004043,0.0041115,0.004181,1000,0.005802,0.02567,0.007705965,0.0016884963996926378,0.00746775,0.007567,0.007674,1000,0.000808,0.011221,0.001056606,0.0005596202647903309,0.000965,0.000994,0.001024,1000,0.000808,0.011221,0.001056606,0.0005596202647903309,0.000965,0.000994,0.001024,1000,0.006157,0.03549,0.00966086,0.00245282134702061,0.009308,0.0094595,0.00966125,1000,0.009866,0.032066,0.012614584000000002,0.0025163447949245747,0.012181,0.012308,0.01244625,1000,0.140682,1.803621,0.246002999,0.11147972878751991,0.2193465,0.2501315,0.25474075,1000,0.011833,0.098146,0.028457747999999998,0.007976093985685976,0.0257065,0.0294855,0.0301605,1000,0.001872,0.016117,0.002964719,0.0009747787287579679,0.00282475,0.002905,0.00297825,1000,0.006726,0.085137,0.015777045,0.00485132464229874,0.01515,0.0158755,0.01620675,1000,0.001637,0.033371,0.007524725,0.0032962401650023926,0.00582,0.0088505,0.009106,1000,0.00091,0.019241,0.001401045,0.0008812528133146583,0.00122575,0.0012885,0.001355,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008546,0.142622,0.010442977999999999,0.008839020914078436,0.008896,0.00908,0.009635,1000,1.110322,2.113542,1.1500755870000001,0.05301814971611543,1.12718825,1.1405445,1.161527,1000,0.066998,0.138181,0.06960224000000001,0.007352504477686498,0.067328,0.06747,0.067735,1000,0.037756,0.089264,0.039619513,0.004551418222909317,0.0382815,0.038493,0.03893625,1000,0.000704,0.015081,0.0009055080000000001,0.0005822387688362911,0.000812,0.000852,0.00090625,1000,0.995961,1.911964,1.031338336,0.0474768773681579,1.00899,1.024259,1.04074775,1000,0.002664,0.022101,0.0030974929999999998,0.0012041160010360296,0.002815,0.002871,0.00297825,1000,0.011222,0.027579,0.012041459000000001,0.001805577040815207,0.0115625,0.0116745,0.01184,1000,1.146645,2.208867,1.189746723,0.05919755423297716,1.164867,1.178307,1.2010525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.010478,0.00040665,0.00037809677266541165,0.00032075,0.000344,0.000387,1000,2.503617,5.320805,2.648141352,0.2639059429147061,2.5286955,2.5785605,2.667298,1000,0.051485,0.145559,0.058028408000000004,0.012005188294963807,0.052388,0.0527065,0.056986,1000,0.043021,0.093126,0.04710651799999999,0.00659143972313151,0.0444,0.044671,0.04727275,1000,0.687474,2.283467,0.729891377,0.10871481034297431,0.694655,0.70978,0.735669,1000,1.707796,3.358575,1.8035901189999999,0.17162954930037205,1.71858525,1.7603635,1.8182415,1000,0.001184,0.010102,0.0016322180000000002,0.0007177806771403087,0.001331,0.001391,0.0015165,1000,0.01158,0.044347,0.013421357,0.003526359385194736,0.01190675,0.0120705,0.01247625,1000,2.525349,5.394798,2.675129983,0.2689597693196786,2.5524835,2.602541,2.69452775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,2.4,0.48,0.9600000000000001,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000277,0.003496,0.00034098500000000003,0.0001127567061198579,0.000313,0.000327,0.000345,1000,2.61312,4.954724,2.6996418199999996,0.17930620458399538,2.6431675,2.6757145,2.712127,1000,0.052063,0.105887,0.053855468999999996,0.004218574520977317,0.05275,0.0530685,0.05332925,1000,0.043986,0.086359,0.045760254,0.004215776704651707,0.04462975,0.0448185,0.0451065,1000,0.687883,1.964125,0.713299573,0.08656252796705206,0.6952825,0.6988405,0.71731275,1000,1.814216,2.891997,1.879009874,0.10854617608298381,1.82780575,1.8629585,1.890892,1000,0.001246,0.018953,0.001453289,0.000721008177123533,0.001346,0.001385,0.001444,1000,0.011655,0.041905,0.012376249,0.0018029374678559984,0.01197175,0.0121145,0.01231325,1000,2.635586,5.007568,2.72378282,0.1814475813066617,2.6675315,2.6993245,2.735618,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
