SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.342249,0.45901,0.3634599019607843,0.019077107348712746,0.3487035,0.358556,0.3687325,255,11.817626,14.528069,12.48746354117647,0.3862234732474183,12.301325,12.408222,12.68866,255,0.283933,0.431718,0.30224840000000003,0.02165478145155267,0.2876895,0.295167,0.3060305,255,0.136547,0.265284,0.1498550705882353,0.01852064091114892,0.1382725,0.139334,0.1661775,255,3.605625,4.76126,3.739492031372549,0.12227247145497969,3.665084,3.720355,3.7903915,255,3.605625,4.76126,3.739492031372549,0.12227247145497969,3.665084,3.720355,3.7903915,255,0.025153,0.062651,0.02834653725490196,0.004444659756446252,0.026326,0.026833,0.0284465,255,0.051488,0.099028,0.05535670588235295,0.007168117063705434,0.052465,0.052992,0.055446,255,40.179557,62.142973,48.96940276470588,3.342764673570933,47.853483,48.261094,48.950394,255,27.181788,48.680417,35.927062596078436,3.22095645749093,35.176695,35.355237,35.679703,255,0.020308,0.050937,0.02256270980392157,0.003522335787249588,0.0214455,0.021855,0.0224115,255,21.758542,31.540493,23.11952321568627,2.394260208696754,21.8930825,21.978301,22.169339,255,4.949063,23.881423,12.364098882352941,1.98504713611934,12.7887635,12.963785,13.0797155,255,0.39517,0.55367,0.41896764705882356,0.02555604946228133,0.4022835,0.409186,0.4285335,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.660663,18.44741,9.201142782336182,0.8940713343418702,8.832341,8.978074,9.225878,1755,8.400224,18.054758,8.904274060968662,0.8825706343730811,8.5457795,8.6745,8.917118,1755,0.005105,0.707142,0.17609610303893636,0.17128555821043,0.02926425,0.1178615,0.28396225,10530,0.00625,0.36951,0.0835312596391263,0.08149469699534662,0.01494175,0.067278,0.13982825,10530,0.037698,7.370919,1.1889995392212727,1.2416185772105301,0.091188,0.9002655,1.72739475,10530,0.037698,7.370919,1.1889995392212727,1.2416185772105301,0.091188,0.9002655,1.72739475,10530,0.094675,0.23294,0.11273657663817664,0.01638678364236138,0.101401,0.109241,0.1181985,1755,0.128721,0.262775,0.14364680056980056,0.01386223489005731,0.1347105,0.139395,0.144348,1755,23.639655,50.177454,30.94709807806268,4.081400106878895,28.117949,30.177843,33.0772735,1755,14.388441,39.07743,21.14510082165242,3.7989557296666248,18.490639,20.511319,23.040388,1755,0.074826,0.174072,0.08723515897435898,0.012220291426776775,0.080818,0.083323,0.088745,1755,13.587004,37.240986,20.26947064102564,3.6978669155209705,17.667642,19.66465,22.158312,1755,0.106677,1.099139,0.2762975641025641,0.11434805056779503,0.208127,0.250521,0.306831,1755,0.431148,0.914374,0.509898547008547,0.04318054953603666,0.4824415,0.502551,0.5273185,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.033595,1.890569,0.108090916,0.12827710870149414,0.05330425,0.0924765,0.12439225,1000,0.195373,0.350069,0.218174911,0.022206268019977583,0.2006635,0.2067135,0.2349755,1000,0.001924,0.019277,0.00268300975,0.001049770295186017,0.002128,0.002259,0.00307,4000,0.004207,0.024766,0.00533644725,0.0015232240039526153,0.004487,0.0047065,0.005896,4000,0.014959,0.076554,0.018081348,0.0036649079411215776,0.015819,0.016833,0.01918925,4000,0.014959,0.076554,0.018081348,0.0036649079411215776,0.015819,0.016833,0.01918925,4000,0.020117,0.065889,0.022944279999999997,0.0039471858443199765,0.020689,0.0209265,0.02475225,1000,0.025516,0.06022,0.028273641,0.004002541241776155,0.0261115,0.0265005,0.02959725,1000,0.505882,2.593626,0.613607728,0.1604276004502156,0.53433725,0.570608,0.677125,1000,0.090907,0.190665,0.106707875,0.016869919008026535,0.0939155,0.0983225,0.11797425,1000,0.025577,0.084607,0.029839980999999998,0.005959966624456802,0.02648775,0.027207,0.03217975,1000,0.041315,0.104523,0.048856772,0.009252342722252348,0.04238,0.045128,0.05486525,1000,0.006231,0.036114,0.007757424,0.00222229471317915,0.006505,0.006695,0.008204,1000,0.016518,0.050344,0.019670867999999998,0.003730214744565787,0.017191,0.017874,0.02145275,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034562,1.820396,0.109064182,0.12488522207958344,0.0544385,0.0941875,0.125961,1000,0.195773,0.348396,0.22161619800000001,0.024417120427822687,0.2017795,0.2131765,0.23710525,1000,0.001936,0.023535,0.002724819,0.0012548992892814149,0.002132,0.002273,0.00306425,4000,0.004165,0.082353,0.00547228175,0.002161168315487467,0.004545,0.004779,0.005924,4000,0.015138,0.051242,0.018284363249999998,0.0036850055141477655,0.01589,0.016883,0.019257,4000,0.015138,0.051242,0.018284363249999998,0.0036850055141477655,0.01589,0.016883,0.019257,4000,0.020144,0.065698,0.023186076,0.0040780322831267535,0.02073075,0.0210265,0.02485025,1000,0.025519,0.07185,0.028882366000000003,0.005336277590234976,0.0261915,0.026614,0.02967725,1000,0.504604,2.531948,0.620050498,0.15748592754196167,0.53837875,0.576583,0.67894475,1000,0.090231,0.189293,0.107222467,0.0170895713127893,0.09388825,0.0987575,0.11836075,1000,0.025329,0.079835,0.029714125,0.005710863899391667,0.02612875,0.027105,0.03221525,1000,0.040909,0.102543,0.049140727,0.009273795444394436,0.04231575,0.045933,0.05476575,1000,0.006089,0.029272,0.007868851,0.0026456378835356515,0.0064075,0.0069735,0.00827425,1000,0.016529,0.052811,0.019951688,0.00401562122549625,0.01721175,0.01819,0.02147225,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.040865,1.771997,0.079151837,0.11903225955678749,0.0531215,0.066605,0.078486,1000,0.197416,0.323957,0.20863084099999998,0.01322873813701515,0.201624,0.2051225,0.20972075,1000,0.001938,0.02436,0.0024866707500000003,0.0008830477854252494,0.00209675,0.002183,0.00293525,4000,0.004204,0.022669,0.00504225675,0.0011442071516248435,0.00444675,0.004576,0.005821,4000,0.015149,0.0472,0.017419002,0.002516284199766791,0.015831,0.016604,0.019018,4000,0.015149,0.0472,0.017419002,0.002516284199766791,0.015831,0.016604,0.019018,4000,0.020413,0.055503,0.021626259,0.00282890364203502,0.020762,0.02092,0.02112525,1000,0.025729,0.063843,0.026918618999999998,0.0023779128680082033,0.026201,0.02635,0.026559,1000,0.523786,2.595499,0.5849352689999999,0.14273609670261633,0.540069,0.5681735,0.589733,1000,0.1029,0.279677,0.127281825,0.017155079500788536,0.115592,0.125658,0.1324385,1000,0.025355,0.063175,0.027725006,0.00393280179540795,0.02640475,0.0267235,0.027122,1000,0.046929,0.18884,0.050504738,0.00784419848699381,0.04782275,0.0483285,0.04926125,1000,0.009324,0.061161,0.029352765,0.010076804826718388,0.0208075,0.0307745,0.03552175,1000,0.01706,0.048743,0.019153195,0.0034235728543401847,0.01767375,0.017905,0.01851825,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040575,1.557937,0.082501833,0.10275968641458141,0.073144,0.075873,0.07774775,1000,0.060082,0.135588,0.079294757,0.009410353856574736,0.077384,0.0779005,0.081983,1000,0.002883,0.019794,0.004119024999999999,0.0008695983005819411,0.004078,0.004143,0.004205,1000,0.005668,0.02729,0.007732507,0.0014708966856822408,0.007628,0.007709,0.007817,1000,0.019124,0.060813,0.02565206,0.0038290109355289133,0.0252705,0.0254965,0.02588325,1000,0.019124,0.060813,0.02565206,0.0038290109355289133,0.0252705,0.0254965,0.02588325,1000,0.006136,0.039729,0.009676876000000001,0.002156683269890134,0.00950975,0.009638,0.009887,1000,0.009808,0.040744,0.012262934,0.0023303222553209242,0.012004,0.012129,0.01223025,1000,0.164422,1.816917,0.271811941,0.11209334860040322,0.26421875,0.2667195,0.2729675,1000,0.012974,0.106539,0.039736217,0.010889637841173186,0.040337,0.0408275,0.04210425,1000,0.00201,0.024666,0.003110724,0.0011622126852792478,0.00296375,0.003068,0.00316225,1000,0.00734,0.068649,0.017141851,0.00459157613840814,0.01738375,0.0175295,0.017664,1000,0.001936,0.066946,0.016753408,0.006550089927286189,0.0178345,0.018164,0.01839225,1000,0.001047,0.011625,0.001414508,0.00039797197380720165,0.001348,0.001391,0.001432,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040521,1.589573,0.09830672500000001,0.10404262338949061,0.0747605,0.099567,0.1044865,1000,0.059572,0.245392,0.080692051,0.01256993151796775,0.076858,0.078158,0.082035,1000,0.002883,0.018979,0.004221666,0.0012632360604590098,0.00405975,0.004132,0.004209,1000,0.00573,0.028481,0.007926332,0.00209418976880702,0.00758175,0.0077225,0.0078545,1000,0.018874,0.190664,0.02622313,0.007178654802196578,0.02509375,0.0254225,0.0258485,1000,0.018874,0.190664,0.02622313,0.007178654802196578,0.02509375,0.0254225,0.0258485,1000,0.006068,0.046033,0.009755936,0.0026932056074321547,0.00939675,0.00956,0.009811,1000,0.009766,0.03752,0.012379172,0.002446315150673764,0.011958,0.01206,0.012171,1000,0.163794,1.870686,0.280711926,0.1156859206742053,0.25160075,0.2821455,0.290589,1000,0.012843,0.102476,0.030393939,0.008628789898084145,0.02700775,0.0311465,0.031948,1000,0.002003,0.018493,0.003026866,0.0011108094355216829,0.002883,0.002958,0.003025,1000,0.007174,0.077711,0.01646475,0.005147288384139749,0.015741,0.0164705,0.0168,1000,0.001904,0.037973,0.008062206,0.003433856229600185,0.006369,0.009093,0.00985525,1000,0.001036,0.018431,0.0014186,0.0008017667591014235,0.001273,0.001345,0.001416,1000,0.0,12.0,2.6399999999999997,4.703020306143702,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.00894,0.154353,0.010581065,0.008686125389998408,0.0092205,0.009356,0.009708,1000,1.122,1.342542,1.152887959,0.023312329116871162,1.13421,1.149905,1.16358175,1000,0.067092,0.122632,0.06922782000000001,0.005617777946270216,0.06751475,0.067693,0.0687095,1000,0.03753,0.077848,0.039200923000000006,0.004814247493541539,0.037994,0.038136,0.038316,1000,0.01524,0.043705,0.016290442,0.002560829726209066,0.01559775,0.01573,0.015932,1000,0.993647,1.112768,1.019700703,0.019574339141610657,1.0031955,1.01876,1.027458,1000,0.002764,0.018211,0.003143406,0.0009429152969190817,0.002917,0.0029625,0.00303325,1000,0.010977,0.027005,0.011615232,0.0014813364290990755,0.01124475,0.011326,0.011442,1000,1.159941,1.567842,1.194343598,0.02944870771362295,1.17442725,1.189771,1.20530575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000294,0.010131,0.00039061900000000004,0.0004344529316726957,0.000337,0.000353,0.00037125,1000,2.56515,5.170008,2.6692421889999998,0.2098616302672103,2.593364,2.6236675,2.67959225,1000,0.051212,0.140134,0.055180835,0.007962642814152536,0.052309,0.0526745,0.05334575,1000,0.043086,0.099232,0.046404138,0.005966922237548937,0.04440075,0.044572,0.0449475,1000,0.68844,2.187771,0.723947204,0.10431952405114964,0.6965105,0.710364,0.7290925,1000,1.767098,2.87769,1.835597585,0.12008431924717221,1.7767995,1.8107735,1.84757975,1000,0.00123,0.010785,0.001519907,0.0006087369336182913,0.001358,0.001402,0.001478,1000,0.011928,0.032862,0.012933119,0.0020062611008637436,0.012281,0.012435,0.01263325,1000,2.590255,5.228685,2.696354524,0.2130475695220798,2.61931625,2.6508645,2.705672,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000293,0.009519,0.00042362,0.00031264489057075597,0.000354,0.00038,0.000416,1000,2.616649,5.135039,2.715243702,0.19421521724542906,2.64139425,2.6761045,2.71914975,1000,0.051428,0.103489,0.055879699,0.007400938152991079,0.052467,0.053171,0.0544715,1000,0.04424,0.104631,0.04664658,0.005722164279326486,0.044658,0.044939,0.04559325,1000,0.690859,2.014679,0.7206165280000001,0.09117577032047067,0.69770025,0.7022855,0.72258475,1000,1.815221,2.98251,1.8833401650000001,0.11680424340104162,1.8312865,1.860446,1.89077,1000,0.00123,0.012357,0.001525028,0.0005122506722455326,0.00133975,0.0013925,0.001475,1000,0.011881,0.042705,0.013380336999999999,0.0033030316155663723,0.01220875,0.012399,0.012658,1000,2.642724,5.192945,2.743326624,0.19787465541221955,2.666832,2.701974,2.74498625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,4.8,1.7,2.1109239683134016,0.0,0.0,3.7,5
