SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.333502,0.429446,0.36115788627450984,0.016207741118234024,0.3498905,0.355714,0.365361,255,11.750985,16.136892,12.370347105882352,0.42154904432279217,12.182477,12.338411,12.4499645,255,0.284194,0.3677,0.298260368627451,0.014791183116627417,0.288266,0.292207,0.3026135,255,0.136804,0.199932,0.14731629803921567,0.011332242601264664,0.1391895,0.140802,0.1557465,255,3.535039,6.190831,3.6796355176470588,0.19718676613932534,3.5984145,3.6476,3.6991525,255,3.535039,6.190831,3.6796355176470588,0.19718676613932534,3.5984145,3.6476,3.6991525,255,0.02542,0.05087,0.027465141176470587,0.0031077055497570507,0.0262475,0.026635,0.0270955,255,0.050368,0.093531,0.05332408235294118,0.005411772313541115,0.0514325,0.051934,0.05259,255,40.210515,58.68373,48.6713104627451,3.395576914381699,47.7200995,48.037576,48.272584,255,27.205036,43.285543,35.75844165882353,3.1986712934302357,35.127118,35.234003,35.3609815,255,0.020639,0.034628,0.022637803921568625,0.0018602113565304918,0.02178,0.022238,0.0227635,255,21.798987,28.843369,23.099380211764704,2.459419706213,21.872699,21.911444,21.987467,255,4.870406,15.09167,12.213068643137255,1.8251115129770732,12.7845165,12.886114,12.951342,255,0.402139,0.548007,0.42131935294117645,0.021357166111877636,0.409396,0.413232,0.4247975,255,0.0,7.1,1.42,2.84,0.0,0.0,0.0,5
SofaScene,8.599485,31.10144,9.336207165811965,1.3936902456237252,8.826294,9.037907,9.271162,1755,8.379595,30.661691,9.036306412535614,1.3821883595869582,8.5338665,8.735009,8.9743035,1755,0.004925,1.476469,0.17692429933523268,0.17355750159873942,0.02860275,0.125909,0.28287175,10530,0.006284,0.927172,0.08503391604938272,0.08359005129082998,0.0150905,0.078691,0.14316975,10530,0.037371,16.15951,1.214093961823362,1.2966111626302383,0.09341325,1.023849,1.759886,10530,0.037371,16.15951,1.214093961823362,1.2966111626302383,0.09341325,1.023849,1.759886,10530,0.094573,0.510084,0.11356818062678062,0.02104781783679773,0.1022135,0.110643,0.117252,1755,0.127055,0.554442,0.14289616296296295,0.02045468317996679,0.133309,0.138054,0.142484,1755,23.790638,61.417577,31.376328711680912,4.840529579948664,28.2702595,30.473619,33.2432915,1755,14.464116,47.800883,21.439417304273505,4.313861759559932,18.5379225,20.877551,23.133187,1755,0.073839,0.223749,0.08754126324786324,0.01228860490734718,0.081358,0.084093,0.088527,1755,13.600261,46.651603,20.5567244011396,4.200900440346933,17.7276905,20.001401,22.226335,1755,0.105732,1.389183,0.27850272877492876,0.1181114348795465,0.211877,0.249599,0.3069325,1755,0.441354,2.212249,0.5143600951566951,0.07892112423655587,0.482742,0.503102,0.527819,1755,0.0,9.5,2.1399999999999997,3.709231726382163,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.0345,1.748384,0.105544522,0.12041844843171463,0.05251,0.090048,0.122047,1000,0.190717,0.340423,0.21225465599999999,0.021217280223291203,0.1957945,0.2013115,0.2280305,1000,0.001861,0.029694,0.00258981625,0.0011146471477494293,0.002064,0.002182,0.00291625,4000,0.004143,0.030837,0.005251328249999999,0.0015847561583732489,0.004368,0.0045665,0.005898,4000,0.014342,0.048507,0.01704577325,0.00304486755620576,0.01506975,0.015843,0.01823025,4000,0.014342,0.048507,0.01704577325,0.00304486755620576,0.01506975,0.015843,0.01823025,4000,0.020095,0.062684,0.023053544000000002,0.004020010419148686,0.0206725,0.0210025,0.024906,1000,0.025225,0.058654,0.027851493999999997,0.0037908052371447417,0.02579225,0.0262085,0.029114,1000,0.49362,2.440571,0.600988411,0.15341236663169003,0.52391325,0.5592595,0.66231325,1000,0.089782,0.244768,0.10551255999999999,0.017365702780895453,0.09333225,0.0972365,0.1166645,1000,0.02499,0.078759,0.029237317,0.005174371766940505,0.026159,0.0270105,0.03156675,1000,0.041075,0.19446,0.048514822,0.010463285368865554,0.042115,0.044395,0.05381825,1000,0.006121,0.027732,0.007615723,0.0022209008663762997,0.00638,0.006591,0.00810375,1000,0.016428,0.049288,0.019575155,0.0038170354311919874,0.017124,0.017755,0.02104875,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.033093,1.694792,0.11242139200000001,0.12393295853642944,0.05285825,0.0919835,0.128135,1000,0.189391,0.543233,0.22512199900000002,0.05178231315989079,0.19631625,0.2077955,0.23418825,1000,0.001872,0.041617,0.00278907875,0.001510664171332741,0.002079,0.002219,0.003005,4000,0.004125,0.027141,0.005592346749999999,0.002099482004213048,0.00442775,0.004633,0.006014,4000,0.014262,0.060037,0.01793830925,0.00493380164488951,0.015058,0.0159245,0.0183805,4000,0.014262,0.060037,0.01793830925,0.00493380164488951,0.015058,0.0159245,0.0183805,4000,0.020085,0.06354,0.023955078,0.006563135605175015,0.020512,0.020815,0.025788,1000,0.025162,0.078596,0.029321539,0.00718244825184832,0.02582075,0.0263115,0.0294135,1000,0.492209,2.424929,0.634836781,0.20491777625895474,0.525161,0.5662445,0.67346625,1000,0.089305,0.284851,0.11103226799999999,0.029200346158841612,0.093528,0.0978945,0.1185835,1000,0.025156,0.099572,0.030908783,0.008955448968751428,0.0260405,0.0271445,0.03235725,1000,0.040847,0.144959,0.050917027000000004,0.014494398697230288,0.042109,0.0448065,0.05481325,1000,0.006032,0.031929,0.008060340000000001,0.0030492017861073087,0.0063295,0.0068975,0.008516,1000,0.016399,0.057149,0.020555175,0.005836510601924322,0.01707425,0.0180535,0.02128675,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.033113,1.686164,0.07817346400000001,0.11480965641603805,0.0513735,0.0651815,0.0776855,1000,0.191194,0.447122,0.206893247,0.021547119850921864,0.19564925,0.199595,0.208517,1000,0.00187,0.019083,0.002453632,0.001084437027482924,0.002023,0.002106,0.00283225,4000,0.004149,0.032528,0.0050660665,0.0014848796791584662,0.00440475,0.004528,0.005793,4000,0.014168,0.051198,0.01667985575,0.0034583708404307854,0.014872,0.015468,0.017834,4000,0.014168,0.051198,0.01667985575,0.0034583708404307854,0.014872,0.015468,0.017834,4000,0.020133,0.062216,0.021874374,0.004395974997440728,0.02055475,0.020733,0.02097725,1000,0.025239,0.059231,0.026879223999999997,0.003864297740835196,0.02563075,0.025796,0.02612125,1000,0.510079,2.459658,0.581729564,0.14148017753724337,0.52983125,0.5590175,0.588101,1000,0.101585,0.247605,0.126480404,0.018608628544489355,0.1140725,0.123892,0.1309785,1000,0.025366,0.06794,0.027631307,0.004426499503529962,0.02608,0.0264405,0.02692425,1000,0.046166,0.114533,0.050418024,0.008152870000032135,0.04721175,0.0478055,0.04918775,1000,0.009238,0.067535,0.028790914,0.009967111084291375,0.02032575,0.0297365,0.03443375,1000,0.01671,0.059868,0.019089183000000003,0.004454213755480422,0.0172845,0.01751,0.0184415,1000,0.0,14.6,4.6,5.408142009969783,1.2,1.2,6.0,5
FrictionContact_LCP_with_friction,0.03997,1.533287,0.08060577499999999,0.0989165059117859,0.071732,0.0745485,0.07561325,1000,0.058704,0.155301,0.078236755,0.00972299344548658,0.0763115,0.077151,0.08040375,1000,0.00286,0.021706,0.004099279000000001,0.0008884602833886272,0.004039,0.004121,0.004198,1000,0.005905,0.039112,0.0079127,0.0018847633405815172,0.007682,0.00778,0.00794325,1000,0.01788,0.061412,0.024703559,0.0041721186661597956,0.02421,0.024542,0.02484025,1000,0.01788,0.061412,0.024703559,0.0041721186661597956,0.02421,0.024542,0.02484025,1000,0.006161,0.028678,0.009429130999999999,0.0020615170753207454,0.00929,0.0094205,0.00966625,1000,0.009496,0.039792,0.012072026,0.0022291276471579635,0.011757,0.011926,0.012064,1000,0.161165,1.804372,0.267231724,0.10959396803599104,0.2589495,0.2625605,0.2692265,1000,0.012806,0.098703,0.039027044999999996,0.010531585469195746,0.03980275,0.040253,0.041171,1000,0.002072,0.020769,0.003052027,0.0007452861666977323,0.0029255,0.003008,0.003167,1000,0.007213,0.063783,0.017069491000000003,0.0046862790106777675,0.017279,0.0174585,0.017619,1000,0.001919,0.056405,0.016289013,0.006163040149863621,0.01756025,0.017803,0.017966,1000,0.00102,0.017628,0.0013587059999999999,0.0006326615379205536,0.001283,0.001319,0.00135625,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.03993,1.447387,0.098247613,0.09825806426536823,0.074059,0.09912,0.1030445,1000,0.058794,0.206232,0.081480791,0.016517575949373413,0.076047,0.0773585,0.081128,1000,0.002786,0.02179,0.00437905,0.001821277130889201,0.0040255,0.004103,0.00417925,1000,0.005886,0.037159,0.008228237,0.0024287889177182524,0.007732,0.0078395,0.00796025,1000,0.017989,0.073071,0.025419123,0.005350873288153158,0.024203,0.0244895,0.02490125,1000,0.017989,0.073071,0.025419123,0.005350873288153158,0.024203,0.0244895,0.02490125,1000,0.006228,0.043944,0.00984088,0.0031245558400515108,0.00924475,0.0093995,0.009681,1000,0.009608,0.046459,0.012436665000000001,0.0029731251185873427,0.011731,0.011849,0.01196525,1000,0.160948,1.720705,0.282295778,0.11579126026121624,0.24818675,0.279586,0.28888625,1000,0.012595,0.103679,0.030355670999999997,0.008999793260445432,0.02684625,0.030683,0.0316755,1000,0.002004,0.016948,0.003120678,0.0010812766372746616,0.00291875,0.002997,0.003097,1000,0.007227,0.0671,0.016573835,0.0053443492705637224,0.01567075,0.0163495,0.0166405,1000,0.001856,0.039148,0.008043041,0.003440436011804172,0.006305,0.0093855,0.009605,1000,0.000962,0.016075,0.001368017,0.0007201664631951421,0.001209,0.001276,0.00133825,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008789,0.152114,0.010479824,0.008733207038827375,0.009022,0.009146,0.00953825,1000,1.128415,1.945757,1.203077385,0.0899973405847238,1.1493395,1.170672,1.23411325,1000,0.066666,0.136411,0.069960531,0.007774786820166776,0.06729675,0.0674965,0.0677745,1000,0.037598,0.084657,0.04003809,0.0058879224194872,0.038023,0.038271,0.03873225,1000,0.014355,0.040866,0.015644399,0.002738895533568048,0.014772,0.014927,0.0151555,1000,1.000407,1.743926,1.0691993340000001,0.08289957982654945,1.017991,1.0392325,1.08824225,1000,0.002693,0.020131,0.003112662,0.0011539919894678645,0.00283875,0.002897,0.002974,1000,0.010821,0.039894,0.011600841,0.002017136389964496,0.01106175,0.0111595,0.01132825,1000,1.165695,2.007654,1.244196862,0.09308286630344466,1.187883,1.2122815,1.280268,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,6.0,1.6800000000000002,2.225668438918969,0.0,1.2,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000289,0.009708,0.00035734,0.0002994360806582934,0.000331,0.000341,0.000352,1000,2.568057,5.045599,2.656771205,0.1860222477802399,2.60187975,2.635138,2.6676615,1000,0.051446,0.11033,0.054158919,0.005656462075400047,0.05213075,0.0523955,0.05328625,1000,0.043962,0.083065,0.0457988,0.003568130434555329,0.044608,0.044776,0.04518725,1000,0.688047,2.052242,0.716742004,0.09527945911343108,0.69591325,0.7054075,0.72287225,1000,1.770859,2.85786,1.832504743,0.10615427312285149,1.79215675,1.817949,1.84385875,1000,0.001174,0.004086,0.001351035,0.0001766656723163841,0.001289,0.0013265,0.00137,1000,0.011683,0.042985,0.012316658,0.0016557322099409676,0.01195975,0.012104,0.01225425,1000,2.591902,5.102086,2.6822573700000003,0.18851600482906777,2.6263415,2.661002,2.69274175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00029,0.001119,0.00035362,8.073544203136562e-05,0.000321,0.000334,0.00035,1000,2.61003,5.130266,2.6937500410000004,0.185306988675601,2.63907275,2.663953,2.694082,1000,0.051377,0.113448,0.054504966,0.006363997619173345,0.0522985,0.052669,0.0531375,1000,0.043228,0.101433,0.046168085,0.005118808788944455,0.04474575,0.0449235,0.04517525,1000,0.688047,1.993326,0.714658459,0.08819514142738431,0.694491,0.697971,0.718971,1000,1.812025,2.95215,1.870101102,0.10989905118739467,1.827009,1.8522015,1.87265725,1000,0.001191,0.006292,0.001501708,0.00032120452788838454,0.001349,0.0014315,0.001545,1000,0.011908,0.037687,0.012903168999999999,0.002268070429779243,0.012244,0.01239,0.01260625,1000,2.634371,5.20402,2.720569282,0.18856766251870036,2.6653625,2.689946,2.7204605,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,8.5,1.7,3.4,0.0,0.0,0.0,5
