SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.326169,0.504113,0.34251802745098037,0.016749013620217367,0.3333985,0.33906,0.346667,255,11.840763,13.34858,12.255967039215685,0.22502183904898362,12.108874,12.308182,12.380266,255,0.282454,0.364984,0.2966525568627451,0.01236507271926247,0.2873595,0.293261,0.3032795,255,0.136443,0.238706,0.14563870196078432,0.014902533782633917,0.137509,0.138105,0.144427,255,3.575563,4.224047,3.6528267019607843,0.05919223482595977,3.6153225,3.646634,3.6721865,255,3.575563,4.224047,3.6528267019607843,0.05919223482595977,3.6153225,3.646634,3.6721865,255,0.025009,0.032066,0.026696976470588232,0.001206279946467771,0.0259405,0.026254,0.0269935,255,0.051294,0.102505,0.05406973333333333,0.003661686694742945,0.052857,0.053388,0.054053,255,40.085359,54.152847,47.39582235294118,1.8988924951660209,47.6203705,47.963425,48.0881425,255,27.232859,41.173272,34.61283394901961,1.9499894860498437,35.1311075,35.197145,35.2796405,255,0.020962,0.031045,0.022265117647058824,0.00110933914697982,0.0217365,0.02204,0.0224495,255,21.811847,27.899115,22.058473847058824,0.7858018785336367,21.9058115,21.941996,21.9743315,255,4.908043,14.060008,12.116542572549019,1.7899295157288073,12.7733605,12.836994,12.8846525,255,0.389129,0.493235,0.4136233019607843,0.014024794503929357,0.4055765,0.410303,0.4178525,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,12.55879,19.418025,12.971539986894587,0.37450909379356734,12.7358815,12.9079,13.0557925,1755,12.201892,19.096766,12.63280378176638,0.3682388244711366,12.401558,12.573892,12.706633,1755,0.009294,1.374676,0.26264619145299145,0.23253584503667515,0.054605,0.31211,0.41889,10530,0.00983,0.412482,0.10565553703703703,0.08333987957750807,0.0266775,0.11249,0.181034,10530,0.069325,6.886775,1.716071026305793,1.7312610297885547,0.1706225,1.352867,2.471985,10530,0.069325,6.886775,1.716071026305793,1.7312610297885547,0.1706225,1.352867,2.471985,10530,0.094228,0.203746,0.11378567293447293,0.01472893768764124,0.101247,0.113397,0.117798,1755,0.129778,0.246945,0.14647535213675214,0.01472333445522984,0.1358445,0.142979,0.1461065,1755,23.502373,37.80933,28.640714260398862,2.414251593626189,26.8670815,28.540253,30.36335,1755,10.249378,24.337902,15.062613476923076,2.349431796320391,13.378671,14.95714,16.7853425,1755,0.074579,0.711663,0.08771740113960114,0.019123087780917963,0.080808,0.083782,0.0884125,1755,9.454997,23.278653,14.182107132763534,2.2583778190575243,12.574923,14.054806,15.8831425,1755,0.104155,0.658141,0.2732414866096866,0.10768798864916557,0.209981,0.249843,0.30435,1755,0.443909,0.817866,0.5171875834757834,0.03305920268679111,0.4939275,0.515125,0.537642,1755,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.032137,1.765975,0.090725575,0.12175626768006802,0.0379315,0.077786,0.10591425,1000,0.191782,0.388517,0.21188405600000002,0.021256977673057478,0.19646125,0.201191,0.2265275,1000,0.001967,0.02046,0.0026872352500000004,0.0010033509801696701,0.002149,0.002262,0.003111,4000,0.004061,0.021684,0.00512222225,0.0011917896109863257,0.004351,0.0045295,0.005736,4000,0.014618,0.094118,0.01746996525,0.0028952306641341096,0.015576,0.0163625,0.01866175,4000,0.014618,0.094118,0.01746996525,0.0028952306641341096,0.015576,0.0163625,0.01866175,4000,0.020523,0.053288,0.023182198,0.003535752564136241,0.02097,0.0213445,0.024928,1000,0.025549,0.059862,0.028123286,0.0033906172609429095,0.02631275,0.026696,0.02944675,1000,0.483158,2.475749,0.5862041069999999,0.15603238542674258,0.4987535,0.545885,0.6526745,1000,0.090658,0.229702,0.105198935,0.016683870523975394,0.09340975,0.09693,0.1157185,1000,0.025092,0.068248,0.029140473,0.004920019048669526,0.026079,0.0267175,0.0314415,1000,0.041241,0.115018,0.04820864,0.00896720094714064,0.042244,0.0447895,0.052909,1000,0.00624,0.019904,0.007575918,0.0017692864390131972,0.006505,0.0066935,0.0081015,1000,0.016725,0.070282,0.019744669000000003,0.0036715969015455657,0.017327,0.0180255,0.021309,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.025068,1.633498,0.09167544500000001,0.11588500778999403,0.03972975,0.078643,0.10899525,1000,0.190036,0.346245,0.212095586,0.021734561133471362,0.19596875,0.2012705,0.2280165,1000,0.001926,0.017873,0.00269287025,0.0009621135740726962,0.002141,0.002267,0.003112,4000,0.004122,0.031374,0.005161327,0.0013347796805357054,0.004359,0.004547,0.005764,4000,0.014661,0.048434,0.017393561249999998,0.0027919889030489425,0.01547875,0.0162675,0.01857,4000,0.014661,0.048434,0.017393561249999998,0.0027919889030489425,0.01547875,0.0162675,0.01857,4000,0.02054,0.053808,0.023153076,0.003086327254881439,0.02097175,0.02126,0.0251085,1000,0.025712,0.057559,0.027923324,0.0025762008879402242,0.02628275,0.0266425,0.0294715,1000,0.483765,2.350774,0.588079427,0.15027641955677104,0.4988635,0.5463485,0.6540135,1000,0.090469,0.205048,0.105551889,0.016853248061150676,0.09340525,0.09725,0.1166115,1000,0.024968,0.075607,0.029315302,0.005012473062550661,0.02607975,0.026861,0.032053,1000,0.041182,0.114522,0.048302805,0.009097155394461228,0.0420865,0.0449325,0.053275,1000,0.006071,0.036764,0.007605996,0.0021733375145117245,0.00637875,0.006862,0.007995,1000,0.016618,0.043745,0.019785837,0.003352147466987543,0.01737725,0.018078,0.0212835,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.031027,1.687994,0.06336665600000001,0.11660381989761598,0.03742775,0.051442,0.06389525,1000,0.19213,0.321062,0.204895157,0.01377514088902001,0.198556,0.2018715,0.2056245,1000,0.001992,0.014521,0.0025581545,0.0007464099795887982,0.002184,0.002266,0.00301625,4000,0.004088,0.01812,0.0049499882500000005,0.001096441379697035,0.004364,0.0045345,0.005688,4000,0.014851,0.049651,0.0169028835,0.0022694195165124825,0.01544775,0.016168,0.018394,4000,0.014851,0.049651,0.0169028835,0.0022694195165124825,0.01544775,0.016168,0.018394,4000,0.020548,0.040961,0.021573752,0.001952984500321495,0.020992,0.021124,0.021297,1000,0.025773,0.06484,0.027184426,0.002417303032828942,0.02632875,0.0264995,0.02675625,1000,0.504062,2.420106,0.5634555529999999,0.13979537090406532,0.52045525,0.548956,0.56583575,1000,0.103,0.235316,0.125830216,0.01635589292632304,0.114622,0.1247455,0.131047,1000,0.025224,0.05405,0.027305031,0.0029827700313700013,0.02615825,0.0265435,0.02721475,1000,0.04654,0.114217,0.049879993000000004,0.006747727217734205,0.04754575,0.047976,0.04899575,1000,0.009391,0.092093,0.029481653,0.010196365566052986,0.020898,0.030968,0.03558025,1000,0.016785,0.041207,0.018604765,0.0027229809936492396,0.0174405,0.017663,0.0181655,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.024238,1.492293,0.075466144,0.09739669648770057,0.06868825,0.069273,0.07058325,1000,0.059397,0.132964,0.077205114,0.007874521639630181,0.07633575,0.0770415,0.07816125,1000,0.003048,0.014076,0.004295994,0.000762933605213455,0.004254,0.004321,0.00437725,1000,0.005809,0.024758,0.007704835,0.001259866790488185,0.007591,0.0076855,0.007774,1000,0.018435,0.054699,0.024624798,0.0027738926578359155,0.024499,0.024731,0.0249735,1000,0.018435,0.054699,0.024624798,0.0027738926578359155,0.024499,0.024731,0.0249735,1000,0.006463,0.025496,0.009636679,0.001586950905969999,0.009502,0.0097095,0.009886,1000,0.010048,0.033103,0.012311834999999998,0.0014338731567942122,0.012186,0.01228,0.012376,1000,0.158385,1.75691,0.260385839,0.1067297890870917,0.255256,0.2584125,0.26193425,1000,0.012756,0.086598,0.038907528,0.009845148006973588,0.03982775,0.0403175,0.0414495,1000,0.002077,0.018164,0.0030698609999999997,0.0008307301774216463,0.002951,0.003025,0.003104,1000,0.007248,0.043267,0.017204722000000002,0.0040598473580562115,0.01720475,0.017421,0.01773575,1000,0.001866,0.056449,0.0164064,0.00604982445580035,0.01773575,0.0179455,0.018065,1000,0.000958,0.011721,0.001501725,0.0006921170214457957,0.00135475,0.0014015,0.00146,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031447,1.478787,0.089207437,0.09798799749351976,0.068354,0.095802,0.0978125,1000,0.059328,0.137466,0.07670646,0.007979737320889704,0.07585325,0.076462,0.07740625,1000,0.003046,0.014571,0.004251873,0.000782116981576925,0.00417475,0.004272,0.00436,1000,0.00579,0.023003,0.007595941,0.0013046433372837958,0.007503,0.007592,0.007679,1000,0.018556,0.053996,0.024597440999999998,0.0027218033203225763,0.02454475,0.024716,0.024935,1000,0.018556,0.053996,0.024597440999999998,0.0027218033203225763,0.02454475,0.024716,0.024935,1000,0.006383,0.024612,0.009514201,0.0014481900333171058,0.00943,0.009636,0.00979,1000,0.009987,0.038762,0.012181733,0.001643038558802258,0.012027,0.012141,0.01226025,1000,0.157206,1.743095,0.26309269199999996,0.10806339866815746,0.241997,0.2717055,0.277962,1000,0.01244,0.069807,0.028666541,0.006264092164896602,0.02643575,0.030599,0.03115125,1000,0.001932,0.02124,0.002957053,0.0007723894006205678,0.00287,0.002937,0.003016,1000,0.007096,0.049206,0.01581168,0.003628642151218552,0.0154405,0.016228,0.016477,1000,0.001838,0.019119,0.007765844,0.0027280215724337664,0.006222,0.0093655,0.009773,1000,0.000951,0.010584,0.001414277,0.0006263848787055767,0.00126375,0.001331,0.001393,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005355,0.127203,0.006351491,0.008357614664957878,0.00557275,0.00565,0.005754,1000,1.122967,1.293294,1.137805722,0.020457014947756084,1.12805275,1.130251,1.134836,1000,0.067216,0.107014,0.068619648,0.0035376031046594246,0.067607,0.067762,0.06832875,1000,0.037537,0.080208,0.038495015,0.0022555670410730425,0.037954,0.038099,0.03833625,1000,0.015104,0.035792,0.015896153,0.0016487140818198286,0.015536,0.0156675,0.01582425,1000,0.993842,1.149487,1.00703851,0.018107103581409698,0.99854325,1.0005625,1.0031565,1000,0.002757,0.01326,0.0030200390000000004,0.00048079896992298145,0.002918,0.002974,0.003035,1000,0.010949,0.030286,0.011471279000000001,0.0011738620145310948,0.011234,0.0113195,0.01141825,1000,1.158526,1.482457,1.1751421270000002,0.026337774379413138,1.163868,1.166649,1.17260475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000273,0.001022,0.000361788,7.756590137425079e-05,0.000326,0.000343,0.00037,1000,2.503624,4.942708,2.5721062910000003,0.20499877632694374,2.51690025,2.5292945,2.55035675,1000,0.051991,0.102594,0.054304423000000004,0.00569008798315729,0.052463,0.052707,0.05317325,1000,0.044338,0.093651,0.046384851000000005,0.0046022673584657165,0.045059,0.045251,0.04552225,1000,0.689616,2.059187,0.714514941,0.09830312831999558,0.69621125,0.6990565,0.7080865,1000,1.704461,2.744114,1.74879041,0.1195232316618234,1.71239325,1.7187255,1.73759375,1000,0.001344,0.019133,0.001609285,0.000877322916476596,0.001449,0.001493,0.00154725,1000,0.01185,0.035294,0.012789769,0.0019815636516748586,0.01216175,0.0124035,0.01261,1000,2.526835,4.999788,2.598339995,0.2083219941225577,2.54211475,2.555164,2.57627075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLLT,0.000279,0.000866,0.00038016899999999997,6.744968820535792e-05,0.00033175,0.000368,0.000412,1000,2.615599,4.860589,2.689734165,0.17399755944807324,2.6282915,2.6585345,2.70248225,1000,0.05171,0.088443,0.053397155,0.0037351846887369576,0.05242475,0.0526535,0.05291125,1000,0.043332,0.122729,0.045496868,0.0037563359238193808,0.04485475,0.0450565,0.0452895,1000,0.688981,1.952199,0.711999593,0.08639893728738422,0.6947115,0.6982825,0.70724,1000,1.817689,2.800262,1.871270715,0.10470182010924058,1.82612225,1.8451445,1.88589975,1000,0.001285,0.003728,0.001497743,0.00014581167631914804,0.00142,0.001481,0.001542,1000,0.011788,0.026133,0.012437522999999999,0.0009022999575922633,0.0121395,0.012273,0.012485,1000,2.63923,4.914511,2.7153642799999997,0.17600837542630632,2.65409175,2.68405,2.72775175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
