SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.342644,0.496105,0.3606847450980392,0.017781948766406437,0.349897,0.354954,0.367195,255,11.825889,13.448031,12.328383443137255,0.2896352314582841,12.211682,12.308227,12.527478,255,0.284081,0.376318,0.29997910980392156,0.01870548229136712,0.2871385,0.292418,0.305323,255,0.136307,0.23084,0.14848593725490195,0.016946755584106226,0.1380845,0.139092,0.1515685,255,3.536244,3.850066,3.64421551372549,0.06505568441114698,3.589778,3.634793,3.696809,255,3.536244,3.850066,3.64421551372549,0.06505568441114698,3.589778,3.634793,3.696809,255,0.022443,0.037342,0.024459682352941176,0.0016307205688315058,0.023503,0.02393,0.024754,255,0.053888,0.108683,0.057471862745098044,0.005663823348094112,0.0552055,0.05574,0.05809,255,39.975899,54.511506,47.53058509411765,2.092277287744721,47.5588825,47.874374,48.23161,255,27.134086,41.611568,34.662636482352944,2.1528407000914913,35.0003345,35.10664,35.325773,255,0.019876,0.03858,0.022225850980392155,0.002504913336794704,0.0213585,0.021766,0.0221565,255,21.754411,28.134513,22.113517666666667,1.0728299218157205,21.8477345,21.887464,21.952319,255,4.868547,13.224982,12.10953837254902,1.7864437802043385,12.7300405,12.78659,12.933246,255,0.397779,0.543772,0.41488107058823526,0.02132843972403242,0.403707,0.408065,0.41547,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.975956,29.161519,9.347137447863247,0.5334281102382152,9.1322435,9.295691,9.4962815,1755,8.687196,28.662588,9.039296007977208,0.5274661812665281,8.8273355,8.985347,9.1790085,1755,0.00488,0.570385,0.17540306923076923,0.17040493957853495,0.02999225,0.120605,0.2789935,10530,0.005929,0.323358,0.07932971500474835,0.07662096128336715,0.01437925,0.0630595,0.11172625,10530,0.035596,8.525064,1.1627954026590692,1.1959123767447235,0.08787475,0.8787905,1.7438495,10530,0.035596,8.525064,1.1627954026590692,1.1959123767447235,0.08787475,0.8787905,1.7438495,10530,0.097251,0.17438,0.10988879943019943,0.010765825482034776,0.1029605,0.105954,0.116035,1755,0.133915,0.24407,0.1450482945868946,0.010928121782896757,0.1384335,0.141147,0.14873,1755,24.107022,64.622807,30.854102226780626,3.7703660805600983,28.4404395,30.301638,32.5813055,1755,14.470898,34.885467,20.99551334188034,3.66562109008637,18.6177195,20.476899,22.786744,1755,0.071838,0.165854,0.08259740911680911,0.00825418958167834,0.0783715,0.081432,0.083932,1755,13.684763,33.906261,20.16572672022792,3.5724896292664736,17.840998,19.6661,21.957881,1755,0.100236,0.649189,0.25334252877492874,0.10415775609269944,0.1938905,0.227095,0.28006,1755,0.434088,0.643678,0.4916425447293447,0.02877898697388202,0.4723435,0.485089,0.504628,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.047593,1.803082,0.108228715,0.12661470554915719,0.0546615,0.0923095,0.1246355,1000,0.124329,0.355926,0.146506576,0.02116004894432487,0.13078625,0.141576,0.158013,1000,0.001868,0.022937,0.0026675517500000002,0.0014051004459902279,0.002047,0.002198,0.003021,4000,0.004064,0.046868,0.00534534075,0.0019234885176780854,0.004408,0.004804,0.00575425,4000,0.000364,0.01782,0.00078101525,0.0008407066822129092,0.00048,0.000543,0.00094,4000,0.000364,0.01782,0.00078101525,0.0008407066822129092,0.00048,0.000543,0.00094,4000,0.019961,0.09444,0.02371691,0.005484452765946663,0.02050675,0.0224935,0.02577675,1000,0.027647,0.070105,0.031078689,0.005082658190580889,0.02860825,0.0291685,0.0321885,1000,0.419866,2.505099,0.53290657,0.15778172312972472,0.4583685,0.494325,0.58193875,1000,0.085006,0.221437,0.102005311,0.01730843022172372,0.088815,0.095027,0.111498,1000,0.024893,0.081008,0.0297663,0.00613738276743434,0.0261105,0.027683,0.0319125,1000,0.037676,0.124254,0.04547988,0.00989459406775235,0.03869075,0.04198,0.050006,1000,0.005302,0.023818,0.006617868999999999,0.0019176789115592317,0.00550875,0.0059115,0.0070325,1000,0.016031,0.056792,0.019600437000000002,0.004519863738657506,0.0169455,0.017913,0.020698,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.033817,1.793779,0.10847905499999999,0.12157876642489007,0.054112,0.0945365,0.1256515,1000,0.125645,0.288586,0.145298769,0.0191432942137355,0.13059425,0.139471,0.1562385,1000,0.001841,0.035898,0.0025984465,0.001178410519784065,0.002051,0.002205,0.003078,4000,0.004047,0.026901,0.0053639115000000005,0.0017744992099653777,0.00438375,0.0047625,0.00583925,4000,0.000326,0.018645,0.0007502100000000001,0.0008219897742064678,0.00045,0.000527,0.00089925,4000,0.000326,0.018645,0.0007502100000000001,0.0008219897742064678,0.00045,0.000527,0.00089925,4000,0.019988,0.077718,0.02313448,0.004631717181953147,0.02057175,0.0209195,0.0246885,1000,0.028029,0.070108,0.030938139,0.004369140758968404,0.02878175,0.0292445,0.03217375,1000,0.420346,2.469222,0.5289868000000001,0.15319659634907037,0.45602425,0.4896955,0.58096975,1000,0.085304,0.18436,0.10059385400000001,0.0159037049398775,0.08849975,0.0926425,0.1118315,1000,0.024949,0.065455,0.029458946,0.0055255047982138246,0.0259405,0.026853,0.03218175,1000,0.037533,0.099172,0.04451241,0.00829227520321775,0.03865975,0.0412055,0.04949175,1000,0.0053,0.045908,0.006733042000000001,0.0022962805726295726,0.00559375,0.005993,0.0070735,1000,0.01625,0.067848,0.019348075,0.003750520858144239,0.016963,0.0175245,0.02082825,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.039529,1.744634,0.081557121,0.11976022207211524,0.05381325,0.0682405,0.08255875,1000,0.124927,0.239132,0.137493655,0.014362969061373592,0.12962,0.1321335,0.136682,1000,0.001878,0.021894,0.002481235,0.0011739451344824426,0.00203,0.002123,0.002931,4000,0.004032,0.028519,0.00497400475,0.0017440167861082752,0.004277,0.0044205,0.005642,4000,0.000364,0.020643,0.0007521365,0.0008307305645440944,0.000451,0.000512,0.00097,4000,0.000364,0.020643,0.0007521365,0.0008307305645440944,0.000451,0.000512,0.00097,4000,0.020078,0.05589,0.021650461,0.0040252083154141225,0.02053475,0.020742,0.02098,1000,0.028037,0.075527,0.029755977,0.0036001765962895486,0.02878075,0.028994,0.02923875,1000,0.438714,2.402263,0.504881118,0.14052160657118917,0.463971,0.488113,0.5090775,1000,0.097475,0.22386,0.121133842,0.01627830954592755,0.1093935,0.1194705,0.12611075,1000,0.025007,0.070102,0.027415664,0.004482277139256786,0.025983,0.0263065,0.0267675,1000,0.043097,0.118485,0.046665092,0.007607540358587393,0.04393825,0.0443545,0.04525675,1000,0.008829,0.075151,0.028053644,0.009829253123267507,0.0197545,0.0293975,0.03352225,1000,0.016587,0.056722,0.018494589,0.0037768792448368005,0.0170905,0.0172905,0.0178135,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040439,1.614993,0.083956508,0.10187888008349885,0.07495125,0.075479,0.077755,1000,0.040097,0.105141,0.053047047,0.008278727085294636,0.050981,0.051348,0.05204225,1000,0.002877,0.019718,0.00418978,0.0015082791451187013,0.00401075,0.004066,0.004125,1000,0.005699,0.032206,0.007683311,0.00204212559121103,0.007354,0.007456,0.007553,1000,0.000711,0.011217,0.001002496,0.0005862897730508354,0.00090175,0.000938,0.000972,1000,0.000711,0.011217,0.001002496,0.0005862897730508354,0.00090175,0.000938,0.000972,1000,0.005953,0.042147,0.009433843999999999,0.002438761557361441,0.00917275,0.00931,0.00944875,1000,0.011271,0.039604,0.014331541,0.002647527745712781,0.013901,0.0140325,0.014184,1000,0.141506,1.846592,0.242842581,0.11123498474994925,0.2314135,0.23399,0.2496175,1000,0.011959,0.09918,0.037683116,0.011201924220799925,0.03747975,0.037847,0.0406005,1000,0.001953,0.023866,0.003029907,0.0013399096776839103,0.002836,0.002904,0.00297125,1000,0.006892,0.053808,0.016330669,0.005204823668236898,0.01578075,0.015931,0.0161275,1000,0.001563,0.069603,0.016161043,0.0066445921500985295,0.01694275,0.0171995,0.017348,1000,0.000903,0.012643,0.0014314280000000002,0.0007282326254817207,0.001288,0.001345,0.00139,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.033543,1.520631,0.09873599599999999,0.09748473521569406,0.075397,0.103701,0.10485675,1000,0.040236,0.110663,0.054408279000000004,0.00899930702671928,0.05140075,0.0520505,0.05499975,1000,0.002829,0.021241,0.004265361,0.001599065050171193,0.00401175,0.004104,0.00421825,1000,0.005696,0.023024,0.007783351,0.001787940210353523,0.007477,0.007576,0.00773425,1000,0.000777,0.012466,0.001051026,0.0007801063525725195,0.000923,0.000952,0.000992,1000,0.000777,0.012466,0.001051026,0.0007801063525725195,0.000923,0.000952,0.000992,1000,0.006071,0.039833,0.009626629000000001,0.002668220912772966,0.00925,0.0093825,0.0096045,1000,0.01124,0.052593,0.014420496,0.0032554011040091513,0.01385175,0.013994,0.01414825,1000,0.141802,1.75375,0.249923843,0.10686253639217232,0.22245975,0.2527425,0.2596235,1000,0.01196,0.104284,0.027792726,0.007526404303977033,0.0248125,0.0286515,0.02954125,1000,0.002012,0.040067,0.0031685349999999997,0.0018960186973695696,0.002888,0.002977,0.00305425,1000,0.00689,0.08075,0.014947139,0.004341574939083627,0.014176,0.0148845,0.01527975,1000,0.001599,0.042117,0.007554911,0.0032355387268705347,0.005866,0.0089655,0.00919725,1000,0.00095,0.012086,0.001375335,0.0007381951915144125,0.001215,0.001277,0.001346,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008286,0.142853,0.009945957,0.008820952643856048,0.008543,0.0087055,0.00932075,1000,1.095501,1.304649,1.1291240560000002,0.03043713771399775,1.106754,1.118695,1.13981225,1000,0.067135,0.113691,0.069396364,0.006461626206575555,0.06739275,0.0675035,0.06764925,1000,0.037049,0.089544,0.038708944,0.004341787385958,0.037609,0.0377775,0.03794725,1000,0.000694,0.015471,0.0009559600000000001,0.0008809336560717838,0.000781,0.000817,0.000866,1000,0.982897,1.165081,1.012438238,0.02708527880556809,0.99235475,1.0004855,1.02380925,1000,0.002646,0.012195,0.0029261260000000002,0.00047606766338830446,0.002801,0.002854,0.0029605,1000,0.008368,0.029826,0.009021049000000001,0.0013358564214012672,0.008666,0.008757,0.008998,1000,1.127586,1.505083,1.164911955,0.03595287337400135,1.14120475,1.1544855,1.1752155,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000277,0.002949,0.00033475299999999997,9.904021400925989e-05,0.00031,0.000321,0.000338,1000,2.506058,5.178317,2.601022061,0.20560593870961336,2.5456715,2.574787,2.60958725,1000,0.050818,0.109623,0.054967394999999995,0.006208890414637304,0.05230825,0.0530255,0.056402,1000,0.042757,0.084299,0.046614255,0.005880466756982391,0.0444675,0.044818,0.0471535,1000,0.688478,2.193908,0.71784014,0.10297557095156305,0.69455625,0.700906,0.7248375,1000,1.709549,2.904446,1.7742582180000002,0.11792526663328973,1.736486,1.756872,1.779072,1000,0.001153,0.011583,0.001354019,0.0006780895683012679,0.001229,0.0012645,0.001344,1000,0.005975,0.026664,0.0066327650000000005,0.0013975123640866296,0.006252,0.0064105,0.0065885,1000,2.52282,5.230669,2.619042239,0.20824970376982022,2.56308725,2.5929095,2.6268605,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
FEMBAR_EigenSimplicialLLT,0.000275,0.000892,0.000355288,6.50690483717105e-05,0.000317,0.000335,0.00038625,1000,2.61551,5.19677,2.708297475,0.19215008984416163,2.66395425,2.682666,2.7071775,1000,0.052018,0.106819,0.054361747,0.0059521666232550145,0.05239975,0.052605,0.053353,1000,0.043967,0.089345,0.04619919,0.0057128748839704166,0.04435475,0.0445345,0.04545475,1000,0.689127,2.110915,0.71604538,0.09415813264965273,0.69450625,0.7013515,0.72095425,1000,1.814274,2.978244,1.883927101,0.1138986756437001,1.8483355,1.863579,1.88768675,1000,0.001127,0.009895,0.001328587,0.000317951412060082,0.001241,0.001287,0.001354,1000,0.005962,0.025027,0.006844702,0.0013444948104012896,0.00642875,0.006653,0.00688625,1000,2.632157,5.248053,2.726836768,0.19457907007959047,2.6812355,2.7006995,2.72564125,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
