SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.329259,0.47613,0.34322502352941175,0.017180452336241846,0.3336895,0.338444,0.345463,255,12.168944,15.63204,12.70908148627451,0.4811113138745715,12.4884105,12.678154,12.7948595,255,0.288378,0.389099,0.30513505882352937,0.01767559561279699,0.2928745,0.299056,0.310074,255,0.136037,0.213292,0.14791590588235293,0.015049649606205895,0.137576,0.140633,0.1535515,255,3.906291,4.852988,4.015734866666667,0.12486308650768392,3.95287,4.001092,4.0306325,255,3.906291,4.852988,4.015734866666667,0.12486308650768392,3.95287,4.001092,4.0306325,255,0.022891,0.047466,0.02493941176470588,0.002566399407856444,0.0236535,0.023993,0.0258565,255,0.054413,0.084987,0.05730385098039215,0.0036795248735998804,0.0556265,0.056162,0.0580265,255,40.330343,61.787381,47.97995200784314,2.8220636302808417,47.8897715,48.257622,48.4694985,255,27.220996,45.66497,34.740054799999996,2.5229754145179233,35.0113355,35.131532,35.235562,255,0.020438,0.054132,0.022366599999999997,0.002749645653605598,0.02149,0.021804,0.022237,255,21.784902,30.157057,22.19640225098039,1.4141397437312655,21.883738,21.919688,21.9697565,255,4.919008,14.924862,12.107158882352941,1.819211869584392,12.6978995,12.776808,12.854336,255,0.389051,0.713871,0.411682831372549,0.03716765242908424,0.3988845,0.402832,0.408414,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,11.809702,39.858247,13.27840482905983,0.9652845288359462,12.9344545,13.144348,13.330876,1755,11.496834,39.420468,12.942420096866098,0.9568200173730954,12.6065495,12.812253,12.980561,1755,0.008686,1.23766,0.2536757700854701,0.22625747310004818,0.051351,0.300615,0.40814525,10530,0.008194,1.144735,0.10189496020892687,0.08463314121229036,0.021941,0.111086,0.17304425,10530,0.092431,22.521517,1.891512125546059,1.9472930214728152,0.16716475,1.2376145,2.760242,10530,0.092431,22.521517,1.891512125546059,1.9472930214728152,0.16716475,1.2376145,2.760242,10530,0.091809,0.330932,0.1142281943019943,0.016392017095724378,0.10021,0.114991,0.119845,1755,0.135896,0.373076,0.1523111094017094,0.015064532068041706,0.1429685,0.148145,0.15354,1755,23.811249,64.562161,29.175578758404555,2.970426099151398,27.3048145,28.93463,30.7600295,1755,10.37948,43.336845,15.276490519088318,2.7100490137626427,13.546253,15.053057,16.9731875,1755,0.074343,0.341993,0.08825017663817664,0.014716398801198663,0.08146,0.084447,0.089161,1755,9.520272,41.967766,14.42180283076923,2.6209772580294977,12.767036,14.226639,16.09505,1755,0.104502,0.916241,0.27501020000000004,0.1103775288683277,0.210175,0.248727,0.3051985,1755,0.409674,1.751705,0.48930503532763536,0.04645595354046388,0.468054,0.486274,0.5068765,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.034517,1.986194,0.09754624099999999,0.12697238123468002,0.043255,0.082439,0.11293675,1000,0.274926,0.414053,0.305108448,0.025898214122855964,0.28608075,0.2922365,0.32326425,1000,0.001269,0.021945,0.00199530625,0.0008989894982484154,0.00156,0.001746,0.002366,4000,0.003032,0.039034,0.00392123225,0.0011833021094842758,0.003331,0.003528,0.0044,4000,0.020736,0.057119,0.024331270250000002,0.003248197476557566,0.021958,0.023616,0.025701,4000,0.020736,0.057119,0.024331270250000002,0.003248197476557566,0.021958,0.023616,0.025701,4000,0.02058,0.05466,0.023283526000000002,0.0030063472606011435,0.02136975,0.0216665,0.025119,1000,0.026214,0.064899,0.028385756,0.002693729848084993,0.02687,0.0271755,0.029637,1000,0.581095,2.816047,0.6897974379999999,0.16283713901393673,0.59916525,0.645668,0.7558295,1000,0.091925,0.202103,0.105961769,0.015490887582886883,0.09519175,0.0986325,0.11577725,1000,0.025724,0.062974,0.029409466,0.004450784244023068,0.02668475,0.0273145,0.03155575,1000,0.041864,0.120294,0.048797282,0.008704557336273682,0.043219,0.0445325,0.05370425,1000,0.006196,0.029394,0.007516407,0.0017358999692813524,0.006444,0.0066245,0.0080125,1000,0.016941,0.054268,0.019665303,0.0031037690934074013,0.0176055,0.0181215,0.0212955,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.028299,1.716199,0.09551322500000001,0.12196122942068259,0.043211,0.0814025,0.11132925,1000,0.273185,0.427166,0.304907543,0.02623598497000162,0.285175,0.2928475,0.322917,1000,0.001203,0.019778,0.0019740495,0.0008988908037407824,0.001532,0.0017115,0.002367,4000,0.00292,0.017855,0.0039122485,0.0009462276870540991,0.003338,0.003578,0.00441,4000,0.02078,0.086529,0.024330051749999998,0.003919324034393168,0.021839,0.023434,0.02569025,4000,0.02078,0.086529,0.024330051749999998,0.003919324034393168,0.021839,0.023434,0.02569025,4000,0.020766,0.057585,0.023434735,0.003193805467897975,0.021409,0.0216965,0.02524025,1000,0.026427,0.074426,0.028610093,0.0032928106848634647,0.02690325,0.0271985,0.029749,1000,0.575602,2.550974,0.689332439,0.1577254359242994,0.6001385,0.6460335,0.754421,1000,0.092754,0.206069,0.107162679,0.016100334009204874,0.0956225,0.09932,0.1178215,1000,0.025956,0.073135,0.029715923999999998,0.0048263649081087935,0.02687475,0.0274025,0.03184275,1000,0.041911,0.12204,0.049321721,0.00898752956741501,0.04337375,0.0449275,0.054052,1000,0.006141,0.025881,0.007634946,0.001907716032087585,0.00637075,0.0069375,0.008159,1000,0.017089,0.051945,0.019909543000000002,0.0032676347418509003,0.017742,0.0182675,0.02146,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.02238,1.733134,0.066435746,0.12025564935516952,0.041659,0.053663,0.0668695,1000,0.270587,0.450164,0.29284221000000005,0.0165196467749132,0.2846175,0.2888955,0.2939475,1000,0.001211,0.013818,0.0018585465,0.0007738345232268653,0.001508,0.001635,0.00226025,4000,0.00297,0.021774,0.0037438767499999998,0.0009432896837978446,0.003293,0.003435,0.004309,4000,0.020969,0.067011,0.02348042325,0.002720082487464202,0.021818,0.023201,0.02400025,4000,0.020969,0.067011,0.02348042325,0.002720082487464202,0.021818,0.023201,0.02400025,4000,0.020886,0.081582,0.022029331,0.003010584642463819,0.021354,0.021535,0.0217085,1000,0.026366,0.064196,0.027488163,0.0022833277050022848,0.026876,0.02701,0.027177,1000,0.595311,2.556769,0.657942245,0.1442497533848047,0.61525675,0.641281,0.6604605,1000,0.104062,0.218787,0.127104268,0.015471163150266885,0.11656375,0.1259095,0.13193075,1000,0.025883,0.063999,0.027655893,0.003003626628852361,0.026719,0.0269995,0.02732725,1000,0.047856,0.115077,0.050601449,0.005924766262680664,0.0487115,0.049154,0.04974375,1000,0.009346,0.075497,0.029313455999999998,0.010125420369449557,0.02082675,0.0306625,0.0354035,1000,0.017377,0.043119,0.018974788,0.002640480205011202,0.01787175,0.0180495,0.018355,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.035873,1.630732,0.080338723,0.10152281959573556,0.07218225,0.0743455,0.07596575,1000,0.081169,0.249205,0.108052476,0.012192269417357215,0.1059015,0.108535,0.109892,1000,0.002268,0.013491,0.003212221,0.0008940030045581502,0.003065,0.003137,0.00321,1000,0.004473,0.037189,0.005854809,0.001572635006770166,0.005683,0.0057755,0.005858,1000,0.024838,0.174423,0.03414586,0.006360791151452782,0.03275475,0.0333975,0.0356775,1000,0.024838,0.174423,0.03414586,0.006360791151452782,0.03275475,0.0333975,0.0356775,1000,0.006519,0.037061,0.009676772,0.0017349857889954025,0.009597,0.009735,0.0098925,1000,0.010321,0.042182,0.012689181,0.0019028906989732753,0.012484,0.0125775,0.012677,1000,0.186285,1.966051,0.297848385,0.11294663282307611,0.291797,0.295205,0.29962875,1000,0.012917,0.104604,0.039571499,0.010228713237157398,0.04058175,0.041226,0.04199075,1000,0.002187,0.013232,0.003192224,0.0007671579888288983,0.00306675,0.003126,0.003182,1000,0.007248,0.043568,0.017454901999999998,0.004199159730517047,0.017518,0.0177845,0.01799025,1000,0.001882,0.056389,0.016923846000000003,0.006166419168389706,0.018164,0.0183655,0.018591,1000,0.001066,0.013059,0.001471675,0.0006218745447234515,0.00133,0.001373,0.001422,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037866,1.446138,0.09442808500000001,0.09773017857113417,0.07325025,0.100364,0.1021405,1000,0.081545,0.171386,0.107067442,0.01045262207145346,0.10534125,0.107827,0.10920925,1000,0.002271,0.018569,0.003170625,0.0010333219761405443,0.003018,0.003081,0.003147,1000,0.004285,0.027634,0.005771924,0.00124712178884983,0.00556975,0.005699,0.00579725,1000,0.024956,0.06974,0.033694233,0.0042644553786751,0.0326485,0.033064,0.03538875,1000,0.024956,0.06974,0.033694233,0.0042644553786751,0.0326485,0.033064,0.03538875,1000,0.006534,0.028708,0.009605431000000001,0.001594614025160634,0.009571,0.0096785,0.00978725,1000,0.010373,0.028058,0.012581406000000002,0.0014552113946653938,0.012409,0.01252,0.012618,1000,0.185863,1.744539,0.300685451,0.10887532811052099,0.279132,0.30917,0.31551125,1000,0.013148,0.072027,0.029742861000000002,0.007262560999102108,0.0273605,0.0315715,0.0322385,1000,0.002095,0.019204,0.0031932139999999998,0.0008500629954326914,0.00305375,0.003133,0.003203,1000,0.007303,0.056177,0.016355757,0.004183899571446595,0.015877,0.0167005,0.01697325,1000,0.00193,0.042275,0.008189039,0.003274608185337446,0.00649675,0.009627,0.010085,1000,0.001076,0.016502,0.001490892,0.0008582368148337614,0.0013,0.001369,0.001422,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006388,0.134086,0.008011425,0.0089572065181269,0.006662,0.006805,0.0070865,1000,1.13923,1.341934,1.1588723570000001,0.02255562731265861,1.14610225,1.152028,1.15805425,1000,0.066947,0.13381,0.068477917,0.0053840658445185275,0.06725,0.067384,0.067574,1000,0.036554,0.071501,0.037700382,0.0025720059059177913,0.037064,0.037212,0.03739025,1000,0.021462,0.050527,0.0230904,0.0020981861247277374,0.02195475,0.0221895,0.02421875,1000,0.990282,1.187661,1.006514231,0.020007155576634055,0.99544,1.002008,1.00497525,1000,0.002758,0.008782,0.003112722,0.0006198308742842681,0.00291975,0.002978,0.00305025,1000,0.011265,0.024125,0.011760618,0.0009315075781098079,0.011512,0.0116025,0.011708,1000,1.175059,1.470838,1.197316511,0.02827882888271505,1.18324725,1.1895145,1.1961715,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000295,0.000944,0.00038574599999999996,6.557650100455193e-05,0.000345,0.000369,0.00041,1000,2.527511,4.947515,2.585842859,0.18617825624981324,2.5423905,2.555335,2.58180525,1000,0.051904,0.087767,0.053476921999999996,0.002451660537251436,0.0524625,0.052785,0.05358725,1000,0.044187,0.076755,0.045499641,0.002596112527245112,0.044656,0.044908,0.04533725,1000,0.701047,2.044637,0.720968575,0.09389484253993068,0.7072955,0.7096095,0.712453,1000,1.699561,2.738498,1.741456009,0.10591218434514,1.7099925,1.718497,1.74018175,1000,0.001233,0.012391,0.001455689,0.0004905949391086295,0.001358,0.001403,0.001469,1000,0.012962,0.026762,0.013900233,0.0011634809103337278,0.0134785,0.0136895,0.013969,1000,2.553129,5.026661,2.613487525,0.18883862752862662,2.569365,2.583142,2.609883,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000285,0.000882,0.00036764100000000004,5.1738381488021055e-05,0.000339,0.00036,0.000384,1000,2.628537,5.001877,2.697248009,0.18058264033194585,2.64287925,2.6618245,2.6988695,1000,0.051612,0.086357,0.053814374000000005,0.0031294300283157,0.05214775,0.052604,0.0556,1000,0.04416,0.087059,0.045940111,0.003538051631714693,0.04458975,0.044909,0.047065,1000,0.699982,1.986224,0.720696204,0.08654604127598435,0.7059865,0.7083795,0.71420325,1000,1.804057,2.830369,1.852505221,0.10721343744805573,1.8122935,1.8219565,1.852526,1000,0.001154,0.011833,0.0014010119999999999,0.00038174166638710007,0.00131775,0.0013695,0.001423,1000,0.012594,0.025835,0.013492466,0.0009491384834912132,0.013153,0.013337,0.013542,1000,2.65429,5.059063,2.724257221,0.182739838420636,2.66942225,2.6899235,2.7253115,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
