SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.329049,0.452105,0.3548552274509804,0.02281105240463687,0.338619,0.345355,0.36616,255,12.192442,14.049121,12.6771286,0.2853783895014546,12.5460415,12.680317,12.7764165,255,0.284673,0.366156,0.30100782352941174,0.01516156677907363,0.2902515,0.297642,0.30439,255,0.135902,0.207169,0.1509223137254902,0.018331889041530557,0.1376995,0.139453,0.1683385,255,3.872985,4.228253,3.9829836980392157,0.0530527191821364,3.9538675,3.97915,4.009602,255,3.872985,4.228253,3.9829836980392157,0.0530527191821364,3.9538675,3.97915,4.009602,255,0.022187,0.03239,0.024524227450980395,0.0015427870868414976,0.023471,0.02396,0.025273,255,0.054742,0.077508,0.05748021568627451,0.0024706491130376935,0.056168,0.056711,0.058191,255,40.470799,50.235717,47.67919639607843,1.798720591604485,47.9454165,48.274936,48.4866895,255,27.190472,36.008355,34.460546721568626,1.7854924366748133,35.0346815,35.143801,35.225442,255,0.021199,0.033358,0.022535823529411764,0.0013221225730884016,0.0218845,0.022336,0.0227425,255,21.811941,24.20418,21.949871643137254,0.158383782218129,21.893242,21.928491,21.981803,255,4.892409,13.489651,12.078170184313725,1.7864502719294046,12.7075515,12.78639,12.842494,255,0.385333,0.541951,0.40743337254901957,0.020560265535174725,0.397296,0.401617,0.4084645,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,11.648974,36.098757,13.07181845982906,1.0416004349756018,12.843233,12.892694,13.002049,1755,11.355283,35.648358,12.74631141994302,1.0325660903836198,12.5225015,12.56885,12.6726795,1755,0.007384,2.08889,0.2376921619183286,0.21282340542955458,0.04865875,0.253965,0.37676425,10530,0.008422,1.008141,0.09037240370370371,0.07672560696687149,0.02144125,0.108598,0.13738325,10530,0.082507,15.524316,1.8514769169040837,1.9072415812149104,0.16759475,1.2005695,2.6366855,10530,0.082507,15.524316,1.8514769169040837,1.9072415812149104,0.16759475,1.2005695,2.6366855,10530,0.090909,0.471077,0.10381635327635327,0.01649892528602134,0.0969265,0.098904,0.101934,1755,0.134673,0.561619,0.1471671475783476,0.018282307395422706,0.139537,0.1411,0.1430045,1755,23.723076,55.134381,28.7968100985755,2.8080473639188908,26.9705805,28.68544,30.467163,1755,10.248161,41.441348,15.14926767863248,2.532837021980449,13.4484125,15.067544,16.8194615,1755,0.073364,0.258166,0.08331531339031338,0.011104999432165506,0.078347,0.080728,0.082381,1755,9.475701,40.199398,14.317217667236468,2.440014176998763,12.673666,14.265212,15.978988,1755,0.103765,1.100522,0.262071150997151,0.1081630162579083,0.2000455,0.235189,0.2901595,1755,0.414694,1.560203,0.48444364843304843,0.04814574534487676,0.460638,0.480264,0.5025075,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.038279,1.751906,0.095814652,0.12280969251688117,0.04354075,0.08203,0.11196075,1000,0.276669,0.454092,0.30582143900000003,0.02540707165818759,0.2870645,0.294548,0.32328375,1000,0.001326,0.013689,0.0020232085,0.0007063454236616458,0.001627,0.001806,0.002387,4000,0.003028,0.041642,0.003969031,0.0010764819480785545,0.003382,0.003674,0.004455,4000,0.021045,0.097961,0.02442627925,0.003316582299411464,0.0222075,0.0236235,0.02564275,4000,0.021045,0.097961,0.02442627925,0.003316582299411464,0.0222075,0.0236235,0.02564275,4000,0.020457,0.053394,0.023078440999999998,0.0029973507419918345,0.02115575,0.0214535,0.02497175,1000,0.026262,0.053094,0.028406351,0.002565281540454965,0.026903,0.0271835,0.02959175,1000,0.576227,2.581106,0.687837421,0.15856417201409578,0.60039575,0.6441905,0.753073,1000,0.091344,0.203834,0.105736555,0.01569832702924025,0.09477825,0.0983745,0.115904,1000,0.025479,0.065381,0.029329883999999997,0.004567152840287262,0.026439,0.0272865,0.03148675,1000,0.041685,0.121669,0.048559032,0.008738009276201072,0.042849,0.0440385,0.05311025,1000,0.00616,0.019976,0.007462211,0.0016092512036593291,0.006438,0.0065885,0.008012,1000,0.016861,0.068491,0.019794751,0.0033274969389916796,0.01770275,0.0182315,0.021337,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.038773,1.743606,0.096273033,0.12143035679250848,0.043828,0.083069,0.1119535,1000,0.273117,0.411427,0.303505864,0.02512244137144127,0.284529,0.291307,0.3218,1000,0.001303,0.017316,0.0019893465,0.0007778654057340191,0.001572,0.001719,0.002352,4000,0.002966,0.021898,0.00392563425,0.0009410381652605476,0.00336,0.0035515,0.004405,4000,0.0209,0.091441,0.02436046275,0.0034774062456250977,0.021994,0.023619,0.025573,4000,0.0209,0.091441,0.02436046275,0.0034774062456250977,0.021994,0.023619,0.025573,4000,0.02067,0.051393,0.023161424,0.002987356930837693,0.021154,0.0213845,0.02498725,1000,0.026336,0.058315,0.028650816,0.002918780473784214,0.026979,0.0273085,0.0298665,1000,0.578898,2.57305,0.687969174,0.15747540169410498,0.5955425,0.6439685,0.75629975,1000,0.091897,0.207232,0.106909372,0.01635602196836431,0.09497325,0.098909,0.117912,1000,0.025347,0.077809,0.029598791000000003,0.005144814723322795,0.0265125,0.0271905,0.03197275,1000,0.041587,0.122514,0.049217805,0.009297315722130502,0.04287375,0.045298,0.054892,1000,0.006079,0.050466,0.007590436,0.0022301135535895923,0.0063565,0.006869,0.0080875,1000,0.01723,0.053314,0.019914333,0.0030954531451971618,0.017804,0.0182615,0.02153675,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.022124,1.731129,0.067577098,0.11929360944099394,0.04242075,0.054683,0.067589,1000,0.274275,0.543358,0.294461003,0.020624869907831925,0.285435,0.289516,0.29509325,1000,0.001321,0.020579,0.0018947815,0.0007647960272240894,0.00155575,0.001661,0.002307,4000,0.003048,0.014754,0.0038319875,0.0008576287989822579,0.003354,0.0035335,0.004394,4000,0.020913,0.165508,0.023740410500000003,0.003946812519488321,0.02183975,0.0233535,0.02417525,4000,0.020913,0.165508,0.023740410500000003,0.003946812519488321,0.02183975,0.0233535,0.02417525,4000,0.020792,0.061045,0.021900567,0.0023836051937162327,0.02126375,0.0214215,0.02159725,1000,0.026421,0.062865,0.027513128,0.0023761621505309777,0.026839,0.0269675,0.02712925,1000,0.595883,2.567658,0.6621139420000001,0.143583183851984,0.61782825,0.643943,0.66406875,1000,0.103668,0.233169,0.128094378,0.016532461525771536,0.11685075,0.126221,0.132824,1000,0.025829,0.063029,0.027982217,0.0038013350809828644,0.02662475,0.026988,0.02738625,1000,0.047417,0.107955,0.05081316,0.0066643157454010235,0.048435,0.048906,0.04973375,1000,0.009245,0.07746,0.029342872,0.010215088527253008,0.0208915,0.0306085,0.03535825,1000,0.01747,0.045062,0.019379735000000002,0.002522411138330744,0.018195,0.018488,0.01896675,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037654,1.529562,0.079254533,0.09710312615337834,0.071683,0.0724455,0.07524125,1000,0.081002,0.2478,0.10697019899999999,0.01082209110049435,0.105112,0.1080615,0.10933025,1000,0.00218,0.018235,0.0031710749999999998,0.0010431049714074803,0.00299,0.003076,0.003158,1000,0.004262,0.01605,0.005768537000000001,0.0008859994619812135,0.00569,0.0057695,0.0058345,1000,0.024768,0.174811,0.033664888,0.005718913854348219,0.032729,0.0331845,0.03552775,1000,0.024768,0.174811,0.033664888,0.005718913854348219,0.032729,0.0331845,0.03552775,1000,0.006476,0.019187,0.009553621,0.0012435658009767717,0.00954275,0.0096775,0.00986225,1000,0.010414,0.042824,0.012756084999999999,0.0015894057115082355,0.01257175,0.012669,0.012775,1000,0.184863,1.830106,0.29528069,0.10754134093046219,0.2906445,0.294035,0.2977685,1000,0.01324,0.091388,0.039361067,0.00998615188681361,0.040613,0.0410555,0.04178075,1000,0.002224,0.018212,0.0032026280000000003,0.0008442473343848946,0.003072,0.003135,0.00320325,1000,0.007449,0.040738,0.017427057,0.004047216932133858,0.0175925,0.0177315,0.01789825,1000,0.00191,0.057538,0.016782777,0.006128516150037544,0.01812475,0.018338,0.01848425,1000,0.000987,0.018969,0.0014289169999999998,0.0008912198360174666,0.001257,0.0013065,0.001352,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037469,1.55143,0.09418879,0.09902294350483579,0.07264075,0.100612,0.102381,1000,0.080372,0.218235,0.106788955,0.010804972693578406,0.10508275,0.107477,0.1091375,1000,0.002159,0.013599,0.0031357779999999997,0.0009006641608923938,0.00299175,0.003064,0.003138,1000,0.004352,0.018164,0.0057874089999999994,0.0011466615663389959,0.005649,0.005733,0.00582025,1000,0.024711,0.098956,0.03373798,0.004883582376452761,0.03258075,0.0330905,0.03544925,1000,0.024711,0.098956,0.03373798,0.004883582376452761,0.03258075,0.0330905,0.03544925,1000,0.006389,0.026766,0.009578225000000001,0.0016208217281289759,0.00953,0.009661,0.009794,1000,0.01032,0.030082,0.012601539,0.0014651161081904057,0.01245875,0.012552,0.01264725,1000,0.182603,1.843732,0.299809185,0.11018273250318661,0.27855825,0.3090225,0.3155595,1000,0.013004,0.066298,0.029415472,0.006642121927457821,0.027208,0.0313625,0.03218575,1000,0.002199,0.01345,0.003256853,0.0007563664253462075,0.003075,0.003146,0.003302,1000,0.007237,0.039317,0.016066404,0.0036699358319709076,0.0157165,0.0165125,0.01677525,1000,0.00193,0.022125,0.008150082999999999,0.002934822688700461,0.006472,0.0097625,0.0102535,1000,0.00101,0.008366,0.001408754,0.0006035433534419876,0.00123975,0.001314,0.001366,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006292,0.146699,0.008218374,0.009779719881475338,0.006773,0.006938,0.00717925,1000,1.134724,1.385303,1.1845651529999999,0.041222195563526104,1.145085,1.16696,1.22032375,1000,0.066646,0.111955,0.06870992999999999,0.003153080837070309,0.06703575,0.0675285,0.069616,1000,0.036752,0.076553,0.038830008,0.003266308153548284,0.03713175,0.037345,0.03993375,1000,0.02143,0.046824,0.02320564,0.00227382411421816,0.021919,0.022169,0.024462,1000,0.984984,1.171361,1.030563705,0.03748541535717559,0.99395875,1.0106375,1.058954,1000,0.002787,0.012011,0.0031232829999999997,0.0006456489749941527,0.00294475,0.0029935,0.003052,1000,0.011149,0.025184,0.011727805000000001,0.0009046181155465547,0.011464,0.0115845,0.01171425,1000,1.17033,1.577928,1.223374398,0.044934168660247804,1.183069,1.205643,1.25902625,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00029,0.000986,0.000343926,4.849348950116913e-05,0.000323,0.000337,0.000352,1000,2.523901,5.058596,2.616049412,0.2001717034736435,2.53703325,2.569975,2.63179425,1000,0.052022,0.108603,0.054993108,0.004818504579051057,0.05241575,0.052948,0.05698925,1000,0.044163,0.087087,0.046316797,0.003926569013501609,0.044683,0.044943,0.047345,1000,0.697112,2.106247,0.7198459549999999,0.09750045544090025,0.70457825,0.7070205,0.71175075,1000,1.698014,2.821433,1.77049554,0.12243885534470828,1.709113,1.723251,1.78319775,1000,0.001155,0.011822,0.001411926,0.00047327726812514457,0.001304,0.001363,0.00144225,1000,0.012741,0.026603,0.013419790000000001,0.0012319764648320195,0.013034,0.0131995,0.013395,1000,2.548554,5.117296,2.642898707,0.20259211372555735,2.56326,2.5969275,2.65884775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000303,0.003258,0.00036945,0.00012988235253489985,0.000334,0.00035,0.000376,1000,2.619198,5.001587,2.681340497,0.17711576884537408,2.635995,2.6511415,2.6756025,1000,0.051677,0.090611,0.05354858,0.0027548961990608647,0.052318,0.0527655,0.053798,1000,0.04378,0.07461,0.045535069000000004,0.0032547960311268354,0.0443815,0.0446075,0.0459235,1000,0.699369,1.949847,0.71920481,0.08529180104083804,0.7043485,0.706691,0.716999,1000,1.795716,2.873422,1.839088979,0.10470360045370244,1.80712575,1.815366,1.83363025,1000,0.001118,0.012019,0.001392052,0.00047306133988733425,0.001277,0.001351,0.00143,1000,0.012635,0.032248,0.013411619000000001,0.0011266846656624915,0.01305675,0.01325,0.01347725,1000,2.643413,5.0592,2.707979179,0.17939511496626367,2.6623055,2.6778525,2.7019165,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
