SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.320165,0.404892,0.3465814705882353,0.011655499616066028,0.3391585,0.344666,0.351841,255,11.830998,13.241269,12.337237694117647,0.2466743987440882,12.1756645,12.336943,12.5402235,255,0.284847,0.372491,0.30284006666666663,0.014186767909468464,0.2890315,0.301532,0.3108695,255,0.137338,0.202266,0.15598745882352943,0.017405370096421464,0.139131,0.145238,0.171434,255,3.840987,4.101432,3.9496698862745094,0.058449922645270005,3.9132995,3.939127,3.998277,255,3.840987,4.101432,3.9496698862745094,0.058449922645270005,3.9132995,3.939127,3.998277,255,0.025292,0.046864,0.02801561960784314,0.0022023475087777256,0.026433,0.027396,0.0293035,255,0.051942,0.07876,0.05549559215686275,0.002374456683021682,0.053849,0.055234,0.0569125,255,40.108328,50.589792,47.39964735294118,1.6694337475724506,47.589144,47.936495,48.203209,255,27.23096,37.828481,34.51704427058824,1.7159960557656078,35.0328975,35.152562,35.2576265,255,0.020436,0.04136,0.022065803921568625,0.001985744471640621,0.0213475,0.021694,0.021996,255,21.769963,28.198029,22.008408376470587,0.5717074946722382,21.880448,21.93989,22.002805,255,4.877066,14.25017,12.069759215686275,1.7863416629005633,12.7218745,12.789225,12.836771,255,0.397474,0.622065,0.41474461568627446,0.019956326902232625,0.4062225,0.41052,0.416124,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,12.338342,33.295799,13.464191667236468,1.3264127113890485,13.0826725,13.26083,13.426497,1755,11.975671,32.670427,13.116895377207978,1.2717792059097761,12.7422565,12.923181,13.0812025,1755,0.008585,4.368376,0.2653745521367521,0.2416261979880216,0.05432725,0.2962545,0.42552625,10530,0.009783,3.014382,0.10865090189933524,0.09091136265575434,0.02727825,0.106409,0.18328725,10530,0.073816,17.043257,1.8743829970560304,1.918278060478955,0.17128275,1.7680065,2.70682625,10530,0.073816,17.043257,1.8743829970560304,1.918278060478955,0.17128275,1.7680065,2.70682625,10530,0.093844,0.480276,0.11451395954415955,0.0180690944952777,0.101615,0.113711,0.1196735,1755,0.131239,0.563339,0.14848547407407406,0.0193476373304887,0.1376765,0.144622,0.150111,1755,24.026716,74.119186,29.614757040455842,3.6044859580433535,27.422275,29.263179,31.2284595,1755,10.340542,52.112548,15.533592296866097,2.9254815091611515,13.5867155,15.313827,17.215686,1755,0.074102,0.306063,0.08803217378917379,0.012288407798221108,0.08188,0.084929,0.089442,1755,9.513146,50.358408,14.640724477492878,2.817098845432311,12.7958275,14.453745,16.282223,1755,0.104382,1.086129,0.2803978512820513,0.1155715600739178,0.2127785,0.258582,0.3147955,1755,0.433684,2.134074,0.5221694085470086,0.06258867619125093,0.49777,0.519354,0.5397815,1755,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
BilateralLagrangianConstraint_NNCG,0.036467,5.426916,0.099205507,0.20133273533666587,0.04432975,0.081817,0.11075625,1000,0.194093,1.09507,0.221229623,0.043814243187357126,0.2004585,0.2074125,0.23349275,1000,0.002077,0.023115,0.0028254562500000004,0.0009561033579513972,0.002286,0.0024355,0.003139,4000,0.004231,0.061274,0.00549962575,0.0017609246946382851,0.00454575,0.0047985,0.006041,4000,0.014686,0.10824,0.018001625,0.004057469852922508,0.01565375,0.0166125,0.018903,4000,0.014686,0.10824,0.018001625,0.004057469852922508,0.01565375,0.0166125,0.018903,4000,0.02067,0.064645,0.023730079,0.004400593058754581,0.021134,0.021519,0.02565175,1000,0.025685,0.074184,0.028768054,0.004819593209710131,0.02635875,0.027027,0.0297395,1000,0.488987,7.697419,0.613063959,0.27182554425077365,0.51800275,0.5631925,0.65877625,1000,0.091867,0.464652,0.10854253500000001,0.022143269422304716,0.09529275,0.0994715,0.11817425,1000,0.025844,0.082364,0.030456826,0.005886610599124423,0.027047,0.027796,0.032597,1000,0.041501,0.251811,0.049470085,0.01166283085823399,0.04268675,0.0455405,0.05481875,1000,0.006296,0.03068,0.007890801000000001,0.0022152154909622222,0.006564,0.007024,0.008398,1000,0.016856,0.099251,0.020172687,0.004617999909596253,0.017589,0.018448,0.0214365,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.032272,1.806057,0.094951982,0.12069477490507895,0.04353125,0.081302,0.11111125,1000,0.194002,0.311436,0.21444867199999998,0.020580564390035954,0.19858525,0.203811,0.22988875,1000,0.002095,0.01337,0.0027298165,0.0008123190021954122,0.00224775,0.002353,0.00306,4000,0.00423,0.026126,0.005322785,0.0012610523981084211,0.004529,0.004697,0.005956,4000,0.014675,0.051002,0.017537286,0.002582866632097755,0.01566175,0.0163545,0.018809,4000,0.014675,0.051002,0.017537286,0.002582866632097755,0.01566175,0.0163545,0.018809,4000,0.020598,0.050185,0.023396483,0.003592230116753519,0.02107,0.0213215,0.0250505,1000,0.025572,0.062493,0.027973716,0.0027606716960450043,0.02615225,0.026555,0.029476,1000,0.48838,2.534234,0.5935292,0.1543382791334217,0.50609625,0.5527015,0.65396875,1000,0.090726,0.205319,0.10515355,0.016085795809579955,0.093489,0.09725,0.11613025,1000,0.025221,0.052955,0.028986762,0.004320217825683793,0.02604575,0.02682,0.03116975,1000,0.04115,0.116353,0.048256930999999996,0.008984192167592978,0.04201675,0.044176,0.05324925,1000,0.006155,0.028516,0.007682965,0.001863205189928098,0.006429,0.00699,0.0082855,1000,0.016779,0.045773,0.019693597,0.0032701448861772162,0.017427,0.0181165,0.021325,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.036981,1.702116,0.066301266,0.11628134102722261,0.042193,0.053583,0.06650575,1000,0.193569,0.339167,0.205764628,0.013868188224480372,0.19916,0.202704,0.2070255,1000,0.002058,0.016734,0.00256789625,0.0007325438877541315,0.002234,0.00233,0.00294525,4000,0.004232,0.019153,0.00503150775,0.0010037829453820868,0.004496,0.004628,0.005823,4000,0.014955,0.060243,0.016870731500000003,0.002306915330025736,0.0155185,0.0160545,0.01844,4000,0.014955,0.060243,0.016870731500000003,0.002306915330025736,0.0155185,0.0160545,0.01844,4000,0.020544,0.05228,0.021741819,0.0018779558882569634,0.02117775,0.021322,0.021486,1000,0.025781,0.049847,0.026913382000000003,0.002047744466498689,0.02627675,0.026443,0.02661675,1000,0.50665,2.464012,0.567923446,0.13948120068292744,0.5270255,0.551463,0.56931875,1000,0.104024,0.223661,0.126342813,0.016122723974193412,0.11535075,0.125159,0.131512,1000,0.025345,0.06013,0.027276937,0.002971215916932157,0.02625675,0.0266255,0.0270515,1000,0.046944,0.133853,0.050006749,0.006852788565248383,0.047719,0.048119,0.0490245,1000,0.009271,0.082253,0.029699029999999998,0.01029517487569298,0.0211135,0.031212,0.03602275,1000,0.016939,0.09168,0.01882039,0.0034139366074811646,0.01762975,0.017907,0.0184295,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.036493,1.509091,0.07815544899999999,0.09822039771015692,0.0706035,0.071224,0.07448475,1000,0.060834,0.137749,0.07863912399999999,0.008211534872277168,0.07784225,0.078358,0.0791185,1000,0.00307,0.013569,0.004275077,0.0006210115820747629,0.004265,0.004328,0.00438825,1000,0.00612,0.018602,0.007973506,0.0011702520540310963,0.007895,0.007987,0.008074,1000,0.018507,0.061199,0.024979821,0.003107495539974112,0.024777,0.0250045,0.025292,1000,0.018507,0.061199,0.024979821,0.003107495539974112,0.024777,0.0250045,0.025292,1000,0.006497,0.025202,0.00976785,0.0015437320368185666,0.00974575,0.009861,0.0099825,1000,0.010047,0.0366,0.012256098,0.0016058191885751022,0.01213975,0.012224,0.01231725,1000,0.162074,1.777629,0.265368914,0.10783615573879016,0.26086075,0.262629,0.26633675,1000,0.013039,0.089212,0.039110055,0.010036114522262836,0.04014275,0.040569,0.04126225,1000,0.002103,0.012629,0.003193025,0.0006812700744748737,0.003093,0.00316,0.003237,1000,0.007218,0.049456,0.017177669000000003,0.004270318609593317,0.01729475,0.0174755,0.01768875,1000,0.001956,0.060442,0.016564975,0.006133583829407975,0.017843,0.018068,0.018238,1000,0.001033,0.010954,0.001436172,0.0006414546035503993,0.001301,0.001347,0.00139125,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.036543,1.54634,0.093518217,0.10133719949951207,0.0719205,0.098773,0.10108175,1000,0.060343,0.140924,0.078487811,0.00841222492657436,0.07750025,0.078126,0.0790805,1000,0.003057,0.019804,0.0043344790000000005,0.0009992353644457347,0.004242,0.0043295,0.004418,1000,0.005997,0.035927,0.008017384,0.0014925900289577175,0.007859,0.0079575,0.0081025,1000,0.01858,0.059529,0.024854971,0.0031261844814660248,0.024724,0.0249545,0.02520725,1000,0.01858,0.059529,0.024854971,0.0031261844814660248,0.024724,0.0249545,0.02520725,1000,0.006589,0.03063,0.009668655,0.001426187560587667,0.00966175,0.009785,0.00994125,1000,0.010072,0.03528,0.012227877,0.0016175124023855274,0.012071,0.012188,0.012289,1000,0.162249,1.816509,0.270608083,0.11150344819899567,0.24884175,0.279404,0.28407575,1000,0.01284,0.066868,0.029247162,0.006671997865988567,0.02698375,0.0310835,0.031531,1000,0.00211,0.018276,0.0032307330000000004,0.0010823247468809904,0.00307075,0.0031485,0.003218,1000,0.007302,0.042964,0.015921044,0.0038510322029378045,0.015587,0.0163565,0.0165905,1000,0.001942,0.035928,0.007935576,0.0028531493708223547,0.00639075,0.0096085,0.009883,1000,0.000933,0.007345,0.001424455,0.0006325817022132397,0.001276,0.001341,0.00139925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006039,0.132988,0.0077159049999999995,0.008754476456303653,0.00639575,0.0065735,0.0068365,1000,1.11827,1.347308,1.1649087009999999,0.04356592689795087,1.12987675,1.148942,1.19997125,1000,0.067198,0.125405,0.069204279,0.004246071108113829,0.067565,0.0677795,0.07008725,1000,0.037617,0.070323,0.039893726000000004,0.0031809532468937674,0.0383445,0.03908,0.04122225,1000,0.014966,0.041524,0.016014439000000002,0.001965337421991196,0.015409,0.015568,0.015921,1000,0.988034,1.176136,1.0315732979999999,0.04009665755470393,1.00008375,1.01805,1.0648895,1000,0.002831,0.017517,0.0032487139999999998,0.0007663017775028321,0.00302375,0.0030985,0.003185,1000,0.010939,0.039399,0.01150931,0.0015607819732108646,0.01117775,0.0112695,0.0113785,1000,1.154494,1.538782,1.2033953149999999,0.04691945589562793,1.166794,1.186366,1.23739175,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000306,0.000985,0.00036064999999999996,5.10369425024658e-05,0.000335,0.000348,0.000376,1000,2.503104,4.984727,2.55877614,0.18524843642111638,2.51583075,2.524113,2.55694825,1000,0.051057,0.096593,0.053392719,0.003379174402134196,0.05207575,0.052372,0.053654,1000,0.043342,0.082397,0.045775248,0.0031013973119379595,0.044913,0.045177,0.0455065,1000,0.689732,2.098295,0.7078721219999999,0.09586875754390016,0.69500575,0.6969935,0.7005605,1000,1.70648,2.73666,1.7442821839999998,0.10467058957857334,1.714407,1.719131,1.74292825,1000,0.001291,0.004442,0.001472297,0.00019579931764692133,0.001376,0.001421,0.001507,1000,0.011972,0.036064,0.012652225,0.0014238610895642176,0.012282,0.012412,0.01266825,1000,2.527236,5.044406,2.5848529190000002,0.18752730249946123,2.54114325,2.550812,2.5824715,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000299,0.009227,0.000360897,0.0002952029952270132,0.000331,0.000341,0.00035425,1000,2.607547,4.889432,2.657486227,0.17534354849878983,2.616744,2.624665,2.6546635,1000,0.051443,0.096802,0.053392373,0.003435183448357744,0.05218075,0.052458,0.05410075,1000,0.043406,0.078566,0.046096410000000004,0.0031397803008968634,0.045022,0.0453375,0.046321,1000,0.68849,1.919723,0.705525961,0.08468387473411616,0.693993,0.6956065,0.6979505,1000,1.808123,2.833822,1.8450627960000001,0.10543951872880672,1.815401,1.8214515,1.8366855,1000,0.001243,0.003582,0.001386747,0.00015402682555645946,0.00133475,0.001364,0.001398,1000,0.011951,0.026162,0.012506049000000002,0.0011209775147606664,0.01223175,0.012336,0.01246025,1000,2.631556,4.945077,2.683207775,0.17747068264194615,2.64229225,2.649904,2.6796565,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
