SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.344251,0.461539,0.3647927254901961,0.021958014703357853,0.349904,0.356273,0.3708025,255,11.82119,18.95114,12.424383415686274,0.6312014552600335,12.198041,12.345899,12.4395075,255,0.284467,0.486979,0.30150344705882354,0.02292383719334102,0.288316,0.295012,0.3072085,255,0.136973,0.235537,0.14765414117647058,0.017763833496678476,0.1383315,0.139036,0.1448455,255,3.551247,5.371833,3.713609035294118,0.15976576416958943,3.6585355,3.689361,3.7314925,255,3.551247,5.371833,3.713609035294118,0.15976576416958943,3.6585355,3.689361,3.7314925,255,0.025371,0.057717,0.027996396078431372,0.003940799658572385,0.0261535,0.026581,0.0280665,255,0.051246,0.095146,0.05405849019607843,0.004908081008218713,0.052103,0.052505,0.0539655,255,40.185344,61.815895,49.13160802352941,3.826926454579662,47.701733,48.070405,50.314237,255,27.255105,47.338341,36.15586189411765,3.5774692027125425,35.1095705,35.225284,36.523132,255,0.020478,0.052589,0.022204298039215687,0.003027532056046362,0.021194,0.021586,0.0220495,255,21.780361,31.336725,22.75950223137255,2.1069224004165377,21.880285,21.92517,22.0015665,255,4.878728,19.705258,12.95432614509804,2.515579850189595,12.752806,12.855651,13.0115855,255,0.398085,0.600292,0.41788414509803923,0.022443774049452293,0.406901,0.411885,0.419193,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,8.651737,17.781595,9.215698684330484,0.841789591120249,8.83549,9.055155,9.2523955,1755,8.34826,17.496357,8.918412312250712,0.8348793872042842,8.5460195,8.765352,8.94322,1755,0.004776,0.657994,0.17572314131054131,0.1710797955908749,0.0289335,0.1201845,0.28285575,10530,0.006104,0.346538,0.08319463209876543,0.08027935817897396,0.0156815,0.061936,0.1361945,10530,0.036756,7.587214,1.1925479328584994,1.2427690205937845,0.09292325,0.8892605,1.7328885,10530,0.036756,7.587214,1.1925479328584994,1.2427690205937845,0.09292325,0.8892605,1.7328885,10530,0.092742,0.242651,0.11244990142450143,0.01615898483458351,0.101219,0.108817,0.117303,1755,0.128167,0.226666,0.14263235555555556,0.013554230134084019,0.133895,0.138875,0.1432765,1755,23.793185,49.595098,30.887541287179488,4.038405884978124,28.1026345,30.203667,32.6349245,1755,14.19333,38.947419,21.073171156695157,3.803406165538985,18.434439,20.515148,22.830951,1755,0.072872,0.171071,0.08629992364672365,0.011958863789366937,0.0800675,0.082694,0.086988,1755,13.373411,37.747503,20.203777523646725,3.7032432066917416,17.6588405,19.63469,21.9700485,1755,0.1055,1.165665,0.2737503065527066,0.11424174633110305,0.2062865,0.244259,0.303799,1755,0.438355,0.932267,0.5071194672364673,0.04581678625782657,0.480642,0.499375,0.522108,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.040324,1.903218,0.10680796099999999,0.12323924192809481,0.0540295,0.092445,0.1230625,1000,0.193435,0.353322,0.216031019,0.02214651596135697,0.19927125,0.2043905,0.23171475,1000,0.001952,0.02324,0.0026610875,0.0010531765843597883,0.002125,0.002236,0.003059,4000,0.004223,0.02655,0.00534603025,0.0015560647505277333,0.00449475,0.00472,0.005926,4000,0.014568,0.055783,0.01749355025,0.0031426054317198232,0.01544975,0.016318,0.018642,4000,0.014568,0.055783,0.01749355025,0.0031426054317198232,0.01544975,0.016318,0.018642,4000,0.020339,0.06168,0.023130019,0.0037864617563946163,0.0208595,0.021134,0.025035,1000,0.025501,0.056443,0.028228605,0.0036715057999375405,0.02614575,0.0265685,0.0295915,1000,0.49905,2.74243,0.60785889,0.15718966900127979,0.53036675,0.567544,0.6703585,1000,0.09012,0.219286,0.105631591,0.016553181849593722,0.093394,0.0973415,0.116726,1000,0.02489,0.069914,0.029340773,0.005174419805299044,0.0262385,0.026982,0.03164775,1000,0.041047,0.117649,0.048428843,0.008923349524945832,0.04219675,0.044867,0.05421975,1000,0.006157,0.027883,0.007587685,0.002119001123589839,0.0063935,0.0065845,0.0080675,1000,0.016784,0.05178,0.019736636999999998,0.0036985621718758493,0.01734875,0.017985,0.02125475,1000,0.0,2.4,1.2,0.758946638440411,1.2,1.2,1.2,5
BilateralLagrangianConstraint_PGS,0.041143,1.6318,0.10580705800000001,0.11570544789398914,0.05281525,0.090803,0.12360475,1000,0.191647,0.362136,0.216771036,0.02505466299886518,0.198532,0.2049435,0.23217775,1000,0.001919,0.146251,0.00269955975,0.002531850380735389,0.00210475,0.0022285,0.003038,4000,0.004152,0.03569,0.00538592475,0.001684475181350986,0.004508,0.004743,0.005927,4000,0.014392,0.058958,0.017585848249999998,0.00348614291699608,0.015373,0.0163645,0.0186565,4000,0.014392,0.058958,0.017585848249999998,0.00348614291699608,0.015373,0.0163645,0.0186565,4000,0.020409,0.05953,0.023297562999999997,0.004298688367866528,0.02089875,0.021134,0.025006,1000,0.025688,0.069311,0.028473188,0.0044414446492842844,0.02619,0.026659,0.029614,1000,0.498125,2.342977,0.608598768,0.15121342600785875,0.5274435,0.565122,0.67093925,1000,0.09047,0.186715,0.10570125699999999,0.016070471312284246,0.09350325,0.097459,0.11680175,1000,0.025268,0.06424,0.029379370999999998,0.005382258590532324,0.026069,0.026818,0.03177775,1000,0.040852,0.099999,0.048382991,0.008624429226152825,0.042324,0.0448675,0.0537505,1000,0.006105,0.028109,0.007600374,0.0019211034985455624,0.006375,0.006922,0.0081095,1000,0.016581,0.053801,0.019797402,0.0039267610523682234,0.01734075,0.018119,0.0211765,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.035211,1.844203,0.08002087699999999,0.120523759372714,0.05206875,0.0663805,0.0802485,1000,0.193908,0.428049,0.212242623,0.029282461346868894,0.198687,0.202516,0.21189375,1000,0.001877,0.023139,0.002573038,0.001186292396947734,0.00208175,0.002167,0.002976,4000,0.004195,0.023249,0.00518876275,0.0016415002113805645,0.00445,0.004574,0.0058,4000,0.014332,0.059686,0.0172428595,0.0038521539226463613,0.015163,0.0159475,0.01840925,4000,0.014332,0.059686,0.0172428595,0.0038521539226463613,0.015163,0.0159475,0.01840925,4000,0.020596,0.070403,0.022540758999999997,0.00457971663391077,0.02100975,0.021173,0.0215005,1000,0.025658,0.100227,0.027819856,0.005197733319175196,0.0262145,0.026438,0.0269155,1000,0.516242,2.805732,0.596263201,0.15607826802756558,0.54589675,0.568802,0.595849,1000,0.101477,0.384543,0.128858749,0.021662012330944672,0.11563225,0.1249405,0.133283,1000,0.025188,0.063779,0.028075479,0.005518557526343184,0.02596075,0.0263155,0.02682225,1000,0.046477,0.157132,0.051381464,0.009160580970260783,0.04771175,0.048322,0.05050575,1000,0.009238,0.1968,0.029365348000000003,0.011396815476039612,0.0211925,0.030006,0.0346515,1000,0.016983,0.048239,0.019502374,0.004216037947661762,0.0176,0.0178765,0.019379,1000,0.0,3.6,0.96,1.3994284547628721,0.0,0.0,1.2,5
FrictionContact_LCP_with_friction,0.028038,1.497374,0.08184531,0.09891724236115713,0.07157325,0.0746255,0.07538325,1000,0.059943,0.161139,0.080240242,0.012512033614702128,0.07672775,0.0774015,0.08105575,1000,0.002954,0.015475,0.004290546,0.0012595186318129635,0.00412375,0.004197,0.00427525,1000,0.005874,0.040169,0.007990253,0.0023685929259775725,0.00758475,0.007712,0.0078255,1000,0.018435,0.064552,0.025620275,0.004811778080437106,0.0248485,0.025083,0.02553325,1000,0.018435,0.064552,0.025620275,0.004811778080437106,0.0248485,0.025083,0.02553325,1000,0.006325,0.034822,0.009706662,0.0020221646510005064,0.009455,0.0096955,0.0099815,1000,0.009827,0.03157,0.012337377,0.0021157389661465805,0.01203375,0.012148,0.01226,1000,0.163824,1.775115,0.272766322,0.11089756841170285,0.2612985,0.2639765,0.2736135,1000,0.012882,0.088801,0.039606843,0.010917318721661972,0.03970425,0.0401905,0.042591,1000,0.002058,0.018858,0.0030315949999999998,0.0008692238416972926,0.00292275,0.002997,0.003073,1000,0.007302,0.047897,0.017384805,0.004772839140278562,0.017304,0.017481,0.0176565,1000,0.001938,0.056215,0.016581934,0.006611328460577647,0.01754825,0.0177675,0.01792375,1000,0.00102,0.004804,0.001356459,0.00026759077771664705,0.001286,0.0013305,0.001377,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040029,1.404153,0.09691016899999999,0.09548163086778755,0.074085,0.099356,0.10360925,1000,0.059376,0.168838,0.080568583,0.014428590116609142,0.07634625,0.077218,0.081003,1000,0.002915,0.021159,0.004354831,0.0017160816753403667,0.00408075,0.004143,0.00421425,1000,0.00568,0.027561,0.007917929,0.002045598421968251,0.0075455,0.0076695,0.007808,1000,0.018399,0.06325,0.025669708,0.005355477042872652,0.02461875,0.0249105,0.02538625,1000,0.018399,0.06325,0.025669708,0.005355477042872652,0.02461875,0.0249105,0.02538625,1000,0.006189,0.034611,0.009693144,0.0027240079161529617,0.009259,0.009414,0.0097275,1000,0.00979,0.031032,0.012393873,0.002395829595541177,0.011917,0.012045,0.01217025,1000,0.162863,1.711216,0.278580246,0.11047853256538794,0.249039,0.2799645,0.28655675,1000,0.012778,0.08707,0.029730894,0.008348207114630302,0.02677475,0.030453,0.03133225,1000,0.002008,0.017685,0.00303235,0.0010000674424757562,0.002879,0.002955,0.003042,1000,0.007159,0.046343,0.016164770000000002,0.004617715716141477,0.01561,0.016239,0.01665175,1000,0.001918,0.045502,0.007901551,0.003396869820496364,0.0062775,0.0093645,0.0096,1000,0.000964,0.019275,0.001374362,0.0010472158826889514,0.00120575,0.001268,0.00132825,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008702,0.163071,0.010968449,0.009351691873741297,0.00910875,0.00939,0.01006525,1000,1.131906,2.19279,1.194890439,0.08889853988544626,1.15480425,1.1777485,1.210316,1000,0.067115,0.132698,0.070977731,0.008529355181644096,0.06750175,0.067667,0.06976925,1000,0.03787,0.087188,0.041310836000000004,0.006418137152406763,0.03836,0.03874,0.041495,1000,0.014855,0.040032,0.016397756000000003,0.0032632148363943188,0.015214,0.0154435,0.01586825,1000,0.998374,1.950306,1.0573537009999998,0.08003113620331527,1.02431225,1.043979,1.07285425,1000,0.002867,0.023384,0.003392677,0.0014492584285319856,0.00302075,0.0030905,0.00318,1000,0.010994,0.032058,0.012113793,0.002529441296838296,0.01126975,0.011417,0.0117345,1000,1.1701,2.282631,1.23820815,0.09461832124890772,1.1944675,1.21993,1.25220225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,3.6,0.72,1.44,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000293,0.000889,0.00035644400000000003,4.65564266670027e-05,0.000334,0.0003515,0.000369,1000,2.559968,5.066332,2.64870974,0.18915543683831137,2.59623625,2.6240905,2.6533365,1000,0.052112,0.097571,0.055516324,0.0056636734310007665,0.05280375,0.053331,0.05656225,1000,0.044286,0.085336,0.046712926,0.0048457465235527955,0.044692,0.0451195,0.04705025,1000,0.689609,2.147848,0.716896294,0.09889124100857245,0.69609275,0.702557,0.72138275,1000,1.759973,2.808624,1.821813523,0.10609679843815963,1.78222475,1.8044585,1.823933,1000,0.001285,0.010302,0.001476604,0.0004240609404130496,0.001384,0.001426,0.001493,1000,0.011648,0.030785,0.012509876,0.0017227601105853365,0.01202575,0.0122025,0.012451,1000,2.584021,5.124654,2.674597325,0.19135778690674016,2.621483,2.649922,2.6800115,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000296,0.002822,0.000373229,0.00011608995890687532,0.000336,0.000353,0.000374,1000,2.606844,5.307862,2.69687896,0.24299418529613911,2.62733,2.6541805,2.68238775,1000,0.050836,0.124954,0.054081214999999995,0.007177633971774751,0.051354,0.0523805,0.05279725,1000,0.042924,0.109705,0.045864593999999995,0.0060164027981148335,0.04348175,0.044689,0.0450295,1000,0.688269,1.944396,0.714551123,0.09368178256665417,0.69384825,0.6972065,0.714802,1000,1.811244,3.956699,1.874359695,0.16264790775866123,1.823729,1.8451695,1.86680425,1000,0.001248,0.013681,0.001523861,0.0007237675771122937,0.001363,0.0014145,0.00148,1000,0.011701,0.045199,0.012754228,0.0025891582767409178,0.012045,0.01219,0.01238025,1000,2.631354,5.364104,2.7234337689999997,0.2465157398599847,2.653093,2.680418,2.707207,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
