SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.344584,0.638203,0.3697058784313726,0.033165372664237774,0.3559395,0.363124,0.371754,255,11.776103,36.137713,12.552513611764706,1.8555550137728336,12.2049485,12.341526,12.516215,255,0.28264,0.951778,0.30490319607843136,0.0438824397230581,0.2905035,0.301297,0.306786,255,0.136762,0.289466,0.15599106274509805,0.020913614942911635,0.1389415,0.145805,0.1711065,255,3.590088,12.562673,3.7540050235294116,0.6106840154390873,3.645151,3.688678,3.730736,255,3.590088,12.562673,3.7540050235294116,0.6106840154390873,3.645151,3.688678,3.730736,255,0.0252,0.045229,0.028146254901960783,0.0029645262574488056,0.0263145,0.027079,0.028941,255,0.050801,0.084504,0.054613878431372546,0.004167734129881359,0.052178,0.053183,0.05561,255,40.189671,81.218722,48.33777850980392,4.228595840729845,47.711278,48.105662,48.504483,255,27.282674,54.80022,35.22066711372549,3.1671229003924233,35.081086,35.269344,35.455993,255,0.021154,0.055525,0.023569545098039216,0.00419787396481085,0.022162,0.022548,0.0229965,255,21.780444,29.975335,22.479631596078434,1.6427130343832261,21.908863,21.976431,22.119376,255,4.918453,27.762282,12.296601682352941,2.2722500522542965,12.750088,12.856665,12.943895,255,0.399931,0.684654,0.41889069411764707,0.02377706334232357,0.4069795,0.412853,0.4218635,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,8.657531,29.859642,9.368193507692308,1.194787588498077,8.9856615,9.21719,9.33578,1755,8.378042,29.368742,9.06108216980057,1.1765730774993368,8.693274,8.909723,9.028158,1755,0.004992,1.563957,0.18006048015194684,0.17631060295189027,0.02987675,0.155271,0.28539275,10530,0.006289,0.800083,0.09284537084520418,0.08904671821749455,0.01641175,0.0786765,0.1577105,10530,0.03636,12.99189,1.2132024766381768,1.2735974590650914,0.102718,1.15509,1.78077125,10530,0.03636,12.99189,1.2132024766381768,1.2735974590650914,0.102718,1.15509,1.78077125,10530,0.094604,1.018843,0.11818143475783476,0.028791397907034406,0.1053735,0.115482,0.1197295,1755,0.128754,0.906174,0.14713403988603987,0.025614765925459342,0.137807,0.141513,0.146189,1755,23.769181,66.435117,31.259428453561252,4.561765063217629,28.358238,30.640613,33.0545575,1755,14.415819,48.447267,21.267313239886043,4.078392409418733,18.544061,20.713563,22.951704,1755,0.074347,0.267279,0.09005705014245015,0.014350021168126925,0.0829735,0.086192,0.090649,1755,13.557239,47.415263,20.37020098974359,3.9666685006994222,17.7003045,19.818675,22.072284,1755,0.106147,1.208105,0.28675469458689457,0.11955526504332487,0.2173635,0.261755,0.3144585,1755,0.435991,2.009209,0.5179972341880342,0.07166952203579409,0.487553,0.506007,0.532278,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.034127,1.829963,0.106464246,0.12170373021345518,0.05268525,0.091797,0.12249125,1000,0.191122,0.381515,0.21454245000000002,0.023165706126718866,0.1976365,0.203518,0.229156,1000,0.001871,0.022659,0.0026443445,0.0010932408423214668,0.0021,0.002228,0.003061,4000,0.004188,0.031673,0.005298663249999999,0.0015282161541645338,0.004481,0.0046665,0.005874,4000,0.014362,0.064654,0.01730615425,0.0032846054444113887,0.01522175,0.016075,0.018522,4000,0.014362,0.064654,0.01730615425,0.0032846054444113887,0.01522175,0.016075,0.018522,4000,0.02016,0.05933,0.022919336999999998,0.003858722335622375,0.0206635,0.020977,0.02482375,1000,0.02563,0.057804,0.028207268,0.0035215171304674923,0.02616275,0.026539,0.02952225,1000,0.496926,2.546671,0.6047688590000001,0.15661023876591568,0.52401625,0.5623695,0.66814625,1000,0.09044,0.212041,0.105638015,0.016954613364414273,0.09327825,0.0971705,0.116765,1000,0.025655,0.076475,0.029619269,0.005406530832117671,0.0264005,0.027179,0.03192875,1000,0.041031,0.127057,0.048367762,0.00949180047300595,0.04203825,0.0446715,0.05403625,1000,0.00615,0.023072,0.007550072,0.0018451295533961835,0.006431,0.00664,0.008044,1000,0.016369,0.05999,0.019534401000000003,0.004233792988585885,0.0170445,0.017665,0.020958,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.032283,1.773748,0.106484792,0.11957072209984658,0.05266075,0.0919815,0.12383625,1000,0.189366,0.377977,0.21661683799999998,0.024039737214407237,0.197515,0.206802,0.2334235,1000,0.00188,0.021417,0.002686771,0.0011590599531771427,0.002113,0.002228,0.003072,4000,0.00421,0.03152,0.00538090825,0.0015444952003266107,0.004531,0.004733,0.00593425,4000,0.014046,0.058292,0.01744029725,0.003750480801362998,0.015138,0.016142,0.01849525,4000,0.014046,0.058292,0.01744029725,0.003750480801362998,0.015138,0.016142,0.01849525,4000,0.02031,0.051102,0.023278969,0.004299891090950909,0.020816,0.021103,0.024881,1000,0.025382,0.059995,0.028462037,0.004358674907311969,0.026118,0.0265435,0.0295395,1000,0.493238,2.483138,0.609130567,0.1554468637880337,0.52911675,0.5664645,0.66894825,1000,0.09005,0.21491,0.106238712,0.01692422096520416,0.09367125,0.0976545,0.1172515,1000,0.025421,0.073168,0.02971532,0.005405322177409964,0.026356,0.027192,0.0322165,1000,0.040804,0.128371,0.048879511,0.009784346118667256,0.042186,0.0448335,0.05409325,1000,0.006053,0.026796,0.007549986,0.0018350032429954994,0.00634575,0.0068625,0.00810725,1000,0.016448,0.06109,0.019538256,0.0038283182950825815,0.017165,0.0178495,0.0209205,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.03496,1.818968,0.077944507,0.11758338866826364,0.05178475,0.065505,0.07751,1000,0.193175,0.336632,0.20517211100000002,0.015456448650083856,0.19766475,0.200321,0.20476975,1000,0.001942,0.02431,0.002510799,0.0011166300363589547,0.002097,0.002176,0.00293925,4000,0.004186,0.033308,0.005093501750000001,0.001519551242307063,0.004457,0.004585,0.0057935,4000,0.01426,0.088715,0.016586992999999998,0.0030119002650238935,0.01494,0.0156595,0.018191,4000,0.01426,0.088715,0.016586992999999998,0.0030119002650238935,0.01494,0.0156595,0.018191,4000,0.020167,0.065923,0.021435621,0.0030865923280146666,0.020704,0.020864,0.021037,1000,0.025545,0.064998,0.027259782,0.004361177019621652,0.026059,0.0262815,0.02648725,1000,0.513143,2.564633,0.576902251,0.14147203380708145,0.53154175,0.559241,0.5832995,1000,0.102556,0.230583,0.125577719,0.01672989202918055,0.11430725,0.123729,0.13023,1000,0.025536,0.063595,0.02762889,0.004019887920066926,0.0263785,0.026674,0.0270995,1000,0.046378,0.141717,0.049923627,0.007376480258217397,0.0473835,0.0478345,0.048733,1000,0.009419,0.082341,0.028815188999999998,0.009848479164585719,0.02059025,0.0302,0.034788,1000,0.016782,0.060938,0.018676568,0.0037645807609049905,0.01729375,0.0174925,0.01795325,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040173,1.475567,0.08108267999999999,0.09806462944774533,0.071667,0.0746015,0.07532525,1000,0.059088,0.163246,0.07878904399999999,0.010608071421708283,0.07662175,0.0772145,0.0806485,1000,0.002885,0.021207,0.0042123360000000006,0.0012795889414589357,0.00411,0.0041725,0.004224,1000,0.005796,0.026179,0.0078006,0.0014888775073860173,0.00768175,0.0077805,0.007868,1000,0.018176,0.094994,0.02523111,0.004910655389242865,0.02465575,0.0249255,0.0252415,1000,0.018176,0.094994,0.02523111,0.004910655389242865,0.02465575,0.0249255,0.0252415,1000,0.006195,0.031212,0.009397964,0.0020404035553546755,0.009239,0.0093755,0.00958025,1000,0.009869,0.044602,0.012289,0.0021833000105345116,0.012094,0.0121935,0.01229625,1000,0.162614,1.741,0.267876197,0.108747970905724,0.2599145,0.2624825,0.26777125,1000,0.012727,0.085447,0.038857275999999996,0.010355882596274641,0.03961075,0.0400145,0.0412635,1000,0.002047,0.018525,0.003022447,0.0009570196733563004,0.00292575,0.0029865,0.003057,1000,0.007101,0.048503,0.0169091,0.004236027871485267,0.01723,0.0173555,0.01747525,1000,0.001869,0.055795,0.016323383,0.006303734846447065,0.017484,0.017757,0.0179195,1000,0.000977,0.017689,0.001332954,0.0005902638188844036,0.001258,0.001294,0.001335,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.034983,1.551676,0.095177153,0.09881559282670722,0.073612,0.0987765,0.10291075,1000,0.058534,0.144205,0.078584609,0.009782954843712558,0.076302,0.0772815,0.08050025,1000,0.002906,0.022053,0.004199863,0.0011500310579419149,0.00411875,0.0041825,0.004242,1000,0.00585,0.028508,0.0077383090000000005,0.0014329932140519717,0.007617,0.007718,0.00781225,1000,0.018178,0.060999,0.024865003,0.003846973644176809,0.024459,0.0247105,0.025075,1000,0.018178,0.060999,0.024865003,0.003846973644176809,0.024459,0.0247105,0.025075,1000,0.006238,0.034734,0.00934257,0.0020814639802552433,0.00913175,0.0092635,0.009528,1000,0.009691,0.037812,0.012310839,0.0022864787095179784,0.01202,0.012128,0.012224,1000,0.161339,1.821268,0.272294001,0.1096471229680697,0.24800275,0.27796,0.2839105,1000,0.01262,0.108896,0.029023589,0.007468589171328076,0.026462,0.0303805,0.03094375,1000,0.002004,0.0152,0.0030126550000000004,0.0008700178021023478,0.002919,0.002987,0.00305,1000,0.007139,0.07921,0.015815687,0.004437468557300547,0.01549775,0.016246,0.01651625,1000,0.001884,0.037507,0.007611441,0.003028432702326238,0.00616075,0.008672,0.0094255,1000,0.000987,0.014488,0.001310565,0.0006490147454218586,0.00119,0.001253,0.001306,1000,0.0,3.6,1.2,1.3145341380123987,0.0,1.2,1.2,5
FixedProjectiveConstraint,0.008762,0.133257,0.010418716,0.00849529967130907,0.00909,0.009246,0.00952575,1000,1.126436,1.640102,1.160976081,0.031411350828584865,1.143802,1.1526285,1.17094925,1000,0.066847,0.118962,0.06901360000000001,0.005653633534993226,0.06727175,0.067501,0.06789225,1000,0.037782,0.070988,0.038895391,0.0033242046044308104,0.03804075,0.038167,0.03839725,1000,0.014313,0.046787,0.015716949,0.0029252407754574664,0.01485375,0.015066,0.01531425,1000,0.997382,1.463613,1.029029106,0.027307962156828253,1.0145215,1.0230345,1.03969725,1000,0.002734,0.020426,0.003155436,0.0010103439077383501,0.002917,0.002976,0.003041,1000,0.010859,0.037997,0.011574004,0.001776360587263746,0.011145,0.0112555,0.01139,1000,1.164822,1.731448,1.202093089,0.037296489102985005,1.1837515,1.1929995,1.21133775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00028,0.001379,0.000386215,0.00013104842912068805,0.000325,0.00034,0.000371,1000,2.565239,5.12806,2.7105882030000004,0.2792766320400828,2.59871525,2.6379325,2.7048425,1000,0.050947,0.135366,0.057234415999999996,0.011471407911540065,0.0523715,0.0526615,0.05524725,1000,0.043373,0.11476,0.047830726000000004,0.00811513296495652,0.0445465,0.0450795,0.04616575,1000,0.689177,2.202714,0.7300700130000001,0.10755645188980915,0.69594625,0.714336,0.731919,1000,1.767669,3.427524,1.866233786,0.18798334905406436,1.7898675,1.8193315,1.86516025,1000,0.001192,0.011352,0.0015839369999999999,0.0007192557479999725,0.001301,0.0013545,0.001484,1000,0.011889,0.031867,0.013819312,0.0033961205212206472,0.012218,0.0124305,0.0130475,1000,2.589093,5.186389,2.739331072,0.28469732741555337,2.6244105,2.663038,2.7348595,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,6.1,2.92,2.5118917174114013,0.0,3.6,4.9,5
FEMBAR_EigenSimplicialLLT,0.000293,0.001127,0.000352284,7.232994776715934e-05,0.000324,0.000335,0.00035,1000,2.608037,5.195632,2.693790893,0.2010781011900539,2.63524975,2.6585025,2.6880005,1000,0.051816,0.120845,0.054407893,0.006475639581504748,0.0523205,0.052565,0.05294825,1000,0.043952,0.082203,0.045794033000000005,0.004544479034599125,0.04440375,0.0446545,0.0448885,1000,0.68881,2.06059,0.719106868,0.09194876987640768,0.6969455,0.7041505,0.72052525,1000,1.811483,3.033423,1.866621863,0.1212237286042969,1.82309975,1.8418215,1.8625155,1000,0.001151,0.004485,0.001350601,0.00026374911904876577,0.001252,0.001298,0.001357,1000,0.011816,0.0384,0.012650324000000001,0.002194048831959763,0.012083,0.012205,0.01236,1000,2.631665,5.272088,2.7195971,0.20438293476860536,2.65974125,2.683588,2.71326475,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
