SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.325011,0.432008,0.35073985882352937,0.021545661864152212,0.333467,0.343585,0.3607175,255,11.997596,13.8632,12.568731419607841,0.2991348267005385,12.4591385,12.574342,12.682292,255,0.283573,0.404852,0.3009906705882353,0.019160387122489065,0.286694,0.295033,0.308284,255,0.135514,0.215751,0.14970329019607842,0.017561068157977165,0.1373825,0.138432,0.168995,255,3.863881,4.23519,3.948431031372549,0.056624454270520874,3.905234,3.947171,3.9800885,255,3.863881,4.23519,3.948431031372549,0.056624454270520874,3.905234,3.947171,3.9800885,255,0.022587,0.057147,0.025299827450980392,0.0028032464305906093,0.0237735,0.024272,0.027048,255,0.053514,0.094676,0.05697787450980392,0.004263681051596426,0.055134,0.055978,0.057984,255,40.216115,50.711038,47.56546378039216,1.7463086829073173,47.8120645,48.180423,48.3352005,255,27.176915,37.442599,34.45950410588235,1.7950525717974817,35.066864,35.140331,35.231556,255,0.01958,0.031673,0.021309282352941175,0.0013029247486593283,0.0206125,0.021043,0.021595,255,21.76211,23.642464,21.939704070588235,0.12588249097656753,21.894085,21.926789,21.9625755,255,4.917375,13.327736,12.091489760784313,1.7842665631676076,12.746186,12.796385,12.8679235,255,0.384163,0.526201,0.40449307450980393,0.02213214133049217,0.394266,0.397475,0.404421,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,11.988153,26.245462,13.362702313390313,0.49955416519848056,13.126455,13.319672,13.415496,1755,11.635698,25.392597,13.018067422792024,0.48721771869637426,12.781441,12.969354,13.062779,1755,0.008328,1.116861,0.25435103865147196,0.22635344439554522,0.05377,0.291747,0.40186825,10530,0.007864,0.501194,0.1083232878442545,0.08802529174522383,0.023097,0.111971,0.1881035,10530,0.101341,8.815501,1.8697454775878442,1.9043873444000206,0.17320675,1.205165,2.68774675,10530,0.101341,8.815501,1.8697454775878442,1.9043873444000206,0.17320675,1.205165,2.68774675,10530,0.092201,0.350981,0.11593657037037038,0.01690585268818357,0.1016305,0.116073,0.1200505,1755,0.135804,0.461461,0.15243369914529914,0.016455338952361988,0.142297,0.148223,0.151439,1755,23.857362,56.829098,29.090827992022795,2.533575733467369,27.278733,28.973728,30.8653105,1755,10.276162,29.667662,15.10411530883191,2.4149496357616673,13.356603,14.897186,16.8884625,1755,0.074797,0.28345,0.08999871623931624,0.01336842240114922,0.0823835,0.087307,0.0906225,1755,9.503221,28.39408,14.24484702849003,2.322691504325141,12.5673235,14.05165,15.9908425,1755,0.103824,1.478142,0.2797136717948718,0.11202109421897001,0.215371,0.256544,0.3128285,1755,0.412821,1.850528,0.4872869225071225,0.04384350376796481,0.4654435,0.484418,0.5078345,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.030101,1.734472,0.099063453,0.12916113234260448,0.04310675,0.080497,0.11203375,1000,0.274294,1.866617,0.313972864,0.10972645374593813,0.28423525,0.290818,0.31994,1000,0.001267,0.030814,0.00205086925,0.0011910055640736686,0.00153275,0.0017225,0.002366,4000,0.002935,0.027524,0.0040132069999999995,0.0017311364117685816,0.003282,0.003505,0.004375,4000,0.020892,0.169433,0.0251738615,0.009200909291929672,0.0219915,0.023505,0.02565325,4000,0.020892,0.169433,0.0251738615,0.009200909291929672,0.0219915,0.023505,0.02565325,4000,0.020587,0.147334,0.023941618999999997,0.009196888495564085,0.02111475,0.0213975,0.024849,1000,0.026365,0.185367,0.029496852,0.010256469183598026,0.02691775,0.0272185,0.02963075,1000,0.575891,4.249452,0.7103080119999999,0.2929308076575522,0.596524,0.6387675,0.74955175,1000,0.091807,0.668929,0.10977155599999999,0.042786369451717494,0.09438575,0.098112,0.11516525,1000,0.025534,0.198628,0.030518125,0.012333538890982385,0.026449,0.0270825,0.03158075,1000,0.041652,0.326897,0.050480298,0.02067127717368223,0.04274775,0.0448635,0.05293775,1000,0.006218,0.047713,0.007816553,0.0032600643329834767,0.006457,0.006628,0.008083,1000,0.016901,0.11865,0.020343322,0.007587827333586076,0.01749875,0.017926,0.0212345,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.028477,1.703575,0.094911013,0.11895719501669846,0.0430675,0.0824355,0.11086775,1000,0.271776,0.425666,0.303849134,0.02576074243258614,0.2847875,0.2908025,0.3219345,1000,0.001226,0.014294,0.0019228042499999998,0.0007984516678747296,0.00149975,0.0016825,0.002282,4000,0.002899,0.026125,0.00389359975,0.0009674924098151558,0.00332275,0.0035455,0.004407,4000,0.021042,0.079465,0.024421388500000002,0.003453017234907429,0.02211875,0.02359,0.025566,4000,0.021042,0.079465,0.024421388500000002,0.003453017234907429,0.02211875,0.02359,0.025566,4000,0.020763,0.071906,0.023345753,0.0033823495951765545,0.02121075,0.0214915,0.0251725,1000,0.026213,0.06457,0.028367848999999997,0.0030380420619535533,0.02675575,0.0270425,0.02949475,1000,0.574887,2.524578,0.685817602,0.156252626838769,0.59481075,0.639867,0.754089,1000,0.09171,0.205106,0.106227934,0.016140496511930606,0.094795,0.098549,0.11623325,1000,0.025558,0.077012,0.029265104,0.004906818205638354,0.02625,0.0269155,0.03133925,1000,0.04192,0.121704,0.049071012000000004,0.009317633050397293,0.04297,0.0449205,0.054282,1000,0.006067,0.017188,0.007545187,0.0016187433885675026,0.00636375,0.006933,0.0081065,1000,0.016971,0.056582,0.019758049,0.003186216185791385,0.01764375,0.018141,0.0213165,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.022496,1.653275,0.066544528,0.1153149911532981,0.04170675,0.0539575,0.0672565,1000,0.272192,0.411486,0.29322894,0.015826581181367,0.2850485,0.289431,0.293936,1000,0.00125,0.017056,0.001872855,0.0006967594434056851,0.001545,0.0016725,0.00228225,4000,0.002972,0.024304,0.003759682,0.0009298186741919092,0.003312,0.003468,0.00430625,4000,0.02097,0.060879,0.02359137425,0.0027508683152210212,0.021907,0.023237,0.02411425,4000,0.02097,0.060879,0.02359137425,0.0027508683152210212,0.021907,0.023237,0.02411425,4000,0.020685,0.059321,0.021666459,0.001996747603058283,0.021148,0.0213225,0.02149725,1000,0.026212,0.053054,0.027331555,0.00205854276491284,0.02671275,0.0268355,0.026983,1000,0.593912,2.477324,0.65722651,0.1381362430724026,0.6143695,0.641743,0.66098625,1000,0.102868,0.212958,0.127073754,0.015599819817083914,0.11607825,0.1257045,0.1323665,1000,0.025679,0.070831,0.027726156,0.003462773683864425,0.026552,0.026948,0.02738275,1000,0.047229,0.106997,0.050470185,0.006095012437786734,0.04841175,0.048803,0.0494545,1000,0.009353,0.081095,0.029385669000000003,0.010145362064975256,0.02093675,0.0307355,0.03556075,1000,0.017409,0.048562,0.01889741,0.002360937056742513,0.01786475,0.0180545,0.01845725,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037895,1.449838,0.07987897100000001,0.09665582516667147,0.0721745,0.0744615,0.07598675,1000,0.08134,0.16723,0.10769052,0.010226133083116021,0.10546375,0.108323,0.10974425,1000,0.002212,0.02186,0.003255236,0.0012008412827280712,0.003073,0.003149,0.003225,1000,0.004411,0.02315,0.005824462999999999,0.0012001234672445165,0.00567675,0.005757,0.005849,1000,0.024883,0.065836,0.033786012000000004,0.004188901229183615,0.03263475,0.033216,0.035542,1000,0.024883,0.065836,0.033786012000000004,0.004188901229183615,0.03263475,0.033216,0.035542,1000,0.006475,0.031818,0.009568015,0.001446165943719807,0.009603,0.009712,0.009811,1000,0.010255,0.026651,0.012554346,0.0013154397767606088,0.012431,0.0125415,0.01264025,1000,0.184793,1.75325,0.297028234,0.10692374130125286,0.29188225,0.2951145,0.2993005,1000,0.013128,0.091321,0.039624783999999996,0.010229036312055207,0.0406245,0.041138,0.04196925,1000,0.002169,0.017389,0.003218478,0.0008962040959044988,0.00308,0.003145,0.003217,1000,0.007241,0.042685,0.017501782,0.004232015485613917,0.0175465,0.017757,0.017974,1000,0.001922,0.062612,0.016940319,0.0063515142734027604,0.01809525,0.0183325,0.018536,1000,0.00102,0.007067,0.0014436990000000001,0.0005590633026760028,0.001319,0.001356,0.001392,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.037191,1.470817,0.093851455,0.09679722485847399,0.0728975,0.099936,0.10274375,1000,0.080537,0.188094,0.106878632,0.011019632571123957,0.104869,0.107518,0.1090495,1000,0.00215,0.013476,0.003131791,0.000971320579066973,0.002981,0.003047,0.003113,1000,0.004371,0.015987,0.005720021,0.0009891565854600575,0.005612,0.005694,0.00576825,1000,0.024831,0.079218,0.033689418,0.0045074519608395164,0.032664,0.0331195,0.03545375,1000,0.024831,0.079218,0.033689418,0.0045074519608395164,0.032664,0.0331195,0.03545375,1000,0.006331,0.030314,0.009515094,0.001629944597575022,0.00946675,0.009594,0.00971525,1000,0.010164,0.043006,0.012699374,0.0024512963403317844,0.012358,0.0124855,0.012597,1000,0.183813,1.787894,0.299576547,0.10799925730650092,0.2779415,0.308757,0.31498325,1000,0.013141,0.065036,0.029490403999999998,0.006722450068746067,0.0272495,0.031739,0.0322185,1000,0.002205,0.013041,0.0031616260000000003,0.0006211532002042652,0.003065,0.003131,0.00319925,1000,0.007219,0.042161,0.016037620000000002,0.003706042259553984,0.01570125,0.016461,0.016731,1000,0.001941,0.036243,0.008360326999999999,0.003185855992676223,0.00655475,0.010042,0.01049225,1000,0.001043,0.009871,0.001421133,0.0005905864249294933,0.00126275,0.0013255,0.001381,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006377,0.139892,0.008025129,0.008894241408032447,0.006711,0.0068355,0.007041,1000,1.145711,1.323723,1.178795243,0.03694763622366052,1.15405575,1.1578105,1.1997885,1000,0.066739,0.128885,0.068049007,0.0039032130691202347,0.067099,0.0672735,0.067466,1000,0.036808,0.069549,0.037943803,0.0025463152055845324,0.03730175,0.037505,0.0376905,1000,0.021306,0.046253,0.023106770000000002,0.0020091399217326803,0.021927,0.0222875,0.024306,1000,0.996367,1.145611,1.0259753980000001,0.03571134805416334,1.00298925,1.005814,1.0455335,1000,0.002821,0.019332,0.003192243,0.0009813329230954192,0.002973,0.0030185,0.00307,1000,0.011217,0.031105,0.011758395,0.0011168746737996167,0.0114735,0.011593,0.01171025,1000,1.182277,1.523306,1.217679943,0.04090641351431033,1.19140825,1.1956285,1.237837,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FEMBAR_EigenSimplicialLDLT,0.000287,0.003471,0.00036507799999999996,0.00011043142630610183,0.000338,0.000353,0.000371,1000,2.517677,4.996303,2.576579699,0.18362871252425747,2.5347095,2.542047,2.5739025,1000,0.051698,0.100948,0.052963888,0.0036683901225818393,0.052052,0.052212,0.0524475,1000,0.044199,0.097542,0.045335873,0.0031866487250512884,0.044556,0.0447115,0.044912,1000,0.698477,2.135764,0.717824205,0.0966278496585688,0.70351575,0.7057425,0.7087565,1000,1.695122,2.680831,1.7364554159999999,0.10043758141494122,1.708518,1.71275,1.73629325,1000,0.001195,0.012265,0.001410607,0.0003713717901927932,0.00133475,0.001382,0.001434,1000,0.01276,0.030988,0.013374775,0.0011484207845450204,0.013044,0.0132075,0.013383,1000,2.542074,5.056222,2.603109132,0.18600982400853072,2.56100125,2.5688015,2.599965,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000299,0.000849,0.000358041,4.6567642403282564e-05,0.000337,0.000351,0.000366,1000,2.622578,4.927901,2.703631649,0.17699882572701378,2.660101,2.678008,2.70125225,1000,0.051488,0.099283,0.054050406,0.0038997559284093663,0.05196375,0.0525765,0.05612225,1000,0.043956,0.077525,0.045689367,0.003013069710164536,0.044458,0.044725,0.046579,1000,0.698995,1.918997,0.718485343,0.08373273876737433,0.705303,0.708333,0.71126625,1000,1.793196,2.871077,1.861497977,0.10679140910168979,1.821992,1.845483,1.86384875,1000,0.001155,0.013139,0.001404611,0.0005808663612906156,0.00131,0.001359,0.001411,1000,0.012598,0.031119,0.013307280000000001,0.0012251997525301742,0.012938,0.013072,0.01322,1000,2.648203,5.02718,2.73003013,0.17999261613569348,2.685677,2.7046975,2.727106,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
