SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.323457,0.400867,0.3411542,0.013361788945449824,0.332744,0.337704,0.346043,255,11.861535,13.110638,12.315565466666667,0.23396196837650698,12.230672,12.331405,12.407972,255,0.285969,0.397936,0.29798745490196077,0.014293296229726414,0.288829,0.293808,0.303185,255,0.136235,0.207725,0.14893906274509805,0.015900457800413475,0.1384425,0.139351,0.1596135,255,3.867296,4.170958,3.959099564705882,0.07439079362338058,3.8953155,3.943985,4.0110195,255,3.867296,4.170958,3.959099564705882,0.07439079362338058,3.8953155,3.943985,4.0110195,255,0.025579,0.041817,0.02753343529411765,0.001570454652143958,0.026646,0.027217,0.027956,255,0.051572,0.084562,0.05498522745098039,0.0032443379957425816,0.053609,0.054285,0.0557185,255,40.047074,51.731916,47.31356692941176,1.7778478245228257,47.608619,47.950175,48.107225,255,27.214958,39.302859,34.46753429803921,1.8122763551136405,35.0459525,35.154967,35.242663,255,0.020764,0.030901,0.02240672156862745,0.0012154135054139547,0.0218515,0.022212,0.022591,255,21.778591,25.959306,21.927748807843138,0.2621262849369767,21.866288,21.900053,21.9367585,255,4.913385,13.476164,12.101432596078432,1.7857909496138806,12.745378,12.824641,12.8749415,255,0.395349,0.51569,0.41393609411764704,0.01562761294352757,0.4043785,0.409975,0.418122,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,11.85956,28.127171,13.256326547578348,0.6967991063505833,12.943941,13.111514,13.3298185,1755,11.549935,27.364876,12.917733564102564,0.687192488205494,12.6135055,12.774761,12.9820445,1755,0.008612,1.838287,0.25493309040835704,0.2268471137152735,0.051293,0.299333,0.4105145,10530,0.010128,1.16296,0.1013664289648623,0.08111128704824226,0.02720775,0.0972055,0.16900125,10530,0.080672,9.23561,1.8633142437796772,1.9062012690086716,0.16610275,1.14016,2.67415775,10530,0.080672,9.23561,1.8633142437796772,1.9062012690086716,0.16610275,1.14016,2.67415775,10530,0.092898,0.198359,0.10830588774928775,0.014171487202151126,0.099071,0.101543,0.1141385,1755,0.131167,0.352096,0.14428527464387464,0.0153309453010291,0.135358,0.137386,0.1450855,1755,23.320425,60.34188,28.931086626210828,2.5618380832479692,27.15158,28.782433,30.7066725,1755,10.330303,31.439124,15.089629513390314,2.3959963034296496,13.3525865,15.004713,16.845887,1755,0.073421,0.231448,0.08647371168091168,0.012364703193406287,0.0801615,0.082556,0.086847,1755,9.500619,30.158577,14.220881877492877,2.306048367559668,12.524805,14.144341,15.9506235,1755,0.103942,0.660021,0.2668335532763533,0.10793892655906104,0.203292,0.242547,0.2952465,1755,0.436898,0.887297,0.5129779544159544,0.033596172518113844,0.4893455,0.511281,0.5343135,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.026789,1.642706,0.090530228,0.11819418942804259,0.0383315,0.076883,0.10655425,1000,0.193455,0.354433,0.21583639799999998,0.021236201086719725,0.20061925,0.2057865,0.230767,1000,0.00204,0.019398,0.0027424899999999998,0.0009105380331979549,0.002217,0.00237,0.003127,4000,0.004237,0.028614,0.00529321875,0.001388583855011442,0.004474,0.0046705,0.00591525,4000,0.014963,0.051961,0.01773295775,0.0026971701900260093,0.015881,0.016717,0.0188355,4000,0.014963,0.051961,0.01773295775,0.0026971701900260093,0.015881,0.016717,0.0188355,4000,0.020587,0.044194,0.022960431,0.0029974929343101046,0.02094775,0.021195,0.0248685,1000,0.025882,0.063498,0.028022258999999997,0.0028709606461808216,0.026382,0.0266885,0.0293245,1000,0.487384,2.405169,0.591337105,0.1524746389703218,0.50595425,0.550061,0.657249,1000,0.090746,0.227749,0.10586072,0.01615262844937628,0.0941155,0.0977705,0.117498,1000,0.025564,0.064365,0.029523367999999998,0.004566597485500118,0.02654875,0.0273095,0.03199975,1000,0.041064,0.13972,0.048281252999999996,0.00901818090309742,0.04232025,0.044529,0.0538785,1000,0.006304,0.062155,0.007617463,0.0024292124762216663,0.00651,0.006659,0.00815725,1000,0.016574,0.052384,0.019868985000000002,0.0036662789207553476,0.017505,0.0181105,0.0215615,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.018525,1.707995,0.090794934,0.11987951191975901,0.038541,0.0771395,0.10717275,1000,0.194292,0.346061,0.216034801,0.020998483741151385,0.2003195,0.205639,0.23092425,1000,0.002019,0.025234,0.0027517305,0.0008903618830957163,0.002237,0.00237,0.00314225,4000,0.004264,0.036162,0.005351458,0.0014000437731499684,0.004531,0.004705,0.005957,4000,0.015035,0.047055,0.0176539205,0.0026122688641638235,0.01576075,0.0166355,0.018858,4000,0.015035,0.047055,0.0176539205,0.0026122688641638235,0.01576075,0.0166355,0.018858,4000,0.020439,0.056794,0.02297397,0.0033330356333378737,0.02086975,0.021077,0.02466,1000,0.025922,0.050057,0.028136223000000002,0.0025398492764868944,0.026403,0.026796,0.029718,1000,0.486404,2.43384,0.59194005,0.1535331533558257,0.50355425,0.550753,0.6560275,1000,0.090723,0.231904,0.105729554,0.015805739874775997,0.09413275,0.0983835,0.1165545,1000,0.025403,0.059369,0.029673777,0.004561771914428757,0.02666275,0.0276105,0.03207925,1000,0.041083,0.125695,0.048216038,0.00866935662402672,0.04223275,0.0450475,0.053672,1000,0.006096,0.030906,0.0075600680000000005,0.0019034848046086423,0.0063605,0.0068565,0.008073,1000,0.016555,0.055753,0.019722737,0.0032028506155971437,0.0173435,0.0181695,0.02135525,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.029807,1.838645,0.063386341,0.12240644501407888,0.037506,0.051054,0.06244925,1000,0.195017,0.308631,0.206656852,0.013117986645064706,0.20055525,0.2033995,0.2068785,1000,0.002102,0.020208,0.00260401975,0.0008192994296104067,0.002236,0.002316,0.00307025,4000,0.00421,0.02227,0.0050638014999999995,0.0011457403953766098,0.004476,0.0046005,0.00586325,4000,0.014968,0.043492,0.01697004475,0.00215146279685414,0.01560275,0.0162845,0.01830125,4000,0.014968,0.043492,0.01697004475,0.00215146279685414,0.01560275,0.0162845,0.01830125,4000,0.020502,0.037012,0.021386312,0.0015183258387632085,0.020853,0.0210205,0.02121525,1000,0.025876,0.061997,0.027208689999999997,0.002207516291196964,0.026374,0.026567,0.0267795,1000,0.505344,2.568122,0.5644012439999999,0.14501691260474578,0.52149325,0.5495945,0.56586,1000,0.10279,0.250146,0.125625629,0.016076159990164287,0.114904,0.1245215,0.13088275,1000,0.025481,0.065805,0.027337135999999998,0.0030938879164417064,0.026368,0.0266975,0.02710225,1000,0.046669,0.109987,0.049763841999999996,0.006337868993047742,0.047491,0.047967,0.049015,1000,0.00931,0.095957,0.029378765,0.01025785243936444,0.020995,0.03082,0.035345,1000,0.017073,0.044048,0.018591105,0.0026915010607419425,0.01748275,0.0176725,0.01811625,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031957,1.491044,0.075501702,0.09906231755626958,0.0686855,0.069427,0.07055775,1000,0.060649,0.155758,0.078143671,0.008320766184117843,0.07746875,0.0779215,0.07875175,1000,0.003127,0.021825,0.004301525,0.0010022144368222801,0.004223,0.00429,0.00437225,1000,0.005987,0.028092,0.00793818,0.0013438744180912145,0.00781275,0.0079095,0.008018,1000,0.01868,0.050547,0.024877034,0.0029896802843856064,0.0247435,0.024936,0.02513025,1000,0.01868,0.050547,0.024877034,0.0029896802843856064,0.0247435,0.024936,0.02513025,1000,0.006448,0.020409,0.009602775,0.0013542376971473658,0.009613,0.009742,0.00987225,1000,0.010119,0.0348,0.012271111999999999,0.0015556967350534615,0.012117,0.012238,0.01235525,1000,0.159166,1.765839,0.26189982500000003,0.10875574689465552,0.256939,0.2594415,0.26270675,1000,0.012815,0.084356,0.038899537,0.0101339944238504,0.03994025,0.040297,0.0410875,1000,0.002084,0.011983,0.003088009,0.0005758683677013351,0.003029,0.00309,0.003157,1000,0.007266,0.050518,0.017148884,0.004330581168682097,0.01720075,0.0173665,0.0175305,1000,0.001913,0.061281,0.016445737000000002,0.006248106025495325,0.017704,0.017916,0.018054,1000,0.00095,0.010859,0.001494146,0.0006300046814778443,0.001382,0.001421,0.00145625,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031629,1.43033,0.092295559,0.09566115749513238,0.06950925,0.096935,0.0994155,1000,0.060346,0.142572,0.078804007,0.009421645923454722,0.0770885,0.0779805,0.07973325,1000,0.003071,0.022016,0.004298931,0.001065983363021675,0.004222,0.00428,0.004343,1000,0.00601,0.033141,0.007941163,0.0017722498329611994,0.00772275,0.0078685,0.007991,1000,0.018661,0.05893,0.025179727,0.003954589055827545,0.024738,0.02504,0.02529925,1000,0.018661,0.05893,0.025179727,0.003954589055827545,0.024738,0.02504,0.02529925,1000,0.006421,0.036638,0.009618431,0.0015991460087305973,0.00959,0.0097225,0.009875,1000,0.010131,0.036914,0.01226247,0.001555546787178065,0.012102,0.0122315,0.01236,1000,0.158196,1.693122,0.26965182,0.10617144516840485,0.24589075,0.276233,0.28405125,1000,0.012697,0.082172,0.029214478,0.006731892185672317,0.02696075,0.031053,0.031677,1000,0.001932,0.013667,0.003136698,0.0006345354700850064,0.00304275,0.003133,0.00322325,1000,0.007241,0.060874,0.016051426,0.003998321684972834,0.01562575,0.016395,0.01664,1000,0.001898,0.018984,0.007847277,0.002766661500124473,0.00632175,0.0094865,0.00984225,1000,0.00094,0.007148,0.001460377,0.0005929287671137233,0.00131675,0.0013885,0.001447,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.00512,0.137147,0.00628675,0.008750669213465906,0.00535875,0.0054725,0.00568025,1000,1.113456,2.038953,1.141594238,0.05659781259053529,1.12639475,1.1291565,1.1369435,1000,0.067145,0.132545,0.068935444,0.005950976075810086,0.06748175,0.067661,0.06782825,1000,0.037349,0.079538,0.038760328000000004,0.003932636675872308,0.03774775,0.037941,0.038193,1000,0.015135,0.052329,0.016068441,0.0023744773211212193,0.0155115,0.0156665,0.01584925,1000,0.98405,1.798633,1.009780116,0.0499709252884169,0.9972905,0.9993315,1.00242425,1000,0.002697,0.011975,0.003037663,0.0005048480201318016,0.00290875,0.002979,0.00304825,1000,0.010925,0.034017,0.011556769,0.001531798393927543,0.01115575,0.0112805,0.01149075,1000,1.148448,2.101112,1.179705223,0.061177886618379286,1.16230125,1.165757,1.17601,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000298,0.003001,0.00035936700000000003,9.403737720183394e-05,0.000338,0.00035,0.000363,1000,2.503259,5.068676,2.566624483,0.19048935446278278,2.516066,2.5370175,2.56952925,1000,0.05113,0.105179,0.054442594,0.004504588339589313,0.05212175,0.0531205,0.05619225,1000,0.043214,0.079291,0.045941638,0.0028773371833964822,0.04481675,0.0452285,0.047222,1000,0.687073,2.191963,0.7099013519999999,0.09872646679994224,0.6931275,0.696202,0.710437,1000,1.705442,2.719728,1.748702706,0.10624575740168435,1.715178,1.724798,1.7479295,1000,0.001241,0.011491,0.0014432829999999998,0.00037056375013079734,0.00136,0.001402,0.001456,1000,0.011686,0.030053,0.012395844999999999,0.0010569213078441553,0.012131,0.01226,0.01241325,1000,2.52714,5.12707,2.592192136,0.19277818354383752,2.5409175,2.5621135,2.5955635,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000315,0.001027,0.00039205,6.66166157951603e-05,0.00035175,0.000369,0.000425,1000,2.613483,4.926529,2.666379654,0.1781644419417418,2.62479975,2.638612,2.660488,1000,0.051988,0.096246,0.053398167,0.003495740726814705,0.0524175,0.052622,0.05302725,1000,0.044423,0.093827,0.045540275,0.0032476954877843764,0.04479175,0.044934,0.04514925,1000,0.686846,1.971087,0.707215922,0.0865198443428669,0.69203575,0.694523,0.7087085,1000,1.818245,2.883293,1.852814752,0.10484185569190625,1.825526,1.8289455,1.8468945,1000,0.001226,0.003851,0.0014119559999999998,0.00017042094960420797,0.00135175,0.001388,0.00143125,1000,0.011836,0.033955,0.012466042,0.001364572939873864,0.01211,0.0122715,0.012453,1000,2.637094,4.982239,2.692025047,0.1803889982152204,2.64984775,2.663422,2.68642375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
