SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.319481,0.416841,0.33520491764705884,0.01394752734109071,0.3267185,0.331204,0.3390345,255,11.763781,13.98845,12.235945725490195,0.2895076697250058,12.0776695,12.246133,12.3223875,255,0.284426,0.355792,0.29675364313725494,0.013588546094373875,0.2875725,0.290437,0.3020075,255,0.137496,0.224004,0.14937344705882355,0.016774650688281528,0.138956,0.139932,0.1563075,255,3.592181,4.13794,3.6632693568627452,0.05999322183754695,3.6303525,3.652813,3.6832205,255,3.592181,4.13794,3.6632693568627452,0.05999322183754695,3.6303525,3.652813,3.6832205,255,0.025174,0.045498,0.02718979607843137,0.001974030924719602,0.02613,0.026552,0.027732,255,0.051678,0.081406,0.054208427450980395,0.003979704007324302,0.0525445,0.053057,0.054694,255,40.080329,55.389348,47.354087670588235,1.9412774345403578,47.4978135,47.862364,48.0157035,255,27.285312,41.870461,34.596946964705886,1.9356760799554944,35.03846,35.155333,35.299184,255,0.020778,0.03554,0.022740023529411766,0.0018952178309886562,0.0217685,0.022266,0.023189,255,21.748617,28.534228,22.06536350980392,0.6203811752155811,21.9099205,21.953689,22.0389245,255,4.853291,14.794119,12.09406768627451,1.793185542263216,12.710347,12.782995,12.850246,255,0.396338,0.502404,0.41287638823529416,0.01628388173390433,0.403653,0.408381,0.415508,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,9.102721,14.127086,9.460315315669517,0.2803301839720136,9.2877225,9.391872,9.571167,1755,8.851669,13.808084,9.167505327065527,0.277930240815613,8.9980585,9.095326,9.277596,1755,0.004771,0.590994,0.17159568024691357,0.16624324692129283,0.02981025,0.121127,0.268907,10530,0.006135,0.294218,0.07728141642924975,0.07346823039344584,0.0156395,0.061455,0.10574575,10530,0.037196,5.599649,1.1529829889838557,1.1875963055390344,0.094936,0.8894655,1.7020395,10530,0.037196,5.599649,1.1529829889838557,1.1875963055390344,0.094936,0.8894655,1.7020395,10530,0.093746,0.203213,0.10982115726495727,0.013402765947995554,0.099853,0.104153,0.116636,1755,0.128777,0.227751,0.14179910256410255,0.012373841361502219,0.1339865,0.137971,0.143364,1755,24.390618,41.347423,31.18630994017094,3.6660164820611763,28.7319065,30.726524,33.0077815,1755,14.517907,31.268234,21.143333727065524,3.6328587486421826,18.705144,20.687352,22.934472,1755,0.074057,0.16184,0.08528145299145298,0.009569779585945211,0.0804055,0.082872,0.086351,1755,13.745868,30.423916,20.29203183988604,3.54226700060474,17.895457,19.861943,22.0754375,1755,0.106282,0.681026,0.2663035527065527,0.10625365877207406,0.2060465,0.241477,0.2939325,1755,0.438435,0.748036,0.497375954985755,0.029457269585043876,0.477833,0.492782,0.513005,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.03233,1.753448,0.09068727800000001,0.12132963671605018,0.0376265,0.0755965,0.107108,1000,0.196411,0.371286,0.220371439,0.021930824837937103,0.20410175,0.210673,0.2359445,1000,0.001971,0.019758,0.00270146225,0.0009818134576257027,0.002182,0.002308,0.00310325,4000,0.004213,0.024421,0.00530836225,0.001247635366413175,0.004539,0.0047415,0.00590325,4000,0.015005,0.056925,0.018227537749999998,0.0027175170730052347,0.0162815,0.017335,0.01960675,4000,0.015005,0.056925,0.018227537749999998,0.0027175170730052347,0.0162815,0.017335,0.01960675,4000,0.020022,0.047218,0.022580715,0.0032342303331356907,0.02053675,0.0207665,0.02442225,1000,0.02585,0.054837,0.028073307000000002,0.0027866823620123983,0.026469,0.0267925,0.029332,1000,0.488702,2.456343,0.594398154,0.15418319234209768,0.507881,0.5545115,0.65574875,1000,0.090258,0.194423,0.10527217600000001,0.015712528159307272,0.093988,0.097428,0.1160275,1000,0.02519,0.062484,0.029365969000000002,0.004644058183963569,0.02626975,0.0273525,0.03189525,1000,0.041353,0.112571,0.048409202,0.008596775739496524,0.04253575,0.0450435,0.053352,1000,0.006275,0.028304,0.0075551360000000005,0.001803862382085729,0.00648075,0.0066775,0.00808025,1000,0.01637,0.056209,0.019407885,0.0033264575102915413,0.01720275,0.0177655,0.0209195,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.020616,1.643613,0.090614583,0.11733637575074965,0.03823575,0.0763295,0.10752975,1000,0.194314,0.325054,0.21755254300000001,0.020489817087474233,0.2020585,0.20717,0.23316475,1000,0.001916,0.022812,0.00265541125,0.0009552754197735005,0.002132,0.002269,0.00306,4000,0.004083,0.020002,0.0052047725,0.0012359232169693027,0.004435,0.004624,0.005809,4000,0.015022,0.043917,0.018133879000000002,0.0025750679971330856,0.0161435,0.0172275,0.019518,4000,0.015022,0.043917,0.018133879000000002,0.0025750679971330856,0.0161435,0.0172275,0.019518,4000,0.019955,0.054117,0.022632339,0.0030806348290699755,0.0205415,0.0208215,0.024499,1000,0.025736,0.056145,0.027850824,0.002525797127843802,0.02628575,0.0265725,0.029239,1000,0.48625,2.343127,0.590249243,0.149966065546196,0.50336275,0.5476755,0.653803,1000,0.089739,0.199977,0.104805635,0.01593963719875001,0.093078,0.0967555,0.11656225,1000,0.025283,0.070547,0.029113991000000002,0.004789224772854058,0.02605875,0.0267615,0.03189475,1000,0.041131,0.110446,0.048233985,0.00881001904224815,0.042176,0.044583,0.05350775,1000,0.006054,0.034287,0.007530939,0.0018832859186217583,0.00638675,0.0068415,0.00801225,1000,0.016237,0.04616,0.019362699,0.0031114161740916305,0.01706975,0.0177095,0.0210765,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.020422,1.626689,0.06254443,0.11487778848583002,0.03730875,0.050313,0.062038,1000,0.195633,0.312619,0.206326752,0.012175269799577174,0.2005365,0.2033255,0.20649975,1000,0.001938,0.013422,0.00245774125,0.0007164394557800663,0.002095,0.002173,0.002957,4000,0.004109,0.022292,0.00492685225,0.0010859444805881825,0.00435375,0.004485,0.005691,4000,0.0149,0.056177,0.017361119999999997,0.0023657952010053616,0.015809,0.0166175,0.01908925,4000,0.0149,0.056177,0.017361119999999997,0.0023657952010053616,0.015809,0.0166175,0.01908925,4000,0.020057,0.040287,0.020940736,0.0016166308268445212,0.02045075,0.020587,0.02073225,1000,0.025779,0.064416,0.027415162,0.0028181920228678528,0.0265,0.0266725,0.02688525,1000,0.502998,2.364301,0.562660247,0.13728292285280058,0.520012,0.54731,0.56516675,1000,0.1024,0.221111,0.125186142,0.015577187027953281,0.11424225,0.124094,0.13055575,1000,0.025045,0.078379,0.026927264,0.003256622488761017,0.025905,0.026179,0.02654,1000,0.046716,0.110237,0.04990671,0.005944917037596067,0.04770075,0.0482575,0.04927275,1000,0.009388,0.066604,0.029431159,0.010056676940606126,0.0209805,0.0307675,0.03550425,1000,0.016791,0.038211,0.018385589,0.0023836359483106894,0.01733,0.017537,0.017993,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031894,1.438663,0.075626707,0.09487586957062977,0.06920975,0.0698545,0.071186,1000,0.060344,0.145614,0.078764204,0.008370560973936216,0.078016,0.078499,0.0793165,1000,0.00299,0.01999,0.004264896,0.0008916295201393906,0.0042,0.004276,0.004347,1000,0.00582,0.031104,0.0076696130000000005,0.001377619619935416,0.00757975,0.007659,0.00774425,1000,0.019122,0.060168,0.026017369999999998,0.0037778090027289625,0.02579875,0.0260365,0.02627025,1000,0.019122,0.060168,0.026017369999999998,0.0037778090027289625,0.02579875,0.0260365,0.02627025,1000,0.006206,0.030258,0.009436933000000002,0.0017284498576791286,0.009337,0.0095015,0.00972,1000,0.010134,0.033494,0.012348221,0.0015736782142989083,0.012203,0.012341,0.01245325,1000,0.158558,1.695709,0.261978748,0.10459494296860865,0.257061,0.260195,0.26331325,1000,0.012798,0.090184,0.039044415,0.009806993877676022,0.040155,0.04067,0.041482,1000,0.001947,0.020937,0.003076516,0.000961360794782063,0.002945,0.003033,0.003123,1000,0.00724,0.041733,0.017379369,0.003996436906400376,0.0175125,0.017718,0.01799725,1000,0.001893,0.057271,0.016375953999999998,0.005999438730238355,0.0177145,0.017924,0.01810325,1000,0.000994,0.006973,0.001485906,0.0006563688575519104,0.00135175,0.001391,0.00143,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.031771,1.584823,0.090942923,0.10079898632356911,0.069297,0.0968455,0.09898175,1000,0.059572,0.132543,0.077558738,0.00798108913829159,0.076867,0.077459,0.078282,1000,0.002941,0.014816,0.004209779,0.000968684118874156,0.004162,0.0042235,0.004278,1000,0.005721,0.018064,0.007540544,0.0011777666670711989,0.007458,0.007543,0.007628,1000,0.018841,0.058573,0.025486812,0.0030004049787746984,0.02533075,0.025686,0.025932,1000,0.018841,0.058573,0.025486812,0.0030004049787746984,0.02533075,0.025686,0.025932,1000,0.006208,0.034795,0.009389288,0.0016185060120543267,0.00933775,0.0094745,0.00963375,1000,0.010125,0.035969,0.012333906,0.0016740466944395547,0.012202,0.0123165,0.01242,1000,0.156827,1.840784,0.26614191800000003,0.11099500749280249,0.24432575,0.2742265,0.2801875,1000,0.012741,0.173692,0.02927143,0.008084120755722296,0.02692275,0.0308455,0.0315635,1000,0.002023,0.143869,0.003100926,0.004505507156416911,0.002859,0.0029555,0.00303425,1000,0.007277,0.0414,0.016107849,0.003647475321396843,0.01578575,0.0164815,0.016825,1000,0.001851,0.027167,0.007857225,0.0028797117207066056,0.00633975,0.0094495,0.009786,1000,0.000985,0.017966,0.001497975,0.0009534802611354888,0.00130175,0.0013715,0.001437,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.005323,0.126398,0.006360393,0.008415825808234806,0.005579,0.005663,0.00576225,1000,1.11517,1.319858,1.148662723,0.03517084749024781,1.12683725,1.130677,1.16989225,1000,0.066895,0.122369,0.068675243,0.0041214339271606676,0.06727475,0.067487,0.06989775,1000,0.037387,0.075288,0.039258201,0.003163504108516219,0.03789375,0.038494,0.04032225,1000,0.015376,0.040324,0.016252053,0.0019835316645294573,0.015773,0.015879,0.01603025,1000,0.986367,1.167339,1.01645397,0.03220805250767423,0.99721775,1.0004825,1.03536925,1000,0.0028,0.016471,0.00306754,0.0006233483090536141,0.002962,0.003014,0.00306825,1000,0.01096,0.036981,0.011518566000000001,0.0012003167372173064,0.011267,0.011377,0.01151525,1000,1.150099,1.512217,1.186130949,0.03884343063438654,1.16310375,1.1674245,1.20672875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000289,0.000786,0.000349666,5.1627477606406456e-05,0.00032,0.000335,0.000366,1000,2.469337,5.221089,2.520338438,0.19162929215700858,2.47668775,2.48147,2.516584,1000,0.051815,0.120379,0.053278415999999995,0.0036885362580492543,0.05229275,0.052638,0.05301625,1000,0.044539,0.083065,0.045692881000000005,0.0028247515251503094,0.04493425,0.0451195,0.0453845,1000,0.689789,2.067391,0.709875922,0.09592089973800244,0.695022,0.6972945,0.70013775,1000,1.669559,3.05104,1.7039157390000002,0.11091151993971987,1.674876,1.677495,1.6989825,1000,0.001222,0.011882,0.001448106,0.0004095598378308108,0.001352,0.001408,0.00147525,1000,0.011947,0.037198,0.012653464,0.0014882145969933236,0.01229875,0.012428,0.01259075,1000,2.493303,5.295567,2.546051781,0.19436096251443352,2.501844,2.506836,2.54224325,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00029,0.000815,0.000342665,4.713284178786592e-05,0.000319,0.000331,0.000355,1000,2.609753,4.945417,2.6656299389999996,0.17423415117100688,2.62219575,2.6355025,2.65971075,1000,0.052057,0.092074,0.054268252,0.0038334037794753636,0.0524305,0.0529615,0.0556815,1000,0.044553,0.075245,0.046039789,0.002750931506686235,0.04489575,0.0451615,0.04726225,1000,0.690417,1.941991,0.710990674,0.0851518908352699,0.69673675,0.6996165,0.7090235,1000,1.809061,2.862022,1.846766447,0.10483560580977815,1.81650225,1.821813,1.8374785,1000,0.001221,0.010208,0.0013847809999999999,0.0003465574079990212,0.00132,0.001352,0.001388,1000,0.011885,0.038927,0.012488457,0.0013747728423819698,0.0121735,0.012288,0.012413,1000,2.635033,5.001813,2.690941016,0.17633019598465188,2.64712025,2.6609055,2.68537375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
