SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.339248,0.426817,0.3573987019607843,0.016195346534421427,0.3464505,0.351551,0.3630825,255,11.787208,13.43691,12.298106772549021,0.22043021429575793,12.1665255,12.327048,12.434198,255,0.282846,0.369832,0.2945250862745098,0.015087653293547084,0.284702,0.286279,0.299197,255,0.137289,0.181565,0.1437249411764706,0.011000851865431477,0.1383865,0.139237,0.140741,255,3.580345,3.90234,3.7262002352941175,0.05917524838049821,3.6979385,3.729491,3.7518245,255,3.580345,3.90234,3.7262002352941175,0.05917524838049821,3.6979385,3.729491,3.7518245,255,0.022037,0.047517,0.023869215686274512,0.0023468209796109665,0.0229165,0.02333,0.023867,255,0.046974,0.080703,0.04977129411764705,0.0036606107895692077,0.048431,0.048953,0.049602,255,40.119863,54.814899,47.40122367843137,1.9794879290382046,47.6356545,47.94768,48.1943145,255,27.141921,41.864302,34.57732988627451,2.0094360760270207,35.0168855,35.210021,35.3130225,255,0.020282,0.059125,0.02193690980392157,0.003135990520522319,0.021134,0.021485,0.021953,255,21.770316,28.373942,21.989114564705883,0.7548926725796468,21.842569,21.880295,21.919475,255,4.853165,13.251087,12.142049094117647,1.8089645047487617,12.721366,12.865673,12.9683255,255,0.403555,0.523589,0.4216656549019608,0.01597436719684792,0.4122865,0.416754,0.4238815,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.932545,32.326509,9.36606041937322,1.104864155299446,9.1206735,9.222813,9.4309105,1755,8.649957,31.842593,9.057900486609686,1.0943942888709979,8.816818,8.910752,9.1191445,1755,0.004694,0.578719,0.17536792193732192,0.17125025099361865,0.029443,0.170302,0.2834585,10530,0.006102,0.599895,0.07729036030389363,0.07367453567947368,0.01473225,0.0604885,0.10683775,10530,0.035317,16.61277,1.1689023943019943,1.223271725433301,0.087099,0.8968355,1.746397,10530,0.035317,16.61277,1.1689023943019943,1.223271725433301,0.087099,0.8968355,1.746397,10530,0.097834,0.196891,0.11309764273504275,0.01276028572189003,0.1042045,0.107105,0.120744,1755,0.119159,0.234166,0.1305389606837607,0.010340190956710918,0.1241105,0.127054,0.133903,1755,24.015491,67.433751,30.989086671794873,4.278970395558929,28.3937975,30.28586,32.6612775,1755,14.408362,53.786189,21.119208234757835,3.970674321009539,18.60027,20.461258,22.8736895,1755,0.071148,0.246234,0.08228300341880342,0.010365954452187779,0.077783,0.080058,0.08315,1755,13.630124,52.610875,20.279989864387463,3.8792529959729447,17.809905,19.668588,22.0232365,1755,0.100989,0.663442,0.2550668358974359,0.10432613236602793,0.197205,0.227092,0.28043,1755,0.43776,0.680009,0.4997261783475783,0.033683825609018794,0.476786,0.492359,0.5169175,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.033553,1.786883,0.108993898,0.12280930384504098,0.056571,0.0945625,0.125661,1000,0.125358,0.270056,0.145124546,0.01817203629530505,0.131913,0.137673,0.15674675,1000,0.001824,0.024218,0.0026077507500000003,0.0012724246485055365,0.002037,0.0021645,0.003006,4000,0.004136,0.02509,0.00530943225,0.001714752455140373,0.004429,0.004657,0.00584625,4000,0.000372,0.041386,0.00078688875,0.0010198487056291426,0.000493,0.000554,0.00093025,4000,0.000372,0.041386,0.00078688875,0.0010198487056291426,0.000493,0.000554,0.00093025,4000,0.020065,0.056474,0.023044828,0.004201810453175631,0.02058575,0.0209285,0.02474675,1000,0.025337,0.061253,0.027800883999999998,0.003876251243733306,0.0258435,0.0262045,0.0289275,1000,0.42099,2.398766,0.526720136,0.15233448267108635,0.453518,0.4883425,0.581927,1000,0.086731,0.225954,0.102308384,0.017211036283923873,0.089526,0.0936265,0.11319025,1000,0.024949,0.091786,0.029109258000000002,0.005969119906605663,0.02574975,0.0263645,0.03145025,1000,0.039528,0.148438,0.046839319000000004,0.009792156746664086,0.040451,0.043131,0.0521725,1000,0.005296,0.026404,0.00668824,0.002403751474757738,0.005511,0.0056495,0.0070135,1000,0.01573,0.059132,0.019114008000000002,0.003929993601767819,0.01656725,0.0173865,0.020629,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.041583,1.698328,0.107526837,0.1201865968443338,0.05291325,0.0941865,0.1235245,1000,0.125068,0.26479,0.14365233,0.017909908726263794,0.1302255,0.1365445,0.1543745,1000,0.001834,0.020045,0.0025377867500000002,0.0011289775149552084,0.001986,0.002114,0.00299,4000,0.003985,0.027889,0.0052876732499999995,0.0017440845008153813,0.004334,0.0046235,0.005786,4000,0.000353,0.018393,0.00077157075,0.0009316492188557007,0.000473,0.000535,0.0009065,4000,0.000353,0.018393,0.00077157075,0.0009316492188557007,0.000473,0.000535,0.0009065,4000,0.019902,0.056992,0.023086663,0.0043040068175400235,0.02058575,0.02097,0.0246835,1000,0.025156,0.066312,0.027814074,0.0041120438677771905,0.02570575,0.0261475,0.02905025,1000,0.420179,2.373754,0.525815278,0.14982695079183425,0.45206975,0.485324,0.58039875,1000,0.086717,0.220718,0.10320868300000001,0.017445207114692305,0.090082,0.094223,0.114334,1000,0.024662,0.068923,0.029391643,0.0055443566358551475,0.02588375,0.0267055,0.03209675,1000,0.039673,0.126103,0.047143678,0.00995538115695808,0.0405625,0.0428845,0.052486,1000,0.005329,0.030451,0.006671957,0.0020761838789353413,0.005559,0.0059395,0.007071,1000,0.016116,0.052456,0.019438424,0.00452006493893882,0.01676475,0.017408,0.0207495,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.037958,1.79949,0.080562439,0.11924657280502562,0.05292725,0.067356,0.081789,1000,0.125073,0.263469,0.13721897700000002,0.013835948024926627,0.12952925,0.133179,0.13898375,1000,0.001815,0.024101,0.0024335355,0.0011738636199489913,0.001971,0.002063,0.002937,4000,0.003979,0.038542,0.0049825515,0.0016217057215622535,0.004305,0.004435,0.00571025,4000,0.000347,0.01779,0.0007564210000000001,0.0008792334680043748,0.000454,0.00051,0.000933,4000,0.000347,0.01779,0.0007564210000000001,0.0008792334680043748,0.000454,0.00051,0.000933,4000,0.020134,0.057505,0.021552273,0.0029370263966248243,0.02064575,0.0209505,0.021161,1000,0.025381,0.062256,0.026894021,0.0039179593081805995,0.025828,0.0259975,0.0262045,1000,0.435628,2.503327,0.502447867,0.14150562304988912,0.4661635,0.4846555,0.50745075,1000,0.099239,0.238609,0.122225294,0.015696992150586175,0.1108825,0.12078,0.127453,1000,0.025419,0.076338,0.027315459,0.004031980843992069,0.02600275,0.026278,0.02665425,1000,0.044807,0.109487,0.048375191,0.006907110130330846,0.04564675,0.046302,0.0475275,1000,0.008772,0.065899,0.02763748,0.009588828799264279,0.0194255,0.028987,0.033301,1000,0.016415,0.058152,0.01835109,0.003333943864539414,0.0169445,0.0172445,0.01778625,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.03981,1.475753,0.084361882,0.09829331174893882,0.07509025,0.076224,0.078512,1000,0.040272,0.126891,0.054369129,0.009084586134676637,0.05134125,0.0518085,0.0556725,1000,0.002862,0.021203,0.004316344,0.0017028688504004059,0.004084,0.0041535,0.004255,1000,0.005733,0.031072,0.007892981,0.002273149188381396,0.007445,0.0075515,0.007721,1000,0.000714,0.015869,0.001026376,0.0006474869038243168,0.000933,0.000963,0.000992,1000,0.000714,0.015869,0.001026376,0.0006474869038243168,0.000933,0.000963,0.000992,1000,0.005905,0.032956,0.009558495,0.0023005917069256333,0.00924875,0.0093845,0.009665,1000,0.009914,0.037719,0.012628823,0.0024452585420914083,0.012316,0.012423,0.0125285,1000,0.141777,1.717689,0.24464875,0.10836386727190711,0.23318825,0.235807,0.251485,1000,0.01176,0.105791,0.038146516000000005,0.010660737848467338,0.03836375,0.0389,0.04057275,1000,0.002056,0.021061,0.0030927249999999997,0.0009392157895686166,0.0029555,0.003053,0.003138,1000,0.006699,0.057286,0.016901604,0.004725079699347303,0.01661575,0.0168045,0.017536,1000,0.001558,0.079179,0.015900798,0.006475833295661339,0.01690975,0.017169,0.01732625,1000,0.00094,0.01787,0.001473425,0.001236664452620435,0.001286,0.001327,0.001369,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.025998,1.510505,0.09787661,0.09874612073049704,0.0751725,0.102916,0.104626,1000,0.040757,0.115109,0.053397564,0.008296550362524415,0.05127175,0.051773,0.05282875,1000,0.002788,0.025247,0.004138835,0.0013379227988845248,0.004025,0.004097,0.004162,1000,0.005814,0.022781,0.007616243,0.0014139389130903076,0.007438,0.007561,0.00766,1000,0.000773,0.010044,0.00101921,0.00044453538655544626,0.00093775,0.000973,0.001006,1000,0.000773,0.010044,0.00101921,0.00044453538655544626,0.00093775,0.000973,0.001006,1000,0.006081,0.031805,0.009433231,0.002234480430354896,0.009205,0.009354,0.00950225,1000,0.009824,0.037008,0.012528988999999999,0.002240436328235864,0.01218,0.01232,0.012446,1000,0.141417,1.75769,0.246368533,0.10907888402482356,0.2201305,0.250985,0.25576425,1000,0.011982,0.068364,0.028392949,0.007505195663964998,0.02551425,0.02948,0.02995225,1000,0.001927,0.01909,0.003101027,0.0012888040139101833,0.00292375,0.0030055,0.003076,1000,0.006713,0.047039,0.015751892,0.004627655841172288,0.0149965,0.015727,0.015982,1000,0.001612,0.023839,0.007407055,0.0029756098648806434,0.005798,0.008887,0.00912125,1000,0.000941,0.015615,0.0013510409999999999,0.0008539092933789865,0.001176,0.001243,0.001304,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008347,0.152231,0.010032332,0.008815670762442074,0.008723,0.0088615,0.0092125,1000,1.09874,1.366483,1.183601852,0.06753749630581589,1.1302765,1.149027,1.25359775,1000,0.066864,0.12937,0.06969009200000001,0.006537190917782347,0.06740275,0.0676675,0.06869325,1000,0.037396,0.076827,0.03887967899999999,0.0040252137846279665,0.03791175,0.038083,0.03829825,1000,0.000701,0.019871,0.0009551609999999999,0.0007875640704596674,0.000798,0.0008335,0.000874,1000,0.984775,1.243797,1.0663764480000002,0.0656491433597065,1.01497575,1.028085,1.13644475,1000,0.002704,0.020389,0.003033278,0.0009157502163341266,0.00287,0.00294,0.00301825,1000,0.008123,0.026282,0.008635017,0.0013489084241381992,0.008319,0.00841,0.008574,1000,1.131114,1.572441,1.219304369,0.07000978521830244,1.16437775,1.184669,1.2878005,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000289,0.001014,0.000378813,6.339388007528803e-05,0.000339,0.000366,0.0004,1000,2.509862,5.148217,2.595922103,0.20025517226372555,2.546421,2.5712885,2.595122,1000,0.051793,0.103043,0.054551701,0.006039010760348006,0.052531,0.053014,0.053503,1000,0.044035,0.086523,0.04641893,0.005094010600803654,0.04464375,0.0452695,0.0457855,1000,0.688991,2.151084,0.718900965,0.10166003228221884,0.694988,0.7020545,0.72589875,1000,1.709829,2.855364,1.768365047,0.11538324677343235,1.73566725,1.7480005,1.771397,1000,0.001098,0.011453,0.001328847,0.0003659807120477799,0.001222,0.001279,0.001384,1000,0.006055,0.023231,0.0067175590000000006,0.0013353089809175253,0.00635975,0.006525,0.006689,1000,2.526404,5.19712,2.614182505,0.2028525595116265,2.56460825,2.589124,2.6126305,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000285,0.00979,0.000424988,0.00041725100821448003,0.000362,0.000396,0.000441,1000,2.615049,5.099441,2.717231155,0.19285826348186116,2.66259475,2.6900005,2.724108,1000,0.051419,0.107414,0.054503466,0.005502572968243493,0.0522635,0.052681,0.054589,1000,0.043968,0.081673,0.046318883,0.005105177315168494,0.04455725,0.0449135,0.0456605,1000,0.688359,2.013294,0.718982569,0.09290424330367927,0.694685,0.702736,0.72630175,1000,1.818959,2.954762,1.8898913259999999,0.11569651499746103,1.84777425,1.8711165,1.9030175,1000,0.001132,0.018733,0.001338595,0.0005783744712338192,0.001245,0.001292,0.00135,1000,0.005899,0.023333,0.006603344,0.0012696412247812372,0.006279,0.006402,0.0065885,1000,2.632161,5.151413,2.73541495,0.1952130842835528,2.6814865,2.7078975,2.74196375,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
