SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.328351,0.569393,0.36222447843137257,0.020996797090726545,0.3472895,0.358238,0.371961,255,11.460876,14.336998,12.058713650980392,0.2779942575576749,11.892722,12.07472,12.231098,255,0.282885,0.393111,0.29671090588235294,0.017129958887321883,0.2865705,0.289526,0.2972795,255,0.135945,0.293852,0.1438309137254902,0.015833254119360395,0.1377445,0.138455,0.1394725,255,3.583936,4.2427,3.7495908235294118,0.07628085361684121,3.708039,3.743561,3.794015,255,3.583936,4.2427,3.7495908235294118,0.07628085361684121,3.708039,3.743561,3.794015,255,0.022892,0.057762,0.024638176470588233,0.002931981486886704,0.0238175,0.024191,0.0246345,255,0.052608,0.084574,0.055062231372549016,0.0036681192185326673,0.0538375,0.054248,0.0548195,255,39.839328,50.997722,47.07328556078431,1.7451155707791255,47.401146,47.6867,47.926232,255,27.196073,35.900827,34.47877311764706,1.7872647822753447,34.9890045,35.215107,35.3012815,255,0.020684,0.050514,0.02276358039215686,0.0032439737252036444,0.021776,0.022157,0.0226805,255,21.764807,23.383941,21.90422836862745,0.12079863428443918,21.8592055,21.89267,21.9263345,255,4.844928,13.190808,12.129564211764706,1.789467905582904,12.682671,12.8813,12.95436,255,0.396472,0.515441,0.41955406274509804,0.01801741838278661,0.4069865,0.413258,0.430019,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,8.954132,12.855924,9.33902774814815,0.2675089375460806,9.136444,9.26633,9.4984905,1755,8.673861,12.521273,9.03062667008547,0.2620962391536921,8.835118,8.95695,9.1856925,1755,0.004917,0.571801,0.17626138955365622,0.17158015447604916,0.02989725,0.118135,0.283385,10530,0.006196,0.314548,0.07803034064577398,0.07494234787793272,0.0141645,0.0668135,0.1086635,10530,0.034344,5.075362,1.1617111468186134,1.1966610107317681,0.086097,0.876857,1.73348625,10530,0.034344,5.075362,1.1617111468186134,1.1966610107317681,0.086097,0.876857,1.73348625,10530,0.097489,0.20019,0.1120801886039886,0.012091057602067252,0.10359,0.107402,0.1193935,1755,0.131245,0.240487,0.14465897549857548,0.011422400476674864,0.137672,0.141208,0.147962,1755,24.094327,41.383177,30.865794605128205,3.6957654471725476,28.4286195,30.285204,32.640351,1755,14.456245,31.012612,21.00887948888889,3.662182018638612,18.608015,20.477327,22.836362,1755,0.071786,0.162066,0.08296692535612536,0.009101290576817063,0.078709,0.080882,0.08411,1755,13.73373,30.207895,20.177276975498575,3.573045981282149,17.8426275,19.669386,21.9938675,1755,0.10008,0.661412,0.25456960797720796,0.10279468222061212,0.1968745,0.229141,0.279671,1755,0.434529,0.635809,0.4918453264957265,0.028742310545420875,0.4727955,0.486113,0.5053565,1755,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.036826,1.810326,0.109648857,0.12405846854150888,0.0541665,0.094687,0.126976,1000,0.127721,0.238431,0.144550886,0.01778070620371992,0.1311545,0.1350805,0.156512,1000,0.001904,0.023272,0.0026469082499999998,0.00129746143192464,0.002074,0.0021875,0.002992,4000,0.004145,0.025823,0.00521600325,0.0016293406130209352,0.004387,0.004534,0.005734,4000,0.000342,0.013719,0.000734144,0.0007920744351157913,0.000446,0.0005,0.000915,4000,0.000342,0.013719,0.000734144,0.0007920744351157913,0.000446,0.0005,0.000915,4000,0.020082,0.053993,0.023094366999999998,0.004203944545104157,0.020598,0.020912,0.024769,1000,0.02746,0.080976,0.030607848000000003,0.005246656500943816,0.0282435,0.028709,0.0316535,1000,0.423766,2.466184,0.528103415,0.15243264388150843,0.454307,0.489778,0.5818545,1000,0.085895,0.200305,0.10079380499999999,0.016374931537901923,0.088248,0.092518,0.11137675,1000,0.025249,0.077132,0.029587062999999997,0.005960412177948016,0.0261775,0.0269,0.03180225,1000,0.037778,0.115371,0.044617138,0.009067855352008875,0.038622,0.040867,0.049812,1000,0.0053,0.031086,0.006561673,0.0021732263642039226,0.005479,0.00562,0.00700825,1000,0.016127,0.088448,0.019480198,0.004836026311218333,0.01677975,0.017529,0.0208245,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.040906,1.727844,0.108937213,0.12183454451746283,0.054908,0.0944795,0.1257865,1000,0.12857,0.241199,0.148067754,0.017899470545507317,0.13366775,0.142354,0.15831725,1000,0.001911,0.020832,0.00261728025,0.001134968406701234,0.00209675,0.0022275,0.002996,4000,0.004179,0.023048,0.0053943294999999995,0.001562125794207928,0.004483,0.0047205,0.0059115,4000,0.000357,0.080264,0.0007598675,0.0015165663867578465,0.000462,0.00051,0.00088125,4000,0.000357,0.080264,0.0007598675,0.0015165663867578465,0.000462,0.00051,0.00088125,4000,0.019991,0.058597,0.023261536,0.004302136191324491,0.020667,0.021408,0.024991,1000,0.027782,0.066457,0.030536184,0.004288384031793795,0.028343,0.028761,0.031799,1000,0.424628,2.374851,0.533869448,0.1513759744076427,0.45756975,0.494839,0.5856545,1000,0.08542,0.24229,0.10196442600000001,0.017376228840359,0.088915,0.09422,0.111744,1000,0.025165,0.072633,0.029526473999999997,0.00573227260807823,0.02607125,0.026946,0.031813,1000,0.037731,0.135004,0.045592779,0.00961975182705661,0.0389135,0.0417175,0.050207,1000,0.005263,0.029068,0.0068116719999999995,0.0020028205212689427,0.00561075,0.0062245,0.00722375,1000,0.01601,0.068281,0.019479881,0.004648947804056203,0.01677275,0.017562,0.02076525,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.042351,1.739826,0.080307302,0.11817741401726811,0.052615,0.0672895,0.080119,1000,0.129126,0.271848,0.13973367800000003,0.015453877830703722,0.1319065,0.134192,0.1373465,1000,0.001929,0.077507,0.0024651129999999997,0.0016213823473292782,0.002051,0.002113,0.00288425,4000,0.004159,0.025365,0.00499114525,0.0016447674595979937,0.004329,0.004436,0.005673,4000,0.00035,0.018014,0.000761602,0.0008112902187848686,0.000476,0.000537,0.000962,4000,0.00035,0.018014,0.000761602,0.0008112902187848686,0.000476,0.000537,0.000962,4000,0.020171,0.059409,0.02179739,0.004052449277153263,0.020673,0.020952,0.021185,1000,0.027792,0.067821,0.029947526000000002,0.005157980963451107,0.02833775,0.0285205,0.02876325,1000,0.440867,2.384292,0.506509966,0.1413808325609764,0.46766875,0.48857,0.51024925,1000,0.097345,0.276114,0.121532266,0.017782279304949744,0.1090915,0.1190975,0.1260275,1000,0.025374,0.066915,0.027616132,0.0045406178194796355,0.02609,0.0263855,0.0267625,1000,0.04296,0.157437,0.046587402,0.008043160118037934,0.04369975,0.0441495,0.044949,1000,0.00879,0.082297,0.028191773,0.010642881412825711,0.01948575,0.029056,0.033692,1000,0.016296,0.05547,0.018607408,0.00394232252809635,0.0170025,0.0172535,0.01777275,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040015,1.477088,0.08509231299999999,0.10071267402662402,0.07545825,0.07617,0.07908675,1000,0.040613,0.124019,0.053956974000000005,0.010045266909411816,0.05124475,0.0516125,0.0523935,1000,0.002851,0.021423,0.004185014,0.0014882009668737623,0.004008,0.004077,0.00413925,1000,0.005751,0.032309,0.0077914759999999994,0.0023527580341854114,0.00742075,0.0075025,0.007576,1000,0.00076,0.015733,0.0010676379999999999,0.0007716767580768518,0.000966,0.0009985,0.001025,1000,0.00076,0.015733,0.0010676379999999999,0.0007716767580768518,0.000966,0.0009985,0.001025,1000,0.006076,0.035601,0.009267872,0.002066882960309074,0.00916375,0.009265,0.00938225,1000,0.011153,0.045515,0.014382095999999999,0.0031991004933862267,0.0138835,0.014023,0.01418,1000,0.142659,1.712628,0.245275827,0.11025883036106936,0.232996,0.23589,0.254384,1000,0.011962,0.093729,0.037747818,0.010635399207875368,0.03797025,0.038419,0.0397365,1000,0.002077,0.018051,0.0031030990000000002,0.0012824347130357165,0.00291175,0.002997,0.003072,1000,0.006764,0.04802,0.01612378,0.00449479312311479,0.01592775,0.016065,0.01623675,1000,0.001574,0.056765,0.016274443,0.006439294408920204,0.01719,0.0174665,0.017701,1000,0.000974,0.014536,0.001444231,0.0009592712356987465,0.001274,0.001317,0.001355,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.040021,1.404971,0.09820599499999999,0.09387353538888887,0.075696,0.1033325,0.104803,1000,0.040277,0.139485,0.053088347,0.008818446681734319,0.050958,0.0513965,0.05216725,1000,0.002896,0.018152,0.004212063,0.0014117499534375766,0.004023,0.0040955,0.00416025,1000,0.005647,0.028422,0.007621345999999999,0.002070270544224595,0.00734175,0.00744,0.007539,1000,0.000779,0.01545,0.001064754,0.0007804520391952346,0.000955,0.000982,0.001013,1000,0.000779,0.01545,0.001064754,0.0007804520391952346,0.000955,0.000982,0.001013,1000,0.006022,0.035714,0.009660618000000001,0.002522835959010415,0.0092425,0.009526,0.0097285,1000,0.011063,0.040366,0.014082423,0.0025976579397740188,0.01368075,0.013841,0.01400525,1000,0.14132,1.684558,0.247779365,0.10439191782371743,0.2220615,0.2521145,0.256523,1000,0.011953,0.062737,0.027899313,0.0068829015741205405,0.02513625,0.0290225,0.029921,1000,0.002061,0.018862,0.003149808,0.0010600237040443953,0.00295575,0.0030615,0.00320475,1000,0.006829,0.042696,0.014970275,0.0039935330855490605,0.01429625,0.0149925,0.0152845,1000,0.001607,0.02721,0.007607002999999999,0.0031048194148760085,0.00591075,0.0090365,0.009371,1000,0.001002,0.011715,0.0013749469999999998,0.0005532972819298862,0.001242,0.001306,0.001359,1000,0.0,1.2,0.45999999999999996,0.5642694391866354,0.0,0.0,1.1,5
FixedProjectiveConstraint,0.008565,0.148797,0.010263341,0.008745474390032766,0.008927,0.009075,0.00938225,1000,1.10222,1.301384,1.127201618,0.02364642728227831,1.10949125,1.1240215,1.136611,1000,0.067216,0.11289,0.06918259,0.00516481394513878,0.06759275,0.0677765,0.06811175,1000,0.037101,0.077355,0.038526476999999996,0.0035142396624975652,0.03754975,0.0377395,0.038205,1000,0.000627,0.004615,0.0009160230000000001,0.0005394134021981656,0.000743,0.000797,0.00087825,1000,0.987465,1.163523,1.010622076,0.020549886898574992,0.99528475,1.0082405,1.02012975,1000,0.002753,0.017212,0.003047252,0.0007814876982371508,0.002902,0.00298,0.003055,1000,0.008452,0.027564,0.009070916,0.0013859257162431183,0.00874175,0.008845,0.00903225,1000,1.135483,1.493509,1.1638119539999998,0.030109264093097395,1.144737,1.1595015,1.171519,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.1,0.22000000000000003,0.44000000000000006,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.01154,0.00034381900000000004,0.00035776983137067334,0.000312,0.000325,0.00034,1000,2.508101,5.202209,2.599458409,0.19887911174677878,2.55025225,2.5755865,2.60609975,1000,0.051482,0.103406,0.054973934,0.006647420848693423,0.0521745,0.0526045,0.05607,1000,0.043779,0.096875,0.046283661,0.005775472644215277,0.04420275,0.0444665,0.04697025,1000,0.688299,2.142785,0.716660271,0.10013726093265961,0.694134,0.7007145,0.7242195,1000,1.709274,2.889736,1.774024195,0.11433249246145635,1.739636,1.7570455,1.77860325,1000,0.001179,0.002672,0.001331038,0.00011740871584341598,0.00127375,0.001307,0.001352,1000,0.005826,0.021545,0.006517231,0.0013383282817152897,0.006132,0.006281,0.0064805,1000,2.524694,5.25326,2.617528199,0.2012570708323695,2.5686105,2.594188,2.62311775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000278,0.017921,0.000348759,0.0005579471596119117,0.00031,0.000322,0.00034,1000,2.605961,5.156354,2.694740596,0.19519724666247415,2.64180775,2.6716945,2.6968355,1000,0.051675,0.091932,0.054321837,0.0053325622252751075,0.05216575,0.0525825,0.05339425,1000,0.043674,0.094681,0.045843371,0.004697966776953515,0.044234,0.0444675,0.04497725,1000,0.689063,2.045832,0.715568684,0.09094580815854102,0.69481775,0.7003925,0.72285925,1000,1.80889,2.964796,1.87144484,0.11801013571564267,1.83294425,1.850099,1.877899,1000,0.00121,0.003663,0.001375949,0.00014735508270500886,0.00132175,0.00135,0.001388,1000,0.006021,0.024108,0.006603185,0.001016011132210174,0.006306,0.006471,0.00665525,1000,2.622513,5.207707,2.7129327799999996,0.1975031568172256,2.65964725,2.6893525,2.71602825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
