SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.325165,0.546595,0.3432509568627451,0.019008583008377412,0.332716,0.338998,0.348078,255,12.211169,15.7434,12.653778035294117,0.3421533405982297,12.59588,12.669596,12.716725,255,0.287395,0.411224,0.2987096392156863,0.015895936402767062,0.290565,0.292512,0.300021,255,0.136988,0.227431,0.14436105490196077,0.010395251614197512,0.1383795,0.139349,0.1498905,255,3.943742,5.026964,4.009539690196078,0.10842222144087718,3.9639005,3.987151,4.020388,255,3.943742,5.026964,4.009539690196078,0.10842222144087718,3.9639005,3.987151,4.020388,255,0.022091,0.053587,0.024012898039215684,0.002497610327186117,0.0231925,0.023587,0.0240745,255,0.053396,0.080147,0.05577558039215687,0.0031202608991607126,0.0546535,0.055091,0.0556325,255,40.369091,54.785844,47.6634298745098,1.9395844002794607,47.928021,48.249017,48.3686,255,27.171454,40.532239,34.48781241568627,1.9071809122411258,35.016688,35.11028,35.1930855,255,0.020522,0.040639,0.022004345098039214,0.0016611620048621204,0.0213615,0.021835,0.022245,255,21.769281,27.75498,21.973049392156863,0.5166614764707662,21.866283,21.892896,21.9363475,255,4.863802,14.436285,12.083681301960786,1.791953069537297,12.7178015,12.787035,12.8398065,255,0.384024,0.504781,0.406637568627451,0.019260607550997077,0.395062,0.400825,0.410405,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
SofaScene,11.822192,29.206277,13.159157495726497,0.626069158379082,12.87644,13.077079,13.195088,1755,11.456409,28.753315,12.819984187464389,0.6172249995805102,12.5392575,12.744993,12.8563765,1755,0.007446,0.912568,0.2549147527065527,0.2257891300284224,0.052831,0.2666205,0.40903275,10530,0.008667,0.512331,0.10213203798670466,0.08267045789598537,0.02225075,0.090814,0.16911775,10530,0.079533,9.515678,1.8539390775878444,1.8897105042926006,0.16969,1.533583,2.662148,10530,0.079533,9.515678,1.8539390775878444,1.8897105042926006,0.16969,1.533583,2.662148,10530,0.092151,0.230048,0.1166562262108262,0.016611356003269184,0.103067,0.115921,0.1197185,1755,0.133448,0.22868,0.15087457207977206,0.014792254192576463,0.142379,0.146306,0.149537,1755,23.658708,69.966505,28.969421776068373,2.8571455568189736,27.1348975,28.776511,30.563129,1755,10.250342,51.25613,15.18514110997151,2.685202917483713,13.397654,14.952506,16.8566185,1755,0.075949,0.210338,0.08794501823361824,0.011836642421140183,0.081682,0.084687,0.088286,1755,9.412306,50.279808,14.32841410940171,2.5995117510708607,12.622716,14.103557,15.9647835,1755,0.10518,1.007024,0.27446860455840455,0.10823175959265233,0.2104925,0.250208,0.303945,1755,0.413861,0.756269,0.49202463532763535,0.03395411080613223,0.469533,0.488569,0.5131735,1755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.022816,1.745572,0.094840519,0.12252592674569589,0.042993,0.0814445,0.1101525,1000,0.274338,0.421159,0.305712245,0.02543027536655816,0.287344,0.2933135,0.32307825,1000,0.00128,0.022369,0.00197696925,0.0007450252279650922,0.001564,0.001756,0.00235825,4000,0.003011,0.023569,0.003965797,0.0009527422184363407,0.0033865,0.0036865,0.004447,4000,0.021021,0.058479,0.02441023275,0.0032981725161939967,0.02215775,0.023514,0.0257165,4000,0.021021,0.058479,0.02441023275,0.0032981725161939967,0.02215775,0.023514,0.0257165,4000,0.020785,0.058668,0.023265368999999998,0.003535267753203285,0.021227,0.021464,0.02493375,1000,0.025843,0.066813,0.028044621,0.0034700099846194966,0.026339,0.0266225,0.02917225,1000,0.574753,2.560216,0.688000638,0.15801105998658752,0.5997835,0.6447635,0.75377675,1000,0.092251,0.206004,0.106579899,0.016233901952543605,0.09522725,0.0989615,0.117436,1000,0.025793,0.061433,0.029755127,0.00487952429124715,0.0268985,0.0275495,0.03185275,1000,0.041867,0.119736,0.049004446,0.009202493244609528,0.0430525,0.0449625,0.0542075,1000,0.006237,0.032263,0.0076037610000000005,0.0019892126698467915,0.006489,0.0066475,0.0080205,1000,0.016952,0.045153,0.01963766,0.0030044770737018447,0.017591,0.0181105,0.021257,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.034496,1.623442,0.09518463199999999,0.1176562850450607,0.043585,0.0818055,0.11108475,1000,0.275588,0.453141,0.307679692,0.025544239109653196,0.2890585,0.2957255,0.325246,1000,0.001264,0.017825,0.00201937675,0.0007709737361346607,0.001603,0.001786,0.00237025,4000,0.00303,0.023121,0.00401978225,0.0010162586207924328,0.00345675,0.003679,0.00447825,4000,0.020917,0.105228,0.024537093,0.0036147192172907424,0.02217375,0.0237465,0.02594275,4000,0.020917,0.105228,0.024537093,0.0036147192172907424,0.02217375,0.0237465,0.02594275,4000,0.020675,0.069993,0.023351245,0.0038236516351486576,0.021131,0.021371,0.02509125,1000,0.025822,0.064701,0.028138101999999998,0.0031987486909096185,0.02651,0.026745,0.02932975,1000,0.576219,2.457548,0.690321512,0.1540465136011713,0.60233975,0.6469035,0.75733225,1000,0.092282,0.201237,0.106254448,0.01535748527042419,0.09531225,0.098854,0.1164195,1000,0.025614,0.054154,0.029542124,0.0045444954772366096,0.0266695,0.027452,0.0315925,1000,0.041921,0.118395,0.048902386,0.00866549659829164,0.04310175,0.044326,0.05361875,1000,0.006003,0.028757,0.007497852,0.0018553336530381806,0.0062815,0.006839,0.008062,1000,0.017115,0.041284,0.019715889,0.0028209610750024538,0.01767575,0.018122,0.02132525,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.033481,1.706398,0.067307436,0.11887846904569349,0.04218025,0.054304,0.06719825,1000,0.274,0.437573,0.293599807,0.01565582686534796,0.286047,0.2893905,0.29418175,1000,0.001263,0.013796,0.0018634292499999999,0.0006764140022903411,0.001533,0.00165,0.00227225,4000,0.002918,0.016981,0.0037196082500000004,0.0008370768153413027,0.003281,0.003422,0.004305,4000,0.021091,0.061718,0.02361863275,0.0028984873656577215,0.021903,0.023322,0.024066,4000,0.021091,0.061718,0.02361863275,0.0028984873656577215,0.021903,0.023322,0.024066,4000,0.02093,0.042197,0.021957465,0.0017819871993858428,0.02137,0.021534,0.02175425,1000,0.025885,0.061183,0.027169751,0.0029558562673105402,0.02636875,0.026533,0.02672725,1000,0.597368,2.557515,0.659831113,0.14209624666939036,0.61664175,0.644552,0.661632,1000,0.103945,0.233249,0.127547841,0.01570537158305142,0.11677675,0.1264655,0.1324365,1000,0.02595,0.075261,0.027748652,0.0036250300019304666,0.02665575,0.026944,0.027281,1000,0.047662,0.111464,0.05092271499999999,0.006535309844205935,0.0486995,0.049147,0.0498865,1000,0.009321,0.070873,0.029418238000000003,0.010131227388493261,0.02095375,0.0309075,0.035234,1000,0.017448,0.040598,0.01889534,0.0023054586767929717,0.01791375,0.018093,0.01844925,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031648,1.584401,0.079265939,0.10024166084472702,0.071293,0.071946,0.07472575,1000,0.081202,0.170803,0.107930764,0.010975839945275442,0.105502,0.10847,0.10955625,1000,0.002192,0.021145,0.0032051239999999997,0.0012876868666814925,0.003001,0.003071,0.003147,1000,0.004423,0.031557,0.005763671000000001,0.0013133146274823106,0.005632,0.0057125,0.005789,1000,0.02476,0.074149,0.034256419,0.004695486325977214,0.03300975,0.0335335,0.0359105,1000,0.02476,0.074149,0.034256419,0.004695486325977214,0.03300975,0.0335335,0.0359105,1000,0.006469,0.032422,0.009737468,0.001810367043716826,0.009602,0.009794,0.01004625,1000,0.010298,0.028965,0.012454674,0.0015561384179191772,0.012268,0.012378,0.01247,1000,0.184103,1.881382,0.296216635,0.11034381302058477,0.29007925,0.293102,0.29752825,1000,0.01291,0.090204,0.039553607000000005,0.010578863508078313,0.0404715,0.0409995,0.0417805,1000,0.002162,0.01418,0.00323119,0.0008797560308972027,0.00308875,0.003161,0.00323125,1000,0.007128,0.047581,0.017410913,0.0046471254561751395,0.01740875,0.01755,0.0177555,1000,0.001841,0.061699,0.016928426,0.006387475555062736,0.0181045,0.018326,0.0185595,1000,0.000982,0.010478,0.001472321,0.0007506496199685977,0.001305,0.0013655,0.00141325,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.03221,1.548002,0.094428524,0.10154019742363822,0.07368875,0.100287,0.10271775,1000,0.081148,0.168439,0.107297756,0.009773522427787437,0.105964,0.1082345,0.10969975,1000,0.002141,0.013374,0.003169178,0.0008893469403534258,0.003035,0.003112,0.003189,1000,0.004349,0.012373,0.005749758,0.000721092369558852,0.005675,0.0057665,0.00586825,1000,0.024722,0.072721,0.033916158,0.0040068892094785955,0.03291525,0.0333815,0.035788,1000,0.024722,0.072721,0.033916158,0.0040068892094785955,0.03291525,0.0333815,0.035788,1000,0.006543,0.038274,0.009733963,0.002023615435706844,0.00963675,0.009775,0.00992725,1000,0.010314,0.029975,0.012490909,0.0016494961929992445,0.01223575,0.012367,0.01247625,1000,0.184255,1.836241,0.30035188799999996,0.11203577959025168,0.27985725,0.309556,0.3154195,1000,0.012901,0.075684,0.029476870999999998,0.00679649807727178,0.02732875,0.0314305,0.03203525,1000,0.002181,0.01395,0.003244808,0.0007653786273054664,0.003123,0.003191,0.00327325,1000,0.007221,0.043176,0.016197305,0.0037894568278283632,0.01586675,0.0166085,0.01691125,1000,0.00185,0.034153,0.00805557,0.0031103197239351456,0.006449,0.0096305,0.00993625,1000,0.00098,0.011565,0.001461291,0.0006913222535974088,0.00126975,0.001352,0.00141825,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.006471,0.133662,0.008255313,0.009085424250250013,0.00685,0.007035,0.00736125,1000,1.139236,1.300751,1.157946828,0.019347645281749818,1.1478295,1.152138,1.15773375,1000,0.066534,0.108879,0.06795891800000001,0.0037904669186362774,0.06696775,0.067156,0.06739575,1000,0.037065,0.12386,0.038243359,0.0038960249157466895,0.03744275,0.037611,0.037792,1000,0.021518,0.042336,0.023342843000000002,0.0020413024495039927,0.02207875,0.0224645,0.024528,1000,0.991177,1.124237,1.004918207,0.016358769571460777,0.996551,1.000408,1.00300575,1000,0.002856,0.007079,0.003172007,0.0005456024458806979,0.002991,0.00305,0.0031375,1000,0.011007,0.024185,0.011590293,0.0008679026495817374,0.011343,0.011448,0.011547,1000,1.174909,1.495586,1.197042781,0.025909616800428352,1.18533275,1.190473,1.19682075,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00029,0.000995,0.000340655,4.792264574290531e-05,0.000321,0.000334,0.000349,1000,2.515776,5.02777,2.57886223,0.18786953350179775,2.53214775,2.5410195,2.5780275,1000,0.050944,0.09217,0.053875722,0.003698572741844616,0.05201,0.0524025,0.05445425,1000,0.042401,0.084317,0.045618989,0.0038980268330116715,0.04436175,0.044607,0.04601175,1000,0.697693,2.119039,0.718656724,0.09652050536029029,0.70421925,0.706866,0.7120475,1000,1.693333,2.718376,1.736469723,0.10530773740489477,1.70567475,1.7098265,1.736993,1000,0.001284,0.004659,0.001468384,0.00018941903427058222,0.001389,0.00144,0.001501,1000,0.012828,0.037147,0.013555883,0.0010961512657069734,0.01322675,0.0134345,0.013646,1000,2.540873,5.087971,2.605922794,0.19016715510607915,2.5586575,2.5681695,2.60512825,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.00029,0.000931,0.000344667,4.625741141698268e-05,0.000324,0.000337,0.000353,1000,2.620068,4.894781,2.6891167680000003,0.1754640733264624,2.63619375,2.662121,2.68755625,1000,0.051518,0.101804,0.053739974999999995,0.00394942226437931,0.051937,0.052144,0.05508,1000,0.043834,0.082199,0.045562543,0.0033816521477158176,0.0442285,0.044501,0.046779,1000,0.697957,1.909443,0.72025933,0.08444198092892598,0.70358925,0.70876,0.716776,1000,1.797517,2.835262,1.845830876,0.1050299215713533,1.81013925,1.814602,1.84660925,1000,0.00126,0.01059,0.001517271,0.0003475171413887378,0.001384,0.00144,0.00156,1000,0.01268,0.033119,0.013394092,0.0011299579131702204,0.013089,0.0132525,0.013414,1000,2.645832,4.952748,2.71595979,0.17765048698464045,2.662515,2.689269,2.7135595,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
