SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.341809,0.434333,0.35550561176470585,0.01528022177882434,0.34654,0.350153,0.3558185,255,11.829167,13.259401,12.29178434117647,0.26403630275081286,12.0932815,12.326277,12.419377,255,0.284579,0.37012,0.2963430705882353,0.01561691414582774,0.2867255,0.288401,0.297679,255,0.136412,0.180329,0.1433895294117647,0.00926244983168217,0.1376805,0.138549,0.149776,255,3.542324,3.817794,3.6369276117647056,0.051001487093450426,3.605636,3.631681,3.6649575,255,3.542324,3.817794,3.6369276117647056,0.051001487093450426,3.605636,3.631681,3.6649575,255,0.022404,0.052593,0.024281627450980392,0.0025952090683153163,0.023535,0.023967,0.024403,255,0.047089,0.076862,0.05015374117647059,0.0044538737873229565,0.048674,0.04914,0.0496585,255,39.917138,54.729402,48.401084729411764,3.2391463175805675,47.614283,47.996719,48.358694,255,27.113323,41.76109,35.58733716470588,3.2831939755117423,34.935646,35.232147,35.390025,255,0.020549,0.059487,0.022382011764705882,0.003373458828343435,0.021405,0.02178,0.0222585,255,21.757575,28.369937,23.025806376470587,2.4031941675640627,21.8433595,21.87886,21.9526875,255,4.866031,13.448494,12.116312329411766,1.8030577513848756,12.664904,12.849888,12.9651785,255,0.401448,0.506823,0.42016400784313723,0.01975067500717771,0.4085065,0.412019,0.4246805,255,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
SofaScene,8.957276,13.172612,9.256471901994303,0.2346040876289925,9.106985,9.168556,9.364402,1755,8.698103,12.891285,8.95418247065527,0.2322321067924305,8.8071105,8.868398,9.0562535,1755,0.00492,0.560114,0.1724445641025641,0.16803172702696337,0.02934675,0.1164555,0.278807,10530,0.006203,0.266066,0.07244088024691359,0.06919120356917761,0.013977,0.054802,0.10333725,10530,0.036007,5.078473,1.1480454507122508,1.1833226205299057,0.083454,0.882563,1.71403875,10530,0.036007,5.078473,1.1480454507122508,1.1833226205299057,0.083454,0.882563,1.71403875,10530,0.097475,0.176374,0.10767196524216524,0.009667535557203243,0.1030805,0.105274,0.1072595,1755,0.118583,0.228564,0.12826654757834757,0.009719847313491806,0.1238245,0.125654,0.1276015,1755,24.103096,41.447624,30.70591745982906,3.664507087820038,28.3458465,30.122312,32.4933185,1755,14.519462,30.838871,20.96438857094017,3.644675870354539,18.6295755,20.438509,22.803202,1755,0.072714,0.148484,0.08107835384615385,0.008419135404218474,0.077061,0.079406,0.0811035,1755,13.749535,29.928048,20.137167623361822,3.554348950161913,17.845883,19.646194,21.973299,1755,0.100686,0.629882,0.2508239646723647,0.10285580160893967,0.192819,0.224567,0.2770985,1755,0.434029,0.691477,0.4930868153846154,0.02904406023557358,0.4733995,0.487705,0.511161,1755,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.032949,1.810053,0.109806766,0.12188322997000549,0.0567295,0.095486,0.12603225,1000,0.126425,0.254704,0.14650481899999998,0.01890197759823662,0.132225,0.13674,0.1585265,1000,0.001859,0.022395,0.0026405865,0.001254486541983512,0.002047,0.002161,0.00303,4000,0.004154,0.025975,0.00534108075,0.0017150327724942858,0.004479,0.004668,0.005862,4000,0.000353,0.020885,0.00079696225,0.0009706151641227008,0.000489,0.000553,0.00094,4000,0.000353,0.020885,0.00079696225,0.0009706151641227008,0.000489,0.000553,0.00094,4000,0.019971,0.063614,0.022972792000000002,0.004394997182790451,0.020514,0.020773,0.02464925,1000,0.025289,0.076091,0.028054319,0.004772023278991732,0.02588,0.026306,0.0291225,1000,0.424609,2.420287,0.531313168,0.15156196547004055,0.457829,0.492209,0.582269,1000,0.087605,0.236051,0.104254669,0.018105677207037547,0.090678,0.09522,0.1141005,1000,0.025271,0.121671,0.030025473,0.007255538036098426,0.02622475,0.0269085,0.03210025,1000,0.039659,0.154085,0.04737887599999999,0.01031852403188673,0.04068875,0.043405,0.0525605,1000,0.00526,0.038416,0.006724446,0.002446079093382714,0.00556675,0.005759,0.007066,1000,0.016129,0.055602,0.019574203000000002,0.0046609107822174626,0.01686375,0.017658,0.02073425,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.039902,1.718364,0.107077235,0.11980693250741282,0.0525775,0.0935165,0.12383125,1000,0.124565,0.219105,0.143127905,0.01757669903389072,0.1294195,0.1349945,0.154875,1000,0.001834,0.061629,0.002590349,0.0015480549958573823,0.00200675,0.00215,0.003029,4000,0.004095,0.025778,0.005271913499999999,0.001675889827082243,0.004346,0.004534,0.005755,4000,0.000325,0.018443,0.0007306332499999999,0.0008159396602962976,0.000447,0.000505,0.00087325,4000,0.000325,0.018443,0.0007306332499999999,0.0008159396602962976,0.000447,0.000505,0.00087325,4000,0.019905,0.049957,0.022935179,0.0037778221862548003,0.020535,0.0209405,0.0246805,1000,0.025103,0.064454,0.027834175,0.004235703855603576,0.025779,0.0261645,0.028984,1000,0.418479,2.367904,0.523002931,0.1502182693003359,0.449473,0.485237,0.578457,1000,0.086932,0.215303,0.10228741000000001,0.016740100987983914,0.08968775,0.094157,0.11390225,1000,0.024882,0.066789,0.029064741999999998,0.005393825390150852,0.0258,0.0264865,0.0316545,1000,0.039401,0.128847,0.046954659,0.009511003066802103,0.04047775,0.043276,0.05262475,1000,0.005312,0.024482,0.006728274,0.002033395692167169,0.00556,0.005998,0.0071095,1000,0.016028,0.048372,0.01899961,0.0036169822072965744,0.0165995,0.017213,0.02060425,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_UGS,0.028545,1.73362,0.08087005100000001,0.11901796354607316,0.053341,0.068539,0.080655,1000,0.126357,0.228331,0.138273215,0.013914969127697515,0.129203,0.133519,0.140606,1000,0.001823,0.017524,0.0024359785000000003,0.0010822843046250602,0.001984,0.00207,0.00296,4000,0.004072,0.025384,0.004981567750000001,0.0016101086838812891,0.004273,0.0044285,0.00564725,4000,0.000337,0.079046,0.00077363925,0.001463090643845909,0.00045,0.000528,0.000947,4000,0.000337,0.079046,0.00077363925,0.001463090643845909,0.00045,0.000528,0.000947,4000,0.020112,0.071676,0.021601824000000002,0.003215498722597165,0.02060475,0.020801,0.021207,1000,0.025442,0.056412,0.026994026,0.0035212824523636267,0.02585075,0.02609,0.02658575,1000,0.438934,2.366765,0.5044219600000001,0.1390057747386863,0.466063,0.4864245,0.50999225,1000,0.099687,0.226743,0.12333229300000001,0.016463611772061165,0.1117015,0.121334,0.12859925,1000,0.025201,0.057039,0.02729397,0.003547662514825783,0.02590925,0.026329,0.0269795,1000,0.044418,0.131443,0.0486489,0.007948970806462934,0.04557225,0.046065,0.047586,1000,0.009053,0.067999,0.028179422,0.010131662498519973,0.01957375,0.029241,0.03377225,1000,0.016329,0.049185,0.018682822,0.003460603992414619,0.017039,0.017359,0.0185315,1000,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040185,1.516143,0.083738645,0.10076065858586364,0.07478375,0.0754235,0.077772,1000,0.040349,0.133528,0.053747434000000004,0.00885940138122458,0.051288,0.052073,0.052888,1000,0.002786,0.025039,0.004233426,0.0015264952454966901,0.00404175,0.004127,0.004219,1000,0.005759,0.028447,0.007841058,0.001982799091848692,0.00747775,0.0076445,0.007808,1000,0.000765,0.015563,0.0010532940000000002,0.0008232407263759489,0.00093775,0.000962,0.000989,1000,0.000765,0.015563,0.0010532940000000002,0.0008232407263759489,0.00093775,0.000962,0.000989,1000,0.005905,0.032495,0.009507685,0.0023002476753112913,0.00928675,0.0094185,0.00955,1000,0.009752,0.040308,0.012572734,0.002461420099301214,0.012209,0.0123265,0.012449,1000,0.14024,1.750839,0.24225617000000002,0.11030376123755302,0.23124075,0.234,0.2499075,1000,0.011986,0.11793,0.038260512999999996,0.011175003046256004,0.03835125,0.03882,0.04045,1000,0.001994,0.023321,0.003030114,0.0011575479044100075,0.00286775,0.002955,0.003032,1000,0.006851,0.065279,0.016844791,0.004933873636334741,0.016675,0.016843,0.01699525,1000,0.001585,0.096249,0.016154824,0.007153218843920827,0.01694375,0.017181,0.01734825,1000,0.000972,0.01221,0.0014319069999999998,0.0008804832697734807,0.00127,0.001317,0.001365,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.039812,1.428078,0.097863541,0.0956582433422981,0.0751255,0.103075,0.104679,1000,0.039998,0.139474,0.053853644,0.008890902375420845,0.05075075,0.0513505,0.05569125,1000,0.002802,0.021298,0.004214703,0.001480181130399587,0.00400675,0.004085,0.004197,1000,0.005699,0.029598,0.0077463670000000005,0.002045314593482137,0.00730975,0.007425,0.00760225,1000,0.000753,0.010298,0.0009751559999999999,0.0004520954165483212,0.000892,0.000925,0.000959,1000,0.000753,0.010298,0.0009751559999999999,0.0004520954165483212,0.000892,0.000925,0.000959,1000,0.005996,0.041699,0.009693081000000001,0.002783105532393445,0.00918775,0.0093415,0.00973325,1000,0.009849,0.028695,0.012563563,0.0022525729289039676,0.012116,0.0122675,0.0124895,1000,0.140082,1.667504,0.248014488,0.10585574346540606,0.2202525,0.251748,0.25806625,1000,0.011886,0.066162,0.028732185,0.0073709383169834625,0.0258205,0.029717,0.03089825,1000,0.001923,0.02173,0.003148085,0.0013645345894388314,0.002942,0.0030225,0.003113,1000,0.006763,0.04129,0.015927300999999998,0.004291005601534331,0.01513475,0.015879,0.01628775,1000,0.001588,0.041731,0.007520942,0.0032619523896948587,0.005864,0.0089555,0.00919,1000,0.000984,0.016416,0.0013846890000000001,0.0008043176128116305,0.001207,0.0012845,0.001359,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FixedProjectiveConstraint,0.008585,0.135189,0.010294983,0.00855226369230457,0.008914,0.0091155,0.00946025,1000,1.104396,1.328324,1.144768762,0.033835808123988356,1.117448,1.1371925,1.1677505,1000,0.067035,0.119138,0.070290374,0.007293660776874942,0.06745875,0.0679095,0.069378,1000,0.037427,0.084506,0.039288093999999996,0.004056773835101483,0.0378085,0.038047,0.0402035,1000,0.000662,0.005193,0.000933599,0.0005188454453871596,0.00079,0.0008375,0.00088025,1000,0.988301,1.172325,1.026472042,0.03042979807445715,0.99779725,1.020268,1.04552975,1000,0.002714,0.023287,0.003019148,0.001001929913764431,0.002854,0.0029095,0.002989,1000,0.008027,0.028661,0.008638575,0.001492533807447925,0.00828575,0.008434,0.008605,1000,1.137077,1.482161,1.180756271,0.03811599646001084,1.151602,1.171615,1.20173575,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000283,0.000934,0.00034312,5.057022444087034e-05,0.000323,0.000336,0.000349,1000,2.507918,5.099772,2.5889692269999998,0.2003975123288946,2.523244,2.55694,2.60905625,1000,0.051927,0.094804,0.053717879999999996,0.004973974238332966,0.052294,0.052537,0.052901,1000,0.043909,0.079114,0.045100878,0.0030173203573893173,0.04430375,0.044488,0.044804,1000,0.688513,2.117142,0.715164942,0.10024237172463867,0.69397425,0.6984905,0.7180325,1000,1.70801,2.845994,1.76749188,0.11728780931440233,1.71770575,1.740324,1.78568675,1000,0.00114,0.003899,0.001308684,0.00017179293391755086,0.001243,0.001278,0.001331,1000,0.005966,0.025608,0.006674946,0.001599450420952147,0.00625675,0.00641,0.00658325,1000,2.525695,5.15303,2.607039936,0.20300510443350903,2.54031725,2.574144,2.62637975,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000278,0.009699,0.00036121600000000003,0.0003002032633799972,0.000327,0.000345,0.000365,1000,2.613902,5.081112,2.6950060639999998,0.19102737635892375,2.64134025,2.666106,2.6985335,1000,0.05147,0.090886,0.053944087,0.004869302298423359,0.05219175,0.052612,0.05373725,1000,0.042831,0.093869,0.045327554,0.004168143376982611,0.04413475,0.0446125,0.04495825,1000,0.688702,2.065245,0.7184388810000001,0.0918407298222463,0.6943925,0.7138135,0.7260195,1000,1.815468,2.927786,1.869729461,0.11567178829452097,1.824166,1.848926,1.876254,1000,0.001126,0.003529,0.0013213989999999998,0.00017746725838587804,0.001247,0.001288,0.001348,1000,0.005959,0.026384,0.006741434,0.0016590767931726365,0.006299,0.0064595,0.00664925,1000,2.630208,5.131776,2.713383764,0.19340784572632597,2.65982975,2.6849315,2.718395,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
