SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.323969,0.396349,0.34028409803921567,0.011353255916264383,0.3325195,0.338458,0.3440465,255,12.136731,13.529745,12.65306985490196,0.24612894488702167,12.522118,12.698451,12.776945,255,0.285521,0.368743,0.29687193725490196,0.012015123198636625,0.2894935,0.291085,0.300088,255,0.135799,0.211686,0.14507029803921567,0.014181909036757317,0.1375685,0.138735,0.142093,255,3.872857,4.736749,4.015403325490197,0.08213635657617022,3.960964,4.023401,4.055042,255,3.872857,4.736749,4.015403325490197,0.08213635657617022,3.960964,4.023401,4.055042,255,0.022298,0.036556,0.024277874509803923,0.0017434225545919883,0.0233165,0.02368,0.0242785,255,0.053007,0.078874,0.055536239215686276,0.0021938852298147653,0.0544755,0.054872,0.055782,255,40.340085,49.86145,47.602711611764704,1.7396170159902715,47.8862385,48.214042,48.3766935,255,27.165506,36.538484,34.42759987058824,1.7602571846760535,35.0203495,35.092845,35.1768605,255,0.020564,0.048863,0.02219090588235294,0.002251617744994306,0.021454,0.021764,0.0222395,255,21.778086,27.53018,21.94016054901961,0.35997150598354216,21.865021,21.902505,21.945093,255,4.886671,13.668784,12.058005043137253,1.7747948726956218,12.712982,12.769426,12.8150965,255,0.385231,0.495281,0.4047630901960784,0.01564510120596239,0.3973115,0.401035,0.4059405,255,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
SofaScene,11.658376,32.083746,13.002935854131055,0.663753581091283,12.791918,12.865862,12.9787345,1755,11.374406,31.73284,12.671141035327636,0.6608701973975397,12.4637175,12.534122,12.6444165,1755,0.00706,0.830418,0.2411271497625831,0.21414950617123926,0.0494025,0.285774,0.38358575,10530,0.00861,0.399349,0.09260191899335234,0.07682008758901071,0.02167525,0.110664,0.1456895,10530,0.094274,13.354961,1.8365006952516618,1.87746478588244,0.1666075,1.1304365,2.64072325,10530,0.094274,13.354961,1.8365006952516618,1.87746478588244,0.1666075,1.1304365,2.64072325,10530,0.092642,0.1689,0.10703752706552708,0.013088094143956267,0.098813,0.101412,0.1129005,1755,0.132135,0.22661,0.14470220113960114,0.013898063823831028,0.1365135,0.138383,0.145993,1755,23.531501,49.902459,28.63982042962963,2.4562382066857897,26.8930865,28.532427,30.3715375,1755,10.28476,22.181782,15.057308556125356,2.3612518119353836,13.3501815,14.972644,16.761834,1755,0.073556,0.144355,0.08394497663817664,0.01015646119029633,0.07922,0.081242,0.0834345,1755,9.404587,21.340216,14.21272950826211,2.2753416954872403,12.5701775,14.155696,15.897958,1755,0.103879,0.768085,0.276051192022792,0.11376621715456404,0.207349,0.250805,0.304915,1755,0.412987,0.6594,0.4823844108262108,0.028589915396934486,0.4604385,0.48081,0.5028155,1755,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_NNCG,0.034553,1.802454,0.09554771799999999,0.1249997273671366,0.04358725,0.080585,0.1111585,1000,0.280499,0.444284,0.30639442499999997,0.026402542401071438,0.287718,0.2931765,0.3228525,1000,0.001243,0.013232,0.0019701642500000002,0.000763646054970454,0.001544,0.001709,0.002377,4000,0.003074,0.018883,0.00397890125,0.0009880011892697486,0.00341,0.003614,0.00443525,4000,0.021057,0.051591,0.024445017500000003,0.0030923346734617434,0.0222255,0.0236925,0.02572625,4000,0.021057,0.051591,0.024445017500000003,0.0030923346734617434,0.0222255,0.0236925,0.02572625,4000,0.020819,0.05753,0.023361611,0.0035345309838334987,0.02130675,0.0216085,0.02523825,1000,0.025794,0.08017,0.027789857,0.0030031935912543167,0.026273,0.0265665,0.02893375,1000,0.581304,2.644252,0.689067297,0.1612942846075421,0.60138275,0.6439695,0.75514875,1000,0.092393,0.209769,0.106444672,0.015654648402452738,0.09551225,0.098991,0.11640125,1000,0.025826,0.061103,0.029675059,0.004626396577415191,0.026916,0.0274835,0.03207425,1000,0.042282,0.125047,0.049055737,0.009049734833454018,0.043276,0.04489,0.0536225,1000,0.006325,0.023002,0.0075471800000000006,0.0016216212855041092,0.006508,0.006666,0.00803275,1000,0.016947,0.044593,0.019588932,0.0028355900111574667,0.01762975,0.018114,0.02119325,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.025288,1.713524,0.09514875199999999,0.12062891021341648,0.0432635,0.0817705,0.110435,1000,0.274757,0.442187,0.30575993900000004,0.026571539770914275,0.286313,0.2930005,0.3234265,1000,0.001282,0.013603,0.001952123,0.0007138727679853042,0.001551,0.0017235,0.00231625,4000,0.002977,0.019055,0.003944448,0.0009296302656411311,0.003393,0.00361,0.004391,4000,0.02098,0.103715,0.024410213,0.003682404645151182,0.02206175,0.023589,0.025759,4000,0.02098,0.103715,0.024410213,0.003682404645151182,0.02206175,0.023589,0.025759,4000,0.020797,0.067284,0.0231606,0.0032288717843853756,0.021153,0.0214,0.02485175,1000,0.025933,0.061756,0.027945746,0.0027923777243567894,0.026365,0.0266455,0.02908925,1000,0.57963,2.566565,0.687443329,0.15768187385715823,0.59723025,0.6427385,0.75498125,1000,0.092177,0.232911,0.106309976,0.016095880718911406,0.09515625,0.0987365,0.11608175,1000,0.025617,0.064666,0.029531091,0.004703565787646538,0.0265665,0.0273635,0.031861,1000,0.041972,0.145851,0.048996610999999995,0.008941846229704412,0.04317575,0.044502,0.05382475,1000,0.00603,0.021352,0.007477218,0.0017162815463891699,0.00626125,0.0068135,0.00807425,1000,0.016964,0.045748,0.019731788,0.0031117504037207096,0.017635,0.018136,0.02130425,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.033675,1.742033,0.066990902,0.12014711596169254,0.04200325,0.0539885,0.06710075,1000,0.274847,0.517973,0.295593575,0.02053912403459249,0.28709975,0.2904105,0.29520025,1000,0.001254,0.018591,0.0018987697499999998,0.000839763686244492,0.001545,0.001664,0.002292,4000,0.003053,0.013955,0.00381238075,0.0008224576668616066,0.003374,0.0035095,0.00436,4000,0.021131,0.101375,0.02373663,0.0032548710986919282,0.02197675,0.0233405,0.02411325,4000,0.021131,0.101375,0.02373663,0.0032548710986919282,0.02197675,0.0233405,0.02411325,4000,0.020964,0.052176,0.021925147000000002,0.0021045175279362726,0.021323,0.021449,0.02160625,1000,0.025851,0.058848,0.027077607,0.0025574394269563846,0.026339,0.026491,0.026632,1000,0.598902,2.596393,0.661646723,0.14423846772396146,0.6170345,0.6443705,0.6618945,1000,0.103652,0.237977,0.12748281,0.016151038063291785,0.1165675,0.1264565,0.1325445,1000,0.025655,0.054525,0.02758215,0.003253048365687175,0.02650575,0.0268085,0.02716,1000,0.04745,0.11375,0.05082734,0.006664829331228219,0.048628,0.049155,0.04986125,1000,0.009191,0.084241,0.029459963999999998,0.010268858160706282,0.02095475,0.030827,0.0354745,1000,0.017432,0.059907,0.019042076,0.002812187755507089,0.0179405,0.018145,0.0185385,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.037362,1.488246,0.07894397900000001,0.09751134452335562,0.0712825,0.0720915,0.07488025,1000,0.081024,0.173992,0.107544038,0.010476226230878941,0.1058105,0.1085225,0.1098915,1000,0.00219,0.01588,0.003179119,0.0010168312528826993,0.003018,0.0030885,0.00316225,1000,0.004371,0.029275,0.005738623,0.0012425978846235817,0.005602,0.005706,0.00579125,1000,0.024978,0.066181,0.034018275,0.0041602511870528925,0.03301575,0.03349,0.03581475,1000,0.024978,0.066181,0.034018275,0.0041602511870528925,0.03301575,0.03349,0.03581475,1000,0.006501,0.024499,0.00981497,0.0016612746579358875,0.009759,0.009905,0.010037,1000,0.010171,0.037154,0.012409554,0.0015849500746345294,0.012221,0.012323,0.01242125,1000,0.183043,1.779145,0.295426912,0.10767839163690296,0.29033325,0.2937185,0.2973615,1000,0.012949,0.085723,0.039399499000000004,0.01028005347203987,0.0406295,0.0410505,0.04171375,1000,0.002206,0.020538,0.003197623,0.0007936756673043469,0.003079,0.0031525,0.003228,1000,0.00715,0.046355,0.017363071,0.004176417977401089,0.017561,0.01772,0.01789025,1000,0.001813,0.056859,0.016845508000000002,0.006343533574115929,0.01796975,0.01829,0.01842725,1000,0.001007,0.021643,0.001476758,0.0008691325062589708,0.00132175,0.00136,0.001398,1000,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
FrictionContact_LCP_without_friction,0.037592,1.633341,0.09455836299999999,0.10081302828957787,0.07333675,0.099942,0.10240175,1000,0.081979,0.172398,0.108317212,0.010440138389075884,0.10630575,0.1087815,0.110541,1000,0.002199,0.01349,0.0032024569999999997,0.0010330783039784544,0.003025,0.003093,0.003164,1000,0.004498,0.016807,0.005876736,0.0010851965371784045,0.00569975,0.005807,0.00592925,1000,0.024929,0.071465,0.034153607,0.003954449066880366,0.032996,0.033644,0.03591775,1000,0.024929,0.071465,0.034153607,0.003954449066880366,0.032996,0.033644,0.03591775,1000,0.006555,0.026234,0.009728663,0.001506009005096251,0.00969675,0.009815,0.01000425,1000,0.010259,0.037797,0.012538569,0.001902882784944727,0.01225975,0.012363,0.012471,1000,0.185326,1.930897,0.302124874,0.11149898890619644,0.28050475,0.3098105,0.316758,1000,0.012998,0.1126,0.02967435,0.007255208842032047,0.0274115,0.0314775,0.032111,1000,0.002223,0.082375,0.0033447249999999998,0.0026388254973330463,0.003106,0.003184,0.003261,1000,0.007227,0.042976,0.016351809999999998,0.0039591362934230994,0.01593675,0.0166635,0.01701325,1000,0.001876,0.025367,0.008000252999999999,0.002845836200309322,0.0064375,0.0096825,0.009928,1000,0.001059,0.006578,0.001449869,0.0005782935083839348,0.001271,0.001347,0.001416,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.006419,0.168425,0.008214095,0.009361764225720225,0.006876,0.007015,0.007245,1000,1.140979,1.358109,1.188787381,0.04267506072574284,1.15064175,1.16694,1.22807825,1000,0.066514,0.1063,0.069205803,0.004256228123842871,0.067043,0.067242,0.0710365,1000,0.036805,0.072649,0.039021747,0.002975227782706897,0.03730675,0.037673,0.04029525,1000,0.021469,0.100712,0.023240708,0.003417512926784038,0.021879,0.022123,0.02430925,1000,0.989362,1.195423,1.033956519,0.03899173655478349,0.99957725,1.009532,1.07028625,1000,0.002786,0.008243,0.003183252,0.0005904773903342954,0.00299275,0.003049,0.003118,1000,0.011136,0.024959,0.011601722,0.0009936989638295896,0.01132775,0.011404,0.0115525,1000,1.177543,1.554083,1.2276687849999999,0.0462035626704995,1.18904625,1.2059545,1.26563025,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000295,0.009204,0.000367196,0.00032334368029080136,0.00033,0.000343,0.000358,1000,2.516952,5.01737,2.581577701,0.1858050634529899,2.537421,2.5475685,2.58125275,1000,0.051466,0.087688,0.053870254,0.003535381050959571,0.05192625,0.052354,0.05506975,1000,0.043972,0.081533,0.045705146999999995,0.002911906287879299,0.044294,0.04459,0.04617175,1000,0.698301,2.134862,0.717682617,0.09591705248894125,0.7036105,0.705989,0.70982325,1000,1.693451,2.731383,1.740387523,0.10444560330256833,1.708206,1.717487,1.74215125,1000,0.001246,0.004924,0.001441627,0.00019548305775948972,0.001368,0.001411,0.00147025,1000,0.012558,0.035477,0.013320034,0.0016114387499511112,0.012891,0.0130405,0.01326525,1000,2.541552,5.076937,2.608346865,0.18813517686201794,2.56348125,2.574707,2.6072185,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000287,0.000888,0.00035581400000000003,6.069895719038343e-05,0.00032,0.000341,0.000382,1000,2.621652,4.92321,2.686303238,0.17416829718171833,2.6409685,2.657591,2.684436,1000,0.051574,0.113099,0.053564497,0.003745629271830169,0.05232075,0.052947,0.053789,1000,0.043875,0.092614,0.045186731,0.0031168795829545613,0.0443885,0.044636,0.0448445,1000,0.697733,1.932316,0.721722321,0.0848345984409189,0.70466425,0.7118445,0.719334,1000,1.799504,2.818009,1.841675926,0.10256716986104532,1.810368,1.815103,1.84145625,1000,0.001249,0.014294,0.001505719,0.0006710703689174481,0.001392,0.001448,0.00150225,1000,0.012771,0.033239,0.013642939,0.0014089864020915888,0.013167,0.013449,0.01376325,1000,2.646298,4.979489,2.713391588,0.17635993580476336,2.66757775,2.6847405,2.71187275,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
