SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.340933,0.42768,0.3632512705882353,0.0173496840495987,0.3497495,0.359652,0.3699525,255,11.512888,12.985396,12.015726250980393,0.199656805259287,11.874804,12.071845,12.144555,255,0.283126,0.418414,0.2965098509803921,0.016959286349018027,0.2857385,0.288078,0.2971885,255,0.136143,0.176163,0.1403747294117647,0.0074279427892063885,0.137581,0.138073,0.138763,255,3.612702,3.915987,3.7246659098039214,0.05621019341061309,3.675933,3.727255,3.755024,255,3.612702,3.915987,3.7246659098039214,0.05621019341061309,3.675933,3.727255,3.755024,255,0.022801,0.04806,0.02454901568627451,0.002994516072683174,0.0236335,0.024023,0.0244065,255,0.051956,0.103789,0.056012392156862746,0.006002565811771193,0.0539845,0.054729,0.055526,255,39.696453,52.399644,47.04945723529412,1.8487617126344673,47.4003265,47.662716,47.8832,255,27.129334,39.840794,34.49654111764706,1.871522181379752,34.990139,35.200694,35.29896,255,0.020888,0.046503,0.02236356470588235,0.0020496086328306517,0.021751,0.022032,0.0223515,255,21.748723,26.611655,21.92866409411765,0.4214823191636485,21.8488535,21.883956,21.912287,255,4.842539,13.307815,12.122295094117646,1.8074175248910163,12.6919435,12.875851,12.9625135,255,0.39611,0.53093,0.42059298039215687,0.01637859926531366,0.4108125,0.414572,0.424668,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.974806,10.211831,9.278926509401709,0.2061367716388102,9.1173775,9.188381,9.4190185,1755,8.709789,9.860204,8.97412032991453,0.2030821262614787,8.8184025,8.882462,9.1037285,1755,0.005099,0.565972,0.17222910797720797,0.16745601957371378,0.0300585,0.1208865,0.27709725,10530,0.006395,0.25813,0.07263182383665717,0.06877095058168849,0.01358425,0.0618665,0.1032275,10530,0.035082,3.879324,1.1500418401709402,1.1876328297894183,0.082579,0.881603,1.72100475,10530,0.035082,3.879324,1.1500418401709402,1.1876328297894183,0.082579,0.881603,1.72100475,10530,0.098304,0.168161,0.10769498917378917,0.0090847607812685,0.1030425,0.105567,0.107745,1755,0.13175,0.219749,0.14132236866096867,0.01066634677967124,0.1362765,0.138154,0.140342,1755,24.015417,42.393096,30.747018367521367,3.6999068018311965,28.3226755,30.203943,32.561578,1755,14.452574,32.134239,20.970997305413103,3.6692273042268235,18.6027045,20.541747,22.8644875,1755,0.073387,0.13878,0.08216100911680911,0.008208018897317447,0.077914,0.080566,0.0822925,1755,13.662085,31.286855,20.144150005128203,3.580771503868583,17.821161,19.717833,22.023573,1755,0.101355,0.618863,0.2514831002849003,0.10286727741191184,0.1948965,0.223463,0.278252,1755,0.43482,0.708374,0.4909703623931624,0.02912312053653386,0.472117,0.485011,0.5072325,1755,0.0,1.2,0.72,0.5878775382679627,0.0,1.2,1.2,5
BilateralLagrangianConstraint_NNCG,0.038259,1.833985,0.10830342600000001,0.1247088527913657,0.05347575,0.0936565,0.125442,1000,0.128342,0.270261,0.145825587,0.017449862338151295,0.1324165,0.137153,0.158955,1000,0.001961,0.020737,0.00266483975,0.0011881758464427467,0.002113,0.0022165,0.003027,4000,0.004117,0.025172,0.00529075875,0.0017165251735842494,0.004426,0.0046465,0.00576425,4000,0.000347,0.018712,0.00076444,0.0008651264401230609,0.00046,0.000527,0.000951,4000,0.000347,0.018712,0.00076444,0.0008651264401230609,0.00046,0.000527,0.000951,4000,0.020111,0.060548,0.023074473999999998,0.004012995457924666,0.0207105,0.0210895,0.0247415,1000,0.027432,0.065477,0.030734367,0.004351708362506729,0.0283125,0.0295305,0.03194575,1000,0.422954,2.43772,0.5279366409999999,0.1534778578552819,0.45572325,0.489236,0.58182325,1000,0.085663,0.216161,0.100922755,0.016826773979612814,0.08834175,0.0922455,0.11120525,1000,0.025101,0.075604,0.029383397000000002,0.006101979856685124,0.026023,0.026626,0.03152675,1000,0.037996,0.136345,0.045092382,0.009303558886365798,0.03888575,0.040998,0.05012425,1000,0.005304,0.022858,0.006495514,0.0017429989660937841,0.00552675,0.005667,0.007007,1000,0.016055,0.056672,0.019435664000000002,0.004573356233785425,0.016741,0.017468,0.020739,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_PGS,0.042628,1.691539,0.108833577,0.11988645381267256,0.052985,0.095616,0.12687025,1000,0.126929,0.247174,0.14556180999999999,0.018158447857179315,0.13130075,0.1372005,0.1568925,1000,0.001911,0.023189,0.0026140675,0.0011835088905216343,0.002082,0.00221,0.00302,4000,0.004087,0.047465,0.0053093079999999996,0.0019241019417213837,0.00435,0.004536,0.00576625,4000,0.000356,0.021958,0.0007547637499999999,0.0009410928051663862,0.000454,0.000514,0.00090325,4000,0.000356,0.021958,0.0007547637499999999,0.0009410928051663862,0.000454,0.000514,0.00090325,4000,0.020211,0.058437,0.023374247,0.004181871110399148,0.02093875,0.021253,0.0250265,1000,0.027364,0.072147,0.030686811,0.0050607869867520605,0.028232,0.0286845,0.03194875,1000,0.423434,2.288834,0.530171891,0.1483883860185396,0.4547165,0.492948,0.58498075,1000,0.085622,0.193182,0.101316276,0.01651145406546086,0.0885695,0.092752,0.1121645,1000,0.025022,0.078129,0.029729147,0.006391648179099895,0.02600925,0.0268095,0.03195925,1000,0.038078,0.110995,0.045163475,0.008999361340193815,0.038995,0.041693,0.05019275,1000,0.00531,0.024258,0.006671187,0.0018268029620161557,0.00557875,0.0059905,0.007039,1000,0.016088,0.049633,0.01918906,0.00387774921164327,0.0167325,0.0173165,0.02074725,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_UGS,0.034512,1.695123,0.079351906,0.11780912565100873,0.0525815,0.0670285,0.07891075,1000,0.127518,0.265137,0.13642511100000002,0.012456974001926753,0.12963825,0.1329595,0.13591975,1000,0.001891,0.020173,0.00242582325,0.0009568369234145584,0.00203175,0.002118,0.00287225,4000,0.004051,0.025496,0.0048671800000000005,0.0012867498755002853,0.004286,0.00441,0.005565,4000,0.000354,0.013578,0.0007375367499999999,0.000689802263441805,0.00046775,0.000515,0.000956,4000,0.000354,0.013578,0.0007375367499999999,0.000689802263441805,0.00046775,0.000515,0.000956,4000,0.020305,0.061742,0.02177845,0.003533144589950997,0.02072275,0.0209545,0.021264,1000,0.027657,0.067652,0.029659675,0.004747206699246938,0.02822775,0.0284485,0.028726,1000,0.438338,2.303527,0.501776565,0.13768905369997927,0.46258125,0.484623,0.507424,1000,0.097716,0.203903,0.121534657,0.017036902427124218,0.10922325,0.119267,0.12624025,1000,0.025304,0.088292,0.027644477,0.004911929410473139,0.026105,0.026373,0.02675175,1000,0.043099,0.117205,0.046670335,0.007328354077197349,0.04386875,0.044304,0.04524825,1000,0.008861,0.078716,0.028174141,0.010497429388336888,0.01948475,0.029182,0.033818,1000,0.016505,0.098057,0.018512656,0.004507093061571283,0.017018,0.017213,0.01774375,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.040238,1.489685,0.08364375,0.09600100756948074,0.07555925,0.076257,0.0784865,1000,0.040285,0.112254,0.054830964999999995,0.010092352808031188,0.05150625,0.0521295,0.0537535,1000,0.002884,0.024939,0.004298064999999999,0.0017769054107562958,0.00403875,0.004117,0.004207,1000,0.005682,0.032423,0.007961212,0.002696936254911488,0.0074485,0.007575,0.00770525,1000,0.000756,0.015844,0.0010817000000000001,0.0009065304109625888,0.00094,0.000973,0.001016,1000,0.000756,0.015844,0.0010817000000000001,0.0009065304109625888,0.00094,0.000973,0.001016,1000,0.006138,0.038371,0.009680379999999999,0.0026900172749631185,0.0092535,0.009458,0.00963925,1000,0.01105,0.053468,0.014383188,0.003005797499941738,0.013891,0.0140155,0.01415525,1000,0.143569,1.724309,0.24562637299999998,0.1054119889784358,0.23408375,0.23756,0.25174375,1000,0.012035,0.096957,0.037646992,0.010521972672172078,0.03779575,0.0383165,0.040403,1000,0.001998,0.020373,0.0030332049999999998,0.001110954727689207,0.00286275,0.0029425,0.003037,1000,0.006874,0.062998,0.016109294,0.004399081747315455,0.01592575,0.0161185,0.01635225,1000,0.001586,0.070628,0.016236334999999998,0.006497320668766088,0.01712375,0.0173575,0.01757375,1000,0.000986,0.014032,0.0014448699999999998,0.0008012885329892099,0.001296,0.00134,0.001397,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
FrictionContact_LCP_without_friction,0.040526,1.396701,0.099700753,0.09438991235364079,0.0763555,0.1037025,0.1065415,1000,0.040341,0.106713,0.053096487,0.008416774774094351,0.050952,0.0514405,0.05247325,1000,0.002893,0.019523,0.0041836899999999995,0.0013436821282952305,0.004043,0.00412,0.004192,1000,0.005746,0.026447,0.0077225060000000005,0.0019394948811389011,0.007422,0.0075395,0.00765925,1000,0.00076,0.011082,0.001029305,0.0006239675039415114,0.000928,0.00096,0.00098925,1000,0.00076,0.011082,0.001029305,0.0006239675039415114,0.000928,0.00096,0.00098925,1000,0.006088,0.03999,0.009318072,0.00218807984105151,0.009113,0.009256,0.00943425,1000,0.010999,0.043808,0.014296451,0.0030789706753392436,0.01373975,0.0138925,0.01403925,1000,0.142006,1.625057,0.248842821,0.1041251502808181,0.22186625,0.251625,0.2594495,1000,0.011991,0.067355,0.027597606,0.0071077755401225216,0.024778,0.0286445,0.029376,1000,0.001998,0.022693,0.0030115940000000002,0.0012363926848554224,0.00284475,0.002919,0.002997,1000,0.006797,0.045655,0.014872431,0.004134671790268122,0.014173,0.0148555,0.01513525,1000,0.001593,0.032401,0.007575617,0.0031195244599635692,0.0059,0.0089655,0.009372,1000,0.00098,0.010715,0.0013676110000000001,0.000604419733032435,0.001224,0.001293,0.001349,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008519,0.170871,0.010331464,0.009922390816164419,0.008878,0.0090405,0.0093585,1000,1.107237,1.297456,1.146686867,0.033228907782100074,1.11752325,1.1389805,1.17361,1000,0.066813,0.109795,0.06929355499999999,0.005818383299936075,0.06722075,0.0674485,0.06940825,1000,0.037575,0.079111,0.039425739,0.00456632177675632,0.03800475,0.0381445,0.039886,1000,0.000656,0.015972,0.00095491,0.0006910631432076233,0.000799,0.000838,0.000891,1000,0.991377,1.159074,1.029084095,0.03051860550559241,1.002718,1.0237195,1.05536575,1000,0.002755,0.018726,0.003093639,0.0010183441837998586,0.002928,0.002978,0.00305425,1000,0.008489,0.025859,0.008996561,0.0013777678833094492,0.008705,0.008787,0.00888825,1000,1.140145,1.487765,1.183316202,0.03782355399955425,1.1533495,1.174036,1.20796875,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.000272,0.012332,0.00034159699999999996,0.00040260725352507005,0.000304,0.000316,0.000331,1000,2.503216,5.093886,2.588186571,0.19885775148686802,2.54189175,2.5659835,2.5873725,1000,0.051731,0.095372,0.053704168,0.00503620540841773,0.052111,0.0522895,0.052619,1000,0.043763,0.093712,0.045840463000000005,0.005198026147359302,0.044338,0.0445355,0.04478325,1000,0.688012,2.128371,0.71760493,0.1000924861818763,0.6957035,0.7017765,0.723976,1000,1.705119,2.84207,1.763546602,0.11433026277366634,1.732751,1.744406,1.76729025,1000,0.001163,0.011988,0.001349793,0.0004615269614562079,0.001262,0.0013005,0.00136325,1000,0.005892,0.026968,0.006558243,0.0013158762487221205,0.006215,0.0063805,0.00657925,1000,2.522015,5.147057,2.606342158,0.20139462854613832,2.560433,2.5835055,2.60502525,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000278,0.000954,0.00033901499999999997,5.053358066672102e-05,0.000311,0.000329,0.000353,1000,2.61706,5.112172,2.696356284,0.19386311149944785,2.6363925,2.675684,2.6962215,1000,0.051544,0.092993,0.054289419,0.005322436990462076,0.0522165,0.05267,0.0551185,1000,0.04384,0.079982,0.045446497,0.004422079982088858,0.04424375,0.0444705,0.04468525,1000,0.688986,2.016798,0.714555043,0.09207407831834728,0.69470625,0.697984,0.72396525,1000,1.819548,2.986548,1.874424301,0.11766403846929781,1.8301005,1.8562375,1.8788985,1000,0.00119,0.016733,0.001385865,0.0005850764725871312,0.001287,0.0013325,0.001391,1000,0.005963,0.027255,0.006631097,0.0013715545251979592,0.00626875,0.006421,0.0066195,1000,2.633253,5.160814,2.714568341,0.19613148389549476,2.6539185,2.6940485,2.714273,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
