SceneName,CollisionDetection_min,CollisionDetection_max,CollisionDetection_mean,CollisionDetection_std,CollisionDetection_quartile1,CollisionDetection_quartile2,CollisionDetection_quartile3,CollisionDetection_cardinality,ODESolve_min,ODESolve_max,ODESolve_mean,ODESolve_std,ODESolve_quartile1,ODESolve_quartile2,ODESolve_quartile3,ODESolve_cardinality,ComputeForce_min,ComputeForce_max,ComputeForce_mean,ComputeForce_std,ComputeForce_quartile1,ComputeForce_quartile2,ComputeForce_quartile3,ComputeForce_cardinality,ComputeRHTerm_min,ComputeRHTerm_max,ComputeRHTerm_mean,ComputeRHTerm_std,ComputeRHTerm_quartile1,ComputeRHTerm_quartile2,ComputeRHTerm_quartile3,ComputeRHTerm_cardinality,setSystemMBKMatrix_min,setSystemMBKMatrix_max,setSystemMBKMatrix_mean,setSystemMBKMatrix_std,setSystemMBKMatrix_quartile1,setSystemMBKMatrix_quartile2,setSystemMBKMatrix_quartile3,setSystemMBKMatrix_cardinality,MBKSolve_min,MBKSolve_max,MBKSolve_mean,MBKSolve_std,MBKSolve_quartile1,MBKSolve_quartile2,MBKSolve_quartile3,MBKSolve_cardinality,ProjectAndMechaMap_min,ProjectAndMechaMap_max,ProjectAndMechaMap_mean,ProjectAndMechaMap_std,ProjectAndMechaMap_quartile1,ProjectAndMechaMap_quartile2,ProjectAndMechaMap_quartile3,ProjectAndMechaMap_cardinality,UpdateBBox_min,UpdateBBox_max,UpdateBBox_mean,UpdateBBox_std,UpdateBBox_quartile1,UpdateBBox_quartile2,UpdateBBox_quartile3,UpdateBBox_cardinality,TimeStep_min,TimeStep_max,TimeStep_mean,TimeStep_std,TimeStep_quartile1,TimeStep_quartile2,TimeStep_quartile3,TimeStep_cardinality,SolveConstraint_min,SolveConstraint_max,SolveConstraint_mean,SolveConstraint_std,SolveConstraint_quartile1,SolveConstraint_quartile2,SolveConstraint_quartile3,SolveConstraint_cardinality,PrepareState_min,PrepareState_max,PrepareState_mean,PrepareState_std,PrepareState_quartile1,PrepareState_quartile2,PrepareState_quartile3,PrepareState_cardinality,BuildSystem_min,BuildSystem_max,BuildSystem_mean,BuildSystem_std,BuildSystem_quartile1,BuildSystem_quartile2,BuildSystem_quartile3,BuildSystem_cardinality,SolveSystem_min,SolveSystem_max,SolveSystem_mean,SolveSystem_std,SolveSystem_quartile1,SolveSystem_quartile2,SolveSystem_quartile3,SolveSystem_cardinality,ApplyCorrection_min,ApplyCorrection_max,ApplyCorrection_mean,ApplyCorrection_std,ApplyCorrection_quartile1,ApplyCorrection_quartile2,ApplyCorrection_quartile3,ApplyCorrection_cardinality,CPUUsage_min,CPUUsage_max,CPUUsage_mean,CPUUsage_std,CPUUsage_quartile1,CPUUsage_quartile2,CPUUsage_quartile3,CPUUsage_cardinality
fallingBeamLagrangianCollision,0.332816,0.445559,0.3596794862745098,0.014693796098327461,0.350375,0.35612,0.363037,255,11.469301,13.346036,11.99680357254902,0.256240191502016,11.770899,12.049803,12.1176215,255,0.28198,0.35292,0.2946569882352941,0.01257273152266595,0.286042,0.290593,0.297669,255,0.136369,0.206763,0.14181244705882354,0.009732521559695737,0.1377115,0.138539,0.1402805,255,3.581882,3.983993,3.704457717647059,0.060977733703045184,3.667988,3.695606,3.732761,255,3.581882,3.983993,3.704457717647059,0.060977733703045184,3.667988,3.695606,3.732761,255,0.0228,0.048883,0.02446104705882353,0.002256958850463922,0.0237375,0.024094,0.02454,255,0.052971,0.095961,0.05604546274509804,0.0051627480558155995,0.0542425,0.05471,0.055566,255,39.791513,50.463976,47.16964333333333,1.6286049428923948,47.3233925,47.631272,47.8311115,255,27.194935,37.916847,34.63886772156863,1.660534887796364,35.0195055,35.158235,35.277009,255,0.020745,0.050014,0.023059992156862743,0.0031411924749439294,0.022053,0.022509,0.022995,255,21.765961,28.154412,22.0675592745098,0.977143936117172,21.8484685,21.880181,21.92862,255,4.912434,13.725622,12.123737305882353,1.7923060322523399,12.7129585,12.814611,12.933295,255,0.391474,0.58535,0.42137298039215687,0.018307416120239783,0.4114,0.415379,0.4246805,255,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
SofaScene,8.993794,14.072787,9.344867204558405,0.3184119815509349,9.1239785,9.23956,9.5259575,1755,8.685091,13.693237,9.03550924045584,0.31302025918582754,8.821409,8.922747,9.207557,1755,0.004962,0.628446,0.17508080332383666,0.17012329467875575,0.02945975,0.118913,0.28094075,10530,0.006299,0.318192,0.07893225432098766,0.0755023600683117,0.014395,0.0627005,0.11046875,10530,0.034272,5.530873,1.164703164577398,1.200270411066231,0.08610725,0.906787,1.7416025,10530,0.034272,5.530873,1.164703164577398,1.200270411066231,0.08610725,0.906787,1.7416025,10530,0.097431,0.209008,0.11103464387464387,0.01211844915920234,0.1034415,0.106781,0.1164135,1755,0.130549,0.220687,0.14215913675213676,0.010661071919753892,0.1361665,0.138478,0.1446925,1755,24.213898,42.028359,30.8998107008547,3.718235894083096,28.4606905,30.402135,32.6647625,1755,14.541489,32.321698,21.044926834757835,3.6677454615701675,18.65195,20.573193,22.9051625,1755,0.073161,0.155603,0.08277691168091168,0.008265627571974285,0.0784735,0.0811,0.08389,1755,13.735252,31.502151,20.2139085988604,3.5775623110657326,17.868022,19.747821,22.0743185,1755,0.100838,1.038761,0.25451833276353275,0.10505010031359371,0.195077,0.22754,0.2802275,1755,0.434947,0.706323,0.49156196239316235,0.028543624318489287,0.472734,0.486981,0.5054485,1755,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_NNCG,0.036236,1.937994,0.109241911,0.12587855901379344,0.0543275,0.0932075,0.1257255,1000,0.127265,0.251803,0.146007829,0.018404681601749025,0.132714,0.1372455,0.158186,1000,0.001922,0.023371,0.00267714475,0.0012632837360614746,0.002107,0.0022235,0.003026,4000,0.004103,0.028543,0.0053087427500000004,0.0016446915324985526,0.004445,0.004658,0.005832,4000,0.00034,0.018619,0.00074110825,0.0006737979779072786,0.000464,0.000521,0.000961,4000,0.00034,0.018619,0.00074110825,0.0006737979779072786,0.000464,0.000521,0.000961,4000,0.020185,0.055547,0.023198049,0.004447872555795523,0.02069075,0.0210005,0.02473125,1000,0.027586,0.065981,0.030665284,0.004591066421578325,0.02832125,0.028803,0.0318905,1000,0.426564,2.580332,0.5304663129999999,0.1547392015216475,0.45601825,0.4919415,0.58396125,1000,0.085399,0.247035,0.101233696,0.01697919014716497,0.0882925,0.0928675,0.111584,1000,0.025158,0.065826,0.029384116999999998,0.0056268027359514744,0.025992,0.026691,0.03159975,1000,0.03786,0.167212,0.045312358999999997,0.009939007960763437,0.038908,0.041086,0.05014775,1000,0.005294,0.035221,0.00671513,0.0023157686773725913,0.005516,0.005953,0.007105,1000,0.016058,0.052028,0.019294919,0.003838912577076873,0.016803,0.017505,0.02076725,1000,0.0,1.2,0.48,0.5878775382679627,0.0,0.0,1.2,5
BilateralLagrangianConstraint_PGS,0.037936,1.792512,0.109638604,0.12584396763984035,0.053741,0.094705,0.12716425,1000,0.127128,0.266095,0.145402203,0.017761208069998816,0.131802,0.1394465,0.15628825,1000,0.001897,0.022427,0.00258894625,0.0010448390418437367,0.002088,0.002233,0.00300525,4000,0.004091,0.028147,0.00536753475,0.001710287957565169,0.004445,0.0047085,0.00581575,4000,0.000341,0.022457,0.000754362,0.0009346287364274651,0.000459,0.000515,0.000894,4000,0.000341,0.022457,0.000754362,0.0009346287364274651,0.000459,0.000515,0.000894,4000,0.020186,0.075254,0.02328786,0.004640822837644204,0.02077475,0.021097,0.02485925,1000,0.027681,0.072496,0.030601629,0.004962088684350472,0.02830225,0.0287155,0.03182925,1000,0.423497,2.440341,0.528283356,0.15664154071850567,0.45360425,0.487146,0.580026,1000,0.085637,0.210804,0.100432719,0.016109272166427602,0.08821375,0.0926495,0.11118675,1000,0.025086,0.072609,0.029367862,0.005694499926504171,0.0259275,0.0267635,0.0319415,1000,0.037797,0.114946,0.044608987999999995,0.008474153903125432,0.038726,0.0413935,0.04965425,1000,0.005256,0.022505,0.0065603829999999995,0.00159364676020472,0.00552875,0.005917,0.007006,1000,0.016223,0.057564,0.019331192,0.003997941778857716,0.016813,0.017481,0.02081025,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
BilateralLagrangianConstraint_UGS,0.03396,1.822815,0.080119588,0.11859829505719827,0.05273325,0.067333,0.0795255,1000,0.12928,0.28261,0.139414116,0.015076406267560715,0.1314675,0.1339195,0.137041,1000,0.001927,0.028092,0.00247770875,0.0010984259503596216,0.002068,0.0021495,0.00292025,4000,0.00415,0.036503,0.00504073225,0.001777300616119833,0.00438,0.004488,0.00565325,4000,0.000372,0.023047,0.00075985275,0.0008517481514904729,0.000477,0.000522,0.00096325,4000,0.000372,0.023047,0.00075985275,0.0008517481514904729,0.000477,0.000522,0.00096325,4000,0.020308,0.058565,0.021791104,0.0036943267350335973,0.020737,0.0209515,0.021169,1000,0.027618,0.074917,0.029863409,0.005370359140105901,0.02819075,0.028397,0.0286845,1000,0.440023,2.472058,0.506000591,0.14067958290779695,0.46598425,0.486517,0.51200225,1000,0.097887,0.218755,0.121673365,0.01729886332467469,0.1090605,0.1192985,0.126316,1000,0.024821,0.079397,0.027497357,0.004696083401681767,0.02595075,0.026293,0.02677925,1000,0.043062,0.123228,0.046900969,0.007898276338292995,0.04396975,0.0443555,0.045208,1000,0.008884,0.09066,0.028298386,0.010737215363817753,0.0194695,0.0292325,0.033952,1000,0.016426,0.055986,0.018440454000000002,0.003597696423808435,0.01700275,0.0172445,0.01769825,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FrictionContact_LCP_with_friction,0.031497,1.470577,0.084682119,0.09546173534431918,0.075486,0.076181,0.078675,1000,0.039937,0.125168,0.054410311999999995,0.009571802457356504,0.0510715,0.052314,0.05346425,1000,0.002934,0.022392,0.004289647,0.0017980660350473783,0.004023,0.004098,0.004178,1000,0.005629,0.024976,0.0077385100000000005,0.0019304580886152385,0.007389,0.0075565,0.00768025,1000,0.000794,0.011071,0.001095602,0.0007596515330044427,0.00096175,0.0009985,0.001038,1000,0.000794,0.011071,0.001095602,0.0007596515330044427,0.00096175,0.0009985,0.001038,1000,0.006158,0.034985,0.009432424000000002,0.0022130592509519483,0.0091835,0.009362,0.009509,1000,0.010878,0.037723,0.014236111999999999,0.0023994890029870944,0.01388,0.014038,0.01417325,1000,0.141928,1.70823,0.24565561,0.10565467442515689,0.23356125,0.2375825,0.253975,1000,0.011975,0.103453,0.037809755,0.010243766266807097,0.03794375,0.0387155,0.039712,1000,0.001991,0.015591,0.002996263,0.0008946753354323567,0.002886,0.002942,0.00301325,1000,0.006887,0.060476,0.016164905,0.004399240711756405,0.0160165,0.0162415,0.01645,1000,0.001556,0.05612,0.016360705,0.006502551969033004,0.0170945,0.017471,0.01787325,1000,0.000927,0.019077,0.001508788,0.0012828721397925827,0.001298,0.001348,0.001403,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FrictionContact_LCP_without_friction,0.032936,1.473882,0.100022208,0.09938102731175974,0.07619075,0.103558,0.1059565,1000,0.040523,0.126056,0.053524603999999996,0.00920435062148243,0.05100275,0.0515755,0.0526225,1000,0.002861,0.024102,0.004280628,0.0017597595465335598,0.004029,0.0041015,0.004184,1000,0.005611,0.028982,0.007699644,0.002121874317028226,0.00737575,0.007489,0.0075985,1000,0.000798,0.011067,0.001097248,0.0009252707930633064,0.00094575,0.000974,0.001001,1000,0.000798,0.011067,0.001097248,0.0009252707930633064,0.00094575,0.000974,0.001001,1000,0.006138,0.039853,0.009662529000000001,0.002945844067692484,0.0092345,0.009407,0.00960425,1000,0.011148,0.042304,0.014368770000000001,0.003025423698773446,0.01379,0.01397,0.01412525,1000,0.143285,1.72192,0.25094442499999997,0.10981199286313119,0.22264475,0.253959,0.260033,1000,0.01212,0.081587,0.028118419000000002,0.007653492913921003,0.0250255,0.0289285,0.029519,1000,0.00202,0.023943,0.003133077,0.0016212893520500898,0.00287,0.002951,0.0030165,1000,0.006858,0.048097,0.015331540999999999,0.004612201083465356,0.01437825,0.0151485,0.015443,1000,0.001553,0.028142,0.00743637,0.002992422475704258,0.005874,0.0089185,0.009166,1000,0.000954,0.012515,0.001409011,0.0007242677604857198,0.001262,0.001328,0.001382,1000,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FixedProjectiveConstraint,0.008168,0.135351,0.010123476000000001,0.00897979718464866,0.008599,0.0088295,0.00921525,1000,1.095419,1.587719,1.1484767630000001,0.0459830586447969,1.11299975,1.135758,1.17697425,1000,0.066741,0.1051,0.069104969,0.006458522561394286,0.067099,0.067333,0.067509,1000,0.037215,0.083778,0.039415865,0.004972888165520617,0.037614,0.0379375,0.0387655,1000,0.000674,0.003947,0.000907192,0.0004940154462524425,0.000773,0.000806,0.000846,1000,0.980976,1.375194,1.031296813,0.04361698043771521,0.99668025,1.0191755,1.05923575,1000,0.002693,0.014126,0.002962513,0.0005946217720795296,0.002859,0.002909,0.002962,1000,0.008472,0.028112,0.008961506999999999,0.0012639532522807162,0.008692,0.008786,0.00889,1000,1.128405,1.775168,1.184642543,0.05089101068717491,1.149278,1.170353,1.2157225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLDLT,0.00026,0.000859,0.000329666,5.2219042924971346e-05,0.000299,0.000317,0.000351,1000,2.504196,5.186942,2.584262348,0.20245477365502373,2.532527,2.5623355,2.57984725,1000,0.051137,0.099407,0.053430917,0.005001867048823968,0.051978,0.052234,0.052744,1000,0.042846,0.092836,0.045578243000000004,0.004991741022323875,0.044408,0.044582,0.044859,1000,0.689354,2.234411,0.7158480309999999,0.10256013236757273,0.69488275,0.698335,0.723343,1000,1.705484,2.797426,1.761806436,0.11620359289261198,1.71780275,1.7411205,1.767168,1000,0.001118,0.011824,0.00134451,0.0004567970839442827,0.001261,0.001303,0.001357,1000,0.005922,0.019325,0.006455626,0.0010752197980524727,0.0061875,0.006297,0.006436,1000,2.5205,5.238608,2.602225256,0.2048640583981643,2.549914,2.5799115,2.59878775,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,1.2,0.24,0.48000000000000004,0.0,0.0,0.0,5
FEMBAR_EigenSimplicialLLT,0.000277,0.000792,0.000354319,5.681270314815165e-05,0.00032,0.0003505,0.000369,1000,2.617016,5.294567,2.681834982,0.19533261599171214,2.62720525,2.6431,2.6840505,1000,0.050877,0.118225,0.053726924,0.005278452473805556,0.0521955,0.0525035,0.0528455,1000,0.042937,0.079717,0.045457022,0.004148452109102382,0.0442875,0.044631,0.04483425,1000,0.689516,2.084265,0.710652227,0.09133596505947408,0.6946965,0.697099,0.7136195,1000,1.818309,2.989873,1.8644391980000001,0.1178276552920527,1.8262465,1.834506,1.866255,1000,0.001184,0.005749,0.001358758,0.00029343235580964823,0.001269,0.001315,0.001374,1000,0.005922,0.026432,0.006572825,0.0012871998929362136,0.006236,0.006352,0.00652425,1000,2.633273,5.347343,2.70003445,0.1976128848851499,2.64504,2.6611345,2.70323225,1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
